"X."	"No..of.valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"150"	"104"	"13"	"9"	"200"	"109"	"2"	"61"	"2"	"1"	"4"	"3"	"3"	"8"	"4"	"9"	"428"	"0"	"428"	"0"
"151"	"105"	"4"	"2"	"196"	"144"	"1"	"4"	"2"	"4"	"0"	"2"	"7"	"9"	"3"	"10"	"388"	"0"	"388"	"0"
"152"	"105A"	"32"	"4"	"133"	"180"	"4"	"35"	"1"	"3"	"0"	"2"	"4"	"6"	"2"	"4"	"410"	"0"	"410"	"0"
"153"	"106"	"1"	"4"	"606"	"7"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"622"	"0"	"622"	"0"
"154"	"107"	"6"	"7"	"195"	"164"	"5"	"12"	"1"	"4"	"1"	"2"	"9"	"5"	"4"	"4"	"419"	"0"	"419"	"0"
"155"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"157"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"158"	"108"	"14"	"2"	"118"	"169"	"1"	"1"	"2"	"0"	"1"	"0"	"2"	"4"	"2"	"3"	"319"	"0"	"319"	"0"
"159"	"109"	"9"	"6"	"154"	"216"	"6"	"40"	"1"	"1"	"3"	"2"	"5"	"10"	"2"	"8"	"463"	"0"	"463"	"0"
"160"	"110"	"50"	"7"	"80"	"117"	"0"	"82"	"1"	"1"	"1"	"2"	"3"	"3"	"2"	"0"	"349"	"0"	"349"	"0"
"161"	"111"	"38"	"19"	"59"	"228"	"2"	"5"	"0"	"1"	"0"	"1"	"5"	"3"	"1"	"1"	"363"	"0"	"363"	"0"
"162"	"Total"	"1334"	"771"	"15274"	"23291"	"375"	"6694"	"303"	"275"	"298"	"240"	"506"	"818"	"375"	"903"	"51457"	"0"	"51457"	"0"
"163"	"B.F."	"1334"	"771"	"15274"	"23291"	"375"	"6694"	"303"	"275"	"298"	"240"	"506"	"818"	"375"	"903"	"51457"	"0"	"51457"	"0"
"164"	"112"	"0"	"2"	"32"	"245"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"282"	"0"	"282"	"0"
"165"	"113"	"3"	"3"	"46"	"291"	"2"	"7"	"1"	"2"	"4"	"0"	"7"	"5"	"3"	"3"	"377"	"0"	"377"	"0"
"166"	"113A"	"26"	"0"	"16"	"219"	"2"	"3"	"4"	"2"	"4"	"4"	"9"	"5"	"2"	"17"	"313"	"0"	"313"	"0"
"167"	"114"	"3"	"6"	"85"	"206"	"2"	"55"	"3"	"1"	"5"	"0"	"8"	"6"	"6"	"2"	"388"	"0"	"388"	"0"
"168"	"115"	"43"	"10"	"145"	"110"	"2"	"10"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"325"	"0"	"325"	"0"
"169"	"116"	"0"	"0"	"89"	"171"	"3"	"51"	"0"	"0"	"3"	"6"	"4"	"2"	"2"	"1"	"332"	"0"	"332"	"0"
"170"	"117"	"20"	"3"	"169"	"180"	"8"	"31"	"1"	"3"	"2"	"1"	"6"	"7"	"5"	"7"	"443"	"0"	"443"	"0"
"171"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"173"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"174"	"118"	"3"	"3"	"190"	"92"	"3"	"3"	"0"	"1"	"0"	"0"	"0"	"2"	"4"	"1"	"302"	"0"	"302"	"0"
"175"	"119"	"18"	"3"	"175"	"69"	"2"	"226"	"2"	"2"	"3"	"0"	"1"	"3"	"0"	"0"	"504"	"0"	"504"	"0"
"176"	"120"	"6"	"1"	"171"	"42"	"3"	"89"	"0"	"1"	"0"	"0"	"4"	"8"	"3"	"3"	"331"	"0"	"331"	"0"
"177"	"121"	"53"	"8"	"225"	"64"	"2"	"15"	"0"	"0"	"2"	"1"	"3"	"7"	"11"	"12"	"403"	"0"	"403"	"0"
"178"	"122"	"3"	"0"	"82"	"177"	"4"	"3"	"0"	"0"	"0"	"0"	"3"	"4"	"3"	"9"	"288"	"0"	"288"	"0"
"179"	"123"	"5"	"3"	"102"	"19"	"1"	"27"	"0"	"1"	"2"	"0"	"0"	"2"	"3"	"2"	"167"	"0"	"167"	"0"
"180"	"124"	"1"	"1"	"406"	"11"	"1"	"2"	"2"	"0"	"0"	"1"	"1"	"5"	"1"	"0"	"432"	"0"	"432"	"0"
"181"	"Total"	"1518"	"814"	"17207"	"25187"	"410"	"7217"	"317"	"290"	"324"	"254"	"552"	"875"	"419"	"960"	"56344"	"0"	"56344"	"0"
"182"	"B.F."	"1518"	"814"	"17207"	"25187"	"410"	"7217"	"317"	"290"	"324"	"254"	"552"	"875"	"419"	"960"	"56344"	"0"	"56344"	"0"
"183"	"125"	"12"	"5"	"95"	"268"	"5"	"162"	"5"	"2"	"9"	"3"	"9"	"7"	"3"	"9"	"594"	"0"	"594"	"0"
"184"	"126"	"60"	"10"	"168"	"187"	"9"	"30"	"2"	"0"	"1"	"3"	"9"	"4"	"9"	"16"	"508"	"0"	"508"	"0"
"185"	"127"	"21"	"14"	"194"	"314"	"4"	"138"	"5"	"1"	"2"	"2"	"5"	"10"	"7"	"15"	"732"	"0"	"732"	"0"
"186"	"128"	"34"	"5"	"276"	"209"	"4"	"135"	"3"	"2"	"1"	"1"	"5"	"10"	"6"	"7"	"698"	"0"	"698"	"0"
"187"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"189"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"190"	"129"	"1"	"1"	"124"	"53"	"2"	"295"	"5"	"4"	"7"	"2"	"5"	"6"	"2"	"13"	"520"	"0"	"520"	"0"
"191"	"130"	"30"	"2"	"314"	"173"	"4"	"20"	"3"	"4"	"2"	"2"	"1"	"10"	"1"	"10"	"576"	"0"	"576"	"0"
"192"	"131"	"5"	"11"	"64"	"225"	"4"	"11"	"1"	"2"	"2"	"4"	"11"	"7"	"3"	"7"	"357"	"0"	"357"	"0"
"193"	"132"	"5"	"4"	"88"	"379"	"2"	"27"	"0"	"1"	"0"	"3"	"5"	"9"	"5"	"4"	"532"	"0"	"532"	"0"
"194"	"133"	"4"	"4"	"327"	"45"	"3"	"9"	"2"	"0"	"1"	"19"	"1"	"2"	"0"	"8"	"425"	"0"	"425"	"0"
"195"	"134"	"4"	"9"	"121"	"89"	"1"	"176"	"5"	"0"	"0"	"1"	"1"	"6"	"2"	"7"	"422"	"0"	"422"	"0"
"196"	"135"	"12"	"14"	"36"	"447"	"7"	"9"	"0"	"1"	"0"	"6"	"9"	"9"	"5"	"11"	"566"	"0"	"566"	"0"
"197"	"136"	"48"	"11"	"160"	"238"	"9"	"132"	"9"	"4"	"3"	"6"	"3"	"15"	"4"	"18"	"660"	"0"	"660"	"0"
"198"	"137"	"7"	"3"	"82"	"234"	"6"	"48"	"1"	"1"	"1"	"5"	"15"	"10"	"4"	"13"	"430"	"0"	"430"	"0"
"199"	"138"	"7"	"5"	"69"	"267"	"5"	"24"	"0"	"0"	"0"	"2"	"3"	"6"	"3"	"4"	"395"	"0"	"395"	"0"
"200"	"Total"	"1768"	"912"	"19325"	"28315"	"475"	"8433"	"358"	"312"	"353"	"313"	"634"	"986"	"473"	"1102"	"63759"	"0"	"63759"	"0"
"201"	"B.F."	"1768"	"912"	"19325"	"28315"	"475"	"8433"	"358"	"312"	"353"	"313"	"634"	"986"	"473"	"1102"	"63759"	"0"	"63759"	"0"
"202"	"139"	"63"	"9"	"51"	"448"	"13"	"122"	"5"	"3"	"8"	"2"	"16"	"16"	"10"	"28"	"794"	"0"	"794"	"0"
"203"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"205"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"206"	"140"	"9"	"1"	"73"	"546"	"4"	"8"	"0"	"7"	"5"	"6"	"9"	"14"	"4"	"12"	"698"	"0"	"698"	"0"
"207"	"141"	"10"	"13"	"125"	"410"	"14"	"48"	"7"	"2"	"8"	"7"	"3"	"16"	"7"	"5"	"675"	"0"	"675"	"0"
"208"	"142"	"3"	"3"	"149"	"215"	"1"	"15"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"1"	"391"	"0"	"391"	"0"
"209"	"143"	"7"	"1"	"143"	"165"	"4"	"9"	"1"	"0"	"1"	"0"	"0"	"4"	"1"	"3"	"339"	"0"	"339"	"0"
"210"	"144"	"12"	"2"	"197"	"94"	"1"	"4"	"0"	"0"	"0"	"3"	"2"	"6"	"1"	"8"	"330"	"0"	"330"	"0"
"211"	"145"	"5"	"4"	"182"	"125"	"4"	"26"	"1"	"1"	"0"	"1"	"5"	"4"	"1"	"1"	"360"	"0"	"360"	"0"
"212"	"146"	"6"	"5"	"121"	"183"	"4"	"43"	"3"	"3"	"4"	"4"	"7"	"14"	"11"	"14"	"422"	"0"	"422"	"0"
"213"	"147"	"3"	"3"	"99"	"5"	"1"	"138"	"4"	"1"	"1"	"1"	"1"	"0"	"2"	"2"	"261"	"0"	"261"	"0"
"214"	"148"	"18"	"9"	"370"	"87"	"2"	"55"	"2"	"2"	"6"	"5"	"7"	"8"	"3"	"17"	"591"	"0"	"591"	"0"
"215"	"149"	"3"	"2"	"35"	"171"	"3"	"112"	"4"	"6"	"7"	"4"	"4"	"7"	"1"	"8"	"367"	"0"	"367"	"0"
"216"	"150"	"24"	"5"	"27"	"227"	"6"	"88"	"5"	"2"	"1"	"6"	"8"	"13"	"3"	"8"	"423"	"0"	"423"	"0"
"217"	"151"	"3"	"7"	"86"	"124"	"5"	"169"	"5"	"2"	"11"	"6"	"10"	"6"	"1"	"4"	"439"	"0"	"439"	"0"
"218"	"152"	"4"	"12"	"103"	"226"	"6"	"29"	"0"	"3"	"2"	"1"	"4"	"7"	"3"	"5"	"405"	"0"	"405"	"0"
"219"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"221"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"222"	"Total"	"1938"	"988"	"21086"	"31341"	"543"	"9299"	"396"	"344"	"409"	"360"	"710"	"1101"	"521"	"1218"	"70254"	"0"	"70254"	"0"
"223"	"B.F."	"1938"	"988"	"21086"	"31341"	"543"	"9299"	"396"	"344"	"409"	"360"	"710"	"1101"	"521"	"1218"	"70254"	"0"	"70254"	"0"
"224"	"153"	"3"	"3"	"69"	"243"	"3"	"11"	"1"	"4"	"2"	"5"	"18"	"8"	"9"	"14"	"393"	"0"	"393"	"0"
"225"	"154"	"0"	"0"	"1"	"3"	"1"	"96"	"1"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"106"	"0"	"106"	"0"
"226"	"155"	"1"	"0"	"215"	"9"	"1"	"4"	"0"	"0"	"0"	"3"	"1"	"2"	"3"	"1"	"240"	"0"	"240"	"0"
"227"	"156"	"0"	"0"	"30"	"3"	"2"	"41"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"2"	"82"	"0"	"82"	"0"
"228"	"157"	"2"	"7"	"270"	"108"	"1"	"61"	"1"	"3"	"2"	"0"	"3"	"1"	"1"	"4"	"464"	"0"	"464"	"0"
"229"	"158"	"1"	"2"	"41"	"166"	"2"	"39"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"3"	"258"	"0"	"258"	"0"
"230"	"159"	"2"	"1"	"65"	"138"	"6"	"28"	"1"	"1"	"0"	"0"	"1"	"3"	"0"	"0"	"246"	"0"	"246"	"0"
"231"	"160"	"5"	"11"	"155"	"159"	"7"	"87"	"4"	"5"	"8"	"3"	"4"	"6"	"2"	"10"	"466"	"0"	"466"	"0"
"232"	"161"	"2"	"1"	"71"	"110"	"2"	"174"	"8"	"21"	"9"	"2"	"10"	"7"	"4"	"10"	"431"	"0"	"431"	"0"
"233"	"162"	"4"	"1"	"18"	"97"	"4"	"92"	"3"	"2"	"0"	"1"	"5"	"0"	"0"	"1"	"228"	"0"	"228"	"0"
"234"	"163"	"5"	"0"	"145"	"119"	"2"	"63"	"1"	"2"	"3"	"2"	"1"	"5"	"1"	"5"	"354"	"0"	"354"	"0"
"235"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"237"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"238"	"164"	"1"	"1"	"57"	"122"	"2"	"38"	"3"	"3"	"2"	"1"	"2"	"3"	"1"	"1"	"237"	"0"	"237"	"0"
"239"	"165"	"5"	"2"	"75"	"142"	"3"	"58"	"1"	"2"	"4"	"0"	"3"	"7"	"6"	"4"	"312"	"0"	"312"	"0"
"240"	"166"	"24"	"8"	"73"	"228"	"3"	"68"	"6"	"3"	"5"	"5"	"10"	"18"	"9"	"13"	"473"	"0"	"473"	"0"
"241"	"Total"	"1993"	"1025"	"22371"	"32988"	"582"	"10159"	"426"	"393"	"445"	"385"	"770"	"1163"	"558"	"1286"	"74544"	"0"	"74544"	"0"
"242"	"B.F."	"1993"	"1025"	"22371"	"32988"	"582"	"10159"	"426"	"393"	"445"	"385"	"770"	"1163"	"558"	"1286"	"74544"	"0"	"74544"	"0"
"243"	"167"	"24"	"4"	"136"	"89"	"2"	"16"	"1"	"3"	"1"	"1"	"5"	"1"	"0"	"1"	"284"	"0"	"284"	"0"
"244"	"168"	"4"	"9"	"101"	"143"	"3"	"124"	"4"	"3"	"3"	"2"	"2"	"14"	"0"	"0"	"412"	"0"	"412"	"0"
"245"	"169"	"2"	"10"	"140"	"151"	"2"	"20"	"0"	"0"	"1"	"0"	"1"	"3"	"2"	"2"	"334"	"0"	"334"	"0"
"246"	"170"	"2"	"10"	"144"	"9"	"3"	"95"	"6"	"2"	"5"	"2"	"2"	"3"	"2"	"10"	"295"	"0"	"295"	"0"
"247"	"171"	"1"	"3"	"99"	"40"	"2"	"22"	"0"	"0"	"1"	"3"	"2"	"3"	"0"	"2"	"178"	"0"	"178"	"0"
"248"	"172"	"1"	"2"	"33"	"73"	"3"	"220"	"8"	"9"	"8"	"4"	"9"	"11"	"5"	"15"	"401"	"0"	"401"	"0"
"249"	"173"	"8"	"14"	"22"	"202"	"4"	"115"	"4"	"3"	"2"	"1"	"4"	"6"	"4"	"5"	"394"	"0"	"394"	"0"
"250"	"174"	"26"	"1"	"36"	"229"	"5"	"186"	"10"	"5"	"5"	"1"	"9"	"6"	"3"	"5"	"527"	"0"	"527"	"0"
"251"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"253"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"254"	"175"	"0"	"4"	"4"	"101"	"0"	"64"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"178"	"0"	"178"	"0"
"255"	"176"	"9"	"4"	"74"	"254"	"6"	"84"	"8"	"6"	"2"	"1"	"3"	"5"	"3"	"1"	"460"	"0"	"460"	"0"
"256"	"177"	"25"	"14"	"109"	"282"	"3"	"323"	"10"	"10"	"7"	"9"	"11"	"23"	"6"	"18"	"850"	"0"	"850"	"0"
"257"	"178"	"4"	"5"	"109"	"116"	"5"	"254"	"7"	"4"	"4"	"2"	"3"	"5"	"5"	"12"	"535"	"0"	"535"	"0"
"258"	"179"	"12"	"4"	"35"	"134"	"5"	"120"	"6"	"3"	"8"	"2"	"10"	"8"	"4"	"13"	"364"	"0"	"364"	"0"
"259"	"180"	"12"	"4"	"182"	"307"	"2"	"127"	"3"	"7"	"2"	"1"	"1"	"4"	"1"	"3"	"656"	"0"	"656"	"0"
"260"	"Total"	"2123"	"1113"	"23595"	"35118"	"627"	"11929"	"494"	"449"	"494"	"415"	"832"	"1255"	"594"	"1374"	"80412"	"0"	"80412"	"0"
"261"	"B.F."	"2123"	"1113"	"23595"	"35118"	"627"	"11929"	"494"	"449"	"494"	"415"	"832"	"1255"	"594"	"1374"	"80412"	"0"	"80412"	"0"
"262"	"181"	"4"	"13"	"59"	"226"	"5"	"99"	"2"	"3"	"3"	"2"	"1"	"4"	"1"	"3"	"425"	"0"	"425"	"0"
"263"	"182"	"10"	"3"	"70"	"143"	"5"	"155"	"4"	"1"	"5"	"5"	"4"	"13"	"4"	"23"	"445"	"0"	"445"	"0"
"264"	"183"	"6"	"25"	"121"	"191"	"5"	"39"	"1"	"11"	"8"	"1"	"6"	"11"	"4"	"8"	"437"	"0"	"437"	"0"
"265"	"184"	"12"	"36"	"99"	"239"	"1"	"19"	"2"	"6"	"2"	"1"	"5"	"15"	"6"	"8"	"451"	"0"	"451"	"0"
"266"	"185"	"3"	"13"	"71"	"303"	"6"	"36"	"6"	"5"	"6"	"1"	"5"	"12"	"3"	"10"	"480"	"0"	"480"	"0"
"267"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"269"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"270"	"186"	"52"	"3"	"6"	"129"	"2"	"6"	"2"	"0"	"0"	"1"	"0"	"2"	"1"	"5"	"209"	"0"	"209"	"0"
"271"	"187"	"10"	"3"	"153"	"37"	"1"	"180"	"4"	"2"	"3"	"4"	"2"	"3"	"0"	"3"	"405"	"0"	"405"	"0"
"272"	"188"	"6"	"0"	"68"	"26"	"2"	"154"	"1"	"0"	"3"	"2"	"0"	"2"	"0"	"2"	"266"	"0"	"266"	"0"
"273"	"189"	"12"	"13"	"326"	"88"	"2"	"13"	"5"	"6"	"1"	"2"	"1"	"9"	"3"	"10"	"491"	"0"	"491"	"0"
"274"	"190"	"14"	"6"	"66"	"156"	"4"	"128"	"1"	"1"	"4"	"0"	"14"	"5"	"8"	"15"	"422"	"0"	"422"	"0"
"275"	"191"	"23"	"3"	"94"	"182"	"6"	"58"	"1"	"5"	"5"	"2"	"3"	"4"	"3"	"10"	"399"	"0"	"399"	"0"
"276"	"192"	"12"	"37"	"79"	"78"	"2"	"209"	"5"	"2"	"1"	"4"	"1"	"10"	"3"	"12"	"455"	"0"	"455"	"0"
"277"	"193"	"14"	"60"	"67"	"151"	"8"	"264"	"4"	"0"	"4"	"2"	"1"	"6"	"0"	"3"	"584"	"0"	"584"	"0"
"278"	"194"	"17"	"5"	"56"	"66"	"2"	"22"	"0"	"0"	"1"	"1"	"3"	"3"	"2"	"2"	"180"	"0"	"180"	"0"
"279"	"Total"	"2318"	"1333"	"24930"	"37133"	"678"	"13311"	"532"	"491"	"540"	"443"	"878"	"1354"	"632"	"1488"	"86061"	"0"	"86061"	"0"
"280"	"B.F."	"2318"	"1333"	"24930"	"37133"	"678"	"13311"	"532"	"491"	"540"	"443"	"878"	"1354"	"632"	"1488"	"86061"	"0"	"86061"	"0"
"281"	"195"	"11"	"6"	"39"	"196"	"5"	"287"	"5"	"3"	"2"	"1"	"3"	"7"	"1"	"2"	"568"	"0"	"568"	"0"
"282"	"196"	"56"	"9"	"52"	"193"	"3"	"114"	"5"	"3"	"3"	"3"	"2"	"7"	"4"	"7"	"461"	"0"	"461"	"0"
"283"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"285"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"286"	"197"	"57"	"13"	"129"	"93"	"9"	"138"	"6"	"5"	"4"	"8"	"12"	"19"	"10"	"25"	"528"	"0"	"528"	"0"
"287"	"198"	"6"	"54"	"55"	"99"	"2"	"170"	"5"	"6"	"6"	"3"	"5"	"7"	"6"	"7"	"431"	"0"	"431"	"0"
"288"	"199"	"5"	"4"	"110"	"27"	"3"	"153"	"2"	"5"	"4"	"2"	"4"	"12"	"2"	"4"	"337"	"0"	"337"	"0"
"289"	"200"	"48"	"2"	"171"	"16"	"2"	"27"	"0"	"0"	"0"	"2"	"0"	"3"	"1"	"9"	"281"	"0"	"281"	"0"
"290"	"201"	"1"	"0"	"65"	"44"	"4"	"181"	"5"	"3"	"1"	"3"	"1"	"6"	"3"	"10"	"327"	"0"	"327"	"0"
"291"	"202"	"6"	"16"	"87"	"89"	"2"	"93"	"2"	"2"	"3"	"2"	"3"	"10"	"0"	"4"	"319"	"0"	"319"	"0"
"292"	"203"	"20"	"4"	"63"	"71"	"7"	"145"	"7"	"1"	"1"	"2"	"4"	"5"	"2"	"3"	"335"	"0"	"335"	"0"
"293"	"204"	"21"	"17"	"146"	"273"	"6"	"90"	"6"	"4"	"7"	"4"	"7"	"9"	"3"	"11"	"604"	"0"	"604"	"0"
"294"	"205"	"28"	"8"	"71"	"131"	"6"	"225"	"9"	"4"	"9"	"3"	"5"	"10"	"4"	"22"	"535"	"0"	"535"	"0"
"295"	"206"	"8"	"2"	"4"	"69"	"3"	"119"	"3"	"1"	"0"	"2"	"3"	"1"	"2"	"3"	"220"	"0"	"220"	"0"
"296"	"207"	"1"	"7"	"196"	"11"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"0"	"217"	"0"
"297"	"208"	"23"	"2"	"325"	"93"	"14"	"108"	"2"	"1"	"4"	"2"	"3"	"6"	"5"	"16"	"604"	"0"	"604"	"0"
"298"	"Total"	"2609"	"1477"	"26443"	"38538"	"744"	"15163"	"589"	"529"	"584"	"480"	"930"	"1456"	"675"	"1611"	"91828"	"0"	"91828"	"0"
"299"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"301"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
