"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Assembly elections) Name of the Assembly Segment  - 83 - Darbhanga Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of electors in Assembly constituency / Segment … 227393"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"182"	"161"	"155"	"32"	"3"	"525"	"141"	"3"	"1"	"4"	"4"	"2"	"2"	"15"	"732"	"-"	"732"	""
"183"	"162"	"156"	"63"	"1"	"205"	"205"	"6"	"6"	"0"	"6"	"2"	"1"	"10"	"505"	"-"	"505"	""
"184"	"163"	"157"	"26"	"0"	"34"	"252"	"2"	"6"	"1"	"0"	"0"	"1"	"0"	"322"	"-"	"322"	""
"185"	"164"	"158"	"48"	"2"	"28"	"312"	"5"	"3"	"3"	"1"	"0"	"0"	"2"	"404"	"-"	"404"	""
"186"	"165"	"159"	"83"	"2"	"158"	"308"	"8"	"3"	"1"	"4"	"2"	"0"	"4"	"573"	"-"	"573"	""
"187"	"166"	"160"	"46"	"3"	"111"	"249"	"4"	"3"	"1"	"0"	"2"	"0"	"2"	"421"	"-"	"421"	""
"188"	"167"	"161"	"14"	"2"	"5"	"139"	"2"	"6"	"0"	"2"	"1"	"2"	"8"	"181"	"-"	"181"	""
"189"	"168"	"162"	"28"	"3"	"168"	"393"	"10"	"11"	"3"	"7"	"3"	"3"	"14"	"643"	"-"	"643"	""
"190"	"169"	"163"	"55"	"1"	"171"	"333"	"5"	"0"	"5"	"5"	"5"	"2"	"6"	"588"	"-"	"588"	""
"191"	"170"	"164"	"82"	"2"	"139"	"346"	"10"	"1"	"3"	"1"	"6"	"1"	"7"	"598"	"-"	"598"	""
"192"	"171"	"165"	"85"	"1"	"107"	"229"	"3"	"3"	"1"	"3"	"5"	"5"	"5"	"447"	"-"	"447"	""
"193"	"172"	"166"	"70"	"4"	"46"	"330"	"16"	"1"	"0"	"2"	"2"	"1"	"1"	"473"	"-"	"473"	""
"194"	"173"	"167"	"42"	"4"	"301"	"257"	"8"	"20"	"6"	"7"	"6"	"2"	"7"	"660"	"-"	"660"	""
"195"	"174"	"168"	"33"	"2"	"13"	"339"	"5"	"3"	"2"	"0"	"1"	"0"	"12"	"410"	"-"	"410"	""
"196"	"175"	"169"	"25"	"1"	"197"	"337"	"6"	"0"	"3"	"5"	"6"	"2"	"5"	"587"	"-"	"587"	""
"197"	"176"	"170"	"16"	"0"	"31"	"532"	"15"	"2"	"5"	"7"	"6"	"2"	"19"	"635"	"-"	"635"	""
"198"	"177"	"171"	"27"	"1"	"19"	"533"	"10"	"1"	"2"	"1"	"2"	"1"	"0"	"597"	"-"	"597"	""
"199"	"178"	"172"	"14"	"1"	"19"	"259"	"5"	"0"	"2"	"3"	"1"	"4"	"0"	"308"	"-"	"308"	""
"200"	"179"	"173"	"14"	"3"	"231"	"187"	"3"	"1"	"4"	"2"	"0"	"2"	"4"	"451"	"-"	"451"	""
"201"	"180"	"174"	"26"	"4"	"212"	"419"	"5"	"6"	"1"	"3"	"6"	"0"	"1"	"683"	"-"	"683"	""
"202"	"181"	"175"	"39"	"3"	"422"	"291"	"2"	"2"	"5"	"7"	"3"	"3"	"7"	"784"	"-"	"784"	""
"203"	"182"	"176"	"27"	"4"	"308"	"160"	"2"	"1"	"1"	"5"	"2"	"3"	"9"	"522"	"-"	"522"	""
"204"	"Sl.
No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"205"	""	""	"Qamrul Hasan"	"Rakesh Nath Jha"	"Sanjay Saraogi"	"Sultan Ahmad"	"Krishna Kumar Suman Yadav"	"Navin Khattik"	"Rabindr a Kumar Dutta"	"Lal  Babu Mahto"	"Durganand Mahavir Nayak"	"Bharat Yadav"	"Bijay Shankar
Choudhary"	""	""	""	""
"206"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"17"	"18"	"19"	"20"
"207"	"183"	"177"	"32"	"3"	"513"	"168"	"5"	"7"	"15"	"6"	"3"	"4"	"21"	"777"	"-"	"777"	""
"208"	"184"	"178"	"30"	"2"	"453"	"195"	"7"	"3"	"5"	"5"	"4"	"0"	"7"	"711"	"-"	"711"	""
"209"	"185"	"179"	"29"	"8"	"398"	"123"	"6"	"9"	"16"	"7"	"15"	"10"	"31"	"652"	"-"	"652"	""
"210"	"186"	"180"	"29"	"1"	"246"	"310"	"9"	"2"	"1"	"2"	"4"	"0"	"5"	"609"	"-"	"609"	""
"211"	"187"	"181"	"17"	"2"	"372"	"293"	"10"	"6"	"3"	"4"	"9"	"3"	"13"	"732"	"-"	"732"	""
"212"	"188"	"182"	"15"	"7"	"322"	"91"	"0"	"3"	"3"	"3"	"3"	"4"	"11"	"462"	"-"	"462"	""
"213"	"189"	"183"	"24"	"2"	"244"	"56"	"1"	"1"	"0"	"1"	"3"	"2"	"8"	"342"	"-"	"342"	""
"214"	"190"	"183A"	"15"	"1"	"227"	"37"	"0"	"2"	"2"	"0"	"1"	"0"	"10"	"295"	"-"	"295"	""
"215"	"191"	"184"	"15"	"0"	"336"	"81"	"1"	"0"	"1"	"0"	"3"	"0"	"31"	"468"	"-"	"468"	""
"216"	"192"	"185"	"17"	"2"	"354"	"55"	"1"	"5"	"1"	"2"	"2"	"0"	"2"	"441"	"-"	"441"	""
"217"	"193"	"186"	"24"	"2"	"232"	"50"	"3"	"8"	"4"	"5"	"4"	"1"	"0"	"333"	"-"	"333"	""
"218"	"194"	"187"	"21"	"0"	"34"	"462"	"8"	"3"	"1"	"1"	"1"	"1"	"7"	"539"	"-"	"539"	""
"219"	"195"	"188"	"11"	"0"	"61"	"88"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"163"	"-"	"163"	""
"220"	"196"	"189"	"30"	"3"	"271"	"33"	"2"	"0"	"0"	"2"	"0"	"0"	"11"	"352"	"-"	"352"	""
"221"	"197"	"190"	"13"	"0"	"45"	"85"	"3"	"0"	"0"	"1"	"0"	"0"	"2"	"149"	"-"	"149"	""
"222"	"198"	"191"	"39"	"11"	"307"	"145"	"6"	"0"	"3"	"2"	"5"	"2"	"7"	"527"	"-"	"527"	""
"223"	"199"	"192"	"10"	"2"	"96"	"82"	"1"	"4"	"1"	"1"	"2"	"2"	"5"	"206"	"-"	"206"	""
"224"	"200"	"193"	"11"	"2"	"396"	"42"	"2"	"6"	"5"	"3"	"2"	"3"	"3"	"475"	"-"	"475"	""
"225"	"201"	"194"	"12"	"3"	"342"	"100"	"2"	"2"	"0"	"2"	"2"	"2"	"11"	"478"	"-"	"478"	""
"226"	"202"	"195"	"39"	"0"	"388"	"51"	"0"	"0"	"3"	"1"	"0"	"4"	"14"	"500"	"-"	"500"	""
"227"	"203"	"196"	"46"	"8"	"379"	"86"	"2"	"3"	"0"	"6"	"5"	"1"	"51"	"587"	"-"	"587"	""
"228"	"204"	"197"	"11"	"1"	"110"	"282"	"4"	"1"	"1"	"1"	"1"	"1"	"3"	"416"	"-"	"416"	""
"229"	"205"	"198"	"14"	"7"	"208"	"276"	"9"	"2"	"2"	"7"	"4"	"3"	"7"	"539"	"-"	"539"	""
"230"	"206"	"199"	"29"	"2"	"13"	"552"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"605"	"-"	"605"	""
"231"	"207"	"200"	"11"	"2"	"168"	"65"	"0"	"4"	"0"	"3"	"1"	"3"	"1"	"258"	"-"	"258"	""
"232"	"208"	"201"	"15"	"4"	"401"	"296"	"3"	"6"	"4"	"6"	"12"	"5"	"14"	"766"	"-"	"766"	""
"233"	"209"	"202"	"28"	"11"	"268"	"312"	"15"	"16"	"7"	"4"	"5"	"5"	"16"	"687"	"-"	"687"	""
"234"	"210"	"203"	"37"	"5"	"275"	"77"	"1"	"5"	"3"	"2"	"2"	"1"	"7"	"415"	"-"	"415"	""
"235"	"211"	"204"	"17"	"6"	"315"	"75"	"2"	"0"	"1"	"1"	"4"	"0"	"11"	"432"	"-"	"432"	""
"236"	"212"	"205"	"29"	"4"	"499"	"69"	"2"	"2"	"0"	"1"	"3"	"1"	"6"	"616"	"-"	"616"	""
"237"	"213"	"206"	"36"	"3"	"346"	"253"	"7"	"2"	"3"	"3"	"10"	"3"	"8"	"674"	"-"	"674"	""
"238"	"214"	"207"	"15"	"1"	"580"	"102"	"3"	"23"	"2"	"3"	"5"	"3"	"6"	"743"	"-"	"743"	""
"239"	"215"	"208"	"67"	"4"	"530"	"75"	"3"	"8"	"3"	"3"	"6"	"4"	"36"	"739"	"-"	"739"	""
"240"	"216"	"209"	"36"	"6"	"296"	"62"	"0"	"0"	"1"	"1"	"1"	"1"	"58"	"462"	"-"	"462"	""
"241"	"217"	"210"	"35"	"2"	"504"	"187"	"6"	"2"	"4"	"3"	"3"	"1"	"15"	"762"	"-"	"762"	""
"242"	"218"	"211"	"12"	"2"	"115"	"6"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"138"	"-"	"138"	""
"243"	"219"	"212"	"23"	"0"	"235"	"48"	"1"	"0"	"0"	"0"	"2"	"1"	"4"	"314"	"-"	"314"	""
"244"	"220"	"213"	"21"	"0"	"138"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"173"	"-"	"173"	""
"245"	"Sl.
No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"246"	""	""	"Qamrul Hasan"	"Rakesh Nath Jha"	"Sanjay Saraogi"	"Sultan Ahmad"	"Krishna Kumar Suman Yadav"	"Navin Khattik"	"Rabindr a Kumar Dutta"	"Lal  Babu Mahto"	"Durganand Mahavir Nayak"	"Bharat Yadav"	"Bijay Shankar
Choudhary"	""	""	""	""
"247"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"17"	"18"	"19"	"20"
"248"	"221"	"214"	"37"	"2"	"207"	"22"	"2"	"0"	"0"	"0"	"2"	"0"	"15"	"287"	"-"	"287"	""
"249"	"222"	"215"	"17"	"0"	"165"	"14"	"0"	"0"	"0"	"0"	"3"	"2"	"5"	"206"	"-"	"206"	""
"250"	"223"	"216"	"50"	"2"	"213"	"16"	"2"	"0"	"0"	"1"	"0"	"0"	"19"	"303"	"-"	"303"	""
"251"	"224"	"217"	"23"	"0"	"179"	"36"	"3"	"1"	"2"	"1"	"2"	"1"	"18"	"266"	"-"	"266"	""
"252"	"225"	"218"	"23"	"5"	"241"	"192"	"6"	"2"	"0"	"4"	"3"	"2"	"10"	"488"	"-"	"488"	""
"253"	"226"	"219"	"24"	"5"	"200"	"21"	"3"	"0"	"1"	"4"	"1"	"0"	"46"	"305"	"-"	"305"	""
"254"	"227"	"220"	"47"	"5"	"203"	"35"	"1"	"5"	"1"	"1"	"0"	"2"	"92"	"392"	"-"	"392"	""
"255"	"228"	"221"	"65"	"19"	"268"	"9"	"1"	"0"	"2"	"2"	"2"	"1"	"27"	"396"	"-"	"396"	""
"256"	"229"	"222"	"6"	"2"	"77"	"60"	"1"	"2"	"0"	"1"	"0"	"1"	"18"	"168"	"-"	"168"	""
"257"	"230"	"223"	"21"	"2"	"133"	"170"	"10"	"3"	"2"	"7"	"6"	"4"	"30"	"388"	"-"	"388"	""
"258"	"231"	"224"	"70"	"1"	"266"	"32"	"4"	"1"	"3"	"2"	"3"	"0"	"11"	"393"	"-"	"393"	""
"259"	"232"	"225"	"15"	"0"	"240"	"28"	"0"	"1"	"3"	"1"	"1"	"0"	"31"	"320"	"-"	"320"	""
"260"	"233"	"226"	"9"	"1"	"232"	"26"	"0"	"2"	"3"	"0"	"0"	"1"	"31"	"305"	"-"	"305"	""
"261"	"234"	"227"	"27"	"8"	"143"	"264"	"3"	"1"	"4"	"4"	"2"	"2"	"2"	"460"	"-"	"460"	""
"262"	"235"	"228"	"38"	"2"	"171"	"140"	"3"	"1"	"1"	"3"	"2"	"4"	"19"	"384"	"-"	"384"	""
"263"	"236"	"229"	"62"	"5"	"463"	"167"	"5"	"3"	"10"	"1"	"2"	"2"	"10"	"730"	"-"	"730"	""
"264"	"237"	"230"	"34"	"4"	"319"	"142"	"4"	"6"	"50"	"8"	"6"	"3"	"10"	"586"	"-"	"586"	""
"265"	"238"	"231"	"16"	"1"	"165"	"99"	"1"	"3"	"4"	"1"	"2"	"0"	"7"	"299"	"-"	"299"	""
"266"	"Tot al  No.  of
vot es recording at  polling
St at ions"	""	"7561"	"962"	"64132"	"36581"	"1333"	"1487"	"1154"	"980"	"1033"	"600"	"2768"	"118591"	"-"	"118591"	""
"267"	"No.  of vot es recorded on post al  ballot
papers (To be elect ion  from  an assembly
const it uency)"	""	"0"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"4"	"9"	""
"268"	"Total Votes polled"	""	"7561"	"962"	"64136"	"36582"	"1333"	"1487"	"1154"	"980"	"1033"	"600"	"2768"	"118596"	"4"	"118600"	""
"269"	"Place :    DARBHANGA                                                                                                                            Assistant  Returning Officer                                                     Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"Date  :    24/ 11/ 2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"83  - Darbhanga                                                                  83  - Darbhanga"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
