"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X233736.116.233852.33.Khajauli"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"149"	"98"	"134"	"25"	"4"	"1"	"142"	"1"	"3"	"2"	"2"	"1"	"3"	"4"	"0"	"1"	"2"	"7"	"332"	""	"332"	""
"150"	"99"	"285"	"290"	"14"	"5"	"81"	"5"	"4"	"1"	"0"	"2"	"3"	"0"	"0"	"1"	"0"	"3"	"694"	""	"694"	""
"151"	"100"	"347"	"43"	"3"	"4"	"67"	"2"	"8"	"4"	"4"	"5"	"2"	"4"	"3"	"4"	"11"	"21"	"532"	""	"532"	""
"152"	"101"	"98"	"189"	"19"	"7"	"262"	"11"	"25"	"7"	"5"	"4"	"5"	"10"	"2"	"2"	"14"	"5"	"665"	""	"665"	""
"153"	"102"	"43"	"133"	"12"	"15"	"505"	"17"	"19"	"8"	"8"	"7"	"8"	"7"	"5"	"5"	"5"	"8"	"805"	""	"805"	""
"154"	"103"	"149"	"144"	"19"	"6"	"377"	"8"	"24"	"7"	"8"	"7"	"4"	"3"	"3"	"1"	"16"	"5"	"781"	""	"781"	""
"155"	"104"	"90"	"147"	"20"	"12"	"145"	"11"	"13"	"7"	"14"	"10"	"13"	"4"	"6"	"6"	"96"	"7"	"601"	""	"601"	""
"156"	"105"	"23"	"184"	"12"	"3"	"246"	"6"	"9"	"4"	"7"	"8"	"14"	"4"	"1"	"3"	"10"	"20"	"554"	""	"554"	""
"157"	"106"	"311"	"41"	"11"	"9"	"72"	"0"	"6"	"3"	"1"	"3"	"1"	"3"	"3"	"12"	"7"	"5"	"488"	""	"488"	""
"158"	"Total -8"	"2111"	"2371"	"185"	"142"	"2643"	"89"	"163"	"63"	"73"	"65"	"88"	"58"	"46"	"50"	"228"	"130"	"8505"	"0"	"8505"	"0"
"159"	""	""	""	""	""	""	"233736+116=233852
33-Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"161"	""	"Amiruddin"	"Arun Shankar Prasad"	"Deepak Kumar Singh"	"Shambhu Pra Yadav"	"Sitaram Yadav"	"Naresh Kr. Singh"	"Pramod Kr.
Prabhakar"	"Laxmi Paswan"	"Hira Prasad Mishr"	"Ibrahim Abbasi"	"Gufran Ahamad"	"Chandraketuna Yadav"	"Brajesh Rout"	"Rajdeo Das"	"Ram Prasad Raut"	"Biswnath Yadav"	""	""	""	""
"162"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"163"	"B.F."	"9767"	"24594"	"1795"	"891"	"14699"	"575"	"857"	"521"	"2697"	"372"	"398"	"406"	"498"	"406"	"1189"	"819"	"60484"	"0"	"60484"	"0"
"164"	"107"	"146"	"28"	"15"	"8"	"322"	"8"	"8"	"5"	"3"	"3"	"9"	"8"	"4"	"1"	"26"	"17"	"611"	""	"611"	""
"165"	"107A"	"36"	"104"	"6"	"0"	"98"	"0"	"2"	"3"	"1"	"0"	"1"	"0"	"2"	"2"	"15"	"5"	"275"	""	"275"	""
"166"	"108"	"166"	"80"	"45"	"5"	"21"	"3"	"7"	"3"	"5"	"2"	"7"	"3"	"2"	"1"	"26"	"11"	"387"	""	"387"	""
"167"	"109"	"74"	"127"	"53"	"7"	"40"	"5"	"2"	"4"	"1"	"4"	"5"	"5"	"6"	"10"	"30"	"27"	"400"	""	"400"	""
"168"	"110"	"21"	"150"	"8"	"6"	"171"	"15"	"24"	"2"	"9"	"3"	"2"	"0"	"1"	"1"	"11"	"2"	"426"	""	"426"	""
"169"	"111"	"91"	"21"	"3"	"4"	"139"	"11"	"11"	"3"	"5"	"2"	"9"	"6"	"3"	"5"	"53"	"28"	"394"	""	"394"	""
"170"	"112"	"15"	"108"	"11"	"8"	"164"	"7"	"10"	"2"	"2"	"3"	"3"	"2"	"2"	"2"	"16"	"1"	"356"	""	"356"	""
"171"	"112A"	"32"	"165"	"11"	"13"	"174"	"57"	"16"	"6"	"13"	"8"	"8"	"12"	"7"	"9"	"11"	"13"	"555"	""	"555"	""
"172"	"113"	"21"	"271"	"14"	"9"	"190"	"128"	"8"	"3"	"11"	"9"	"4"	"3"	"7"	"19"	"9"	"7"	"713"	""	"713"	""
"173"	"114"	"16"	"92"	"4"	"25"	"37"	"12"	"6"	"5"	"8"	"4"	"5"	"2"	"8"	"7"	"10"	"12"	"253"	""	"253"	""
"174"	"115"	"177"	"190"	"17"	"7"	"281"	"25"	"18"	"9"	"22"	"7"	"13"	"20"	"13"	"14"	"33"	"50"	"896"	""	"896"	""
"175"	"116"	"216"	"21"	"13"	"7"	"81"	"3"	"10"	"5"	"4"	"4"	"4"	"5"	"1"	"0"	"3"	"6"	"383"	""	"383"	""
"176"	"117"	"17"	"35"	"3"	"7"	"208"	"9"	"6"	"6"	"4"	"5"	"11"	"18"	"3"	"3"	"7"	"6"	"348"	""	"348"	""
"177"	"118"	"16"	"217"	"7"	"4"	"148"	"3"	"11"	"4"	"6"	"3"	"6"	"6"	"1"	"1"	"5"	"5"	"443"	""	"443"	""
"178"	"Total -9"	"1044"	"1609"	"210"	"110"	"2074"	"286"	"139"	"60"	"94"	"57"	"87"	"90"	"60"	"75"	"255"	"190"	"6440"	"0"	"6440"	"0"
"179"	""	""	""	""	""	""	"233736+116=233852
33-Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"181"	""	"Amiruddin"	"Arun Shankar Prasad"	"Deepak Kumar Singh"	"Shambhu Pra Yadav"	"Sitaram Yadav"	"Naresh Kr. Singh"	"Pramod Kr.
Prabhakar"	"Laxmi Paswan"	"Hira Prasad Mishr"	"Ibrahim Abbasi"	"Gufran Ahamad"	"Chandraketuna Yadav"	"Brajesh Rout"	"Rajdeo Das"	"Ram Prasad Raut"	"Biswnath Yadav"	""	""	""	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"183"	"B.F."	"10811"	"26203"	"2005"	"1001"	"16773"	"861"	"996"	"581"	"2791"	"429"	"485"	"496"	"558"	"481"	"1444"	"1009"	"66924"	"0"	"66924"	"0"
"184"	"119"	"73"	"214"	"92"	"6"	"66"	"6"	"5"	"7"	"7"	"4"	"2"	"6"	"3"	"11"	"15"	"12"	"529"	""	"529"	""
"185"	"120"	"4"	"148"	"19"	"3"	"29"	"4"	"4"	"1"	"1"	"2"	"1"	"4"	"1"	"1"	"3"	"5"	"230"	""	"230"	""
"186"	"121"	"24"	"268"	"30"	"3"	"84"	"8"	"11"	"3"	"11"	"2"	"3"	"4"	"3"	"1"	"11"	"7"	"473"	""	"473"	""
"187"	"122"	"24"	"198"	"51"	"1"	"49"	"5"	"6"	"4"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"1"	"343"	""	"343"	""
"188"	"123"	"53"	"343"	"33"	"7"	"230"	"13"	"10"	"7"	"7"	"3"	"6"	"5"	"2"	"4"	"11"	"2"	"736"	""	"736"	""
"189"	"124"	"45"	"296"	"72"	"17"	"221"	"7"	"4"	"2"	"15"	"0"	"9"	"7"	"1"	"7"	"5"	"4"	"712"	""	"712"	""
"190"	"125"	"234"	"250"	"25"	"16"	"96"	"5"	"5"	"5"	"6"	"7"	"6"	"13"	"1"	"8"	"16"	"22"	"715"	""	"715"	""
"191"	"126"	"194"	"274"	"23"	"11"	"35"	"1"	"3"	"3"	"4"	"6"	"3"	"4"	"5"	"3"	"12"	"19"	"600"	""	"600"	""
"192"	"127"	"73"	"359"	"40"	"36"	"261"	"14"	"17"	"11"	"18"	"5"	"3"	"8"	"6"	"22"	"11"	"13"	"897"	""	"897"	""
"193"	"128"	"390"	"39"	"19"	"1"	"21"	"1"	"5"	"6"	"17"	"4"	"2"	"7"	"5"	"8"	"17"	"29"	"571"	""	"571"	""
"194"	"129"	"47"	"91"	"13"	"3"	"143"	"4"	"9"	"4"	"53"	"3"	"3"	"3"	"0"	"5"	"9"	"6"	"396"	""	"396"	""
"195"	"130"	"37"	"54"	"18"	"10"	"478"	"10"	"16"	"14"	"25"	"5"	"9"	"6"	"4"	"2"	"17"	"13"	"718"	""	"718"	""
"196"	"131"	"12"	"93"	"50"	"54"	"225"	"8"	"10"	"1"	"36"	"3"	"7"	"4"	"5"	"3"	"8"	"5"	"524"	""	"524"	""
"197"	"132"	"12"	"23"	"12"	"7"	"493"	"17"	"10"	"8"	"9"	"8"	"3"	"15"	"0"	"1"	"11"	"9"	"638"	""	"638"	""
"198"	"Total -10"	"1222"	"2650"	"497"	"175"	"2431"	"103"	"115"	"76"	"209"	"52"	"58"	"87"	"36"	"76"	"148"	"147"	"8082"	"0"	"8082"	"0"
"199"	""	""	""	""	""	""	"233736+116=233852
33-Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"201"	""	"Amiruddin"	"Arun Shankar Prasad"	"Deepak Kumar Singh"	"Shambhu Pra Yadav"	"Sitaram Yadav"	"Naresh Kr. Singh"	"Pramod Kr.
Prabhakar"	"Laxmi Paswan"	"Hira Prasad Mishr"	"Ibrahim Abbasi"	"Gufran Ahamad"	"Chandraketuna Yadav"	"Brajesh Rout"	"Rajdeo Das"	"Ram Prasad Raut"	"Biswnath Yadav"	""	""	""	""
"202"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"203"	"B.F."	"12033"	"28853"	"2502"	"1176"	"19204"	"964"	"1111"	"657"	"3000"	"481"	"543"	"583"	"594"	"557"	"1592"	"1156"	"75006"	"0"	"75006"	"0"
"204"	"133"	"44"	"308"	"87"	"21"	"155"	"10"	"13"	"9"	"19"	"3"	"4"	"3"	"1"	"5"	"11"	"5"	"698"	""	"698"	""
"205"	"134"	"73"	"286"	"22"	"24"	"272"	"10"	"20"	"11"	"41"	"10"	"5"	"9"	"4"	"3"	"4"	"0"	"794"	""	"794"	""
"206"	"135"	"5"	"37"	"11"	"9"	"402"	"5"	"10"	"2"	"13"	"1"	"0"	"7"	"0"	"5"	"1"	"0"	"508"	""	"508"	""
"207"	"136"	"20"	"73"	"8"	"21"	"488"	"6"	"6"	"4"	"38"	"3"	"7"	"9"	"2"	"5"	"21"	"5"	"716"	""	"716"	""
"208"	"137"	"16"	"15"	"5"	"5"	"319"	"8"	"12"	"2"	"6"	"1"	"9"	"9"	"2"	"2"	"10"	"15"	"436"	""	"436"	""
"209"	"138"	"25"	"479"	"26"	"11"	"57"	"11"	"6"	"4"	"2"	"2"	"3"	"2"	"0"	"6"	"9"	"6"	"649"	""	"649"	""
"210"	"139"	"25"	"224"	"138"	"7"	"103"	"8"	"10"	"4"	"4"	"7"	"4"	"0"	"2"	"11"	"5"	"3"	"555"	""	"555"	""
"211"	"140"	"47"	"313"	"40"	"6"	"86"	"4"	"2"	"2"	"23"	"6"	"1"	"7"	"0"	"4"	"10"	"9"	"560"	""	"560"	""
"212"	"141"	"48"	"270"	"53"	"11"	"25"	"9"	"8"	"2"	"5"	"3"	"6"	"3"	"4"	"2"	"11"	"8"	"468"	""	"468"	""
"213"	"142"	"152"	"206"	"42"	"8"	"26"	"3"	"4"	"1"	"5"	"3"	"5"	"3"	"2"	"5"	"5"	"2"	"472"	""	"472"	""
"214"	"142A"	"110"	"84"	"42"	"2"	"13"	"0"	"1"	"2"	"18"	"3"	"4"	"2"	"0"	"2"	"9"	"5"	"297"	""	"297"	""
"215"	"143"	"314"	"63"	"62"	"5"	"13"	"1"	"4"	"0"	"6"	"3"	"7"	"7"	"3"	"0"	"0"	"7"	"495"	""	"495"	""
"216"	"144"	"136"	"237"	"34"	"13"	"304"	"13"	"12"	"3"	"36"	"19"	"9"	"13"	"2"	"7"	"13"	"4"	"855"	""	"855"	""
"217"	"145"	"38"	"93"	"5"	"9"	"370"	"12"	"12"	"10"	"72"	"1"	"9"	"174"	"2"	"13"	"9"	"6"	"835"	""	"835"	""
"218"	"Total -11"	"1053"	"2688"	"575"	"152"	"2633"	"100"	"120"	"56"	"288"	"65"	"73"	"248"	"24"	"70"	"118"	"75"	"8338"	"0"	"8338"	"0"
"219"	""	""	""	""	""	""	"233736+116=233852
33-Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"221"	""	"Amiruddin"	"Arun Shankar Prasad"	"Deepak Kumar Singh"	"Shambhu Pra Yadav"	"Sitaram Yadav"	"Naresh Kr. Singh"	"Pramod Kr.
Prabhakar"	"Laxmi Paswan"	"Hira Prasad Mishr"	"Ibrahim Abbasi"	"Gufran Ahamad"	"Chandraketuna Yadav"	"Brajesh Rout"	"Rajdeo Das"	"Ram Prasad Raut"	"Biswnath Yadav"	""	""	""	""
"222"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"223"	"B.F."	"13086"	"31541"	"3077"	"1328"	"21837"	"1064"	"1231"	"713"	"3288"	"546"	"616"	"831"	"618"	"627"	"1710"	"1231"	"83344"	"0"	"83344"	"0"
"224"	"146"	"156"	"289"	"42"	"4"	"57"	"7"	"1"	"0"	"3"	"1"	"2"	"0"	"3"	"0"	"2"	"2"	"569"	""	"569"	""
"225"	"147"	"40"	"483"	"38"	"3"	"16"	"1"	"2"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"4"	"1"	"592"	""	"592"	""
"226"	"148"	"168"	"198"	"82"	"3"	"38"	"2"	"3"	"2"	"4"	"1"	"1"	"5"	"5"	"0"	"1"	"3"	"516"	""	"516"	""
"227"	"149"	"467"	"29"	"23"	"1"	"18"	"2"	"2"	"0"	"0"	"1"	"0"	"2"	"2"	"3"	"2"	"11"	"563"	""	"563"	""
"228"	"150"	"18"	"214"	"15"	"7"	"29"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"0"	"0"	"1"	"0"	"288"	""	"288"	""
"229"	"151"	"70"	"394"	"22"	"10"	"9"	"3"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"515"	""	"515"	""
"230"	"152"	"39"	"386"	"31"	"13"	"20"	"3"	"3"	"2"	"3"	"3"	"0"	"3"	"2"	"2"	"4"	"2"	"516"	""	"516"	""
"231"	"153"	"16"	"472"	"34"	"7"	"106"	"5"	"10"	"5"	"4"	"2"	"6"	"4"	"3"	"8"	"6"	"4"	"692"	""	"692"	""
"232"	"154"	"32"	"426"	"51"	"8"	"170"	"8"	"6"	"2"	"5"	"3"	"3"	"5"	"1"	"1"	"9"	"7"	"737"	""	"737"	""
"233"	"155"	"224"	"357"	"31"	"18"	"117"	"11"	"6"	"6"	"9"	"4"	"2"	"5"	"2"	"15"	"8"	"7"	"822"	""	"822"	""
"234"	"156"	"169"	"281"	"52"	"6"	"240"	"5"	"12"	"6"	"8"	"0"	"3"	"9"	"2"	"3"	"9"	"3"	"808"	""	"808"	""
"235"	"157"	"62"	"288"	"60"	"3"	"67"	"3"	"4"	"3"	"3"	"4"	"4"	"0"	"6"	"4"	"9"	"5"	"525"	""	"525"	""
"236"	"158"	"60"	"95"	"18"	"2"	"270"	"4"	"6"	"4"	"5"	"1"	"1"	"6"	"1"	"1"	"6"	"10"	"490"	""	"490"	""
"237"	"159"	"200"	"73"	"33"	"4"	"71"	"5"	"1"	"3"	"6"	"1"	"2"	"2"	"1"	"1"	"3"	"7"	"413"	""	"413"	""
"238"	"Total -12"	"1721"	"3985"	"532"	"89"	"1228"	"59"	"56"	"36"	"51"	"22"	"27"	"43"	"28"	"39"	"66"	"64"	"8046"	"0"	"8046"	"0"
"239"	""	""	""	""	""	""	"233736+116=233852
33-Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"241"	""	"Amiruddin"	"Arun Shankar Prasad"	"Deepak Kumar Singh"	"Shambhu Pra Yadav"	"Sitaram Yadav"	"Naresh Kr. Singh"	"Pramod Kr.
Prabhakar"	"Laxmi Paswan"	"Hira Prasad Mishr"	"Ibrahim Abbasi"	"Gufran Ahamad"	"Chandraketuna Yadav"	"Brajesh Rout"	"Rajdeo Das"	"Ram Prasad Raut"	"Biswnath Yadav"	""	""	""	""
"242"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"243"	"B.F."	"14807"	"35526"	"3609"	"1417"	"23065"	"1123"	"1287"	"749"	"3339"	"568"	"643"	"874"	"646"	"666"	"1776"	"1295"	"91390"	"0"	"91390"	"0"
"244"	"160"	"86"	"107"	"18"	"5"	"161"	"7"	"13"	"4"	"5"	"4"	"6"	"4"	"1"	"16"	"9"	"7"	"453"	""	"453"	""
"245"	"161"	"150"	"115"	"32"	"10"	"139"	"10"	"7"	"1"	"8"	"3"	"5"	"1"	"3"	"0"	"5"	"7"	"496"	""	"496"	""
"246"	"162"	"79"	"231"	"21"	"11"	"92"	"6"	"7"	"4"	"5"	"0"	"4"	"2"	"0"	"1"	"6"	"1"	"470"	""	"470"	""
"247"	"163"	"24"	"195"	"32"	"2"	"36"	"4"	"1"	"3"	"4"	"1"	"4"	"1"	"1"	"0"	"1"	"1"	"310"	""	"310"	""
"248"	"164"	"42"	"219"	"53"	"31"	"266"	"8"	"14"	"4"	"5"	"3"	"4"	"4"	"3"	"3"	"5"	"8"	"672"	""	"672"	""
"249"	"165"	"23"	"186"	"16"	"2"	"15"	"2"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"2"	"3"	"2"	"254"	""	"254"	""
"250"	"166"	"30"	"267"	"17"	"7"	"195"	"12"	"9"	"5"	"4"	"6"	"9"	"6"	"8"	"10"	"17"	"12"	"614"	""	"614"	""
"251"	"167"	"51"	"197"	"24"	"4"	"188"	"17"	"10"	"3"	"5"	"0"	"7"	"4"	"0"	"1"	"8"	"7"	"526"	""	"526"	""
"252"	"168"	"89"	"78"	"9"	"2"	"482"	"5"	"6"	"1"	"24"	"4"	"2"	"13"	"5"	"1"	"3"	"2"	"726"	""	"726"	""
"253"	"169"	"50"	"307"	"30"	"56"	"245"	"14"	"21"	"16"	"6"	"11"	"13"	"8"	"2"	"5"	"9"	"1"	"794"	""	"794"	""
"254"	"170"	"63"	"149"	"15"	"7"	"460"	"14"	"14"	"20"	"11"	"7"	"9"	"14"	"5"	"6"	"18"	"14"	"826"	""	"826"	""
"255"	"171"	"14"	"63"	"9"	"11"	"466"	"8"	"24"	"7"	"5"	"6"	"5"	"4"	"3"	"4"	"14"	"6"	"649"	""	"649"	""
"256"	"172"	"90"	"74"	"25"	"11"	"391"	"10"	"162"	"13"	"15"	"9"	"14"	"11"	"5"	"0"	"13"	"11"	"854"	""	"854"	""
"257"	"173"	"152"	"52"	"20"	"9"	"262"	"4"	"14"	"3"	"6"	"7"	"10"	"11"	"5"	"4"	"19"	"23"	"601"	""	"601"	""
"258"	"Total -13"	"943"	"2240"	"321"	"168"	"3398"	"121"	"302"	"84"	"104"	"61"	"93"	"84"	"41"	"53"	"130"	"102"	"8245"	"0"	"8245"	"0"
"259"	""	""	""	""	""	""	"233736+116=233852
33-Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"261"	""	"Amiruddin"	"Arun Shankar Prasad"	"Deepak Kumar Singh"	"Shambhu Pra Yadav"	"Sitaram Yadav"	"Naresh Kr. Singh"	"Pramod Kr.
Prabhakar"	"Laxmi Paswan"	"Hira Prasad Mishr"	"Ibrahim Abbasi"	"Gufran Ahamad"	"Chandraketuna Yadav"	"Brajesh Rout"	"Rajdeo Das"	"Ram Prasad Raut"	"Biswnath Yadav"	""	""	""	""
"262"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"263"	"B.F."	"15750"	"37766"	"3930"	"1585"	"26463"	"1244"	"1589"	"833"	"3443"	"629"	"736"	"958"	"687"	"719"	"1906"	"1397"	"99635"	"0"	"99635"	"0"
"264"	"174"	"333"	"46"	"19"	"5"	"30"	"1"	"1"	"3"	"1"	"0"	"6"	"4"	"2"	"4"	"5"	"24"	"484"	""	"484"	""
"265"	"175"	"233"	"78"	"23"	"7"	"147"	"5"	"9"	"4"	"6"	"2"	"4"	"8"	"7"	"2"	"6"	"9"	"550"	""	"550"	""
"266"	"176"	"249"	"94"	"10"	"14"	"180"	"3"	"17"	"4"	"5"	"4"	"2"	"3"	"2"	"0"	"11"	"18"	"616"	""	"616"	""
"267"	"177"	"9"	"1"	"2"	"3"	"136"	"4"	"5"	"0"	"19"	"3"	"3"	"13"	"0"	"0"	"1"	"4"	"203"	""	"203"	""
"268"	"178"	"18"	"194"	"10"	"7"	"121"	"13"	"5"	"5"	"4"	"4"	"8"	"3"	"5"	"2"	"6"	"10"	"415"	""	"415"	""
"269"	"178A"	"3"	"37"	"10"	"10"	"166"	"4"	"6"	"4"	"3"	"2"	"0"	"10"	"6"	"4"	"6"	"11"	"282"	""	"282"	""
"270"	"179"	"34"	"458"	"22"	"6"	"48"	"11"	"7"	"7"	"6"	"3"	"13"	"6"	"7"	"5"	"11"	"6"	"650"	""	"650"	""
"271"	"180"	"11"	"159"	"26"	"5"	"133"	"9"	"8"	"8"	"14"	"5"	"5"	"18"	"1"	"1"	"6"	"7"	"416"	""	"416"	""
"272"	"181"	"48"	"182"	"50"	"9"	"203"	"8"	"19"	"9"	"6"	"10"	"17"	"11"	"5"	"7"	"22"	"31"	"637"	""	"637"	""
"273"	"182"	"32"	"335"	"21"	"5"	"30"	"4"	"4"	"2"	"3"	"0"	"1"	"6"	"2"	"4"	"8"	"9"	"466"	""	"466"	""
"274"	"183"	"30"	"74"	"46"	"18"	"406"	"7"	"7"	"2"	"1"	"3"	"10"	"6"	"3"	"9"	"11"	"11"	"644"	""	"644"	""
"275"	"184"	"13"	"10"	"11"	"8"	"601"	"2"	"12"	"2"	"4"	"0"	"8"	"6"	"0"	"1"	"2"	"4"	"684"	""	"684"	""
"276"	"185"	"12"	"181"	"18"	"9"	"315"	"9"	"7"	"0"	"3"	"5"	"7"	"9"	"2"	"4"	"12"	"15"	"608"	""	"608"	""
"277"	"186"	"15"	"186"	"16"	"5"	"31"	"2"	"1"	"2"	"3"	"2"	"0"	"1"	"0"	"1"	"6"	"1"	"272"	""	"272"	""
"278"	"Total -14"	"1040"	"2035"	"284"	"111"	"2547"	"82"	"108"	"52"	"78"	"43"	"84"	"104"	"42"	"44"	"113"	"160"	"6927"	"0"	"6927"	"0"
"279"	""	""	""	""	""	""	"233736+116=233852
33-Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"281"	""	"Amiruddin"	"Arun Shankar Prasad"	"Deepak Kumar Singh"	"Shambhu Pra Yadav"	"Sitaram Yadav"	"Naresh Kr. Singh"	"Pramod Kr.
Prabhakar"	"Laxmi Paswan"	"Hira Prasad Mishr"	"Ibrahim Abbasi"	"Gufran Ahamad"	"Chandraketuna Yadav"	"Brajesh Rout"	"Rajdeo Das"	"Ram Prasad Raut"	"Biswnath Yadav"	""	""	""	""
"282"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"283"	"B.F."	"16790"	"39801"	"4214"	"1696"	"29010"	"1326"	"1697"	"885"	"3521"	"672"	"820"	"1062"	"729"	"763"	"2019"	"1557"	"106562"	"0"	"106562"	"0"
"284"	"187"	"53"	"44"	"33"	"10"	"509"	"5"	"20"	"2"	"4"	"6"	"12"	"15"	"1"	"8"	"12"	"17"	"751"	""	"751"	""
"285"	"188"	"39"	"113"	"34"	"1"	"229"	"8"	"21"	"7"	"3"	"3"	"3"	"4"	"1"	"2"	"6"	"1"	"475"	""	"475"	""
"286"	"189"	"27"	"297"	"17"	"8"	"129"	"13"	"11"	"10"	"82"	"4"	"6"	"3"	"5"	"0"	"8"	"7"	"627"	""	"627"	""
"287"	"190"	"14"	"74"	"26"	"14"	"372"	"14"	"18"	"13"	"10"	"2"	"6"	"8"	"0"	"3"	"8"	"1"	"583"	""	"583"	""
"288"	"191"	"12"	"259"	"22"	"4"	"57"	"1"	"4"	"4"	"5"	"2"	"4"	"0"	"0"	"1"	"7"	"1"	"383"	""	"383"	""
"289"	"192"	"30"	"315"	"29"	"7"	"77"	"7"	"11"	"7"	"28"	"5"	"3"	"4"	"6"	"5"	"8"	"0"	"542"	""	"542"	""
"290"	"193"	"3"	"11"	"27"	"6"	"272"	"5"	"5"	"0"	"18"	"2"	"4"	"10"	"0"	"1"	"2"	"8"	"374"	""	"374"	""
"291"	"194"	"24"	"9"	"27"	"8"	"479"	"5"	"4"	"3"	"1"	"2"	"9"	"5"	"0"	"1"	"4"	"5"	"586"	""	"586"	""
"292"	"195"	"2"	"52"	"14"	"15"	"205"	"4"	"4"	"0"	"28"	"5"	"3"	"1"	"2"	"2"	"7"	"0"	"344"	""	"344"	""
"293"	"195A"	"36"	"130"	"41"	"15"	"50"	"8"	"11"	"5"	"44"	"7"	"1"	"4"	"3"	"23"	"6"	"3"	"387"	""	"387"	""
"294"	"196"	"50"	"252"	"23"	"5"	"70"	"10"	"13"	"4"	"32"	"7"	"7"	"6"	"5"	"6"	"23"	"15"	"528"	""	"528"	""
"295"	"197"	"7"	"152"	"108"	"10"	"49"	"6"	"6"	"5"	"5"	"2"	"1"	"4"	"1"	"2"	"10"	"3"	"371"	""	"371"	""
"296"	"197A"	"14"	"147"	"121"	"33"	"21"	"7"	"4"	"1"	"6"	"4"	"0"	"3"	"3"	"2"	"0"	"1"	"367"	""	"367"	""
"297"	"198"	"21"	"164"	"115"	"14"	"208"	"10"	"21"	"11"	"13"	"6"	"6"	"4"	"6"	"14"	"13"	"13"	"639"	""	"639"	""
"298"	"Total -15"	"332"	"2019"	"637"	"150"	"2727"	"103"	"153"	"72"	"279"	"57"	"65"	"71"	"33"	"70"	"114"	"75"	"6957"	"0"	"6957"	"0"
"299"	""	""	""	""	""	""	"233736+116=233852
33-Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
