"TOTAL.NO..OF.ELECTORS.IN.ASSEMBLY.CONSTITUENCY....235140"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"114"	"84"	"9"	"1"	"64"	"174"	"97"	"6"	"14"	"0"	"4"	"3"	"15"	"0"	"1"	"3"	"1"	"5"	"3"	"0"	"0"	"1"	"2"	"3"	"406"	""	"406"	""
"115"	"TOTAL"	"12376"	"393"	"4505"	"6306"	"13559"	"217"	"116"	"106"	"217"	"866"	"2255"	"156"	"1497"	"117"	"182"	"396"	"285"	"59"	"100"	"200"	"200"	"160"	"44268"	"0"	"44268"	"0"
"116"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"117"	""	"Dr. Ajay Alok"	"Abhishek Kumar Singh"	"Dharmendra Kumar Singh"	"Mohammad Zama Khan"	"Brij Kishor Vind"	"Gyanchand Singh"	"Daya Shankar Singh"	"Parmeshwar Singh"	"Madan Ram"	"Ram Krishan Kharwar"	"Ramchandra Singh Yadav"	"Vinay Kumar"	"Vishvambhar Nath Singh Alias Wakil Yadav"	"Santosh Kumar Singh"	"Suman Devi"	"Kaushal Kishore Prasad Shrivastava"	"Jawahir Singh"	"Dhunia Devi"	"Bikas Tiwari"	"Ravi Prasad"	"Shyam Sundar Ram"	"Surya Kant Prasad"	""	""	""	""
"118"	"BF"	"12376"	"393"	"4505"	"6306"	"13559"	"217"	"116"	"106"	"217"	"866"	"2255"	"156"	"1497"	"117"	"182"	"396"	"285"	"59"	"100"	"200"	"200"	"160"	"44268"	"0"	"44268"	"0"
"119"	"85"	"94"	"4"	"125"	"104"	"117"	"1"	"3"	"2"	"1"	"7"	"15"	"0"	"4"	"1"	"3"	"3"	"2"	"1"	"1"	"3"	"4"	"1"	"496"	""	"496"	""
"120"	"86"	"242"	"5"	"70"	"26"	"109"	"2"	"0"	"0"	"1"	"2"	"5"	"0"	"0"	"1"	"4"	"3"	"1"	"0"	"0"	"0"	"1"	"1"	"473"	""	"473"	""
"121"	"87"	"43"	"2"	"52"	"79"	"304"	"4"	"0"	"1"	"2"	"3"	"4"	"0"	"1"	"1"	"7"	"9"	"1"	"0"	"1"	"0"	"7"	"0"	"521"	""	"521"	""
"122"	"88"	"156"	"7"	"41"	"50"	"312"	"5"	"2"	"2"	"1"	"4"	"2"	"4"	"4"	"3"	"2"	"10"	"9"	"2"	"2"	"3"	"13"	"6"	"640"	""	"640"	""
"123"	"89"	"27"	"3"	"4"	"13"	"485"	"9"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"2"	"12"	"8"	"0"	"571"	""	"571"	""
"124"	"90"	"167"	"2"	"92"	"145"	"404"	"4"	"10"	"0"	"3"	"27"	"14"	"1"	"0"	"1"	"1"	"5"	"2"	"1"	"0"	"0"	"0"	"0"	"879"	""	"879"	""
"125"	"91"	"95"	"2"	"23"	"44"	"380"	"5"	"2"	"1"	"3"	"0"	"4"	"4"	"0"	"1"	"2"	"3"	"4"	"1"	"1"	"2"	"2"	"1"	"580"	""	"580"	""
"126"	"92"	"52"	"0"	"0"	"54"	"79"	"2"	"0"	"0"	"8"	"0"	"2"	"1"	"1"	"0"	"1"	"2"	"2"	"0"	"2"	"2"	"5"	"1"	"214"	""	"214"	""
"127"	"93"	"60"	"0"	"4"	"311"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"386"	""	"386"	""
"128"	"94"	"196"	"3"	"94"	"20"	"324"	"7"	"2"	"5"	"9"	"15"	"5"	"4"	"5"	"3"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"704"	""	"704"	""
"129"	"95"	"18"	"3"	"96"	"81"	"261"	"6"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"471"	""	"471"	""
"130"	"96"	"207"	"1"	"26"	"37"	"222"	"1"	"2"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"502"	""	"502"	""
"131"	"97"	"25"	"1"	"79"	"451"	"14"	"1"	"2"	"0"	"1"	"5"	"11"	"0"	"0"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"595"	""	"595"	""
"132"	"98"	"26"	"3"	"56"	"524"	"67"	"0"	"0"	"0"	"0"	"1"	"4"	"0"	"1"	"0"	"2"	"2"	"1"	"1"	"0"	"0"	"1"	"0"	"689"	""	"689"	""
"133"	"TOTAL"	"13784"	"429"	"5267"	"8245"	"16642"	"264"	"140"	"117"	"249"	"933"	"2322"	"172"	"1514"	"128"	"215"	"450"	"308"	"65"	"109"	"222"	"241"	"173"	"51989"	"0"	"51989"	"0"
"134"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"135"	""	"Dr. Ajay Alok"	"Abhishek Kumar Singh"	"Dharmendra Kumar Singh"	"Mohammad Zama Khan"	"Brij Kishor Vind"	"Gyanchand Singh"	"Daya Shankar Singh"	"Parmeshwar Singh"	"Madan Ram"	"Ram Krishan Kharwar"	"Ramchandra Singh Yadav"	"Vinay Kumar"	"Vishvambhar Nath Singh Alias Wakil Yadav"	"Santosh Kumar Singh"	"Suman Devi"	"Kaushal Kishore Prasad Shrivastava"	"Jawahir Singh"	"Dhunia Devi"	"Bikas Tiwari"	"Ravi Prasad"	"Shyam Sundar Ram"	"Surya Kant Prasad"	""	""	""	""
"136"	"BF"	"13784"	"429"	"5267"	"8245"	"16642"	"264"	"140"	"117"	"249"	"933"	"2322"	"172"	"1514"	"128"	"215"	"450"	"308"	"65"	"109"	"222"	"241"	"173"	"51989"	"0"	"51989"	"0"
"137"	"99"	"19"	"0"	"2"	"22"	"543"	"8"	"0"	"1"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"600"	""	"600"	""
"138"	"100"	"106"	"2"	"15"	"158"	"152"	"4"	"0"	"3"	"5"	"7"	"10"	"5"	"5"	"8"	"2"	"16"	"5"	"0"	"1"	"0"	"1"	"4"	"509"	""	"509"	""
"139"	"101"	"21"	"1"	"14"	"380"	"17"	"3"	"1"	"1"	"1"	"0"	"4"	"6"	"1"	"0"	"0"	"7"	"1"	"1"	"0"	"1"	"0"	"0"	"460"	""	"460"	""
"140"	"102"	"163"	"5"	"34"	"253"	"216"	"4"	"2"	"2"	"0"	"1"	"9"	"6"	"9"	"4"	"7"	"26"	"10"	"2"	"2"	"3"	"8"	"4"	"770"	""	"770"	""
"141"	"103"	"202"	"5"	"30"	"81"	"431"	"5"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"3"	"0"	"0"	"1"	"764"	""	"764"	""
"142"	"104"	"185"	"1"	"12"	"337"	"96"	"7"	"1"	"1"	"2"	"2"	"5"	"3"	"5"	"1"	"1"	"15"	"4"	"0"	"3"	"2"	"3"	"3"	"689"	""	"689"	""
"143"	"105"	"90"	"2"	"9"	"47"	"255"	"4"	"0"	"0"	"1"	"0"	"3"	"3"	"10"	"1"	"1"	"5"	"7"	"1"	"1"	"1"	"6"	"1"	"448"	""	"448"	""
"144"	"106"	"87"	"3"	"15"	"96"	"193"	"5"	"1"	"1"	"4"	"3"	"4"	"1"	"3"	"3"	"3"	"4"	"0"	"0"	"8"	"1"	"1"	"0"	"436"	""	"436"	""
"145"	"107"	"115"	"7"	"85"	"25"	"427"	"10"	"0"	"3"	"4"	"33"	"6"	"3"	"1"	"2"	"6"	"6"	"2"	"0"	"0"	"1"	"0"	"3"	"739"	""	"739"	""
"146"	"108"	"295"	"7"	"101"	"12"	"176"	"4"	"1"	"3"	"4"	"158"	"6"	"2"	"6"	"5"	"3"	"0"	"1"	"1"	"1"	"0"	"1"	"2"	"789"	""	"789"	""
"147"	"109"	"103"	"1"	"17"	"93"	"340"	"6"	"1"	"1"	"1"	"26"	"3"	"1"	"1"	"2"	"1"	"4"	"17"	"0"	"4"	"15"	"36"	"7"	"680"	""	"680"	""
"148"	"110"	"317"	"8"	"63"	"50"	"218"	"4"	"0"	"2"	"1"	"2"	"5"	"4"	"2"	"0"	"2"	"3"	"10"	"3"	"4"	"2"	"4"	"2"	"706"	""	"706"	""
"149"	"111"	"360"	"10"	"97"	"16"	"340"	"8"	"2"	"2"	"5"	"16"	"14"	"1"	"0"	"0"	"3"	"4"	"9"	"0"	"0"	"3"	"9"	"5"	"904"	""	"904"	""
"150"	"112"	"149"	"4"	"63"	"58"	"146"	"6"	"2"	"1"	"0"	"64"	"93"	"6"	"2"	"1"	"7"	"17"	"3"	"1"	"1"	"1"	"2"	"1"	"628"	""	"628"	""
"151"	"TOTAL"	"15996"	"485"	"5824"	"9873"	"20192"	"342"	"151"	"138"	"280"	"1245"	"2488"	"213"	"1559"	"155"	"251"	"557"	"381"	"74"	"137"	"252"	"312"	"206"	"61111"	"0"	"61111"	"0"
"152"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"153"	""	"Dr. Ajay Alok"	"Abhishek Kumar Singh"	"Dharmendra Kumar Singh"	"Mohammad Zama Khan"	"Brij Kishor Vind"	"Gyanchand Singh"	"Daya Shankar Singh"	"Parmeshwar Singh"	"Madan Ram"	"Ram Krishan Kharwar"	"Ramchandra Singh Yadav"	"Vinay Kumar"	"Vishvambhar Nath Singh Alias Wakil Yadav"	"Santosh Kumar Singh"	"Suman Devi"	"Kaushal Kishore Prasad Shrivastava"	"Jawahir Singh"	"Dhunia Devi"	"Bikas Tiwari"	"Ravi Prasad"	"Shyam Sundar Ram"	"Surya Kant Prasad"	""	""	""	""
"154"	"BF"	"15996"	"485"	"5824"	"9873"	"20192"	"342"	"151"	"138"	"280"	"1245"	"2488"	"213"	"1559"	"155"	"251"	"557"	"381"	"74"	"137"	"252"	"312"	"206"	"61111"	"0"	"61111"	"0"
"155"	"113"	"51"	"3"	"326"	"26"	"63"	"1"	"1"	"0"	"4"	"0"	"3"	"1"	"4"	"3"	"4"	"3"	"5"	"1"	"1"	"0"	"7"	"0"	"507"	""	"507"	""
"156"	"114"	"294"	"9"	"95"	"14"	"116"	"3"	"2"	"2"	"2"	"2"	"9"	"2"	"1"	"1"	"3"	"6"	"3"	"2"	"1"	"0"	"3"	"2"	"572"	""	"572"	""
"157"	"115"	"224"	"1"	"12"	"99"	"144"	"2"	"2"	"3"	"0"	"0"	"5"	"5"	"0"	"1"	"2"	"5"	"2"	"0"	"1"	"2"	"1"	"1"	"512"	""	"512"	""
"158"	"116"	"338"	"4"	"11"	"14"	"142"	"2"	"0"	"0"	"0"	"6"	"5"	"0"	"1"	"1"	"3"	"8"	"7"	"1"	"1"	"1"	"0"	"0"	"545"	""	"545"	""
"159"	"117"	"261"	"11"	"8"	"173"	"167"	"1"	"0"	"0"	"1"	"1"	"9"	"1"	"1"	"2"	"2"	"7"	"4"	"1"	"2"	"0"	"0"	"1"	"653"	""	"653"	""
"160"	"118"	"334"	"11"	"31"	"163"	"193"	"6"	"2"	"3"	"6"	"57"	"55"	"2"	"5"	"5"	"6"	"14"	"5"	"4"	"1"	"3"	"1"	"4"	"911"	""	"911"	""
"161"	"119"	"119"	"4"	"58"	"131"	"340"	"4"	"2"	"1"	"2"	"19"	"37"	"1"	"6"	"1"	"1"	"2"	"2"	"1"	"1"	"0"	"2"	"2"	"736"	""	"736"	""
"162"	"120"	"199"	"6"	"98"	"47"	"178"	"1"	"0"	"1"	"2"	"1"	"26"	"0"	"1"	"1"	"5"	"7"	"14"	"1"	"3"	"1"	"3"	"8"	"603"	""	"603"	""
"163"	"121"	"17"	"0"	"6"	"4"	"210"	"3"	"2"	"2"	"1"	"1"	"0"	"1"	"1"	"2"	"0"	"2"	"0"	"6"	"0"	"3"	"0"	"19"	"280"	""	"280"	""
"164"	"122"	"48"	"0"	"118"	"40"	"216"	"3"	"0"	"1"	"2"	"2"	"12"	"0"	"1"	"0"	"0"	"1"	"3"	"0"	"2"	"0"	"3"	"2"	"454"	""	"454"	""
"165"	"123"	"132"	"2"	"13"	"7"	"177"	"6"	"0"	"3"	"1"	"29"	"28"	"3"	"1"	"0"	"2"	"5"	"6"	"0"	"0"	"2"	"6"	"0"	"423"	""	"423"	""
"166"	"124"	"159"	"3"	"99"	"5"	"266"	"2"	"1"	"0"	"1"	"1"	"15"	"0"	"0"	"0"	"3"	"4"	"1"	"0"	"0"	"2"	"2"	"0"	"564"	""	"564"	""
"167"	"125"	"133"	"0"	"169"	"72"	"319"	"7"	"0"	"1"	"2"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"2"	"1"	"6"	"3"	"721"	""	"721"	""
"168"	"126"	"40"	"0"	"70"	"437"	"18"	"0"	"1"	"0"	"2"	"1"	"0"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"577"	""	"577"	""
"169"	"TOTAL"	"18345"	"539"	"6938"	"11105"	"22741"	"383"	"164"	"155"	"306"	"1366"	"2693"	"229"	"1584"	"173"	"284"	"622"	"434"	"91"	"152"	"268"	"347"	"250"	"69169"	"0"	"69169"	"0"
"170"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"171"	""	"Dr. Ajay Alok"	"Abhishek Kumar Singh"	"Dharmendra Kumar Singh"	"Mohammad Zama Khan"	"Brij Kishor Vind"	"Gyanchand Singh"	"Daya Shankar Singh"	"Parmeshwar Singh"	"Madan Ram"	"Ram Krishan Kharwar"	"Ramchandra Singh Yadav"	"Vinay Kumar"	"Vishvambhar Nath Singh Alias Wakil Yadav"	"Santosh Kumar Singh"	"Suman Devi"	"Kaushal Kishore Prasad Shrivastava"	"Jawahir Singh"	"Dhunia Devi"	"Bikas Tiwari"	"Ravi Prasad"	"Shyam Sundar Ram"	"Surya Kant Prasad"	""	""	""	""
"172"	"BF"	"18345"	"539"	"6938"	"11105"	"22741"	"383"	"164"	"155"	"306"	"1366"	"2693"	"229"	"1584"	"173"	"284"	"622"	"434"	"91"	"152"	"268"	"347"	"250"	"69169"	"0"	"69169"	"0"
"173"	"127"	"20"	"0"	"13"	"322"	"83"	"5"	"1"	"1"	"1"	"0"	"6"	"2"	"1"	"0"	"2"	"3"	"1"	"0"	"2"	"4"	"1"	"0"	"468"	""	"468"	""
"174"	"128"	"16"	"1"	"6"	"336"	"91"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"2"	"0"	"1"	"2"	"6"	"5"	"0"	"473"	""	"473"	""
"175"	"129"	"173"	"4"	"81"	"51"	"53"	"1"	"0"	"0"	"1"	"2"	"21"	"1"	"0"	"1"	"2"	"6"	"1"	"0"	"0"	"1"	"0"	"1"	"400"	""	"400"	""
"176"	"130"	"55"	"5"	"105"	"216"	"159"	"2"	"2"	"0"	"2"	"0"	"15"	"0"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"3"	"1"	"1"	"572"	""	"572"	""
"177"	"131"	"107"	"3"	"42"	"372"	"87"	"4"	"0"	"1"	"1"	"1"	"4"	"0"	"2"	"1"	"4"	"5"	"10"	"2"	"2"	"18"	"15"	"7"	"688"	""	"688"	""
"178"	"132"	"67"	"0"	"20"	"421"	"95"	"1"	"0"	"2"	"1"	"2"	"45"	"3"	"4"	"3"	"3"	"5"	"1"	"0"	"0"	"2"	"5"	"4"	"684"	""	"684"	""
"179"	"133"	"217"	"2"	"47"	"91"	"145"	"3"	"0"	"1"	"1"	"16"	"44"	"2"	"0"	"2"	"3"	"4"	"3"	"0"	"0"	"2"	"2"	"0"	"585"	""	"585"	""
"180"	"134"	"177"	"5"	"47"	"206"	"88"	"3"	"0"	"2"	"2"	"84"	"30"	"1"	"2"	"1"	"1"	"5"	"7"	"0"	"1"	"4"	"8"	"2"	"676"	""	"676"	""
"181"	"135"	"214"	"2"	"8"	"15"	"127"	"1"	"0"	"4"	"3"	"105"	"25"	"0"	"2"	"0"	"2"	"2"	"3"	"0"	"0"	"2"	"0"	"1"	"516"	""	"516"	""
"182"	"136"	"83"	"1"	"21"	"127"	"83"	"1"	"0"	"0"	"1"	"3"	"97"	"5"	"2"	"2"	"1"	"3"	"4"	"0"	"0"	"2"	"1"	"1"	"438"	""	"438"	""
"183"	"137"	"181"	"5"	"187"	"79"	"185"	"6"	"3"	"2"	"3"	"1"	"4"	"1"	"3"	"3"	"9"	"16"	"1"	"0"	"3"	"4"	"5"	"1"	"702"	""	"702"	""
"184"	"138"	"30"	"4"	"94"	"42"	"102"	"3"	"0"	"2"	"3"	"211"	"6"	"1"	"1"	"1"	"1"	"2"	"2"	"3"	"0"	"1"	"1"	"0"	"510"	""	"510"	""
"185"	"139"	"169"	"2"	"66"	"5"	"236"	"0"	"4"	"1"	"4"	"17"	"7"	"2"	"1"	"0"	"0"	"3"	"5"	"0"	"2"	"0"	"3"	"1"	"528"	""	"528"	""
"186"	"140"	"128"	"3"	"42"	"18"	"87"	"2"	"2"	"1"	"4"	"36"	"7"	"0"	"2"	"1"	"3"	"7"	"1"	"0"	"0"	"0"	"2"	"3"	"349"	""	"349"	""
"187"	"TOTAL"	"19982"	"576"	"7717"	"13406"	"24362"	"417"	"177"	"173"	"333"	"1844"	"3004"	"247"	"1607"	"190"	"318"	"686"	"473"	"97"	"164"	"317"	"396"	"272"	"76758"	"0"	"76758"	"0"
"188"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"189"	""	"Dr. Ajay Alok"	"Abhishek Kumar Singh"	"Dharmendra Kumar Singh"	"Mohammad Zama Khan"	"Brij Kishor Vind"	"Gyanchand Singh"	"Daya Shankar Singh"	"Parmeshwar Singh"	"Madan Ram"	"Ram Krishan Kharwar"	"Ramchandra Singh Yadav"	"Vinay Kumar"	"Vishvambhar Nath Singh Alias Wakil Yadav"	"Santosh Kumar Singh"	"Suman Devi"	"Kaushal Kishore Prasad Shrivastava"	"Jawahir Singh"	"Dhunia Devi"	"Bikas Tiwari"	"Ravi Prasad"	"Shyam Sundar Ram"	"Surya Kant Prasad"	""	""	""	""
"190"	"BF"	"19982"	"576"	"7717"	"13406"	"24362"	"417"	"177"	"173"	"333"	"1844"	"3004"	"247"	"1607"	"190"	"318"	"686"	"473"	"97"	"164"	"317"	"396"	"272"	"76758"	"0"	"76758"	"0"
"191"	"141"	"41"	"2"	"73"	"53"	"418"	"0"	"1"	"6"	"6"	"12"	"9"	"7"	"3"	"2"	"4"	"7"	"3"	"0"	"0"	"3"	"4"	"1"	"655"	""	"655"	""
"192"	"142"	"120"	"0"	"98"	"5"	"246"	"2"	"0"	"1"	"4"	"16"	"54"	"3"	"2"	"0"	"2"	"3"	"6"	"2"	"4"	"2"	"5"	"2"	"577"	""	"577"	""
"193"	"143"	"18"	"0"	"112"	"5"	"138"	"3"	"2"	"2"	"7"	"1"	"4"	"0"	"3"	"1"	"4"	"14"	"1"	"1"	"3"	"2"	"8"	"2"	"331"	""	"331"	""
"194"	"144"	"26"	"3"	"68"	"7"	"138"	"3"	"0"	"0"	"2"	"0"	"4"	"2"	"0"	"1"	"4"	"4"	"0"	"0"	"7"	"0"	"7"	"3"	"279"	""	"279"	""
"195"	"145"	"174"	"6"	"75"	"18"	"395"	"12"	"3"	"5"	"7"	"6"	"28"	"5"	"1"	"2"	"7"	"9"	"5"	"2"	"2"	"2"	"7"	"6"	"777"	""	"777"	""
"196"	"146"	"229"	"7"	"148"	"89"	"194"	"2"	"0"	"1"	"2"	"5"	"36"	"0"	"4"	"0"	"5"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"726"	""	"726"	""
"197"	"147"	"13"	"0"	"6"	"722"	"12"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"757"	""	"757"	""
"198"	"148"	"227"	"10"	"41"	"96"	"384"	"8"	"8"	"3"	"4"	"4"	"43"	"2"	"4"	"3"	"2"	"11"	"2"	"0"	"0"	"2"	"4"	"2"	"860"	""	"860"	""
"199"	"149"	"98"	"5"	"125"	"101"	"271"	"5"	"4"	"5"	"13"	"251"	"25"	"1"	"3"	"5"	"4"	"1"	"4"	"1"	"0"	"1"	"3"	"2"	"928"	""	"928"	""
"200"	"150"	"182"	"3"	"36"	"55"	"90"	"2"	"3"	"1"	"62"	"120"	"0"	"1"	"2"	"1"	"0"	"4"	"1"	"1"	"0"	"0"	"1"	"1"	"566"	""	"566"	""
"201"	"151"	"26"	"0"	"31"	"27"	"586"	"4"	"0"	"0"	"0"	"0"	"104"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"1"	"785"	""	"785"	""
"202"	"152"	"6"	"2"	"11"	"28"	"191"	"5"	"2"	"1"	"3"	"1"	"8"	"3"	"3"	"3"	"4"	"8"	"1"	"0"	"2"	"1"	"3"	"3"	"289"	""	"289"	""
"203"	"153"	"197"	"6"	"23"	"12"	"264"	"4"	"3"	"1"	"7"	"0"	"29"	"3"	"4"	"3"	"0"	"4"	"3"	"0"	"1"	"1"	"3"	"1"	"569"	""	"569"	""
"204"	"154"	"77"	"1"	"87"	"91"	"90"	"3"	"0"	"0"	"1"	"29"	"122"	"1"	"5"	"1"	"1"	"4"	"6"	"0"	"1"	"2"	"1"	"3"	"526"	""	"526"	""
"205"	"TOTAL"	"21416"	"621"	"8651"	"14715"	"27779"	"471"	"203"	"200"	"452"	"2289"	"3470"	"275"	"1642"	"212"	"355"	"755"	"505"	"107"	"187"	"334"	"443"	"301"	"85383"	"0"	"85383"	"0"
"206"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"207"	""	"Dr. Ajay Alok"	"Abhishek Kumar Singh"	"Dharmendra Kumar Singh"	"Mohammad Zama Khan"	"Brij Kishor Vind"	"Gyanchand Singh"	"Daya Shankar Singh"	"Parmeshwar Singh"	"Madan Ram"	"Ram Krishan Kharwar"	"Ramchandra Singh Yadav"	"Vinay Kumar"	"Vishvambhar Nath Singh Alias Wakil Yadav"	"Santosh Kumar Singh"	"Suman Devi"	"Kaushal Kishore Prasad Shrivastava"	"Jawahir Singh"	"Dhunia Devi"	"Bikas Tiwari"	"Ravi Prasad"	"Shyam Sundar Ram"	"Surya Kant Prasad"	""	""	""	""
"208"	"BF"	"21416"	"621"	"8651"	"14715"	"27779"	"471"	"203"	"200"	"452"	"2289"	"3470"	"275"	"1642"	"212"	"355"	"755"	"505"	"107"	"187"	"334"	"443"	"301"	"85383"	"0"	"85383"	"0"
"209"	"155"	"265"	"6"	"86"	"80"	"135"	"6"	"3"	"1"	"3"	"12"	"12"	"1"	"0"	"0"	"2"	"6"	"0"	"0"	"0"	"0"	"3"	"1"	"622"	""	"622"	""
"210"	"156"	"18"	"0"	"19"	"11"	"177"	"1"	"0"	"1"	"2"	"4"	"322"	"4"	"13"	"1"	"2"	"3"	"1"	"0"	"0"	"0"	"2"	"1"	"582"	""	"582"	""
"211"	"157"	"33"	"0"	"84"	"12"	"141"	"1"	"0"	"0"	"2"	"5"	"25"	"0"	"3"	"0"	"1"	"2"	"2"	"0"	"1"	"1"	"5"	"0"	"318"	""	"318"	""
"212"	"158"	"197"	"0"	"65"	"10"	"320"	"0"	"0"	"3"	"1"	"34"	"109"	"0"	"0"	"0"	"2"	"2"	"3"	"0"	"0"	"4"	"1"	"0"	"751"	""	"751"	""
"213"	"159"	"123"	"6"	"209"	"192"	"35"	"5"	"1"	"1"	"2"	"3"	"10"	"2"	"2"	"1"	"3"	"3"	"2"	"2"	"0"	"2"	"4"	"0"	"608"	""	"608"	""
"214"	"160"	"209"	"0"	"6"	"25"	"183"	"0"	"1"	"1"	"1"	"29"	"34"	"2"	"2"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"2"	"2"	"502"	""	"502"	""
"215"	"161"	"159"	"1"	"28"	"97"	"468"	"3"	"1"	"1"	"3"	"5"	"54"	"4"	"8"	"1"	"0"	"2"	"4"	"0"	"1"	"2"	"4"	"1"	"847"	""	"847"	""
"216"	"162"	"198"	"3"	"5"	"12"	"251"	"2"	"1"	"3"	"0"	"17"	"27"	"1"	"0"	"1"	"2"	"1"	"2"	"0"	"0"	"0"	"1"	"0"	"527"	""	"527"	""
"217"	"163"	"116"	"1"	"3"	"22"	"25"	"2"	"1"	"0"	"1"	"34"	"32"	"0"	"1"	"0"	"1"	"4"	"3"	"0"	"1"	"0"	"0"	"1"	"248"	""	"248"	""
"218"	"164"	"342"	"5"	"67"	"39"	"121"	"0"	"1"	"2"	"4"	"66"	"79"	"2"	"1"	"4"	"1"	"4"	"1"	"0"	"0"	"29"	"0"	"0"	"768"	""	"768"	""
"219"	"165"	"28"	"0"	"51"	"30"	"4"	"0"	"0"	"2"	"1"	"2"	"116"	"1"	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"3"	"2"	"3"	"250"	""	"250"	""
"220"	"166"	"144"	"6"	"68"	"17"	"284"	"6"	"1"	"15"	"4"	"6"	"76"	"2"	"1"	"0"	"1"	"10"	"7"	"1"	"4"	"3"	"12"	"2"	"670"	""	"670"	""
"221"	"167"	"197"	"7"	"41"	"34"	"46"	"3"	"1"	"1"	"2"	"9"	"7"	"1"	"3"	"7"	"12"	"6"	"6"	"0"	"7"	"236"	"9"	"7"	"642"	""	"642"	""
"222"	"168"	"81"	"0"	"1"	"16"	"219"	"2"	"0"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"327"	""	"327"	""
"223"	"TOTAL"	"23526"	"656"	"9384"	"15312"	"30188"	"502"	"214"	"233"	"478"	"2515"	"4374"	"296"	"1679"	"228"	"383"	"800"	"542"	"110"	"201"	"616"	"488"	"320"	"93045"	"0"	"93045"	"0"
"224"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
