"er.nku.dsUnz.l.a....k"	"bUnznso.i.zl.kn"	"t.qYQdkj..vyh"	"r.kj.ds..oj....kno"	"X.kesZUnz.dq0.oekZ"	"HkwesUnz.ukj.k...k.fl.ag"	"eukst...dqekj..fl.ag"	"pr.qxqZu.i.zl.kn.pkSgku"	"f.Hkqou.j.ke"	"eqfu.eaxy..nso...kkL.h"	"j.kt.fd..kksj..fr.okj.h"	"j.kek...k.fl.ag"	"l.qt.hr..l.qHkkuh"	"l.qj.sUnz.fl.ag...kno"	"t.xnh..k.fl.ag"	"i.ou.i.zl.kn"	"i.zHkqukFk.l.kg"	"j.kds..k.feJ"	"j.kev..ks...k.Hkxr"	"j.s.kq...kno"	"l.R..nso.i.zl.kn.fl.ag"	"gfuQ.val.kj.h"	"gseUr..dqekj..fl.ag"	"dqy.fof.kekU..er"	"i.zfr..ksfi.r.er.ksa.dh.dqy.l.a....k"	"X..ksx"	"fufonr..er.ksa.dh.dqy.l.a....k"
"194"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"195"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"196"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"197"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"198"	110	270	6	7	24	222	3	4	4	1	1	4	2	1	3	3	8	17	2	7	7	4	10	610	NA	NA	NA
"199"	111	163	19	7	51	79	1	1	0	1	0	8	2	4	1	1	5	7	4	2	4	7	9	376	NA	NA	NA
"200"	112	107	2	9	62	151	2	3	0	1	3	2	4	0	1	1	4	11	2	5	2	4	4	380	NA	NA	NA
"201"	113	152	16	17	85	245	13	23	8	3	4	7	5	4	4	1	8	13	4	2	5	4	9	632	NA	NA	NA
"202"	114	175	9	15	101	315	11	4	4	5	9	15	20	13	11	10	37	20	3	12	7	10	11	817	NA	NA	NA
"203"	115	162	9	8	102	189	8	2	1	4	2	2	1	2	1	2	7	6	3	1	12	1	1	526	NA	NA	NA
"204"	116	81	9	36	163	416	9	7	3	3	3	8	7	3	1	4	9	17	5	3	10	13	11	821	NA	NA	NA
"205"	117	15	0	8	58	346	6	6	0	2	0	2	6	1	5	3	15	7	0	7	15	4	6	512	NA	NA	NA
"206"	NA	1125	70	107	646	1963	53	50	20	20	22	48	47	28	27	25	93	98	23	39	62	47	61	4674	0	0	0
"207"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"208"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"209"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"210"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"211"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"212"	118	213	15	27	36	288	18	39	7	6	5	21	25	4	6	3	5	37	9	3	9	7	17	800	NA	NA	NA
"213"	119	82	5	11	17	283	10	2	4	2	8	13	7	4	6	5	26	19	3	3	7	6	3	526	NA	NA	NA
"214"	120	55	7	11	15	255	9	19	1	1	2	8	5	7	4	7	26	4	0	0	1	4	6	447	NA	NA	NA
"215"	121	49	1	25	102	284	3	2	2	1	3	5	14	3	4	4	6	19	7	5	9	36	9	593	NA	NA	NA
"216"	122	46	1	5	137	56	3	2	3	3	2	4	5	8	0	1	10	2	0	0	9	1	3	301	NA	NA	NA
"217"	123	57	2	5	40	265	2	2	0	3	0	1	2	0	0	0	1	11	2	1	1	1	2	398	NA	NA	NA
"218"	124	133	13	27	144	228	13	5	7	3	8	8	12	9	8	2	43	18	9	6	10	10	16	732	NA	NA	NA
"219"	125	53	3	6	46	218	10	1	1	0	0	3	1	4	1	1	3	14	1	2	5	2	11	386	NA	NA	NA
"220"	NA	502	31	84	347	1431	45	66	17	16	20	52	58	26	20	20	74	92	21	12	36	55	40	4183	0	0	0
"221"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"222"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"223"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"224"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"225"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"226"	126	296	6	21	44	45	4	0	1	1	2	2	4	3	3	2	4	15	9	2	18	4	11	497	NA	NA	NA
"227"	127	280	16	11	35	133	3	3	3	0	2	2	2	4	3	4	13	11	4	69	23	10	5	636	NA	NA	NA
"228"	128	10	4	11	34	201	7	1	1	4	3	1	6	0	1	3	4	1	6	7	31	4	4	344	NA	NA	NA
"229"	129	77	5	28	62	300	11	5	1	1	3	6	3	1	1	2	5	18	4	7	43	16	15	614	NA	NA	NA
"230"	130	39	4	16	55	161	5	16	2	4	2	5	1	8	9	0	4	8	5	6	41	11	6	408	NA	NA	NA
"231"	131	91	12	20	10	147	10	61	1	3	5	4	4	6	5	1	10	13	4	12	42	12	8	481	NA	NA	NA
"232"	132	265	20	11	69	104	6	5	1	1	4	2	4	2	2	8	17	19	10	30	52	16	11	659	NA	NA	NA
"233"	133	73	4	9	17	106	4	1	2	4	1	5	4	5	7	6	17	18	6	75	150	19	17	550	NA	NA	NA
"234"	NA	793	47	107	240	987	40	86	9	13	17	20	20	22	22	12	40	66	32	103	198	57	49	4189	0	0	0
"235"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"236"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"237"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"238"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"239"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"240"	134	51	10	14	16	145	4	6	5	5	2	10	3	3	10	12	12	2	0	44	46	8	6	NA	NA	NA	NA
"241"	135	113	2	10	20	165	7	105	4	4	5	4	6	4	6	4	30	4	7	7	45	8	8	NA	NA	NA	NA
"242"	136	66	4	9	19	104	2	3	0	2	2	8	1	4	6	2	8	3	9	21	155	9	3	NA	NA	NA	NA
"243"	137	95	13	2	39	99	9	3	1	3	3	11	6	10	13	12	28	8	8	59	140	27	10	NA	NA	NA	NA
"244"	138	58	3	5	6	83	3	1	2	2	4	7	5	1	12	20	10	3	4	192	28	5	6	NA	NA	NA	NA
"245"	139	102	5	9	89	53	2	5	61	3	1	7	6	7	4	14	25	1	5	7	68	9	2	NA	NA	NA	NA
"246"	140	159	6	8	41	137	5	3	12	3	1	7	1	7	5	12	29	8	5	4	9	10	13	NA	NA	NA	NA
"247"	141	102	14	13	28	97	3	6	7	2	6	13	17	9	17	11	57	13	14	11	169	34	22	NA	NA	NA	NA
"248"	NA	485	37	49	189	649	27	123	73	19	17	47	27	29	51	64	113	21	33	330	482	66	35	0	0	0	0
"249"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"250"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"251"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"252"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"253"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"254"	142	121	1	9	18	157	2	2	1	5	1	10	2	5	10	6	15	16	4	1	223	10	2	NA	NA	NA	NA
"255"	143	114	24	5	68	21	1	1	1	2	3	11	3	7	11	10	45	8	6	2	91	53	17	NA	NA	NA	NA
"256"	144	304	6	23	12	233	5	3	1	0	0	4	3	5	3	1	6	20	11	5	7	12	13	NA	NA	NA	NA
"257"	145	150	7	2	8	148	1	0	0	1	0	1	4	0	1	2	1	1	1	23	10	3	1	NA	NA	NA	NA
"258"	146	101	58	5	8	93	2	0	0	1	1	4	2	1	2	1	4	4	1	18	7	22	1	NA	NA	NA	NA
"259"	147	218	20	13	45	166	0	11	3	4	4	6	7	2	6	5	10	23	11	5	82	9	17	NA	NA	NA	NA
"260"	148	134	2	7	10	162	3	4	4	1	1	3	5	0	2	3	5	3	0	10	17	5	1	NA	NA	NA	NA
"261"	149	158	10	29	38	257	14	6	3	4	1	9	6	4	6	4	10	25	22	21	94	13	21	NA	NA	NA	NA
"262"	NA	1008	116	57	159	818	11	17	6	13	9	36	21	20	33	25	81	72	34	54	420	109	51	0	0	0	0
"263"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"264"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"265"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"266"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"267"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"268"	150	162	36	10	18	37	4	2	3	6	3	10	1	2	15	4	8	8	17	1	291	29	10	NA	NA	NA	NA
"269"	151	130	16	5	11	84	2	11	3	2	2	4	1	1	1	0	6	3	13	12	499	23	1	NA	NA	NA	NA
"270"	152	183	46	14	34	107	5	13	3	4	2	9	0	1	7	4	8	7	13	5	242	16	5	NA	NA	NA	NA
"271"	153	58	2	6	5	150	1	0	0	1	0	2	0	2	4	2	4	6	9	3	204	10	7	NA	NA	NA	NA
"272"	154	64	1	4	11	153	4	0	3	0	2	1	0	0	6	0	6	2	9	2	315	20	4	NA	NA	NA	NA
"273"	155	76	11	6	39	52	3	8	1	3	3	6	4	4	9	10	25	14	13	6	201	63	14	NA	NA	NA	NA
"274"	156	134	9	10	14	199	4	1	0	3	1	5	3	2	4	4	10	10	2	7	79	13	4	NA	NA	NA	NA
"275"	157	60	2	4	4	52	6	3	1	4	0	7	0	0	1	3	3	36	2	7	147	11	3	NA	NA	NA	NA
"276"	NA	673	112	45	118	583	19	34	13	16	12	32	6	10	42	20	57	40	74	29	1752	161	41	0	0	0	0
"277"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"278"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"279"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"280"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"281"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"282"	158	143	7	23	21	280	8	10	5	10	3	14	5	3	17	4	19	30	7	2	131	21	NA	NA	NA	NA	NA
"283"	159	161	6	18	23	284	13	10	8	6	4	18	7	6	5	4	14	44	6	0	53	10	NA	NA	NA	NA	NA
"284"	160	224	30	5	7	194	3	12	5	2	4	7	10	8	5	6	29	24	10	0	49	23	NA	NA	NA	NA	NA
"285"	161	71	0	0	29	38	2	2	11	1	0	1	0	0	0	0	1	1	7	13	230	5	NA	NA	NA	NA	NA
"286"	162	1	0	0	14	43	1	0	0	0	0	0	1	1	1	0	1	3	7	2	166	9	NA	NA	NA	NA	NA
"287"	163	131	8	9	39	27	2	13	11	14	2	8	1	0	2	6	8	94	10	10	177	19	NA	NA	NA	NA	NA
"288"	164	128	2	0	27	49	2	1	6	0	1	1	2	0	1	3	4	22	16	4	151	9	NA	NA	NA	NA	NA
"289"	165	279	9	4	47	32	3	1	2	5	1	5	4	2	7	2	17	16	5	4	71	79	NA	NA	NA	NA	NA
"290"	NA	731	51	55	133	866	29	47	40	33	13	48	24	18	30	20	72	196	47	27	806	87	0	0	0	0	0
"291"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"292"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"293"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"294"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"295"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"296"	166	166	9	5	39	152	8	4	3	3	2	14	9	7	8	8	45	30	10	6	111	16	9	NA	NA	NA	NA
"297"	167	269	7	8	13	64	5	39	4	2	0	6	3	1	5	3	9	5	8	4	51	3	5	NA	NA	NA	NA
"298"	168	76	4	5	18	72	4	6	4	4	2	6	5	4	8	5	16	23	2	2	65	26	7	NA	NA	NA	NA
"299"	169	157	5	5	12	86	6	1	3	2	0	4	2	3	0	3	3	9	5	3	73	14	5	NA	NA	NA	NA
"300"	170	32	5	4	6	192	4	5	1	4	5	19	7	4	3	5	14	5	2	3	28	7	5	NA	NA	NA	NA
"301"	171	222	20	4	27	64	2	7	1	2	4	5	9	2	2	12	29	9	5	1	23	33	3	NA	NA	NA	NA
"302"	172	102	3	5	4	80	7	1	2	3	1	10	3	6	5	3	20	15	5	3	94	7	8	NA	NA	NA	NA
"303"	173	56	0	5	9	167	5	15	1	2	3	9	1	1	5	1	7	6	2	1	122	12	4	NA	NA	NA	NA
"304"	NA	922	50	31	115	630	29	62	16	17	13	54	35	21	26	36	116	81	32	19	351	99	34	0	0	0	0
"305"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"306"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"307"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"308"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"309"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"310"	174	256	11	6	14	89	3	2	0	0	1	2	6	2	1	5	9	48	9	5	21	77	24	NA	NA	NA	NA
"311"	175	152	15	1	20	83	0	2	1	2	3	2	2	14	10	5	26	19	13	9	201	34	14	NA	NA	NA	NA
"312"	176	237	5	11	14	47	4	2	1	4	0	1	3	6	1	1	11	16	4	6	7	1	4	NA	NA	NA	NA
"313"	177	255	10	5	2	19	3	0	2	7	2	4	3	4	1	5	9	34	12	5	144	8	18	NA	NA	NA	NA
"314"	178	16	19	8	11	217	12	6	4	5	1	15	19	14	21	7	24	23	8	6	218	19	15	NA	NA	NA	NA
"315"	179	114	134	12	50	45	1	4	1	3	3	4	2	1	4	3	9	12	6	1	18	8	2	NA	NA	NA	NA
"316"	180	184	15	6	43	86	7	2	2	2	9	10	7	12	14	15	36	13	9	2	97	15	8	NA	NA	NA	NA
"317"	181	265	8	9	20	47	0	0	2	1	0	5	3	14	2	0	1	6	8	2	13	2	2	NA	NA	NA	NA
"318"	NA	1030	194	43	111	500	23	16	9	21	10	28	35	41	38	26	88	152	52	32	609	147	77	0	0	0	0
"319"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"320"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"321"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"322"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"323"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"324"	182	122	5	3	3	16	5	1	0	0	0	2	5	2	6	5	15	6	2	0	8	0	NA	NA	NA	NA	NA
"325"	183	283	4	2	1	5	0	1	2	1	0	2	1	1	2	5	17	10	5	1	30	3	NA	NA	NA	NA	NA
"326"	184	127	3	5	22	55	3	3	1	3	4	14	3	14	9	5	18	30	17	17	335	37	NA	NA	NA	NA	NA
"327"	185	191	3	7	7	25	1	1	1	1	3	2	1	15	5	11	15	15	6	15	36	9	NA	NA	NA	NA	NA
"328"	186	153	6	3	13	49	2	2	0	3	4	4	1	5	0	2	14	4	3	8	51	5	NA	NA	NA	NA	NA
"329"	187	136	5	2	2	128	0	0	1	0	0	5	1	15	0	2	13	6	2	5	33	8	NA	NA	NA	NA	NA
"330"	188	248	10	5	7	184	8	2	1	4	4	6	4	5	5	12	9	9	10	6	59	118	NA	NA	NA	NA	NA
"331"	189	4	0	0	3	31	0	0	1	2	1	1	1	1	4	0	3	26	2	3	148	10	NA	NA	NA	NA	NA
"332"	NA	1012	26	22	48	278	11	8	5	8	11	29	12	52	22	30	92	71	35	46	493	62	0	0	0	0	0
"333"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"334"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"335"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"336"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"337"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"338"	190	45	35	11	26	90	8	5	6	20	5	25	11	57	9	10	44	117	8	6	92	38	9	NA	NA	NA	NA
"339"	191	92	4	3	5	95	5	4	4	8	3	142	7	10	4	6	22	81	12	14	60	25	18	NA	NA	NA	NA
"340"	192	147	5	2	8	53	5	4	8	6	0	59	8	3	10	8	37	28	14	7	76	13	5	NA	NA	NA	NA
"341"	193	247	6	8	5	88	1	0	2	2	0	9	3	2	3	3	7	48	10	5	67	39	8	NA	NA	NA	NA
"342"	194	229	6	8	14	116	5	9	4	2	6	11	9	3	10	6	25	10	2	2	1	2	8	NA	NA	NA	NA
"343"	195	172	9	20	15	135	6	3	4	4	2	13	12	9	11	9	29	18	16	6	97	35	11	NA	NA	NA	NA
"344"	196	390	5	6	6	162	4	7	2	6	1	9	1	5	4	2	11	23	10	3	53	10	7	NA	NA	NA	NA
"345"	197	126	8	5	5	51	1	4	1	7	1	20	3	30	4	2	27	95	19	5	29	102	17	NA	NA	NA	NA
"346"	NA	932	65	52	73	577	30	25	28	42	16	259	50	84	47	42	164	302	62	40	393	152	59	0	0	0	0
"347"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"348"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"349"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"350"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"351"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"352"	198	64	10	8	8	91	6	3	2	3	1	15	7	6	4	10	21	61	9	3	41	197	11	NA	NA	NA	NA
"353"	199	86	7	8	41	27	2	3	1	5	3	9	4	10	4	9	17	51	25	11	289	65	18	NA	NA	NA	NA
"354"	200	19	2	2	14	79	3	0	0	3	1	11	1	3	0	0	6	17	4	0	314	9	4	NA	NA	NA	NA
"355"	201	221	7	3	8	38	0	1	0	1	0	2	0	4	0	2	9	22	6	2	16	94	4	NA	NA	NA	NA
"356"	NA	102	0	0	21	37	0	2	1	7	1	2	4	0	2	1	8	43	15	1	58	29	11	NA	NA	NA	NA
"357"	202	72	8	2	20	32	1	1	3	11	2	28	1	7	4	7	16	71	16	3	65	132	15	NA	NA	NA	NA
"358"	203	174	9	11	11	41	1	2	1	1	2	4	2	1	2	7	17	27	15	12	113	153	14	NA	NA	NA	NA
"359"	204	149	7	13	14	44	4	1	1	0	2	3	1	3	4	2	9	6	4	1	38	24	4	NA	NA	NA	NA
"360"	NA	564	34	23	112	304	12	10	7	30	8	67	17	30	14	29	77	265	75	20	783	526	63	0	0	0	0
"361"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"362"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"363"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"364"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"365"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"366"	205	100	11	11	21	299	13	7	1	7	8	11	3	3	1	3	17	22	6	7	63	15	9	NA	NA	NA	NA
"367"	206	106	12	7	5	82	2	2	1	4	0	8	2	7	1	6	16	24	24	6	58	249	14	NA	NA	NA	NA
"368"	207	82	5	7	15	238	17	10	0	11	4	4	9	2	2	0	20	13	14	6	25	100	26	NA	NA	NA	NA
"369"	208	116	10	4	5	54	5	1	1	0	2	9	1	7	5	4	43	10	5	2	5	81	10	NA	NA	NA	NA
"370"	209	36	5	3	7	131	3	1	1	0	1	9	2	0	5	2	4	10	12	5	162	53	6	NA	NA	NA	NA
"371"	NA	28	3	4	4	187	3	3	1	1	1	4	1	13	5	1	7	16	3	3	80	30	10	NA	NA	NA	NA
"372"	210	108	2	9	4	68	2	0	0	2	0	0	2	7	2	2	2	3	6	1	45	5	3	NA	NA	NA	NA
"373"	211	131	13	6	9	111	5	1	0	3	4	8	7	4	3	6	18	26	5	2	8	46	25	NA	NA	NA	NA
"374"	NA	468	46	36	57	991	43	24	5	23	16	45	18	32	19	16	107	95	64	29	393	528	75	0	0	0	0
"375"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"376"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"377"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"378"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"379"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"380"	212	68	4	14	129	169	13	8	13	5	4	8	10	10	7	6	19	4	2	0	37	8	4	NA	NA	NA	NA
"381"	213	179	8	3	31	61	7	0	2	1	0	7	3	3	2	9	28	13	9	1	4	107	7	NA	NA	NA	NA
"382"	214	331	7	6	12	186	2	7	0	0	0	5	2	0	0	2	7	10	2	10	7	47	10	NA	NA	NA	NA
"383"	215	69	2	0	7	25	0	0	0	6	0	6	1	1	1	1	3	27	2	0	2	0	0	NA	NA	NA	NA
"384"	216	229	87	0	14	27	3	3	1	2	0	11	4	4	5	7	16	22	11	1	20	192	14	NA	NA	NA	NA
"385"	217	132	1	3	2	33	2	0	1	0	1	1	1	4	1	1	10	8	3	1	12	24	0	NA	NA	NA	NA
"386"	218	98	3	9	72	163	1	2	2	3	4	4	2	0	0	0	5	14	8	3	46	16	4	NA	NA	NA	NA
"387"	NA	70	1	9	19	160	3	28	5	1	5	2	1	3	2	2	2	9	5	2	65	12	2	NA	NA	NA	NA
"388"	NA	1008	109	26	195	501	27	18	17	14	5	38	21	22	16	26	83	84	29	13	82	378	35	0	0	0	0
"389"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"390"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
