"ELECTION.TO.THE.HOUSE.OF.THE.PEOPLE.FORM.THE.27.BAJPATTI.PARLIAMENTARY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 242701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly/ Segment 27 - Bajpatti Assembly Constituency (in the case of election from a Parliamentary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl. No."	"SEGID"	"Sr. No. of Polling Statio n"	"Booth
_Ext"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"151"	"102"	"5"	"97"	""	"9"	"195"	"5"	"4"	"18"	"1"	"2"	"8"	"3"	"0"	"2"	"1"	"5"	"253"	"0"	"253"	"0"
"152"	"103"	"5"	"98"	""	"8"	"191"	"4"	"2"	"93"	"7"	"7"	"4"	"2"	"0"	"9"	"3"	"4"	"334"	"0"	"334"	"0"
"153"	"104"	"5"	"99"	""	"16"	"366"	"14"	"2"	"9"	"10"	"1"	"14"	"3"	"0"	"1"	"9"	"8"	"453"	"0"	"453"	"0"
"154"	"105"	"5"	"100"	""	"4"	"223"	"7"	"1"	"23"	"5"	"3"	"91"	"2"	"2"	"2"	"2"	"6"	"371"	"0"	"371"	"0"
"155"	"ELECTION TO THE HOUSE OF THE PEOPLE FORM THE 27-BAJPATTI PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 242701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"Name of the Assembly/ Segment 27 - Bajpatti Assembly Constituency (in the case of election from a Parliamentary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"Sl. No."	"SEGID"	"Sr. No. of Polling Statio n"	"Booth
_Ext"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"159"	""	""	""	""	"Anwar Ali"	"Md."	"Gajadh"	"Mukesh"	"Ranju"	"Neyaz"	"Ahiraj"	"Ishtiaq"	"Deven"	"Birendr"	"Ravindra"	"Vijay"	"Sumitra"	""	""	""	""
"160"	""	""	""	""	""	""	""	""	""	"Ahmad"	"Shailend"	""	""	""	""	""	""	""	""	""	""
"161"	""	""	""	""	""	"Anwarul"	"ar"	"Kumar"	""	"Siddiq"	"ra"	""	"dra"	"a"	"Kumar"	"Kumar"	""	""	""	""	""
"162"	""	""	""	""	""	"Haque"	"Thakur"	"Ravi"	"Geeta"	"ee"	"Bhushan"	"ue"	"Jha"	"Kumar"	"Shahi"	"Jha"	"Devi"	""	""	""	""
"163"	""	""	""	""	"BSP"	"RJD"	"INC"	"NCP"	"JDU"	"CPIML"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"164"	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"165"	"106"	"5"	"101"	""	"8"	"15"	"77"	"3"	"173"	"4"	"13"	"1"	"3"	"2"	"28"	"6"	"4"	"337"	"0"	"337"	"0"
"166"	"107"	"5"	"102"	""	"6"	"39"	"6"	"2"	"369"	"2"	"5"	"6"	"4"	"2"	"64"	"9"	"16"	"530"	"0"	"530"	"0"
"167"	"108"	"5"	"103"	""	"5"	"8"	"7"	"1"	"274"	"8"	"4"	"6"	"3"	"1"	"21"	"9"	"17"	"364"	"0"	"364"	"0"
"168"	"109"	"5"	"104"	""	"4"	"2"	"16"	"5"	"170"	"4"	"12"	"10"	"2"	"2"	"8"	"7"	"13"	"255"	"0"	"255"	"0"
"169"	"110"	"5"	"105"	""	"8"	"265"	"11"	"1"	"119"	"4"	"2"	"7"	"0"	"2"	"3"	"7"	"12"	"441"	"0"	"441"	"0"
"170"	"111"	"5"	"106"	""	"11"	"169"	"11"	"6"	"134"	"1"	"5"	"9"	"3"	"1"	"13"	"3"	"2"	"368"	"0"	"368"	"0"
"171"	"112"	"5"	"107"	""	"1"	"42"	"18"	"0"	"181"	"2"	"1"	"1"	"1"	"0"	"11"	"2"	"0"	"260"	"0"	"260"	"0"
"172"	"113"	"5"	"108"	""	"8"	"199"	"7"	"2"	"98"	"3"	"4"	"11"	"2"	"2"	"46"	"9"	"13"	"404"	"0"	"404"	"0"
"173"	"114"	"5"	"109"	""	"5"	"20"	"50"	"6"	"519"	"5"	"4"	"7"	"2"	"2"	"7"	"8"	"3"	"638"	"0"	"638"	"0"
"174"	"115"	"5"	"110"	""	"3"	"46"	"65"	"6"	"216"	"7"	"10"	"18"	"5"	"4"	"71"	"12"	"2"	"465"	"0"	"465"	"0"
"175"	"116"	"5"	"111"	""	"10"	"418"	"13"	"1"	"17"	"1"	"0"	"2"	"1"	"2"	"10"	"7"	"4"	"486"	"0"	"486"	"0"
"176"	"117"	"5"	"112"	""	"8"	"339"	"15"	"4"	"86"	"5"	"5"	"10"	"3"	"4"	"18"	"15"	"18"	"530"	"0"	"530"	"0"
"177"	"118"	"5"	"113"	""	"2"	"34"	"9"	"0"	"124"	"4"	"4"	"7"	"4"	"2"	"70"	"7"	"11"	"278"	"0"	"278"	"0"
"178"	"119"	"5"	"114"	""	"10"	"109"	"17"	"7"	"94"	"3"	"3"	"4"	"4"	"4"	"65"	"5"	"7"	"332"	"0"	"332"	"0"
"179"	"120"	"5"	"115"	""	"14"	"352"	"16"	"2"	"120"	"1"	"3"	"16"	"0"	"5"	"59"	"17"	"9"	"614"	"0"	"614"	"0"
"180"	"121"	"5"	"116"	""	"28"	"438"	"12"	"3"	"187"	"3"	"2"	"3"	"2"	"2"	"16"	"5"	"7"	"708"	"0"	"708"	"0"
"181"	"122"	"5"	"117"	""	"22"	"87"	"16"	"9"	"345"	"4"	"8"	"6"	"6"	"1"	"27"	"9"	"9"	"549"	"0"	"549"	"0"
"182"	"123"	"5"	"118"	""	"12"	"97"	"8"	"4"	"354"	"4"	"6"	"2"	"2"	"0"	"49"	"5"	"5"	"548"	"0"	"548"	"0"
"183"	"124"	"5"	"119"	""	"7"	"168"	"10"	"2"	"126"	"0"	"4"	"3"	"5"	"3"	"54"	"11"	"9"	"402"	"0"	"402"	"0"
"184"	"125"	"5"	"120"	""	"3"	"81"	"7"	"2"	"176"	"2"	"4"	"5"	"2"	"2"	"18"	"6"	"0"	"308"	"0"	"308"	"0"
"185"	"126"	"5"	"121"	""	"10"	"178"	"34"	"9"	"87"	"3"	"8"	"6"	"2"	"4"	"116"	"10"	"22"	"489"	"0"	"489"	"0"
"186"	"ELECTION TO THE HOUSE OF THE PEOPLE FORM THE 27-BAJPATTI PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 242701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"Name of the Assembly/ Segment 27 - Bajpatti Assembly Constituency (in the case of election from a Parliamentary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"Sl. No."	"SEGID"	"Sr. No. of Polling Statio n"	"Booth
_Ext"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"190"	""	""	""	""	"Anwar Ali"	"Md."	"Gajadh"	"Mukesh"	"Ranju"	"Neyaz"	"Ahiraj"	"Ishtiaq"	"Deven"	"Birendr"	"Ravindra"	"Vijay"	"Sumitra"	""	""	""	""
"191"	""	""	""	""	""	""	""	""	""	"Ahmad"	"Shailend"	""	""	""	""	""	""	""	""	""	""
"192"	""	""	""	""	""	"Anwarul"	"ar"	"Kumar"	""	"Siddiq"	"ra"	""	"dra"	"a"	"Kumar"	"Kumar"	""	""	""	""	""
"193"	""	""	""	""	""	"Haque"	"Thakur"	"Ravi"	"Geeta"	"ee"	"Bhushan"	"ue"	"Jha"	"Kumar"	"Shahi"	"Jha"	"Devi"	""	""	""	""
"194"	""	""	""	""	"BSP"	"RJD"	"INC"	"NCP"	"JDU"	"CPIML"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"195"	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"196"	"127"	"5"	"122"	""	"3"	"54"	"50"	"3"	"99"	"3"	"4"	"1"	"1"	"0"	"130"	"0"	"3"	"351"	"0"	"351"	"0"
"197"	"128"	"5"	"123"	""	"6"	"112"	"18"	"6"	"184"	"6"	"24"	"7"	"8"	"6"	"121"	"13"	"22"	"533"	"0"	"533"	"0"
"198"	"129"	"5"	"124"	""	"9"	"64"	"32"	"1"	"193"	"2"	"11"	"9"	"6"	"4"	"170"	"11"	"23"	"535"	"0"	"535"	"0"
"199"	"130"	"5"	"125"	""	"7"	"469"	"5"	"1"	"97"	"0"	"2"	"6"	"1"	"2"	"10"	"0"	"1"	"601"	"0"	"601"	"0"
"200"	"131"	"5"	"126"	""	"12"	"263"	"7"	"3"	"42"	"2"	"3"	"5"	"1"	"0"	"3"	"7"	"6"	"354"	"0"	"354"	"0"
"201"	"132"	"5"	"127"	""	"9"	"141"	"8"	"4"	"364"	"4"	"8"	"2"	"1"	"3"	"39"	"7"	"6"	"596"	"0"	"596"	"0"
"202"	"133"	"5"	"128"	""	"4"	"161"	"27"	"6"	"454"	"5"	"10"	"6"	"5"	"5"	"102"	"8"	"13"	"806"	"0"	"806"	"0"
"203"	"134"	"5"	"129"	""	"16"	"106"	"5"	"4"	"331"	"6"	"6"	"6"	"2"	"0"	"57"	"9"	"12"	"560"	"0"	"560"	"0"
"204"	"135"	"5"	"130"	""	"2"	"120"	"8"	"1"	"5"	"1"	"0"	"2"	"0"	"0"	"12"	"0"	"0"	"151"	"0"	"151"	"0"
"205"	"136"	"5"	"131"	""	"6"	"148"	"11"	"7"	"87"	"0"	"7"	"8"	"3"	"2"	"150"	"8"	"9"	"446"	"0"	"446"	"0"
"206"	"137"	"5"	"132"	""	"11"	"132"	"13"	"7"	"142"	"4"	"4"	"4"	"4"	"4"	"45"	"10"	"5"	"385"	"0"	"385"	"0"
"207"	"138"	"5"	"133"	""	"8"	"51"	"30"	"8"	"335"	"10"	"14"	"17"	"14"	"9"	"19"	"18"	"14"	"547"	"0"	"547"	"0"
"208"	"139"	"5"	"134"	""	"13"	"115"	"12"	"6"	"377"	"6"	"5"	"6"	"1"	"2"	"81"	"8"	"4"	"636"	"0"	"636"	"0"
"209"	"140"	"5"	"135"	""	"6"	"35"	"4"	"3"	"210"	"11"	"11"	"8"	"2"	"6"	"92"	"5"	"5"	"398"	"0"	"398"	"0"
"210"	"141"	"5"	"136"	""	"11"	"104"	"7"	"3"	"165"	"3"	"6"	"4"	"2"	"1"	"18"	"9"	"10"	"343"	"0"	"343"	"0"
"211"	"142"	"5"	"137"	""	"15"	"526"	"20"	"1"	"39"	"1"	"2"	"2"	"1"	"1"	"3"	"9"	"5"	"625"	"0"	"625"	"0"
"212"	"143"	"5"	"138"	""	"15"	"362"	"9"	"2"	"17"	"3"	"1"	"1"	"0"	"2"	"1"	"5"	"9"	"427"	"0"	"427"	"0"
"213"	"144"	"5"	"139"	""	"4"	"267"	"11"	"2"	"130"	"1"	"4"	"8"	"0"	"2"	"11"	"1"	"2"	"443"	"0"	"443"	"0"
"214"	"145"	"5"	"140"	""	"6"	"176"	"12"	"3"	"142"	"2"	"3"	"7"	"0"	"2"	"52"	"4"	"5"	"414"	"0"	"414"	"0"
"215"	"146"	"5"	"141"	""	"9"	"134"	"4"	"2"	"355"	"1"	"6"	"1"	"1"	"2"	"23"	"6"	"3"	"547"	"0"	"547"	"0"
"216"	"147"	"5"	"142"	""	"19"	"101"	"33"	"9"	"253"	"4"	"15"	"5"	"6"	"1"	"2"	"6"	"2"	"456"	"0"	"456"	"0"
"217"	"ELECTION TO THE HOUSE OF THE PEOPLE FORM THE 27-BAJPATTI PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 242701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"Name of the Assembly/ Segment 27 - Bajpatti Assembly Constituency (in the case of election from a Parliamentary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"Sl. No."	"SEGID"	"Sr. No. of Polling Statio n"	"Booth
_Ext"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"221"	""	""	""	""	"Anwar Ali"	"Md."	"Gajadh"	"Mukesh"	"Ranju"	"Neyaz"	"Ahiraj"	"Ishtiaq"	"Deven"	"Birendr"	"Ravindra"	"Vijay"	"Sumitra"	""	""	""	""
"222"	""	""	""	""	""	""	""	""	""	"Ahmad"	"Shailend"	""	""	""	""	""	""	""	""	""	""
"223"	""	""	""	""	""	"Anwarul"	"ar"	"Kumar"	""	"Siddiq"	"ra"	""	"dra"	"a"	"Kumar"	"Kumar"	""	""	""	""	""
"224"	""	""	""	""	""	"Haque"	"Thakur"	"Ravi"	"Geeta"	"ee"	"Bhushan"	"ue"	"Jha"	"Kumar"	"Shahi"	"Jha"	"Devi"	""	""	""	""
"225"	""	""	""	""	"BSP"	"RJD"	"INC"	"NCP"	"JDU"	"CPIML"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"226"	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"227"	"148"	"5"	"143"	""	"8"	"280"	"7"	"0"	"18"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"4"	"322"	"0"	"322"	"0"
"228"	"149"	"5"	"144"	""	"17"	"418"	"11"	"4"	"115"	"1"	"1"	"4"	"3"	"2"	"14"	"10"	"8"	"608"	"0"	"608"	"0"
"229"	"150"	"5"	"145"	""	"8"	"185"	"4"	"2"	"201"	"4"	"6"	"11"	"2"	"4"	"2"	"7"	"1"	"437"	"0"	"437"	"0"
"230"	"151"	"5"	"146"	""	"12"	"277"	"17"	"0"	"161"	"1"	"3"	"3"	"2"	"1"	"13"	"4"	"9"	"503"	"0"	"503"	"0"
"231"	"152"	"5"	"147"	""	"6"	"231"	"14"	"4"	"142"	"5"	"8"	"9"	"1"	"2"	"6"	"8"	"4"	"440"	"0"	"440"	"0"
"232"	"153"	"5"	"148"	""	"2"	"228"	"5"	"0"	"26"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"263"	"0"	"263"	"0"
"233"	"154"	"5"	"149"	""	"6"	"326"	"23"	"2"	"4"	"1"	"0"	"2"	"2"	"1"	"3"	"7"	"12"	"389"	"0"	"389"	"0"
"234"	"155"	"5"	"150"	""	"17"	"128"	"13"	"24"	"367"	"3"	"5"	"4"	"5"	"6"	"20"	"5"	"9"	"606"	"0"	"606"	"0"
"235"	"156"	"5"	"151"	""	"8"	"118"	"13"	"24"	"330"	"6"	"8"	"10"	"2"	"4"	"9"	"11"	"7"	"550"	"0"	"550"	"0"
"236"	"157"	"5"	"152"	""	"4"	"245"	"7"	"6"	"30"	"0"	"0"	"3"	"1"	"0"	"0"	"1"	"1"	"298"	"0"	"298"	"0"
"237"	"158"	"5"	"153"	""	"4"	"157"	"9"	"3"	"188"	"2"	"7"	"17"	"1"	"3"	"66"	"6"	"11"	"474"	"0"	"474"	"0"
"238"	"159"	"5"	"154"	""	"10"	"40"	"15"	"8"	"279"	"8"	"7"	"9"	"3"	"2"	"35"	"13"	"11"	"440"	"0"	"440"	"0"
"239"	"160"	"5"	"155"	""	"8"	"76"	"199"	"11"	"178"	"5"	"0"	"1"	"1"	"2"	"17"	"7"	"6"	"511"	"0"	"511"	"0"
"240"	"161"	"5"	"156"	""	"9"	"136"	"8"	"1"	"203"	"0"	"5"	"5"	"2"	"2"	"2"	"1"	"5"	"379"	"0"	"379"	"0"
"241"	"162"	"5"	"157"	""	"10"	"158"	"21"	"1"	"283"	"4"	"9"	"14"	"1"	"3"	"14"	"7"	"17"	"542"	"0"	"542"	"0"
"242"	"163"	"5"	"158"	""	"14"	"313"	"11"	"4"	"68"	"0"	"1"	"22"	"1"	"0"	"6"	"2"	"9"	"451"	"0"	"451"	"0"
"243"	"164"	"5"	"159"	""	"8"	"306"	"10"	"3"	"100"	"1"	"4"	"13"	"2"	"0"	"12"	"5"	"6"	"470"	"0"	"470"	"0"
"244"	"165"	"5"	"160"	""	"10"	"183"	"10"	"5"	"115"	"1"	"3"	"10"	"5"	"2"	"19"	"16"	"10"	"389"	"0"	"389"	"0"
"245"	"166"	"5"	"161"	""	"18"	"282"	"31"	"11"	"227"	"7"	"13"	"16"	"7"	"8"	"50"	"18"	"33"	"721"	"0"	"721"	"0"
"246"	"167"	"5"	"162"	""	"17"	"426"	"13"	"1"	"33"	"0"	"3"	"5"	"4"	"3"	"16"	"8"	"9"	"538"	"0"	"538"	"0"
"247"	"168"	"5"	"163"	""	"14"	"246"	"7"	"3"	"181"	"3"	"10"	"17"	"3"	"4"	"12"	"6"	"11"	"517"	"0"	"517"	"0"
"248"	"ELECTION TO THE HOUSE OF THE PEOPLE FORM THE 27-BAJPATTI PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 242701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"Name of the Assembly/ Segment 27 - Bajpatti Assembly Constituency (in the case of election from a Parliamentary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"Sl. No."	"SEGID"	"Sr. No. of Polling Statio n"	"Booth
_Ext"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"252"	""	""	""	""	"Anwar Ali"	"Md."	"Gajadh"	"Mukesh"	"Ranju"	"Neyaz"	"Ahiraj"	"Ishtiaq"	"Deven"	"Birendr"	"Ravindra"	"Vijay"	"Sumitra"	""	""	""	""
"253"	""	""	""	""	""	""	""	""	""	"Ahmad"	"Shailend"	""	""	""	""	""	""	""	""	""	""
"254"	""	""	""	""	""	"Anwarul"	"ar"	"Kumar"	""	"Siddiq"	"ra"	""	"dra"	"a"	"Kumar"	"Kumar"	""	""	""	""	""
"255"	""	""	""	""	""	"Haque"	"Thakur"	"Ravi"	"Geeta"	"ee"	"Bhushan"	"ue"	"Jha"	"Kumar"	"Shahi"	"Jha"	"Devi"	""	""	""	""
"256"	""	""	""	""	"BSP"	"RJD"	"INC"	"NCP"	"JDU"	"CPIML"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"257"	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"258"	"169"	"5"	"164"	""	"12"	"254"	"11"	"3"	"147"	"2"	"7"	"14"	"0"	"1"	"9"	"4"	"4"	"468"	"0"	"468"	"0"
"259"	"170"	"5"	"165"	""	"8"	"91"	"4"	"3"	"252"	"4"	"3"	"7"	"1"	"0"	"36"	"4"	"2"	"415"	"0"	"415"	"0"
"260"	"171"	"5"	"165"	"A"	"10"	"167"	"1"	"1"	"243"	"2"	"2"	"2"	"3"	"0"	"22"	"1"	"4"	"458"	"0"	"458"	"0"
"261"	"172"	"5"	"166"	""	"6"	"373"	"7"	"1"	"57"	"1"	"1"	"5"	"2"	"0"	"39"	"1"	"7"	"500"	"0"	"500"	"0"
"262"	"173"	"5"	"167"	""	"30"	"291"	"13"	"0"	"25"	"2"	"1"	"2"	"2"	"0"	"5"	"2"	"2"	"375"	"0"	"375"	"0"
"263"	"174"	"5"	"168"	""	"16"	"147"	"12"	"4"	"150"	"5"	"14"	"13"	"5"	"2"	"11"	"8"	"8"	"395"	"0"	"395"	"0"
"264"	"175"	"5"	"169"	""	"16"	"180"	"51"	"6"	"173"	"3"	"4"	"6"	"3"	"1"	"17"	"4"	"2"	"466"	"0"	"466"	"0"
"265"	"176"	"5"	"170"	""	"6"	"147"	"63"	"13"	"191"	"11"	"14"	"8"	"10"	"4"	"46"	"18"	"23"	"554"	"0"	"554"	"0"
"266"	"177"	"5"	"171"	""	"12"	"160"	"76"	"4"	"205"	"4"	"18"	"13"	"3"	"5"	"9"	"5"	"24"	"538"	"0"	"538"	"0"
"267"	"178"	"5"	"172"	""	"16"	"36"	"33"	"7"	"421"	"10"	"15"	"10"	"10"	"2"	"20"	"14"	"11"	"605"	"0"	"605"	"0"
"268"	"179"	"5"	"173"	""	"24"	"191"	"12"	"5"	"330"	"4"	"9"	"5"	"4"	"2"	"5"	"4"	"5"	"600"	"0"	"600"	"0"
"269"	"180"	"5"	"174"	""	"22"	"166"	"5"	"7"	"284"	"5"	"11"	"7"	"7"	"4"	"26"	"16"	"20"	"580"	"0"	"580"	"0"
"270"	"181"	"5"	"175"	""	"16"	"336"	"29"	"9"	"227"	"13"	"8"	"10"	"5"	"6"	"56"	"14"	"29"	"758"	"0"	"758"	"0"
"271"	"182"	"5"	"176"	""	"2"	"41"	"71"	"4"	"88"	"4"	"5"	"5"	"2"	"1"	"12"	"3"	"2"	"240"	"0"	"240"	"0"
"272"	"183"	"5"	"177"	""	"6"	"3"	"13"	"7"	"416"	"10"	"7"	"13"	"7"	"2"	"99"	"9"	"12"	"604"	"0"	"604"	"0"
"273"	"184"	"5"	"178"	""	"8"	"102"	"7"	"3"	"120"	"7"	"4"	"10"	"4"	"1"	"6"	"8"	"13"	"293"	"0"	"293"	"0"
"274"	"185"	"5"	"179"	""	"16"	"177"	"8"	"5"	"74"	"3"	"3"	"3"	"2"	"5"	"17"	"9"	"11"	"333"	"0"	"333"	"0"
"275"	"186"	"5"	"180"	""	"13"	"247"	"15"	"8"	"189"	"3"	"8"	"10"	"4"	"2"	"4"	"11"	"20"	"534"	"0"	"534"	"0"
"276"	"187"	"5"	"181"	""	"34"	"252"	"15"	"6"	"127"	"2"	"13"	"11"	"3"	"4"	"52"	"2"	"5"	"526"	"0"	"526"	"0"
"277"	"188"	"5"	"182"	""	"17"	"231"	"58"	"9"	"167"	"7"	"11"	"8"	"6"	"6"	"109"	"7"	"12"	"648"	"0"	"648"	"0"
"278"	"189"	"5"	"183"	""	"6"	"24"	"170"	"3"	"211"	"3"	"10"	"7"	"4"	"3"	"42"	"9"	"15"	"507"	"0"	"507"	"0"
"279"	"ELECTION TO THE HOUSE OF THE PEOPLE FORM THE 27-BAJPATTI PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 242701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"Name of the Assembly/ Segment 27 - Bajpatti Assembly Constituency (in the case of election from a Parliamentary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"Sl. No."	"SEGID"	"Sr. No. of Polling Statio n"	"Booth
_Ext"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"283"	""	""	""	""	"Anwar Ali"	"Md."	"Gajadh"	"Mukesh"	"Ranju"	"Neyaz"	"Ahiraj"	"Ishtiaq"	"Deven"	"Birendr"	"Ravindra"	"Vijay"	"Sumitra"	""	""	""	""
"284"	""	""	""	""	""	""	""	""	""	"Ahmad"	"Shailend"	""	""	""	""	""	""	""	""	""	""
"285"	""	""	""	""	""	"Anwarul"	"ar"	"Kumar"	""	"Siddiq"	"ra"	""	"dra"	"a"	"Kumar"	"Kumar"	""	""	""	""	""
"286"	""	""	""	""	""	"Haque"	"Thakur"	"Ravi"	"Geeta"	"ee"	"Bhushan"	"ue"	"Jha"	"Kumar"	"Shahi"	"Jha"	"Devi"	""	""	""	""
"287"	""	""	""	""	"BSP"	"RJD"	"INC"	"NCP"	"JDU"	"CPIML"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"288"	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"289"	"190"	"5"	"184"	""	"2"	"26"	"24"	"5"	"192"	"2"	"5"	"9"	"4"	"4"	"9"	"12"	"16"	"310"	"0"	"310"	"0"
"290"	"191"	"5"	"185"	""	"2"	"60"	"110"	"5"	"76"	"2"	"2"	"0"	"2"	"1"	"6"	"6"	"8"	"280"	"0"	"280"	"0"
"291"	"192"	"5"	"186"	""	"7"	"13"	"202"	"6"	"177"	"1"	"8"	"5"	"0"	"3"	"17"	"8"	"14"	"461"	"0"	"461"	"0"
"292"	"193"	"5"	"187"	""	"10"	"80"	"124"	"4"	"64"	"6"	"5"	"8"	"5"	"11"	"19"	"5"	"27"	"368"	"0"	"368"	"0"
"293"	"194"	"5"	"188"	""	"15"	"43"	"63"	"3"	"304"	"2"	"22"	"10"	"3"	"4"	"21"	"21"	"27"	"538"	"0"	"538"	"0"
"294"	"195"	"5"	"189"	""	"25"	"109"	"24"	"14"	"41"	"5"	"8"	"5"	"1"	"8"	"330"	"8"	"12"	"590"	"0"	"590"	"0"
"295"	"196"	"5"	"190"	""	"50"	"414"	"19"	"4"	"18"	"3"	"2"	"12"	"3"	"6"	"144"	"9"	"7"	"691"	"0"	"691"	"0"
"296"	"197"	"5"	"191"	""	"5"	"127"	"6"	"4"	"164"	"2"	"6"	"8"	"3"	"3"	"23"	"8"	"4"	"363"	"0"	"363"	"0"
"297"	"198"	"5"	"192"	""	"6"	"344"	"7"	"2"	"49"	"0"	"0"	"1"	"1"	"0"	"5"	"4"	"2"	"421"	"0"	"421"	"0"
"298"	"199"	"5"	"193"	""	"9"	"68"	"5"	"4"	"278"	"2"	"1"	"1"	"0"	"0"	"47"	"4"	"1"	"420"	"0"	"420"	"0"
"299"	"200"	"5"	"194"	""	"8"	"142"	"6"	"6"	"86"	"2"	"2"	"7"	"4"	"3"	"85"	"11"	"29"	"391"	"0"	"391"	"0"
"300"	"201"	"5"	"195"	""	"8"	"13"	"10"	"8"	"4"	"1"	"2"	"3"	"0"	"11"	"235"	"8"	"15"	"318"	"0"	"318"	"0"
"301"	"202"	"5"	"196"	""	"16"	"373"	"9"	"3"	"22"	"3"	"0"	"1"	"1"	"2"	"0"	"9"	"10"	"449"	"0"	"449"	"0"
"302"	"203"	"5"	"197"	""	"5"	"165"	"8"	"2"	"17"	"0"	"1"	"2"	"0"	"1"	"8"	"8"	"7"	"224"	"0"	"224"	"0"
