"X."	"No..of.valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"194"	"142"	"181"	"67"	"118"	"233"	"4"	"6"	"4"	"3"	"2"	"37"	"655"	"0"	"655"	"0"
"195"	"143"	"164"	"26"	"111"	"450"	"4"	"4"	"3"	"0"	"3"	"11"	"776"	"0"	"776"	"0"
"196"	"144"	"55"	"12"	"157"	"296"	"6"	"2"	"5"	"2"	"2"	"14"	"551"	"0"	"551"	"0"
"197"	"145"	"96"	"17"	"138"	"94"	"3"	"0"	"4"	"5"	"1"	"6"	"364"	"0"	"364"	"0"
"198"	"146"	"8"	"8"	"91"	"287"	"8"	"3"	"2"	"0"	"0"	"12"	"419"	"0"	"419"	"0"
"199"	"146 A"	"14"	"5"	"57"	"265"	"3"	"1"	"2"	"1"	"3"	"4"	"355"	"0"	"355"	"0"
"200"	"147"	"69"	"23"	"166"	"37"	"0"	"2"	"1"	"5"	"1"	"6"	"310"	"0"	"310"	"0"
"201"	"148"	"52"	"129"	"133"	"50"	"6"	"1"	"0"	"3"	"6"	"4"	"384"	"0"	"384"	"0"
"202"	"149"	"23"	"1"	"129"	"51"	"0"	"2"	"0"	"5"	"0"	"4"	"215"	"0"	"215"	"0"
"203"	"150"	"65"	"6"	"104"	"97"	"3"	"0"	"0"	"0"	"2"	"7"	"284"	"0"	"284"	"0"
"204"	"151"	"24"	"1"	"160"	"250"	"3"	"0"	"0"	"3"	"3"	"8"	"452"	"0"	"452"	"0"
"205"	"152"	"30"	"15"	"95"	"117"	"1"	"1"	"1"	"0"	"2"	"7"	"269"	"0"	"269"	"0"
"206"	"153"	"28"	"5"	"123"	"158"	"2"	"0"	"2"	"2"	"1"	"8"	"329"	"0"	"329"	"0"
"207"	"TOTAL"	"12665"	"3231"	"26042"	"25664"	"467"	"488"	"660"	"680"	"434"	"1797"	"72128"	"0"	"72128"	"0"
"208"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	""	"MURARI PRASAD GAUTAM"	"RAMENDRA RAM"	"LALAN PASWAN"	"SHYAM BIHARI RAM"	"BABY DEVI"	"MANOJ KUMAR PASWAN"	"MAHIPTESHWAR RAM"	"MALTI DEVI"	"SURESH RAM"	"MAHENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"210"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"211"	"B.F."	"12665"	"3231"	"26042"	"25664"	"467"	"488"	"660"	"680"	"434"	"1797"	"72128"	"0"	"72128"	"0"
"212"	"154"	"52"	"4"	"267"	"163"	"4"	"1"	"6"	"4"	"4"	"15"	"520"	"0"	"520"	"0"
"213"	"155"	"62"	"16"	"333"	"136"	"4"	"7"	"7"	"3"	"4"	"11"	"583"	"0"	"583"	"0"
"214"	"156"	"50"	"4"	"324"	"58"	"6"	"5"	"6"	"12"	"7"	"36"	"508"	"0"	"508"	"0"
"215"	"157"	"40"	"4"	"324"	"242"	"8"	"7"	"9"	"5"	"1"	"29"	"669"	"0"	"669"	"0"
"216"	"158"	"38"	"45"	"276"	"74"	"6"	"6"	"12"	"9"	"3"	"13"	"482"	"0"	"482"	"0"
"217"	"159"	"162"	"90"	"356"	"134"	"6"	"4"	"4"	"17"	"8"	"19"	"800"	"0"	"800"	"0"
"218"	"160"	"58"	"8"	"170"	"311"	"4"	"5"	"2"	"2"	"2"	"20"	"582"	"0"	"582"	"0"
"219"	"161"	"31"	"6"	"215"	"306"	"5"	"3"	"4"	"2"	"3"	"5"	"580"	"0"	"580"	"0"
"220"	"162"	"171"	"20"	"151"	"170"	"4"	"2"	"6"	"4"	"7"	"15"	"550"	"0"	"550"	"0"
"221"	"163"	"126"	"61"	"212"	"72"	"3"	"3"	"15"	"5"	"4"	"21"	"522"	"0"	"522"	"0"
"222"	"164"	"36"	"2"	"195"	"122"	"4"	"1"	"4"	"4"	"3"	"18"	"389"	"0"	"389"	"0"
"223"	"165"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"3"	"0"
"224"	"166"	"50"	"0"	"4"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"55"	"0"	"55"	"0"
"225"	"167"	"56"	"2"	"183"	"34"	"3"	"8"	"0"	"6"	"4"	"12"	"308"	"0"	"308"	"0"
"226"	"TOTAL"	"13597"	"3493"	"29055"	"27486"	"524"	"540"	"735"	"754"	"484"	"2011"	"78679"	"0"	"78679"	"0"
"227"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	""	"MURARI PRASAD GAUTAM"	"RAMENDRA RAM"	"LALAN PASWAN"	"SHYAM BIHARI RAM"	"BABY DEVI"	"MANOJ KUMAR PASWAN"	"MAHIPTESHWAR RAM"	"MALTI DEVI"	"SURESH RAM"	"MAHENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"229"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"230"	"B.F."	"13597"	"3493"	"29055"	"27486"	"524"	"540"	"735"	"754"	"484"	"2011"	"78679"	"0"	"78679"	"0"
"231"	"168"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"4"	"0"
"232"	"169"	"2"	"0"	"82"	"14"	"2"	"1"	"2"	"0"	"0"	"1"	"104"	"0"	"104"	"0"
"233"	"170"	"4"	"1"	"1"	"65"	"2"	"4"	"4"	"3"	"4"	"11"	"99"	"0"	"99"	"0"
"234"	"171"	"139"	"101"	"42"	"196"	"3"	"1"	"3"	"4"	"9"	"19"	"517"	"0"	"517"	"0"
"235"	"172"	"99"	"22"	"234"	"99"	"2"	"8"	"4"	"6"	"14"	"17"	"505"	"0"	"505"	"0"
"236"	"173"	"134"	"17"	"71"	"184"	"10"	"7"	"9"	"3"	"5"	"16"	"456"	"0"	"456"	"0"
"237"	"174"	"113"	"6"	"127"	"415"	"7"	"7"	"13"	"6"	"6"	"41"	"741"	"0"	"741"	"0"
"238"	"175"	"63"	"67"	"49"	"330"	"4"	"3"	"3"	"2"	"4"	"16"	"541"	"0"	"541"	"0"
"239"	"176"	"59"	"23"	"112"	"261"	"12"	"7"	"5"	"4"	"5"	"31"	"519"	"0"	"519"	"0"
"240"	"177"	"151"	"35"	"187"	"244"	"6"	"3"	"4"	"4"	"4"	"12"	"650"	"0"	"650"	"0"
"241"	"178"	"247"	"20"	"72"	"59"	"2"	"0"	"2"	"2"	"1"	"10"	"415"	"0"	"415"	"0"
"242"	"178 A"	"177"	"39"	"89"	"63"	"2"	"3"	"4"	"8"	"4"	"13"	"402"	"0"	"402"	"0"
"243"	"179"	"161"	"33"	"201"	"134"	"8"	"7"	"3"	"1"	"6"	"13"	"567"	"0"	"567"	"0"
"244"	"180"	"104"	"80"	"164"	"141"	"4"	"2"	"2"	"2"	"1"	"14"	"514"	"0"	"514"	"0"
"245"	"TOTAL"	"15050"	"3937"	"30489"	"29692"	"588"	"593"	"793"	"799"	"547"	"2225"	"84713"	"0"	"84713"	"0"
"246"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	""	"MURARI PRASAD GAUTAM"	"RAMENDRA RAM"	"LALAN PASWAN"	"SHYAM BIHARI RAM"	"BABY DEVI"	"MANOJ KUMAR PASWAN"	"MAHIPTESHWAR RAM"	"MALTI DEVI"	"SURESH RAM"	"MAHENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"248"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"249"	"B.F."	"15050"	"3937"	"30489"	"29692"	"588"	"593"	"793"	"799"	"547"	"2225"	"84713"	"0"	"84713"	"0"
"250"	"181"	"196"	"32"	"238"	"129"	"4"	"6"	"5"	"8"	"9"	"19"	"646"	"0"	"646"	"0"
"251"	"182"	"125"	"86"	"284"	"118"	"3"	"5"	"3"	"6"	"5"	"10"	"645"	"0"	"645"	"0"
"252"	"183"	"152"	"16"	"8"	"36"	"0"	"0"	"1"	"0"	"0"	"4"	"217"	"0"	"217"	"0"
"253"	"184"	"49"	"36"	"198"	"212"	"5"	"5"	"3"	"6"	"4"	"20"	"538"	"0"	"538"	"0"
"254"	"185"	"64"	"32"	"292"	"251"	"2"	"7"	"12"	"10"	"5"	"20"	"695"	"0"	"695"	"0"
"255"	"186"	"67"	"145"	"108"	"351"	"6"	"6"	"2"	"4"	"4"	"23"	"716"	"0"	"716"	"0"
"256"	"187"	"69"	"14"	"206"	"285"	"5"	"9"	"6"	"3"	"5"	"40"	"642"	"0"	"642"	"0"
"257"	"188"	"34"	"1"	"52"	"222"	"2"	"5"	"2"	"1"	"0"	"8"	"327"	"0"	"327"	"0"
"258"	"189"	"22"	"7"	"56"	"208"	"4"	"8"	"1"	"4"	"4"	"17"	"331"	"0"	"331"	"0"
"259"	"190"	"27"	"21"	"86"	"245"	"6"	"4"	"2"	"2"	"3"	"11"	"407"	"0"	"407"	"0"
"260"	"191"	"70"	"3"	"167"	"231"	"10"	"5"	"5"	"13"	"4"	"28"	"536"	"0"	"536"	"0"
"261"	"192"	"57"	"6"	"201"	"121"	"3"	"4"	"0"	"4"	"1"	"13"	"410"	"0"	"410"	"0"
"262"	"193"	"46"	"14"	"353"	"123"	"6"	"5"	"4"	"17"	"10"	"22"	"600"	"0"	"600"	"0"
"263"	"194"	"116"	"24"	"88"	"256"	"6"	"10"	"6"	"9"	"11"	"51"	"577"	"0"	"577"	"0"
"264"	"TOTAL"	"16144"	"4374"	"32826"	"32480"	"650"	"672"	"845"	"886"	"612"	"2511"	"92000"	"0"	"92000"	"0"
"265"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	""	"MURARI PRASAD GAUTAM"	"RAMENDRA RAM"	"LALAN PASWAN"	"SHYAM BIHARI RAM"	"BABY DEVI"	"MANOJ KUMAR PASWAN"	"MAHIPTESHWAR RAM"	"MALTI DEVI"	"SURESH RAM"	"MAHENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"267"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"268"	"B.F."	"16144"	"4374"	"32826"	"32480"	"650"	"672"	"845"	"886"	"612"	"2511"	"92000"	"0"	"92000"	"0"
"269"	"195"	"158"	"19"	"59"	"307"	"6"	"4"	"3"	"2"	"6"	"15"	"579"	"0"	"579"	"0"
"270"	"196"	"99"	"20"	"85"	"120"	"4"	"4"	"5"	"8"	"3"	"20"	"368"	"0"	"368"	"0"
"271"	"197"	"168"	"13"	"211"	"110"	"3"	"1"	"3"	"3"	"4"	"9"	"525"	"0"	"525"	"0"
"272"	"198"	"167"	"4"	"114"	"138"	"2"	"1"	"5"	"1"	"1"	"5"	"438"	"0"	"438"	"0"
"273"	"199"	"54"	"4"	"83"	"217"	"5"	"3"	"1"	"3"	"2"	"12"	"384"	"0"	"384"	"0"
"274"	"200"	"80"	"35"	"176"	"159"	"5"	"2"	"5"	"2"	"3"	"14"	"481"	"0"	"481"	"0"
"275"	"201"	"95"	"0"	"176"	"254"	"2"	"1"	"1"	"2"	"2"	"11"	"544"	"0"	"544"	"0"
"276"	"202"	"89"	"36"	"90"	"466"	"1"	"4"	"7"	"8"	"6"	"34"	"741"	"0"	"741"	"0"
"277"	"203"	"123"	"6"	"171"	"229"	"10"	"6"	"7"	"5"	"6"	"43"	"606"	"0"	"606"	"0"
"278"	"204"	"103"	"134"	"78"	"378"	"5"	"10"	"8"	"5"	"4"	"24"	"749"	"0"	"749"	"0"
"279"	"205"	"162"	"33"	"98"	"263"	"7"	"8"	"8"	"5"	"12"	"25"	"621"	"0"	"621"	"0"
"280"	"206"	"44"	"14"	"68"	"164"	"0"	"2"	"3"	"0"	"1"	"13"	"309"	"0"	"309"	"0"
"281"	"207"	"136"	"22"	"267"	"108"	"3"	"2"	"4"	"3"	"0"	"8"	"553"	"0"	"553"	"0"
"282"	"208"	"198"	"13"	"304"	"148"	"5"	"5"	"6"	"11"	"10"	"45"	"745"	"0"	"745"	"0"
"283"	"TOTAL"	"17820"	"4727"	"34806"	"35541"	"708"	"725"	"911"	"944"	"672"	"2789"	"99643"	"0"	"99643"	"0"
"284"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	""	"MURARI PRASAD GAUTAM"	"RAMENDRA RAM"	"LALAN PASWAN"	"SHYAM BIHARI RAM"	"BABY DEVI"	"MANOJ KUMAR PASWAN"	"MAHIPTESHWAR RAM"	"MALTI DEVI"	"SURESH RAM"	"MAHENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"286"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"287"	"B.F."	"17820"	"4727"	"34806"	"35541"	"708"	"725"	"911"	"944"	"672"	"2789"	"99643"	"0"	"99643"	"0"
"288"	"209"	"345"	"21"	"273"	"98"	"4"	"3"	"3"	"12"	"4"	"20"	"783"	"0"	"783"	"0"
"289"	"210"	"94"	"18"	"268"	"205"	"1"	"6"	"4"	"4"	"2"	"5"	"607"	"0"	"607"	"0"
"290"	"211"	"2"	"1"	"3"	"42"	"0"	"0"	"1"	"1"	"0"	"2"	"52"	"0"	"52"	"0"
"291"	"212"	"29"	"8"	"36"	"68"	"4"	"3"	"6"	"1"	"2"	"9"	"166"	"0"	"166"	"0"
"292"	"213"	"25"	"5"	"14"	"157"	"3"	"5"	"1"	"2"	"2"	"9"	"223"	"0"	"223"	"0"
"293"	"214"	"44"	"2"	"19"	"100"	"1"	"2"	"3"	"3"	"5"	"15"	"194"	"0"	"194"	"0"
"294"	"215"	"1"	"45"	"24"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"76"	"0"	"76"	"0"
"295"	"216"	"14"	"146"	"95"	"54"	"5"	"3"	"5"	"8"	"15"	"22"	"367"	"0"	"367"	"0"
"296"	"217"	"28"	"185"	"114"	"26"	"4"	"10"	"5"	"3"	"14"	"11"	"400"	"0"	"400"	"0"
"297"	"218"	"31"	"254"	"91"	"31"	"8"	"5"	"10"	"9"	"16"	"25"	"480"	"0"	"480"	"0"
"298"	"219"	"13"	"33"	"233"	"152"	"7"	"9"	"5"	"8"	"10"	"17"	"487"	"0"	"487"	"0"
"299"	"220"	"12"	"129"	"65"	"116"	"4"	"4"	"6"	"6"	"4"	"8"	"354"	"0"	"354"	"0"
"300"	"221"	"29"	"294"	"177"	"107"	"5"	"6"	"9"	"11"	"11"	"44"	"693"	"0"	"693"	"0"
"301"	"222"	"162"	"315"	"76"	"53"	"5"	"4"	"5"	"4"	"8"	"31"	"663"	"0"	"663"	"0"
"302"	"TOTAL"	"18649"	"6183"	"36294"	"36751"	"760"	"786"	"975"	"1016"	"766"	"3008"	"105188"	"0"	"105188"	"0"
"303"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	""	"MURARI PRASAD GAUTAM"	"RAMENDRA RAM"	"LALAN PASWAN"	"SHYAM BIHARI RAM"	"BABY DEVI"	"MANOJ KUMAR PASWAN"	"MAHIPTESHWAR RAM"	"MALTI DEVI"	"SURESH RAM"	"MAHENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"305"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"306"	"B.F."	"18649"	"6183"	"36294"	"36751"	"760"	"786"	"975"	"1016"	"766"	"3008"	"105188"	"0"	"105188"	"0"
"307"	"223"	"73"	"208"	"244"	"70"	"4"	"2"	"0"	"3"	"9"	"16"	"629"	"0"	"629"	"0"
"308"	"224"	"144"	"146"	"108"	"142"	"5"	"9"	"12"	"12"	"18"	"28"	"624"	"0"	"624"	"0"
"309"	"225"	"194"	"26"	"151"	"92"	"6"	"1"	"7"	"2"	"5"	"41"	"525"	"0"	"525"	"0"
"310"	"226"	"87"	"277"	"178"	"126"	"9"	"4"	"6"	"9"	"12"	"41"	"749"	"0"	"749"	"0"
"311"	"227"	"140"	"117"	"51"	"141"	"1"	"4"	"2"	"3"	"6"	"20"	"485"	"0"	"485"	"0"
"312"	"228"	"34"	"107"	"28"	"198"	"9"	"6"	"12"	"11"	"11"	"29"	"445"	"0"	"445"	"0"
"313"	"229"	"71"	"31"	"270"	"114"	"5"	"8"	"4"	"7"	"6"	"21"	"537"	"0"	"537"	"0"
"314"	"230"	"89"	"168"	"349"	"217"	"8"	"8"	"8"	"13"	"10"	"35"	"905"	"0"	"905"	"0"
"315"	"231"	"60"	"73"	"155"	"279"	"9"	"10"	"10"	"4"	"11"	"45"	"656"	"0"	"656"	"0"
"316"	"232"	"79"	"27"	"29"	"364"	"10"	"5"	"6"	"2"	"1"	"14"	"537"	"0"	"537"	"0"
"317"	"233"	"43"	"245"	"24"	"158"	"7"	"6"	"3"	"6"	"9"	"29"	"530"	"0"	"530"	"0"
"318"	"234"	"34"	"60"	"10"	"172"	"2"	"3"	"5"	"4"	"2"	"14"	"306"	"0"	"306"	"0"
"319"	"235"	"21"	"39"	"412"	"160"	"3"	"12"	"11"	"12"	"13"	"49"	"732"	"0"	"732"	"0"
"320"	"236"	"75"	"48"	"220"	"206"	"14"	"1"	"2"	"2"	"5"	"12"	"585"	"0"	"585"	"0"
"321"	"TOTAL"	"19793"	"7755"	"38523"	"39190"	"852"	"865"	"1063"	"1106"	"884"	"3402"	"113433"	"0"	"113433"	"0"
"322"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	""	"MURARI PRASAD GAUTAM"	"RAMENDRA RAM"	"LALAN PASWAN"	"SHYAM BIHARI RAM"	"BABY DEVI"	"MANOJ KUMAR PASWAN"	"MAHIPTESHWAR RAM"	"MALTI DEVI"	"SURESH RAM"	"MAHENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"324"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"325"	"B.F."	"19793"	"7755"	"38523"	"39190"	"852"	"865"	"1063"	"1106"	"884"	"3402"	"113433"	"0"	"113433"	"0"
"326"	"237"	"89"	"43"	"150"	"192"	"7"	"6"	"9"	"11"	"7"	"33"	"547"	"0"	"547"	"0"
"327"	"238"	"122"	"43"	"165"	"374"	"8"	"4"	"3"	"2"	"7"	"22"	"750"	"0"	"750"	"0"
"328"	"239"	"42"	"77"	"107"	"219"	"4"	"6"	"11"	"4"	"5"	"22"	"497"	"0"	"497"	"0"
"329"	"240"	"34"	"70"	"90"	"202"	"7"	"7"	"6"	"3"	"4"	"74"	"497"	"0"	"497"	"0"
"330"	"241"	"5"	"2"	"141"	"77"	"1"	"1"	"0"	"1"	"1"	"2"	"231"	"0"	"231"	"0"
"331"	"242"	"15"	"47"	"65"	"86"	"2"	"5"	"6"	"9"	"8"	"269"	"512"	"0"	"512"	"0"
"332"	"243"	"27"	"6"	"65"	"54"	"2"	"2"	"3"	"4"	"7"	"34"	"204"	"0"	"204"	"0"
"333"	"244"	"89"	"1"	"93"	"127"	"0"	"0"	"0"	"1"	"0"	"0"	"311"	"0"	"311"	"0"
"334"	"245"	"20"	"74"	"115"	"108"	"6"	"4"	"6"	"3"	"7"	"45"	"388"	"0"	"388"	"0"
"335"	"246"	"28"	"10"	"224"	"205"	"4"	"16"	"12"	"14"	"8"	"37"	"558"	"0"	"558"	"0"
"336"	"247"	"111"	"108"	"205"	"83"	"5"	"8"	"11"	"7"	"8"	"58"	"604"	"0"	"604"	"0"
"337"	"248"	"108"	"95"	"149"	"255"	"14"	"6"	"10"	"10"	"21"	"55"	"723"	"0"	"723"	"0"
"338"	"249"	"22"	"165"	"41"	"86"	"3"	"1"	"3"	"1"	"2"	"9"	"333"	"0"	"333"	"0"
"339"	"250"	"22"	"43"	"107"	"211"	"8"	"11"	"11"	"5"	"4"	"36"	"458"	"0"	"458"	"0"
"340"	"TOTAL"	"20527"	"8539"	"40240"	"41469"	"923"	"942"	"1154"	"1181"	"973"	"4098"	"120046"	"0"	"120046"	"0"
"341"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"342"	""	"MURARI PRASAD GAUTAM"	"RAMENDRA RAM"	"LALAN PASWAN"	"SHYAM BIHARI RAM"	"BABY DEVI"	"MANOJ KUMAR PASWAN"	"MAHIPTESHWAR RAM"	"MALTI DEVI"	"SURESH RAM"	"MAHENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"343"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"344"	"B.F."	"20527"	"8539"	"40240"	"41469"	"923"	"942"	"1154"	"1181"	"973"	"4098"	"120046"	"0"	"120046"	"0"
"345"	"251"	"75"	"78"	"110"	"128"	"5"	"6"	"1"	"4"	"7"	"21"	"435"	"0"	"435"	"0"
"346"	"252"	"103"	"69"	"133"	"171"	"4"	"3"	"4"	"9"	"10"	"11"	"517"	"0"	"517"	"0"
"347"	"253"	"35"	"185"	"67"	"121"	"1"	"2"	"4"	"6"	"4"	"17"	"442"	"0"	"442"	"0"
"348"	"254"	"18"	"8"	"185"	"237"	"12"	"10"	"14"	"13"	"8"	"21"	"526"	"0"	"526"	"0"
"349"	"255"	"28"	"2"	"106"	"96"	"3"	"1"	"1"	"3"	"1"	"9"	"250"	"0"	"250"	"0"
"350"	"256"	"61"	"3"	"86"	"310"	"9"	"3"	"6"	"3"	"4"	"13"	"498"	"0"	"498"	"0"
"351"	"257"	"43"	"10"	"157"	"309"	"12"	"12"	"14"	"6"	"7"	"32"	"602"	"0"	"602"	"0"
"352"	"258"	"163"	"47"	"43"	"159"	"12"	"8"	"9"	"4"	"4"	"22"	"471"	"0"	"471"	"0"
"353"	"259"	"14"	"4"	"20"	"251"	"3"	"3"	"5"	"1"	"3"	"51"	"355"	"0"	"355"	"0"
"354"	"260"	"17"	"12"	"54"	"129"	"2"	"2"	"1"	"4"	"2"	"36"	"259"	"0"	"259"	"0"
"355"	"261"	"100"	"38"	"103"	"361"	"8"	"1"	"9"	"6"	"6"	"29"	"661"	"0"	"661"	"0"
"356"	"262"	"109"	"61"	"134"	"259"	"11"	"6"	"10"	"12"	"7"	"27"	"636"	"0"	"636"	"0"
"357"	"263"	"43"	"48"	"55"	"191"	"4"	"7"	"9"	"2"	"1"	"24"	"384"	"0"	"384"	"0"
"358"	"264"	"25"	"5"	"126"	"361"	"5"	"8"	"13"	"8"	"8"	"25"	"584"	"0"	"584"	"0"
"359"	"TOTAL"	"21361"	"9109"	"41619"	"44552"	"1014"	"1014"	"1254"	"1262"	"1045"	"4436"	"126666"	"0"	"126666"	"0"
"360"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"361"	""	"MURARI PRASAD GAUTAM"	"RAMENDRA RAM"	"LALAN PASWAN"	"SHYAM BIHARI RAM"	"BABY DEVI"	"MANOJ KUMAR PASWAN"	"MAHIPTESHWAR RAM"	"MALTI DEVI"	"SURESH RAM"	"MAHENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"362"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"363"	"B.F."	"21361"	"9109"	"41619"	"44552"	"1014"	"1014"	"1254"	"1262"	"1045"	"4436"	"126666"	"0"	"126666"	"0"
"364"	"Total No. of votes recorded at Polling Stations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"365"	"No. of votes recorded on postal ballot papers"	"29"	"2"	"66"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"1"	"132"	"0"
"366"	"Total votes Polled"	"21390"	"9111"	"41685"	"44586"	"1014"	"1014"	"1254"	"1262"	"1045"	"4436"	"126797"	"1"	"126798"	"0"
"367"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"368"	"Place : SASARAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"369"	"Date : 24.11.2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"370"	"RETURRING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"371"	"207 CHENARI(A.C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
