"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"
"114"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	"Sanjay Kumar"	""	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"115"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	""
"116"	"Round 5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"57"	"74"	"5"	"47"	""	"129"	"10"	"12"	"13"	"5"	"13"	"100"	""	"3"	""	"2"	""	"4"	"3"	"2"	"7"	"11"	"30"	"7"	""	"477"	""	"477"	""	""
"118"	"58"	"101"	"16"	"53"	""	"104"	"4"	"2"	"11"	"40"	"38"	"198"	""	"9"	""	"8"	""	"11"	"32"	"11"	"24"	"6"	"2"	"10"	""	"680"	""	"680"	""	""
"119"	"59"	"183"	"4"	"183"	""	"40"	"2"	"2"	"1"	"2"	"5"	"4"	""	"0"	""	"0"	""	"2"	"1"	"2"	"5"	"10"	"1"	"6"	""	"453"	""	"453"	""	""
"120"	"60"	"17"	"7"	"15"	""	"137"	"8"	"6"	"2"	"2"	"4"	"16"	""	"1"	""	"6"	""	"11"	"7"	"7"	"11"	"3"	"36"	"2"	""	"298"	""	"298"	""	""
"121"	"61"	"46"	"7"	"6"	""	"184"	"3"	"0"	"3"	"2"	"2"	"2"	""	"0"	""	"3"	""	"6"	"3"	"1"	"11"	"6"	"91"	"6"	""	"382"	""	"382"	""	""
"122"	"62"	"146"	"6"	"81"	""	"152"	"3"	"0"	"2"	"0"	"2"	"1"	""	"0"	""	"1"	""	"3"	"1"	"1"	"1"	"6"	"40"	"2"	""	"448"	""	"448"	""	""
"123"	"63"	"172"	"0"	"99"	""	"17"	"0"	"0"	"1"	"0"	"1"	"1"	""	"0"	""	"0"	""	"1"	"0"	"0"	"8"	"2"	"0"	"2"	""	"304"	""	"304"	""	""
"124"	"64"	"155"	"5"	"36"	""	"41"	"0"	"0"	"3"	"1"	"1"	"0"	""	"0"	""	"0"	""	"2"	"2"	"0"	"3"	"5"	"0"	"1"	""	"255"	""	"255"	""	""
"125"	"65"	"149"	"1"	"105"	""	"16"	"1"	"0"	"1"	"3"	"6"	"32"	""	"2"	""	"2"	""	"3"	"1"	"1"	"6"	"4"	"0"	"3"	""	"336"	""	"336"	""	""
"126"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	""	"Ramjatan Sinha"	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	""	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	""	"Sanjay Kumar"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"129"	"Booth No."	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	""	"11"	""	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	"19"	"20"	"21"	"22"	"23"	""
"130"	"66"	"142"	"5"	""	"62"	"165"	"3"	"1"	"6"	"8"	"3"	""	"9"	""	"1"	""	"2"	"4"	"6"	"1"	"7"	"11"	"7"	""	"12"	"455"	""	"455"	""	""
"131"	"67"	"131"	"1"	""	"74"	"133"	"4"	"4"	"1"	"16"	"2"	""	"9"	""	"0"	""	"0"	"2"	"1"	"0"	"3"	"5"	"1"	""	"0"	"387"	""	"387"	""	""
"132"	"68"	"108"	"8"	""	"61"	"127"	"8"	"4"	"8"	"16"	"11"	""	"30"	""	"5"	""	"12"	"8"	"5"	"3"	"11"	"5"	"2"	""	"6"	"438"	""	"438"	""	""
"133"	"69"	"9"	"3"	""	"5"	"190"	"4"	"0"	"1"	"0"	"1"	""	"3"	""	"0"	""	"5"	"9"	"1"	"2"	"6"	"3"	"0"	""	"2"	"244"	""	"244"	""	""
"134"	"70"	"157"	"3"	""	"2"	"50"	"2"	"6"	"4"	"4"	"16"	""	"99"	""	"7"	""	"6"	"5"	"8"	"5"	"30"	"8"	"0"	""	"2"	"414"	""	"414"	""	""
"135"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"Total"	"1590"	"71"	""	"829"	"1485"	"52"	"37"	"57"	"99"	"105"	""	"504"	""	"28"	""	"47"	"71"	"71"	"36"	"133"	"85"	"210"	""	"61"	"5571"	""	"5571"	""	""
"137"	"Signature of ARO                                                                                                                                    Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	"Sanjay Kumar"	""	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"141"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	""
"142"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	""	"Sanjay Kumar"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"143"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	""	"19"	"20"	"21"	"22"	"23"	""
"144"	"Round 6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"71"	"27"	"2"	"7"	""	"355"	"5"	"0"	"4"	"3"	"9"	"32"	""	"1"	""	"4"	""	"4"	"3"	"2"	"11"	"8"	"5"	""	"13"	"495"	""	"495"	""	""
"146"	"72"	"132"	"8"	"20"	""	"284"	"3"	"3"	"7"	"14"	"3"	"24"	""	"0"	""	"4"	""	"1"	"15"	"1"	"7"	"0"	"1"	""	"1"	"528"	""	"528"	""	""
"147"	"73"	"25"	"4"	"14"	""	"298"	"5"	"2"	"1"	"1"	"2"	"4"	""	"3"	""	"1"	""	"2"	"1"	"0"	"3"	"0"	"33"	""	"7"	"406"	""	"406"	""	""
"148"	"74"	"104"	"9"	"18"	""	"198"	"2"	"1"	"6"	"0"	"1"	"0"	""	"0"	""	"1"	""	"1"	"5"	"2"	"0"	"1"	"4"	""	"1"	"354"	""	"354"	""	""
"149"	"75"	"9"	"4"	"2"	""	"35"	"0"	"2"	"2"	"1"	"7"	"102"	""	"1"	""	"2"	""	"2"	"2"	"3"	"6"	"0"	"0"	""	"0"	"180"	""	"180"	""	""
"150"	"76"	"162"	"0"	"98"	""	"86"	"1"	"3"	"1"	"0"	"0"	"3"	""	"1"	""	"0"	""	"1"	"1"	"0"	"1"	"8"	"0"	""	"7"	"373"	""	"373"	""	""
"151"	"77"	"86"	"7"	"37"	""	"95"	"1"	"2"	"5"	"4"	"6"	"107"	""	"1"	""	"0"	""	"0"	"0"	"0"	"3"	"1"	"5"	""	"0"	"360"	""	"360"	""	""
"152"	"78"	"135"	"0"	"132"	""	"6"	"0"	"0"	"1"	"0"	"1"	"0"	""	"1"	""	"0"	""	"0"	"2"	"2"	"6"	"6"	"0"	""	"3"	"295"	""	"295"	""	""
"153"	"79"	"49"	"3"	"52"	""	"250"	"7"	"4"	"2"	"1"	"2"	"9"	""	"3"	""	"4"	""	"0"	"33"	"2"	"6"	"2"	"15"	""	"10"	"454"	""	"454"	""	""
"154"	"80"	"222"	"10"	"25"	""	"156"	"7"	"5"	"5"	"8"	"3"	"17"	""	"5"	""	"3"	""	"6"	"5"	"1"	"12"	"6"	"9"	""	"6"	"511"	""	"511"	""	""
"155"	"81"	"12"	"4"	"2"	""	"278"	"5"	"2"	"2"	"0"	"0"	"0"	""	"1"	""	"2"	""	"7"	"0"	"0"	"1"	"1"	"5"	""	"1"	"323"	""	"323"	""	""
"156"	"82"	"54"	"1"	"159"	""	"113"	"3"	"0"	"5"	"1"	"0"	"1"	""	"0"	""	"1"	""	"8"	"3"	"0"	"5"	"4"	"2"	""	"9"	"369"	""	"369"	""	""
"157"	"83"	"121"	"12"	"97"	""	"50"	"4"	"2"	"2"	"3"	"8"	"10"	""	"2"	""	"3"	""	"7"	"8"	"6"	"18"	"5"	"6"	""	"7"	"371"	""	"371"	""	""
"158"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	"Sanjay Kumar"	""	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"161"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	""
"162"	"84"	"212"	"6"	"41"	""	"91"	"1"	"2"	"3"	"0"	"1"	"4"	""	"2"	""	"0"	""	"0"	"3"	"2"	"2"	"9"	"6"	"5"	""	"390"	""	"390"	""	""
"163"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"Total"	"1350"	"70"	"704"	""	"2295"	"44"	"28"	"46"	"36"	"43"	"313"	""	"21"	""	"25"	""	"39"	"81"	"21"	"81"	"51"	"91"	"70"	""	"5409"	""	"5409"	""	""
"165"	"Signature of ARO                                                                                                                                    Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	"Sanjay Kumar"	""	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"169"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	""
"170"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	""	"Sanjay Kumar"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"171"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	""	"19"	"20"	"21"	"22"	"23"	""
"172"	"Round 7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"85"	"9"	"2"	"8"	""	"214"	"4"	"0"	"2"	"0"	"0"	"0"	""	"0"	""	"0"	""	"5"	"0"	"1"	"0"	"5"	"38"	""	"9"	"297"	""	"297"	""	""
"174"	"86"	"158"	"19"	"104"	""	"144"	"4"	"3"	"8"	"1"	"2"	"7"	""	"4"	""	"4"	""	"7"	"11"	"6"	"18"	"1"	"3"	""	"15"	"519"	""	"519"	""	""
"175"	"87"	"237"	"29"	"144"	""	"28"	"2"	"2"	"6"	"1"	"2"	"3"	""	"1"	""	"3"	""	"1"	"7"	"1"	"6"	"7"	"6"	""	"3"	"489"	""	"489"	""	""
"176"	"88"	"112"	"8"	"47"	""	"171"	"6"	"4"	"4"	"0"	"1"	"6"	""	"0"	""	"1"	""	"1"	"0"	"2"	"4"	"3"	"4"	""	"4"	"378"	""	"378"	""	""
"177"	"89"	"31"	"4"	"63"	""	"218"	"1"	"6"	"5"	"4"	"3"	"25"	""	"6"	""	"6"	""	"16"	"22"	"4"	"23"	"4"	"21"	""	"12"	"474"	""	"474"	""	""
"178"	"90"	"14"	"1"	"17"	""	"212"	"7"	"0"	"2"	"3"	"13"	"101"	""	"2"	""	"1"	""	"4"	"5"	"0"	"4"	"1"	"25"	""	"0"	"412"	""	"412"	""	""
"179"	"91"	"258"	"6"	"61"	""	"100"	"8"	"5"	"4"	"4"	"4"	"6"	""	"2"	""	"3"	""	"8"	"10"	"2"	"4"	"12"	"13"	""	"7"	"517"	""	"517"	""	""
"180"	"92"	"276"	"48"	"46"	""	"52"	"3"	"0"	"1"	"5"	"11"	"30"	""	"1"	""	"2"	""	"0"	"5"	"2"	"7"	"9"	"52"	""	"4"	"554"	""	"554"	""	""
"181"	"93"	"104"	"3"	"9"	""	"143"	"2"	"4"	"5"	"0"	"3"	"17"	""	"1"	""	"0"	""	"8"	"4"	"0"	"9"	"1"	"63"	""	"3"	"379"	""	"379"	""	""
"182"	"94"	"83"	"3"	"64"	""	"6"	"0"	"0"	"0"	"0"	"0"	"2"	""	"2"	""	"0"	""	"0"	"2"	"2"	"10"	"6"	"1"	""	"1"	"182"	""	"182"	""	""
"183"	"95"	"121"	"2"	"298"	""	"17"	"2"	"0"	"2"	"0"	"1"	"0"	""	"1"	""	"1"	""	"4"	"10"	"0"	"1"	"1"	"1"	""	"3"	"465"	""	"465"	""	""
"184"	"96"	"92"	"22"	"101"	""	"142"	"2"	"1"	"6"	"4"	"5"	"3"	""	"3"	""	"4"	""	"16"	"10"	"4"	"15"	"5"	"2"	""	"2"	"439"	""	"439"	""	""
"185"	"97"	"316"	"74"	"69"	""	"70"	"1"	"1"	"4"	"5"	"6"	"25"	""	"2"	""	"1"	""	"4"	"5"	"4"	"11"	"8"	"4"	""	"6"	"616"	""	"616"	""	""
"186"	"98"	"37"	"1"	"79"	""	"25"	"3"	"0"	"4"	"3"	"1"	"3"	""	"1"	""	"1"	""	"0"	"3"	"3"	"2"	"4"	"0"	""	"2"	"172"	""	"172"	""	""
"187"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	"Sanjay Kumar"	""	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"191"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	""
"192"	"Total"	"1848"	"222"	"1110"	""	"1542"	"45"	"26"	"53"	"30"	"52"	"228"	""	"26"	""	"27"	""	"74"	"94"	"31"	"114"	"67"	"233"	"71"	""	"5893"	""	"5893"	""	""
"193"	"Signature of ARO                                                                                                                                    Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	"Sanjay Kumar"	""	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"197"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	""
"198"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	""	"Sanjay Kumar"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"199"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	""	"19"	"20"	"21"	"22"	"23"	""
"200"	"Round 8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"99"	"57"	"0"	"8"	""	"90"	"4"	"2"	"0"	"0"	"0"	"0"	""	"0"	""	"2"	""	"2"	"11"	"1"	"1"	"1"	"1"	""	"0"	"180"	""	"180"	""	""
"202"	"100"	"92"	"2"	"78"	""	"23"	"0"	"0"	"0"	"0"	"0"	"4"	""	"0"	""	"0"	""	"0"	"1"	"0"	"3"	"0"	"0"	""	"1"	"204"	""	"204"	""	""
"203"	"101"	"120"	"43"	"56"	""	"224"	"5"	"2"	"4"	"1"	"6"	"19"	""	"0"	""	"1"	""	"1"	"1"	"2"	"5"	"6"	"2"	""	"3"	"501"	""	"501"	""	""
"204"	"102"	"154"	"32"	"40"	""	"36"	"3"	"3"	"5"	"2"	"1"	"21"	""	"2"	""	"1"	""	"4"	"17"	"4"	"9"	"9"	"3"	""	"2"	"348"	""	"348"	""	""
"205"	"103"	"139"	"22"	"5"	""	"93"	"3"	"3"	"5"	"27"	"28"	"119"	""	"2"	""	"4"	""	"3"	"22"	"1"	"11"	"2"	"41"	""	"16"	"546"	""	"546"	""	""
"206"	"104"	"114"	"47"	"48"	""	"37"	"1"	"0"	"0"	"12"	"9"	"28"	""	"2"	""	"3"	""	"4"	"4"	"3"	"2"	"3"	"2"	""	"19"	"338"	""	"338"	""	""
"207"	"105"	"29"	"8"	"5"	""	"50"	"1"	"1"	"3"	"148"	"18"	"191"	""	"4"	""	"3"	""	"4"	"4"	"1"	"7"	"4"	"99"	""	"21"	"601"	""	"601"	""	""
"208"	"106"	"164"	"46"	"10"	""	"190"	"4"	"2"	"6"	"3"	"10"	"21"	""	"2"	""	"5"	""	"5"	"38"	"2"	"11"	"5"	"15"	""	"4"	"543"	""	"543"	""	""
"209"	"107"	"79"	"5"	"0"	""	"55"	"0"	"1"	"12"	"1"	"3"	"24"	""	"2"	""	"1"	""	"3"	"2"	"0"	"3"	"12"	"9"	""	"49"	"261"	""	"261"	""	""
"210"	"108"	"326"	"2"	"1"	""	"4"	"0"	"0"	"0"	"0"	"1"	"2"	""	"0"	""	"0"	""	"0"	"2"	"1"	"2"	"5"	"1"	""	"3"	"350"	""	"350"	""	""
"211"	"109"	"175"	"4"	"9"	""	"182"	"4"	"3"	"2"	"20"	"3"	"40"	""	"0"	""	"2"	""	"3"	"0"	"2"	"6"	"4"	"37"	""	"16"	"512"	""	"512"	""	""
"212"	"110"	"95"	"1"	"37"	""	"76"	"1"	"2"	"2"	"7"	"5"	"7"	""	"0"	""	"0"	""	"1"	"5"	"0"	"3"	"2"	"59"	""	"7"	"310"	""	"310"	""	""
"213"	"111"	"239"	"4"	"17"	""	"80"	"1"	"4"	"1"	"11"	"5"	"0"	""	"0"	""	"0"	""	"1"	"3"	"1"	"3"	"4"	"6"	""	"0"	"380"	""	"380"	""	""
"214"	"112"	"218"	"12"	"4"	""	"146"	"2"	"0"	"0"	"2"	"2"	"1"	""	"1"	""	"0"	""	"0"	"6"	"0"	"0"	"1"	"1"	""	"8"	"404"	""	"404"	""	""
"215"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	"Sanjay Kumar"	""	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"218"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	""
"219"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"Total"	"2001"	"228"	"318"	""	"1286"	"29"	"23"	"40"	"234"	"91"	"477"	""	"15"	""	"22"	""	"31"	"116"	"18"	"66"	"58"	"276"	"149"	""	"5478"	""	"5478"	""	""
"221"	"Signature of ARO                                                                                                                                    Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	"Sanjay Kumar"	""	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"225"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	""
