"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 202---Rajpur (SC) CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :202---Rajpur (SC)                                                                                                                                                                                                                                                                  No of Voters :253787"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No of valid votes caste in favour of                                                                                                                       Total Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"BOOTH NO"	"CHHEDI LAL RAM"	"PANKAJ KUMAR"	"MANJU KUMARI"	"SANTOSH
KUMAR NIRALA"	"HIRAMAN
PRASAD PASWAN"	"PARASURAM PRASAD"	"RAJENDRA PASWAN"	"RAMASHANKE R RAM"	"SHIV KUMAR RAM"	"SANJAY PASWAN"	"OM PRAKASH VIDYARTHY"	"MADAN RAM"	"RAJ KUMAR RAM"	"BINOD KUMAR BIKRANT"	"TOTAL VALID VOTES"
"182"	"163"	"159"	"169"	"19"	"193"	"1"	"0"	"1"	"3"	"19"	"0"	"1"	"0"	"3"	"2"	"570"
"183"	"163A"	"353"	"1"	"1"	"13"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"3"	"3"	"378"
"184"	"164"	"138"	"93"	"10"	"178"	"2"	"21"	"0"	"2"	"3"	"2"	"4"	"4"	"10"	"9"	"476"
"185"	"164A"	"80"	"199"	"11"	"121"	"2"	"9"	"0"	"2"	"3"	"0"	"0"	"2"	"3"	"0"	"432"
"186"	"165"	"139"	"33"	"16"	"238"	"2"	"12"	"0"	"17"	"1"	"1"	"3"	"6"	"9"	"11"	"488"
"187"	"165A"	"122"	"20"	"6"	"137"	"3"	"3"	"4"	"4"	"2"	"3"	"3"	"6"	"9"	"11"	"333"
"188"	"166"	"134"	"232"	"12"	"33"	"1"	"1"	"0"	"2"	"2"	"1"	"0"	"4"	"5"	"9"	"436"
"189"	"167"	"92"	"32"	"19"	"182"	"3"	"0"	"1"	"2"	"1"	"0"	"2"	"2"	"8"	"2"	"346"
"190"	"168"	"338"	"7"	"4"	"17"	"0"	"0"	"0"	"2"	"0"	"4"	"1"	"6"	"1"	"5"	"385"
"191"	"169"	"308"	"151"	"10"	"55"	"1"	"2"	"110"	"7"	"4"	"2"	"2"	"8"	"8"	"5"	"673"
"192"	"170"	"144"	"7"	"23"	"86"	"3"	"3"	"86"	"16"	"9"	"5"	"1"	"1"	"4"	"16"	"404"
"193"	"171"	"209"	"55"	"54"	"130"	"4"	"0"	"22"	"3"	"1"	"0"	"3"	"4"	"3"	"6"	"494"
"194"	"171A"	"129"	"10"	"29"	"98"	"1"	"0"	"8"	"3"	"3"	"0"	"0"	"1"	"0"	"2"	"284"
"195"	"172"	"267"	"19"	"16"	"116"	"1"	"8"	"4"	"5"	"6"	"1"	"0"	"4"	"5"	"12"	"464"
"196"	"173"	"249"	"43"	"23"	"194"	"5"	"2"	"0"	"5"	"13"	"2"	"4"	"3"	"15"	"26"	"584"
"197"	"174"	"133"	"189"	"25"	"151"	"3"	"3"	"4"	"12"	"12"	"5"	"9"	"9"	"19"	"41"	"615"
"198"	"BOOTH NO"	"CHHEDI LAL RAM"	"PANKAJ KUMAR"	"MANJU KUMARI"	"SANTOSH
KUMAR NIRALA"	"HIRAMAN
PRASAD PASWAN"	"PARASURAM PRASAD"	"RAJENDRA PASWAN"	"RAMASHANKE R RAM"	"SHIV KUMAR RAM"	"SANJAY PASWAN"	"OM PRAKASH VIDYARTHY"	"MADAN RAM"	"RAJ KUMAR RAM"	"BINOD KUMAR BIKRANT"	"TOTAL VALID VOTES"
"199"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"200"	"175"	"189"	"194"	"12"	"103"	"1"	"1"	"3"	"6"	"2"	"3"	"6"	"3"	"9"	"26"	"558"
"201"	"175A"	"139"	"27"	"7"	"86"	"1"	"0"	"11"	"1"	"5"	"2"	"3"	"1"	"4"	"11"	"298"
"202"	"176"	"100"	"191"	"23"	"44"	"0"	"2"	"3"	"5"	"2"	"1"	"3"	"2"	"2"	"3"	"381"
"203"	"177"	"102"	"123"	"50"	"115"	"4"	"0"	"8"	"3"	"0"	"1"	"3"	"1"	"6"	"2"	"418"
"204"	"178"	"88"	"169"	"4"	"120"	"0"	"2"	"5"	"18"	"30"	"6"	"10"	"2"	"17"	"18"	"489"
"205"	"179"	"124"	"81"	"8"	"120"	"2"	"2"	"2"	"3"	"3"	"1"	"4"	"1"	"12"	"8"	"371"
"206"	"180"	"247"	"18"	"6"	"110"	"5"	"2"	"20"	"12"	"11"	"2"	"6"	"10"	"7"	"9"	"465"
"207"	"181"	"223"	"174"	"25"	"155"	"3"	"3"	"6"	"7"	"10"	"6"	"8"	"13"	"20"	"28"	"681"
"208"	"182"	"101"	"21"	"20"	"345"	"4"	"5"	"16"	"10"	"12"	"0"	"5"	"5"	"10"	"13"	"567"
"209"	"183"	"146"	"51"	"25"	"141"	"2"	"3"	"7"	"6"	"9"	"1"	"2"	"4"	"7"	"5"	"409"
"210"	"184"	"110"	"159"	"11"	"414"	"6"	"1"	"3"	"1"	"7"	"5"	"15"	"8"	"12"	"20"	"772"
"211"	"185"	"225"	"122"	"7"	"84"	"1"	"1"	"0"	"0"	"2"	"1"	"1"	"7"	"1"	"12"	"464"
"212"	"186"	"71"	"159"	"8"	"276"	"0"	"0"	"0"	"3"	"57"	"0"	"2"	"2"	"3"	"2"	"583"
"213"	"187"	"45"	"26"	"59"	"191"	"5"	"3"	"2"	"5"	"8"	"0"	"3"	"4"	"12"	"6"	"369"
"214"	"188"	"189"	"36"	"27"	"284"	"6"	"8"	"5"	"5"	"10"	"2"	"0"	"6"	"4"	"5"	"587"
"215"	"189"	"124"	"276"	"28"	"163"	"2"	"0"	"2"	"5"	"8"	"1"	"14"	"8"	"5"	"3"	"639"
"216"	"190"	"74"	"131"	"33"	"254"	"1"	"0"	"3"	"9"	"11"	"1"	"2"	"2"	"4"	"5"	"530"
"217"	"191"	"79"	"13"	"6"	"234"	"6"	"5"	"4"	"27"	"152"	"6"	"8"	"10"	"12"	"6"	"568"
"218"	"192"	"235"	"89"	"68"	"299"	"8"	"4"	"4"	"8"	"10"	"7"	"15"	"10"	"25"	"26"	"808"
"219"	"193"	"362"	"142"	"7"	"126"	"0"	"0"	"1"	"5"	"0"	"1"	"2"	"1"	"7"	"8"	"662"
"220"	"194"	"162"	"294"	"8"	"272"	"6"	"5"	"3"	"6"	"24"	"3"	"4"	"6"	"21"	"29"	"843"
"221"	"195"	"161"	"19"	"14"	"313"	"5"	"3"	"6"	"3"	"3"	"4"	"6"	"3"	"19"	"12"	"571"
"222"	"196"	"42"	"83"	"7"	"187"	"1"	"0"	"1"	"0"	"4"	"2"	"3"	"1"	"7"	"6"	"344"
"223"	"197"	"121"	"48"	"11"	"185"	"2"	"0"	"0"	"1"	"6"	"1"	"1"	"2"	"6"	"6"	"390"
"224"	"198"	"320"	"167"	"23"	"152"	"7"	"2"	"3"	"8"	"168"	"3"	"2"	"1"	"4"	"7"	"867"
"225"	"199"	"315"	"87"	"15"	"31"	"0"	"2"	"2"	"1"	"0"	"1"	"2"	"4"	"2"	"2"	"464"
"226"	"200"	"406"	"38"	"10"	"173"	"4"	"1"	"4"	"5"	"60"	"8"	"6"	"4"	"15"	"33"	"767"
"227"	"201"	"147"	"22"	"5"	"40"	"1"	"1"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"3"	"224"
"228"	"202"	"259"	"80"	"61"	"140"	"2"	"3"	"2"	"7"	"20"	"2"	"3"	"8"	"10"	"12"	"609"
"229"	"203"	"120"	"66"	"16"	"108"	"7"	"2"	"0"	"3"	"40"	"0"	"1"	"0"	"10"	"5"	"378"
"230"	"203A"	"207"	"12"	"30"	"87"	"2"	"2"	"2"	"6"	"23"	"5"	"3"	"8"	"9"	"22"	"418"
"231"	"204"	"173"	"54"	"18"	"181"	"3"	"0"	"3"	"3"	"3"	"1"	"4"	"2"	"4"	"16"	"465"
"232"	"205"	"167"	"87"	"10"	"193"	"7"	"1"	"3"	"19"	"206"	"4"	"9"	"6"	"7"	"16"	"735"
"233"	"206"	"83"	"52"	"18"	"189"	"4"	"0"	"2"	"3"	"21"	"2"	"0"	"4"	"7"	"7"	"392"
"234"	"207"	"114"	"129"	"84"	"220"	"2"	"2"	"11"	"112"	"17"	"3"	"5"	"5"	"22"	"12"	"738"
"235"	"208"	"43"	"91"	"101"	"249"	"6"	"2"	"2"	"6"	"35"	"4"	"2"	"5"	"4"	"2"	"552"
"236"	"209"	"221"	"77"	"25"	"298"	"5"	"1"	"1"	"6"	"1"	"0"	"3"	"2"	"11"	"10"	"661"
"237"	"BOOTH NO"	"CHHEDI LAL RAM"	"PANKAJ KUMAR"	"MANJU KUMARI"	"SANTOSH
KUMAR NIRALA"	"HIRAMAN
PRASAD PASWAN"	"PARASURAM PRASAD"	"RAJENDRA PASWAN"	"RAMASHANKE R RAM"	"SHIV KUMAR RAM"	"SANJAY PASWAN"	"OM PRAKASH VIDYARTHY"	"MADAN RAM"	"RAJ KUMAR RAM"	"BINOD KUMAR BIKRANT"	"TOTAL VALID VOTES"
"238"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"239"	"210"	"150"	"50"	"30"	"220"	"2"	"0"	"1"	"2"	"2"	"4"	"4"	"8"	"8"	"4"	"485"
"240"	"211"	"244"	"167"	"16"	"267"	"4"	"4"	"4"	"13"	"10"	"4"	"8"	"11"	"15"	"22"	"789"
"241"	"212"	"155"	"47"	"2"	"48"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"2"	"3"	"261"
"242"	"213"	"288"	"105"	"6"	"181"	"2"	"1"	"3"	"11"	"7"	"2"	"14"	"9"	"16"	"28"	"673"
"243"	"213A"	"145"	"16"	"5"	"100"	"0"	"2"	"1"	"9"	"3"	"2"	"3"	"4"	"7"	"10"	"307"
"244"	"214"	"449"	"125"	"44"	"65"	"1"	"1"	"2"	"3"	"48"	"1"	"1"	"3"	"5"	"2"	"750"
"245"	"215"	"251"	"189"	"57"	"145"	"0"	"2"	"1"	"7"	"8"	"3"	"6"	"14"	"15"	"12"	"710"
"246"	"216"	"136"	"48"	"14"	"485"	"11"	"3"	"10"	"6"	"6"	"3"	"10"	"2"	"8"	"13"	"755"
"247"	"217"	"46"	"251"	"26"	"44"	"2"	"1"	"0"	"1"	"2"	"0"	"1"	"2"	"3"	"5"	"384"
"248"	"218"	"319"	"202"	"9"	"156"	"5"	"5"	"3"	"3"	"2"	"5"	"7"	"9"	"11"	"18"	"754"
"249"	"219"	"347"	"164"	"34"	"113"	"5"	"0"	"1"	"1"	"3"	"1"	"3"	"20"	"6"	"14"	"712"
"250"	"220"	"332"	"35"	"20"	"58"	"2"	"1"	"1"	"3"	"4"	"2"	"1"	"7"	"7"	"16"	"489"
"251"	"221"	"126"	"109"	"9"	"209"	"4"	"4"	"1"	"16"	"9"	"1"	"9"	"9"	"12"	"20"	"538"
"252"	"222"	"99"	"73"	"28"	"108"	"1"	"3"	"0"	"2"	"5"	"2"	"1"	"0"	"1"	"5"	"328"
"253"	"223"	"181"	"103"	"22"	"194"	"6"	"3"	"3"	"5"	"28"	"1"	"5"	"8"	"8"	"13"	"580"
"254"	"224"	"72"	"12"	"7"	"168"	"2"	"2"	"1"	"10"	"153"	"5"	"6"	"2"	"15"	"11"	"466"
"255"	"225"	"151"	"97"	"5"	"193"	"4"	"1"	"0"	"10"	"244"	"0"	"7"	"6"	"8"	"12"	"738"
"256"	"226"	"77"	"77"	"32"	"223"	"4"	"2"	"1"	"5"	"4"	"2"	"4"	"4"	"9"	"11"	"455"
"257"	"227"	"39"	"94"	"6"	"353"	"5"	"1"	"1"	"7"	"9"	"5"	"8"	"10"	"13"	"6"	"557"
"258"	"228"	"47"	"40"	"5"	"384"	"2"	"1"	"1"	"3"	"1"	"1"	"2"	"1"	"8"	"4"	"500"
"259"	"229"	"15"	"39"	"106"	"387"	"2"	"1"	"6"	"11"	"4"	"1"	"4"	"5"	"13"	"1"	"595"
"260"	"229A"	"8"	"14"	"39"	"465"	"0"	"1"	"1"	"2"	"0"	"3"	"1"	"1"	"9"	"2"	"546"
"261"	"230"	"59"	"125"	"6"	"654"	"5"	"1"	"3"	"2"	"7"	"0"	"3"	"6"	"8"	"8"	"887"
"262"	"231"	"73"	"7"	"1"	"190"	"3"	"0"	"0"	"11"	"1"	"1"	"2"	"0"	"7"	"5"	"301"
"263"	"232"	"332"	"58"	"26"	"73"	"2"	"2"	"6"	"78"	"7"	"3"	"0"	"4"	"8"	"21"	"620"
"264"	"233"	"52"	"285"	"12"	"324"	"4"	"2"	"3"	"7"	"1"	"1"	"2"	"2"	"5"	"5"	"705"
"265"	"234"	"72"	"11"	"0"	"236"	"3"	"0"	"0"	"3"	"5"	"1"	"1"	"2"	"2"	"1"	"337"
"266"	"235"	"42"	"6"	"1"	"187"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"4"	"0"	"245"
"267"	"236"	"24"	"13"	"4"	"206"	"1"	"0"	"0"	"9"	"91"	"2"	"5"	"2"	"4"	"2"	"363"
"268"	"237"	"34"	"199"	"10"	"132"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"3"	"1"	"382"
"269"	"238"	"338"	"13"	"26"	"197"	"5"	"3"	"5"	"11"	"20"	"2"	"7"	"8"	"8"	"11"	"654"
"270"	"239"	"28"	"97"	"19"	"213"	"7"	"2"	"10"	"111"	"112"	"6"	"3"	"2"	"10"	"10"	"630"
"271"	"240"	"160"	"80"	"7"	"335"	"4"	"1"	"2"	"9"	"5"	"0"	"0"	"0"	"9"	"6"	"618"
"272"	"241"	"237"	"9"	"2"	"6"	"2"	"0"	"1"	"1"	"0"	"1"	"0"	"2"	"1"	"5"	"267"
"273"	"242"	"248"	"13"	"4"	"8"	"1"	"0"	"0"	"8"	"0"	"2"	"2"	"3"	"1"	"3"	"293"
"274"	"243"	"248"	"81"	"4"	"20"	"0"	"1"	"1"	"13"	"0"	"0"	"2"	"2"	"3"	"7"	"382"
"275"	"244"	"34"	"27"	"22"	"216"	"6"	"1"	"4"	"1"	"4"	"3"	"5"	"3"	"13"	"10"	"349"
"276"	"BOOTH NO"	"CHHEDI LAL RAM"	"PANKAJ KUMAR"	"MANJU KUMARI"	"SANTOSH
KUMAR NIRALA"	"HIRAMAN
PRASAD PASWAN"	"PARASURAM PRASAD"	"RAJENDRA PASWAN"	"RAMASHANKE R RAM"	"SHIV KUMAR RAM"	"SANJAY PASWAN"	"OM PRAKASH VIDYARTHY"	"MADAN RAM"	"RAJ KUMAR RAM"	"BINOD KUMAR BIKRANT"	"TOTAL VALID VOTES"
"277"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"278"	"245"	"28"	"27"	"8"	"216"	"5"	"1"	"13"	"2"	"6"	"0"	"1"	"0"	"6"	"2"	"315"
"279"	"246"	"48"	"96"	"18"	"114"	"3"	"0"	"1"	"3"	"1"	"1"	"1"	"0"	"1"	"3"	"290"
"280"	"247"	"119"	"114"	"29"	"299"	"9"	"7"	"6"	"15"	"35"	"6"	"9"	"4"	"19"	"10"	"681"
"281"	"248"	"212"	"18"	"8"	"172"	"1"	"1"	"4"	"4"	"4"	"0"	"3"	"9"	"5"	"9"	"450"
"282"	"249"	"114"	"50"	"11"	"57"	"4"	"1"	"1"	"3"	"1"	"0"	"2"	"1"	"4"	"6"	"255"
"283"	"250"	"98"	"81"	"19"	"290"	"1"	"0"	"1"	"5"	"6"	"5"	"24"	"1"	"6"	"5"	"542"
"284"	"251"	"64"	"3"	"4"	"148"	"3"	"1"	"0"	"2"	"1"	"3"	"2"	"0"	"2"	"4"	"237"
"285"	"252"	"267"	"29"	"35"	"261"	"5"	"3"	"1"	"1"	"2"	"1"	"6"	"2"	"3"	"12"	"628"
"286"	"253"	"47"	"101"	"27"	"68"	"0"	"4"	"1"	"0"	"1"	"1"	"2"	"3"	"1"	"7"	"263"
"287"	"254"	"75"	"71"	"10"	"412"	"3"	"7"	"0"	"7"	"33"	"3"	"3"	"2"	"9"	"4"	"639"
"288"	"255"	"23"	"29"	"44"	"308"	"0"	"1"	"0"	"6"	"2"	"3"	"3"	"4"	"5"	"3"	"431"
"289"	"255A"	"123"	"126"	"7"	"99"	"3"	"3"	"2"	"9"	"8"	"1"	"2"	"6"	"10"	"15"	"414"
"290"	"256"	"388"	"10"	"5"	"161"	"4"	"2"	"2"	"7"	"3"	"1"	"6"	"4"	"10"	"24"	"627"
"291"	"257"	"127"	"48"	"3"	"71"	"2"	"3"	"7"	"150"	"10"	"4"	"2"	"5"	"11"	"13"	"456"
"292"	"258"	"191"	"108"	"11"	"164"	"20"	"1"	"6"	"9"	"2"	"7"	"2"	"8"	"17"	"32"	"578"
"293"	"259"	"164"	"45"	"5"	"48"	"1"	"2"	"6"	"133"	"9"	"1"	"4"	"4"	"14"	"11"	"447"
"294"	"260"	"113"	"47"	"46"	"348"	"2"	"0"	"1"	"46"	"28"	"0"	"0"	"2"	"6"	"4"	"643"
"295"	"261"	"32"	"16"	"15"	"184"	"0"	"1"	"1"	"18"	"2"	"0"	"2"	"3"	"7"	"3"	"284"
"296"	"262"	"90"	"93"	"7"	"190"	"1"	"0"	"4"	"48"	"4"	"5"	"3"	"1"	"5"	"2"	"453"
"297"	"263"	"149"	"24"	"9"	"270"	"9"	"1"	"9"	"99"	"34"	"3"	"6"	"6"	"10"	"12"	"641"
"298"	"264"	"273"	"77"	"3"	"265"	"3"	"1"	"1"	"8"	"4"	"0"	"6"	"2"	"6"	"9"	"658"
"299"	"265"	"6"	"27"	"5"	"185"	"3"	"0"	"1"	"2"	"1"	"0"	"0"	"2"	"4"	"0"	"236"
"300"	"265A"	"49"	"52"	"3"	"190"	"1"	"0"	"4"	"79"	"10"	"5"	"1"	"9"	"6"	"3"	"412"
"301"	"266"	"92"	"101"	"16"	"274"	"0"	"1"	"1"	"6"	"7"	"2"	"2"	"2"	"10"	"11"	"525"
"302"	"267"	"193"	"32"	"5"	"216"	"3"	"2"	"7"	"16"	"35"	"7"	"13"	"12"	"16"	"24"	"581"
"303"	"267A"	"62"	"38"	"2"	"165"	"3"	"2"	"5"	"19"	"64"	"4"	"5"	"7"	"16"	"17"	"409"
"304"	"268"	"138"	"184"	"7"	"214"	"0"	"5"	"3"	"11"	"60"	"1"	"4"	"7"	"13"	"15"	"662"
"305"	"269"	"329"	"24"	"22"	"179"	"5"	"1"	"1"	"5"	"2"	"0"	"3"	"1"	"1"	"3"	"576"
"306"	"Total:"	"39542"	"18381"	"5611"	"54780"	"921"	"567"	"1741"	"3715"	"3912"	"678"	"1230"	"1234"	"2546"	"2933"	"137791"
"307"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	"Postal Ballot"	"21"	"8"	"3"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"54"
"309"	"Grand Total:"	"39563"	"18389"	"5614"	"54802"	"921"	"567"	"1741"	"3715"	"3912"	"678"	"1230"	"1234"	"2546"	"2933"	"137845"
"310"	"Place:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"Assembly Constituency :202---Rajpur (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"BOOTH NO"	"CHHEDI LAL RAM"	"PANKAJ KUMAR"	"MANJU KUMARI"	"SANTOSH
KUMAR NIRALA"	"HIRAMAN
PRASAD PASWAN"	"PARASURAM PRASAD"	"RAJENDRA PASWAN"	"RAMASHANKE R RAM"	"SHIV KUMAR RAM"	"SANJAY PASWAN"	"OM PRAKASH VIDYARTHY"	"MADAN RAM"	"RAJ KUMAR RAM"	"BINOD KUMAR BIKRANT"	"TOTAL VALID VOTES"
"314"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"315"	"Date: 11/24/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
