"ANNEXURE...XLII..CHAPTER.XIV..PARA.25.9..FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ SEE RULE 56C(2) (c)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FORM THE 56 PARLIAMENTARY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 2,34,757"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Name of the Assembly/ Segment 24- Bathnaha (SC) Assembly Constituency (in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sr.
No."	"Sr. No. of Pollin g
Statio"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"172"	"143"	"138"	"6"	"137"	"59"	"55"	"6"	"2"	"1"	"1"	"7"	"1"	"6"	"281"	"0"	"281"	"0"
"173"	"144"	"139"	"5"	"311"	"97"	"55"	"3"	"2"	"2"	"2"	"12"	"4"	"2"	"495"	"0"	"495"	"0"
"174"	"145"	"140"	"3"	"176"	"113"	"30"	"3"	"2"	"3"	"3"	"9"	"4"	"8"	"354"	"0"	"354"	"0"
"175"	"146"	"141"	"2"	"91"	"198"	"10"	"1"	"0"	"0"	"3"	"12"	"0"	"5"	"322"	"0"	"322"	"0"
"176"	"Sr.
No."	"Sr. No. of Pollin g
Statio"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"177"	""	""	"Ganesh Ram"	"Dinkar Ram"	"Lalita Devi"	"Sanjay Ram"	"Nagesh war Paswan"	"Manchit Paswan"	"Mahendr a Manjhi"	"Arun Kumar Paswan"	"Gagan Dev Paswan"	"Bacchu Paswan"	"Bijnand an Kumar"	""	""	""	""
"178"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"179"	"147"	"142"	"7"	"238"	"162"	"144"	"6"	"2"	"5"	"6"	"14"	"6"	"8"	"598"	"0"	"598"	"0"
"180"	"148"	"143"	"5"	"97"	"37"	"258"	"14"	"1"	"2"	"1"	"4"	"2"	"5"	"426"	"0"	"426"	"0"
"181"	"149"	"144"	"7"	"209"	"168"	"36"	"7"	"0"	"1"	"0"	"11"	"3"	"5"	"447"	"0"	"447"	"0"
"182"	"150"	"145"	"64"	"178"	"209"	"27"	"11"	"5"	"82"	"14"	"19"	"5"	"6"	"620"	"0"	"620"	"0"
"183"	"151"	"146"	"8"	"265"	"125"	"19"	"6"	"3"	"5"	"4"	"13"	"6"	"13"	"467"	"0"	"467"	"0"
"184"	"152"	"147"	"10"	"446"	"124"	"6"	"7"	"6"	"7"	"4"	"4"	"5"	"3"	"622"	"0"	"622"	"0"
"185"	"153"	"148"	"4"	"60"	"109"	"12"	"3"	"1"	"0"	"0"	"8"	"3"	"4"	"204"	"0"	"204"	"0"
"186"	"154"	"149"	"6"	"307"	"331"	"27"	"9"	"1"	"5"	"2"	"20"	"8"	"14"	"730"	"0"	"730"	"0"
"187"	"155"	"150"	"11"	"200"	"80"	"13"	"4"	"4"	"2"	"4"	"7"	"8"	"15"	"348"	"0"	"348"	"0"
"188"	"156"	"151"	"5"	"216"	"63"	"45"	"2"	"0"	"0"	"6"	"14"	"4"	"22"	"377"	"0"	"377"	"0"
"189"	"157"	"152"	"17"	"163"	"129"	"9"	"3"	"4"	"5"	"9"	"11"	"3"	"8"	"361"	"0"	"361"	"0"
"190"	"158"	"153"	"14"	"403"	"109"	"23"	"9"	"1"	"3"	"1"	"17"	"4"	"17"	"601"	"0"	"601"	"0"
"191"	"159"	"154"	"10"	"148"	"197"	"11"	"1"	"0"	"1"	"2"	"17"	"6"	"7"	"400"	"0"	"400"	"0"
"192"	"160"	"155"	"19"	"392"	"83"	"11"	"10"	"6"	"3"	"1"	"6"	"4"	"8"	"543"	"0"	"543"	"0"
"193"	"161"	"156"	"9"	"331"	"49"	"62"	"7"	"4"	"2"	"8"	"10"	"5"	"23"	"510"	"0"	"510"	"0"
"194"	"162"	"157"	"12"	"136"	"302"	"9"	"2"	"5"	"5"	"6"	"31"	"4"	"109"	"621"	"0"	"621"	"0"
"195"	"163"	"158"	"6"	"123"	"127"	"32"	"6"	"4"	"1"	"4"	"17"	"3"	"18"	"341"	"0"	"341"	"0"
"196"	"164"	"158
A"	"7"	"131"	"119"	"47"	"20"	"5"	"0"	"5"	"17"	"5"	"9"	"365"	"0"	"365"	"0"
"197"	"165"	"159"	"8"	"304"	"40"	"72"	"5"	"1"	"1"	"0"	"7"	"1"	"1"	"440"	"0"	"440"	"0"
"198"	"Sr.
No."	"Sr. No. of Pollin g
Statio"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"199"	""	""	"Ganesh Ram"	"Dinkar Ram"	"Lalita Devi"	"Sanjay Ram"	"Nagesh war Paswan"	"Manchit Paswan"	"Mahendr a Manjhi"	"Arun Kumar Paswan"	"Gagan Dev Paswan"	"Bacchu Paswan"	"Bijnand an Kumar"	""	""	""	""
"200"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"201"	"166"	"160"	"12"	"340"	"63"	"61"	"16"	"7"	"5"	"6"	"4"	"5"	"13"	"532"	"0"	"532"	"0"
"202"	"167"	"161"	"6"	"245"	"38"	"4"	"1"	"1"	"0"	"3"	"4"	"6"	"8"	"316"	"0"	"316"	"0"
"203"	"168"	"162"	"9"	"450"	"127"	"16"	"13"	"1"	"3"	"6"	"11"	"4"	"13"	"653"	"0"	"653"	"0"
"204"	"169"	"163"	"16"	"215"	"192"	"26"	"15"	"1"	"2"	"9"	"32"	"11"	"27"	"546"	"0"	"546"	"0"
"205"	"170"	"164"	"2"	"180"	"22"	"76"	"0"	"1"	"0"	"2"	"6"	"3"	"3"	"295"	"0"	"295"	"0"
"206"	"171"	"165"	"9"	"32"	"109"	"37"	"5"	"7"	"98"	"11"	"26"	"2"	"10"	"346"	"0"	"346"	"0"
"207"	"172"	"166"	"3"	"313"	"56"	"9"	"7"	"0"	"2"	"1"	"4"	"0"	"3"	"398"	"0"	"398"	"0"
"208"	"173"	"167"	"7"	"221"	"50"	"16"	"8"	"2"	"3"	"2"	"12"	"3"	"3"	"327"	"0"	"327"	"0"
"209"	"174"	"168"	"13"	"344"	"205"	"14"	"5"	"4"	"5"	"7"	"31"	"6"	"15"	"649"	"0"	"649"	"0"
"210"	"175"	"169"	"23"	"309"	"109"	"55"	"12"	"8"	"12"	"5"	"19"	"12"	"26"	"590"	"0"	"590"	"0"
"211"	"176"	"170"	"4"	"175"	"108"	"33"	"8"	"4"	"1"	"2"	"24"	"4"	"7"	"370"	"0"	"370"	"0"
"212"	"177"	"171"	"0"	"10"	"326"	"6"	"1"	"1"	"0"	"0"	"6"	"1"	"0"	"351"	"0"	"351"	"0"
"213"	"178"	"172"	"3"	"33"	"224"	"6"	"2"	"1"	"2"	"0"	"11"	"1"	"5"	"288"	"0"	"288"	"0"
"214"	"179"	"173"	"6"	"295"	"48"	"17"	"5"	"2"	"1"	"2"	"3"	"4"	"6"	"389"	"0"	"389"	"0"
"215"	"180"	"174"	"14"	"264"	"118"	"19"	"9"	"3"	"1"	"0"	"18"	"3"	"10"	"459"	"0"	"459"	"0"
"216"	"181"	"175"	"6"	"234"	"163"	"63"	"7"	"4"	"1"	"2"	"23"	"12"	"17"	"532"	"0"	"532"	"0"
"217"	"182"	"176"	"1"	"62"	"272"	"15"	"1"	"1"	"1"	"3"	"18"	"3"	"3"	"380"	"0"	"380"	"0"
"218"	"183"	"177"	"16"	"234"	"190"	"19"	"5"	"2"	"1"	"2"	"31"	"3"	"17"	"520"	"0"	"520"	"0"
"219"	"184"	"178"	"24"	"348"	"74"	"48"	"4"	"3"	"3"	"6"	"13"	"8"	"6"	"537"	"0"	"537"	"0"
"220"	"Sr.
No."	"Sr. No. of Pollin g
Statio"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"221"	""	""	"Ganesh Ram"	"Dinkar Ram"	"Lalita Devi"	"Sanjay Ram"	"Nagesh war Paswan"	"Manchit Paswan"	"Mahendr a Manjhi"	"Arun Kumar Paswan"	"Gagan Dev Paswan"	"Bacchu Paswan"	"Bijnand an Kumar"	""	""	""	""
"222"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"223"	"185"	"179"	"2"	"178"	"50"	"15"	"3"	"1"	"8"	"1"	"2"	"5"	"4"	"269"	"0"	"269"	"0"
"224"	"186"	"180"	"9"	"73"	"226"	"11"	"4"	"2"	"1"	"3"	"19"	"4"	"9"	"361"	"0"	"361"	"0"
"225"	"187"	"181"	"12"	"245"	"227"	"30"	"5"	"1"	"6"	"2"	"17"	"3"	"1"	"549"	"0"	"549"	"0"
"226"	"188"	"182"	"21"	"179"	"112"	"51"	"15"	"4"	"7"	"6"	"20"	"4"	"13"	"432"	"0"	"432"	"0"
"227"	"189"	"183"	"5"	"191"	"134"	"9"	"0"	"2"	"2"	"2"	"11"	"1"	"3"	"360"	"0"	"360"	"0"
"228"	"190"	"184"	"8"	"171"	"149"	"49"	"10"	"3"	"7"	"3"	"31"	"8"	"15"	"454"	"0"	"454"	"0"
"229"	"191"	"185"	"14"	"201"	"74"	"14"	"12"	"9"	"4"	"5"	"14"	"5"	"11"	"363"	"0"	"363"	"0"
"230"	"192"	"186"	"39"	"191"	"71"	"106"	"28"	"8"	"55"	"11"	"20"	"7"	"9"	"545"	"0"	"545"	"0"
"231"	"193"	"187"	"13"	"316"	"66"	"15"	"27"	"14"	"26"	"7"	"23"	"16"	"37"	"560"	"0"	"560"	"0"
"232"	"194"	"188"	"38"	"52"	"54"	"20"	"9"	"5"	"4"	"8"	"11"	"7"	"14"	"222"	"0"	"222"	"0"
"233"	"195"	"188
A"	"13"	"87"	"57"	"40"	"9"	"5"	"4"	"0"	"3"	"1"	"3"	"222"	"0"	"222"	"0"
"234"	"196"	"189"	"19"	"81"	"76"	"21"	"14"	"5"	"32"	"17"	"14"	"9"	"29"	"317"	"0"	"317"	"0"
"235"	"197"	"190"	"8"	"203"	"87"	"12"	"9"	"1"	"2"	"2"	"15"	"6"	"8"	"353"	"0"	"353"	"0"
"236"	"198"	"191"	"32"	"242"	"43"	"13"	"4"	"6"	"4"	"6"	"6"	"8"	"18"	"382"	"0"	"382"	"0"
"237"	"199"	"192"	"8"	"52"	"108"	"10"	"12"	"6"	"4"	"2"	"33"	"3"	"26"	"264"	"0"	"264"	"0"
"238"	"200"	"193"	"17"	"126"	"62"	"7"	"5"	"2"	"6"	"6"	"9"	"4"	"10"	"254"	"0"	"254"	"0"
"239"	"201"	"194"	"8"	"79"	"28"	"15"	"6"	"2"	"58"	"6"	"4"	"4"	"15"	"225"	"0"	"225"	"0"
"240"	"202"	"195"	"2"	"95"	"180"	"56"	"2"	"2"	"2"	"1"	"13"	"0"	"3"	"356"	"0"	"356"	"0"
"241"	"203"	"196"	"17"	"115"	"280"	"27"	"8"	"6"	"12"	"12"	"41"	"11"	"35"	"564"	"0"	"564"	"0"
"242"	"Sr.
No."	"Sr. No. of Pollin g
Statio"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"243"	""	""	"Ganesh Ram"	"Dinkar Ram"	"Lalita Devi"	"Sanjay Ram"	"Nagesh war Paswan"	"Manchit Paswan"	"Mahendr a Manjhi"	"Arun Kumar Paswan"	"Gagan Dev Paswan"	"Bacchu Paswan"	"Bijnand an Kumar"	""	""	""	""
"244"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"245"	"204"	"197"	"19"	"244"	"136"	"37"	"6"	"8"	"3"	"3"	"26"	"7"	"16"	"505"	"0"	"505"	"0"
"246"	"205"	"198"	"9"	"144"	"146"	"27"	"9"	"5"	"26"	"7"	"17"	"15"	"21"	"426"	"0"	"426"	"0"
"247"	"206"	"199"	"11"	"188"	"193"	"21"	"8"	"6"	"11"	"7"	"24"	"9"	"5"	"483"	"0"	"483"	"0"
"248"	"207"	"200"	"5"	"189"	"69"	"23"	"5"	"1"	"2"	"2"	"13"	"2"	"7"	"318"	"0"	"318"	"0"
"249"	"208"	"201"	"9"	"181"	"54"	"72"	"6"	"0"	"1"	"0"	"7"	"2"	"5"	"337"	"0"	"337"	"0"
"250"	"209"	"202"	"9"	"240"	"60"	"53"	"3"	"4"	"1"	"1"	"10"	"4"	"2"	"387"	"0"	"387"	"0"
"251"	"210"	"203"	"37"	"271"	"121"	"20"	"18"	"10"	"7"	"7"	"18"	"12"	"18"	"539"	"0"	"539"	"0"
"252"	"211"	"204"	"16"	"417"	"201"	"21"	"6"	"4"	"7"	"5"	"13"	"6"	"20"	"716"	"0"	"716"	"0"
"253"	"212"	"205"	"15"	"184"	"180"	"229"	"12"	"3"	"9"	"2"	"13"	"5"	"11"	"663"	"0"	"663"	"0"
"254"	"213"	"206"	"5"	"263"	"67"	"60"	"10"	"0"	"2"	"1"	"7"	"5"	"1"	"421"	"0"	"421"	"0"
"255"	"214"	"207"	"50"	"152"	"146"	"39"	"1"	"2"	"0"	"4"	"17"	"3"	"7"	"421"	"0"	"421"	"0"
"256"	"215"	"208"	"12"	"138"	"420"	"20"	"2"	"1"	"3"	"5"	"28"	"4"	"9"	"642"	"0"	"642"	"0"
"257"	"216"	"209"	"40"	"457"	"232"	"10"	"15"	"8"	"7"	"6"	"29"	"5"	"15"	"824"	"0"	"824"	"0"
"258"	"217"	"210"	"19"	"172"	"241"	"31"	"9"	"5"	"4"	"8"	"22"	"4"	"17"	"532"	"0"	"532"	"0"
"259"	"218"	"211"	"12"	"270"	"189"	"16"	"8"	"4"	"5"	"2"	"21"	"12"	"15"	"554"	"0"	"554"	"0"
"260"	"219"	"212"	"17"	"283"	"101"	"54"	"16"	"9"	"27"	"6"	"27"	"10"	"18"	"568"	"0"	"568"	"0"
"261"	"220"	"213"	"22"	"384"	"67"	"19"	"2"	"1"	"1"	"5"	"3"	"1"	"10"	"515"	"0"	"515"	"0"
"262"	"221"	"214"	"31"	"242"	"34"	"36"	"8"	"3"	"25"	"6"	"7"	"10"	"14"	"416"	"0"	"416"	"0"
"263"	"222"	"215"	"5"	"298"	"54"	"40"	"3"	"1"	"1"	"1"	"11"	"5"	"19"	"438"	"0"	"438"	"0"
"264"	"Sr.
No."	"Sr. No. of Pollin g
Statio"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"265"	""	""	"Ganesh Ram"	"Dinkar Ram"	"Lalita Devi"	"Sanjay Ram"	"Nagesh war Paswan"	"Manchit Paswan"	"Mahendr a Manjhi"	"Arun Kumar Paswan"	"Gagan Dev Paswan"	"Bacchu Paswan"	"Bijnand an Kumar"	""	""	""	""
"266"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"267"	"223"	"216"	"22"	"213"	"85"	"68"	"6"	"3"	"3"	"5"	"13"	"3"	"10"	"431"	"0"	"431"	"0"
"268"	"224"	"217"	"21"	"456"	"44"	"23"	"9"	"6"	"6"	"2"	"10"	"3"	"9"	"589"	"0"	"589"	"0"
"269"	"225"	"218"	"13"	"7"	"550"	"26"	"3"	"6"	"8"	"7"	"46"	"2"	"22"	"690"	"0"	"690"	"0"
"270"	"226"	"219"	"9"	"114"	"196"	"20"	"1"	"5"	"2"	"4"	"17"	"1"	"2"	"371"	"0"	"371"	"0"
"271"	"227"	"220"	"32"	"358"	"144"	"15"	"11"	"4"	"67"	"9"	"21"	"11"	"36"	"708"	"0"	"708"	"0"
"272"	"228"	"221"	"19"	"447"	"113"	"27"	"5"	"2"	"13"	"5"	"18"	"10"	"30"	"689"	"0"	"689"	"0"
"273"	"229"	"222"	"2"	"104"	"217"	"6"	"3"	"0"	"0"	"0"	"5"	"0"	"0"	"337"	"0"	"337"	"0"
"274"	"230"	"223"	"24"	"384"	"122"	"17"	"8"	"3"	"40"	"6"	"13"	"7"	"10"	"634"	"0"	"634"	"0"
"275"	"231"	"224"	"13"	"453"	"126"	"23"	"10"	"5"	"53"	"7"	"22"	"5"	"15"	"732"	"0"	"732"	"0"
"276"	"232"	"225"	"19"	"91"	"252"	"41"	"6"	"8"	"5"	"4"	"25"	"12"	"12"	"475"	"0"	"475"	"0"
"277"	"233"	"226"	"12"	"461"	"69"	"118"	"17"	"4"	"2"	"0"	"12"	"1"	"16"	"712"	"0"	"712"	"0"
"278"	"234"	"227"	"26"	"245"	"102"	"9"	"8"	"4"	"4"	"3"	"12"	"7"	"14"	"434"	"0"	"434"	"0"
"279"	"235"	"227
A"	"14"	"254"	"84"	"12"	"9"	"3"	"14"	"3"	"9"	"3"	"11"	"416"	"0"	"416"	"0"
"280"	"236"	"228"	"22"	"127"	"25"	"7"	"3"	"4"	"2"	"2"	"2"	"0"	"2"	"196"	"0"	"196"	"0"
"281"	"237"	"229"	"3"	"261"	"300"	"10"	"4"	"0"	"1"	"5"	"6"	"3"	"6"	"599"	"0"	"599"	"0"
"282"	"238"	"230"	"24"	"224"	"311"	"27"	"14"	"6"	"9"	"7"	"35"	"6"	"11"	"674"	"0"	"674"	"0"
"283"	"239"	"231"	"4"	"8"	"266"	"63"	"4"	"2"	"7"	"4"	"20"	"6"	"10"	"394"	"0"	"394"	"0"
"284"	"240"	"232"	"20"	"362"	"136"	"26"	"15"	"7"	"6"	"11"	"31"	"15"	"26"	"655"	"0"	"655"	"0"
"285"	"241"	"233"	"6"	"8"	"257"	"14"	"7"	"4"	"3"	"11"	"41"	"8"	"23"	"382"	"0"	"382"	"0"
"286"	"Sr.
No."	"Sr. No. of Pollin g
Statio"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"287"	""	""	"Ganesh Ram"	"Dinkar Ram"	"Lalita Devi"	"Sanjay Ram"	"Nagesh war Paswan"	"Manchit Paswan"	"Mahendr a Manjhi"	"Arun Kumar Paswan"	"Gagan Dev Paswan"	"Bacchu Paswan"	"Bijnand an Kumar"	""	""	""	""
"288"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"289"	"242"	"234"	"10"	"3"	"203"	"11"	"2"	"0"	"4"	"4"	"21"	"3"	"4"	"265"	"0"	"265"	"0"
"290"	"243"	"235"	"3"	"69"	"261"	"16"	"8"	"2"	"6"	"5"	"23"	"3"	"9"	"405"	"0"	"405"	"0"
"291"	"Total No. of votes recorded at Polling stations"	""	"3219"	"49177"	"35887"	"8630"	"1994"	"812"	"1708"	"1037"	"4617"	"1492"	"3143"	"111716"	"0"	"111716"	"0"
"292"	"No. of votes recorded on Postal"	""	"0"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"8"	"15"	"0"
"293"	"Total votes polled"	""	"3219"	"49181"	"35889"	"8631"	"1994"	"812"	"1708"	"1037"	"4617"	"1492"	"3143"	"111723"	"8"	"111731"	"0"
"294"	"Place : M.P.High School,Dumra, Sitamarhi."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"Date : 24th November, 2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"Returning Officer,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"24 - Bathnaha (SC) AC"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
