"Polling.Booth.Number"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"Total.of.valid.votes"	"No.of..rejected.votes"	"Total"	"No..of.Tenders.Votes"
"280"	"210"	3	0	37	238	3	14	1	6	1	0	1	0	3	"307"	""	"307"	""
"281"	"211"	14	3	99	341	23	5	3	10	1	7	3	4	18	"531"	""	"531"	""
"282"	"212"	12	5	151	273	12	6	5	9	9	11	12	11	26	"542"	""	"542"	""
"283"	"213"	8	3	84	232	6	9	9	11	0	3	8	1	1	"375"	""	"375"	""
"284"	"214"	16	2	67	418	6	1	9	5	0	7	14	3	13	"561"	""	"561"	""
"285"	"215"	6	5	327	201	14	3	6	4	3	6	19	3	14	"611"	""	"611"	""
"286"	"216"	17	4	205	376	7	4	15	18	2	3	12	1	9	"673"	""	"673"	""
"287"	"217"	12	5	170	216	10	8	3	14	2	3	95	5	12	"555"	""	"555"	""
"288"	"Polling Booth Number"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of valid votes"	"No of  rejected votes"	"Total"	"No. of Tenders Votes"
"289"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""	""	""	""
"290"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"291"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"292"	"218"	18	3	318	285	11	5	7	12	4	4	9	1	8	"685"	""	"685"	""
"293"	"219"	13	3	70	407	5	1	8	8	2	0	0	1	2	"520"	""	"520"	""
"294"	"220"	12	3	242	334	13	4	16	6	5	7	8	2	25	"677"	""	"677"	""
"295"	"221"	8	4	549	44	3	1	1	4	0	2	6	2	20	"644"	""	"644"	""
"296"	"222"	3	0	162	270	11	7	10	18	3	5	5	9	24	"527"	""	"527"	""
"297"	"223"	9	6	160	234	12	6	9	11	4	7	9	7	27	"501"	""	"501"	""
"298"	"224"	23	4	151	364	7	5	10	3	5	9	8	4	27	"620"	""	"620"	""
"299"	"225"	88	8	333	124	11	0	6	6	0	3	21	2	3	"605"	""	"605"	""
"300"	"226"	25	8	258	240	8	7	7	5	0	13	65	6	12	"654"	""	"654"	""
"301"	"227"	135	3	71	431	9	1	10	9	2	4	20	11	13	"719"	""	"719"	""
"302"	"228"	13	3	41	296	2	4	11	5	1	1	1	5	3	"386"	""	"386"	""
"303"	"229"	25	4	159	428	12	1	7	5	5	16	12	10	32	"716"	""	"716"	""
"304"	"230"	19	4	150	260	14	5	8	12	2	5	15	6	25	"525"	""	"525"	""
"305"	"231"	11	2	196	375	6	5	2	2	3	6	28	7	16	"659"	""	"659"	""
"306"	"Polling Booth Number"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of valid votes"	"No of  rejected votes"	"Total"	"No. of Tenders Votes"
"307"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""	""	""	""
"308"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"309"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"310"	"232"	11	3	44	332	7	1	7	7	1	1	2	4	12	"432"	""	"432"	""
"311"	"233"	21	3	117	207	8	3	4	7	0	2	3	3	6	"384"	""	"384"	""
"312"	"234"	11	6	166	34	4	0	2	4	2	3	3	3	2	"240"	""	"240"	""
"313"	"235"	27	2	43	479	7	5	3	9	2	4	2	5	19	"607"	""	"607"	""
"314"	"236"	9	0	42	425	5	4	7	9	3	9	1	8	25	"547"	""	"547"	""
"315"	"237"	16	5	212	193	10	5	10	15	8	6	6	2	10	"498"	""	"498"	""
"316"	"238"	13	2	128	328	7	3	15	9	4	8	10	8	11	"546"	""	"546"	""
"317"	"239"	10	3	127	398	10	1	8	12	6	7	7	9	18	"616"	""	"616"	""
"318"	"240"	4	1	71	226	8	4	7	10	3	4	51	6	15	"410"	""	"410"	""
"319"	"241"	5	1	75	243	15	1	3	4	0	0	5	2	4	"358"	""	"358"	""
"320"	"242"	15	3	153	436	12	4	11	11	2	4	15	2	10	"678"	""	"678"	""
"321"	"243"	13	4	286	203	5	8	8	8	2	4	5	4	7	"557"	""	"557"	""
"322"	"244"	21	8	194	179	14	4	7	8	3	3	2	4	10	"457"	""	"457"	""
"323"	"245"	1	2	100	151	6	3	2	4	0	3	3	0	13	"288"	""	"288"	""
"324"	"Polling Booth Number"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of valid votes"	"No of  rejected votes"	"Total"	"No. of Tenders Votes"
"325"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""	""	""	""
"326"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"327"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"328"	"246"	12	16	150	385	17	7	14	17	4	1	2	5	4	"634"	""	"634"	""
"329"	"247"	8	5	295	179	9	9	12	10	6	6	14	15	33	"601"	""	"601"	""
"330"	"248"	3	1	160	228	21	1	2	1	1	0	4	5	3	"430"	""	"430"	""
"331"	"249"	13	2	42	282	13	4	7	6	4	1	5	2	6	"387"	""	"387"	""
"332"	"Total  No.  of  Votes recorded of polling stations"	2950	1219	47760	60658	2469	1073	2471	2482	746	1522	2694	3164	5084	"134292"	"0"	"134292"	"0"
"333"	"No.        of        Votes Recorded  on  Postal Ballot Papers"	13	0	362	292	3	0	1	0	0	0	5	4	13	"693"	"1"	"694"	""
"334"	"Total        Votes Polled"	2963	1219	48122	60950	2472	1073	2472	2482	746	1522	2699	3168	5097	"134985"	"1"	"134986"	"0"
"335"	"Place :- Hajipur                                                                                                                                                                                           Returning Officer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"336"	"Date :- 24.11.2010                                                                                                                                                                                             125- Vaishali."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
