"Polling.Station.No."	"Ajeet.Sharma"	"Arun.Bajoriya"	"Ashwani.Kumar.Choubey"	"Dr...N...K..Yadav"	"Shekhar.Mehtar"	"Tarkeshwer.Pd..Mishra"	"Mukesh.Mukta.Das"	"Rajeev.Mishra"	"Rajesh.Mishra"	"Syed.Asad.Iqbal"	"Anand.Kumar.Jain"	"Jajweer.Quasmi"	"Jata.Shankar.Thakur"	"Dayaram.Mandal"	"Bijai.Kumar.Mandal"	"Total.....No..of......actual.Votes"	"Total.....No..of...rejected.Votes"	"Total"	"No.........of.Tendered.Votes"
"278"	"235"	113	1	365	44	1	0	0	0	0	1	1	0	2	1	3	532	0	532	NA
"279"	"236"	68	1	232	36	0	0	1	3	0	0	0	0	1	1	2	345	0	345	NA
"280"	"237"	69	1	203	29	3	0	0	2	0	0	0	1	1	1	3	313	0	313	NA
"281"	"238"	97	0	180	51	0	1	1	0	0	0	1	0	1	0	2	334	0	334	NA
"282"	"239"	82	0	150	34	0	0	0	2	0	0	0	0	3	2	4	277	0	277	NA
"283"	"240"	86	3	218	15	2	1	0	1	0	0	2	0	2	3	4	337	0	337	NA
"284"	"240-A"	68	1	169	21	1	0	0	0	0	0	0	1	4	0	3	268	0	268	NA
"285"	"241"	98	3	208	65	2	1	2	0	2	0	2	4	1	1	6	395	0	395	NA
"286"	"242"	148	2	87	58	11	0	0	0	0	0	0	2	2	1	5	316	0	316	NA
"287"	"243"	192	2	68	36	5	0	2	0	0	0	0	0	0	1	4	310	0	310	NA
"288"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"289"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"290"	"244"	270	1	139	58	10	0	3	1	1	2	0	0	8	1	6	500	0	500	NA
"291"	"245"	97	1	308	48	1	1	0	1	0	0	0	2	0	2	4	465	0	465	NA
"292"	"246"	55	1	183	52	0	0	0	0	1	0	1	3	3	1	0	300	0	300	NA
"293"	"247"	134	1	12	11	3	1	0	1	0	1	1	1	1	1	4	172	0	172	NA
"294"	"248"	229	2	6	56	24	1	0	2	0	0	1	2	0	5	4	332	0	332	NA
"295"	"249"	117	7	55	30	1	0	0	1	1	1	0	2	1	3	3	222	0	222	NA
"296"	"250"	128	3	13	17	0	0	0	0	0	2	0	3	0	0	6	172	0	172	NA
"297"	"251"	139	3	5	6	2	1	2	1	0	0	0	3	0	1	6	169	0	169	NA
"298"	"252"	118	3	2	19	0	0	0	0	0	0	1	2	2	1	3	151	0	151	NA
"299"	"253"	248	0	62	49	6	2	0	1	2	1	2	12	4	2	8	399	0	399	NA
"300"	"254"	28	5	385	65	3	1	4	3	1	5	0	1	4	3	5	513	0	513	NA
"301"	"255"	116	4	278	31	1	1	1	0	1	1	0	4	3	3	3	447	0	447	NA
"302"	"256"	211	2	457	108	7	1	1	0	1	0	1	14	5	5	6	819	0	819	NA
"303"	"257"	290	2	16	25	7	0	5	2	0	3	3	17	1	5	21	397	0	397	NA
"304"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"305"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"306"	"258"	67	3	138	158	5	0	0	1	0	0	3	17	8	1	7	408	0	408	NA
"307"	"259"	229	9	302	165	23	0	0	1	1	0	4	19	12	11	21	797	0	797	NA
"308"	"260"	101	2	306	19	1	1	1	2	10	0	1	2	3	0	7	456	0	456	NA
"309"	"261"	58	8	248	74	0	1	7	1	0	1	2	12	1	3	9	425	0	425	NA
"310"	"262"	54	1	229	56	4	0	1	0	1	0	1	2	2	1	5	357	0	357	NA
"311"	"263"	136	1	315	64	1	1	0	0	3	0	0	3	2	5	8	539	0	539	NA
"312"	"264"	116	3	253	69	11	0	1	0	0	0	3	3	3	3	7	472	0	472	NA
"313"	"265"	60	0	27	14	17	0	0	0	0	0	0	1	1	2	1	123	0	123	NA
"314"	"266"	290	7	225	52	4	0	0	0	0	0	1	3	3	3	5	593	0	593	NA
"315"	"267"	77	1	179	17	5	1	1	0	0	0	0	2	3	0	6	292	0	292	NA
"316"	"268"	90	2	187	21	11	1	1	0	0	0	1	0	2	1	4	321	0	321	NA
"317"	"269"	69	3	361	80	3	2	2	3	0	1	2	10	3	5	10	554	0	554	NA
"318"	"270"	150	4	215	106	9	3	2	0	1	0	0	10	2	2	3	507	0	507	NA
"319"	"271"	101	5	106	66	4	0	0	4	0	0	0	2	4	3	3	298	0	298	NA
"320"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"321"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"322"	"272"	126	2	401	36	4	2	1	1	2	0	0	4	9	1	1	590	0	590	NA
"323"	"273"	129	2	304	38	1	1	0	1	1	0	1	4	2	1	4	489	0	489	NA
"324"	"274"	62	3	191	26	0	2	1	0	0	1	0	1	1	2	5	295	0	295	NA
"325"	"275"	104	1	205	54	13	12	2	3	0	0	1	1	1	5	2	404	0	404	NA
"326"	"276"	118	0	281	80	0	1	0	5	0	0	0	1	1	0	0	487	0	487	NA
"327"	"277"	103	2	220	100	4	4	0	2	0	2	0	7	5	4	4	457	0	457	NA
"328"	"278"	69	0	323	75	2	4	0	1	0	1	1	7	2	2	4	491	0	491	NA
"329"	"279"	155	3	297	172	7	24	1	0	1	0	0	6	3	4	10	683	0	683	NA
"330"	"280"	96	5	368	125	10	3	2	0	1	0	3	5	6	6	6	636	0	636	NA
"331"	"Total"	37811	741	48702	19255	2520	244	399	472	283	242	299	2003	791	732	1463	115957	0	115957	NA
"332"	"Postal Ballot"	293	6	462	224	15	1	8	5	3	2	4	4	0	0	3	1030	16	1046	NA
"333"	"G.
Total"	38104	747	49164	19479	2535	245	407	477	286	244	303	2007	791	732	1466	116987	16	117003	NA
"334"	"Date"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"335"	"Place"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"336"	"Returning Officer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"337"	"156- Bhagalpur Assembley Constituency"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
