"X1.i.z..i..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"[fu; e 56¼7½ nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v fUr e  i fj . kkei ="	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"¼vf/kl wfpr  er nku dsUnzksa l s fHkUu er nku dsUnzksa i j  er nku dk i fj .kke vfHkfyf[ kr  dj us ds fy ,  mi ; ksx esa yk; k t k, ½ 162& dVksfj ; k ¼v0 t 0 t k0½fuokZpu {ks= esa fo/kku l Hkk {ks= ds fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Hkkx 1"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"l Hkk [ k.M dk uke ¼l al nh;  fuokZpu {ks= l s fuokZpu dh l Hkk esa ½ -------------------------------           l Hkk fuokZpu {ks= [ k.M esa fuokZpdksa dh dqy  l a[ ; k --------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk  er ksa
dh  l a[ ; k"
eqewZ"	"ckcqj ke
ckl dh"	"eaxy kuan
fd Ld q"	"j kst esj h
fd Ld q"	"l qd y ky
csl j k"	"l ksusy ky
gsEcze"	"eaxy  gsEcze"	"l qj sUnz  y ky
gsej e"	""	""	""	""
"205"	"180"	"3"	"9"	"4"	"17"	"33"	"107"	"6"	"27"	"206"	"0"	"206"	"0"
"206"	"181"	"11"	"34"	"9"	"12"	"14"	"337"	"7"	"47"	"471"	"0"	"471"	"0"
"207"	"182"	"7"	"18"	"5"	"3"	"9"	"159"	"6"	"19"	"226"	"0"	"226"	"0"
"208"	"183"	"2"	"71"	"8"	"12"	"59"	"141"	"14"	"61"	"368"	"0"	"368"	"0"
"209"	"184"	"6"	"56"	"5"	"4"	"70"	"193"	"11"	"52"	"397"	"0"	"397"	"0"
"210"	"185"	"17"	"14"	"2"	"10"	"168"	"27"	"6"	"24"	"268"	"0"	"268"	"0"
"211"	"186"	"20"	"17"	"5"	"12"	"142"	"41"	"7"	"40"	"284"	"0"	"284"	"0"
"212"	"187"	"12"	"172"	"12"	"15"	"76"	"89"	"14"	"87"	"477"	"0"	"477"	"0"
"213"	"188"	"16"	"16"	"4"	"11"	"115"	"54"	"3"	"22"	"241"	"0"	"241"	"0"
"214"	"189"	"5"	"7"	"3"	"3"	"30"	"75"	"11"	"31"	"165"	"0"	"165"	"0"
"215"	"190"	"11"	"95"	"22"	"13"	"113"	"147"	"12"	"49"	"462"	"0"	"462"	"0"
"216"	"191"	"10"	"34"	"4"	"9"	"102"	"160"	"5"	"44"	"368"	"0"	"368"	"0"
"217"	"192"	"25"	"198"	"22"	"40"	"33"	"103"	"39"	"89"	"549"	"0"	"549"	"0"
"218"	"193"	"12"	"67"	"42"	"12"	"31"	"94"	"10"	"91"	"359"	"0"	"359"	"0"
"219"	"194"	"7"	"38"	"5"	"12"	"20"	"129"	"7"	"50"	"268"	"0"	"268"	"0"
"220"	"195"	"13"	"98"	"10"	"14"	"70"	"90"	"24"	"70"	"389"	"0"	"389"	"0"
"221"	"196"	"14"	"158"	"13"	"25"	"40"	"178"	"29"	"93"	"550"	"0"	"550"	"0"
"222"	"197"	"9"	"24"	"4"	"8"	"10"	"132"	"10"	"34"	"231"	"0"	"231"	"0"
"223"	"198"	"9"	"97"	"13"	"7"	"56"	"190"	"12"	"69"	"453"	"0"	"453"	"0"
"224"	"199"	"44"	"50"	"12"	"16"	"152"	"198"	"12"	"59"	"543"	"0"	"543"	"0"
"225"	"200"	"26"	"61"	"26"	"11"	"53"	"139"	"16"	"55"	"387"	"0"	"387"	"0"
"226"	"201"	"23"	"28"	"6"	"15"	"179"	"151"	"17"	"60"	"479"	"0"	"479"	"0"
"227"	"202"	"21"	"32"	"8"	"13"	"166"	"112"	"6"	"30"	"388"	"0"	"388"	"0"
"228"	"203"	"37"	"73"	"11"	"34"	"83"	"254"	"19"	"180"	"691"	"0"	"691"	"0"
"229"	"204"	"25"	"45"	"10"	"11"	"53"	"383"	"7"	"71"	"605"	"0"	"605"	"0"
"230"	"er nku dsUnzksa i j
vfHkfyf[ kr  er sksa dh dqy  l a[ ; k"	"3270"	"6216"	"1989"	"4516"	"23565"	"32328"	"2471"	"10823"	"85178"	"0"	"85178"	"0"
"231"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk  er ksa
dh  l a[ ; k"
"232"	""	"i q\"i y kr k
eqewZ"	"ckcqj ke
ckl dh"	"eaxy kuan
fd Ld q"	"j kst esj h
fd Ld q"	"l qd y ky
csl j k"	"l ksusy ky
gsEcze"	"eaxy  gsEcze"	"l qj sUnz  y ky
gsej e"	""	""	""	""
"233"	"Mkd  er i =ksa i j
vfHkfyf[ kr  er ksa dh l a[ ; k"	"0"	"0"	"0"	"1"	"4"	"4"	"0"	"0"	"9"	"0"	"9"	"0"
"234"	"Mky s  x,  d qy
er"	"3270"	"6216"	"1989"	"4517"	"23569"	"32332"	"2471"	"10823"	"85187"	"0"	"85187"	"0"
"235"	"LFkku   % dsUnzh;  fo| ky ; ] ck¡dk"	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"r kj h[ k % 24-11-2010"	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"fj VfuZax vkWfQl j"	""	""	""	""	""	""	""	""	""	""	""	""
