"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"250"	"206"	"13"	"4"	"3"	"236"	"113"	"17"	"16"	"12"	"11"	"425"	""	""
"251"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"R"	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"BOOTH NO"	"UMESH KUMAR RAM"	"RAJ KUMAR CHAUDHA"	"LAKHINDRA RAM"	"LAL BABU RAM"	"SURESH CHANCHAL"	"ABHAY KUMAR"	"REKHA DEVI"	"GANAUR RAM"	"BILAT PASWAN"	"Total Valid Votes"	"Total No of REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"255"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"256"	"207"	"11"	"3"	"5"	"257"	"136"	"9"	"4"	"5"	"9"	"439"	""	""
"257"	"208"	"28"	"5"	"6"	"257"	"188"	"13"	"10"	"14"	"39"	"560"	""	""
"258"	"209"	"7"	"2"	"0"	"60"	"277"	"11"	"8"	"4"	"24"	"393"	""	""
"259"	"210"	"24"	"3"	"5"	"164"	"309"	"13"	"13"	"9"	"27"	"567"	""	""
"260"	"211"	"6"	"1"	"1"	"44"	"305"	"7"	"1"	"1"	"5"	"371"	""	""
"261"	"212"	"24"	"3"	"5"	"302"	"292"	"30"	"9"	"24"	"24"	"713"	""	""
"262"	"Total:"	"6235"	"858"	"1431"	"42375"	"55427"	"2816"	"1131"	"2111"	"3065"	"115449"	""	""
"263"	"Postal Ballot"	"7"	"1"	"0"	"66"	"59"	"0"	"0"	"1"	"0"	"134"	""	""
"264"	"Grand Total:"	"6242"	"859"	"1431"	"42441"	"55486"	"2816"	"1131"	"2112"	"3065"	"115583"	"48"	""
"265"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Place:"	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Date: 24/11/2010                                                                                                                                                                                                                                         Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"Assembly Constituency :092---Sakra (SC)"	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar"	""	""	""	""	""	""	""	""	""	""	""	""
