"Sl.No.of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.of.valid.votes"	"No.of.Rejected.votes"	"Total"	"No.of.Tendered.votes"
"217"	""	"Jamshaid Ashraf"	"Pradip Ray"	"Ram Ratan Singh"	"Lalan Ku."	"Anil Kumar"	"Indu Devi"	"Manzoor Alam"	"Ramesh Poddar"	"Sri Ram Roy"	""	""	""	""
"218"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"219"	"183"	"32"	"6"	"110"	"274"	"3"	"2"	"4"	"3"	"5"	"439"	"0"	"439"	"0"
"220"	"184"	"62"	"63"	"40"	"276"	"1"	"1"	"0"	"1"	"4"	"448"	"0"	"448"	"0"
"221"	"185"	"246"	"47"	"123"	"169"	"4"	"4"	"21"	"4"	"22"	"640"	"0"	"640"	"0"
"222"	"186"	"89"	"66"	"46"	"120"	"7"	"2"	"4"	"7"	"13"	"354"	"0"	"354"	"0"
"223"	"187"	"90"	"138"	"151"	"130"	"2"	"4"	"4"	"6"	"8"	"533"	"0"	"533"	"0"
"224"	"Sl.No of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"225"	""	"Jamshaid Ashraf"	"Pradip Ray"	"Ram Ratan Singh"	"Lalan Ku."	"Anil Kumar"	"Indu Devi"	"Manzoor Alam"	"Ramesh Poddar"	"Sri Ram Roy"	""	""	""	""
"226"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"227"	"188"	"71"	"90"	"72"	"148"	"5"	"5"	"2"	"7"	"10"	"410"	"0"	"410"	"0"
"228"	"189"	"106"	"35"	"27"	"231"	"7"	"8"	"4"	"6"	"49"	"473"	"0"	"473"	"0"
"229"	"190"	"66"	"139"	"183"	"116"	"2"	"1"	"9"	"22"	"91"	"629"	"0"	"629"	"0"
"230"	"191"	"35"	"41"	"128"	"58"	"6"	"10"	"8"	"9"	"432"	"727"	"0"	"727"	"0"
"231"	"192"	"15"	"143"	"47"	"117"	"6"	"1"	"0"	"5"	"10"	"344"	"0"	"344"	"0"
"232"	"193"	"18"	"172"	"272"	"64"	"7"	"2"	"6"	"15"	"18"	"574"	"0"	"574"	"0"
"233"	"194"	"16"	"50"	"13"	"198"	"9"	"9"	"1"	"14"	"14"	"324"	"0"	"324"	"0"
"234"	"195"	"16"	"194"	"35"	"282"	"9"	"6"	"2"	"5"	"16"	"565"	"0"	"565"	"0"
"235"	"196"	"127"	"114"	"122"	"237"	"4"	"8"	"0"	"8"	"20"	"640"	"0"	"640"	"0"
"236"	"197"	"25"	"62"	"168"	"116"	"8"	"9"	"9"	"14"	"10"	"421"	"0"	"421"	"0"
"237"	"198"	"88"	"54"	"290"	"205"	"8"	"4"	"1"	"4"	"4"	"658"	"0"	"658"	"0"
"238"	"199"	"26"	"170"	"221"	"132"	"4"	"4"	"3"	"15"	"5"	"580"	"0"	"580"	"0"
"239"	"200"	"39"	"628"	"128"	"38"	"12"	"9"	"3"	"33"	"20"	"910"	"0"	"910"	"0"
"240"	"203"	"20"	"157"	"36"	"474"	"11"	"10"	"7"	"17"	"18"	"750"	"0"	"750"	"0"
"241"	"204"	"162"	"56"	"93"	"442"	"10"	"4"	"35"	"10"	"23"	"835"	"0"	"835"	"0"
"242"	"205"	"113"	"72"	"418"	"34"	"11"	"11"	"14"	"21"	"33"	"727"	"0"	"727"	"0"
"243"	"206"	"174"	"56"	"40"	"270"	"20"	"10"	"14"	"22"	"37"	"643"	"0"	"643"	"0"
"244"	"207"	"55"	"62"	"45"	"206"	"2"	"14"	"1"	"1"	"1"	"387"	"0"	"387"	"0"
"245"	"208"	"61"	"48"	"54"	"263"	"2"	"15"	"0"	"1"	"1"	"445"	"0"	"445"	"0"
"246"	"Sl.No of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"247"	""	"Jamshaid Ashraf"	"Pradip Ray"	"Ram Ratan Singh"	"Lalan Ku."	"Anil Kumar"	"Indu Devi"	"Manzoor Alam"	"Ramesh Poddar"	"Sri Ram Roy"	""	""	""	""
"248"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"249"	"Total Votes Polled"	"21457"	"18839"	"32339"	"38392"	"1752"	"1729"	"1823"	"1857"	"3040"	"121228"	"0"	"121228"	"0"
"250"	"No. of votes recorded on postal ballot papers"	"47"	"64"	"89"	"74"	"0"	"1"	"1"	"0"	"1"	"277"	"4"	"281"	"0"
"251"	"Total Votes polled"	"21504"	"18903"	"32428"	"38466"	"1752"	"1730"	"1824"	"1857"	"3041"	"121505"	"4"	"121509"	"0"
"252"	"Place :           Bazar Samitee Begusarai"	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"Date :            24-11-2010"	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""
