"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…79 - Gaura Bauram Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of electors in Assembly constituency / Segment … 195425"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"144"	"125"	"116"	"183"	"9"	"9"	"117"	""	"113"	"15"	"3"	"4"	"6"	"8"	"7"	"8"	"5"	""	"44"	"531"	"-"	"531"	""	""
"145"	"126"	"117"	"104"	"3"	"2"	"52"	""	"98"	"9"	"5"	"2"	"2"	"1"	"6"	"10"	"4"	""	"23"	"321"	"-"	"321"	""	""
"146"	"127"	"118"	"73"	"3"	"3"	"131"	""	"117"	"7"	"5"	"2"	"4"	"3"	"2"	"9"	"0"	""	"25"	"384"	"-"	"384"	""	""
"147"	"128"	"119"	"18"	"3"	"1"	"19"	""	"321"	"2"	"4"	"1"	"5"	"0"	"3"	"2"	"2"	""	"5"	"386"	"-"	"386"	""	""
"148"	"129"	"119A"	"46"	"4"	"2"	"10"	""	"198"	"1"	"1"	"1"	"1"	"0"	"1"	"4"	"0"	""	"5"	"274"	"-"	"274"	""	""
"149"	"130"	"120"	"66"	"5"	"0"	"101"	""	"129"	"5"	"1"	"0"	"2"	"2"	"3"	"7"	"3"	""	"15"	"339"	"-"	"339"	""	""
"150"	"131"	"120A"	"47"	"5"	"10"	"145"	""	"164"	"5"	"6"	"2"	"4"	"4"	"5"	"4"	"6"	""	"11"	"418"	"-"	"418"	""	""
"151"	"132"	"121"	"141"	"3"	"4"	"24"	""	"60"	"1"	"11"	"34"	"1"	"2"	"5"	"50"	"3"	""	"9"	"348"	"-"	"348"	""	""
"152"	"133"	"122"	"189"	"3"	"5"	"74"	""	"76"	"3"	"5"	"0"	"0"	"3"	"7"	"2"	"19"	""	"45"	"431"	"-"	"431"	""	""
"153"	"134"	"123"	"176"	"11"	"3"	"67"	""	"215"	"2"	"10"	"0"	"2"	"7"	"2"	"8"	"7"	""	"18"	"528"	"-"	"528"	""	""
"154"	"135"	"124"	"60"	"4"	"1"	"65"	""	"171"	"10"	"2"	"2"	"6"	"8"	"6"	"7"	"9"	""	"11"	"362"	"-"	"362"	""	""
"155"	"136"	"124A"	"74"	"2"	"0"	"67"	""	"123"	"3"	"1"	"4"	"3"	"3"	"6"	"3"	"3"	""	"13"	"305"	"-"	"305"	""	""
"156"	"137"	"125"	"130"	"9"	"3"	"47"	""	"216"	"9"	"3"	"2"	"6"	"3"	"4"	"9"	"10"	""	"25"	"476"	"-"	"476"	""	""
"157"	"138"	"126"	"211"	"4"	"1"	"3"	""	"45"	"1"	"0"	"0"	"0"	"2"	"1"	"3"	"10"	""	"19"	"300"	"-"	"300"	""	""
"158"	"139"	"127"	"253"	"11"	"3"	"20"	""	"46"	"4"	"2"	"2"	"2"	"1"	"0"	"2"	"5"	""	"20"	"371"	"-"	"371"	""	""
"159"	"140"	"128"	"151"	"4"	"2"	"12"	""	"49"	"1"	"2"	"0"	"1"	"5"	"2"	"4"	"1"	""	"7"	"241"	"-"	"241"	""	""
"160"	"141"	"129"	"88"	"5"	"5"	"138"	""	"215"	"13"	"8"	"6"	"5"	"10"	"9"	"13"	"6"	""	"40"	"561"	"-"	"561"	""	""
"161"	"142"	"130"	"145"	"3"	"4"	"38"	""	"33"	"2"	"5"	"70"	"11"	"7"	"3"	"14"	"7"	""	"16"	"358"	"-"	"358"	""	""
"162"	"143"	"131"	"254"	"3"	"0"	"3"	""	"12"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"1"	""	"6"	"283"	"-"	"283"	""	""
"163"	"144"	"132"	"254"	"7"	"3"	"10"	""	"40"	"1"	"1"	"1"	"5"	"3"	"1"	"5"	"8"	""	"34"	"373"	"-"	"373"	""	""
"164"	"145"	"133"	"207"	"3"	"4"	"25"	""	"86"	"1"	"0"	"1"	"0"	"1"	"4"	"4"	"3"	""	"6"	"345"	"-"	"345"	""	""
"165"	"146"	"134"	"15"	"2"	"3"	"126"	""	"130"	"4"	"12"	"36"	"3"	"8"	"4"	"27"	"2"	""	"8"	"380"	"-"	"380"	""	""
"166"	"147"	"135"	"63"	"3"	"2"	"23"	""	"250"	"8"	"5"	"47"	"6"	"0"	"1"	"7"	"2"	""	"4"	"421"	"-"	"421"	""	""
"167"	"148"	"136"	"61"	"8"	"5"	"176"	""	"108"	"4"	"8"	"45"	"8"	"10"	"15"	"40"	"6"	""	"20"	"514"	"-"	"514"	""	""
"168"	"149"	"137"	"101"	"5"	"1"	"95"	""	"131"	"4"	"11"	"21"	"1"	"7"	"6"	"21"	"10"	""	"28"	"442"	"-"	"442"	""	""
"169"	"150"	"138"	"34"	"1"	"0"	"51"	""	"66"	"4"	"0"	"0"	"1"	"3"	"3"	"16"	"5"	""	"20"	"204"	"-"	"204"	""	""
"170"	"151"	"139"	"82"	"3"	"1"	"65"	""	"42"	"2"	"5"	"1"	"0"	"0"	"0"	"8"	"0"	""	"5"	"214"	"-"	"214"	""	""
"171"	"152"	"140"	"106"	"1"	"2"	"93"	""	"161"	"0"	"5"	"3"	"4"	"6"	"16"	"9"	"5"	""	"9"	"420"	"-"	"420"	""	""
"172"	"153"	"141"	"204"	"12"	"1"	"40"	""	"66"	"2"	"9"	"24"	"6"	"7"	"4"	"10"	"5"	""	"26"	"416"	"-"	"416"	""	""
"173"	"154"	"141A"	"27"	"8"	"5"	"46"	""	"164"	"4"	"5"	"42"	"2"	"6"	"3"	"19"	"2"	""	"11"	"344"	"-"	"344"	""	""
"174"	"155"	"142"	"191"	"14"	"13"	"53"	""	"92"	"6"	"4"	"78"	"2"	"4"	"7"	"67"	"3"	""	"15"	"549"	"-"	"549"	""	""
"175"	"156"	"143"	"241"	"4"	"1"	"5"	""	"111"	"4"	"6"	"0"	"1"	"1"	"1"	"30"	"3"	""	"7"	"415"	"-"	"415"	""	""
"176"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"177"	""	""	"Dr. Izhar Ahmad"	"Ganga Sagar Paswan"	"Tamanna"	"Nageshwar Pajiyar"	""	"Dr.
Mahavir Prasad"	"Abdhesh Prasad Singh"	"Krishan Mohan Singh"	"Ganesh Mukhiya"	"Sushil Kumar
Choudhary"	"Abbas Kujara"	"Khursid Alam"	"Rabindra Pandey"	"Shami m"	""	"Saroj Kumar
Choudhary"	""	""	""	""	""
"178"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	""
"179"	"157"	"144"	"238"	"2"	"5"	"9"	""	"68"	"1"	"2"	"1"	"0"	"1"	"4"	"8"	"7"	""	"65"	"411"	"-"	"411"	""	""
"180"	"158"	"145"	"347"	"7"	"3"	"73"	""	"80"	"2"	"0"	"1"	"2"	"1"	"6"	"36"	"7"	""	"34"	"599"	"-"	"599"	""	""
"181"	"159"	"146"	"238"	"6"	"4"	"111"	""	"130"	"1"	"0"	"4"	"1"	"2"	"4"	"22"	"4"	""	"21"	"548"	"-"	"548"	""	""
"182"	"160"	"147"	"158"	"5"	"4"	"51"	""	"171"	"9"	"4"	"5"	"3"	"3"	"14"	"31"	"4"	""	"32"	"494"	"-"	"494"	""	""
"183"	"161"	"148"	"169"	"12"	"10"	"11"	""	"178"	"5"	"7"	"6"	"6"	"10"	"11"	"203"	"10"	""	"26"	"664"	"-"	"664"	""	""
"184"	"162"	"149"	"290"	"18"	"5"	"27"	""	"96"	"8"	"7"	"3"	"2"	"7"	"9"	"157"	"10"	""	"25"	"664"	"-"	"664"	""	""
"185"	"163"	"150"	"46"	"2"	"0"	"2"	""	"197"	"7"	"5"	"3"	"9"	"12"	"5"	"130"	"3"	""	"21"	"442"	"-"	"442"	""	""
"186"	"164"	"151"	"176"	"0"	"4"	"6"	""	"56"	"4"	"1"	"5"	"1"	"4"	"7"	"212"	"8"	""	"42"	"526"	"-"	"526"	""	""
"187"	"165"	"152"	"133"	"5"	"2"	"5"	""	"126"	"3"	"0"	"1"	"6"	"5"	"10"	"40"	"4"	""	"21"	"361"	"-"	"361"	""	""
"188"	"166"	"153"	"182"	"5"	"1"	"3"	""	"61"	"4"	"0"	"2"	"1"	"1"	"3"	"13"	"6"	""	"25"	"307"	"-"	"307"	""	""
"189"	"167"	"154"	"157"	"8"	"1"	"8"	""	"34"	"2"	"3"	"4"	"1"	"4"	"3"	"48"	"5"	""	"31"	"309"	"-"	"309"	""	""
"190"	"168"	"155"	"231"	"10"	"5"	"1"	""	"137"	"7"	"4"	"3"	"5"	"4"	"4"	"13"	"8"	""	"24"	"456"	"-"	"456"	""	""
"191"	"169"	"156"	"176"	"6"	"13"	"15"	""	"278"	"9"	"3"	"3"	"3"	"6"	"20"	"112"	"16"	""	"48"	"708"	"-"	"708"	""	""
"192"	"170"	"157"	"233"	"10"	"3"	"25"	""	"27"	"3"	"3"	"3"	"4"	"0"	"21"	"284"	"17"	""	"37"	"670"	"-"	"670"	""	""
"193"	"171"	"158"	"160"	"1"	"6"	"7"	""	"52"	"2"	"2"	"5"	"2"	"5"	"13"	"198"	"7"	""	"14"	"474"	"-"	"474"	""	""
"194"	"172"	"159"	"343"	"7"	"1"	"16"	""	"26"	"2"	"1"	"0"	"1"	"1"	"11"	"69"	"2"	""	"11"	"491"	"-"	"491"	""	""
"195"	"173"	"160"	"105"	"6"	"6"	"5"	""	"41"	"2"	"2"	"1"	"1"	"4"	"10"	"143"	"6"	""	"30"	"362"	"-"	"362"	""	""
"196"	"174"	"160A"	"149"	"7"	"12"	"4"	""	"21"	"2"	"1"	"2"	"4"	"8"	"6"	"100"	"9"	""	"60"	"385"	"-"	"385"	""	""
"197"	"175"	"161"	"32"	"2"	"1"	"4"	""	"191"	"2"	"0"	"1"	"3"	"3"	"4"	"68"	"4"	""	"23"	"338"	"-"	"338"	""	""
"198"	"176"	"162"	"7"	"0"	"2"	"10"	""	"479"	"9"	"4"	"2"	"1"	"6"	"1"	"24"	"1"	""	"4"	"550"	"-"	"550"	""	""
"199"	"177"	"163"	"115"	"3"	"5"	"27"	""	"289"	"15"	"5"	"6"	"17"	"26"	"21"	"39"	"16"	""	"77"	"661"	"-"	"661"	""	""
"200"	"178"	"164"	"233"	"10"	"6"	"11"	""	"319"	"3"	"0"	"3"	"3"	"2"	"2"	"9"	"2"	""	"11"	"614"	"-"	"614"	""	""
"201"	"179"	"165"	"72"	"1"	"4"	"29"	""	"123"	"8"	"6"	"2"	"1"	"4"	"1"	"76"	"3"	""	"11"	"341"	"-"	"341"	""	""
"202"	"180"	"165A"	"69"	"1"	"2"	"5"	""	"116"	"5"	"1"	"2"	"2"	"6"	"7"	"79"	"7"	""	"15"	"317"	"-"	"317"	""	""
"203"	"181"	"166"	"59"	"2"	"3"	"7"	""	"256"	"7"	"1"	"2"	"6"	"16"	"11"	"181"	"8"	""	"47"	"606"	"-"	"606"	""	""
"204"	"182"	"167"	"75"	"1"	"0"	"1"	""	"349"	"3"	"0"	"1"	"0"	"0"	"1"	"22"	"0"	""	"0"	"453"	"-"	"453"	""	""
"205"	"183"	"168"	"119"	"2"	"6"	"9"	""	"199"	"4"	"2"	"7"	"7"	"6"	"9"	"174"	"15"	""	"42"	"601"	"-"	"601"	""	""
"206"	"184"	"169"	"31"	"2"	"2"	"9"	""	"256"	"10"	"3"	"4"	"29"	"7"	"16"	"93"	"13"	""	"37"	"512"	"-"	"512"	""	""
"207"	"185"	"170"	"169"	"3"	"6"	"34"	""	"266"	"9"	"3"	"11"	"5"	"6"	"11"	"161"	"4"	""	"37"	"725"	"-"	"725"	""	""
"208"	"186"	"171"	"102"	"2"	"1"	"12"	""	"58"	"5"	"3"	"4"	"5"	"8"	"10"	"129"	"15"	""	"29"	"383"	"-"	"383"	""	""
"209"	"187"	"172"	"52"	"6"	"19"	"22"	""	"67"	"3"	"6"	"2"	"3"	"6"	"8"	"59"	"8"	""	"11"	"272"	"-"	"272"	""	""
"210"	"188"	"173"	"102"	"4"	"2"	"18"	""	"199"	"6"	"14"	"3"	"10"	"8"	"9"	"53"	"6"	""	"25"	"459"	"-"	"459"	""	""
"211"	"189"	"174"	"151"	"1"	"1"	"75"	""	"29"	"0"	"0"	"1"	"1"	"2"	"5"	"13"	"1"	""	"4"	"284"	"-"	"284"	""	""
"212"	"190"	"175"	"289"	"7"	"2"	"41"	""	"116"	"1"	"25"	"3"	"7"	"5"	"6"	"12"	"6"	""	"26"	"546"	"-"	"546"	""	""
"213"	"191"	"176"	"423"	"5"	"2"	"14"	""	"27"	"2"	"0"	"1"	"1"	"3"	"8"	"16"	"2"	""	"7"	"511"	"-"	"511"	""	""
"214"	"192"	"177"	"240"	"8"	"1"	"25"	""	"135"	"2"	"0"	"1"	"4"	"4"	"0"	"1"	"2"	""	"7"	"430"	"-"	"430"	""	""
"215"	"193"	"178"	"286"	"6"	"1"	"11"	""	"105"	"2"	"0"	"1"	"0"	"4"	"2"	"3"	"2"	""	"11"	"434"	"-"	"434"	""	""
"216"	"Tot al  No.  of
vot es recording at  polling
St at ions"	""	"33256"	"1246"	"967"	"14393"	""	"22653"	"959"	"1120"	"902"	"854"	"1108"	"1386"	"5306"	"2057"	""	"4265"	"90472"	"-"	"90472"	""	""
"217"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"218"	""	""	"Dr. Izhar Ahmad"	"Ganga Sagar Paswan"	"Tamanna"	"Nageshwar Pajiyar"	""	"Dr.
Mahavir Prasad"	"Abdhesh Prasad Singh"	"Krishan Mohan Singh"	"Ganesh Mukhiya"	"Sushil Kumar
Choudhary"	"Abbas Kujara"	"Khursid Alam"	"Rabindra Pandey"	"Shami m"	""	"Saroj Kumar
Choudhary"	""	""	""	""	""
"219"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	""
"220"	"No.  of vot es recorded on post al  ballot
papers (To be elect ion  from  an assembly
const it uency)"	""	"2"	"0"	"0"	"3"	""	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"6"	"0"	""	""
"221"	"Total Votes polled"	""	"33258"	"1246"	"967"	"14396"	""	"22656"	"959"	"1120"	"902"	"854"	"1108"	"1386"	"5306"	"2057"	""	"4265"	"90472"	"6"	"90472"	""	""
"222"	"Place :    DARBHANGA"	""	""	""	""	""	"Assistant  Returning Officer"	""	""	""	""	""	""	""	""	""	"Returning Officer"	""	""	""	""	""	""
"223"	"Date  :    24/ 11/ 2010"	""	""	""	""	""	"79  - Gaura Bauram"	""	""	""	""	""	""	""	""	""	"79  - Gaura Bauram"	""	""	""	""	""	""
