"Candidates.Name......."	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"206"	"182"	"155"	"20"	"6"	"60"	"154"	"2"	"6"	"8"	"5"	"24"	"440"	"0"	"440"	"0"
"207"	"183"	"33"	"14"	"4"	"33"	"245"	"4"	"3"	"10"	"0"	"6"	"352"	"0"	"352"	"0"
"208"	"184"	"16"	"16"	"3"	"153"	"346"	"13"	"14"	"16"	"12"	"35"	"624"	"0"	"624"	"0"
"209"	"185"	"56"	"12"	"8"	"307"	"321"	"17"	"14"	"32"	"12"	"31"	"810"	"0"	"810"	"0"
"210"	"186"	"64"	"9"	"4"	"318"	"114"	"13"	"130"	"11"	"7"	"28"	"698"	"0"	"698"	"0"
"211"	"187"	"35"	"2"	"8"	"274"	"88"	"14"	"13"	"6"	"3"	"20"	"463"	"0"	"463"	"0"
"212"	"188"	"31"	"18"	"3"	"119"	"466"	"16"	"13"	"29"	"8"	"34"	"737"	"0"	"737"	"0"
"213"	"189"	"19"	"32"	"4"	"118"	"297"	"35"	"15"	"22"	"6"	"37"	"585"	"0"	"585"	"0"
"214"	"190"	"214"	"45"	"3"	"54"	"85"	"13"	"16"	"7"	"12"	"23"	"472"	"0"	"472"	"0"
"215"	"191"	"43"	"8"	"4"	"203"	"104"	"239"	"21"	"16"	"9"	"38"	"685"	"0"	"685"	"0"
"216"	"192"	"2"	"1"	"1"	"12"	"3"	"213"	"12"	"4"	"0"	"2"	"250"	"0"	"250"	"0"
"217"	"193"	"138"	"5"	"4"	"270"	"10"	"27"	"39"	"6"	"4"	"11"	"514"	"0"	"514"	"0"
"218"	"194"	"82"	"5"	"4"	"68"	"10"	"7"	"14"	"12"	"3"	"8"	"213"	"0"	"213"	"0"
"219"	"195"	"160"	"7"	"5"	"109"	"38"	"144"	"42"	"6"	"4"	"35"	"550"	"0"	"550"	"0"
"220"	"196"	"51"	"9"	"7"	"156"	"36"	"7"	"31"	"8"	"6"	"14"	"325"	"0"	"325"	"0"
"221"	"197"	"115"	"59"	"5"	"204"	"48"	"41"	"99"	"54"	"2"	"18"	"645"	"0"	"645"	"0"
"222"	"198"	"71"	"2"	"5"	"51"	"59"	"6"	"31"	"99"	"11"	"18"	"353"	"0"	"353"	"0"
"223"	"199"	"61"	"64"	"8"	"82"	"54"	"13"	"32"	"206"	"8"	"26"	"554"	"0"	"554"	"0"
"224"	"Candidates Name ----->"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	""	"Upendra Sahni"	"Tahir Anish Khan"	"Mohmmad Jamaludeen"	"Sanjay Kumar Gupta"	"Sunita Singh"	"Khusnandan Ray"	"Ram Swarth Ray"	"Akhilesh Kumar Singh"	"Mohammad Hafij Raien"	"Sanjay Singh"	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered votes"
"226"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Total:"	"8301"	"13996"	"1412"	"18558"	"38138"	"2161"	"4463"	"6661"	"1528"	"3064"	"98282"	"0"	"98282"	"0"
"228"	"Postal Ballot"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"107"	"109"	"0"
"229"	"Grand Total:"	"8301"	"13996"	"1412"	"18559"	"38139"	"2161"	"4463"	"6661"	"1528"	"3064"	"98284"	"107"	"98391"	"0"
"230"	"Place:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"Date: 24/11/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar                                                                                                                                                                                                                                                                                Assembly Constitutency : 30-Belsand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
