"Total.No..of.Electors.in.Assembly.Constituency........200204"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"06- Nautan Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"AMAR YADAV"	"UMESH KUMAR VERMA"	"GALLU CHOUDHA RY"	"NARAYAN PRASAD"	"MANORMA PRASAD"	"RAMESHW AR PRASAD"	"RAGHUNA THPRASA D"	"RAMCHHA TRIYA SINGH PATEL"	"SHRI KANTI DEVI"	"KAMRAN SHEIKH"	"KISHORI LAL PRASAD"	"PALAT MIYA"	"MOHAMM AD EKRAM"	"VANDHU NATH DUBEY"	"RATAN KUMAR SARKAR"	"SHAMBHU PRASAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"146"	"Total"	"348"	"33"	"239"	"535"	"1677"	"224"	"29"	"22"	"42"	"110"	"74"	"31"	"202"	"36"	"46"	"79"	"3727"	"0"	"3727"	"0"	""
"147"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"06- Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Total No. of Electors in Assembly Constituency -      200204"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"06- Nautan Legislative Assembly Constituency (Round - 7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Polling Station No."	"AMAR YADAV"	"UMESH KUMAR VERMA"	"GALLU CHOUDHA RY"	"NARAYAN PRASAD"	"MANORMA PRASAD"	"RAMESHW AR PRASAD"	"RAGHUNA THPRASA D"	"RAMCHHA TRIYA SINGH PATEL"	"SHRI KANTI DEVI"	"KAMRAN SHEIKH"	"KISHORI LAL PRASAD"	"PALAT MIYA"	"MOHAMM AD EKRAM"	"VANDHU NATH DUBEY"	"RATAN KUMAR SARKAR"	"SHAMBHU PRASAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"156"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""
"157"	"84"	"22"	"5"	"131"	"178"	"165"	"44"	"5"	"6"	"7"	"13"	"13"	"3"	"11"	"14"	"10"	"6"	"633"	"0"	"633"	"0"	""
"158"	"85"	"12"	"1"	"53"	"130"	"198"	"18"	"3"	"2"	"4"	"24"	"17"	"10"	"75"	"8"	"16"	"17"	"588"	"0"	"588"	"0"	""
"159"	"86"	"25"	"7"	"20"	"180"	"153"	"63"	"3"	"3"	"5"	"6"	"4"	"6"	"33"	"8"	"8"	"9"	"533"	"0"	"533"	"0"	""
"160"	"87"	"3"	"0"	"26"	"142"	"99"	"30"	"1"	"6"	"3"	"1"	"7"	"0"	"0"	"4"	"2"	"5"	"329"	"0"	"329"	"0"	""
"161"	"88"	"10"	"0"	"50"	"53"	"286"	"93"	"8"	"1"	"6"	"18"	"12"	"4"	"28"	"35"	"6"	"17"	"627"	"0"	"627"	"0"	""
"162"	"89"	"11"	"1"	"9"	"93"	"135"	"26"	"1"	"10"	"2"	"22"	"6"	"3"	"16"	"3"	"6"	"19"	"363"	"0"	"363"	"0"	""
"163"	"90"	"27"	"0"	"34"	"54"	"132"	"26"	"6"	"0"	"2"	"9"	"9"	"1"	"3"	"5"	"8"	"7"	"323"	"0"	"323"	"0"	""
"164"	"91"	"14"	"5"	"54"	"61"	"232"	"72"	"1"	"4"	"8"	"11"	"15"	"4"	"13"	"6"	"11"	"9"	"520"	"0"	"520"	"0"	""
"165"	"92"	"11"	"3"	"80"	"22"	"245"	"81"	"2"	"3"	"3"	"9"	"6"	"1"	"22"	"2"	"3"	"18"	"511"	"0"	"511"	"0"	""
"166"	"93"	"5"	"5"	"38"	"22"	"25"	"18"	"7"	"5"	"4"	"63"	"4"	"1"	"19"	"5"	"4"	"5"	"230"	"0"	"230"	"0"	""
"167"	"94"	"6"	"2"	"6"	"55"	"177"	"73"	"3"	"5"	"4"	"54"	"13"	"2"	"27"	"11"	"7"	"7"	"452"	"0"	"452"	"0"	""
"168"	"95"	"106"	"3"	"42"	"58"	"27"	"518"	"19"	"1"	"3"	"4"	"16"	"4"	"5"	"6"	"6"	"6"	"824"	"0"	"824"	"0"	""
"169"	"96"	"51"	"5"	"36"	"83"	"173"	"131"	"6"	"6"	"2"	"27"	"6"	"4"	"14"	"4"	"9"	"20"	"577"	"0"	"577"	"0"	""
"170"	"97"	"30"	"3"	"21"	"87"	"119"	"152"	"13"	"3"	"8"	"9"	"9"	"2"	"14"	"13"	"9"	"18"	"510"	"0"	"510"	"0"	""
"171"	"Total"	"333"	"40"	"600"	"1218"	"2166"	"1345"	"78"	"55"	"61"	"270"	"137"	"45"	"280"	"124"	"105"	"163"	"7020"	"0"	"7020"	"0"	""
"172"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"06- Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"Total No. of Electors in Assembly Constituency -      200204"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"06- Nautan Legislative Assembly Constituency (Round - 8)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Polling Station No."	"AMAR YADAV"	"UMESH KUMAR VERMA"	"GALLU CHOUDHA RY"	"NARAYAN PRASAD"	"MANORMA PRASAD"	"RAMESHW AR PRASAD"	"RAGHUNA THPRASA D"	"RAMCHHA TRIYA SINGH PATEL"	"SHRI KANTI DEVI"	"KAMRAN SHEIKH"	"KISHORI LAL PRASAD"	"PALAT MIYA"	"MOHAMM AD EKRAM"	"VANDHU NATH DUBEY"	"RATAN KUMAR SARKAR"	"SHAMBHU PRASAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"181"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""
"182"	"98"	"26"	"7"	"145"	"107"	"260"	"14"	"7"	"6"	"4"	"22"	"9"	"7"	"7"	"8"	"4"	"30"	"663"	"0"	"663"	"0"	""
"183"	"99"	"113"	"2"	"124"	"36"	"70"	"9"	"3"	"2"	"2"	"8"	"3"	"1"	"2"	"11"	"6"	"159"	"551"	"0"	"551"	"0"	""
"184"	"100"	"7"	"5"	"203"	"70"	"31"	"7"	"0"	"1"	"2"	"54"	"1"	"2"	"23"	"4"	"4"	"11"	"425"	"0"	"425"	"0"	""
"185"	"101"	"19"	"5"	"99"	"55"	"48"	"23"	"4"	"1"	"4"	"21"	"1"	"3"	"6"	"11"	"6"	"7"	"313"	"0"	"313"	"0"	""
"186"	"102"	"7"	"3"	"30"	"104"	"94"	"40"	"3"	"3"	"2"	"48"	"2"	"2"	"20"	"3"	"4"	"1"	"366"	"0"	"366"	"0"	""
"187"	"103"	"53"	"5"	"53"	"134"	"320"	"22"	"7"	"2"	"12"	"51"	"14"	"7"	"18"	"10"	"9"	"25"	"742"	"0"	"742"	"0"	""
"188"	"104"	"17"	"0"	"190"	"162"	"330"	"57"	"2"	"3"	"5"	"3"	"7"	"7"	"10"	"2"	"3"	"7"	"805"	"0"	"805"	"0"	""
"189"	"105"	"51"	"3"	"92"	"28"	"421"	"11"	"7"	"4"	"6"	"16"	"23"	"12"	"8"	"10"	"5"	"29"	"726"	"0"	"726"	"0"	""
"190"	"106"	"19"	"2"	"11"	"395"	"194"	"9"	"3"	"4"	"8"	"13"	"11"	"15"	"42"	"13"	"9"	"18"	"766"	"0"	"766"	"0"	""
"191"	"107"	"163"	"6"	"39"	"238"	"188"	"15"	"1"	"1"	"5"	"18"	"3"	"13"	"15"	"12"	"6"	"13"	"736"	"0"	"736"	"0"	""
"192"	"108"	"18"	"4"	"17"	"144"	"159"	"13"	"1"	"5"	"9"	"63"	"6"	"5"	"144"	"11"	"13"	"11"	"623"	"0"	"623"	"0"	""
"193"	"109"	"5"	"0"	"7"	"200"	"299"	"11"	"5"	"3"	"7"	"22"	"17"	"9"	"60"	"7"	"11"	"15"	"678"	"0"	"678"	"0"	""
"194"	"110"	"5"	"2"	"197"	"30"	"228"	"11"	"0"	"8"	"1"	"0"	"6"	"11"	"12"	"4"	"5"	"18"	"538"	"0"	"538"	"0"	""
"195"	"111"	"39"	"4"	"56"	"91"	"218"	"38"	"6"	"5"	"5"	"3"	"5"	"6"	"8"	"7"	"7"	"11"	"509"	"0"	"509"	"0"	""
"196"	"Total"	"542"	"48"	"1263"	"1794"	"2860"	"280"	"49"	"48"	"72"	"342"	"108"	"100"	"375"	"113"	"92"	"355"	"8441"	"0"	"8441"	"0"	""
"197"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"06- Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Total No. of Electors in Assembly Constituency -      200204"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"06- Nautan Legislative Assembly Constituency (Round - 9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"Polling Station No."	"AMAR YADAV"	"UMESH KUMAR VERMA"	"GALLU CHOUDHA RY"	"NARAYAN PRASAD"	"MANORMA PRASAD"	"RAMESHW AR PRASAD"	"RAGHUNA THPRASA D"	"RAMCHHA TRIYA SINGH PATEL"	"SHRI KANTI DEVI"	"KAMRAN SHEIKH"	"KISHORI LAL PRASAD"	"PALAT MIYA"	"MOHAMM AD EKRAM"	"VANDHU NATH DUBEY"	"RATAN KUMAR SARKAR"	"SHAMBHU PRASAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"206"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""
"207"	"112"	"5"	"4"	"18"	"64"	"503"	"25"	"6"	"4"	"3"	"6"	"16"	"11"	"8"	"10"	"4"	"12"	"699"	"0"	"699"	"0"	""
"208"	"113"	"27"	"11"	"116"	"8"	"194"	"45"	"3"	"1"	"2"	"26"	"11"	"4"	"35"	"2"	"3"	"2"	"490"	"0"	"490"	"0"	""
"209"	"114"	"8"	"8"	"76"	"17"	"230"	"26"	"4"	"8"	"2"	"9"	"15"	"4"	"15"	"31"	"4"	"25"	"482"	"0"	"482"	"0"	""
"210"	"115"	"106"	"7"	"6"	"57"	"213"	"15"	"0"	"1"	"3"	"15"	"5"	"6"	"72"	"3"	"2"	"6"	"517"	"0"	"517"	"0"	""
"211"	"116"	"7"	"4"	"89"	"18"	"407"	"26"	"4"	"1"	"2"	"7"	"8"	"2"	"0"	"5"	"0"	"5"	"585"	"0"	"585"	"0"	""
"212"	"117"	"11"	"27"	"19"	"64"	"389"	"24"	"2"	"2"	"5"	"26"	"11"	"6"	"13"	"6"	"4"	"16"	"625"	"0"	"625"	"0"	""
"213"	"118"	"16"	"3"	"9"	"84"	"206"	"8"	"3"	"2"	"2"	"9"	"11"	"9"	"6"	"6"	"5"	"13"	"392"	"0"	"392"	"0"	""
"214"	"119"	"7"	"4"	"246"	"101"	"155"	"13"	"4"	"3"	"2"	"7"	"9"	"2"	"3"	"6"	"2"	"6"	"570"	"0"	"570"	"0"	""
"215"	"120"	"6"	"2"	"18"	"25"	"451"	"91"	"8"	"4"	"0"	"9"	"15"	"12"	"6"	"1"	"5"	"17"	"670"	"0"	"670"	"0"	""
"216"	"121"	"15"	"4"	"39"	"107"	"380"	"32"	"8"	"2"	"6"	"19"	"21"	"8"	"6"	"20"	"9"	"22"	"698"	"0"	"698"	"0"	""
"217"	"122"	"6"	"2"	"23"	"53"	"397"	"96"	"7"	"3"	"3"	"55"	"12"	"3"	"5"	"7"	"3"	"13"	"688"	"0"	"688"	"0"	""
"218"	"123"	"28"	"10"	"17"	"154"	"447"	"65"	"2"	"3"	"5"	"8"	"12"	"4"	"7"	"7"	"8"	"16"	"793"	"0"	"793"	"0"	""
"219"	"124"	"8"	"6"	"12"	"53"	"516"	"24"	"0"	"0"	"3"	"5"	"17"	"12"	"4"	"4"	"2"	"11"	"677"	"0"	"677"	"0"	""
"220"	"125"	"102"	"7"	"30"	"191"	"325"	"18"	"6"	"8"	"6"	"81"	"18"	"5"	"17"	"14"	"11"	"28"	"867"	"0"	"867"	"0"	""
"221"	"Total"	"352"	"99"	"718"	"996"	"4813"	"508"	"57"	"42"	"44"	"282"	"181"	"88"	"197"	"122"	"62"	"192"	"8753"	"0"	"8753"	"0"	""
"222"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"06- Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"Total No. of Electors in Assembly Constituency -      200204"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"06- Nautan Legislative Assembly Constituency (Round - 10)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"Polling Station No."	"AMAR YADAV"	"UMESH KUMAR VERMA"	"GALLU CHOUDHA RY"	"NARAYAN PRASAD"	"MANORMA PRASAD"	"RAMESHW AR PRASAD"	"RAGHUNA THPRASA D"	"RAMCHHA TRIYA SINGH PATEL"	"SHRI KANTI DEVI"	"KAMRAN SHEIKH"	"KISHORI LAL PRASAD"	"PALAT MIYA"	"MOHAMM AD EKRAM"	"VANDHU NATH DUBEY"	"RATAN KUMAR SARKAR"	"SHAMBHU PRASAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"231"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""
"232"	"126"	"54"	"3"	"14"	"301"	"429"	"11"	"4"	"3"	"5"	"8"	"19"	"7"	"18"	"12"	"13"	"20"	"921"	"0"	"921"	"0"	""
"233"	"127"	"391"	"5"	"5"	"144"	"122"	"13"	"0"	"7"	"5"	"41"	"5"	"3"	"24"	"5"	"7"	"19"	"796"	"0"	"796"	"0"	""
"234"	"128"	"225"	"8"	"6"	"39"	"376"	"11"	"6"	"25"	"1"	"3"	"7"	"5"	"19"	"2"	"4"	"20"	"757"	"0"	"757"	"0"	""
"235"	"129"	"62"	"6"	"20"	"18"	"332"	"16"	"1"	"3"	"1"	"18"	"18"	"0"	"3"	"1"	"2"	"7"	"508"	"0"	"508"	"0"	""
"236"	"130"	"114"	"2"	"10"	"127"	"369"	"27"	"4"	"6"	"5"	"3"	"9"	"1"	"1"	"2"	"4"	"11"	"695"	"0"	"695"	"0"	""
"237"	"131"	"19"	"2"	"12"	"85"	"393"	"19"	"4"	"1"	"6"	"16"	"26"	"16"	"10"	"57"	"14"	"21"	"701"	"0"	"701"	"0"	""
"238"	"132"	"6"	"18"	"32"	"30"	"531"	"23"	"4"	"1"	"4"	"11"	"29"	"23"	"5"	"10"	"3"	"30"	"760"	"0"	"760"	"0"	""
"239"	"133"	"4"	"4"	"6"	"314"	"122"	"18"	"3"	"3"	"5"	"6"	"10"	"7"	"19"	"13"	"9"	"22"	"565"	"0"	"565"	"0"	""
"240"	"134"	"26"	"1"	"7"	"221"	"52"	"27"	"2"	"3"	"5"	"12"	"11"	"5"	"22"	"6"	"3"	"5"	"408"	"0"	"408"	"0"	""
"241"	"135"	"6"	"9"	"6"	"186"	"243"	"5"	"4"	"4"	"2"	"5"	"4"	"6"	"9"	"4"	"3"	"6"	"502"	"0"	"502"	"0"	""
"242"	"136"	"13"	"8"	"26"	"197"	"173"	"6"	"0"	"0"	"2"	"9"	"9"	"5"	"6"	"2"	"5"	"2"	"463"	"0"	"463"	"0"	""
"243"	"137"	"22"	"2"	"24"	"85"	"315"	"13"	"2"	"5"	"4"	"86"	"20"	"5"	"25"	"9"	"6"	"24"	"647"	"0"	"647"	"0"	""
"244"	"138"	"10"	"2"	"35"	"54"	"187"	"15"	"1"	"2"	"9"	"36"	"8"	"6"	"82"	"4"	"2"	"6"	"459"	"0"	"459"	"0"	""
"245"	"139"	"15"	"3"	"131"	"164"	"188"	"39"	"5"	"6"	"4"	"7"	"14"	"15"	"19"	"16"	"12"	"11"	"649"	"0"	"649"	"0"	""
"246"	"Total"	"967"	"73"	"334"	"1965"	"3832"	"243"	"40"	"69"	"58"	"261"	"189"	"104"	"262"	"143"	"87"	"204"	"8831"	"0"	"8831"	"0"	""
"247"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"06- Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"Total No. of Electors in Assembly Constituency -      200204"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"06- Nautan Legislative Assembly Constituency (Round - 11)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Polling Station No."	"AMAR YADAV"	"UMESH KUMAR VERMA"	"GALLU CHOUDHA RY"	"NARAYAN PRASAD"	"MANORMA PRASAD"	"RAMESHW AR PRASAD"	"RAGHUNA THPRASA D"	"RAMCHHA TRIYA SINGH PATEL"	"SHRI KANTI DEVI"	"KAMRAN SHEIKH"	"KISHORI LAL PRASAD"	"PALAT MIYA"	"MOHAMM AD EKRAM"	"VANDHU NATH DUBEY"	"RATAN KUMAR SARKAR"	"SHAMBHU PRASAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"256"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""
"257"	"140"	"132"	"4"	"28"	"47"	"182"	"38"	"5"	"1"	"2"	"21"	"9"	"4"	"3"	"5"	"2"	"7"	"490"	"0"	"490"	"0"	""
"258"	"141"	"20"	"4"	"66"	"160"	"207"	"61"	"2"	"1"	"1"	"4"	"14"	"12"	"25"	"5"	"4"	"11"	"597"	"0"	"597"	"0"	""
"259"	"142"	"97"	"4"	"45"	"122"	"309"	"13"	"6"	"4"	"3"	"7"	"15"	"11"	"11"	"7"	"6"	"14"	"674"	"0"	"674"	"0"	""
"260"	"143"	"93"	"3"	"73"	"304"	"216"	"34"	"5"	"1"	"3"	"8"	"3"	"7"	"32"	"10"	"8"	"13"	"813"	"0"	"813"	"0"	""
"261"	"144"	"50"	"13"	"56"	"75"	"195"	"21"	"6"	"3"	"3"	"8"	"11"	"15"	"5"	"10"	"4"	"10"	"485"	"0"	"485"	"0"	""
"262"	"144 A"	"120"	"19"	"9"	"68"	"129"	"30"	"2"	"3"	"2"	"11"	"4"	"8"	"6"	"2"	"4"	"5"	"422"	"0"	"422"	"0"	""
"263"	"145"	"43"	"23"	"19"	"70"	"353"	"18"	"2"	"4"	"1"	"3"	"8"	"8"	"9"	"13"	"2"	"8"	"584"	"0"	"584"	"0"	""
"264"	"146"	"15"	"185"	"114"	"97"	"212"	"33"	"9"	"3"	"3"	"9"	"18"	"8"	"21"	"21"	"23"	"12"	"783"	"0"	"783"	"0"	""
"265"	"147"	"67"	"127"	"11"	"69"	"303"	"7"	"3"	"2"	"2"	"6"	"13"	"7"	"14"	"4"	"10"	"12"	"657"	"0"	"657"	"0"	""
"266"	"148"	"69"	"435"	"27"	"13"	"153"	"6"	"1"	"0"	"4"	"1"	"2"	"4"	"1"	"1"	"13"	"1"	"731"	"0"	"731"	"0"	""
"267"	"149"	"72"	"12"	"26"	"99"	"275"	"32"	"10"	"6"	"7"	"45"	"11"	"10"	"54"	"17"	"9"	"30"	"715"	"0"	"715"	"0"	""
"268"	"150"	"61"	"6"	"41"	"89"	"482"	"24"	"4"	"0"	"1"	"9"	"9"	"6"	"5"	"8"	"7"	"32"	"784"	"0"	"784"	"0"	""
"269"	"151"	"78"	"9"	"89"	"115"	"119"	"19"	"7"	"5"	"8"	"34"	"16"	"8"	"92"	"15"	"7"	"26"	"647"	"0"	"647"	"0"	""
"270"	"152"	"45"	"16"	"34"	"168"	"423"	"24"	"7"	"5"	"16"	"23"	"22"	"5"	"9"	"5"	"10"	"38"	"850"	"0"	"850"	"0"	""
"271"	"Total"	"962"	"860"	"638"	"1496"	"3558"	"360"	"69"	"38"	"56"	"189"	"155"	"113"	"287"	"123"	"109"	"219"	"9232"	"0"	"9232"	"0"	""
"272"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"06- Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"Total No. of Electors in Assembly Constituency -      200204"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"06- Nautan Legislative Assembly Constituency (Round - 12)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Polling Station No."	"AMAR YADAV"	"UMESH KUMAR VERMA"	"GALLU CHOUDHA RY"	"NARAYAN PRASAD"	"MANORMA PRASAD"	"RAMESHW AR PRASAD"	"RAGHUNA THPRASA D"	"RAMCHHA TRIYA SINGH PATEL"	"SHRI KANTI DEVI"	"KAMRAN SHEIKH"	"KISHORI LAL PRASAD"	"PALAT MIYA"	"MOHAMM AD EKRAM"	"VANDHU NATH DUBEY"	"RATAN KUMAR SARKAR"	"SHAMBHU PRASAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"281"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""
"282"	"153"	"9"	"2"	"8"	"124"	"196"	"15"	"26"	"1"	"3"	"3"	"5"	"0"	"13"	"2"	"1"	"12"	"420"	"0"	"420"	"0"	""
"283"	"154"	"128"	"11"	"24"	"138"	"433"	"13"	"19"	"2"	"8"	"8"	"16"	"4"	"9"	"2"	"7"	"20"	"842"	"0"	"842"	"0"	""
"284"	"155"	"17"	"3"	"252"	"136"	"94"	"37"	"8"	"4"	"4"	"7"	"10"	"7"	"8"	"32"	"4"	"10"	"633"	"0"	"633"	"0"	""
"285"	"156"	"25"	"6"	"155"	"162"	"195"	"10"	"15"	"3"	"5"	"10"	"150"	"19"	"16"	"13"	"8"	"16"	"808"	"0"	"808"	"0"	""
"286"	"157"	"29"	"4"	"82"	"114"	"158"	"11"	"37"	"2"	"7"	"25"	"24"	"57"	"101"	"13"	"16"	"16"	"696"	"0"	"696"	"0"	""
"287"	"158"	"111"	"7"	"19"	"131"	"222"	"17"	"102"	"7"	"5"	"60"	"22"	"11"	"24"	"9"	"4"	"23"	"774"	"0"	"774"	"0"	""
"288"	"159"	"7"	"3"	"8"	"91"	"250"	"11"	"3"	"0"	"6"	"9"	"13"	"16"	"9"	"1"	"6"	"7"	"440"	"0"	"440"	"0"	""
"289"	"159 A"	"10"	"5"	"6"	"86"	"278"	"6"	"2"	"0"	"2"	"7"	"7"	"32"	"11"	"3"	"4"	"20"	"479"	"0"	"479"	"0"	""
"290"	"160"	"9"	"7"	"1"	"120"	"199"	"17"	"1"	"9"	"7"	"6"	"9"	"14"	"8"	"6"	"7"	"9"	"429"	"0"	"429"	"0"	""
"291"	"161"	"5"	"2"	"9"	"176"	"146"	"13"	"3"	"1"	"7"	"3"	"14"	"5"	"14"	"6"	"1"	"5"	"410"	"0"	"410"	"0"	""
"292"	"162"	"31"	"4"	"6"	"252"	"225"	"17"	"1"	"12"	"6"	"4"	"5"	"4"	"11"	"6"	"4"	"7"	"595"	"0"	"595"	"0"	""
"293"	"163"	"60"	"3"	"3"	"149"	"180"	"31"	"3"	"9"	"4"	"5"	"9"	"18"	"5"	"3"	"6"	"9"	"497"	"0"	"497"	"0"	""
