"Candidates.Name.BOOTH.NO"	"No..of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"175"	"152"	"102"	"15"	"618"	"11"	"13"	"11"	"5"	"8"	"21"	"6"	"6"	"5"	"14"	"8"	"45"	"888"
"176"	"153"	"25"	"1"	"148"	"37"	"2"	"4"	"2"	"4"	"43"	"2"	"2"	"0"	"0"	"2"	"5"	"277"
"177"	"154"	"87"	"5"	"422"	"14"	"3"	"3"	"2"	"8"	"17"	"1"	"1"	"1"	"6"	"3"	"10"	"583"
"178"	"155"	"6"	"4"	"370"	"4"	"2"	"1"	"3"	"65"	"0"	"1"	"0"	"4"	"4"	"3"	"4"	"471"
"179"	"156"	"57"	"6"	"151"	"6"	"4"	"4"	"4"	"5"	"4"	"2"	"1"	"0"	"6"	"9"	"9"	"268"
"180"	"157"	"59"	"4"	"182"	"110"	"3"	"5"	"2"	"6"	"25"	"1"	"2"	"1"	"2"	"3"	"9"	"414"
"181"	"158"	"422"	"10"	"4"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"80"	"523"
"182"	"159"	"482"	"11"	"160"	"6"	"3"	"0"	"2"	"5"	"5"	"4"	"10"	"10"	"9"	"20"	"89"	"816"
"183"	"160"	"457"	"10"	"45"	"8"	"1"	"3"	"8"	"2"	"2"	"5"	"3"	"5"	"14"	"17"	"190"	"770"
"184"	"161"	"204"	"5"	"218"	"6"	"12"	"3"	"1"	"2"	"2"	"2"	"0"	"3"	"1"	"2"	"10"	"471"
"185"	"162"	"516"	"9"	"123"	"16"	"4"	"1"	"1"	"0"	"1"	"4"	"0"	"2"	"3"	"6"	"28"	"714"
"186"	"163"	"624"	"20"	"166"	"10"	"1"	"3"	"1"	"2"	"0"	"1"	"1"	"2"	"4"	"3"	"42"	"880"
"187"	"164"	"487"	"7"	"148"	"10"	"4"	"0"	"2"	"2"	"3"	"2"	"0"	"1"	"1"	"18"	"23"	"708"
"188"	"165"	"410"	"21"	"315"	"16"	"6"	"3"	"5"	"10"	"5"	"1"	"2"	"0"	"6"	"13"	"12"	"825"
"189"	"166"	"327"	"16"	"35"	"4"	"0"	"1"	"3"	"3"	"2"	"2"	"1"	"1"	"6"	"11"	"113"	"525"
"190"	"167"	"561"	"23"	"174"	"7"	"2"	"3"	"1"	"0"	"3"	"2"	"1"	"4"	"4"	"4"	"64"	"853"
"191"	"168"	"559"	"23"	"131"	"10"	"4"	"2"	"2"	"2"	"3"	"4"	"0"	"2"	"0"	"10"	"45"	"797"
"192"	"169"	"440"	"5"	"66"	"6"	"2"	"1"	"3"	"0"	"2"	"0"	"1"	"0"	"3"	"3"	"61"	"593"
"193"	"170"	"398"	"13"	"145"	"3"	"1"	"3"	"3"	"6"	"1"	"1"	"3"	"6"	"7"	"8"	"59"	"657"
"194"	"171"	"35"	"1"	"26"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"113"	"181"
"195"	"172"	"89"	"4"	"137"	"22"	"4"	"9"	"1"	"7"	"7"	"1"	"1"	"0"	"4"	"11"	"250"	"547"
"196"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	""	"DR. ABDUL GAFOOR"	"BEER BIKRAM KUMAR SINGH"	"RAJ KUMAR SAH"	"BIRENDRA KUMAR JHA"	"TIRO SHARMA"	"REKHA DEVI"	"LALAN KUMAR SADA"	"GUNJESHWAR SAH"	"JAWAHAR JHA"	"TUNTUN PASWAN"	"NANHA KHAN"	"PARMESHWER MAHTO"	"MAHARUDRA JHA"	"RAGHUNATH PRASAD YADAV"	"SURENDRA YADAV"	"Total Valid Votes"
"198"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"16"
"199"	"173"	"116"	"14"	"167"	"12"	"2"	"6"	"2"	"5"	"3"	"1"	"2"	"2"	"3"	"9"	"249"	"593"
"200"	"174"	"48"	"4"	"10"	"5"	"1"	"1"	"0"	"1"	"1"	"0"	"2"	"2"	"0"	"18"	"351"	"444"
"201"	"175"	"79"	"7"	"13"	"3"	"0"	"0"	"0"	"0"	"4"	"1"	"0"	"0"	"1"	"5"	"271"	"384"
"202"	"176"	"323"	"6"	"4"	"7"	"0"	"0"	"1"	"4"	"2"	"0"	"0"	"1"	"2"	"1"	"7"	"358"
"203"	"177"	"553"	"12"	"14"	"6"	"0"	"0"	"2"	"3"	"1"	"1"	"2"	"1"	"1"	"1"	"34"	"631"
"204"	"178"	"174"	"1"	"55"	"0"	"1"	"0"	"2"	"6"	"1"	"2"	"1"	"1"	"4"	"2"	"41"	"291"
"205"	"179"	"361"	"7"	"56"	"4"	"0"	"2"	"1"	"9"	"0"	"2"	"6"	"2"	"10"	"7"	"38"	"505"
"206"	"180"	"131"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"2"	"1"	"1"	"4"	"102"	"248"
"207"	"181"	"97"	"11"	"33"	"7"	"1"	"2"	"3"	"50"	"2"	"5"	"0"	"3"	"3"	"10"	"469"	"696"
"208"	"182"	"286"	"8"	"22"	"3"	"0"	"1"	"1"	"4"	"1"	"1"	"1"	"2"	"1"	"9"	"271"	"611"
"209"	"183"	"265"	"8"	"0"	"1"	"2"	"0"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"17"	"297"
"210"	"184"	"1"	"1"	"153"	"5"	"2"	"0"	"3"	"64"	"4"	"2"	"3"	"4"	"18"	"21"	"101"	"382"
"211"	"185"	"16"	"4"	"102"	"9"	"5"	"4"	"6"	"91"	"0"	"1"	"0"	"0"	"4"	"7"	"30"	"279"
"212"	"186"	"167"	"4"	"142"	"7"	"0"	"0"	"4"	"131"	"1"	"0"	"1"	"1"	"3"	"6"	"35"	"502"
"213"	"187"	"35"	"11"	"179"	"13"	"8"	"3"	"11"	"120"	"7"	"6"	"2"	"2"	"6"	"8"	"97"	"508"
"214"	"188"	"33"	"4"	"33"	"3"	"0"	"1"	"3"	"11"	"3"	"3"	"3"	"2"	"6"	"14"	"215"	"334"
"215"	"189"	"278"	"9"	"52"	"2"	"1"	"1"	"1"	"16"	"1"	"0"	"2"	"3"	"5"	"5"	"53"	"429"
"216"	"190"	"351"	"19"	"55"	"8"	"6"	"2"	"3"	"61"	"1"	"1"	"1"	"1"	"2"	"3"	"148"	"662"
"217"	"191"	"245"	"5"	"8"	"7"	"0"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"11"	"281"
"218"	"192"	"195"	"3"	"16"	"11"	"1"	"0"	"1"	"35"	"3"	"2"	"0"	"0"	"0"	"5"	"36"	"308"
"219"	"193"	"312"	"8"	"27"	"9"	"2"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"2"	"4"	"43"	"411"
"220"	"194"	"197"	"3"	"69"	"30"	"1"	"0"	"1"	"2"	"4"	"0"	"0"	"2"	"2"	"11"	"141"	"463"
"221"	"195"	"259"	"0"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"270"
"222"	"196"	"34"	"4"	"121"	"54"	"2"	"0"	"0"	"26"	"17"	"2"	"2"	"5"	"7"	"11"	"26"	"311"
"223"	"197"	"5"	"0"	"40"	"35"	"2"	"2"	"5"	"15"	"150"	"4"	"0"	"1"	"2"	"1"	"107"	"369"
"224"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	""	"DR. ABDUL GAFOOR"	"BEER BIKRAM KUMAR SINGH"	"RAJ KUMAR SAH"	"BIRENDRA KUMAR JHA"	"TIRO SHARMA"	"REKHA DEVI"	"LALAN KUMAR SADA"	"GUNJESHWAR SAH"	"JAWAHAR JHA"	"TUNTUN PASWAN"	"NANHA KHAN"	"PARMESHWER MAHTO"	"MAHARUDRA JHA"	"RAGHUNATH PRASAD YADAV"	"SURENDRA YADAV"	"Total Valid Votes"
"226"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"16"
"227"	"198"	"11"	"4"	"199"	"14"	"3"	"2"	"2"	"23"	"37"	"3"	"1"	"3"	"8"	"7"	"59"	"376"
"228"	"199"	"282"	"11"	"112"	"23"	"4"	"2"	"2"	"7"	"13"	"0"	"2"	"2"	"1"	"7"	"67"	"535"
"229"	"200"	"112"	"35"	"155"	"19"	"1"	"1"	"1"	"4"	"3"	"0"	"0"	"2"	"6"	"2"	"37"	"378"
"230"	"201"	"156"	"21"	"94"	"6"	"1"	"5"	"1"	"3"	"6"	"0"	"0"	"0"	"4"	"5"	"35"	"337"
"231"	"202"	"157"	"6"	"13"	"4"	"3"	"1"	"2"	"24"	"3"	"2"	"2"	"2"	"2"	"9"	"164"	"394"
"232"	"203"	"635"	"6"	"10"	"5"	"2"	"1"	"0"	"10"	"1"	"3"	"1"	"4"	"6"	"4"	"27"	"715"
"233"	"204"	"442"	"5"	"5"	"4"	"1"	"0"	"0"	"12"	"0"	"0"	"6"	"1"	"1"	"2"	"46"	"525"
"234"	"205"	"648"	"3"	"4"	"4"	"1"	"1"	"0"	"1"	"1"	"1"	"3"	"0"	"0"	"2"	"2"	"671"
"235"	"206"	"345"	"2"	"11"	"0"	"1"	"0"	"1"	"3"	"0"	"0"	"1"	"0"	"2"	"2"	"43"	"411"
"236"	"207"	"62"	"5"	"136"	"3"	"2"	"3"	"1"	"41"	"3"	"1"	"3"	"3"	"7"	"14"	"179"	"463"
"237"	"208"	"12"	"4"	"207"	"5"	"7"	"2"	"3"	"19"	"3"	"5"	"6"	"4"	"14"	"17"	"124"	"432"
"238"	"209"	"201"	"7"	"155"	"7"	"3"	"3"	"2"	"51"	"4"	"1"	"3"	"1"	"1"	"7"	"207"	"653"
"239"	"210"	"52"	"4"	"117"	"8"	"2"	"4"	"6"	"40"	"2"	"1"	"5"	"2"	"4"	"6"	"71"	"324"
"240"	"211"	"30"	"2"	"94"	"4"	"9"	"9"	"2"	"54"	"4"	"5"	"6"	"7"	"14"	"20"	"144"	"404"
"241"	"212"	"44"	"2"	"55"	"8"	"0"	"0"	"1"	"28"	"2"	"0"	"0"	"1"	"2"	"7"	"255"	"405"
"242"	"213"	"79"	"4"	"136"	"2"	"0"	"0"	"0"	"11"	"0"	"0"	"1"	"2"	"2"	"7"	"113"	"357"
"243"	"214"	"69"	"8"	"35"	"6"	"0"	"1"	"1"	"4"	"0"	"1"	"1"	"1"	"2"	"6"	"339"	"474"
"244"	"215"	"118"	"5"	"150"	"8"	"5"	"8"	"11"	"284"	"4"	"1"	"0"	"2"	"0"	"10"	"66"	"672"
"245"	"216"	"359"	"3"	"80"	"4"	"0"	"1"	"1"	"3"	"2"	"0"	"1"	"2"	"5"	"7"	"53"	"521"
"246"	"217"	"109"	"9"	"224"	"5"	"2"	"2"	"2"	"6"	"3"	"1"	"1"	"3"	"4"	"6"	"30"	"407"
"247"	"218"	"57"	"4"	"193"	"4"	"5"	"3"	"0"	"32"	"0"	"2"	"3"	"2"	"5"	"15"	"200"	"525"
"248"	"219"	"60"	"0"	"272"	"75"	"9"	"2"	"2"	"30"	"12"	"0"	"2"	"1"	"0"	"7"	"7"	"479"
"249"	"220"	"39"	"6"	"249"	"17"	"3"	"1"	"3"	"37"	"8"	"5"	"1"	"8"	"4"	"9"	"112"	"502"
"250"	"221"	"123"	"6"	"136"	"6"	"2"	"1"	"1"	"9"	"9"	"0"	"2"	"9"	"9"	"12"	"81"	"406"
"251"	"222"	"210"	"13"	"129"	"9"	"4"	"2"	"3"	"5"	"2"	"0"	"2"	"5"	"3"	"3"	"68"	"458"
"252"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	""	"DR. ABDUL GAFOOR"	"BEER BIKRAM KUMAR SINGH"	"RAJ KUMAR SAH"	"BIRENDRA KUMAR JHA"	"TIRO SHARMA"	"REKHA DEVI"	"LALAN KUMAR SADA"	"GUNJESHWAR SAH"	"JAWAHAR JHA"	"TUNTUN PASWAN"	"NANHA KHAN"	"PARMESHWER MAHTO"	"MAHARUDRA JHA"	"RAGHUNATH PRASAD YADAV"	"SURENDRA YADAV"	"Total Valid Votes"
"254"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"16"
"255"	"223"	"241"	"7"	"98"	"35"	"3"	"3"	"1"	"2"	"5"	"4"	"5"	"2"	"13"	"16"	"137"	"572"
"256"	"224"	"233"	"9"	"78"	"6"	"0"	"1"	"2"	"4"	"2"	"2"	"0"	"5"	"0"	"11"	"139"	"492"
"257"	"225"	"95"	"3"	"296"	"11"	"12"	"2"	"5"	"72"	"5"	"4"	"2"	"9"	"23"	"18"	"15"	"572"
"258"	"226"	"275"	"4"	"189"	"8"	"10"	"1"	"5"	"60"	"3"	"2"	"2"	"5"	"7"	"10"	"24"	"605"
"259"	"227"	"264"	"12"	"394"	"5"	"8"	"2"	"4"	"33"	"2"	"1"	"2"	"2"	"2"	"5"	"30"	"766"
"260"	"228"	"204"	"12"	"481"	"6"	"4"	"2"	"0"	"11"	"0"	"3"	"1"	"1"	"13"	"9"	"4"	"751"
"261"	"229"	"169"	"3"	"106"	"6"	"5"	"2"	"2"	"2"	"1"	"0"	"7"	"0"	"5"	"5"	"43"	"356"
"262"	"230"	"219"	"7"	"47"	"2"	"4"	"2"	"2"	"2"	"0"	"43"	"1"	"2"	"1"	"3"	"29"	"364"
"263"	"231"	"205"	"3"	"40"	"5"	"1"	"3"	"2"	"6"	"5"	"55"	"2"	"1"	"1"	"4"	"33"	"366"
"264"	"232"	"16"	"17"	"346"	"29"	"4"	"1"	"1"	"11"	"6"	"0"	"3"	"6"	"28"	"12"	"22"	"502"
"265"	"233"	"35"	"6"	"265"	"12"	"1"	"1"	"2"	"15"	"5"	"4"	"1"	"3"	"9"	"8"	"119"	"486"
"266"	"234"	"26"	"5"	"108"	"3"	"1"	"2"	"1"	"9"	"7"	"2"	"2"	"3"	"10"	"15"	"232"	"426"
"267"	"235"	"222"	"23"	"199"	"22"	"5"	"3"	"5"	"23"	"12"	"8"	"3"	"4"	"13"	"14"	"209"	"765"
"268"	"Postal Ballot"	"12"	"0"	"16"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"4"	"36"
"269"	"Total"	"39158"	"1637"	"37441"	"4548"	"1167"	"946"	"563"	"3667"	"1850"	"600"	"910"	"1036"	"1457"	"2006"	"20304"	"117290"
