"fuokZpuksa..dk..l.apky.u..fu..e...1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"ºd kuwuh  fu; e  vkSj  vkns' kΩ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"i z: i  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"øfu; e  56xº2ΩºxΩnsf[ k, ¿"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"112&egkj kt xat   fo/kku  l Hkk  fuokZpu  {ks=  esa  fcgkj  fo/kku  l Hkk  d s  fy ; s  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"pÿ  l a0&01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"er nku dsUnzks dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonr  er ksa dh l a[ ; k"
"116"	"50"	"17"	"5"	"131"	"139"	"4"	"1"	"1"	"5"	"3"	"3"	"7"	"4"	"6"	"2"	"12"	"5"	"6"	"12"	"8"	"59"	"430"	""	"430"	""
"117"	"51"	"29"	"19"	"254"	"47"	"7"	"2"	"1"	"7"	"2"	"3"	"13"	"5"	"5"	"7"	"32"	"35"	"12"	"7"	"6"	"199"	"692"	""	"692"	""
"118"	"52"	"13"	"14"	"92"	"23"	"1"	"2"	"1"	"2"	"24"	"1"	"5"	"4"	"5"	"7"	"29"	"35"	"28"	"9"	"8"	"324"	"627"	""	"627"	""
"119"	"53"	"48"	"2"	"335"	"22"	"60"	"3"	"37"	"4"	"4"	"2"	"81"	"5"	"9"	"10"	"7"	"14"	"9"	"5"	"5"	"9"	"671"	""	"671"	""
"120"	"54"	"57"	"5"	"341"	"42"	"42"	"2"	"9"	"4"	"2"	"1"	"25"	"14"	"14"	"34"	"13"	"35"	"8"	"13"	"11"	"6"	"678"	""	"678"	""
"121"	"; ksx"	"243"	"63"	"1512"	"399"	"136"	"14"	"53"	"32"	"43"	"11"	"227"	"41"	"46"	"73"	"148"	"181"	"78"	"55"	"47"	"1078"	"4480"	"0"	"4480"	"0"
"122"	"fi Nys pdzksa ds er ksa dk
; ksx"	"859"	"270"	"8985"	"4397"	"752"	"110"	"123"	"199"	"189"	"165"	"1424"	"304"	"328"	"429"	"513"	"1361"	"492"	"316"	"387"	"1733"	"23336"	"0"	"23336"	"0"
"123"	"dqy  ; ksx"	"1102"	"333"	"10497"	"4796"	"888"	"124"	"176"	"231"	"232"	"176"	"1651"	"345"	"374"	"502"	"661"	"1542"	"570"	"371"	"434"	"2811"	"27816"	"0"	"27816"	"0"
"124"	"fuokZph i nkf/kdkj h"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"112&egkj kt xat   fo0 l 0 fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Page 7 of 31"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"er nku dsUnzks dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonr  er ksa dh l a[ ; k"
"128"	""	"vft r dqekj fl ag"	"bUnq nsoh"	"nkeksnj  fl ag"	"ekfud pUn j k;"	"l quhy j k;"	"ft r sUnz ' kekZ"	": ch v: .k"	"v' kksd j k;"	"mek' kadj fl ag"	"dey i zl kn"	"dqekj  nso j at u fl ag"	"xksfoUn ukj k; .k fl ag"	"u; u i zl kn"	"fuHkk fl ag"	"j fcUnz dqekj"	"j es' k fl ag dq' kokgk"	"j foUnz
; kno"	"MkW0
fo/kq' ks[ kj i k.Ms;"	"fouksn dq0 fl ag"	"gseukj k; .k l kg"	""	""	""	""
"129"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"130"	"55"	"14"	"6"	"31"	"285"	"5"	"2"	"1"	"2"	"1"	"1"	"16"	"3"	"2"	"1"	"12"	"8"	"7"	"3"	"1"	"89"	"490"	""	"490"	""
"131"	"56"	"15"	"4"	"116"	"249"	"23"	"5"	"4"	"14"	"6"	"5"	"14"	"18"	"23"	"16"	"21"	"68"	"13"	"6"	"7"	"27"	"654"	""	"654"	""
"132"	"57"	"5"	"0"	"65"	"91"	"4"	"3"	"1"	"1"	"1"	"0"	"14"	"1"	"4"	"2"	"1"	"1"	"3"	"3"	"3"	"17"	"220"	""	"220"	""
"133"	"58"	"15"	"13"	"208"	"13"	"6"	"0"	"4"	"3"	"5"	"1"	"26"	"2"	"1"	"4"	"18"	"16"	"14"	"5"	"7"	"147"	"508"	""	"508"	""
"134"	"59"	"79"	"28"	"94"	"114"	"6"	"3"	"5"	"5"	"3"	"3"	"12"	"3"	"2"	"3"	"16"	"8"	"233"	"11"	"2"	"31"	"661"	""	"661"	""
"135"	"60"	"44"	"4"	"292"	"102"	"13"	"3"	"7"	"4"	"12"	"4"	"15"	"12"	"14"	"20"	"17"	"24"	"16"	"5"	"14"	"24"	"646"	""	"646"	""
"136"	"61"	"2"	"1"	"40"	"48"	"1"	"4"	"0"	"5"	"1"	"0"	"4"	"6"	"7"	"4"	"6"	"4"	"4"	"0"	"5"	"1"	"143"	""	"143"	""
"137"	"62"	"23"	"3"	"154"	"157"	"17"	"3"	"4"	"26"	"3"	"3"	"64"	"13"	"11"	"13"	"23"	"19"	"14"	"2"	"2"	"40"	"594"	""	"594"	""
"138"	"; ksx"	"197"	"59"	"1000"	"1059"	"75"	"23"	"26"	"60"	"32"	"17"	"165"	"58"	"64"	"63"	"114"	"148"	"304"	"35"	"41"	"376"	"3916"	"0"	"3916"	"0"
"139"	"fi Nys pdzksa ds er ksa dk
; ksx"	"1102"	"333"	"10497"	"4796"	"888"	"124"	"176"	"231"	"232"	"176"	"1651"	"345"	"374"	"502"	"661"	"1542"	"570"	"371"	"434"	"2811"	"27816"	"0"	"27816"	"0"
"140"	"dqy  ; ksx"	"1299"	"392"	"11497"	"5855"	"963"	"147"	"202"	"291"	"264"	"193"	"1816"	"403"	"438"	"565"	"775"	"1690"	"874"	"406"	"475"	"3187"	"31732"	"0"	"31732"	"0"
"141"	"fuokZph i nkf/kdkj h"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"112&egkj kt xat   fo0 l 0 fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"Page 8 of 31"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"er nku dsUnzks dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonr  er ksa dh l a[ ; k"
"145"	""	"vft r dqekj fl ag"	"bUnq nsoh"	"nkeksnj  fl ag"	"ekfud pUn j k;"	"l quhy j k;"	"ft r sUnz ' kekZ"	": ch v: .k"	"v' kksd j k;"	"mek' kadj fl ag"	"dey i zl kn"	"dqekj  nso j at u fl ag"	"xksfoUn ukj k; .k fl ag"	"u; u i zl kn"	"fuHkk fl ag"	"j fcUnz dqekj"	"j es' k fl ag dq' kokgk"	"j foUnz
; kno"	"MkW0
fo/kq' ks[ kj i k.Ms;"	"fouksn dq0 fl ag"	"gseukj k; .k l kg"	""	""	""	""
"146"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"147"	"63"	"3"	"1"	"97"	"105"	"4"	"0"	"1"	"0"	"26"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"2"	"3"	"3"	"7"	"256"	""	"256"	""
"148"	"64"	"16"	"4"	"234"	"49"	"12"	"1"	"2"	"1"	"4"	"1"	"3"	"2"	"9"	"14"	"3"	"24"	"1"	"5"	"6"	"9"	"400"	""	"400"	""
"149"	"65"	"6"	"12"	"304"	"44"	"16"	"1"	"2"	"1"	"10"	"0"	"7"	"8"	"5"	"9"	"21"	"5"	"3"	"2"	"2"	"113"	"571"	""	"571"	""
"150"	"66"	"7"	"4"	"343"	"22"	"3"	"0"	"0"	"0"	"4"	"0"	"7"	"1"	"2"	"1"	"6"	"1"	"10"	"10"	"15"	"104"	"540"	""	"540"	""
"151"	"67"	"16"	"1"	"250"	"48"	"104"	"1"	"1"	"4"	"25"	"1"	"16"	"13"	"11"	"13"	"4"	"11"	"3"	"2"	"5"	"15"	"544"	""	"544"	""
"152"	"68"	"2"	"6"	"226"	"32"	"7"	"1"	"2"	"1"	"1"	"0"	"0"	"4"	"9"	"2"	"9"	"6"	"4"	"2"	"4"	"95"	"413"	""	"413"	""
"153"	"69"	"11"	"9"	"218"	"19"	"1"	"1"	"0"	"2"	"15"	"1"	"1"	"5"	"2"	"1"	"13"	"6"	"16"	"6"	"5"	"194"	"526"	""	"526"	""
"154"	"69d"	"3"	"3"	"171"	"9"	"0"	"0"	"0"	"1"	"31"	"2"	"0"	"1"	"0"	"4"	"10"	"0"	"9"	"2"	"4"	"155"	"405"	""	"405"	""
"155"	"; ksx"	"64"	"40"	"1843"	"328"	"147"	"5"	"8"	"10"	"116"	"5"	"34"	"35"	"39"	"45"	"66"	"54"	"48"	"32"	"44"	"692"	"3655"	"0"	"3655"	"0"
"156"	"fi Nys pdzksa ds er ksa dk
; ksx"	"1299"	"392"	"11497"	"5855"	"963"	"147"	"202"	"291"	"264"	"193"	"1816"	"403"	"438"	"565"	"775"	"1690"	"874"	"406"	"475"	"3187"	"31732"	"0"	"31732"	"0"
"157"	"dqy  ; ksx"	"1363"	"432"	"13340"	"6183"	"1110"	"152"	"210"	"301"	"380"	"198"	"1850"	"438"	"477"	"610"	"841"	"1744"	"922"	"438"	"519"	"3879"	"35387"	"0"	"35387"	"0"
"158"	"fuokZph i nkf/kdkj h"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"112&egkj kt xat   fo0 l 0 fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"Page 9 of 31"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"112&egkj kt xat   fo/kku  l Hkk  fuokZpu  {ks=  esa  fcgkj  fo/kku  l Hkk  d s  fy ; s  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"pÿ  l a0&10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"er nku dsUnzks dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonr  er ksa dh l a[ ; k"
"164"	""	"vft r dqekj fl ag"	"bUnq nsoh"	"nkeksnj  fl ag"	"ekfud pUn j k;"	"l quhy j k;"	"ft r sUnz ' kekZ"	": ch v: .k"	"v' kksd j k;"	"mek' kadj fl ag"	"dey i zl kn"	"dqekj  nso j at u fl ag"	"xksfoUn ukj k; .k fl ag"	"u; u i zl kn"	"fuHkk fl ag"	"j fcUnz dqekj"	"j es' k fl ag dq' kokgk"	"j foUnz
; kno"	"MkW0
fo/kq' ks[ kj i k.Ms;"	"fouksn dq0 fl ag"	"gseukj k; .k l kg"	""	""	""	""
"165"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"166"	"70"	"6"	"3"	"235"	"56"	"1"	"1"	"1"	"0"	"3"	"1"	"1"	"2"	"1"	"5"	"6"	"2"	"1"	"2"	"8"	"79"	"414"	""	"414"	""
"167"	"70d"	"3"	"5"	"224"	"61"	"0"	"1"	"3"	"3"	"12"	"1"	"1"	"5"	"7"	"10"	"14"	"6"	"3"	"0"	"2"	"36"	"397"	""	"397"	""
"168"	"71"	"3"	"4"	"186"	"53"	"3"	"0"	"1"	"1"	"22"	"1"	"10"	"7"	"5"	"8"	"4"	"12"	"6"	"11"	"16"	"3"	"356"	""	"356"	""
"169"	"72"	"5"	"3"	"409"	"52"	"5"	"0"	"3"	"5"	"13"	"2"	"5"	"3"	"4"	"4"	"5"	"7"	"6"	"11"	"8"	"62"	"612"	""	"612"	""
"170"	"73"	"7"	"5"	"238"	"90"	"10"	"1"	"0"	"0"	"12"	"1"	"2"	"13"	"21"	"27"	"13"	"14"	"10"	"6"	"15"	"55"	"540"	""	"540"	""
"171"	"74"	"3"	"1"	"188"	"167"	"4"	"1"	"0"	"5"	"25"	"1"	"1"	"10"	"11"	"6"	"6"	"8"	"0"	"1"	"0"	"30"	"468"	""	"468"	""
"172"	"75"	"2"	"4"	"200"	"22"	"26"	"3"	"1"	"1"	"3"	"1"	"3"	"7"	"4"	"5"	"0"	"6"	"1"	"3"	"15"	"18"	"325"	""	"325"	""
"173"	"76"	"10"	"1"	"177"	"70"	"32"	"0"	"0"	"0"	"11"	"0"	"2"	"2"	"0"	"0"	"4"	"0"	"3"	"3"	"1"	"12"	"328"	""	"328"	""
"174"	"; ksx"	"39"	"26"	"1857"	"571"	"81"	"7"	"9"	"15"	"101"	"8"	"25"	"49"	"53"	"65"	"52"	"55"	"30"	"37"	"65"	"295"	"3440"	"0"	"3440"	"0"
"175"	"fi Nys pdzksa ds er ksa dk
; ksx"	"1363"	"432"	"13340"	"6183"	"1110"	"152"	"210"	"301"	"380"	"198"	"1850"	"438"	"477"	"610"	"841"	"1744"	"922"	"438"	"519"	"3879"	"35387"	"0"	"35387"	"0"
"176"	"dqy  ; ksx"	"1402"	"458"	"15197"	"6754"	"1191"	"159"	"219"	"316"	"481"	"206"	"1875"	"487"	"530"	"675"	"893"	"1799"	"952"	"475"	"584"	"4174"	"38827"	"0"	"38827"	"0"
"177"	"fuokZph i nkf/kdkj h"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"112&egkj kt xat   fo0 l 0 fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"Page 10 of 31"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"112&egkj kt xat   fo/kku  l Hkk  fuokZpu  {ks=  esa  fcgkj  fo/kku  l Hkk  d s  fy ; s  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"pÿ  l a0&11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"er nku dsUnzks dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonr  er ksa dh l a[ ; k"
"183"	""	"vft r dqekj fl ag"	"bUnq nsoh"	"nkeksnj  fl ag"	"ekfud pUn j k;"	"l quhy j k;"	"ft r sUnz ' kekZ"	": ch v: .k"	"v' kksd j k;"	"mek' kadj fl ag"	"dey i zl kn"	"dqekj  nso j at u fl ag"	"xksfoUn ukj k; .k fl ag"	"u; u i zl kn"	"fuHkk fl ag"	"j fcUnz dqekj"	"j es' k fl ag dq' kokgk"	"j foUnz
; kno"	"MkW0
fo/kq' ks[ kj i k.Ms;"	"fouksn dq0 fl ag"	"gseukj k; .k l kg"	""	""	""	""
"184"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"185"	"77"	"6"	"2"	"191"	"74"	"31"	"1"	"5"	"4"	"43"	"0"	"1"	"5"	"8"	"3"	"3"	"12"	"0"	"2"	"3"	"3"	"397"	""	"397"	""
"186"	"78"	"8"	"7"	"288"	"190"	"3"	"3"	"8"	"10"	"30"	"2"	"10"	"27"	"40"	"34"	"11"	"28"	"11"	"7"	"16"	"14"	"747"	""	"747"	""
"187"	"79"	"5"	"5"	"183"	"80"	"12"	"0"	"7"	"9"	"2"	"2"	"8"	"10"	"19"	"20"	"12"	"39"	"9"	"2"	"22"	"22"	"468"	""	"468"	""
"188"	"80"	"4"	"1"	"176"	"109"	"5"	"1"	"9"	"4"	"1"	"1"	"5"	"6"	"6"	"5"	"13"	"96"	"2"	"5"	"13"	"15"	"477"	""	"477"	""
"189"	"81"	"8"	"5"	"254"	"77"	"12"	"0"	"5"	"4"	"3"	"1"	"5"	"10"	"7"	"5"	"14"	"31"	"3"	"3"	"6"	"50"	"503"	""	"503"	""
"190"	"82"	"11"	"6"	"240"	"53"	"23"	"1"	"1"	"5"	"5"	"0"	"32"	"3"	"2"	"4"	"22"	"3"	"1"	"0"	"16"	"33"	"461"	""	"461"	""
"191"	"83"	"9"	"17"	"59"	"120"	"7"	"3"	"3"	"4"	"1"	"1"	"5"	"11"	"14"	"6"	"48"	"132"	"14"	"6"	"9"	"151"	"620"	""	"620"	""
"192"	"84"	"4"	"1"	"364"	"78"	"4"	"2"	"2"	"3"	"9"	"1"	"1"	"10"	"7"	"15"	"7"	"9"	"5"	"7"	"9"	"32"	"570"	""	"570"	""
"193"	"; ksx"	"55"	"44"	"1755"	"781"	"97"	"11"	"40"	"43"	"94"	"8"	"67"	"82"	"103"	"92"	"130"	"350"	"45"	"32"	"94"	"320"	"4243"	"0"	"4243"	"0"
"194"	"fi Nys pdzksa ds er ksa dk
; ksx"	"1402"	"458"	"15197"	"6754"	"1191"	"159"	"219"	"316"	"481"	"206"	"1875"	"487"	"530"	"675"	"893"	"1799"	"952"	"475"	"584"	"4174"	"38827"	"0"	"38827"	"0"
"195"	"dqy  ; ksx"	"1457"	"502"	"16952"	"7535"	"1288"	"170"	"259"	"359"	"575"	"214"	"1942"	"569"	"633"	"767"	"1023"	"2149"	"997"	"507"	"678"	"4494"	"43070"	"0"	"43070"	"0"
"196"	"fuokZph i nkf/kdkj h"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"112&egkj kt xat   fo0 l 0 fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"Page 11 of 31"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"er nku dsUnzks dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonr  er ksa dh l a[ ; k"
"200"	""	"vft r dqekj fl ag"	"bUnq nsoh"	"nkeksnj  fl ag"	"ekfud pUn j k;"	"l quhy j k;"	"ft r sUnz ' kekZ"	": ch v: .k"	"v' kksd j k;"	"mek' kadj fl ag"	"dey i zl kn"	"dqekj  nso j at u fl ag"	"xksfoUn ukj k; .k fl ag"	"u; u i zl kn"	"fuHkk fl ag"	"j fcUnz dqekj"	"j es' k fl ag dq' kokgk"	"j foUnz
; kno"	"MkW0
fo/kq' ks[ kj i k.Ms;"	"fouksn dq0 fl ag"	"gseukj k; .k l kg"	""	""	""	""
"201"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"202"	"85"	"7"	"9"	"308"	"127"	"11"	"3"	"0"	"2"	"6"	"2"	"5"	"7"	"13"	"5"	"12"	"37"	"7"	"7"	"8"	"62"	"638"	""	"638"	""
"203"	"86"	"13"	"5"	"370"	"77"	"18"	"6"	"8"	"4"	"10"	"12"	"10"	"21"	"25"	"20"	"20"	"39"	"5"	"6"	"15"	"16"	"700"	""	"700"	""
"204"	"87"	"12"	"5"	"172"	"36"	"55"	"0"	"2"	"1"	"5"	"3"	"39"	"5"	"9"	"9"	"9"	"21"	"5"	"3"	"10"	"10"	"411"	""	"411"	""
"205"	"87d"	"6"	"2"	"192"	"33"	"24"	"1"	"0"	"1"	"3"	"0"	"9"	"3"	"3"	"4"	"4"	"70"	"3"	"4"	"10"	"5"	"377"	""	"377"	""
"206"	"88"	"14"	"5"	"241"	"25"	"33"	"1"	"0"	"5"	"5"	"1"	"5"	"5"	"1"	"5"	"2"	"31"	"9"	"4"	"8"	"15"	"415"	""	"415"	""
"207"	"89"	"12"	"1"	"136"	"48"	"17"	"3"	"6"	"7"	"4"	"4"	"9"	"12"	"16"	"23"	"13"	"288"	"7"	"2"	"1"	"2"	"611"	""	"611"	""
"208"	"90"	"17"	"1"	"57"	"58"	"79"	"4"	"0"	"1"	"1"	"0"	"0"	"1"	"2"	"0"	"0"	"3"	"1"	"1"	"3"	"2"	"231"	""	"231"	""
"209"	"91"	"6"	"0"	"101"	"18"	"249"	"8"	"1"	"1"	"2"	"4"	"5"	"2"	"4"	"4"	"3"	"10"	"1"	"1"	"1"	"5"	"426"	""	"426"	""
"210"	"; ksx"	"87"	"28"	"1577"	"422"	"486"	"26"	"17"	"22"	"36"	"26"	"82"	"56"	"73"	"70"	"63"	"499"	"38"	"28"	"56"	"117"	"3809"	"0"	"3809"	"0"
"211"	"fi Nys pdzksa ds er ksa dk
; ksx"	"1457"	"502"	"16952"	"7535"	"1288"	"170"	"259"	"359"	"575"	"214"	"1942"	"569"	"633"	"767"	"1023"	"2149"	"997"	"507"	"678"	"4494"	"43070"	"0"	"43070"	"0"
"212"	"dqy  ; ksx"	"1544"	"530"	"18529"	"7957"	"1774"	"196"	"276"	"381"	"611"	"240"	"2024"	"625"	"706"	"837"	"1086"	"2648"	"1035"	"535"	"734"	"4611"	"46879"	"0"	"46879"	"0"
"213"	"fuokZph i nkf/kdkj h"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"112&egkj kt xat   fo0 l 0 fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"Page 12 of 31"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"er nku dsUnzks dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonr  er ksa dh l a[ ; k"
"217"	""	"vft r dqekj fl ag"	"bUnq nsoh"	"nkeksnj  fl ag"	"ekfud pUn j k;"	"l quhy j k;"	"ft r sUnz ' kekZ"	": ch v: .k"	"v' kksd j k;"	"mek' kadj fl ag"	"dey i zl kn"	"dqekj  nso j at u fl ag"	"xksfoUn ukj k; .k fl ag"	"u; u i zl kn"	"fuHkk fl ag"	"j fcUnz dqekj"	"j es' k fl ag dq' kokgk"	"j foUnz
; kno"	"MkW0
fo/kq' ks[ kj i k.Ms;"	"fouksn dq0 fl ag"	"gseukj k; .k l kg"	""	""	""	""
"218"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"219"	"92"	"8"	"0"	"99"	"64"	"79"	"3"	"3"	"2"	"0"	"1"	"8"	"7"	"7"	"6"	"5"	"27"	"3"	"2"	"1"	"4"	"329"	""	"329"	""
"220"	"93"	"7"	"1"	"72"	"37"	"115"	"3"	"3"	"2"	"1"	"4"	"9"	"11"	"12"	"10"	"11"	"118"	"4"	"1"	"3"	"7"	"431"	""	"431"	""
"221"	"94"	"6"	"1"	"29"	"40"	"346"	"15"	"3"	"3"	"2"	"2"	"6"	"7"	"2"	"5"	"7"	"13"	"2"	"1"	"3"	"4"	"497"	""	"497"	""
"222"	"95"	"17"	"4"	"56"	"106"	"286"	"3"	"5"	"9"	"2"	"7"	"7"	"12"	"7"	"2"	"5"	"43"	"3"	"1"	"3"	"4"	"582"	""	"582"	""
"223"	"96"	"22"	"10"	"227"	"84"	"157"	"8"	"5"	"7"	"5"	"3"	"3"	"8"	"2"	"8"	"5"	"24"	"13"	"10"	"3"	"8"	"612"	""	"612"	""
"224"	"97"	"25"	"2"	"271"	"46"	"88"	"5"	"6"	"5"	"7"	"5"	"18"	"15"	"15"	"27"	"13"	"40"	"21"	"10"	"20"	"21"	"660"	""	"660"	""
"225"	"98"	"17"	"1"	"14"	"113"	"140"	"2"	"1"	"3"	"4"	"3"	"7"	"4"	"9"	"2"	"24"	"12"	"10"	"3"	"4"	"8"	"381"	""	"381"	""
"226"	"99"	"9"	"2"	"23"	"30"	"278"	"7"	"2"	"4"	"3"	"0"	"0"	"4"	"1"	"4"	"1"	"5"	"3"	"0"	"2"	"11"	"389"	""	"389"	""
"227"	"; ksx"	"111"	"21"	"791"	"520"	"1489"	"46"	"28"	"35"	"24"	"25"	"58"	"68"	"55"	"64"	"71"	"282"	"59"	"28"	"39"	"67"	"3881"	"0"	"3881"	"0"
"228"	"fi Nys pdzksa ds er ksa dk
; ksx"	"1544"	"530"	"18529"	"7957"	"1774"	"196"	"276"	"381"	"611"	"240"	"2024"	"625"	"706"	"837"	"1086"	"2648"	"1035"	"535"	"734"	"4611"	"46879"	"0"	"46879"	"0"
"229"	"dqy  ; ksx"	"1655"	"551"	"19320"	"8477"	"3263"	"242"	"304"	"416"	"635"	"265"	"2082"	"693"	"761"	"901"	"1157"	"2930"	"1094"	"563"	"773"	"4678"	"50760"	"0"	"50760"	"0"
"230"	"fuokZph i nkf/kdkj h"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"112&egkj kt xat   fo0 l 0 fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"Page 13 of 31"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
