"Øeka.d"	"er.nku.dsUnz.dh.dz0.l.a0"	"fuEufyf..kr..ds.i..k.esa.fn...x...fof.k.ekU...er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"dqy..fof.k.ekU...er"	"i.zfr..ksfi.r..er.ksa.dh.l.a....k"	"X..ksx"	"fufonRr..er.ksa.dh.l.a....k"
"131"	"114"	"113"	"7"	"106"	"287"	"292"	"21"	"2"	"3"	"7"	"9"	"3"	"3"	"4"	"12"	"4"	"10"	"770"	"0"	"770"	"0"
"132"	"115"	"114"	"9"	"40"	"114"	"239"	"16"	"3"	"0"	"8"	"3"	"2"	"3"	"10"	"8"	"3"	"11"	"469"	"0"	"469"	"0"
"133"	"116"	"115"	"17"	"6"	"75"	"486"	"21"	"3"	"2"	"5"	"6"	"3"	"2"	"3"	"7"	"10"	"37"	"683"	"0"	"683"	"0"
"134"	"117"	"116"	"11"	"275"	"51"	"124"	"9"	"2"	"0"	"9"	"5"	"2"	"2"	"2"	"3"	"4"	"7"	"506"	"0"	"506"	"0"
"135"	"118"	"116A"	"11"	"213"	"62"	"145"	"9"	"1"	"0"	"3"	"1"	"2"	"0"	"1"	"4"	"7"	"8"	"467"	"0"	"467"	"0"
"136"	"119"	"117"	"17"	"71"	"358"	"304"	"7"	"3"	"13"	"14"	"15"	"10"	"4"	"4"	"9"	"7"	"10"	"846"	"0"	"846"	"0"
"137"	"120"	"118"	"11"	"17"	"111"	"244"	"5"	"4"	"0"	"8"	"5"	"2"	"2"	"2"	"1"	"1"	"6"	"419"	"0"	"419"	"0"
"138"	"121"	"119"	"6"	"7"	"35"	"274"	"9"	"0"	"3"	"12"	"4"	"1"	"4"	"4"	"5"	"2"	"4"	"370"	"0"	"370"	"0"
"139"	"122"	"120"	"19"	"260"	"107"	"118"	"15"	"3"	"4"	"6"	"27"	"8"	"4"	"7"	"6"	"9"	"17"	"610"	"0"	"610"	"0"
"140"	"123"	"121"	"6"	"41"	"38"	"408"	"9"	"2"	"3"	"20"	"7"	"2"	"4"	"6"	"3"	"2"	"5"	"556"	"0"	"556"	"0"
"141"	"124"	"122"	"18"	"246"	"49"	"222"	"31"	"2"	"2"	"6"	"2"	"1"	"1"	"4"	"2"	"5"	"3"	"594"	"0"	"594"	"0"
"142"	"125"	"123"	"22"	"325"	"174"	"64"	"11"	"8"	"4"	"10"	"41"	"8"	"4"	"11"	"8"	"14"	"26"	"730"	"0"	"730"	"0"
"143"	"126"	"124"	"17"	"25"	"60"	"477"	"7"	"4"	"1"	"6"	"5"	"5"	"1"	"1"	"1"	"3"	"11"	"624"	"0"	"624"	"0"
"144"	"Øeka d"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"145"	""	""	"vfu: )  i zl kn fl ag"	"xhr k fdLdq"	"pEi ;  fdLdw"	"euksgj  i zl kn fl ag"	"fl dUnj  eaMy"	"xhr k nsoh"	"t wy h gsEcze"	"Qwyeuh gsEcze"	"NksVs yky  pkSM+s"	"nkeksnj  fl ag"	"fi z; k nsoh"	"; equk i zl kn eaMy"	"j k/kk mj k¡o"	"okl qnso gsEcze"	"l quhy  l ksj su"	""	""	""	""
"146"	"127"	"125"	"10"	"2"	"44"	"289"	"8"	"0"	"1"	"4"	"2"	"0"	"0"	"3"	"6"	"8"	"6"	"383"	"0"	"383"	"0"
"147"	"128"	"126"	"10"	"157"	"124"	"71"	"9"	"4"	"0"	"4"	"9"	"2"	"4"	"2"	"7"	"6"	"8"	"417"	"0"	"417"	"0"
"148"	"129"	"127"	"14"	"388"	"23"	"61"	"14"	"1"	"1"	"4"	"1"	"2"	"1"	"3"	"4"	"4"	"7"	"528"	"0"	"528"	"0"
"149"	"130"	"128"	"15"	"198"	"58"	"128"	"11"	"1"	"1"	"5"	"3"	"1"	"2"	"5"	"5"	"9"	"9"	"451"	"0"	"451"	"0"
"150"	"131"	"129"	"18"	"25"	"430"	"23"	"7"	"3"	"3"	"3"	"15"	"4"	"1"	"13"	"22"	"11"	"14"	"592"	"0"	"592"	"0"
"151"	"132"	"130"	"10"	"11"	"201"	"45"	"2"	"1"	"1"	"4"	"14"	"4"	"1"	"5"	"10"	"8"	"12"	"329"	"0"	"329"	"0"
"152"	"133"	"131"	"12"	"6"	"456"	"69"	"6"	"5"	"1"	"3"	"22"	"5"	"3"	"12"	"26"	"14"	"18"	"658"	"0"	"658"	"0"
"153"	"134"	"132"	"25"	"537"	"25"	"83"	"8"	"4"	"4"	"8"	"7"	"2"	"4"	"4"	"4"	"14"	"14"	"743"	"0"	"743"	"0"
"154"	"135"	"133"	"26"	"7"	"209"	"335"	"15"	"1"	"7"	"21"	"20"	"11"	"6"	"15"	"17"	"6"	"39"	"735"	"0"	"735"	"0"
"155"	"136"	"134"	"6"	"177"	"71"	"123"	"65"	"2"	"0"	"10"	"8"	"2"	"3"	"4"	"5"	"2"	"8"	"486"	"0"	"486"	"0"
"156"	"137"	"135"	"17"	"338"	"7"	"24"	"10"	"0"	"0"	"5"	"3"	"0"	"3"	"3"	"0"	"3"	"4"	"417"	"0"	"417"	"0"
"157"	"138"	"136"	"15"	"333"	"20"	"16"	"2"	"1"	"0"	"4"	"4"	"1"	"0"	"1"	"0"	"4"	"4"	"405"	"0"	"405"	"0"
"158"	"139"	"137"	"17"	"6"	"123"	"219"	"7"	"2"	"2"	"6"	"7"	"7"	"7"	"10"	"7"	"11"	"19"	"450"	"0"	"450"	"0"
"159"	"140"	"138"	"12"	"35"	"50"	"306"	"4"	"4"	"1"	"6"	"2"	"3"	"8"	"8"	"4"	"13"	"0"	"456"	"0"	"456"	"0"
"160"	"Øeka d"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"161"	""	""	"vfu: )  i zl kn fl ag"	"xhr k fdLdq"	"pEi ;  fdLdw"	"euksgj  i zl kn fl ag"	"fl dUnj  eaMy"	"xhr k nsoh"	"t wy h gsEcze"	"Qwyeuh gsEcze"	"NksVs yky  pkSM+s"	"nkeksnj  fl ag"	"fi z; k nsoh"	"; equk i zl kn eaMy"	"j k/kk mj k¡o"	"okl qnso gsEcze"	"l quhy  l ksj su"	""	""	""	""
"162"	"141"	"139"	"12"	"298"	"19"	"53"	"13"	"0"	"1"	"4"	"2"	"1"	"1"	"3"	"2"	"5"	"6"	"420"	"0"	"420"	"0"
"163"	"142"	"140"	"7"	"247"	"10"	"72"	"5"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"3"	"348"	"0"	"348"	"0"
"164"	"143"	"141"	"28"	"611"	"10"	"6"	"25"	"2"	"2"	"4"	"6"	"4"	"1"	"2"	"3"	"21"	"11"	"736"	"0"	"736"	"0"
"165"	"144"	"142"	"22"	"325"	"40"	"135"	"18"	"0"	"3"	"7"	"6"	"1"	"2"	"7"	"1"	"11"	"23"	"601"	"0"	"601"	"0"
"166"	"145"	"143"	"4"	"231"	"2"	"0"	"17"	"0"	"0"	"3"	"2"	"0"	"0"	"1"	"0"	"3"	"5"	"268"	"0"	"268"	"0"
"167"	"146"	"144"	"8"	"310"	"9"	"28"	"10"	"2"	"0"	"1"	"3"	"0"	"1"	"3"	"0"	"6"	"7"	"388"	"0"	"388"	"0"
"168"	"147"	"145"	"3"	"215"	"21"	"11"	"8"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"2"	"264"	"0"	"264"	"0"
"169"	"148"	"146"	"10"	"33"	"19"	"139"	"17"	"0"	"2"	"11"	"5"	"4"	"3"	"1"	"1"	"2"	"5"	"252"	"0"	"252"	"0"
"170"	"149"	"147"	"11"	"315"	"8"	"22"	"24"	"0"	"0"	"3"	"2"	"0"	"0"	"1"	"1"	"3"	"4"	"394"	"0"	"394"	"0"
"171"	"150"	"148"	"6"	"7"	"142"	"125"	"4"	"1"	"3"	"13"	"84"	"16"	"4"	"7"	"4"	"3"	"19"	"438"	"0"	"438"	"0"
"172"	"151"	"149"	"6"	"566"	"4"	"30"	"1"	"1"	"0"	"0"	"4"	"2"	"1"	"0"	"0"	"2"	"6"	"623"	"0"	"623"	"0"
"173"	"152"	"150"	"27"	"444"	"13"	"29"	"2"	"1"	"2"	"4"	"1"	"0"	"2"	"0"	"1"	"3"	"12"	"541"	"0"	"541"	"0"
"174"	"153"	"151"	"15"	"354"	"7"	"105"	"2"	"0"	"0"	"3"	"2"	"2"	"2"	"6"	"4"	"5"	"8"	"515"	"0"	"515"	"0"
"175"	"154"	"152"	"19"	"307"	"14"	"369"	"8"	"2"	"0"	"23"	"9"	"2"	"8"	"4"	"8"	"7"	"16"	"796"	"0"	"796"	"0"
"176"	"Øeka d"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"177"	""	""	"vfu: )  i zl kn fl ag"	"xhr k fdLdq"	"pEi ;  fdLdw"	"euksgj  i zl kn fl ag"	"fl dUnj  eaMy"	"xhr k nsoh"	"t wy h gsEcze"	"Qwyeuh gsEcze"	"NksVs yky  pkSM+s"	"nkeksnj  fl ag"	"fi z; k nsoh"	"; equk i zl kn eaMy"	"j k/kk mj k¡o"	"okl qnso gsEcze"	"l quhy  l ksj su"	""	""	""	""
"178"	"155"	"153"	"6"	"131"	"5"	"125"	"6"	"0"	"7"	"3"	"1"	"0"	"1"	"3"	"2"	"3"	"4"	"297"	"0"	"297"	"0"
"179"	"156"	"154"	"11"	"373"	"46"	"29"	"30"	"0"	"0"	"1"	"5"	"2"	"0"	"1"	"1"	"1"	"6"	"506"	"0"	"506"	"0"
"180"	"157"	"155"	"7"	"341"	"25"	"9"	"61"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"6"	"1"	"454"	"0"	"454"	"0"
"181"	"158"	"156"	"14"	"22"	"140"	"283"	"4"	"4"	"16"	"21"	"27"	"7"	"4"	"10"	"5"	"6"	"30"	"593"	"0"	"593"	"0"
"182"	"159"	"157"	"11"	"339"	"6"	"61"	"45"	"0"	"5"	"2"	"3"	"0"	"1"	"1"	"2"	"8"	"12"	"496"	"0"	"496"	"0"
"183"	"160"	"158"	"15"	"356"	"156"	"105"	"6"	"3"	"2"	"10"	"13"	"7"	"1"	"16"	"6"	"5"	"20"	"721"	"0"	"721"	"0"
"184"	"161"	"159"	"15"	"334"	"31"	"111"	"84"	"4"	"1"	"1"	"6"	"3"	"1"	"5"	"5"	"7"	"13"	"621"	"0"	"621"	"0"
"185"	"162"	"160"	"22"	"327"	"13"	"199"	"0"	"2"	"2"	"6"	"6"	"3"	"5"	"7"	"6"	"13"	"30"	"641"	"0"	"641"	"0"
"186"	"163"	"161"	"22"	"385"	"23"	"59"	"6"	"0"	"2"	"3"	"3"	"0"	"1"	"3"	"1"	"1"	"0"	"509"	"0"	"509"	"0"
"187"	"164"	"161A"	"12"	"252"	"39"	"49"	"10"	"0"	"1"	"5"	"5"	"1"	"4"	"1"	"4"	"7"	"6"	"396"	"0"	"396"	"0"
"188"	"165"	"162"	"15"	"172"	"50"	"290"	"12"	"2"	"3"	"11"	"19"	"8"	"2"	"11"	"6"	"8"	"35"	"644"	"0"	"644"	"0"
"189"	"166"	"163"	"14"	"10"	"43"	"457"	"9"	"5"	"5"	"9"	"8"	"8"	"7"	"11"	"5"	"2"	"17"	"610"	"0"	"610"	"0"
"190"	"167"	"164"	"16"	"6"	"70"	"375"	"8"	"1"	"2"	"7"	"5"	"2"	"3"	"1"	"1"	"1"	"12"	"510"	"0"	"510"	"0"
"191"	"168"	"165"	"15"	"721"	"16"	"10"	"13"	"2"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"2"	"784"	"0"	"784"	"0"
"192"	"Øeka d"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"193"	""	""	"vfu: )  i zl kn fl ag"	"xhr k fdLdq"	"pEi ;  fdLdw"	"euksgj  i zl kn fl ag"	"fl dUnj  eaMy"	"xhr k nsoh"	"t wy h gsEcze"	"Qwyeuh gsEcze"	"NksVs yky  pkSM+s"	"nkeksnj  fl ag"	"fi z; k nsoh"	"; equk i zl kn eaMy"	"j k/kk mj k¡o"	"okl qnso gsEcze"	"l quhy  l ksj su"	""	""	""	""
"194"	"169"	"166"	"15"	"28"	"54"	"449"	"2"	"7"	"1"	"9"	"8"	"3"	"6"	"3"	"1"	"3"	"11"	"600"	"0"	"600"	"0"
"195"	"170"	"167"	"15"	"29"	"14"	"334"	"0"	"1"	"2"	"6"	"0"	"2"	"0"	"3"	"1"	"1"	"4"	"412"	"0"	"412"	"0"
"196"	"171"	"168"	"17"	"304"	"56"	"302"	"10"	"8"	"2"	"18"	"11"	"6"	"5"	"7"	"7"	"17"	"33"	"803"	"0"	"803"	"0"
"197"	"172"	"169"	"1"	"4"	"14"	"628"	"3"	"1"	"0"	"1"	"1"	"0"	"1"	"2"	"0"	"1"	"1"	"658"	"0"	"658"	"0"
"198"	"173"	"170"	"14"	"11"	"25"	"540"	"9"	"6"	"4"	"16"	"5"	"6"	"18"	"15"	"16"	"4"	"31"	"720"	"0"	"720"	"0"
"199"	"174"	"171"	"9"	"489"	"14"	"54"	"12"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"3"	"2"	"586"	"0"	"586"	"0"
"200"	"175"	"172"	"22"	"95"	"25"	"355"	"4"	"4"	"4"	"26"	"7"	"4"	"6"	"6"	"6"	"13"	"45"	"622"	"0"	"622"	"0"
"201"	"176"	"173"	"14"	"2"	"6"	"314"	"5"	"3"	"3"	"6"	"3"	"1"	"4"	"8"	"3"	"1"	"14"	"387"	"0"	"387"	"0"
"202"	"177"	"174"	"41"	"86"	"103"	"452"	"12"	"4"	"7"	"21"	"8"	"3"	"2"	"3"	"3"	"5"	"24"	"774"	"0"	"774"	"0"
"203"	"178"	"175"	"20"	"591"	"43"	"165"	"11"	"2"	"4"	"7"	"7"	"4"	"6"	"4"	"4"	"8"	"8"	"884"	"0"	"884"	"0"
"204"	"179"	"176"	"35"	"590"	"19"	"33"	"8"	"3"	"1"	"7"	"4"	"2"	"2"	"2"	"2"	"17"	"16"	"741"	"0"	"741"	"0"
"205"	"180"	"177"	"14"	"452"	"24"	"147"	"8"	"3"	"2"	"7"	"9"	"6"	"3"	"3"	"7"	"11"	"10"	"706"	"0"	"706"	"0"
"206"	"181"	"178"	"15"	"423"	"63"	"115"	"12"	"4"	"2"	"9"	"7"	"1"	"1"	"0"	"3"	"4"	"10"	"669"	"0"	"669"	"0"
"207"	"182"	"179"	"19"	"286"	"16"	"211"	"4"	"3"	"1"	"11"	"2"	"1"	"2"	"0"	"1"	"5"	"2"	"564"	"0"	"564"	"0"
"208"	"Øeka d"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"209"	""	""	"vfu: )  i zl kn fl ag"	"xhr k fdLdq"	"pEi ;  fdLdw"	"euksgj  i zl kn fl ag"	"fl dUnj  eaMy"	"xhr k nsoh"	"t wy h gsEcze"	"Qwyeuh gsEcze"	"NksVs yky  pkSM+s"	"nkeksnj  fl ag"	"fi z; k nsoh"	"; equk i zl kn eaMy"	"j k/kk mj k¡o"	"okl qnso gsEcze"	"l quhy  l ksj su"	""	""	""	""
"210"	"183"	"180"	"10"	"3"	"200"	"234"	"4"	"1"	"5"	"2"	"5"	"2"	"2"	"0"	"10"	"4"	"1"	"483"	"0"	"483"	"0"
"211"	"184"	"181"	"15"	"3"	"80"	"266"	"7"	"5"	"0"	"23"	"6"	"3"	"7"	"7"	"2"	"6"	"18"	"448"	"0"	"448"	"0"
"212"	"185"	"182"	"9"	"95"	"122"	"174"	"6"	"4"	"3"	"10"	"7"	"0"	"0"	"2"	"7"	"0"	"3"	"442"	"0"	"442"	"0"
"213"	"186"	"183"	"7"	"475"	"70"	"24"	"9"	"1"	"0"	"1"	"1"	"1"	"3"	"0"	"7"	"14"	"9"	"622"	"0"	"622"	"0"
"214"	"187"	"184"	"16"	"326"	"53"	"109"	"6"	"4"	"0"	"6"	"7"	"1"	"1"	"0"	"3"	"9"	"9"	"550"	"0"	"550"	"0"
"215"	"188"	"185"	"22"	"8"	"183"	"281"	"9"	"2"	"0"	"5"	"14"	"2"	"3"	"3"	"1"	"1"	"2"	"536"	"0"	"536"	"0"
"216"	"189"	"186"	"7"	"15"	"175"	"41"	"14"	"2"	"3"	"6"	"17"	"3"	"1"	"3"	"7"	"5"	"8"	"307"	"0"	"307"	"0"
"217"	"190"	"187"	"9"	"48"	"143"	"143"	"13"	"3"	"0"	"9"	"17"	"9"	"7"	"5"	"7"	"9"	"15"	"437"	"0"	"437"	"0"
"218"	"191"	"188"	"24"	"122"	"199"	"230"	"21"	"6"	"4"	"13"	"27"	"5"	"8"	"14"	"21"	"16"	"33"	"743"	"0"	"743"	"0"
"219"	"192"	"189"	"12"	"17"	"181"	"188"	"33"	"1"	"6"	"13"	"31"	"7"	"5"	"4"	"5"	"13"	"25"	"541"	"0"	"541"	"0"
"220"	"193"	"190"	"5"	"371"	"13"	"4"	"49"	"0"	"0"	"5"	"4"	"2"	"1"	"2"	"2"	"6"	"9"	"473"	"0"	"473"	"0"
"221"	"194"	"191"	"12"	"398"	"24"	"4"	"57"	"2"	"1"	"8"	"6"	"3"	"1"	"1"	"5"	"19"	"21"	"562"	"0"	"562"	"0"
"222"	"195"	"192"	"16"	"615"	"18"	"61"	"16"	"2"	"1"	"4"	"4"	"0"	"1"	"0"	"1"	"5"	"10"	"754"	"0"	"754"	"0"
"223"	"196"	"193"	"7"	"439"	"50"	"151"	"30"	"6"	"3"	"11"	"15"	"1"	"3"	"6"	"3"	"9"	"8"	"742"	"0"	"742"	"0"
"224"	"Øeka d"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"225"	""	""	"vfu: )  i zl kn fl ag"	"xhr k fdLdq"	"pEi ;  fdLdw"	"euksgj  i zl kn fl ag"	"fl dUnj  eaMy"	"xhr k nsoh"	"t wy h gsEcze"	"Qwyeuh gsEcze"	"NksVs yky  pkSM+s"	"nkeksnj  fl ag"	"fi z; k nsoh"	"; equk i zl kn eaMy"	"j k/kk mj k¡o"	"okl qnso gsEcze"	"l quhy  l ksj su"	""	""	""	""
"226"	"197"	"194"	"7"	"384"	"53"	"9"	"2"	"3"	"2"	"6"	"12"	"1"	"2"	"0"	"1"	"10"	"23"	"515"	"0"	"515"	"0"
"227"	"198"	"195"	"10"	"60"	"321"	"135"	"3"	"2"	"2"	"13"	"32"	"7"	"2"	"11"	"19"	"14"	"30"	"661"	"0"	"661"	"0"
"228"	"199"	"196"	"16"	"139"	"21"	"457"	"31"	"10"	"4"	"9"	"2"	"1"	"3"	"1"	"1"	"4"	"16"	"715"	"0"	"715"	"0"
"229"	"200"	"197"	"14"	"69"	"50"	"155"	"47"	"7"	"0"	"7"	"9"	"5"	"5"	"2"	"1"	"4"	"7"	"382"	"0"	"382"	"0"
"230"	"201"	"198"	"15"	"15"	"27"	"349"	"15"	"4"	"2"	"11"	"3"	"5"	"7"	"4"	"5"	"4"	"22"	"488"	"0"	"488"	"0"
"231"	"202"	"199"	"15"	"14"	"119"	"393"	"32"	"9"	"4"	"20"	"14"	"7"	"11"	"14"	"6"	"8"	"40"	"706"	"0"	"706"	"0"
"232"	"203"	"200"	"22"	"175"	"384"	"139"	"18"	"2"	"1"	"7"	"63"	"7"	"1"	"4"	"12"	"7"	"22"	"864"	"0"	"864"	"0"
"233"	"204"	"201"	"23"	"362"	"14"	"78"	"3"	"1"	"2"	"9"	"8"	"1"	"1"	"1"	"4"	"5"	"31"	"543"	"0"	"543"	"0"
"234"	"205"	"201A"	"6"	"58"	"81"	"124"	"4"	"0"	"1"	"3"	"15"	"5"	"5"	"7"	"9"	"1"	"20"	"339"	"0"	"339"	"0"
"235"	"206"	"202"	"11"	"144"	"103"	"170"	"12"	"2"	"3"	"6"	"13"	"1"	"1"	"0"	"4"	"3"	"4"	"477"	"0"	"477"	"0"
"236"	"207"	"203"	"30"	"154"	"22"	"366"	"16"	"3"	"2"	"29"	"10"	"3"	"10"	"15"	"11"	"9"	"27"	"707"	"0"	"707"	"0"
"237"	"208"	"204"	"10"	"223"	"46"	"64"	"3"	"1"	"0"	"3"	"4"	"3"	"1"	"4"	"1"	"2"	"7"	"372"	"0"	"372"	"0"
"238"	"209"	"204A"	"16"	"422"	"30"	"61"	"9"	"1"	"3"	"4"	"9"	"6"	"1"	"2"	"2"	"13"	"45"	"624"	"0"	"624"	"0"
"239"	"210"	"205"	"7"	"405"	"27"	"23"	"5"	"0"	"1"	"3"	"12"	"1"	"1"	"2"	"1"	"11"	"13"	"512"	"0"	"512"	"0"
"240"	"211"	"206"	"12"	"318"	"7"	"94"	"2"	"1"	"1"	"14"	"2"	"0"	"0"	"2"	"1"	"8"	"9"	"471"	"0"	"471"	"0"
"241"	"Øeka d"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"242"	""	""	"vfu: )  i zl kn fl ag"	"xhr k fdLdq"	"pEi ;  fdLdw"	"euksgj  i zl kn fl ag"	"fl dUnj  eaMy"	"xhr k nsoh"	"t wy h gsEcze"	"Qwyeuh gsEcze"	"NksVs yky  pkSM+s"	"nkeksnj  fl ag"	"fi z; k nsoh"	"; equk i zl kn eaMy"	"j k/kk mj k¡o"	"okl qnso gsEcze"	"l quhy  l ksj su"	""	""	""	""
"243"	"212"	"206A"	"7"	"304"	"9"	"134"	"5"	"3"	"0"	"8"	"3"	"4"	"5"	"5"	"4"	"7"	"20"	"518"	"0"	"518"	"0"
"244"	"213"	"207"	"9"	"371"	"51"	"72"	"35"	"1"	"2"	"10"	"65"	"2"	"5"	"5"	"4"	"10"	"17"	"659"	"0"	"659"	"0"
"245"	"214"	"208"	"10"	"268"	"31"	"21"	"7"	"1"	"0"	"5"	"5"	"0"	"1"	"0"	"1"	"3"	"2"	"355"	"0"	"355"	"0"
"246"	"215"	"209"	"12"	"190"	"75"	"246"	"10"	"2"	"2"	"2"	"9"	"0"	"0"	"3"	"5"	"4"	"7"	"567"	"0"	"567"	"0"
"247"	"216"	"210"	"8"	"117"	"281"	"79"	"5"	"2"	"4"	"12"	"24"	"7"	"3"	"8"	"16"	"10"	"24"	"600"	"0"	"600"	"0"
"248"	"217"	"211"	"7"	"121"	"457"	"63"	"5"	"2"	"7"	"4"	"39"	"4"	"2"	"5"	"10"	"7"	"9"	"742"	"0"	"742"	"0"
"249"	"218"	"212"	"12"	"311"	"25"	"42"	"8"	"0"	"3"	"5"	"1"	"0"	"0"	"1"	"0"	"2"	"1"	"411"	"0"	"411"	"0"
"250"	"219"	"213"	"15"	"113"	"245"	"105"	"20"	"4"	"9"	"19"	"45"	"17"	"7"	"16"	"17"	"27"	"33"	"692"	"0"	"692"	"0"
"251"	"220"	"214"	"18"	"17"	"181"	"144"	"9"	"2"	"9"	"10"	"23"	"15"	"9"	"19"	"14"	"12"	"40"	"522"	"0"	"522"	"0"
"252"	"221"	"214A"	"9"	"8"	"168"	"77"	"13"	"3"	"34"	"4"	"16"	"10"	"5"	"5"	"13"	"11"	"22"	"398"	"0"	"398"	"0"
"253"	"222"	"215"	"15"	"6"	"8"	"499"	"12"	"5"	"3"	"15"	"3"	"1"	"0"	"4"	"3"	"2"	"18"	"594"	"0"	"594"	"0"
"254"	"223"	"216"	"16"	"1"	"2"	"481"	"7"	"1"	"3"	"8"	"1"	"0"	"3"	"12"	"2"	"6"	"12"	"555"	"0"	"555"	"0"
"255"	"er nku dsUnzksa i j vfHkfyf[ kr  er ksa dh
dqy  l a[ ; k"	""	"3162"	"40769"	"18461"	"44917"	"3667"	"901"	"669"	"2233"	"2240"	"960"	"781"	"1416"	"1229"	"1457"	"3242"	"126104"	"0"	"126104"	"0"
"256"	"Mkd  er i =ksa i j
vfHkfyf[ kr  er ksa dh l a[ ; k ¼l Hkk"	""	"0"	"4"	"5"	"21"	"1"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"35"	"0"	"35"	"0"
"257"	"Mkys x,  dqy  er"	""	"3162"	"40773"	"18466"	"44938"	"3668"	"902"	"669"	"2233"	"2243"	"960"	"781"	"1416"	"1229"	"1457"	"3242"	"126139"	"0"	"126139"	"0"
