"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"Form.20"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"174"	"Round-8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"91"	"13"	"247"	"31"	"267"	"6"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"4"	"5"	"3"	"2"	"5"	"586"
"176"	"92"	"11"	"135"	"63"	"260"	"8"	"1"	"2"	"1"	"0"	"2"	"0"	"2"	"9"	"5"	"2"	"6"	"5"	"512"
"177"	"93"	"4"	"385"	"38"	"79"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"1"	"1"	"2"	"516"
"178"	"94"	"9"	"365"	"39"	"203"	"5"	"0"	"4"	"7"	"2"	"0"	"1"	"1"	"3"	"1"	"8"	"2"	"9"	"659"
"179"	"95"	"1"	"252"	"62"	"141"	"3"	"1"	"1"	"1"	"0"	"1"	"2"	"1"	"1"	"2"	"3"	"2"	"2"	"476"
"180"	"96"	"10"	"121"	"20"	"223"	"4"	"2"	"2"	"0"	"0"	"3"	"1"	"6"	"11"	"9"	"5"	"9"	"3"	"429"
"181"	"97"	"11"	"354"	"18"	"66"	"5"	"3"	"4"	"3"	"1"	"0"	"3"	"5"	"0"	"5"	"6"	"2"	"5"	"491"
"182"	"98"	"10"	"377"	"87"	"223"	"4"	"2"	"2"	"3"	"1"	"1"	"3"	"7"	"11"	"12"	"6"	"11"	"0"	"760"
"183"	"99"	"8"	"151"	"18"	"366"	"6"	"3"	"6"	"0"	"0"	"0"	"0"	"1"	"4"	"4"	"3"	"4"	"3"	"577"
"184"	"99A"	"5"	"112"	"6"	"173"	"7"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"4"	"1"	"0"	"3"	"1"	"315"
"185"	"100"	"20"	"300"	"31"	"378"	"3"	"3"	"4"	"2"	"0"	"3"	"2"	"7"	"9"	"15"	"5"	"5"	"2"	"789"
"186"	"101"	"7"	"535"	"30"	"77"	"0"	"1"	"0"	"8"	"2"	"0"	"0"	"0"	"0"	"3"	"11"	"1"	"5"	"680"
"187"	"102"	"4"	"507"	"35"	"73"	"4"	"1"	"1"	"1"	"0"	"8"	"0"	"1"	"2"	"2"	"4"	"1"	"1"	"645"
"188"	"103"	"6"	"344"	"38"	"62"	"3"	"0"	"2"	"0"	"0"	"1"	"2"	"0"	"1"	"2"	"15"	"5"	"1"	"482"
"189"	""	"119"	"4185"	"516"	"2591"	"58"	"18"	"31"	"26"	"6"	"20"	"17"	"31"	"60"	"69"	"72"	"54"	"44"	"7917"
"190"	"Round-9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"104"	"14"	"601"	"29"	"101"	"4"	"1"	"2"	"3"	"0"	"6"	"3"	"2"	"1"	"5"	"18"	"15"	"10"	"815"
"192"	""	""	""	""	""	""	""	"Form 20"	""	""	""	""	""	""	""	""	""	""	""
"193"	""	""	""	""	""	""	""	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"194"	""	""	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 048---Forbesganj CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Form-20"	""
"196"	"Assembly Constituency :048---Forbesganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No of Voters :241677"	""	""
"197"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	""	""	""	""	""	""	""	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""
"199"	"Candidate Name"	"KAFIL AHMAD"	"PADAM PARAG ROY 'VENU'"	"PRAKASH CHOUDHARY"	"MAYA NAND THAKUR"	"SURESH PASWAN"	"CHAMPA LAL MANDAL"	"NARESH KUMAR THAKUR"	"PRADEEP YADAV"	"MANOJ SADA"	"MUKESH KUMAR SINGH"	"LALIT KUMAR BISHWAS"	"SHYAM SUNDAR SHARMA"	"SATYA NARAYAN WRITER"	"JITENDRA ROY"	"RAJA RAMAN BHASKAR"	"RAM KUMAR BHAGAT"	"SUBHASH CHAND JHA"	"Total"
"200"	"Booth No-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"202"	"105"	"9"	"531"	"26"	"90"	"1"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"5"	"5"	"6"	"12"	"4"	"700"
"203"	"106"	"11"	"325"	"14"	"158"	"3"	"4"	"4"	"4"	"1"	"4"	"1"	"4"	"3"	"11"	"5"	"15"	"2"	"569"
"204"	"107"	"16"	"532"	"15"	"242"	"7"	"0"	"5"	"3"	"1"	"6"	"1"	"7"	"7"	"11"	"14"	"13"	"6"	"886"
"205"	"108"	"31"	"171"	"17"	"338"	"6"	"1"	"7"	"1"	"2"	"1"	"0"	"1"	"5"	"6"	"1"	"4"	"12"	"604"
"206"	"109"	"9"	"3"	"140"	"231"	"9"	"1"	"4"	"4"	"1"	"2"	"1"	"3"	"10"	"11"	"8"	"8"	"11"	"456"
"207"	"109A"	"19"	"9"	"289"	"236"	"4"	"0"	"5"	"1"	"3"	"0"	"1"	"2"	"14"	"14"	"3"	"7"	"4"	"611"
"208"	"110"	"37"	"148"	"41"	"335"	"9"	"2"	"15"	"1"	"2"	"4"	"1"	"13"	"40"	"13"	"9"	"13"	"10"	"693"
"209"	"111"	"46"	"36"	"180"	"526"	"21"	"3"	"10"	"0"	"3"	"2"	"1"	"3"	"6"	"10"	"1"	"1"	"0"	"849"
"210"	"112"	"41"	"123"	"150"	"157"	"2"	"3"	"4"	"0"	"1"	"1"	"2"	"2"	"3"	"11"	"2"	"4"	"4"	"510"
"211"	"113"	"10"	"3"	"54"	"441"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"2"	"5"	"5"	"2"	"4"	"0"	"530"
"212"	"114"	"14"	"87"	"39"	"179"	"1"	"1"	"7"	"0"	"5"	"3"	"2"	"0"	"8"	"7"	"3"	"11"	"4"	"371"
"213"	"115"	"16"	"60"	"17"	"352"	"3"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"456"
"214"	"116"	"19"	"11"	"8"	"374"	"2"	"0"	"5"	"1"	"0"	"4"	"0"	"3"	"17"	"7"	"4"	"17"	"2"	"474"
"215"	""	"292"	"2640"	"1019"	"3760"	"73"	"20"	"70"	"21"	"21"	"37"	"14"	"44"	"125"	"117"	"76"	"124"	"71"	"8524"
"216"	"Round-10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"117"	"16"	"642"	"55"	"26"	"3"	"18"	"4"	"4"	"41"	"7"	"4"	"0"	"2"	"5"	"5"	"8"	"9"	"849"
"218"	"118"	"23"	"255"	"47"	"229"	"6"	"2"	"4"	"5"	"2"	"4"	"0"	"2"	"2"	"17"	"5"	"5"	"5"	"613"
"219"	"119"	"13"	"85"	"53"	"364"	"4"	"2"	"8"	"0"	"0"	"1"	"1"	"2"	"6"	"5"	"4"	"2"	"3"	"553"
"220"	"120"	"6"	"542"	"39"	"64"	"3"	"3"	"2"	"5"	"24"	"3"	"1"	"2"	"4"	"6"	"9"	"11"	"2"	"726"
"221"	"121"	"11"	"274"	"34"	"248"	"1"	"1"	"16"	"4"	"2"	"4"	"3"	"9"	"12"	"9"	"5"	"4"	"4"	"641"
"222"	"122"	"8"	"219"	"12"	"159"	"2"	"0"	"4"	"3"	"5"	"1"	"4"	"3"	"6"	"9"	"7"	"12"	"3"	"457"
"223"	"123"	"18"	"107"	"109"	"229"	"5"	"4"	"9"	"1"	"3"	"4"	"5"	"5"	"13"	"13"	"18"	"32"	"12"	"587"
"224"	""	""	""	""	""	""	""	"Form 20"	""	""	""	""	""	""	""	""	""	""	""
"225"	""	""	""	""	""	""	""	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"226"	""	""	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 048---Forbesganj CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Form-20"	""
"228"	"Assembly Constituency :048---Forbesganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No of Voters :241677"	""	""
"229"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	""	""	""	""	""	""	""	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""
"231"	"Candidate Name"	"KAFIL AHMAD"	"PADAM PARAG ROY 'VENU'"	"PRAKASH CHOUDHARY"	"MAYA NAND THAKUR"	"SURESH PASWAN"	"CHAMPA LAL MANDAL"	"NARESH KUMAR THAKUR"	"PRADEEP YADAV"	"MANOJ SADA"	"MUKESH KUMAR SINGH"	"LALIT KUMAR BISHWAS"	"SHYAM SUNDAR SHARMA"	"SATYA NARAYAN WRITER"	"JITENDRA ROY"	"RAJA RAMAN BHASKAR"	"RAM KUMAR BHAGAT"	"SUBHASH CHAND JHA"	"Total"
"232"	"Booth No-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"234"	"124"	"25"	"526"	"18"	"79"	"1"	"6"	"6"	"5"	"7"	"5"	"4"	"2"	"10"	"10"	"21"	"6"	"3"	"734"
"235"	"125"	"11"	"352"	"13"	"6"	"0"	"0"	"1"	"3"	"1"	"2"	"2"	"4"	"1"	"2"	"14"	"10"	"48"	"470"
"236"	"126"	"24"	"128"	"41"	"249"	"5"	"2"	"9"	"1"	"0"	"3"	"1"	"0"	"9"	"12"	"3"	"2"	"6"	"495"
"237"	"127"	"18"	"12"	"58"	"297"	"5"	"1"	"7"	"1"	"3"	"4"	"0"	"2"	"13"	"14"	"5"	"10"	"11"	"461"
"238"	"128"	"30"	"249"	"42"	"356"	"7"	"5"	"9"	"5"	"2"	"2"	"2"	"3"	"9"	"14"	"11"	"12"	"22"	"780"
"239"	"129"	"10"	"384"	"79"	"138"	"5"	"1"	"2"	"0"	"0"	"0"	"1"	"1"	"1"	"4"	"1"	"2"	"2"	"631"
"240"	"130"	"19"	"441"	"56"	"161"	"3"	"4"	"4"	"3"	"3"	"4"	"2"	"5"	"4"	"8"	"6"	"5"	"8"	"736"
"241"	""	"232"	"4216"	"656"	"2605"	"50"	"49"	"85"	"40"	"93"	"44"	"30"	"40"	"92"	"128"	"114"	"121"	"138"	"8733"
"242"	"Round-11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"131"	"38"	"579"	"60"	"123"	"5"	"8"	"19"	"3"	"2"	"0"	"7"	"4"	"6"	"8"	"20"	"11"	"35"	"928"
"244"	"132"	"12"	"172"	"61"	"100"	"0"	"4"	"6"	"3"	"3"	"2"	"0"	"2"	"8"	"9"	"8"	"23"	"5"	"418"
"245"	"133"	"10"	"362"	"173"	"13"	"2"	"2"	"3"	"3"	"1"	"3"	"1"	"6"	"6"	"6"	"14"	"5"	"12"	"622"
"246"	"134"	"8"	"273"	"31"	"81"	"2"	"2"	"3"	"2"	"0"	"0"	"0"	"1"	"1"	"2"	"5"	"4"	"2"	"417"
"247"	"134A"	"9"	"199"	"16"	"174"	"5"	"6"	"11"	"2"	"0"	"2"	"0"	"1"	"1"	"6"	"2"	"2"	"6"	"442"
"248"	"135"	"29"	"417"	"53"	"269"	"15"	"3"	"21"	"6"	"4"	"4"	"4"	"5"	"8"	"18"	"8"	"7"	"2"	"873"
"249"	"136"	"9"	"252"	"33"	"59"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"3"	"0"	"3"	"368"
"250"	"137"	"10"	"267"	"23"	"305"	"7"	"1"	"7"	"1"	"1"	"6"	"0"	"3"	"7"	"13"	"9"	"18"	"4"	"682"
"251"	"138"	"32"	"192"	"18"	"151"	"3"	"1"	"11"	"3"	"0"	"0"	"1"	"3"	"3"	"6"	"3"	"7"	"12"	"446"
"252"	"139"	"17"	"498"	"30"	"48"	"1"	"2"	"6"	"3"	"4"	"2"	"1"	"2"	"1"	"2"	"16"	"9"	"4"	"646"
"253"	"140"	"16"	"572"	"39"	"55"	"9"	"3"	"7"	"1"	"5"	"1"	"8"	"5"	"4"	"11"	"16"	"6"	"6"	"764"
"254"	"141"	"23"	"452"	"30"	"115"	"3"	"1"	"15"	"0"	"1"	"4"	"0"	"1"	"1"	"5"	"8"	"3"	"7"	"669"
"255"	"142"	"21"	"248"	"25"	"195"	"12"	"3"	"12"	"1"	"1"	"3"	"3"	"2"	"6"	"6"	"13"	"3"	"9"	"563"
"256"	""	""	""	""	""	""	""	"Form 20"	""	""	""	""	""	""	""	""	""	""	""
"257"	""	""	""	""	""	""	""	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"258"	""	""	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 048---Forbesganj CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Form-20"	""
"260"	"Assembly Constituency :048---Forbesganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No of Voters :241677"	""	""
"261"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	""	""	""	""	""	""	""	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""
"263"	"Candidate Name"	"KAFIL AHMAD"	"PADAM PARAG ROY 'VENU'"	"PRAKASH CHOUDHARY"	"MAYA NAND THAKUR"	"SURESH PASWAN"	"CHAMPA LAL MANDAL"	"NARESH KUMAR THAKUR"	"PRADEEP YADAV"	"MANOJ SADA"	"MUKESH KUMAR SINGH"	"LALIT KUMAR BISHWAS"	"SHYAM SUNDAR SHARMA"	"SATYA NARAYAN WRITER"	"JITENDRA ROY"	"RAJA RAMAN BHASKAR"	"RAM KUMAR BHAGAT"	"SUBHASH CHAND JHA"	"Total"
"264"	"Booth No-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"266"	"143"	"10"	"275"	"37"	"75"	"15"	"3"	"3"	"2"	"4"	"4"	"7"	"4"	"2"	"16"	"69"	"10"	"12"	"548"
"267"	""	"244"	"4758"	"629"	"1763"	"82"	"39"	"126"	"30"	"26"	"31"	"32"	"41"	"55"	"109"	"194"	"108"	"119"	"8386"
"268"	"Round-12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"144"	"16"	"297"	"28"	"149"	"13"	"2"	"8"	"1"	"0"	"2"	"2"	"5"	"13"	"12"	"15"	"14"	"19"	"596"
"270"	"145"	"23"	"304"	"25"	"228"	"7"	"3"	"5"	"4"	"4"	"2"	"2"	"1"	"5"	"9"	"15"	"8"	"23"	"668"
"271"	"146"	"11"	"399"	"27"	"125"	"3"	"2"	"3"	"2"	"0"	"1"	"0"	"4"	"2"	"5"	"13"	"7"	"6"	"610"
"272"	"147"	"13"	"519"	"28"	"42"	"6"	"4"	"1"	"1"	"3"	"3"	"11"	"4"	"0"	"7"	"19"	"15"	"2"	"678"
"273"	"148"	"23"	"45"	"24"	"398"	"7"	"2"	"7"	"2"	"1"	"2"	"6"	"0"	"1"	"1"	"2"	"9"	"7"	"537"
"274"	"149"	"10"	"134"	"21"	"255"	"6"	"3"	"7"	"86"	"3"	"4"	"2"	"3"	"4"	"12"	"4"	"6"	"13"	"573"
"275"	"150"	"32"	"7"	"33"	"416"	"9"	"5"	"15"	"4"	"3"	"2"	"3"	"4"	"9"	"5"	"3"	"8"	"7"	"565"
"276"	"151"	"21"	"509"	"23"	"45"	"0"	"0"	"2"	"1"	"0"	"2"	"2"	"0"	"0"	"2"	"6"	"7"	"3"	"623"
"277"	"152"	"10"	"398"	"39"	"159"	"11"	"6"	"6"	"4"	"5"	"6"	"5"	"3"	"8"	"15"	"13"	"27"	"10"	"725"
"278"	"153"	"3"	"121"	"6"	"136"	"9"	"2"	"2"	"0"	"1"	"0"	"1"	"2"	"7"	"5"	"5"	"4"	"7"	"311"
"279"	"154"	"5"	"174"	"17"	"82"	"8"	"9"	"2"	"2"	"75"	"2"	"1"	"0"	"0"	"0"	"2"	"1"	"3"	"383"
"280"	"155"	"15"	"297"	"35"	"178"	"24"	"3"	"5"	"2"	"7"	"1"	"2"	"4"	"7"	"10"	"10"	"10"	"35"	"645"
"281"	"156"	"8"	"285"	"8"	"81"	"2"	"0"	"2"	"1"	"0"	"2"	"1"	"0"	"2"	"1"	"5"	"1"	"4"	"403"
"282"	"157"	"26"	"499"	"16"	"14"	"1"	"2"	"3"	"4"	"7"	"2"	"2"	"1"	"2"	"5"	"20"	"11"	"25"	"640"
"283"	""	"216"	"3988"	"330"	"2308"	"106"	"43"	"68"	"114"	"109"	"31"	"40"	"31"	"60"	"89"	"132"	"128"	"164"	"7957"
"284"	"Round-13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"158"	"11"	"342"	"16"	"37"	"3"	"1"	"4"	"3"	"0"	"1"	"1"	"2"	"2"	"1"	"2"	"1"	"0"	"427"
"286"	"158A"	"14"	"459"	"22"	"16"	"1"	"3"	"1"	"1"	"2"	"2"	"1"	"2"	"0"	"5"	"8"	"3"	"20"	"560"
"287"	"159"	"8"	"213"	"16"	"152"	"7"	"4"	"6"	"4"	"3"	"1"	"0"	"2"	"8"	"5"	"3"	"10"	"0"	"442"
"288"	""	""	""	""	""	""	""	"Form 20"	""	""	""	""	""	""	""	""	""	""	""
"289"	""	""	""	""	""	""	""	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"290"	""	""	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 048---Forbesganj CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Form-20"	""
"292"	"Assembly Constituency :048---Forbesganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No of Voters :241677"	""	""
"293"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	""	""	""	""	""	""	""	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""
"295"	"Candidate Name"	"KAFIL AHMAD"	"PADAM PARAG ROY 'VENU'"	"PRAKASH CHOUDHARY"	"MAYA NAND THAKUR"	"SURESH PASWAN"	"CHAMPA LAL MANDAL"	"NARESH KUMAR THAKUR"	"PRADEEP YADAV"	"MANOJ SADA"	"MUKESH KUMAR SINGH"	"LALIT KUMAR BISHWAS"	"SHYAM SUNDAR SHARMA"	"SATYA NARAYAN WRITER"	"JITENDRA ROY"	"RAJA RAMAN BHASKAR"	"RAM KUMAR BHAGAT"	"SUBHASH CHAND JHA"	"Total"
"296"	"Booth No-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"298"	"159A"	"14"	"288"	"11"	"69"	"4"	"2"	"3"	"2"	"5"	"1"	"0"	"2"	"2"	"4"	"2"	"2"	"7"	"418"
"299"	"160"	"18"	"328"	"94"	"375"	"6"	"3"	"7"	"3"	"6"	"2"	"4"	"6"	"9"	"15"	"9"	"7"	"27"	"919"
"300"	"161"	"13"	"432"	"45"	"195"	"6"	"3"	"13"	"5"	"1"	"9"	"3"	"5"	"8"	"14"	"11"	"16"	"9"	"788"
"301"	"162"	"15"	"496"	"18"	"38"	"6"	"1"	"3"	"2"	"5"	"1"	"2"	"1"	"4"	"4"	"9"	"13"	"6"	"624"
"302"	"163"	"9"	"310"	"15"	"157"	"5"	"3"	"3"	"0"	"0"	"1"	"0"	"3"	"1"	"3"	"2"	"4"	"3"	"519"
"303"	"163A"	"5"	"117"	"5"	"279"	"4"	"1"	"4"	"2"	"0"	"0"	"1"	"0"	"3"	"1"	"2"	"2"	"2"	"428"
"304"	"164"	"17"	"363"	"34"	"193"	"5"	"1"	"3"	"1"	"0"	"2"	"2"	"3"	"3"	"11"	"3"	"2"	"9"	"652"
"305"	"165"	"16"	"379"	"19"	"184"	"4"	"8"	"11"	"7"	"1"	"4"	"2"	"3"	"5"	"21"	"13"	"15"	"19"	"711"
"306"	"166"	"17"	"475"	"12"	"300"	"3"	"1"	"7"	"1"	"1"	"1"	"2"	"2"	"6"	"4"	"2"	"7"	"4"	"845"
"307"	"167"	"14"	"416"	"16"	"182"	"5"	"3"	"10"	"3"	"1"	"0"	"0"	"3"	"1"	"12"	"8"	"2"	"6"	"682"
"308"	"168"	"9"	"56"	"7"	"190"	"5"	"0"	"2"	"1"	"2"	"0"	"0"	"7"	"14"	"9"	"5"	"6"	"15"	"328"
"309"	""	"180"	"4674"	"330"	"2367"	"64"	"34"	"77"	"35"	"27"	"25"	"18"	"41"	"66"	"109"	"79"	"90"	"127"	"8343"
"310"	"Round-14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"169"	"29"	"542"	"26"	"46"	"2"	"3"	"6"	"2"	"1"	"2"	"4"	"1"	"4"	"13"	"16"	"5"	"6"	"708"
"312"	"170"	"17"	"385"	"24"	"119"	"11"	"12"	"9"	"1"	"7"	"4"	"3"	"4"	"3"	"7"	"2"	"2"	"2"	"612"
"313"	"171"	"16"	"390"	"19"	"171"	"4"	"5"	"7"	"2"	"2"	"0"	"2"	"4"	"6"	"4"	"4"	"2"	"7"	"645"
"314"	"172"	"15"	"183"	"31"	"106"	"1"	"1"	"3"	"3"	"1"	"0"	"1"	"1"	"11"	"9"	"7"	"9"	"8"	"390"
"315"	"173"	"6"	"91"	"13"	"179"	"5"	"2"	"4"	"1"	"0"	"1"	"1"	"1"	"8"	"5"	"4"	"2"	"9"	"332"
"316"	"174"	"15"	"488"	"33"	"116"	"8"	"2"	"3"	"7"	"3"	"3"	"4"	"1"	"5"	"6"	"4"	"1"	"4"	"703"
"317"	"175"	"27"	"13"	"8"	"395"	"7"	"3"	"6"	"2"	"3"	"5"	"1"	"4"	"28"	"12"	"6"	"9"	"5"	"534"
"318"	"176"	"10"	"269"	"13"	"106"	"5"	"1"	"2"	"2"	"4"	"1"	"0"	"4"	"3"	"5"	"6"	"9"	"2"	"442"
"319"	"177"	"34"	"333"	"24"	"175"	"8"	"10"	"4"	"4"	"4"	"8"	"4"	"8"	"13"	"11"	"25"	"42"	"7"	"714"
"320"	""	""	""	""	""	""	""	"Form 20"	""	""	""	""	""	""	""	""	""	""	""
"321"	""	""	""	""	""	""	""	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"322"	""	""	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 048---Forbesganj CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Form-20"	""
"324"	"Assembly Constituency :048---Forbesganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No of Voters :241677"	""	""
"325"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	""	""	""	""	""	""	""	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""
"327"	"Candidate Name"	"KAFIL AHMAD"	"PADAM PARAG ROY 'VENU'"	"PRAKASH CHOUDHARY"	"MAYA NAND THAKUR"	"SURESH PASWAN"	"CHAMPA LAL MANDAL"	"NARESH KUMAR THAKUR"	"PRADEEP YADAV"	"MANOJ SADA"	"MUKESH KUMAR SINGH"	"LALIT KUMAR BISHWAS"	"SHYAM SUNDAR SHARMA"	"SATYA NARAYAN WRITER"	"JITENDRA ROY"	"RAJA RAMAN BHASKAR"	"RAM KUMAR BHAGAT"	"SUBHASH CHAND JHA"	"Total"
"328"	"Booth No-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"330"	"178"	"14"	"327"	"35"	"160"	"2"	"1"	"5"	"1"	"1"	"1"	"2"	"5"	"17"	"8"	"22"	"15"	"22"	"638"
"331"	"179"	"15"	"143"	"10"	"125"	"4"	"1"	"7"	"1"	"2"	"2"	"0"	"2"	"3"	"1"	"3"	"4"	"7"	"330"
"332"	"180"	"14"	"304"	"17"	"237"	"10"	"17"	"9"	"4"	"3"	"7"	"3"	"12"	"26"	"17"	"13"	"21"	"28"	"742"
"333"	"181"	"27"	"483"	"21"	"25"	"4"	"7"	"1"	"1"	"0"	"2"	"1"	"1"	"2"	"5"	"11"	"0"	"5"	"596"
"334"	"182"	"5"	"196"	"27"	"87"	"2"	"1"	"5"	"3"	"0"	"0"	"0"	"1"	"2"	"2"	"5"	"6"	"5"	"347"
"335"	""	"244"	"4147"	"301"	"2047"	"73"	"66"	"71"	"34"	"31"	"36"	"26"	"49"	"131"	"105"	"128"	"127"	"117"	"7733"
"336"	"Round-15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"337"	"183"	"30"	"644"	"27"	"138"	"7"	"2"	"11"	"5"	"5"	"5"	"3"	"2"	"3"	"7"	"9"	"11"	"6"	"915"
"338"	"184"	"31"	"252"	"11"	"327"	"2"	"4"	"13"	"5"	"2"	"2"	"1"	"5"	"21"	"17"	"15"	"15"	"9"	"732"
"339"	"185"	"9"	"319"	"13"	"115"	"19"	"0"	"3"	"1"	"0"	"1"	"0"	"0"	"2"	"4"	"4"	"2"	"4"	"496"
"340"	"186"	"16"	"445"	"20"	"196"	"9"	"1"	"7"	"0"	"2"	"3"	"5"	"2"	"6"	"6"	"21"	"26"	"9"	"774"
"341"	"187"	"28"	"417"	"14"	"276"	"10"	"1"	"5"	"0"	"0"	"2"	"0"	"2"	"5"	"5"	"14"	"8"	"9"	"796"
"342"	"188"	"16"	"6"	"16"	"663"	"12"	"0"	"6"	"0"	"0"	"0"	"0"	"4"	"15"	"10"	"1"	"4"	"2"	"755"
"343"	"189"	"2"	"10"	"3"	"340"	"6"	"2"	"1"	"0"	"0"	"0"	"0"	"3"	"3"	"2"	"0"	"1"	"1"	"374"
"344"	"190"	"7"	"36"	"19"	"761"	"10"	"3"	"7"	"2"	"0"	"0"	"0"	"3"	"6"	"7"	"4"	"2"	"1"	"868"
"345"	"191"	"11"	"138"	"7"	"295"	"10"	"2"	"9"	"1"	"2"	"2"	"1"	"6"	"8"	"8"	"10"	"5"	"8"	"523"
"346"	"191A"	"24"	"62"	"9"	"235"	"13"	"6"	"10"	"3"	"0"	"3"	"2"	"7"	"5"	"10"	"3"	"1"	"14"	"407"
"347"	"192"	"43"	"78"	"10"	"546"	"20"	"5"	"12"	"4"	"1"	"2"	"2"	"14"	"15"	"13"	"4"	"14"	"31"	"814"
