"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X261312.83.261395.39.Phulparas"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"123"	"B.F."	"1293"	"12411"	"742"	"1495"	"6330"	"2777"	"3391"	"670"	"320"	"4582"	"565"	"348"	"425"	"297"	"571"	"3588"	"575"	"3315"	"244"	"436"	"44375"	"0"	"44375"	"0"
"124"	"82"	"33"	"356"	"8"	"10"	"11"	"1"	"7"	"0"	"1"	"1"	"2"	"2"	"4"	"0"	"5"	"89"	"8"	"50"	"1"	"6"	"595"	""	"595"	""
"125"	"83"	"13"	"266"	"13"	"8"	"13"	"3"	"5"	"2"	"2"	"3"	"0"	"3"	"1"	"2"	"9"	"70"	"7"	"45"	"1"	"9"	"475"	""	"475"	""
"126"	"84"	"11"	"270"	"3"	"17"	"7"	"1"	"4"	"4"	"0"	"10"	"1"	"5"	"1"	"5"	"7"	"99"	"7"	"9"	"0"	"4"	"465"	""	"465"	""
"127"	"85"	"6"	"179"	"6"	"7"	"12"	"3"	"2"	"2"	"3"	"5"	"7"	"4"	"1"	"4"	"6"	"37"	"7"	"113"	"5"	"7"	"416"	""	"416"	""
"128"	"86"	"11"	"245"	"3"	"5"	"24"	"4"	"5"	"0"	"2"	"10"	"7"	"4"	"3"	"4"	"5"	"13"	"4"	"139"	"5"	"4"	"497"	""	"497"	""
"129"	"87"	"11"	"166"	"5"	"7"	"8"	"2"	"13"	"1"	"2"	"6"	"4"	"4"	"3"	"4"	"10"	"10"	"18"	"182"	"7"	"7"	"470"	""	"470"	""
"130"	"88"	"6"	"147"	"50"	"15"	"123"	"6"	"8"	"2"	"3"	"26"	"2"	"5"	"3"	"2"	"3"	"37"	"5"	"21"	"1"	"7"	"472"	""	"472"	""
"131"	"89"	"4"	"79"	"11"	"12"	"67"	"3"	"7"	"2"	"2"	"39"	"4"	"3"	"3"	"7"	"30"	"22"	"5"	"146"	"4"	"8"	"458"	""	"458"	""
"132"	"90"	"4"	"36"	"2"	"11"	"15"	"4"	"3"	"0"	"1"	"4"	"3"	"1"	"4"	"5"	"20"	"9"	"6"	"150"	"8"	"5"	"291"	""	"291"	""
"133"	"91"	"23"	"161"	"8"	"7"	"215"	"9"	"63"	"4"	"3"	"11"	"1"	"6"	"0"	"3"	"3"	"5"	"6"	"86"	"4"	"8"	"626"	""	"626"	""
"134"	"92"	"3"	"96"	"8"	"14"	"54"	"3"	"15"	"0"	"2"	"5"	"5"	"7"	"2"	"8"	"11"	"16"	"7"	"193"	"7"	"4"	"460"	""	"460"	""
"135"	"93"	"22"	"367"	"3"	"11"	"18"	"1"	"16"	"0"	"0"	"8"	"5"	"2"	"2"	"2"	"9"	"140"	"11"	"51"	"7"	"5"	"680"	""	"680"	""
"136"	"94"	"21"	"379"	"8"	"12"	"4"	"3"	"2"	"2"	"2"	"0"	"3"	"4"	"1"	"1"	"4"	"15"	"15"	"24"	"4"	"25"	"529"	""	"529"	""
"137"	"95"	"22"	"105"	"329"	"15"	"84"	"1"	"4"	"6"	"11"	"2"	"0"	"1"	"2"	"6"	"4"	"90"	"2"	"6"	"1"	"1"	"692"	""	"692"	""
"138"	"Total -7"	"190"	"2852"	"457"	"151"	"655"	"44"	"154"	"25"	"34"	"130"	"44"	"51"	"30"	"53"	"126"	"652"	"108"	"1215"	"55"	"100"	"7126"	"0"	"7126"	"0"
"139"	""	""	""	""	""	""	"261312+83=261395
39-Phulparas"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"141"	""	"Anita Yadav"	"Guljar Devi"	"Gauri Shankar Yadav"	"Vikram Shila Devi"	"Virendra Kumar Chaudhary"	"Hitendra Narayan Thakur"	"Upendra Kumar Yadav"	"Md. Ainul"	"Chandra Shekhar Suman"	"Ram Kumar Yadav"	"Laleshwar Prasad Singh"	"Shekharjee Mishra"	"Ganga Prasad Yadav"	"Deo Nath Deon"	"Babue Lal Yadav"	"Bharat Bhushan Mandal"	"Mrityunjay Yadav"	"Ram Narayan Mandal"	"Vijay Kumar Jha"	"Satya Narayan Agrawal"	""	""	""	""
"142"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"143"	"B.F."	"1483"	"15263"	"1199"	"1646"	"6985"	"2821"	"3545"	"695"	"354"	"4712"	"609"	"399"	"455"	"350"	"697"	"4240"	"683"	"4530"	"299"	"536"	"51501"	"0"	"51501"	"0"
"144"	"96"	"19"	"47"	"71"	"8"	"203"	"12"	"10"	"3"	"5"	"12"	"2"	"3"	"5"	"7"	"2"	"14"	"7"	"6"	"6"	"2"	"444"	""	"444"	""
"145"	"97"	"11"	"38"	"51"	"12"	"262"	"5"	"3"	"2"	"2"	"10"	"5"	"6"	"3"	"7"	"10"	"16"	"4"	"4"	"0"	"2"	"453"	""	"453"	""
"146"	"98"	"28"	"103"	"18"	"13"	"144"	"10"	"6"	"4"	"3"	"23"	"185"	"6"	"2"	"2"	"4"	"11"	"7"	"4"	"4"	"5"	"582"	""	"582"	""
"147"	"99"	"11"	"194"	"8"	"24"	"23"	"4"	"2"	"2"	"3"	"11"	"91"	"5"	"2"	"4"	"7"	"6"	"2"	"53"	"6"	"8"	"466"	""	"466"	""
"148"	"100"	"0"	"5"	"4"	"20"	"40"	"1"	"1"	"0"	"1"	"4"	"2"	"1"	"1"	"1"	"4"	"2"	"2"	"436"	"5"	"2"	"532"	""	"532"	""
"149"	"101"	"12"	"184"	"11"	"23"	"262"	"6"	"8"	"3"	"6"	"34"	"8"	"6"	"3"	"9"	"11"	"32"	"8"	"110"	"4"	"10"	"750"	""	"750"	""
"150"	"102"	"20"	"129"	"4"	"15"	"44"	"2"	"4"	"2"	"6"	"12"	"59"	"5"	"2"	"7"	"6"	"3"	"8"	"205"	"8"	"8"	"549"	""	"549"	""
"151"	"103"	"7"	"307"	"10"	"13"	"67"	"3"	"7"	"3"	"5"	"39"	"183"	"14"	"3"	"14"	"20"	"25"	"2"	"74"	"2"	"2"	"800"	""	"800"	""
"152"	"104"	"11"	"170"	"7"	"9"	"60"	"6"	"2"	"5"	"5"	"15"	"131"	"8"	"8"	"6"	"4"	"55"	"6"	"3"	"1"	"4"	"516"	""	"516"	""
"153"	"105"	"13"	"192"	"3"	"2"	"16"	"1"	"1"	"3"	"0"	"6"	"7"	"8"	"5"	"7"	"12"	"134"	"5"	"8"	"3"	"0"	"426"	""	"426"	""
"154"	"106"	"15"	"435"	"15"	"11"	"66"	"2"	"38"	"8"	"9"	"113"	"13"	"7"	"4"	"3"	"3"	"6"	"1"	"1"	"1"	"0"	"751"	""	"751"	""
"155"	"107"	"1"	"68"	"2"	"18"	"100"	"2"	"2"	"1"	"3"	"5"	"1"	"1"	"2"	"4"	"3"	"2"	"2"	"96"	"0"	"0"	"313"	""	"313"	""
"156"	"108"	"9"	"148"	"1"	"26"	"144"	"3"	"6"	"2"	"30"	"5"	"8"	"1"	"2"	"0"	"2"	"3"	"1"	"7"	"1"	"2"	"401"	""	"401"	""
"157"	"109"	"24"	"13"	"7"	"12"	"186"	"37"	"31"	"5"	"1"	"3"	"2"	"2"	"3"	"4"	"4"	"7"	"6"	"99"	"1"	"27"	"474"	""	"474"	""
"158"	"Total -8"	"181"	"2033"	"212"	"206"	"1617"	"94"	"121"	"43"	"79"	"292"	"697"	"73"	"45"	"75"	"92"	"316"	"61"	"1106"	"42"	"72"	"7457"	"0"	"7457"	"0"
"159"	""	""	""	""	""	""	"261312+83=261395
39-Phulparas"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"161"	""	"Anita Yadav"	"Guljar Devi"	"Gauri Shankar Yadav"	"Vikram Shila Devi"	"Virendra Kumar Chaudhary"	"Hitendra Narayan Thakur"	"Upendra Kumar Yadav"	"Md. Ainul"	"Chandra Shekhar Suman"	"Ram Kumar Yadav"	"Laleshwar Prasad Singh"	"Shekharjee Mishra"	"Ganga Prasad Yadav"	"Deo Nath Deon"	"Babue Lal Yadav"	"Bharat Bhushan Mandal"	"Mrityunjay Yadav"	"Ram Narayan Mandal"	"Vijay Kumar Jha"	"Satya Narayan Agrawal"	""	""	""	""
"162"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"163"	"B.F."	"1664"	"17296"	"1411"	"1852"	"8602"	"2915"	"3666"	"738"	"433"	"5004"	"1306"	"472"	"500"	"425"	"789"	"4556"	"744"	"5636"	"341"	"608"	"58958"	"0"	"58958"	"0"
"164"	"110"	"4"	"55"	"1"	"5"	"97"	"8"	"19"	"9"	"1"	"6"	"4"	"2"	"6"	"2"	"3"	"6"	"3"	"24"	"0"	"3"	"258"	""	"258"	""
"165"	"111"	"16"	"38"	"9"	"5"	"145"	"12"	"22"	"3"	"1"	"23"	"8"	"0"	"1"	"1"	"1"	"7"	"8"	"72"	"4"	"22"	"398"	""	"398"	""
"166"	"112"	"14"	"181"	"4"	"11"	"40"	"2"	"2"	"3"	"2"	"8"	"100"	"8"	"2"	"2"	"8"	"5"	"8"	"197"	"5"	"6"	"608"	""	"608"	""
"167"	"113"	"13"	"187"	"8"	"10"	"239"	"6"	"21"	"4"	"3"	"49"	"4"	"6"	"1"	"9"	"9"	"4"	"19"	"15"	"3"	"1"	"611"	""	"611"	""
"168"	"114"	"27"	"142"	"3"	"15"	"19"	"161"	"7"	"1"	"1"	"8"	"2"	"1"	"3"	"1"	"2"	"0"	"6"	"20"	"2"	"5"	"426"	""	"426"	""
"169"	"115"	"15"	"223"	"1"	"6"	"8"	"149"	"7"	"4"	"1"	"6"	"3"	"3"	"1"	"4"	"2"	"2"	"2"	"6"	"1"	"0"	"444"	""	"444"	""
"170"	"116"	"10"	"61"	"6"	"8"	"212"	"4"	"10"	"0"	"0"	"7"	"5"	"5"	"3"	"20"	"7"	"3"	"10"	"103"	"1"	"10"	"485"	""	"485"	""
"171"	"117"	"9"	"194"	"6"	"8"	"16"	"9"	"13"	"80"	"6"	"9"	"20"	"5"	"0"	"5"	"5"	"5"	"6"	"37"	"5"	"11"	"449"	""	"449"	""
"172"	"118"	"10"	"145"	"2"	"6"	"54"	"2"	"0"	"6"	"1"	"1"	"4"	"4"	"0"	"2"	"4"	"1"	"7"	"215"	"7"	"3"	"474"	""	"474"	""
"173"	"119"	"7"	"39"	"2"	"10"	"100"	"9"	"8"	"6"	"8"	"6"	"13"	"8"	"9"	"12"	"20"	"22"	"5"	"212"	"10"	"5"	"511"	""	"511"	""
"174"	"120"	"78"	"259"	"7"	"21"	"17"	"170"	"43"	"3"	"1"	"3"	"4"	"0"	"3"	"2"	"3"	"2"	"1"	"20"	"1"	"0"	"638"	""	"638"	""
"175"	"121"	"62"	"82"	"0"	"3"	"12"	"126"	"20"	"0"	"0"	"1"	"2"	"7"	"1"	"1"	"3"	"0"	"1"	"14"	"2"	"0"	"337"	""	"337"	""
"176"	"122"	"66"	"194"	"8"	"8"	"33"	"26"	"7"	"0"	"2"	"2"	"10"	"9"	"5"	"5"	"15"	"10"	"3"	"18"	"4"	"2"	"427"	""	"427"	""
"177"	"123"	"93"	"90"	"3"	"2"	"4"	"138"	"23"	"2"	"0"	"5"	"4"	"2"	"1"	"3"	"1"	"4"	"6"	"17"	"1"	"2"	"401"	""	"401"	""
"178"	"Total -9"	"424"	"1890"	"60"	"118"	"996"	"822"	"202"	"121"	"27"	"134"	"183"	"60"	"36"	"69"	"83"	"71"	"85"	"970"	"46"	"70"	"6467"	"0"	"6467"	"0"
"179"	""	""	""	""	""	""	"261312+83=261395
39-Phulparas"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"181"	""	"Anita Yadav"	"Guljar Devi"	"Gauri Shankar Yadav"	"Vikram Shila Devi"	"Virendra Kumar Chaudhary"	"Hitendra Narayan Thakur"	"Upendra Kumar Yadav"	"Md. Ainul"	"Chandra Shekhar Suman"	"Ram Kumar Yadav"	"Laleshwar Prasad Singh"	"Shekharjee Mishra"	"Ganga Prasad Yadav"	"Deo Nath Deon"	"Babue Lal Yadav"	"Bharat Bhushan Mandal"	"Mrityunjay Yadav"	"Ram Narayan Mandal"	"Vijay Kumar Jha"	"Satya Narayan Agrawal"	""	""	""	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"183"	"B.F."	"2088"	"19186"	"1471"	"1970"	"9598"	"3737"	"3868"	"859"	"460"	"5138"	"1489"	"532"	"536"	"494"	"872"	"4627"	"829"	"6606"	"387"	"678"	"65425"	"0"	"65425"	"0"
"184"	"124"	"28"	"227"	"10"	"12"	"15"	"116"	"22"	"2"	"1"	"9"	"3"	"5"	"10"	"4"	"3"	"7"	"10"	"29"	"4"	"1"	"518"	""	"518"	""
"185"	"125"	"48"	"361"	"6"	"21"	"15"	"102"	"12"	"6"	"2"	"10"	"10"	"9"	"1"	"4"	"17"	"20"	"6"	"31"	"8"	"11"	"700"	""	"700"	""
"186"	"126"	"13"	"387"	"6"	"18"	"102"	"8"	"24"	"2"	"2"	"18"	"13"	"6"	"0"	"7"	"8"	"20"	"1"	"72"	"3"	"9"	"719"	""	"719"	""
"187"	"127"	"15"	"253"	"15"	"15"	"262"	"15"	"13"	"7"	"4"	"15"	"11"	"8"	"16"	"9"	"11"	"41"	"14"	"12"	"9"	"16"	"761"	""	"761"	""
"188"	"128"	"22"	"345"	"14"	"8"	"63"	"3"	"8"	"15"	"1"	"5"	"3"	"2"	"6"	"3"	"6"	"26"	"8"	"23"	"5"	"8"	"574"	""	"574"	""
"189"	"129"	"1"	"43"	"8"	"27"	"212"	"1"	"30"	"1"	"1"	"39"	"1"	"0"	"10"	"1"	"3"	"4"	"1"	"15"	"0"	"1"	"399"	""	"399"	""
"190"	"129A"	"1"	"26"	"0"	"11"	"227"	"7"	"16"	"2"	"0"	"19"	"2"	"1"	"8"	"0"	"6"	"13"	"0"	"35"	"1"	"1"	"376"	""	"376"	""
"191"	"130"	"25"	"170"	"9"	"33"	"145"	"61"	"102"	"38"	"3"	"12"	"5"	"5"	"11"	"8"	"2"	"62"	"11"	"9"	"4"	"13"	"728"	""	"728"	""
"192"	"131"	"19"	"105"	"7"	"5"	"85"	"63"	"29"	"1"	"4"	"3"	"3"	"6"	"3"	"4"	"4"	"6"	"7"	"7"	"0"	"10"	"371"	""	"371"	""
"193"	"132"	"15"	"48"	"11"	"13"	"242"	"8"	"58"	"4"	"4"	"21"	"7"	"6"	"2"	"12"	"6"	"13"	"0"	"2"	"0"	"0"	"472"	""	"472"	""
"194"	"133"	"5"	"43"	"2"	"8"	"229"	"2"	"36"	"2"	"1"	"19"	"4"	"3"	"3"	"0"	"1"	"5"	"3"	"2"	"0"	"2"	"370"	""	"370"	""
"195"	"134"	"22"	"196"	"6"	"14"	"69"	"34"	"91"	"2"	"7"	"9"	"34"	"14"	"7"	"5"	"14"	"29"	"10"	"3"	"4"	"3"	"573"	""	"573"	""
"196"	"135"	"22"	"214"	"14"	"18"	"120"	"9"	"36"	"7"	"3"	"6"	"9"	"4"	"5"	"2"	"5"	"10"	"4"	"53"	"1"	"2"	"544"	""	"544"	""
"197"	"136"	"11"	"203"	"8"	"7"	"80"	"3"	"4"	"2"	"3"	"4"	"4"	"4"	"4"	"1"	"6"	"12"	"2"	"45"	"2"	"2"	"407"	""	"407"	""
"198"	"Total -10"	"247"	"2621"	"116"	"210"	"1866"	"432"	"481"	"91"	"36"	"189"	"109"	"73"	"86"	"60"	"92"	"268"	"77"	"338"	"41"	"79"	"7512"	"0"	"7512"	"0"
"199"	""	""	""	""	""	""	"261312+83=261395
39-Phulparas"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"201"	""	"Anita Yadav"	"Guljar Devi"	"Gauri Shankar Yadav"	"Vikram Shila Devi"	"Virendra Kumar Chaudhary"	"Hitendra Narayan Thakur"	"Upendra Kumar Yadav"	"Md. Ainul"	"Chandra Shekhar Suman"	"Ram Kumar Yadav"	"Laleshwar Prasad Singh"	"Shekharjee Mishra"	"Ganga Prasad Yadav"	"Deo Nath Deon"	"Babue Lal Yadav"	"Bharat Bhushan Mandal"	"Mrityunjay Yadav"	"Ram Narayan Mandal"	"Vijay Kumar Jha"	"Satya Narayan Agrawal"	""	""	""	""
"202"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"203"	"B.F."	"2335"	"21807"	"1587"	"2180"	"11464"	"4169"	"4349"	"950"	"496"	"5327"	"1598"	"605"	"622"	"554"	"964"	"4895"	"906"	"6944"	"428"	"757"	"72937"	"0"	"72937"	"0"
"204"	"137"	"16"	"340"	"8"	"23"	"96"	"36"	"37"	"8"	"7"	"9"	"7"	"9"	"15"	"4"	"6"	"69"	"1"	"1"	"1"	"4"	"697"	""	"697"	""
"205"	"138"	"5"	"27"	"11"	"2"	"10"	"27"	"26"	"3"	"0"	"4"	"6"	"4"	"291"	"3"	"0"	"0"	"1"	"0"	"1"	"1"	"422"	""	"422"	""
"206"	"139"	"5"	"49"	"4"	"21"	"233"	"12"	"18"	"0"	"1"	"7"	"3"	"10"	"2"	"10"	"3"	"3"	"14"	"9"	"2"	"1"	"407"	""	"407"	""
"207"	"140"	"29"	"199"	"21"	"16"	"253"	"9"	"9"	"2"	"4"	"8"	"1"	"3"	"3"	"5"	"12"	"8"	"22"	"15"	"5"	"10"	"634"	""	"634"	""
"208"	"141"	"21"	"299"	"11"	"11"	"3"	"3"	"23"	"11"	"5"	"44"	"150"	"3"	"5"	"2"	"5"	"128"	"11"	"9"	"5"	"11"	"760"	""	"760"	""
"209"	"142"	"25"	"33"	"1"	"22"	"132"	"94"	"10"	"1"	"1"	"11"	"5"	"2"	"0"	"1"	"1"	"2"	"3"	"0"	"0"	"1"	"345"	""	"345"	""
"210"	"143"	"16"	"278"	"7"	"10"	"97"	"10"	"4"	"7"	"6"	"15"	"8"	"8"	"6"	"8"	"16"	"30"	"7"	"19"	"1"	"4"	"557"	""	"557"	""
"211"	"144"	"18"	"168"	"14"	"14"	"187"	"10"	"11"	"3"	"8"	"3"	"9"	"8"	"4"	"5"	"9"	"19"	"5"	"10"	"5"	"12"	"522"	""	"522"	""
"212"	"145"	"25"	"129"	"2"	"8"	"13"	"87"	"4"	"0"	"0"	"7"	"7"	"3"	"0"	"0"	"2"	"8"	"4"	"5"	"2"	"21"	"327"	""	"327"	""
"213"	"145A"	"19"	"64"	"4"	"11"	"149"	"11"	"15"	"5"	"6"	"11"	"3"	"4"	"4"	"3"	"4"	"10"	"2"	"1"	"0"	"4"	"330"	""	"330"	""
"214"	"146"	"9"	"113"	"3"	"10"	"75"	"12"	"26"	"2"	"0"	"4"	"1"	"3"	"0"	"1"	"1"	"4"	"2"	"39"	"4"	"6"	"315"	""	"315"	""
"215"	"147"	"14"	"51"	"3"	"2"	"159"	"2"	"5"	"7"	"3"	"23"	"2"	"4"	"2"	"5"	"3"	"20"	"4"	"3"	"0"	"0"	"312"	""	"312"	""
"216"	"148"	"14"	"103"	"2"	"31"	"31"	"8"	"58"	"9"	"2"	"66"	"44"	"4"	"0"	"6"	"10"	"13"	"4"	"2"	"4"	"17"	"428"	""	"428"	""
"217"	"149"	"13"	"27"	"12"	"77"	"195"	"10"	"12"	"5"	"3"	"6"	"7"	"16"	"5"	"5"	"3"	"31"	"9"	"2"	"2"	"7"	"447"	""	"447"	""
"218"	"Total -11"	"229"	"1880"	"103"	"258"	"1633"	"331"	"258"	"63"	"46"	"218"	"253"	"81"	"337"	"58"	"75"	"345"	"89"	"115"	"32"	"99"	"6503"	"0"	"6503"	"0"
"219"	""	""	""	""	""	""	"261312+83=261395
39-Phulparas"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"221"	""	"Anita Yadav"	"Guljar Devi"	"Gauri Shankar Yadav"	"Vikram Shila Devi"	"Virendra Kumar Chaudhary"	"Hitendra Narayan Thakur"	"Upendra Kumar Yadav"	"Md. Ainul"	"Chandra Shekhar Suman"	"Ram Kumar Yadav"	"Laleshwar Prasad Singh"	"Shekharjee Mishra"	"Ganga Prasad Yadav"	"Deo Nath Deon"	"Babue Lal Yadav"	"Bharat Bhushan Mandal"	"Mrityunjay Yadav"	"Ram Narayan Mandal"	"Vijay Kumar Jha"	"Satya Narayan Agrawal"	""	""	""	""
"222"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"223"	"B.F."	"2564"	"23687"	"1690"	"2438"	"13097"	"4500"	"4607"	"1013"	"542"	"5545"	"1851"	"686"	"959"	"612"	"1039"	"5240"	"995"	"7059"	"460"	"856"	"79440"	"0"	"79440"	"0"
"224"	"150"	"14"	"19"	"5"	"17"	"703"	"4"	"4"	"0"	"0"	"1"	"12"	"0"	"0"	"6"	"0"	"8"	"3"	"6"	"0"	"3"	"805"	""	"805"	""
"225"	"151"	"34"	"193"	"8"	"17"	"115"	"2"	"3"	"6"	"3"	"9"	"2"	"6"	"1"	"2"	"4"	"4"	"7"	"12"	"2"	"8"	"438"	""	"438"	""
"226"	"152"	"22"	"118"	"6"	"8"	"41"	"1"	"13"	"23"	"1"	"6"	"3"	"5"	"3"	"0"	"2"	"5"	"1"	"3"	"2"	"10"	"273"	""	"273"	""
"227"	"153"	"59"	"54"	"1"	"7"	"185"	"3"	"9"	"3"	"1"	"11"	"0"	"3"	"8"	"6"	"12"	"3"	"10"	"11"	"3"	"5"	"394"	""	"394"	""
"228"	"154"	"223"	"65"	"5"	"3"	"121"	"2"	"4"	"1"	"1"	"2"	"1"	"1"	"1"	"5"	"4"	"4"	"13"	"3"	"0"	"3"	"462"	""	"462"	""
"229"	"155"	"28"	"109"	"6"	"18"	"173"	"11"	"36"	"6"	"2"	"6"	"4"	"9"	"9"	"173"	"11"	"22"	"13"	"3"	"9"	"9"	"657"	""	"657"	""
"230"	"156"	"14"	"47"	"6"	"14"	"96"	"3"	"4"	"1"	"0"	"2"	"4"	"8"	"10"	"253"	"11"	"14"	"8"	"5"	"15"	"7"	"522"	""	"522"	""
"231"	"157"	"15"	"80"	"3"	"5"	"77"	"1"	"3"	"2"	"3"	"4"	"8"	"6"	"10"	"95"	"8"	"17"	"22"	"12"	"8"	"10"	"389"	""	"389"	""
"232"	"158"	"4"	"17"	"2"	"6"	"126"	"9"	"1"	"3"	"1"	"2"	"0"	"2"	"0"	"1"	"1"	"1"	"3"	"48"	"1"	"3"	"231"	""	"231"	""
"233"	"159"	"18"	"18"	"0"	"4"	"132"	"8"	"2"	"2"	"1"	"1"	"0"	"3"	"10"	"50"	"2"	"2"	"0"	"2"	"3"	"1"	"259"	""	"259"	""
"234"	"160"	"9"	"123"	"4"	"4"	"86"	"39"	"12"	"1"	"1"	"2"	"11"	"26"	"4"	"3"	"16"	"11"	"2"	"2"	"1"	"55"	"412"	""	"412"	""
"235"	"161"	"2"	"39"	"0"	"1"	"189"	"6"	"9"	"0"	"0"	"2"	"2"	"3"	"1"	"3"	"1"	"0"	"3"	"5"	"3"	"7"	"276"	""	"276"	""
"236"	"162"	"4"	"117"	"2"	"9"	"193"	"10"	"11"	"2"	"1"	"7"	"9"	"8"	"7"	"72"	"4"	"12"	"1"	"1"	"2"	"8"	"480"	""	"480"	""
"237"	"163"	"2"	"40"	"2"	"1"	"21"	"1"	"0"	"1"	"0"	"1"	"3"	"2"	"4"	"63"	"2"	"3"	"2"	"9"	"6"	"4"	"167"	""	"167"	""
"238"	"Total -12"	"448"	"1039"	"50"	"114"	"2258"	"100"	"111"	"51"	"15"	"56"	"59"	"82"	"68"	"732"	"78"	"106"	"88"	"122"	"55"	"133"	"5765"	"0"	"5765"	"0"
"239"	""	""	""	""	""	""	"261312+83=261395
39-Phulparas"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"241"	""	"Anita Yadav"	"Guljar Devi"	"Gauri Shankar Yadav"	"Vikram Shila Devi"	"Virendra Kumar Chaudhary"	"Hitendra Narayan Thakur"	"Upendra Kumar Yadav"	"Md. Ainul"	"Chandra Shekhar Suman"	"Ram Kumar Yadav"	"Laleshwar Prasad Singh"	"Shekharjee Mishra"	"Ganga Prasad Yadav"	"Deo Nath Deon"	"Babue Lal Yadav"	"Bharat Bhushan Mandal"	"Mrityunjay Yadav"	"Ram Narayan Mandal"	"Vijay Kumar Jha"	"Satya Narayan Agrawal"	""	""	""	""
"242"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"243"	"B.F."	"3012"	"24726"	"1740"	"2552"	"15355"	"4600"	"4718"	"1064"	"557"	"5601"	"1910"	"768"	"1027"	"1344"	"1117"	"5346"	"1083"	"7181"	"515"	"989"	"85205"	"0"	"85205"	"0"
"244"	"164"	"19"	"109"	"9"	"14"	"262"	"3"	"13"	"8"	"1"	"21"	"9"	"2"	"5"	"34"	"3"	"8"	"7"	"4"	"4"	"10"	"545"	""	"545"	""
"245"	"165"	"10"	"101"	"4"	"0"	"57"	"43"	"5"	"1"	"2"	"2"	"6"	"8"	"4"	"1"	"4"	"3"	"5"	"4"	"0"	"57"	"317"	""	"317"	""
"246"	"165A"	"8"	"78"	"2"	"3"	"107"	"3"	"2"	"0"	"0"	"1"	"4"	"2"	"0"	"1"	"2"	"6"	"1"	"3"	"1"	"3"	"227"	""	"227"	""
"247"	"166"	"28"	"275"	"8"	"27"	"113"	"30"	"14"	"3"	"2"	"2"	"2"	"4"	"2"	"4"	"5"	"5"	"10"	"8"	"5"	"12"	"559"	""	"559"	""
"248"	"167"	"23"	"331"	"0"	"3"	"9"	"16"	"6"	"1"	"0"	"0"	"2"	"4"	"0"	"2"	"0"	"2"	"0"	"8"	"1"	"26"	"434"	""	"434"	""
