"Sl..No."	"No..of.Polling.Station"	"No..of.Valid.votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tender.ed.votes"
"172"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"173"	"156"	"156"	"69"	"75"	"8"	"188"	"62"	"9"	"243"	"11"	"6"	"4"	"7"	"25"	"707"	"0"	"707"	""
"174"	"157"	"157"	"157"	"263"	"13"	"191"	"16"	"8"	"30"	"2"	"4"	"3"	"3"	"8"	"698"	"0"	"698"	""
"175"	"158"	"158"	"133"	"105"	"16"	"222"	"9"	"5"	"86"	"1"	"4"	"3"	"3"	"10"	"597"	"0"	"597"	""
"176"	"159"	"159"	"94"	"223"	"21"	"142"	"5"	"6"	"59"	"3"	"0"	"6"	"2"	"12"	"573"	"0"	"573"	""
"177"	"160"	"160"	"202"	"215"	"3"	"74"	"21"	"5"	"98"	"2"	"2"	"2"	"1"	"2"	"627"	"0"	"627"	""
"178"	"161"	"161"	"77"	"131"	"15"	"218"	"53"	"8"	"1"	"5"	"12"	"5"	"4"	"28"	"557"	"0"	"557"	""
"179"	"162"	"162"	"39"	"39"	"5"	"185"	"72"	"1"	"71"	"0"	"3"	"2"	"5"	"3"	"425"	"0"	"425"	""
"180"	"163"	"163"	"124"	"70"	"4"	"173"	"17"	"1"	"20"	"2"	"2"	"1"	"1"	"2"	"417"	"0"	"417"	""
"181"	"164"	"164"	"26"	"32"	"3"	"81"	"16"	"2"	"16"	"1"	"1"	"1"	"2"	"2"	"183"	"0"	"183"	""
"182"	"165"	"165"	"119"	"66"	"4"	"154"	"31"	"2"	"2"	"1"	"1"	"3"	"1"	"11"	"395"	"0"	"395"	""
"183"	"166"	"166"	"57"	"108"	"7"	"158"	"13"	"2"	"1"	"1"	"3"	"0"	"0"	"1"	"351"	"0"	"351"	""
"184"	"167"	"167"	"129"	"276"	"19"	"126"	"20"	"7"	"8"	"2"	"2"	"4"	"2"	"5"	"600"	"0"	"600"	""
"185"	"168"	"168"	"71"	"105"	"2"	"28"	"8"	"3"	"1"	"1"	"1"	"1"	"0"	"1"	"222"	"0"	"222"	""
"186"	"169"	"169"	"109"	"68"	"6"	"150"	"3"	"2"	"28"	"2"	"1"	"0"	"0"	"11"	"380"	"0"	"380"	""
"187"	"170"	"170"	"23"	"125"	"0"	"3"	"3"	"1"	"58"	"1"	"1"	"1"	"0"	"1"	"217"	"0"	"217"	""
"188"	"171"	"171"	"80"	"205"	"10"	"158"	"21"	"6"	"5"	"2"	"2"	"0"	"1"	"3"	"493"	"0"	"493"	""
"189"	"172"	"172"	"203"	"45"	"3"	"41"	"7"	"1"	"6"	"1"	"0"	"1"	"0"	"6"	"314"	"0"	"314"	""
"190"	"173"	"173"	"239"	"100"	"1"	"98"	"6"	"2"	"3"	"0"	"3"	"1"	"2"	"5"	"460"	"0"	"460"	""
"191"	"174"	"174"	"54"	"96"	"4"	"376"	"13"	"1"	"9"	"1"	"3"	"1"	"0"	"2"	"560"	"0"	"560"	""
"192"	"175"	"175"	"88"	"77"	"30"	"203"	"12"	"6"	"2"	"0"	"2"	"0"	"1"	"4"	"425"	"0"	"425"	""
"193"	"176"	"176"	"70"	"58"	"4"	"187"	"8"	"3"	"1"	"0"	"3"	"1"	"1"	"7"	"343"	"0"	"343"	""
"194"	"177"	"177"	"78"	"58"	"4"	"172"	"21"	"8"	"7"	"1"	"3"	"0"	"7"	"12"	"371"	"0"	"371"	""
"195"	"178"	"178"	"137"	"105"	"18"	"53"	"11"	"2"	"3"	"1"	"0"	"1"	"1"	"5"	"337"	"0"	"337"	""
"196"	"179"	"179"	"116"	"50"	"55"	"46"	"3"	"0"	"2"	"0"	"1"	"2"	"1"	"4"	"280"	"0"	"280"	""
"197"	"180"	"180"	"307"	"4"	"3"	"43"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"359"	"0"	"359"	""
"198"	"181"	"181"	"54"	"134"	"8"	"374"	"22"	"12"	"2"	"5"	"9"	"2"	"3"	"12"	"637"	"0"	"637"	""
"199"	"182"	"182"	"181"	"59"	"4"	"141"	"7"	"1"	"1"	"1"	"2"	"3"	"3"	"9"	"412"	"0"	"412"	""
"200"	"183"	"183"	"179"	"98"	"4"	"29"	"5"	"4"	"1"	"2"	"1"	"0"	"2"	"8"	"333"	"0"	"333"	""
"201"	"184"	"184"	"134"	"63"	"1"	"138"	"16"	"2"	"1"	"0"	"0"	"2"	"0"	"2"	"359"	"0"	"359"	""
"202"	"185"	"185"	"141"	"39"	"8"	"189"	"18"	"2"	"1"	"3"	"3"	"2"	"0"	"9"	"415"	"0"	"415"	""
"203"	"186"	"186"	"80"	"58"	"34"	"154"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"5"	"343"	"0"	"343"	""
"204"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tender ed
votes"
"205"	""	""	"AKHILES H PRASAD SINGH"	"ARVIND KUMAR GUPTA"	"GAGAND EO YADAV"	"RADHA MOHAN SINGH"	"RAM CHANDR A PRASAD"	"UMESH KUMAR SINGH"	"NAGEND RA SAHANI"	"SURESH KUMAR RAJAK"	"SURES H KUMAR RAI"	"JHAGA RU MAHAT O"	"PARAS NATH PANDE Y"	"MD. MURTU JA ANSARI"	""	""	""	""
"206"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"207"	"187"	"187"	"244"	"7"	"3"	"140"	"50"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"445"	"0"	"445"	""
"208"	"188"	"188"	"87"	"19"	"1"	"32"	"34"	"3"	"0"	"2"	"3"	"0"	"7"	"4"	"192"	"0"	"192"	""
"209"	"189"	"189"	"175"	"6"	"4"	"159"	"5"	"2"	"0"	"2"	"2"	"3"	"1"	"12"	"371"	"0"	"371"	""
"210"	"190"	"190"	"113"	"121"	"18"	"53"	"16"	"12"	"1"	"0"	"0"	"1"	"0"	"3"	"338"	"0"	"338"	""
"211"	"191"	"191"	"104"	"68"	"10"	"37"	"15"	"5"	"22"	"1"	"7"	"0"	"5"	"10"	"284"	"0"	"284"	""
"212"	"Total No. of votes recording at polling Stations"	""	"21626"	"10968"	"1694"	"29237"	"2346"	"926"	"11918"	"405"	"540"	"343"	"417"	"1461"	"81881"	"0"	"81881"	""
"213"	"No. of votes recorded on postal ballot"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""
"214"	"Total Votes polled"	""	"21626"	"10968"	"1694"	"29237"	"2346"	"926"	"11918"	"405"	"540"	"343"	"417"	"1461"	"81881"	"0"	"81881"	""
"215"	"MOTIHARI                                                                                                                                                                                                                                      Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"Date  :   16/05/2009                                                                                                                                                                                                                        013-Harsidhi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
