"Name.of.Candidate"	"Dr..Arun.Kumar"	"Jagdish.Sharma"	"Ramadhar.Sharma"	"Surendra.Prasad.Yadav"	"Ayasha.Khatun"	"Prof..Jai.Ram.Prasad.Singh"	"Tara.Gupta"	"Mahanand.Prasad"	"X."	"Ramasray.Prasad.Singh"	"Md..Shahabubin.Jahan"	"Shravan.kumar"	"Sadhu.Sinha"	"Syed.Akber.Imam"	"Ajay.Kumar.Verma"	"Abhay.Kumar.Anil"	"Dr..Arbind.Kumar"	"Arvind.Prasad.Singh"	"Upendra.Prasad"	"Jagdish.Yadav"	"Prikshit.Singh"	"Prabhat.Kumar.Ranjan"	"Ranjit.Sharma"	"Rakeshwar.Kishor"	"Siya.Ram.Prasad"	"Sumirak.Singh"	"Total.Valid.Votes"	"No..of.Reject.ed.votes"	"Total"	"No..of.tender.ed.votes"
"171"	"Round 10"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"172"	"127"	16	176	3	63	0	0	1	NA	"56"	1	0	0	1	0	1	1	2	4	2	0	0	1	1	1	0	0	330	NA	330	NA
"173"	"128"	43	201	9	143	5	2	0	NA	"8"	0	1	0	0	0	0	0	4	4	1	1	2	0	0	0	0	1	425	NA	425	NA
"174"	"129"	50	152	3	21	2	1	0	NA	"0"	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	236	NA	236	NA
"175"	"130"	17	146	62	109	3	2	1	NA	"9"	1	1	0	0	0	1	1	18	3	1	1	1	0	0	0	1	2	380	NA	380	NA
"176"	"131"	57	172	47	155	3	5	0	NA	"0"	0	0	0	0	1	0	2	2	3	0	1	2	0	0	0	0	0	450	NA	450	NA
"177"	"132"	54	113	8	158	1	3	0	NA	"26"	0	0	0	0	1	1	0	4	1	2	1	0	0	1	0	1	1	376	NA	376	NA
"178"	"133"	123	251	4	2	1	1	0	NA	"1"	0	0	0	0	1	0	2	0	0	1	1	0	0	0	0	0	0	388	NA	388	NA
"179"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	"Mahanand Prasad"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"180"	"Booth No."	1	2	3	4	5	6	7	NA	"8"	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"181"	"134"	170	226	18	65	7	1	4	NA	"68"	0	2	1	1	1	2	0	6	5	0	5	4	1	0	2	1	0	590	NA	590	NA
"182"	"135"	75	168	17	88	4	2	0	NA	"13"	0	0	0	0	2	2	1	11	11	3	3	1	2	0	0	0	2	405	NA	405	NA
"183"	"136"	6	20	1	607	0	0	0	NA	"1"	0	0	0	0	0	0	0	4	1	0	1	0	0	0	0	0	0	641	NA	641	NA
"184"	"137"	49	145	32	103	5	5	0	NA	"35"	4	0	1	1	1	5	2	9	7	7	3	6	3	1	0	6	5	435	NA	435	NA
"185"	"138"	66	412	1	57	0	1	0	NA	"31"	0	1	2	0	0	2	0	16	0	3	4	2	0	1	1	0	0	600	NA	600	NA
"186"	"139"	46	532	1	2	0	0	0	NA	"0"	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	586	NA	586	NA
"187"	"140"	17	83	0	36	1	3	0	NA	"32"	0	0	0	0	0	1	1	12	1	0	0	0	1	0	0	0	0	188	NA	188	NA
"188"	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"189"	"Total"	789	2797	206	1609	32	26	6	NA	"280"	6	5	4	3	7	15	10	100	40	20	21	18	8	4	4	9	11	6030	NA	6030	NA
"190"	"Round 11"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"191"	"141"	30	77	6	11	2	4	6	NA	"204"	4	3	1	1	2	3	3	14	10	2	4	10	4	6	4	8	16	435	NA	435	NA
"192"	"142"	9	360	1	33	1	0	0	NA	"56"	2	0	1	2	0	1	1	5	0	0	0	0	0	2	0	0	1	475	NA	475	NA
"193"	"143"	43	893	2	19	0	0	1	NA	"71"	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1040	NA	1040	NA
"194"	"144"	175	113	5	68	1	0	3	NA	"83"	3	2	1	1	1	0	1	2	3	0	0	0	0	0	0	0	0	462	NA	462	NA
"195"	"145"	9	262	4	10	4	5	3	NA	"108"	12	4	4	3	1	1	1	5	0	1	1	1	0	0	0	0	0	439	NA	439	NA
"196"	"146"	12	125	5	59	1	2	0	NA	"57"	2	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	1	269	NA	269	NA
"197"	"147"	10	89	7	65	5	2	4	NA	"77"	4	1	2	0	1	3	2	10	7	1	0	0	0	0	1	3	5	299	NA	299	NA
"198"	"148"	18	64	1	200	1	0	0	NA	"59"	1	0	0	1	0	2	0	2	2	0	0	0	0	0	0	0	0	351	NA	351	NA
"199"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	"Mahanand Prasad"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"200"	"Booth No."	1	2	3	4	5	6	7	NA	"8"	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"201"	"149"	9	96	6	136	4	2	0	NA	"42"	1	1	1	2	2	1	2	8	5	8	5	7	2	4	2	2	6	354	NA	354	NA
"202"	"150"	17	254	40	52	1	1	4	NA	"86"	6	2	1	3	1	3	2	6	6	2	3	4	0	1	2	2	1	500	NA	500	NA
"203"	"151"	4	40	3	236	0	0	0	NA	"6"	0	0	0	0	0	0	0	1	1	0	1	0	4	1	0	0	0	297	NA	297	NA
"204"	"152"	5	75	10	43	0	3	1	NA	"116"	10	1	2	0	3	0	2	3	1	2	4	4	2	2	0	0	2	291	NA	291	NA
"205"	"153"	0	21	6	98	1	0	2	NA	"96"	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	230	NA	230	NA
"206"	"154"	14	138	6	199	1	2	2	NA	"9"	0	1	1	0	1	1	1	9	6	3	0	11	2	1	1	0	2	411	NA	411	NA
"207"	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"208"	"Total"	355	2607	102	1229	22	21	26	NA	"1070"	48	15	15	13	12	15	17	78	42	19	18	38	14	17	10	15	35	5853	NA	5853	NA
"209"	"Round 12"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"210"	"155"	3	421	0	1	0	0	0	NA	"0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425	NA	425	NA
"211"	"156"	5	45	5	26	0	1	0	NA	"244"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	NA	328	NA
"212"	"157"	20	921	2	5	0	1	0	NA	"6"	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	960	NA	960	NA
"213"	"158"	19	155	5	176	6	5	0	NA	"187"	5	2	2	0	5	2	2	16	3	0	0	1	1	1	0	1	1	595	NA	595	NA
"214"	"159"	0	0	0	0	0	0	0	NA	"0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA
"215"	"160"	1	8	4	750	1	0	0	NA	"4"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	769	NA	769	NA
"216"	"161"	45	140	8	111	0	0	0	NA	"27"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	333	NA	333	NA
"217"	"162"	32	37	2	48	3	0	0	NA	"19"	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	1	0	147	NA	147	NA
"218"	"163"	20	73	1	33	3	0	0	NA	"6"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	137	NA	137	NA
"219"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	"Mahanand Prasad"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"220"	"Booth No."	1	2	3	4	5	6	7	NA	"8"	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"221"	"164"	66	133	18	47	2	2	1	NA	"67"	2	1	1	1	1	2	1	2	1	2	3	1	1	1	0	2	1	359	NA	359	NA
"222"	"165"	17	56	28	258	4	0	1	NA	"104"	3	2	1	1	0	0	0	1	6	1	1	0	2	0	0	0	2	488	NA	488	NA
"223"	"166"	7	99	6	267	3	1	3	NA	"29"	2	1	2	1	4	2	1	15	6	5	7	8	2	1	0	6	8	486	NA	486	NA
"224"	"167"	4	122	28	51	4	0	1	NA	"21"	2	2	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	240	NA	240	NA
"225"	"168"	19	307	7	58	1	2	0	NA	"45"	0	0	0	0	0	0	0	4	2	1	2	0	0	0	0	0	0	448	NA	448	NA
"226"	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"227"	"Total"	258	2517	114	1831	27	12	6	NA	"759"	16	9	6	4	15	6	6	42	19	11	14	10	7	3	1	10	12	5715	NA	5715	NA
"228"	"Round 13"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"229"	"169"	21	137	2	96	1	1	1	NA	"8"	0	0	0	0	0	1	0	19	0	0	2	1	3	0	0	1	0	294	NA	294	NA
"230"	"170"	7	181	12	129	0	1	0	NA	"6"	0	0	0	0	0	0	0	7	1	0	2	0	59	0	0	0	0	405	NA	405	NA
"231"	"171"	3	55	0	356	3	3	0	NA	"35"	0	0	0	0	1	0	0	10	1	0	1	0	0	1	0	2	2	473	NA	473	NA
"232"	"172"	26	237	19	181	7	2	4	NA	"25"	1	0	0	1	5	1	0	5	4	2	5	3	2	1	0	3	0	534	NA	534	NA
"233"	"173"	3	3	0	197	0	3	0	NA	"9"	1	0	0	0	0	0	0	5	0	4	0	1	1	1	0	1	3	232	NA	232	NA
"234"	"174"	26	54	4	132	0	1	0	NA	"3"	0	0	1	0	0	1	0	18	0	1	2	0	0	0	0	0	0	243	NA	243	NA
"235"	"175"	0	0	0	0	0	0	0	NA	"0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA
"236"	"176"	13	62	2	300	3	2	0	NA	"414"	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	824	NA	824	NA
"237"	"177"	22	13	6	254	0	0	1	NA	"218"	2	1	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	563	NA	563	NA
"238"	"178"	35	134	11	161	0	2	1	NA	"89"	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	1	1	440	NA	440	NA
"239"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	"Mahanand Prasad"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"240"	"Booth No."	1	2	3	4	5	6	7	NA	"8"	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"241"	"179"	10	25	8	205	5	2	0	NA	"2"	13	0	0	1	1	0	2	10	9	1	0	2	0	1	0	0	0	297	NA	297	NA
"242"	"180"	7	42	0	834	2	0	1	NA	"0"	7	0	0	0	0	0	1	3	0	0	0	0	5	0	0	0	0	902	NA	902	NA
"243"	"181"	6	118	6	117	3	4	1	NA	"85"	2	3	1	2	0	2	1	2	5	1	1	1	1	0	0	1	0	363	NA	363	NA
"244"	"182"	3	177	2	62	2	0	3	NA	"38"	2	0	3	0	1	0	1	1	0	4	3	1	7	6	2	0	1	319	NA	319	NA
"245"	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"246"	"Total"	182	1238	72	3024	26	21	12	NA	"932"	28	4	5	4	8	5	5	154	20	13	17	9	82	10	2	9	7	5889	NA	5889	NA
"247"	"Round 14"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"248"	"183"	12	188	1	63	2	1	1	NA	"18"	0	0	2	0	1	0	1	0	1	1	0	0	0	0	0	0	0	292	NA	292	NA
"249"	"184"	7	154	17	48	2	0	0	NA	"32"	2	2	1	0	1	0	3	1	4	0	1	2	4	1	0	1	1	284	NA	284	NA
"250"	"185"	99	92	5	75	3	4	1	NA	"16"	1	0	0	1	1	1	0	6	1	0	0	0	0	0	0	1	0	307	NA	307	NA
"251"	"186"	116	46	15	87	2	0	1	NA	"16"	1	1	0	1	0	1	1	37	5	3	1	2	3	1	0	0	2	342	NA	342	NA
"252"	"187"	60	126	49	27	3	0	2	NA	"16"	0	0	0	0	2	0	2	9	1	0	1	0	0	0	1	0	0	299	NA	299	NA
"253"	"188"	121	145	10	65	2	3	0	NA	"31"	1	1	1	0	0	1	1	5	4	6	4	4	1	0	1	1	1	409	NA	409	NA
"254"	"189"	6	92	0	193	2	3	0	NA	"25"	0	0	0	0	0	1	2	52	0	0	1	1	0	0	1	0	1	380	NA	380	NA
"255"	"190"	59	157	0	29	0	1	0	NA	"11"	0	0	1	0	3	1	3	8	4	1	4	1	0	0	0	0	0	283	NA	283	NA
"256"	"191"	49	293	6	110	4	7	1	NA	"23"	0	0	1	3	3	3	4	8	6	1	2	2	2	0	1	1	3	533	NA	533	NA
"257"	"192"	6	117	5	103	2	2	0	NA	"7"	1	0	2	1	1	5	3	6	1	2	2	0	1	0	0	1	3	271	NA	271	NA
"258"	"193"	19	195	9	227	5	6	1	NA	"11"	0	1	3	1	4	0	0	9	5	4	2	7	1	1	1	2	3	517	NA	517	NA
"259"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	"Mahanand Prasad"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"260"	"Booth No."	1	2	3	4	5	6	7	NA	"8"	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"261"	"194"	7	187	9	101	0	1	1	NA	"285"	0	1	0	0	1	2	2	4	0	1	1	1	3	0	1	0	0	608	NA	608	NA
"262"	"195"	5	246	41	188	3	1	0	NA	"4"	0	0	0	0	0	0	0	16	6	2	0	1	0	0	0	0	0	513	NA	513	NA
"263"	"196"	14	0	0	0	0	0	0	NA	"0"	0	0	0	0	0	2	878	34	0	0	1	0	0	0	0	0	1	930	NA	930	NA
"264"	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"265"	"Total"	580	2038	167	1316	30	29	8	NA	"495"	6	6	11	7	17	17	900	195	38	21	20	21	15	3	6	7	15	5968	NA	5968	NA
"266"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"267"	"Booth No."	1	2	3	4	5	6	7	8	""	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"268"	"Round 15"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"269"	"197"	7	738	0	7	0	0	1	25	""	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	801	NA	801	NA
"270"	"198"	4	104	4	30	1	3	4	193	""	4	0	0	0	0	2	2	8	0	0	0	0	0	0	0	0	0	359	NA	359	NA
"271"	"199"	4	144	0	33	3	1	1	157	""	2	1	1	0	0	0	0	5	2	0	1	2	0	0	0	0	1	358	NA	358	NA
"272"	"200"	83	350	0	6	1	0	0	0	""	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	445	NA	445	NA
"273"	"201"	19	192	4	6	0	0	0	55	""	1	0	0	0	0	0	0	4	1	1	0	0	0	0	2	0	0	285	NA	285	NA
"274"	"202"	51	872	30	39	0	1	1	15	""	1	2	0	0	1	3	1	6	0	3	0	0	0	0	0	0	0	1026	NA	1026	NA
"275"	"203"	3	241	20	217	1	0	0	19	""	0	1	0	0	0	1	1	3	0	0	2	0	1	0	1	0	0	511	NA	511	NA
"276"	"204"	10	339	6	109	1	0	0	17	""	1	1	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	489	NA	489	NA
"277"	"205"	3	1	1	375	0	0	0	1	""	1	0	0	0	0	0	0	1	0	1	0	0	5	0	0	0	0	389	NA	389	NA
"278"	"206"	6	112	7	71	0	1	0	118	""	2	2	0	0	0	1	5	8	0	0	1	0	0	0	0	0	0	334	NA	334	NA
"279"	"207"	29	280	4	92	4	1	0	13	""	2	0	1	0	0	0	0	11	2	0	0	0	0	0	0	0	2	441	NA	441	NA
"280"	"208"	2	75	15	175	4	4	2	16	""	0	0	1	0	2	0	3	13	5	3	2	3	6	1	1	1	6	340	NA	340	NA
"281"	"209"	6	235	9	126	4	2	2	13	""	0	0	1	0	0	1	1	9	2	0	0	0	0	0	0	0	0	411	NA	411	NA
"282"	"210"	5	204	40	145	3	2	0	29	""	0	0	0	0	1	0	0	16	1	0	0	1	0	0	0	0	0	447	NA	447	NA
"283"	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"284"	"Total"	232	3887	140	1431	22	15	11	671	""	14	7	4	0	5	8	13	109	17	8	9	6	12	1	4	1	9	6636	NA	6636	NA
