"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X226899.32.Benipatti"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"153"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"154"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"155"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"156"	"Round No 9"	"113"	"152"	"24"	"41"	"22"	"7"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"3"	"253"	""	"253"	""
"157"	""	"114"	"113"	"5"	"43"	"39"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"9"	"1"	"7"	"229"	""	"229"	""
"158"	""	"115"	"32"	"4"	"35"	"46"	"86"	"3"	"0"	"2"	"0"	"4"	"1"	"0"	"0"	"3"	"216"	""	"216"	""
"159"	""	"116"	"2"	"1"	"51"	"20"	"103"	"3"	"0"	"0"	"1"	"3"	"0"	"1"	"0"	"2"	"187"	""	"187"	""
"160"	""	"117"	"18"	"3"	"26"	"81"	"102"	"3"	"1"	"2"	"1"	"1"	"5"	"3"	"4"	"29"	"279"	""	"279"	""
"161"	""	"118"	"6"	"0"	"23"	"76"	"86"	"3"	"0"	"1"	"1"	"1"	"3"	"0"	"2"	"4"	"206"	""	"206"	""
"162"	""	"119"	"45"	"4"	"5"	"26"	"136"	"2"	"0"	"5"	"2"	"4"	"3"	"2"	"1"	"4"	"239"	""	"239"	""
"163"	""	"120"	"134"	"8"	"23"	"38"	"187"	"5"	"4"	"2"	"4"	"3"	"2"	"5"	"5"	"10"	"430"	""	"430"	""
"164"	""	"121"	"23"	"7"	"83"	"44"	"221"	"5"	"5"	"3"	"3"	"4"	"0"	"4"	"3"	"1"	"406"	""	"406"	""
"165"	""	"122"	"22"	"8"	"53"	"90"	"120"	"1"	"0"	"5"	"2"	"1"	"1"	"2"	"2"	"8"	"315"	""	"315"	""
"166"	""	"123"	"2"	"7"	"33"	"139"	"66"	"2"	"2"	"3"	"5"	"2"	"4"	"3"	"7"	"4"	"279"	""	"279"	""
"167"	""	"124"	"1"	"7"	"55"	"45"	"69"	"1"	"1"	"2"	"1"	"0"	"2"	"0"	"4"	"16"	"204"	""	"204"	""
"168"	""	"125"	"8"	"2"	"49"	"150"	"63"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"14"	"291"	""	"291"	""
"169"	""	"126"	"17"	"5"	"136"	"106"	"62"	"0"	"2"	"4"	"1"	"1"	"3"	"3"	"2"	"16"	"358"	""	"358"	""
"170"	""	"Total -9"	"575"	"85"	"656"	"922"	"1320"	"29"	"15"	"31"	"23"	"25"	"24"	"34"	"32"	"121"	"3892"	"0"	"3892"	"0"
"171"	""	""	""	""	""	""	""	"226899
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"173"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"174"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"175"	"Round No 10"	"127"	"93"	"9"	"22"	"118"	"116"	"1"	"0"	"4"	"1"	"6"	"1"	"4"	"5"	"14"	"394"	""	"394"	""
"176"	""	"128"	"19"	"5"	"204"	"81"	"8"	"2"	"1"	"1"	"1"	"2"	"7"	"8"	"2"	"8"	"349"	""	"349"	""
"177"	""	"129"	"251"	"4"	"16"	"112"	"82"	"4"	"1"	"3"	"0"	"1"	"1"	"2"	"6"	"8"	"491"	""	"491"	""
"178"	""	"130"	"60"	"1"	"42"	"121"	"293"	"5"	"0"	"17"	"4"	"2"	"3"	"1"	"3"	"7"	"559"	""	"559"	""
"179"	""	"131"	"464"	"10"	"40"	"67"	"71"	"6"	"2"	"2"	"2"	"1"	"1"	"2"	"1"	"11"	"680"	""	"680"	""
"180"	""	"132"	"128"	"1"	"14"	"152"	"8"	"3"	"0"	"4"	"0"	"2"	"5"	"1"	"1"	"7"	"326"	""	"326"	""
"181"	""	"133"	"235"	"7"	"29"	"183"	"14"	"0"	"0"	"5"	"1"	"1"	"6"	"0"	"1"	"17"	"499"	""	"499"	""
"182"	""	"134"	"160"	"5"	"4"	"119"	"5"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"12"	"310"	""	"310"	""
"183"	""	"135"	"96"	"10"	"109"	"118"	"30"	"2"	"4"	"7"	"5"	"3"	"5"	"9"	"11"	"120"	"529"	""	"529"	""
"184"	""	"136"	"24"	"1"	"42"	"369"	"22"	"4"	"2"	"2"	"1"	"1"	"5"	"5"	"9"	"14"	"501"	""	"501"	""
"185"	""	"137"	"68"	"10"	"25"	"174"	"26"	"5"	"5"	"7"	"4"	"2"	"11"	"6"	"7"	"169"	"519"	""	"519"	""
"186"	""	"138"	"99"	"5"	"31"	"277"	"28"	"5"	"6"	"8"	"3"	"4"	"5"	"6"	"5"	"31"	"513"	""	"513"	""
"187"	""	"139"	"277"	"5"	"11"	"67"	"29"	"4"	"4"	"2"	"1"	"1"	"2"	"3"	"2"	"10"	"418"	""	"418"	""
"188"	""	"140"	"341"	"25"	"91"	"61"	"16"	"0"	"2"	"3"	"7"	"3"	"6"	"3"	"2"	"7"	"567"	""	"567"	""
"189"	""	"Total -10"	"2315"	"98"	"680"	"2019"	"748"	"42"	"28"	"66"	"30"	"29"	"59"	"51"	"55"	"435"	"6655"	"0"	"6655"	"0"
"190"	""	""	""	""	""	""	""	"226899
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"192"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"193"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"194"	"Round No 11"	"141"	"18"	"21"	"64"	"71"	"68"	"1"	"2"	"0"	"2"	"3"	"1"	"3"	"1"	"141"	"396"	""	"396"	""
"195"	""	"142"	"36"	"13"	"15"	"102"	"68"	"1"	"1"	"2"	"1"	"2"	"5"	"2"	"1"	"36"	"285"	""	"285"	""
"196"	""	"143"	"131"	"4"	"31"	"40"	"97"	"3"	"2"	"4"	"2"	"1"	"1"	"0"	"1"	"21"	"338"	""	"338"	""
"197"	""	"144"	"141"	"7"	"126"	"46"	"67"	"5"	"3"	"1"	"2"	"0"	"0"	"2"	"0"	"7"	"407"	""	"407"	""
"198"	""	"145"	"111"	"7"	"72"	"55"	"266"	"7"	"3"	"1"	"4"	"0"	"1"	"3"	"4"	"9"	"543"	""	"543"	""
"199"	""	"146"	"13"	"2"	"31"	"130"	"98"	"2"	"0"	"2"	"0"	"0"	"2"	"2"	"3"	"45"	"330"	""	"330"	""
"200"	""	"147"	"17"	"18"	"346"	"63"	"48"	"5"	"0"	"3"	"1"	"2"	"3"	"6"	"7"	"6"	"525"	""	"525"	""
"201"	""	"148"	"23"	"3"	"83"	"57"	"277"	"6"	"4"	"2"	"5"	"4"	"3"	"3"	"1"	"4"	"475"	""	"475"	""
"202"	""	"149"	"47"	"6"	"441"	"24"	"22"	"4"	"4"	"3"	"0"	"3"	"0"	"3"	"1"	"5"	"563"	""	"563"	""
"203"	""	"150"	"5"	"14"	"131"	"127"	"124"	"4"	"10"	"4"	"2"	"5"	"7"	"3"	"2"	"7"	"445"	""	"445"	""
"204"	""	"151"	"158"	"7"	"176"	"18"	"19"	"3"	"3"	"2"	"3"	"0"	"5"	"3"	"1"	"9"	"407"	""	"407"	""
"205"	""	"152"	"137"	"12"	"54"	"156"	"64"	"5"	"0"	"1"	"2"	"1"	"3"	"4"	"5"	"25"	"469"	""	"469"	""
"206"	""	"153"	"75"	"17"	"109"	"92"	"43"	"2"	"1"	"7"	"4"	"2"	"1"	"1"	"3"	"11"	"368"	""	"368"	""
"207"	""	"154"	"46"	"30"	"99"	"73"	"59"	"1"	"3"	"1"	"0"	"0"	"2"	"0"	"0"	"4"	"318"	""	"318"	""
"208"	""	"Total -11"	"958"	"161"	"1778"	"1054"	"1320"	"49"	"36"	"33"	"28"	"23"	"34"	"35"	"30"	"330"	"5869"	"0"	"5869"	"0"
"209"	""	""	""	""	""	""	""	"226899
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"211"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"212"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"213"	"Round No 12"	"155"	"52"	"3"	"33"	"67"	"81"	"1"	"0"	"7"	"1"	"2"	"2"	"2"	"0"	"8"	"259"	""	"259"	""
"214"	""	"156"	"51"	"15"	"53"	"34"	"70"	"3"	"2"	"2"	"2"	"1"	"0"	"0"	"0"	"5"	"238"	""	"238"	""
"215"	""	"157"	"50"	"14"	"134"	"102"	"40"	"3"	"4"	"2"	"7"	"4"	"10"	"4"	"8"	"10"	"392"	""	"392"	""
"216"	""	"158"	"12"	"8"	"152"	"46"	"20"	"0"	"1"	"3"	"1"	"1"	"3"	"7"	"1"	"18"	"273"	""	"273"	""
"217"	""	"159"	"116"	"14"	"64"	"89"	"31"	"2"	"14"	"4"	"5"	"1"	"3"	"4"	"4"	"10"	"361"	""	"361"	""
"218"	""	"160"	"236"	"6"	"8"	"37"	"15"	"5"	"3"	"2"	"1"	"0"	"1"	"5"	"4"	"16"	"339"	""	"339"	""
"219"	""	"161"	"193"	"6"	"36"	"107"	"91"	"3"	"6"	"2"	"3"	"5"	"1"	"2"	"2"	"9"	"466"	""	"466"	""
"220"	""	"162"	"113"	"19"	"42"	"199"	"70"	"1"	"2"	"4"	"3"	"3"	"3"	"1"	"3"	"8"	"471"	""	"471"	""
"221"	""	"163"	"277"	"15"	"57"	"109"	"39"	"8"	"3"	"3"	"5"	"1"	"1"	"1"	"3"	"4"	"526"	""	"526"	""
"222"	""	"164"	"199"	"23"	"50"	"139"	"33"	"5"	"3"	"3"	"2"	"3"	"10"	"4"	"4"	"7"	"485"	""	"485"	""
"223"	""	"165"	"167"	"21"	"21"	"102"	"34"	"4"	"2"	"2"	"2"	"3"	"6"	"6"	"6"	"11"	"387"	""	"387"	""
"224"	""	"166"	"32"	"12"	"132"	"116"	"120"	"5"	"7"	"5"	"5"	"5"	"6"	"7"	"4"	"19"	"475"	""	"475"	""
"225"	""	"167"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"226"	""	"168"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"227"	""	"Total -12"	"1498"	"156"	"782"	"1147"	"644"	"40"	"47"	"39"	"37"	"29"	"46"	"43"	"39"	"125"	"4672"	"0"	"4672"	"0"
"228"	""	""	""	""	""	""	""	"226899
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"230"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"231"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"232"	"Round No 13"	"169"	"90"	"35"	"142"	"263"	"39"	"4"	"3"	"6"	"5"	"4"	"3"	"4"	"3"	"8"	"609"	""	"609"	""
"233"	""	"170"	"208"	"50"	"205"	"123"	"37"	"7"	"2"	"7"	"9"	"5"	"6"	"7"	"12"	"32"	"710"	""	"710"	""
"234"	""	"171"	"47"	"6"	"76"	"142"	"39"	"2"	"6"	"0"	"2"	"1"	"12"	"2"	"5"	"13"	"353"	""	"353"	""
"235"	""	"172"	"55"	"3"	"90"	"190"	"18"	"1"	"0"	"1"	"1"	"0"	"1"	"3"	"1"	"7"	"371"	""	"371"	""
"236"	""	"173"	"489"	"11"	"3"	"50"	"9"	"0"	"2"	"1"	"0"	"0"	"3"	"0"	"1"	"13"	"582"	""	"582"	""
"237"	""	"174"	"243"	"35"	"22"	"147"	"33"	"8"	"2"	"3"	"4"	"7"	"10"	"8"	"9"	"41"	"572"	""	"572"	""
"238"	""	"175"	"133"	"18"	"39"	"172"	"41"	"6"	"1"	"2"	"2"	"0"	"8"	"3"	"2"	"7"	"434"	""	"434"	""
"239"	""	"176"	"149"	"33"	"76"	"74"	"35"	"1"	"0"	"1"	"1"	"2"	"5"	"1"	"4"	"8"	"390"	""	"390"	""
"240"	""	"177"	"78"	"54"	"25"	"75"	"134"	"6"	"5"	"6"	"5"	"3"	"4"	"3"	"6"	"13"	"417"	""	"417"	""
"241"	""	"178"	"82"	"4"	"208"	"96"	"24"	"3"	"2"	"1"	"6"	"1"	"4"	"2"	"2"	"2"	"437"	""	"437"	""
"242"	""	"179"	"84"	"7"	"100"	"133"	"11"	"2"	"1"	"2"	"1"	"2"	"5"	"2"	"2"	"7"	"359"	""	"359"	""
"243"	""	"180"	"19"	"13"	"122"	"67"	"10"	"2"	"2"	"2"	"1"	"0"	"0"	"1"	"0"	"2"	"241"	""	"241"	""
"244"	""	"181"	"46"	"4"	"65"	"109"	"23"	"5"	"0"	"1"	"1"	"0"	"3"	"4"	"2"	"1"	"264"	""	"264"	""
"245"	""	"182"	"13"	"7"	"144"	"88"	"14"	"1"	"2"	"1"	"2"	"3"	"3"	"6"	"2"	"3"	"289"	""	"289"	""
"246"	""	"Total -13"	"1736"	"280"	"1317"	"1729"	"467"	"48"	"28"	"34"	"40"	"28"	"67"	"46"	"51"	"157"	"6028"	"0"	"6028"	"0"
"247"	""	""	""	""	""	""	""	"226899
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"249"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"250"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"251"	"Round No 14"	"183"	"11"	"4"	"238"	"9"	"7"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"274"	""	"274"	""
"252"	""	"184"	"236"	"9"	"48"	"130"	"17"	"1"	"4"	"0"	"2"	"1"	"1"	"1"	"2"	"7"	"459"	""	"459"	""
"253"	""	"185"	"200"	"41"	"119"	"137"	"21"	"7"	"3"	"4"	"4"	"2"	"2"	"7"	"4"	"7"	"558"	""	"558"	""
"254"	""	"186"	"60"	"24"	"97"	"143"	"13"	"5"	"1"	"5"	"1"	"0"	"2"	"0"	"3"	"5"	"359"	""	"359"	""
"255"	""	"187"	"123"	"27"	"40"	"141"	"14"	"2"	"0"	"3"	"5"	"0"	"4"	"3"	"6"	"20"	"388"	""	"388"	""
"256"	""	"188"	"163"	"60"	"102"	"134"	"11"	"3"	"3"	"2"	"4"	"0"	"4"	"2"	"3"	"5"	"496"	""	"496"	""
"257"	""	"189"	"156"	"242"	"15"	"62"	"13"	"6"	"2"	"5"	"2"	"3"	"6"	"2"	"12"	"19"	"545"	""	"545"	""
"258"	""	"190"	"45"	"131"	"34"	"108"	"17"	"4"	"1"	"0"	"2"	"2"	"1"	"1"	"4"	"10"	"360"	""	"360"	""
"259"	""	"191"	"59"	"17"	"28"	"169"	"36"	"4"	"3"	"4"	"2"	"1"	"4"	"0"	"1"	"2"	"330"	""	"330"	""
"260"	""	"192"	"70"	"27"	"185"	"18"	"14"	"2"	"0"	"0"	"3"	"1"	"3"	"8"	"7"	"12"	"350"	""	"350"	""
"261"	""	"193"	"23"	"24"	"15"	"140"	"12"	"0"	"3"	"2"	"2"	"0"	"2"	"0"	"0"	"10"	"233"	""	"233"	""
"262"	""	"194"	"102"	"81"	"39"	"112"	"21"	"4"	"1"	"3"	"2"	"1"	"0"	"2"	"4"	"10"	"382"	""	"382"	""
"263"	""	"195"	"20"	"49"	"52"	"108"	"57"	"1"	"1"	"1"	"5"	"2"	"2"	"1"	"2"	"0"	"301"	""	"301"	""
"264"	""	"196"	"104"	"27"	"53"	"149"	"68"	"11"	"8"	"7"	"7"	"4"	"7"	"5"	"5"	"10"	"465"	""	"465"	""
"265"	""	"Total -14"	"1372"	"763"	"1065"	"1560"	"321"	"50"	"30"	"38"	"41"	"17"	"39"	"33"	"54"	"117"	"5500"	"0"	"5500"	"0"
"266"	""	""	""	""	""	""	""	"226899
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"268"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"269"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"270"	"Round No 15"	"197"	"27"	"35"	"261"	"65"	"53"	"3"	"1"	"2"	"1"	"2"	"4"	"1"	"1"	"0"	"456"	""	"456"	""
"271"	""	"198"	"70"	"42"	"119"	"90"	"31"	"2"	"0"	"1"	"2"	"0"	"3"	"1"	"0"	"2"	"363"	""	"363"	""
"272"	""	"199"	"34"	"41"	"49"	"96"	"96"	"6"	"2"	"2"	"1"	"0"	"1"	"2"	"7"	"10"	"347"	""	"347"	""
"273"	""	"200"	"144"	"9"	"130"	"87"	"21"	"2"	"3"	"3"	"2"	"5"	"8"	"6"	"5"	"27"	"452"	""	"452"	""
"274"	""	"201"	"102"	"13"	"87"	"119"	"50"	"3"	"2"	"1"	"2"	"1"	"2"	"0"	"3"	"1"	"386"	""	"386"	""
"275"	""	"202"	"17"	"6"	"41"	"86"	"10"	"0"	"0"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"168"	""	"168"	""
"276"	""	"203"	"98"	"19"	"103"	"48"	"8"	"1"	"1"	"0"	"2"	"0"	"0"	"2"	"2"	"14"	"298"	""	"298"	""
"277"	""	"204"	"26"	"2"	"118"	"81"	"26"	"3"	"3"	"0"	"2"	"3"	"2"	"0"	"1"	"2"	"269"	""	"269"	""
"278"	""	"205"	"151"	"20"	"94"	"65"	"27"	"4"	"2"	"4"	"3"	"3"	"8"	"5"	"6"	"13"	"405"	""	"405"	""
"279"	""	"206"	"189"	"17"	"27"	"98"	"9"	"3"	"1"	"3"	"1"	"0"	"1"	"3"	"3"	"8"	"363"	""	"363"	""
"280"	""	"207"	"194"	"11"	"138"	"99"	"13"	"2"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"5"	"467"	""	"467"	""
"281"	""	"208"	"81"	"7"	"53"	"80"	"22"	"8"	"4"	"0"	"3"	"0"	"2"	"3"	"1"	"5"	"269"	""	"269"	""
"282"	""	"209"	"145"	"7"	"66"	"77"	"11"	"3"	"23"	"3"	"2"	"2"	"1"	"1"	"2"	"18"	"361"	""	"361"	""
"283"	""	"210"	"112"	"13"	"73"	"32"	"71"	"1"	"2"	"2"	"2"	"3"	"5"	"6"	"4"	"19"	"345"	""	"345"	""
"284"	""	"Total -15"	"1390"	"242"	"1359"	"1123"	"448"	"41"	"45"	"22"	"24"	"20"	"38"	"34"	"38"	"125"	"4949"	"0"	"4949"	"0"
"285"	""	""	""	""	""	""	""	"226899
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"287"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"288"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"289"	"Round No 16"	"211"	"166"	"26"	"54"	"67"	"73"	"2"	"2"	"0"	"0"	"2"	"3"	"0"	"0"	"11"	"406"	""	"406"	""
"290"	""	"212"	"111"	"32"	"195"	"77"	"12"	"4"	"0"	"4"	"3"	"3"	"2"	"5"	"3"	"19"	"470"	""	"470"	""
"291"	""	"213"	"147"	"39"	"63"	"142"	"24"	"7"	"1"	"0"	"1"	"2"	"1"	"3"	"3"	"4"	"437"	""	"437"	""
"292"	""	"214"	"76"	"11"	"275"	"15"	"13"	"3"	"3"	"3"	"1"	"1"	"0"	"3"	"2"	"5"	"411"	""	"411"	""
"293"	""	"215"	"100"	"44"	"23"	"174"	"24"	"5"	"6"	"3"	"0"	"5"	"1"	"4"	"7"	"25"	"421"	""	"421"	""
"294"	""	"216"	"4"	"10"	"41"	"123"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"187"	""	"187"	""
"295"	""	"217"	"76"	"31"	"12"	"101"	"8"	"2"	"3"	"1"	"1"	"4"	"4"	"3"	"2"	"4"	"252"	""	"252"	""
"296"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"297"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	""	"Total -16"	"680"	"193"	"663"	"699"	"162"	"23"	"15"	"11"	"6"	"17"	"11"	"18"	"17"	"69"	"2584"	"0"	"2584"	"0"
"304"	""	""	""	""	""	""	""	"226899
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
