"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"
"113"	"52      8   197   146    62     1    25     0    0    0    2    5    0    5   451"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"53      7    30    56    82     1           3     1     7     1     2   154     2    3    349"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"54                7    70    89    34             2    18     0    6     1     2   157     2     1    389"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"55      6   125    19   131     0    21     0    4    51     4    31     1     4   397"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"56       1     5    10     0     1     1     0    0     0    0            0    0    0    18"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"57      10   106   276    72     1     5     3     4    2    0    1     2    6   488"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"58      10    54           36   109     6     2     1    11     9     1    15     1     3   258"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"59      12    74   111    12     2    4    0    2     0    0    0    0    0   217"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"60      14   327    11     1     0    0    0    3     0    0    13     0    0   369"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"61       6    8   198   110     2    12     3     1     0     2    53     1     4   400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"62      11    57    75    77            1    15     2    6    11     3     9     1     3   271"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"63       6   122          14    17     0     0     0    1           2            0     3     4             2         171"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"64      8    29    40    59     6    10            1     4         206     5     6    4             1    379"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"· Printed  Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar                                                                                                                             Page I  of 4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"mentConstituency :33·BUXAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"ssembly Constituency :210 -Dinara"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"Form-20  (Part-I-A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"No of Voters :229181"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"Candidatn Name
---->
BOOTH N...O"	""	""	"No of valid votes caste In favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-<I>
Ill
0
>
:E
ni  <(
> ..!..
n...i. _ca
-O Q."	""	""	""	""	""	""
"132"	""	""	""	"0
·.
::3e <("	""	""	""	"z
<(
z   -
<(
:c
C>  C>
<...(, v,"	""	""	"z
z>w
=:e>  m
=>
..J  O
<(  :c
..J  O"	""	""	";c
C>
en
..J  <(
:3
:e 3:
<>(   :c
:c W=>
v,"	""	""	":e
iz
o
:e :c"	""	""	""	"z
:c
z
<(
:i:
0:e"	""	""	""	":I:
C>
en
o
<(
oz>-
0::
w...,  =<>(
:e"	""	""	"?i
zO
<(
W..., C=>L
>ci :<c
o z"	""	""	""	"ii:
<(
:J:
iii
:e
><Czc
:vC, m"	""	"<(
.:.I.,:
0
0
zw
><-
v,"	""	"v,
CL
<(
0
=v>,"	""	"0::
w
0
:vc,
wa::
=v>,"	""	">-
:c 0::
<(
v, :c
w e
.:.eJo=>
li"	""	""	""	""	""	""	""	""
"133"	"I"	""	""	"2"	""	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	"9"	""	""	""	"IO"	""	"1 1"	""	"12"	""	"13"	""	"14"	""	"15"	""	""	""	""	""	""
"134"	"65"	""	""	"8"	""	""	""	"127"	""	""	"114"	""	""	"85"	""	""	"1"	""	""	""	"3"	""	""	""	"4"	""	""	"7"	""	""	""	"3"	""	"4"	""	"50"	""	"2"	""	"9"	""	"417"	""	""	""	""	""	""
"135"	"66"	""	""	"1"	""	""	""	"108"	""	""	"11"	""	""	"27"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	"2"	""	""	""	"0"	""	"0"	""	"22"	""	"1"	""	"0"	""	"173"	""	""	""	""	""	""
"136"	"67"	""	""	"3"	""	""	""	"16"	""	""	"94"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"2"	""	""	""	"1"	""	"1"	""	"5"	""	"0"	""	"2"	""	"124"	""	""	""	""	""	""
"137"	"68"	""	""	"10"	""	""	""	"29"	""	""	"164"	""	""	"11"	""	""	"0"	""	""	""	"16"	""	""	""	"0"	""	""	"1"	""	""	""	"1"	""	"0"	""	"43"	""	"0"	""	"1"	""	"276"	""	""	""	""	""	""
"138"	"69"	""	""	"4"	""	""	""	"73"	""	""	"24"	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"6"	""	"0"	""	"0"	""	"0"	""	"0"	""	"108"	""	""	""	""	""	""
"139"	"70"	""	""	"29"	""	""	""	"37"	""	""	"141"	""	""	"7"	""	""	"1"	""	""	""	"1"	""	""	""	"5"	""	""	"6"	""	""	""	"41"	""	"5"	""	"77"	""	"2"	""	"2"	""	"354"	""	""	""	""	""	""
"140"	"71"	""	""	"1"	""	""	""	"26"	""	""	"41"	""	""	"33"	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	""	"34"	""	"0"	""	"9"	""	"0"	""	"0"	""	"147"	""	""	""	""	""	""
"141"	"72"	""	""	"7"	""	""	""	"40"	""	""	"305"	""	""	"60"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	"8"	""	""	""	"3"	""	"1"	""	"6"	""	"3"	""	"1"	""	"436"	""	""	""	""	""	""
"142"	"73"	""	""	"8"	""	""	""	"41"	""	""	"252"	""	""	"65"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	"14"	""	""	""	"1"	""	"1"	""	"0"	""	"1"	""	"3"	""	"387"	""	""	""	""	""	""
"143"	"74"	""	""	"5"	""	""	""	"21"	""	""	"374"	""	""	"4"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	"4"	""	""	""	"1"	""	"1"	""	"5"	""	"1"	""	"2"	""	"420"	""	""	""	""	""	""
"144"	"75"	""	""	"55"	""	""	""	"302"	""	""	"266"	""	""	"10"	""	""	"2"	""	""	""	"6"	""	""	""	"1"	""	""	"3"	""	""	""	"15"	""	"3"	""	"9"	""	"0"	""	"4"	""	"676"	""	""	""	""	""	""
"145"	"76"	""	""	"91"	""	""	""	"85"	""	""	"22"	""	""	"7"	""	""	"2"	""	""	""	"2"	""	""	""	"4"	""	""	"12"	""	""	""	"302"	""	"2"	""	"44"	""	"4"	""	"4"	""	"581"	""	""	""	""	""	""
"146"	"77"	""	""	"10"	""	""	""	"108"	""	""	"74"	""	""	"83"	""	""	"0"	""	""	""	"19"	""	""	""	"1"	""	""	"11"	""	""	""	"68"	""	"2"	""	"25"	""	"3"	""	"1"	""	"405"	""	""	""	""	""	""
"147"	"78"	""	""	"51"	""	""	""	"104"	""	""	"139"	""	""	"31"	""	""	"0"	""	""	""	"3"	""	""	""	"1"	""	""	"7"	""	""	""	"4"	""	"1"	""	"48"	""	"3"	""	"0"	""	"392"	""	""	""	""	""	""
"148"	"79"	""	""	"1"	""	""	""	"116"	""	""	"127"	""	""	"52"	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	"3"	""	""	""	"125"	""	"2"	""	"0"	""	"0"	""	"0"	""	"428"	""	""	""	""	""	""
"149"	"80"	""	""	"17"	""	""	""	"129"	""	""	"254"	""	""	"72"	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	"2"	""	""	""	"1"	""	"1"	""	"0"	""	"0"	""	"1"	""	"481"	""	""	""	""	""	""
"150"	"81"	""	""	"17"	""	""	""	"208"	""	""	"159"	""	""	"145"	""	""	"4"	""	""	""	"7"	""	""	""	"2"	""	""	"2"	""	""	""	"3"	""	"4"	""	"4"	""	"0"	""	"3"	""	"558"	""	""	""	""	""	""
"151"	"82"	""	""	"41"	""	""	""	"11"	""	""	"197"	""	""	"17"	""	""	"0"	""	""	""	"8"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"0"	""	"0"	""	"1"	""	"2"	""	"277"	""	""	""	""	""	""
"152"	"83"	""	""	"8"	""	""	""	"99"	""	""	"47"	""	""	"246"	""	""	"0"	""	""	""	"6"	""	""	""	"0"	""	""	"5"	""	""	""	"5"	""	"1"	""	"3"	""	"0"	""	"1"	""	"421"	""	""	""	""	""	""
"153"	"84"	""	""	"7"	""	""	""	"71"	""	""	"136"	""	""	"138"	""	""	"3"	""	""	""	"7"	""	""	""	"3"	""	""	"4"	""	""	""	"0"	""	"1"	""	"5"	""	"1"	""	"0"	""	"376"	""	""	""	""	""	""
"154"	"85"	""	""	"18"	""	""	""	"154"	""	""	"146"	""	""	"108"	""	""	"2"	""	""	""	"14"	""	""	""	"1"	""	""	"3"	""	""	""	"2"	""	"0"	""	"2"	""	"0"	""	"3"	""	"453"	""	""	""	""	""	""
"155"	"86"	""	""	"49"	""	""	""	"28"	""	""	"106"	""	""	"84"	""	""	"3"	""	""	""	"3"	""	""	""	"3"	""	""	"0"	""	""	""	"0"	""	"0"	""	"2"	""	"1"	""	"0"	""	"279"	""	""	""	""	""	""
"156"	"87"	""	""	"5"	""	""	""	"259"	""	""	"247"	""	""	"19"	""	""	"1"	""	""	""	"32"	""	""	""	"1"	""	""	"3"	""	""	""	"0"	""	"1"	""	"8"	""	"0"	""	"0"	""	"576"	""	""	""	""	""	""
"157"	"88"	""	""	"4"	""	""	""	"359"	""	""	"78"	""	""	"35"	""	""	"2"	""	""	""	"22"	""	""	""	"1"	""	""	"1"	""	""	""	"2"	""	"1"	""	"14"	""	"0"	""	"0"	""	"519"	""	""	""	""	""	""
"158"	"89"	""	""	"9"	""	""	""	"223"	""	""	"112"	""	""	"55"	""	""	"3"	""	""	""	"42"	""	""	""	"1"	""	""	"3"	""	""	""	"1"	""	"1"	""	"3"	""	"1"	""	"1"	""	"455"	""	""	""	""	""	""
"159"	"90"	""	""	"6"	""	""	""	"42"	""	""	"122"	""	""	"154"	""	""	"1"	""	""	""	"16"	""	""	""	"1"	""	""	"4"	""	""	""	"0"	""	"1"	""	"12"	""	"0"	""	"5"	""	"364"	""	""	""	""	""	""
"160"	"91"	""	""	"1"	""	""	""	"42"	""	""	"114"	""	""	"13"	""	""	"0"	""	""	""	"24"	""	""	""	"0"	""	""	"1"	""	""	""	"1"	""	"0"	""	"2"	""	"0"	""	"0"	""	"198"	""	""	""	""	""	""
"161"	"92"	""	""	"12"	""	""	""	"41"	""	""	"182"	""	""	"119"	""	""	"0"	""	""	""	"15"	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	"0"	""	"1"	""	"0"	""	"5"	""	"377"	""	""	""	""	""	""
"162"	"93"	""	""	"5"	""	""	""	"183"	""	""	"152"	""	""	"16"	""	""	"o"	""	""	""	",  1"	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	"0"	""	"0"	""	"0"	""	"1"	""	"359"	""	""	""	""	""	""
"163"	"94"	""	""	"7"	""	""	""	"82"	""	""	"85"	""	""	"129"	""	""	"4"	""	""	""	"16"	""	""	""	"2"	""	""	"2"	""	""	""	"45"	""	"0"	""	"5"	""	"0"	""	"1"	""	"378"	""	""	""	""	""	""
"164"	"95"	""	""	"2"	""	""	""	"71"	""	""	"192"	""	""	"117"	""	""	"3"	""	""	""	"12"	""	""	""	"2"	""	""	"0"	""	""	""	"1"	""	"2"	""	"1"	""	"4"	""	"2"	""	"409"	""	""	""	""	""	""
"165"	"96"	""	""	"0"	""	""	""	"56"	""	""	"2"	""	""	"11"	""	""	"2"	""	""	""	"3"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"74"	""	""	""	""	""	""
"166"	"97"	""	""	"5"	""	""	""	"116"	""	""	"58"	""	""	"44"	""	""	"2"	""	""	""	"5"	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	"2"	""	"0"	""	"1"	""	"0"	""	"234"	""	""	""	""	""	""
"167"	"98"	""	""	"3"	""	""	""	"109"	""	""	"51"	""	""	"92"	""	""	"2"	""	""	""	"4"	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	"0"	""	"0"	""	"0"	""	"1"	""	"263"	""	""	""	""	""	""
"168"	"99"	""	""	",,.2"	""	""	""	"46"	""	""	"145"	""	""	"264"	""	""	"2"	""	""	""	"5"	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	"0"	""	"1"	""	"1"	""	"1"	""	"468"	""	""	""	""	""	""
"169"	"100··"	""	""	""	" ·'12"	""	""	"59"	""	""	"150"	""	""	"178"	""	""	"7"	""	""	""	"13"	""	""	""	"3"	""	""	"2"	""	""	""	"3"	""	"0"	""	"1"	""	"0"	""	"4"	""	"432"	""	""	""	""	""	""
"170"	"101"	""	""	""	"12"	""	""	"127"	""	""	"86"	""	""	"2"	""	""	"0"	""	""	""	"13"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"0"	""	"0"	""	"1"	""	"3"	""	"244"	""	""	""	""	""	""
"171"	"102"	""	""	"4"	""	""	""	"30"	""	""	"225"	""	""	"4"	""	""	"0"	""	""	""	"33"	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	"0"	""	"3"	""	"0"	""	"2"	""	"302"	""	""	""	""	""	""
"172"	"103"	""	""	"12"	""	""	""	"228"	""	""	"189"	""	""	"74"	""	""	"1"	""	""	""	"11"	""	""	""	"0"	""	""	"12"	""	""	""	"0"	""	"1"	""	"4"	""	"0"	""	"5"	""	"537"	""	""	""	""	""	""
"173"	"104"	""	""	"5"	""	""	""	"78"	""	""	"250"	""	""	"2"	""	""	"0"	""	""	""	"12"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"0"	""	"1"	""	"1"	""	"1"	""	"350"	""	""	""	""	""	""
"174"	"105"	""	""	"4"	""	""	""	"116"	""	""	"50"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"5"	""	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"175"	""	""	""	""	""	""
"175"	"106"	""	""	"1"	""	""	""	"2"	""	""	"108"	""	""	"47"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"159"	""	""	""	""	""	""
"176"	"107"	""	""	"3"	""	""	""	"52"	""	""	"3"	""	""	"92"	""	""	"2"	""	""	""	"19"	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	"1"	""	"1"	""	"0"	""	"0"	""	"174"	""	""	""	""	""	""
"177"	"108"	""	""	"4"	""	""	""	"68"	""	""	"26"	""	""	"56"	""	""	"2"	""	""	""	"71"	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	"0"	""	"2"	""	"0"	""	"1"	""	"231"	""	""	""	""	""	""
"178"	"109"	""	""	"10"	""	""	""	"135"	""	""	"124"	""	""	"82"	""	""	"0"	""	""	""	"5"	""	""	""	"0"	""	""	". 4"	""	""	""	"1"	""	"1"	""	"0"	""	"0"	""	"0"	""	"362"	""	""	""	""	""	""
"179"	"110"	""	""	"3"	""	""	""	"142"	""	""	"106"	""	""	"7"	""	""	"1"	""	""	""	"2"	""	""	""	"0"	""	""	"1"	""	""	""	"1"	""	"0"	""	"0"	""	"0"	""	"6"	""	"269"	""	""	""	""	""	""
"180"	"111"	""	""	"9"	""	""	""	"146"	""	""	"59"	""	""	"173"	""	""	"2"	""	""	""	"13"	""	""	""	"0"	""	""	"1"	""	""	""	"1"	""	"0"	""	"2"	""	"1"	""	"2"	""	"409"	""	""	""	""	""	""
"181"	"112"	""	""	"23"	""	""	""	"4"	""	""	"249"	""	""	"37"	""	""	"1"	""	""	""	"22"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"337"	""	""	""	""	""	""
"182"	"113"	""	""	"10"	""	""	""	"42"	""	""	"312"	""	""	"44"	""	""	"1"	""	""	""	"7"	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	"0"	""	"1"	""	"0"	""	"2"	""	"420"	""	""	""	""	""	""
"183"	"114"	""	""	"11"	""	""	""	"66"	""	""	"90"	""	""	"87"	""	""	"1"	""	""	""	"22"	""	""	""	"0"	""	""	"10"	""	""	""	"208"	""	"1"	""	"1"	""	"2"	""	"2"	""	"501"	""	""	""	""	""	""
"184"	"115"	""	""	"29"	""	""	""	"171"	""	""	"40"	""	""	"122"	""	""	"4"	""	""	""	"20"	""	""	""	"1"	""	""	"7"	""	""	""	"2"	""	"0"	""	"2"	""	"0"	""	"1"	""	"399"	""	""	""	""	""	""
"185"	"116"	""	""	"4"	""	""	""	"63"	""	""	"268"	""	""	"1"	""	""	"0"	""	""	""	"7"	""	""	""	"0"	""	""	"1"	""	""	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"345"	""	""	""	""	""	""
"186"	"117"	""	""	"18"	""	""	""	"177"	""	""	"121"	""	""	"14"	""	""	"2"	""	""	""	"16"	""	""	""	"1"	""	""	"0"	""	""	""	"2"	""	"0"	""	"2"	""	"1"	""	"0"	""	"354"	""	""	""	""	""	""
"187"	"118"	""	""	"11"	""	""	""	"107"	""	""	"·  109"	""	""	"26"	""	""	"1"	""	""	""	"8"	""	""	""	"1"	""	""	"3"	""	""	""	"1"	""	"0"	""	"61"	""	"0"	""	"0"	""	"328"	""	""	""	""	""	""
"188"	"119"	""	""	"76"	""	""	""	"3"	""	""	"119"	""	""	"107"	""	""	"3"	""	""	""	"2"	""	""	""	"2"	""	""	"1"	""	""	""	"1"	""	"1"	""	"1"	""	"1"	""	"0"	""	"317"	""	""	""	""	""	""
"189"	"120"	""	""	"0"	""	""	""	"67"	""	""	"84"	""	""	"6"	""	""	"1"	""	""	""	"23"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	"182"	""	""	""	""	""	""
"190"	"121"	""	""	"18"	""	""	""	"107"	""	""	"127"	""	""	"8"	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	"4"	""	""	""	"0"	""	"1"	""	"10"	""	"0"	""	"8"	""	"286"	""	""	""	""	""	""
"191"	"122"	""	""	"11"	""	""	""	"149"	""	""	"70"	""	""	"35"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	"6"	""	""	""	"4"	""	"2"	""	"1"	""	"1"	""	"0"	""	"280"	""	""	""	""	""	""
"192"	"123"	""	""	"16"	""	""	""	"17-1"	""	""	"90"	""	""	"170"	""	""	"8"	""	""	""	"23"	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	""	"481"	""	""	""	""	""	""
"193"	"124"	""	""	"4"	""	""	""	"87"	""	""	"124"	""	""	"51"	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	"2"	""	""	""	"2"	""	"0"	""	"0"	""	"0"	""	"3"	""	"278"	""	""	""	""	""	""
"194"	"125"	""	""	"1"	""	""	""	"94"	""	""	"11"	""	""	"168"	""	""	"0"	""	""	""	"3"	""	""	""	"2"	""	""	"5"	""	""	""	"20"	""	"0"	""	"0"	""	"1"	""	"0"	""	"305"	""	""	""	""	""	""
"195"	"126"	""	""	"11"	""	""	""	"93"	""	""	"121"	""	""	"39"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	"5"	""	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"272"	""	""	""	""	""	""
"196"	"126A"	""	""	"8"	""	""	""	"21"	""	""	"126"	""	""	"52"	""	""	"1"	""	""	""	"2"	""	""	""	"2"	""	""	"3"	""	""	""	"3"	""	"1"	""	"0"	""	"2"	""	"3"	""	"2 4"	""	""	""	""	""	""
"197"	"127"	""	""	"9"	""	""	""	"255"	""	""	"126"	""	""	"47"	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	"3"	""	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"444"	""	""	""	""	""	""
"198"	"128"	""	""	"0"	""	""	""	"338"	""	""	"0"	""	""	"7"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"345"	""	""	""	""	""	""
"199"	"129"	""	""	"27"	""	""	""	"145"	""	""	"196"	""	""	"53"	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	"2"	""	""	""	"0"	""	"0"	""	"1"	""	"2"	""	"0"	""	"429"	""	""	""	""	""	""
"200"	"130"	""	""	"8"	""	""	""	"48"	""	""	"73"	""	""	"55"	""	""	"2"	""	""	""	"4"	""	""	""	"1"	""	""	"2"	""	""	""	"0"	""	"0"	""	"2"	""	"2"	""	"1"	""	"198"	""	""	""	""	""	""
"201"	"131"	""	""	"16"	""	""	""	"77"	""	""	"124"	""	""	"159"	""	""	"5"	""	""	""	"12"	""	""	""	"3"	""	""	"6"	""	""	""	"30"	""	"1"	""	"0"	""	"0"	""	"4"	""	"437"	""	""	""	""	""	""
"202"	"P,          Printed Using RO/ARO Counting  Tool Ver. / .0 of National Informatics Centre,Blhar                                                                                                                           Page 2 o/ 4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"rage.1 0/  4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"mentConstituency :33-  BUXAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"ssembly Constituency : 210 -   Dinara               "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"Candidatts                                                                           No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"Form-20  (Part-I-A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"No of Voters  :229181"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"::c                                      ::c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"<(                 0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"213"	"0:                                    \"C1')"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"C)                                                                (!)                                                        J-,:                                                                      -g"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"t-        0z"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"z"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"ci>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
