"Name.of.Candidate"	"Dr..Arun.Kumar"	"Jagdish.Sharma"	"Ramadhar.Sharma"	"Surendra.Prasad.Yadav"	"Ayasha.Khatun"	"Prof..Jai.Ram.Prasad.Singh"	"Tara.Gupta"	"Mahanand.Prasad"	"Ramasray.Prasad.Singh"	"Md..Shahabubin.Jahan"	"Shravan.kumar"	"Sadhu.Sinha"	"Syed.Akber.Imam"	"Ajay.Kumar.Verma"	"Abhay.Kumar.Anil"	"Dr..Arbind.Kumar"	"X."	"Arvind.Prasad.Singh"	"Upendra.Prasad"	"Jagdish.Yadav"	"Prikshit.Singh"	"Prabhat.Kumar.Ranjan"	"Ranjit.Sharma"	"Rakeshwar.Kishor"	"Siya.Ram.Prasad"	"Sumirak.Singh"	"Total.Valid.Votes"	"No..of.Reject.ed.votes"	"Total"	"No..of.tender.ed.votes"
"170"	"120"	1	28	3	713	1	0	0	0	0	0	0	0	0	0	0	1	""	1	0	0	0	0	0	0	0	0	748	NA	748	NA
"171"	"121"	24	242	0	133	1	1	2	9	0	1	1	0	0	0	1	5	""	2	3	0	0	0	0	0	0	0	425	NA	425	NA
"172"	"122"	18	157	66	62	4	6	3	30	3	5	1	4	1	2	4	27	""	6	4	3	0	0	3	1	2	1	413	NA	413	NA
"173"	"123"	32	136	3	85	3	0	1	4	1	0	0	0	0	1	1	9	""	1	0	1	0	0	0	0	0	1	279	NA	279	NA
"174"	"124"	47	117	2	3	2	1	0	2	0	0	0	0	0	0	0	1	""	1	1	0	0	1	0	0	1	0	179	NA	179	NA
"175"	"125"	6	66	0	633	3	4	0	71	0	0	1	0	0	0	0	6	""	2	0	0	0	0	0	0	0	0	792	NA	792	NA
"176"	"126"	8	48	5	799	2	9	0	16	0	0	0	0	2	0	0	6	""	1	0	2	0	2	0	0	1	3	904	NA	904	NA
"177"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"178"	"Total"	256	2321	159	3283	30	40	14	319	18	12	9	4	11	15	18	93	""	29	18	18	5	6	6	2	6	9	6701	NA	6701	NA
"179"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"180"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"181"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""	17	18	19	20	21	22	23	24	25	26	27	28	29
"182"	"Round 10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"183"	"127"	8	503	3	60	1	4	1	8	0	1	0	0	1	0	4	13	""	0	4	2	0	0	0	0	1	1	615	NA	615	NA
"184"	"128"	22	162	29	116	2	2	2	42	0	2	0	0	3	0	0	2	""	5	3	1	4	0	0	0	1	1	399	NA	399	NA
"185"	"129"	17	161	52	128	5	4	3	53	4	0	0	0	1	1	2	6	""	5	0	2	2	1	0	0	2	0	449	NA	449	NA
"186"	"130"	3	620	32	44	0	0	0	2	1	0	0	1	0	0	0	18	""	0	2	1	1	1	0	0	0	1	727	NA	727	NA
"187"	"131"	7	292	9	195	1	4	1	74	0	0	0	0	1	0	0	10	""	0	1	1	0	0	1	1	0	0	598	NA	598	NA
"188"	"132"	12	124	6	303	2	5	1	2	1	2	1	1	0	2	3	3	""	3	0	1	0	0	0	1	0	0	473	NA	473	NA
"189"	"133"	33	258	11	81	2	3	1	3	0	0	2	0	1	1	1	7	""	8	1	3	2	0	2	0	0	2	422	NA	422	NA
"190"	"134"	7	35	5	12	0	0	0	1	0	0	0	0	0	1	2	4	""	2	1	1	1	0	0	1	0	0	73	NA	73	NA
"191"	"135"	17	506	36	126	2	0	0	0	0	0	0	1	0	1	1	8	""	1	0	1	0	1	0	0	0	2	703	NA	703	NA
"192"	"136"	14	424	3	121	0	0	1	7	0	0	0	1	0	0	0	1	""	0	0	2	1	0	0	0	0	0	575	NA	575	NA
"193"	"137"	36	294	56	124	2	3	3	4	0	1	0	2	8	6	3	22	""	4	2	0	2	0	0	1	0	1	574	NA	574	NA
"194"	"138"	9	142	78	130	7	8	2	5	1	2	0	1	2	1	1	9	""	4	7	6	1	2	3	1	2	0	424	NA	424	NA
"195"	"139"	26	686	2	2	0	1	0	1	0	0	0	0	0	0	1	2	""	2	2	0	1	0	0	0	1	0	727	NA	727	NA
"196"	"140"	9	44	3	84	3	0	1	1	1	1	1	3	1	2	1	9	""	6	2	2	0	1	1	1	1	3	181	NA	181	NA
"197"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"198"	"Total"	220	4251	325	1526	27	34	16	203	8	9	4	10	18	15	19	114	""	40	25	23	15	6	7	6	8	11	6940	NA	6940	NA
"199"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"200"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"201"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""	17	18	19	20	21	22	23	24	25	26	27	28	29
"202"	"Round 11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"203"	"141"	4	151	17	544	2	3	2	4	0	1	0	0	2	0	0	1	""	0	1	0	0	0	0	0	0	0	732	NA	732	NA
"204"	"142"	98	308	6	11	0	0	1	1	1	1	1	0	1	6	3	14	""	2	8	5	3	0	0	1	2	0	473	NA	473	NA
"205"	"143"	7	591	23	97	1	15	3	72	0	0	1	0	0	0	0	4	""	0	0	4	2	1	0	0	0	1	822	NA	822	NA
"206"	"144"	3	34	1	157	1	0	0	3	0	0	0	0	0	0	0	4	""	1	2	2	0	0	0	0	0	0	208	NA	208	NA
"207"	"145"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	NA	0	NA
"208"	"146"	4	12	0	94	2	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	112	NA	112	NA
"209"	"147"	21	257	3	12	0	1	0	1	0	0	0	0	0	0	0	1	""	1	0	0	0	0	0	0	0	0	297	NA	297	NA
"210"	"148"	25	521	3	38	0	2	0	1	6	0	0	0	1	1	2	4	""	0	0	1	2	0	0	0	0	0	607	NA	607	NA
"211"	"149"	27	71	15	172	12	4	1	2	0	2	1	1	6	3	2	5	""	2	4	0	2	0	0	0	0	0	332	NA	332	NA
"212"	"150"	30	258	4	93	5	4	0	3	2	0	2	0	2	5	12	10	""	4	7	7	2	2	1	0	0	0	453	NA	453	NA
"213"	"151"	5	128	8	153	4	3	0	1	1	0	0	0	1	0	0	5	""	2	1	0	0	0	0	0	0	2	314	NA	314	NA
"214"	"152"	32	204	23	94	8	5	0	12	1	5	0	5	3	6	9	33	""	9	6	5	4	0	3	3	4	6	480	NA	480	NA
"215"	"153"	2	18	2	522	0	0	0	6	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	550	NA	550	NA
"216"	"154"	14	174	6	85	2	2	0	13	0	0	0	0	0	0	0	3	""	0	2	3	0	0	0	0	0	0	304	NA	304	NA
"217"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"218"	"Total"	272	2727	111	2072	37	39	7	119	11	9	5	6	16	21	28	84	""	21	31	27	15	3	4	4	6	9	5684	NA	5684	NA
"219"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"220"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"221"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""	17	18	19	20	21	22	23	24	25	26	27	28	29
"222"	"Round 12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"223"	"155"	72	54	3	89	0	0	1	0	1	0	0	0	0	0	0	16	""	1	0	1	1	1	0	0	1	1	242	NA	242	NA
"224"	"156"	3	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	20	NA	20	NA
"225"	"157"	1	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	1	0	0	0	0	0	7	NA	7	NA
"226"	"158"	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	25	NA	25	NA
"227"	"159"	1	2	0	322	0	0	0	1	0	0	0	0	0	0	0	4	""	0	0	0	0	0	0	0	0	0	330	NA	330	NA
"228"	"160"	30	58	38	440	4	4	1	12	0	1	1	0	1	1	0	20	""	0	0	1	0	0	0	0	1	0	613	NA	613	NA
"229"	"161"	0	0	0	487	2	0	0	2	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	491	NA	491	NA
"230"	"162"	0	3	0	417	1	2	1	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	424	NA	424	NA
"231"	"163"	16	51	2	378	4	6	0	1	0	0	1	0	1	1	0	4	""	4	1	0	0	0	0	0	1	0	471	NA	471	NA
"232"	"164"	20	53	2	327	2	1	0	1	0	1	0	0	0	1	0	8	""	0	0	0	0	0	0	0	0	1	417	NA	417	NA
"233"	"165"	6	214	33	263	3	2	1	0	0	0	0	2	0	2	2	3	""	1	2	3	4	1	0	1	8	2	553	NA	553	NA
"234"	"166"	1	4	0	847	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	852	NA	852	NA
"235"	"167"	16	196	3	60	2	4	0	7	0	0	0	0	1	1	0	16	""	2	0	1	0	1	1	0	4	0	315	NA	315	NA
"236"	"168"	11	25	2	709	1	0	0	0	0	0	0	0	0	0	0	0	""	0	0	1	2	0	0	0	0	0	751	NA	751	NA
"237"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"238"	"Total"	177	662	83	4384	19	19	4	24	1	2	2	2	3	6	2	71	""	8	3	7	8	3	1	1	15	4	5511	NA	5511	NA
"239"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"240"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"241"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""	17	18	19	20	21	22	23	24	25	26	27	28	29
"242"	"Round 13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"243"	"169"	2	144	1	241	2	1	0	0	0	0	1	0	0	0	0	11	""	0	0	0	0	0	0	0	0	0	403	NA	403	NA
"244"	"170"	138	132	62	142	5	6	2	25	0	0	1	1	2	3	1	7	""	6	4	1	1	1	0	0	0	1	541	NA	541	NA
"245"	"171"	4	50	2	103	2	1	1	15	0	0	0	0	0	0	0	1	""	1	0	1	2	0	0	1	0	0	184	NA	184	NA
"246"	"172"	16	177	5	177	3	10	1	13	1	0	4	0	2	2	4	16	""	19	7	4	9	4	1	5	4	7	491	NA	491	NA
"247"	"173"	46	217	1	186	0	1	1	2	1	0	0	0	0	0	1	22	""	0	0	0	0	0	1	0	0	1	480	NA	480	NA
"248"	"174"	42	43	11	332	2	1	1	1	0	0	0	0	0	1	1	2	""	2	0	0	0	1	0	0	0	0	440	NA	440	NA
"249"	"175"	8	142	1	57	2	1	1	1	0	1	3	2	3	4	1	37	""	5	5	5	4	0	2	0	1	5	291	NA	291	NA
"250"	"176"	2	1	3	226	7	2	0	1	0	0	2	0	6	1	0	5	""	5	1	1	6	1	0	0	0	1	271	NA	271	NA
"251"	"177"	70	66	2	327	12	0	1	8	0	1	0	0	0	1	3	27	""	0	0	0	0	0	0	0	0	0	518	NA	518	NA
"252"	"178"	21	172	5	93	3	9	0	5	0	1	0	1	0	0	0	53	""	3	1	0	1	1	1	3	1	2	376	NA	376	NA
"253"	"179"	25	131	4	153	3	1	2	58	0	0	0	0	0	0	0	7	""	0	1	1	2	0	1	0	1	1	391	NA	391	NA
"254"	"180"	79	494	13	177	6	4	1	21	0	0	1	0	1	0	1	11	""	2	0	0	0	2	0	0	1	0	814	NA	814	NA
"255"	"181"	13	813	0	15	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	841	NA	841	NA
"256"	"182"	0	63	2	269	3	0	1	9	0	0	0	0	0	0	0	1	""	2	0	0	0	0	0	0	1	0	351	NA	351	NA
"257"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"258"	"Total"	466	2645	112	2498	50	37	12	159	2	3	12	4	14	12	12	200	""	45	19	13	25	10	6	9	9	18	6392	NA	6392	NA
"259"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"260"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"261"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""	17	18	19	20	21	22	23	24	25	26	27	28	29
"262"	"Round 14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"263"	"183"	0	28	0	343	0	0	0	1	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	372	NA	372	NA
"264"	"184"	56	352	37	88	0	0	3	7	0	0	0	0	0	0	0	7	""	0	0	0	0	0	0	0	0	0	550	NA	550	NA
"265"	"185"	14	338	3	123	3	4	2	7	1	1	1	0	2	3	1	17	""	0	1	1	0	0	0	0	0	0	522	NA	522	NA
"266"	"186"	25	427	10	119	6	5	7	18	0	2	0	1	0	0	1	13	""	1	1	6	1	1	2	2	0	3	651	NA	651	NA
"267"	"187"	24	169	14	276	5	13	5	55	1	4	1	1	0	1	5	33	""	1	0	1	0	0	0	1	1	0	611	NA	611	NA
"268"	"188"	9	265	58	194	5	1	0	4	0	0	0	0	2	1	0	5	""	0	1	3	0	1	0	1	1	2	553	NA	553	NA
"269"	"189"	41	200	26	149	7	4	0	3	1	1	0	0	0	1	0	5	""	5	2	3	0	0	1	3	0	0	452	NA	452	NA
"270"	"190"	102	90	13	139	10	5	3	3	1	4	1	5	2	3	1	17	""	7	3	4	4	1	1	4	0	0	423	NA	423	NA
"271"	"191"	9	33	1	312	0	0	0	11	0	0	1	0	0	0	0	3	""	2	2	0	0	0	1	0	0	0	375	NA	375	NA
"272"	"192"	1	19	2	183	2	0	2	81	2	0	0	0	0	0	1	18	""	0	0	0	0	0	0	0	0	0	311	NA	311	NA
"273"	"193"	3	4	1	301	1	0	0	1	0	0	0	0	0	0	0	2	""	0	0	0	0	0	0	0	0	0	313	NA	313	NA
"274"	"194"	9	223	7	78	6	35	2	17	1	2	0	1	1	1	1	28	""	13	5	2	4	1	2	1	0	3	443	NA	443	NA
"275"	"195"	1	49	34	63	0	4	0	1	0	0	1	1	3	1	0	35	""	1	0	2	0	0	0	0	0	2	198	NA	198	NA
"276"	"196"	14	123	0	28	2	22	1	1	1	0	0	0	0	0	2	3	""	1	0	0	0	0	1	1	1	0	201	NA	201	NA
"277"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"278"	"Total"	308	2320	206	2396	47	93	25	210	8	14	5	9	10	11	12	186	""	31	15	22	9	4	8	13	3	10	5975	NA	5975	NA
"279"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"280"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"281"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""	17	18	19	20	21	22	23	24	25	26	27	28	29
"282"	"Round 15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"283"	"197"	12	283	7	22	2	48	2	17	0	1	0	0	2	2	0	6	""	2	1	4	1	1	0	2	1	1	417	NA	417	NA
"284"	"198"	14	113	43	142	8	5	1	110	2	1	0	0	0	0	0	7	""	3	0	2	0	1	0	0	1	0	453	NA	453	NA
"285"	"199"	17	151	24	39	0	3	0	6	0	0	0	0	1	0	1	4	""	4	2	9	5	1	2	0	0	1	270	NA	270	NA
"286"	"200"	5	88	11	83	0	0	1	1	0	2	0	0	1	0	0	1	""	0	2	0	0	0	0	0	0	0	195	NA	195	NA
"287"	"201"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	NA	0	NA
"288"	"202"	8	594	2	87	1	2	0	39	2	1	0	1	0	1	0	8	""	0	2	0	0	1	1	0	0	1	751	NA	751	NA
"289"	"203"	26	156	0	59	0	0	2	90	1	1	0	0	0	0	0	8	""	0	0	0	0	0	0	0	1	0	344	NA	344	NA
"290"	"204"	13	276	80	174	4	8	0	5	0	0	3	1	2	5	3	28	""	5	7	4	1	0	1	2	0	3	625	NA	625	NA
"291"	"205"	55	282	37	47	2	6	2	39	2	1	0	1	2	4	1	20	""	1	1	3	0	3	3	0	0	1	513	NA	513	NA
"292"	"206"	10	154	12	63	5	9	1	4	1	2	2	0	2	1	2	105	""	3	4	2	0	0	0	0	0	1	383	NA	383	NA
"293"	"207"	48	95	15	177	1	0	0	1	1	0	0	0	5	3	3	24	""	4	2	2	1	1	0	0	2	1	386	NA	386	NA
"294"	"208"	15	187	22	116	14	11	5	77	4	6	3	4	4	6	5	41	""	3	1	0	1	0	2	0	1	1	529	NA	529	NA
"295"	"209"	3	529	0	25	0	1	0	2	0	0	0	0	1	0	0	0	""	0	0	0	0	0	0	0	0	0	561	NA	561	NA
"296"	"210"	23	158	7	73	1	3	2	235	0	0	1	0	2	1	0	16	""	1	0	1	0	0	0	0	0	1	525	NA	525	NA
"297"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"298"	"Total"	249	3066	260	1107	38	96	16	626	13	15	9	7	22	23	15	268	""	26	22	27	9	8	9	4	6	11	5952	NA	5952	NA
"299"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"300"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"301"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""	17	18	19	20	21	22	23	24	25	26	27	28	29
"302"	"Round 16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"303"	"211"	20	193	12	124	3	2	1	71	2	4	2	2	4	1	1	21	""	2	1	0	1	0	0	0	0	0	467	NA	467	NA
"304"	"212"	5	487	3	124	3	3	2	9	0	1	0	0	0	0	1	25	""	0	0	0	0	0	0	0	0	0	663	NA	663	NA
"305"	"213"	7	184	66	208	4	3	2	2	3	1	5	2	4	4	3	17	""	2	0	2	2	0	0	0	1	1	523	NA	523	NA
"306"	"214"	9	47	28	254	7	4	6	241	6	4	2	2	1	1	1	9	""	3	0	1	3	2	0	0	3	2	636	NA	636	NA
"307"	"215"	21	312	18	38	2	8	1	71	3	0	0	1	0	1	1	35	""	6	1	2	0	0	2	1	0	0	524	NA	524	NA
"308"	"216"	20	195	5	79	1	3	0	42	5	1	1	1	2	5	7	29	""	0	0	3	1	1	0	0	0	0	401	NA	401	NA
"309"	"217"	3	77	2	295	4	0	0	49	0	0	0	0	0	0	0	13	""	2	0	0	0	0	0	0	0	0	445	NA	445	NA
"310"	"218"	13	221	33	12	2	6	1	104	6	1	1	1	2	2	6	8	""	0	1	0	1	0	0	0	0	0	421	NA	421	NA
"311"	"219"	3	24	0	176	2	0	0	3	0	0	0	0	2	0	0	2	""	1	1	0	0	0	0	0	0	0	214	NA	214	NA
"312"	"220"	11	84	36	56	1	1	1	5	0	1	1	1	1	1	5	16	""	1	1	1	0	0	1	0	0	2	227	NA	227	NA
"313"	"221"	256	527	4	27	0	0	0	2	0	0	0	0	0	0	3	2	""	0	0	0	0	0	0	0	0	0	821	NA	821	NA
"314"	"222"	17	114	17	276	11	5	3	57	3	2	0	0	0	1	1	30	""	2	1	3	1	0	1	2	3	1	551	NA	551	NA
"315"	"223"	4	13	46	121	3	0	1	0	1	0	0	3	1	0	1	7	""	9	0	3	3	0	1	0	1	0	218	NA	218	NA
"316"	"224"	19	385	1	45	0	1	0	1	0	0	0	0	0	0	0	6	""	0	0	1	0	0	0	0	0	0	459	NA	459	NA
"317"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"318"	"Total"	408	2863	271	1835	43	36	18	657	29	15	12	13	17	16	30	220	""	28	6	16	12	3	5	3	8	6	6570	NA	6570	NA
"319"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"320"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"321"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""	17	18	19	20	21	22	23	24	25	26	27	28	29
"322"	"Round 17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"323"	"225"	115	329	3	111	0	0	0	0	0	0	0	0	0	0	0	6	""	1	0	0	0	0	0	0	0	0	565	NA	565	NA
"324"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"325"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"326"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"327"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"328"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"329"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"330"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"331"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"332"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"333"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"334"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"335"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"336"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"337"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"338"	"Total"	115	329	3	111	0	0	0	0	0	0	0	0	0	0	0	NA	"6"	1	0	0	0	0	0	0	0	0	565	NA	565	NA
"339"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
