"Sl..No."	"No..of.Polling.Station"	"No..of.Valid.votes.cast..in..favou.r.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendere.d.votes"
"178"	"154"	"154"	"43"	"80"	"10"	"143"	"26"	"8"	"0"	"2"	"2"	"1"	"1"	"12"	"328"	"0"	"328"	""
"179"	"155"	"155"	"79"	"33"	"27"	"251"	"30"	"11"	"4"	"11"	"12"	"8"	"14"	"33"	"513"	"0"	"513"	""
"180"	"156"	"156"	"68"	"15"	"5"	"168"	"10"	"3"	"2"	"0"	"2"	"0"	"1"	"6"	"280"	"0"	"280"	""
"181"	"157"	"157"	"152"	"33"	"10"	"135"	"14"	"6"	"1"	"2"	"5"	"0"	"3"	"10"	"371"	"0"	"371"	""
"182"	"158"	"158"	"68"	"11"	"5"	"320"	"18"	"8"	"1"	"7"	"9"	"3"	"7"	"10"	"467"	"0"	"467"	""
"183"	"159"	"159"	"10"	"11"	"2"	"209"	"7"	"3"	"6"	"0"	"3"	"4"	"2"	"5"	"262"	"0"	"262"	""
"184"	"160"	"160"	"35"	"30"	"5"	"152"	"27"	"7"	"10"	"1"	"4"	"1"	"2"	"9"	"283"	"0"	"283"	""
"185"	"161"	"161"	"49"	"106"	"3"	"132"	"12"	"5"	"2"	"2"	"2"	"2"	"4"	"5"	"324"	"0"	"324"	""
"186"	"162"	"162"	"11"	"144"	"8"	"176"	"16"	"3"	"3"	"2"	"3"	"7"	"6"	"9"	"388"	"0"	"388"	""
"187"	"163"	"163"	"39"	"84"	"3"	"148"	"12"	"3"	"1"	"2"	"0"	"2"	"0"	"4"	"298"	"0"	"298"	""
"188"	"164"	"164"	"69"	"64"	"21"	"124"	"65"	"10"	"35"	"1"	"1"	"4"	"2"	"5"	"401"	"0"	"401"	""
"189"	"165"	"165"	"112"	"142"	"18"	"187"	"30"	"10"	"7"	"8"	"9"	"3"	"7"	"21"	"554"	"0"	"554"	""
"190"	"166"	"166"	"85"	"23"	"17"	"181"	"17"	"5"	"3"	"3"	"4"	"1"	"1"	"5"	"345"	"0"	"345"	""
"191"	"167"	"167"	"13"	"55"	"1"	"169"	"8"	"3"	"1"	"1"	"5"	"1"	"2"	"1"	"260"	"0"	"260"	""
"192"	"168"	"168"	"4"	"123"	"10"	"221"	"16"	"9"	"4"	"4"	"4"	"2"	"5"	"20"	"422"	"0"	"422"	""
"193"	"169"	"169"	"98"	"65"	"6"	"203"	"20"	"4"	"1"	"2"	"5"	"2"	"4"	"8"	"418"	"0"	"418"	""
"194"	"170"	"170"	"31"	"138"	"19"	"286"	"42"	"7"	"5"	"3"	"17"	"7"	"14"	"29"	"598"	"0"	"598"	""
"195"	"171"	"171"	"3"	"0"	"0"	"356"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"365"	"0"	"365"	""
"196"	"172"	"172"	"33"	"56"	"4"	"193"	"10"	"7"	"4"	"0"	"4"	"3"	"2"	"11"	"327"	"0"	"327"	""
"197"	"173"	"173"	"47"	"20"	"4"	"234"	"10"	"3"	"0"	"1"	"3"	"2"	"2"	"9"	"335"	"0"	"335"	""
"198"	"174"	"174"	"23"	"16"	"1"	"73"	"55"	"0"	"0"	"0"	"4"	"2"	"7"	"3"	"184"	"0"	"184"	""
"199"	"175"	"175"	"45"	"65"	"9"	"226"	"34"	"10"	"5"	"5"	"5"	"1"	"4"	"6"	"415"	"0"	"415"	""
"200"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendere d votes"
"201"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"202"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"203"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"204"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"205"	"176"	"176"	"137"	"77"	"24"	"66"	"19"	"6"	"4"	"7"	"5"	"2"	"2"	"6"	"355"	"0"	"355"	""
"206"	"177"	"177"	"69"	"33"	"6"	"93"	"31"	"0"	"2"	"0"	"4"	"2"	"3"	"1"	"244"	"0"	"244"	""
"207"	"178"	"178"	"41"	"76"	"7"	"138"	"75"	"6"	"4"	"3"	"3"	"7"	"10"	"16"	"386"	"0"	"386"	""
"208"	"179"	"179"	"54"	"163"	"11"	"53"	"49"	"3"	"2"	"4"	"3"	"4"	"10"	"12"	"368"	"0"	"368"	""
"209"	"180"	"180"	"122"	"149"	"14"	"143"	"20"	"5"	"1"	"0"	"3"	"1"	"4"	"7"	"469"	"0"	"469"	""
"210"	"Total No. of votes recording at polling Stations"	""	"14642"	"8873"	"1563"	"26864"	"3834"	"904"	"1382"	"347"	"591"	"405"	"570"	"1489"	"61464"	"0"	"61464"	""
"211"	"No. of votes recorded on postal ballot papers"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""
"212"	"Total Votes polled"	""	"14642"	"8873"	"1563"	"26864"	"3834"	"904"	"1382"	"347"	"591"	"405"	"570"	"1489"	"61464"	"0"	"61464"	""
"213"	"Place :      MOTIHARI                                                                                                                                                                                                                                    Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"Date  :   16/05/2009                                                                                                                                                                                                                                                      015-Kesaria"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
