"fo.kku.l.Hkk..ks..l.a....k...oa.uke..04.cxgk"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"fuokZpdksa dh dqy  l a[ ; k&235166"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nh u"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k;
.k ; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"132"	"104"	"14"	"204"	"95"	"9"	"16"	"3"	"2"	"1"	"0"	"0"	"6"	"0"	"1"	"0"	"1"	"3"	"355"	""	"355"	""
"133"	"105"	"3"	"220"	"77"	"5"	"66"	"3"	"3"	"1"	"0"	"2"	"21"	"5"	"1"	"4"	"5"	"6"	"422"	""	"422"	""
"134"	"106"	"7"	"208"	"11"	"3"	"28"	"2"	"0"	"0"	"2"	"4"	"7"	"1"	"2"	"5"	"8"	"6"	"294"	""	"294"	""
"135"	"107"	"3"	"92"	"111"	"2"	"54"	"2"	"3"	"0"	"0"	"2"	"2"	"3"	"3"	"5"	"23"	"6"	"311"	""	"311"	""
"136"	"108"	"19"	"188"	"101"	"7"	"4"	"4"	"0"	"2"	"2"	"2"	"27"	"0"	"5"	"7"	"10"	"3"	"381"	""	"381"	""
"137"	"109"	"12"	"375"	"19"	"5"	"20"	"2"	"1"	"0"	"2"	"1"	"15"	"1"	"2"	"2"	"4"	"1"	"462"	""	"462"	""
"138"	"110"	"27"	"308"	"34"	"5"	"68"	"1"	"2"	"2"	"4"	"6"	"101"	"3"	"2"	"1"	"3"	"7"	"574"	""	"574"	""
"139"	"111"	"4"	"302"	"73"	"2"	"40"	"2"	"0"	"0"	"0"	"4"	"1"	"1"	"2"	"2"	"2"	"4"	"439"	""	"439"	""
"140"	"112"	"17"	"304"	"44"	"6"	"70"	"9"	"4"	"2"	"0"	"0"	"8"	"1"	"4"	"3"	"6"	"5"	"483"	""	"483"	""
"141"	"VksVy"	"170"	"4053"	"774"	"83"	"501"	"51"	"31"	"10"	"26"	"36"	"515"	"38"	"51"	"43"	"96"	"115"	"6593"	"0"	"6593"	"0"
"142"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nh u"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k;
.k ; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"143"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"144"	"113"	"16"	"288"	"132"	"7"	"11"	"2"	"1"	"0"	"4"	"4"	"13"	"2"	"4"	"8"	"5"	"13"	"510"	""	"510"	""
"145"	"114"	"8"	"170"	"97"	"6"	"8"	"0"	"1"	"2"	"0"	"3"	"1"	"0"	"1"	"0"	"3"	"5"	"305"	""	"305"	""
"146"	"115"	"28"	"405"	"45"	"89"	"13"	"5"	"2"	"2"	"2"	"3"	"56"	"9"	"11"	"1"	"6"	"20"	"697"	""	"697"	""
"147"	"116"	"10"	"361"	"28"	"4"	"31"	"3"	"1"	"3"	"1"	"6"	"39"	"5"	"8"	"2"	"5"	"10"	"517"	""	"517"	""
"148"	"117"	"22"	"254"	"32"	"2"	"25"	"3"	"2"	"1"	"4"	"7"	"46"	"4"	"30"	"2"	"2"	"7"	"443"	""	"443"	""
"149"	"118"	"6"	"190"	"9"	"6"	"52"	"2"	"3"	"0"	"2"	"3"	"87"	"3"	"51"	"2"	"6"	"10"	"432"	""	"432"	""
"150"	"119"	"5"	"72"	"5"	"1"	"83"	"0"	"2"	"2"	"2"	"2"	"3"	"3"	"5"	"2"	"1"	"8"	"196"	""	"196"	""
"151"	"120"	"18"	"326"	"74"	"7"	"17"	"4"	"1"	"0"	"1"	"0"	"6"	"1"	"1"	"1"	"0"	"3"	"460"	""	"460"	""
"152"	"121"	"16"	"301"	"67"	"10"	"15"	"2"	"1"	"0"	"1"	"2"	"2"	"2"	"1"	"5"	"5"	"6"	"436"	""	"436"	""
"153"	"122"	"12"	"340"	"61"	"4"	"9"	"2"	"2"	"1"	"1"	"2"	"0"	"1"	"0"	"1"	"2"	"1"	"439"	""	"439"	""
"154"	"123"	"13"	"232"	"97"	"7"	"14"	"1"	"0"	"0"	"1"	"1"	"9"	"1"	"1"	"1"	"2"	"1"	"381"	""	"381"	""
"155"	"124"	"32"	"235"	"72"	"10"	"55"	"4"	"2"	"0"	"3"	"2"	"3"	"0"	"0"	"0"	"5"	"5"	"428"	""	"428"	""
"156"	"125"	"50"	"198"	"109"	"15"	"33"	"2"	"0"	"1"	"2"	"3"	"2"	"0"	"1"	"5"	"6"	"9"	"436"	""	"436"	""
"157"	"126"	"5"	"294"	"40"	"3"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"385"	""	"385"	""
"158"	"VksVy"	"241"	"3666"	"868"	"171"	"407"	"30"	"18"	"12"	"24"	"38"	"267"	"31"	"114"	"30"	"50"	"98"	"6065"	"0"	"6065"	"0"
"159"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nh u"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k;
.k ; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"160"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"161"	"127"	"6"	"218"	"45"	"10"	"101"	"13"	"1"	"1"	"1"	"2"	"2"	"6"	"2"	"2"	"7"	"11"	"428"	""	"428"	""
"162"	"128"	"13"	"315"	"10"	"10"	"63"	"5"	"1"	"1"	"3"	"4"	"2"	"0"	"2"	"1"	"3"	"4"	"437"	""	"437"	""
"163"	"129"	"18"	"394"	"129"	"14"	"9"	"3"	"0"	"4"	"1"	"4"	"2"	"1"	"2"	"3"	"2"	"1"	"587"	""	"587"	""
"164"	"130"	"6"	"112"	"49"	"3"	"5"	"3"	"4"	"2"	"3"	"3"	"171"	"0"	"13"	"2"	"3"	"1"	"380"	""	"380"	""
"165"	"131"	"15"	"413"	"36"	"7"	"5"	"6"	"3"	"5"	"0"	"2"	"37"	"1"	"5"	"0"	"3"	"7"	"545"	""	"545"	""
"166"	"132"	"17"	"56"	"43"	"12"	"45"	"4"	"2"	"1"	"1"	"0"	"346"	"4"	"9"	"1"	"1"	"3"	"545"	""	"545"	""
"167"	"133"	"5"	"76"	"1"	"2"	"18"	"24"	"3"	"3"	"5"	"6"	"325"	"6"	"18"	"1"	"5"	"6"	"504"	""	"504"	""
"168"	"134"	"10"	"248"	"102"	"4"	"6"	"4"	"0"	"1"	"1"	"0"	"7"	"0"	"2"	"1"	"1"	"3"	"390"	""	"390"	""
"169"	"135"	"17"	"283"	"7"	"8"	"72"	"5"	"3"	"1"	"0"	"1"	"15"	"5"	"1"	"6"	"6"	"10"	"440"	""	"440"	""
"170"	"136"	"7"	"217"	"126"	"4"	"36"	"1"	"2"	"4"	"2"	"3"	"17"	"3"	"3"	"0"	"5"	"2"	"432"	""	"432"	""
"171"	"137"	"2"	"166"	"130"	"7"	"6"	"3"	"4"	"1"	"1"	"2"	"86"	"1"	"5"	"3"	"0"	"2"	"419"	""	"419"	""
"172"	"138"	"0"	"316"	"6"	"1"	"31"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"359"	""	"359"	""
"173"	"139"	"14"	"271"	"21"	"6"	"83"	"2"	"2"	"0"	"0"	"4"	"7"	"1"	"2"	"2"	"0"	"2"	"417"	""	"417"	""
"174"	"140"	"8"	"211"	"93"	"3"	"40"	"5"	"3"	"5"	"3"	"2"	"21"	"1"	"1"	"0"	"1"	"4"	"401"	""	"401"	""
"175"	"VksVy"	"138"	"3296"	"798"	"91"	"520"	"79"	"29"	"29"	"21"	"33"	"1039"	"29"	"65"	"22"	"38"	"57"	"6284"	"0"	"6284"	"0"
"176"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nh u"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k;
.k ; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"177"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"178"	"141"	"13"	"246"	"56"	"3"	"71"	"6"	"3"	"1"	"2"	"1"	"3"	"1"	"2"	"4"	"6"	"4"	"422"	""	"422"	""
"179"	"142"	"12"	"255"	"26"	"3"	"40"	"4"	"1"	"1"	"2"	"7"	"8"	"2"	"0"	"4"	"3"	"9"	"377"	""	"377"	""
"180"	"143"	"6"	"211"	"130"	"9"	"53"	"5"	"3"	"1"	"1"	"5"	"12"	"4"	"4"	"2"	"0"	"10"	"456"	""	"456"	""
"181"	"144"	"11"	"235"	"48"	"5"	"106"	"5"	"2"	"3"	"2"	"3"	"2"	"0"	"1"	"1"	"2"	"6"	"432"	""	"432"	""
"182"	"145"	"6"	"243"	"22"	"3"	"30"	"2"	"3"	"1"	"1"	"1"	"2"	"2"	"3"	"1"	"3"	"4"	"327"	""	"327"	""
"183"	"146"	"7"	"59"	"4"	"3"	"52"	"4"	"1"	"2"	"0"	"1"	"131"	"1"	"6"	"1"	"0"	"3"	"275"	""	"275"	""
"184"	"147"	"3"	"87"	"3"	"12"	"3"	"3"	"1"	"0"	"1"	"2"	"129"	"1"	"3"	"1"	"1"	"3"	"253"	""	"253"	""
"185"	"148"	"7"	"28"	"20"	"46"	"4"	"4"	"0"	"1"	"2"	"4"	"325"	"1"	"7"	"1"	"1"	"2"	"453"	""	"453"	""
"186"	"149"	"3"	"28"	"101"	"24"	"4"	"4"	"3"	"3"	"2"	"2"	"114"	"0"	"2"	"2"	"0"	"1"	"293"	""	"293"	""
"187"	"150"	"3"	"88"	"10"	"2"	"42"	"3"	"2"	"1"	"3"	"5"	"233"	"2"	"8"	"0"	"0"	"0"	"402"	""	"402"	""
"188"	"151"	"3"	"29"	"51"	"9"	"10"	"0"	"0"	"2"	"1"	"2"	"194"	"6"	"9"	"0"	"2"	"3"	"321"	""	"321"	""
"189"	"152"	"0"	"38"	"85"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"137"	""	"137"	""
"190"	"153"	"5"	"44"	"2"	"3"	"11"	"3"	"1"	"0"	"0"	"1"	"186"	"2"	"4"	"1"	"5"	"1"	"269"	""	"269"	""
"191"	"154"	"1"	"26"	"2"	"24"	"20"	"0"	"1"	"1"	"2"	"0"	"174"	"2"	"5"	"2"	"2"	"2"	"264"	""	"264"	""
"192"	"VksVy"	"80"	"1617"	"560"	"149"	"453"	"43"	"21"	"17"	"19"	"34"	"1515"	"24"	"55"	"20"	"25"	"49"	"4681"	"0"	"4681"	"0"
"193"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nh u"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k;
.k ; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"194"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"195"	"155"	"3"	"158"	"14"	"2"	"46"	"1"	"2"	"2"	"1"	"1"	"7"	"3"	"2"	"3"	"2"	"3"	"250"	""	"250"	""
"196"	"156"	"15"	"233"	"172"	"16"	"37"	"4"	"2"	"3"	"2"	"1"	"6"	"2"	"1"	"3"	"1"	"7"	"505"	""	"505"	""
"197"	"157"	"0"	"80"	"3"	"0"	"41"	"1"	"0"	"3"	"0"	"0"	"2"	"2"	"1"	"3"	"4"	"16"	"156"	""	"156"	""
"198"	"158"	"17"	"255"	"19"	"17"	"49"	"3"	"2"	"3"	"3"	"3"	"10"	"2"	"3"	"2"	"1"	"8"	"397"	""	"397"	""
"199"	"159"	"17"	"360"	"110"	"13"	"24"	"2"	"1"	"1"	"4"	"0"	"9"	"0"	"8"	"12"	"10"	"22"	"593"	""	"593"	""
"200"	"160"	"11"	"159"	"59"	"4"	"67"	"7"	"5"	"4"	"1"	"3"	"124"	"0"	"8"	"1"	"0"	"1"	"454"	""	"454"	""
"201"	"161"	"16"	"116"	"108"	"20"	"75"	"1"	"4"	"1"	"4"	"1"	"2"	"0"	"0"	"3"	"2"	"3"	"356"	""	"356"	""
"202"	"162"	"9"	"369"	"137"	"5"	"1"	"2"	"1"	"0"	"0"	"1"	"4"	"0"	"0"	"0"	"2"	"0"	"531"	""	"531"	""
"203"	"163"	"10"	"221"	"10"	"1"	"18"	"2"	"0"	"1"	"1"	"1"	"17"	"0"	"3"	"0"	"1"	"0"	"286"	""	"286"	""
"204"	"164"	"18"	"207"	"110"	"8"	"62"	"5"	"0"	"2"	"2"	"5"	"53"	"2"	"11"	"5"	"6"	"12"	"508"	""	"508"	""
"205"	"165"	"13"	"316"	"10"	"28"	"29"	"7"	"1"	"3"	"1"	"3"	"200"	"3"	"8"	"0"	"4"	"4"	"630"	""	"630"	""
"206"	"166"	"3"	"320"	"36"	"37"	"107"	"3"	"2"	"3"	"5"	"7"	"29"	"14"	"10"	"3"	"8"	"14"	"601"	""	"601"	""
"207"	"167"	"8"	"77"	"34"	"9"	"145"	"2"	"4"	"0"	"2"	"0"	"30"	"53"	"1"	"1"	"0"	"4"	"370"	""	"370"	""
"208"	"168"	"20"	"392"	"21"	"34"	"82"	"6"	"0"	"1"	"0"	"2"	"9"	"5"	"2"	"3"	"6"	"2"	"585"	""	"585"	""
"209"	"VksVy"	"160"	"3263"	"843"	"194"	"783"	"46"	"24"	"27"	"26"	"28"	"502"	"86"	"58"	"39"	"47"	"96"	"6222"	"0"	"6222"	"0"
"210"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nh u"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k;
.k ; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"211"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"212"	"169"	"6"	"99"	"14"	"17"	"4"	"0"	"1"	"0"	"0"	"1"	"72"	"0"	"3"	"2"	"2"	"4"	"225"	""	"225"	""
"213"	"170"	"11"	"177"	"5"	"5"	"12"	"1"	"0"	"0"	"0"	"1"	"22"	"2"	"2"	"1"	"2"	"3"	"244"	""	"244"	""
"214"	"171"	"8"	"29"	"10"	"5"	"135"	"3"	"0"	"1"	"3"	"4"	"12"	"0"	"1"	"5"	"1"	"9"	"226"	""	"226"	""
"215"	"172"	"22"	"221"	"73"	"20"	"84"	"1"	"2"	"1"	"1"	"0"	"10"	"1"	"0"	"0"	"1"	"6"	"443"	""	"443"	""
"216"	"173"	"21"	"235"	"23"	"15"	"73"	"1"	"2"	"0"	"0"	"3"	"26"	"6"	"1"	"3"	"3"	"5"	"417"	""	"417"	""
"217"	"174"	"44"	"362"	"39"	"3"	"60"	"8"	"5"	"2"	"4"	"3"	"29"	"4"	"4"	"2"	"3"	"9"	"581"	""	"581"	""
"218"	"175"	"10"	"127"	"19"	"2"	"87"	"4"	"1"	"2"	"0"	"1"	"2"	"2"	"4"	"2"	"7"	"5"	"275"	""	"275"	""
"219"	"176"	"9"	"425"	"79"	"2"	"30"	"11"	"6"	"0"	"1"	"0"	"2"	"0"	"2"	"4"	"7"	"0"	"578"	""	"578"	""
"220"	"177"	"0"	"281"	"61"	"4"	"19"	"13"	"4"	"4"	"3"	"3"	"78"	"4"	"10"	"7"	"6"	"9"	"506"	""	"506"	""
"221"	"178"	"8"	"219"	"81"	"9"	"25"	"3"	"2"	"0"	"2"	"2"	"77"	"5"	"8"	"2"	"4"	"6"	"453"	""	"453"	""
"222"	"179"	"8"	"93"	"52"	"9"	"109"	"8"	"2"	"5"	"4"	"1"	"7"	"11"	"4"	"5"	"1"	"11"	"330"	""	"330"	""
"223"	"180"	"11"	"335"	"17"	"5"	"60"	"3"	"0"	"1"	"4"	"1"	"14"	"2"	"1"	"2"	"6"	"0"	"462"	""	"462"	""
"224"	"181"	"17"	"558"	"29"	"33"	"10"	"5"	"4"	"2"	"7"	"5"	"3"	"3"	"2"	"7"	"6"	"16"	"707"	""	"707"	""
"225"	"182"	"14"	"265"	"28"	"4"	"71"	"3"	"1"	"0"	"1"	"1"	"66"	"2"	"2"	"0"	"1"	"2"	"461"	""	"461"	""
"226"	"VksVy"	"189"	"3426"	"530"	"133"	"779"	"64"	"30"	"18"	"30"	"26"	"420"	"42"	"44"	"42"	"50"	"85"	"5908"	"0"	"5908"	"0"
"227"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nh u"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k;
.k ; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"228"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"229"	"183"	"8"	"172"	"65"	"7"	"63"	"10"	"5"	"0"	"1"	"0"	"5"	"5"	"1"	"3"	"5"	"8"	"358"	""	"358"	""
"230"	"184"	"17"	"335"	"35"	"36"	"6"	"2"	"2"	"4"	"2"	"3"	"63"	"2"	"11"	"6"	"6"	"10"	"540"	""	"540"	""
"231"	"185"	"27"	"241"	"64"	"6"	"1"	"1"	"1"	"3"	"2"	"0"	"22"	"3"	"5"	"2"	"4"	"3"	"385"	""	"385"	""
"232"	"186"	"16"	"303"	"0"	"9"	"33"	"4"	"1"	"1"	"1"	"1"	"48"	"1"	"6"	"1"	"7"	"1"	"433"	""	"433"	""
"233"	"187"	"24"	"431"	"25"	"36"	"24"	"1"	"1"	"0"	"3"	"0"	"4"	"1"	"1"	"11"	"9"	"6"	"577"	""	"577"	""
"234"	"188"	"21"	"226"	"6"	"35"	"40"	"1"	"1"	"1"	"1"	"4"	"110"	"4"	"3"	"2"	"1"	"8"	"464"	""	"464"	""
"235"	"189"	"11"	"127"	"88"	"18"	"12"	"2"	"0"	"1"	"2"	"2"	"43"	"3"	"4"	"1"	"2"	"4"	"320"	""	"320"	""
"236"	"190"	"6"	"178"	"11"	"16"	"3"	"0"	"1"	"0"	"4"	"4"	"102"	"2"	"7"	"0"	"6"	"11"	"351"	""	"351"	""
"237"	"191"	"7"	"142"	"63"	"21"	"124"	"5"	"3"	"1"	"1"	"1"	"2"	"0"	"2"	"4"	"2"	"7"	"385"	""	"385"	""
"238"	"192"	"11"	"330"	"47"	"12"	"31"	"33"	"3"	"1"	"5"	"7"	"24"	"3"	"1"	"3"	"1"	"5"	"517"	""	"517"	""
"239"	"193"	"4"	"54"	"31"	"3"	"4"	"0"	"2"	"0"	"2"	"2"	"142"	"3"	"4"	"1"	"0"	"4"	"256"	""	"256"	""
"240"	"194"	"2"	"53"	"2"	"7"	"17"	"1"	"2"	"1"	"4"	"7"	"368"	"2"	"8"	"3"	"5"	"1"	"483"	""	"483"	""
"241"	"195"	"15"	"98"	"44"	"4"	"22"	"6"	"3"	"4"	"5"	"6"	"197"	"5"	"6"	"0"	"2"	"5"	"422"	""	"422"	""
"242"	"196"	"14"	"120"	"60"	"18"	"31"	"4"	"1"	"2"	"0"	"1"	"50"	"3"	"2"	"0"	"0"	"3"	"309"	""	"309"	""
"243"	"VksVy"	"183"	"2810"	"541"	"228"	"411"	"70"	"26"	"19"	"33"	"38"	"1180"	"37"	"61"	"37"	"50"	"76"	"5800"	"0"	"5800"	"0"
"244"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nh u"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k;
.k ; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"245"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"246"	"197"	"9"	"411"	"8"	"0"	"43"	"1"	"2"	"0"	"2"	"0"	"7"	"0"	"1"	"1"	"1"	"0"	"486"	""	"486"	""
"247"	"198"	"1"	"143"	"129"	"7"	"78"	"5"	"4"	"2"	"7"	"23"	"1"	"3"	"8"	"3"	"3"	"0"	"417"	""	"417"	""
"248"	"199"	"12"	"257"	"93"	"6"	"8"	"6"	"2"	"3"	"2"	"1"	"96"	"2"	"4"	"3"	"7"	"8"	"510"	""	"510"	""
"249"	"200"	"20"	"273"	"81"	"8"	"22"	"5"	"1"	"3"	"3"	"1"	"51"	"6"	"2"	"2"	"5"	"9"	"492"	""	"492"	""
"250"	"201"	"14"	"316"	"64"	"13"	"35"	"8"	"11"	"5"	"2"	"3"	"116"	"4"	"4"	"2"	"2"	"5"	"604"	""	"604"	""
"251"	"202"	"5"	"168"	"2"	"2"	"14"	"10"	"2"	"3"	"-"	"3"	"484"	"4"	"9"	"3"	"5"	"5"	"719"	""	"719"	""
"252"	"203"	"12"	"226"	"27"	"14"	"86"	"6"	"3"	"4"	"4"	"7"	"5"	"1"	"4"	"2"	"1"	"2"	"404"	""	"404"	""
"253"	"204"	"89"	"376"	"10"	"19"	"28"	"4"	"3"	"2"	"-"	"3"	"69"	"5"	"8"	"2"	"7"	"14"	"639"	""	"639"	""
"254"	"205"	"19"	"171"	"84"	"7"	"101"	"12"	"7"	"3"	"2"	"3"	"30"	"3"	"7"	"3"	"4"	"8"	"464"	""	"464"	""
"255"	"206"	"8"	"107"	"17"	"9"	"22"	"3"	"1"	"-"	"2"	"4"	"94"	"2"	"4"	"2"	"2"	"3"	"280"	""	"280"	""
"256"	"207"	"12"	"200"	"15"	"11"	"109"	"-"	"1"	"1"	"1"	"1"	"59"	"2"	"3"	"-"	"1"	"3"	"419"	""	"419"	""
"257"	"208"	"5"	"136"	"1"	"1"	"28"	"-"	"2"	"7"	"1"	"2"	"10"	"-"	"3"	"1"	"1"	"3"	"201"	""	"201"	""
"258"	"209"	"25"	"391"	"39"	"15"	"6"	"5"	"-"	"2"	"2"	"2"	"3"	"2"	"-"	"-"	"1"	"2"	"495"	""	"495"	""
"259"	"210"	"13"	"330"	"44"	"8"	"20"	"25"	"6"	"3"	"3"	"2"	"46"	"2"	"7"	"3"	"8"	"4"	"524"	""	"524"	""
"260"	"VksVy"	"244"	"3505"	"614"	"120"	"600"	"90"	"45"	"38"	"31"	"55"	"1071"	"36"	"64"	"27"	"48"	"66"	"6654"	"0"	"6654"	"0"
"261"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &04&cxgk"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"fuokZpdksa dh dqy  l a[ ; k&235166                                                                                                   vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
