"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X225702.33.Khajauli"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"168"	""	"125"	"169"	"12"	"136"	"255"	"18"	"9"	"9"	"14"	"5"	"8"	"6"	"641"	""	"641"	""
"169"	""	"126"	"120"	"12"	"95"	"226"	"5"	"7"	"2"	"4"	"2"	"2"	"8"	"483"	""	"483"	""
"170"	""	"Total -"	"927"	"103"	"1928"	"2221"	"110"	"117"	"69"	"66"	"45"	"70"	"132"	"5788"	"0"	"5788"	"0"
"171"	""	""	""	""	""	""	""	"225702
33-Khajauli"	""	""	""	""	""	""	""	""	""
"172"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"173"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, <U+F079><U+F06B><U+F073><U+F030><U+F06C><U+F030><U+F06E><U+F079>"	"Yog Nath Mandal,
<U+F064><U+F030><U+F069><U+F06B><U+F030><U+F062><U+F061><U+F030><U+F0BC><U+F065><U+F06B><U+F030><U+F079><U+F073><U+F030>
<U+F0BD><U+F066><U+F079><U+F030>"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"174"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"175"	"Round No 10"	"127"	"79"	"7"	"332"	"212"	"76"	"9"	"10"	"11"	"2"	"11"	"12"	"761"	""	"761"	""
"176"	""	"128"	"78"	"2"	"164"	"164"	"4"	"9"	"5"	"4"	"6"	"6"	"23"	"465"	""	"465"	""
"177"	""	"129"	"18"	"1"	"174"	"80"	"8"	"2"	"2"	"2"	"2"	"5"	"5"	"299"	""	"299"	""
"178"	""	"130"	"25"	"6"	"514"	"67"	"4"	"6"	"7"	"3"	"8"	"6"	"13"	"659"	""	"659"	""
"179"	""	"131"	"32"	"4"	"277"	"110"	"5"	"5"	"3"	"1"	"1"	"6"	"5"	"449"	""	"449"	""
"180"	""	"132"	"16"	"5"	"433"	"43"	"11"	"3"	"2"	"0"	"2"	"9"	"6"	"530"	""	"530"	""
"181"	""	"133"	"32"	"7"	"221"	"197"	"146"	"8"	"2"	"3"	"2"	"7"	"14"	"639"	""	"639"	""
"182"	""	"134"	"38"	"11"	"350"	"267"	"19"	"9"	"4"	"2"	"3"	"14"	"14"	"731"	""	"731"	""
"183"	""	"135"	"10"	"2"	"376"	"46"	"4"	"1"	"3"	"0"	"0"	"2"	"13"	"457"	""	"457"	""
"184"	""	"136"	"9"	"2"	"452"	"84"	"4"	"1"	"1"	"0"	"2"	"2"	"4"	"561"	""	"561"	""
"185"	""	"137"	"2"	"1"	"403"	"18"	"0"	"0"	"2"	"1"	"1"	"1"	"0"	"429"	""	"429"	""
"186"	""	"138"	"12"	"2"	"48"	"329"	"21"	"29"	"6"	"7"	"3"	"15"	"16"	"488"	""	"488"	""
"187"	""	"139"	"214"	"12"	"68"	"125"	"12"	"7"	"5"	"5"	"2"	"6"	"8"	"464"	""	"464"	""
"188"	""	"140"	"52"	"3"	"56"	"282"	"18"	"4"	"6"	"6"	"4"	"8"	"32"	"471"	""	"471"	""
"189"	""	"Total -"	"617"	"65"	"3868"	"2024"	"332"	"93"	"58"	"45"	"38"	"98"	"165"	"7403"	"0"	"7403"	"0"
"190"	""	""	""	""	""	""	""	"225702
33-Khajauli"	""	""	""	""	""	""	""	""	""
"191"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"192"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, <U+F079><U+F06B><U+F073><U+F030><U+F06C><U+F030><U+F06E><U+F079>"	"Yog Nath Mandal,
<U+F064><U+F030><U+F069><U+F06B><U+F030><U+F062><U+F061><U+F030><U+F0BC><U+F065><U+F06B><U+F030><U+F079><U+F073><U+F030>
<U+F0BD><U+F066><U+F079><U+F030>"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"193"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"194"	"Round No 11"	"141"	"60"	"7"	"61"	"238"	"13"	"13"	"7"	"3"	"8"	"4"	"9"	"423"	""	"423"	""
"195"	""	"142"	"199"	"13"	"125"	"233"	"6"	"6"	"13"	"12"	"10"	"7"	"18"	"642"	""	"642"	""
"196"	""	"143"	"186"	"6"	"131"	"98"	"2"	"1"	"1"	"0"	"1"	"1"	"7"	"434"	""	"434"	""
"197"	""	"144"	"113"	"6"	"272"	"218"	"14"	"8"	"5"	"6"	"8"	"5"	"42"	"697"	""	"697"	""
"198"	""	"145"	"13"	"2"	"359"	"198"	"9"	"9"	"9"	"7"	"10"	"9"	"28"	"653"	""	"653"	""
"199"	""	"146"	"151"	"1"	"92"	"238"	"3"	"0"	"4"	"1"	"0"	"1"	"4"	"495"	""	"495"	""
"200"	""	"147"	"70"	"1"	"32"	"346"	"3"	"1"	"5"	"0"	"0"	"0"	"2"	"460"	""	"460"	""
"201"	""	"148"	"131"	"10"	"98"	"151"	"8"	"11"	"3"	"2"	"2"	"5"	"3"	"424"	""	"424"	""
"202"	""	"149"	"177"	"16"	"182"	"29"	"3"	"7"	"5"	"1"	"3"	"7"	"6"	"436"	""	"436"	""
"203"	""	"150"	"20"	"0"	"40"	"185"	"2"	"1"	"3"	"0"	"3"	"1"	"5"	"260"	""	"260"	""
"204"	""	"151"	"56"	"2"	"64"	"316"	"4"	"3"	"0"	"0"	"1"	"0"	"0"	"446"	""	"446"	""
"205"	""	"152"	"53"	"1"	"56"	"312"	"4"	"5"	"3"	"2"	"2"	"3"	"1"	"442"	""	"442"	""
"206"	""	"153"	"37"	"4"	"80"	"428"	"7"	"1"	"11"	"3"	"3"	"5"	"6"	"585"	""	"585"	""
"207"	""	"154"	"68"	"7"	"169"	"337"	"3"	"4"	"2"	"1"	"2"	"1"	"6"	"600"	""	"600"	""
"208"	""	"Total -"	"1334"	"76"	"1761"	"3327"	"81"	"70"	"71"	"38"	"53"	"49"	"137"	"6997"	"0"	"6997"	"0"
"209"	""	""	""	""	""	""	""	"225702
33-Khajauli"	""	""	""	""	""	""	""	""	""
"210"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"211"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, <U+F079><U+F06B><U+F073><U+F030><U+F06C><U+F030><U+F06E><U+F079>"	"Yog Nath Mandal,
<U+F064><U+F030><U+F069><U+F06B><U+F030><U+F062><U+F061><U+F030><U+F0BC><U+F065><U+F06B><U+F030><U+F079><U+F073><U+F030>
<U+F0BD><U+F066><U+F079><U+F030>"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"212"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"213"	"Round No 12"	"155"	"87"	"14"	"172"	"316"	"7"	"7"	"8"	"3"	"6"	"9"	"21"	"650"	""	"650"	""
"214"	""	"156"	"144"	"5"	"266"	"235"	"8"	"3"	"7"	"1"	"4"	"9"	"10"	"692"	""	"692"	""
"215"	""	"157"	"79"	"9"	"90"	"219"	"3"	"6"	"5"	"5"	"3"	"8"	"4"	"431"	""	"431"	""
"216"	""	"158"	"30"	"1"	"249"	"105"	"4"	"11"	"3"	"3"	"4"	"4"	"6"	"420"	""	"420"	""
"217"	""	"159"	"126"	"5"	"104"	"74"	"1"	"14"	"1"	"1"	"1"	"5"	"2"	"334"	""	"334"	""
"218"	""	"160"	"42"	"3"	"122"	"176"	"5"	"4"	"4"	"4"	"1"	"4"	"6"	"371"	""	"371"	""
"219"	""	"161"	"70"	"3"	"224"	"82"	"4"	"3"	"0"	"2"	"5"	"2"	"5"	"400"	""	"400"	""
"220"	""	"162"	"43"	"5"	"93"	"195"	"9"	"12"	"1"	"5"	"6"	"7"	"13"	"389"	""	"389"	""
"221"	""	"163"	"66"	"2"	"45"	"137"	"1"	"3"	"2"	"0"	"0"	"0"	"3"	"259"	""	"259"	""
"222"	""	"164"	"78"	"8"	"233"	"168"	"6"	"12"	"5"	"1"	"1"	"6"	"15"	"533"	""	"533"	""
"223"	""	"165"	"21"	"2"	"32"	"108"	"1"	"0"	"2"	"0"	"2"	"0"	"0"	"168"	""	"168"	""
"224"	""	"166"	"10"	"5"	"218"	"246"	"23"	"7"	"4"	"5"	"0"	"4"	"5"	"527"	""	"527"	""
"225"	""	"167"	"42"	"5"	"211"	"145"	"3"	"13"	"3"	"0"	"1"	"2"	"3"	"428"	""	"428"	""
"226"	""	"168"	"18"	"6"	"386"	"165"	"3"	"4"	"3"	"5"	"2"	"2"	"1"	"595"	""	"595"	""
"227"	""	"Total -"	"856"	"73"	"2445"	"2371"	"78"	"99"	"48"	"35"	"36"	"62"	"94"	"6197"	"0"	"6197"	"0"
"228"	""	""	""	""	""	""	""	"225702
33-Khajauli"	""	""	""	""	""	""	""	""	""
"229"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"230"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, <U+F079><U+F06B><U+F073><U+F030><U+F06C><U+F030><U+F06E><U+F079>"	"Yog Nath Mandal,
<U+F064><U+F030><U+F069><U+F06B><U+F030><U+F062><U+F061><U+F030><U+F0BC><U+F065><U+F06B><U+F030><U+F079><U+F073><U+F030>
<U+F0BD><U+F066><U+F079><U+F030>"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"231"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"232"	"Round No 13"	"169"	"39"	"12"	"260"	"332"	"13"	"12"	"16"	"2"	"10"	"14"	"10"	"720"	""	"720"	""
"233"	""	"170"	"22"	"9"	"435"	"125"	"8"	"10"	"8"	"10"	"7"	"6"	"14"	"654"	""	"654"	""
"234"	""	"171"	"7"	"3"	"370"	"88"	"5"	"9"	"1"	"2"	"3"	"4"	"13"	"505"	""	"505"	""
"235"	""	"172"	"111"	"14"	"430"	"94"	"12"	"11"	"8"	"4"	"3"	"6"	"6"	"699"	""	"699"	""
"236"	""	"173"	"93"	"11"	"293"	"50"	"7"	"4"	"0"	"5"	"4"	"7"	"5"	"479"	""	"479"	""
"237"	""	"174"	"225"	"5"	"51"	"43"	"3"	"2"	"0"	"1"	"2"	"2"	"3"	"337"	""	"337"	""
"238"	""	"175"	"117"	"11"	"209"	"46"	"1"	"7"	"3"	"4"	"4"	"8"	"3"	"413"	""	"413"	""
"239"	""	"176"	"30"	"4"	"299"	"117"	"15"	"5"	"6"	"7"	"2"	"2"	"5"	"492"	""	"492"	""
"240"	""	"177"	"29"	"0"	"105"	"34"	"1"	"0"	"1"	"1"	"3"	"5"	"3"	"182"	""	"182"	""
"241"	""	"178"	"34"	"12"	"204"	"216"	"13"	"6"	"2"	"12"	"5"	"8"	"16"	"528"	""	"528"	""
"242"	""	"179"	"38"	"5"	"44"	"246"	"31"	"5"	"4"	"4"	"6"	"7"	"10"	"400"	""	"400"	""
"243"	""	"180"	"34"	"0"	"135"	"154"	"12"	"5"	"1"	"2"	"3"	"1"	"5"	"352"	""	"352"	""
"244"	""	"181"	"128"	"10"	"169"	"155"	"6"	"13"	"7"	"2"	"4"	"8"	"10"	"512"	""	"512"	""
"245"	""	"182"	"22"	"4"	"84"	"218"	"11"	"11"	"6"	"3"	"6"	"2"	"4"	"371"	""	"371"	""
"246"	""	"Total -"	"929"	"100"	"3088"	"1918"	"138"	"100"	"63"	"59"	"62"	"80"	"107"	"6644"	"0"	"6644"	"0"
"247"	""	""	""	""	""	""	""	"225702
33-Khajauli"	""	""	""	""	""	""	""	""	""
"248"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"249"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, <U+F079><U+F06B><U+F073><U+F030><U+F06C><U+F030><U+F06E><U+F079>"	"Yog Nath Mandal,
<U+F064><U+F030><U+F069><U+F06B><U+F030><U+F062><U+F061><U+F030><U+F0BC><U+F065><U+F06B><U+F030><U+F079><U+F073><U+F030>
<U+F0BD><U+F066><U+F079><U+F030>"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"250"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"251"	"Round No 14"	"183"	"8"	"3"	"608"	"75"	"6"	"4"	"2"	"1"	"3"	"5"	"6"	"721"	""	"721"	""
"252"	""	"184"	"19"	"6"	"468"	"25"	"2"	"5"	"0"	"1"	"2"	"2"	"3"	"533"	""	"533"	""
"253"	""	"185"	"27"	"2"	"260"	"182"	"6"	"11"	"7"	"0"	"2"	"0"	"1"	"498"	""	"498"	""
"254"	""	"186"	"9"	"3"	"44"	"113"	"2"	"2"	"5"	"2"	"1"	"1"	"1"	"183"	""	"183"	""
"255"	""	"187"	"4"	"3"	"570"	"49"	"4"	"5"	"4"	"0"	"3"	"5"	"12"	"659"	""	"659"	""
"256"	""	"188"	"17"	"7"	"254"	"102"	"13"	"6"	"10"	"6"	"7"	"10"	"28"	"460"	""	"460"	""
"257"	""	"189"	"27"	"10"	"169"	"236"	"12"	"5"	"11"	"10"	"5"	"12"	"14"	"511"	""	"511"	""
"258"	""	"190"	"15"	"2"	"404"	"58"	"3"	"6"	"2"	"2"	"1"	"2"	"1"	"496"	""	"496"	""
"259"	""	"191"	"46"	"4"	"53"	"142"	"5"	"5"	"3"	"3"	"3"	"6"	"9"	"279"	""	"279"	""
"260"	""	"192"	"28"	"5"	"91"	"262"	"15"	"6"	"8"	"5"	"1"	"6"	"5"	"432"	""	"432"	""
"261"	""	"193"	"9"	"1"	"267"	"26"	"4"	"1"	"0"	"2"	"4"	"2"	"0"	"316"	""	"316"	""
"262"	""	"194"	"29"	"5"	"380"	"32"	"4"	"5"	"4"	"9"	"1"	"6"	"8"	"483"	""	"483"	""
"263"	""	"195"	"26"	"7"	"289"	"92"	"11"	"12"	"5"	"5"	"9"	"15"	"10"	"481"	""	"481"	""
"264"	""	"196"	"34"	"6"	"60"	"221"	"3"	"4"	"2"	"0"	"1"	"1"	"1"	"333"	""	"333"	""
"265"	""	"Total -"	"298"	"64"	"3917"	"1615"	"90"	"77"	"63"	"46"	"43"	"73"	"99"	"6385"	"0"	"6385"	"0"
"266"	""	""	""	""	""	""	""	"225702
33-Khajauli"	""	""	""	""	""	""	""	""	""
"267"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"268"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, <U+F079><U+F06B><U+F073><U+F030><U+F06C><U+F030><U+F06E><U+F079>"	"Yog Nath Mandal,
<U+F064><U+F030><U+F069><U+F06B><U+F030><U+F062><U+F061><U+F030><U+F0BC><U+F065><U+F06B><U+F030><U+F079><U+F073><U+F030>
<U+F0BD><U+F066><U+F079><U+F030>"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"269"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"270"	"Round No 15"	"197"	"131"	"13"	"141"	"208"	"8"	"15"	"9"	"11"	"6"	"11"	"19"	"572"	""	"572"	""
"271"	""	"198"	"30"	"6"	"271"	"132"	"11"	"7"	"7"	"7"	"8"	"10"	"17"	"506"	""	"506"	""
"272"	""	"199"	"110"	"5"	"202"	"116"	"5"	"6"	"6"	"0"	"1"	"9"	"13"	"473"	""	"473"	""
"273"	""	"200"	"68"	"3"	"144"	"82"	"11"	"4"	"2"	"2"	"2"	"1"	"9"	"328"	""	"328"	""
"274"	""	"201"	"24"	"3"	"126"	"158"	"6"	"4"	"4"	"7"	"3"	"4"	"15"	"354"	""	"354"	""
"275"	""	"202"	"114"	"4"	"157"	"29"	"6"	"3"	"3"	"2"	"5"	"10"	"11"	"344"	""	"344"	""
"276"	""	"203"	"83"	"6"	"151"	"172"	"6"	"6"	"7"	"8"	"6"	"9"	"21"	"475"	""	"475"	""
"277"	""	"204"	"81"	"6"	"71"	"28"	"5"	"1"	"4"	"1"	"5"	"3"	"11"	"216"	""	"216"	""
"278"	""	"205"	"36"	"9"	"78"	"34"	"4"	"1"	"1"	"1"	"0"	"6"	"3"	"173"	""	"173"	""
"279"	""	"206"	"49"	"2"	"113"	"99"	"1"	"3"	"4"	"2"	"1"	"5"	"7"	"286"	""	"286"	""
"280"	""	"207"	"33"	"4"	"47"	"241"	"7"	"6"	"2"	"2"	"2"	"0"	"3"	"347"	""	"347"	""
"281"	""	"208"	"48"	"4"	"67"	"289"	"5"	"7"	"11"	"15"	"14"	"17"	"41"	"518"	""	"518"	""
"282"	""	"209"	"112"	"16"	"269"	"68"	"8"	"4"	"6"	"8"	"4"	"9"	"13"	"517"	""	"517"	""
"283"	""	"210"	"131"	"5"	"126"	"144"	"3"	"4"	"3"	"0"	"1"	"0"	"3"	"420"	""	"420"	""
"284"	""	"Total -"	"1050"	"86"	"1963"	"1800"	"86"	"71"	"69"	"66"	"58"	"94"	"186"	"5529"	"0"	"5529"	"0"
"285"	""	""	""	""	""	""	""	"225702
33-Khajauli"	""	""	""	""	""	""	""	""	""
"286"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"287"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, <U+F079><U+F06B><U+F073><U+F030><U+F06C><U+F030><U+F06E><U+F079>"	"Yog Nath Mandal,
<U+F064><U+F030><U+F069><U+F06B><U+F030><U+F062><U+F061><U+F030><U+F0BC><U+F065><U+F06B><U+F030><U+F079><U+F073><U+F030>
<U+F0BD><U+F066><U+F079><U+F030>"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"288"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"289"	"Round No 16"	"211"	"43"	"2"	"72"	"134"	"5"	"4"	"4"	"2"	"5"	"3"	"3"	"277"	""	"277"	""
"290"	""	"212"	"197"	"5"	"112"	"16"	"3"	"1"	"1"	"4"	"5"	"2"	"5"	"351"	""	"351"	""
"291"	""	"213"	"25"	"5"	"281"	"190"	"20"	"4"	"5"	"4"	"4"	"9"	"9"	"556"	""	"556"	""
"292"	""	"214"	"65"	"7"	"198"	"136"	"11"	"4"	"3"	"3"	"5"	"2"	"13"	"447"	""	"447"	""
"293"	""	"215"	"10"	"1"	"64"	"211"	"2"	"4"	"6"	"0"	"1"	"0"	"1"	"300"	""	"300"	""
"294"	""	"216"	"69"	"22"	"244"	"202"	"6"	"7"	"5"	"8"	"11"	"9"	"27"	"610"	""	"610"	""
"295"	""	"217"	"21"	"7"	"123"	"234"	"31"	"15"	"9"	"2"	"7"	"9"	"26"	"484"	""	"484"	""
"296"	""	"218"	"40"	"8"	"176"	"144"	"11"	"10"	"5"	"5"	"4"	"10"	"15"	"428"	""	"428"	""
"297"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	""	"Total -"	"470"	"57"	"1270"	"1267"	"89"	"49"	"38"	"28"	"42"	"44"	"99"	"3453"	"0"	"3453"	"0"
"304"	""	""	""	""	""	""	""	"225702
33-Khajauli"	""	""	""	""	""	""	""	""	""
"305"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"306"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, <U+F079><U+F06B><U+F073><U+F030><U+F06C><U+F030><U+F06E><U+F079>"	"Yog Nath Mandal,
<U+F064><U+F030><U+F069><U+F06B><U+F030><U+F062><U+F061><U+F030><U+F0BC><U+F065><U+F06B><U+F030><U+F079><U+F073><U+F030>
<U+F0BD><U+F066><U+F079><U+F030>"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"307"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"308"	"Final"	"Total No. of votes"	"14170"	"1227"	"36742"	"41418"	"1858"	"1731"	"1225"	"817"	"822"	"1188"	"2254"	"103452"	"0"	"103452"	"0"
"309"	""	"No. of Votes record"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"310"	""	"TOTA L VOTE"	"14170"	"1227"	"36742"	"41418"	"1858"	"1731"	"1225"	"817"	"822"	"1188"	"2254"	"103452"	"0"	"103452"	"0"
