"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X248902.39.Phulparas"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"181"	""	"133"	"6"	"0"	"196"	"77"	"1"	"1"	"1"	"2"	"1"	"3"	"1"	"289"	""	"289"	""
"182"	""	"134"	"66"	"5"	"125"	"212"	"3"	"4"	"5"	"2"	"4"	"9"	"8"	"443"	""	"443"	""
"183"	""	"135"	"10"	"3"	"85"	"247"	"6"	"3"	"10"	"4"	"6"	"4"	"5"	"383"	""	"383"	""
"184"	""	"136"	"13"	"1"	"30"	"291"	"2"	"6"	"3"	"2"	"1"	"3"	"4"	"356"	""	"356"	""
"185"	""	"137"	"74"	"2"	"104"	"348"	"13"	"8"	"6"	"4"	"7"	"3"	"6"	"575"	""	"575"	""
"186"	""	"138"	"17"	"2"	"266"	"51"	"1"	"0"	"1"	"0"	"2"	"4"	"4"	"348"	""	"348"	""
"187"	""	"139"	"6"	"4"	"268"	"81"	"2"	"3"	"1"	"5"	"0"	"3"	"0"	"373"	""	"373"	""
"188"	""	"140"	"19"	"15"	"207"	"233"	"1"	"10"	"3"	"3"	"5"	"5"	"7"	"508"	""	"508"	""
"189"	""	"Total -10"	"349"	"69"	"2750"	"2711"	"60"	"58"	"58"	"35"	"53"	"71"	"86"	"6300"	"0"	"6300"	"0"
"190"	""	""	""	""	""	""	""	"248902
39-Phulparas"	""	""	""	""	""	""	""	""	""
"191"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"192"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, y ks0l 0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"193"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"194"	"Round No 11"	"141"	"31"	"5"	"66"	"404"	"3"	"5"	"4"	"4"	"4"	"4"	"7"	"537"	""	"537"	""
"195"	""	"142"	"63"	"1"	"112"	"77"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"254"	""	"254"	""
"196"	""	"143"	"17"	"6"	"106"	"283"	"12"	"8"	"10"	"5"	"5"	"12"	"36"	"500"	""	"500"	""
"197"	""	"144"	"25"	"12"	"124"	"242"	"9"	"6"	"3"	"2"	"4"	"3"	"4"	"434"	""	"434"	""
"198"	""	"145"	"86"	"1"	"206"	"184"	"8"	"3"	"2"	"1"	"1"	"4"	"5"	"501"	""	"501"	""
"199"	""	"146"	"9"	"5"	"72"	"198"	"8"	"1"	"2"	"1"	"0"	"1"	"3"	"300"	""	"300"	""
"200"	""	"147"	"7"	"4"	"216"	"43"	"3"	"1"	"1"	"0"	"0"	"4"	"9"	"288"	""	"288"	""
"201"	""	"148"	"21"	"1"	"150"	"177"	"4"	"1"	"7"	"1"	"2"	"1"	"4"	"369"	""	"369"	""
"202"	""	"149"	"29"	"12"	"247"	"83"	"5"	"4"	"3"	"0"	"4"	"2"	"5"	"394"	""	"394"	""
"203"	""	"150"	"35"	"4"	"424"	"77"	"1"	"2"	"1"	"1"	"0"	"2"	"9"	"556"	""	"556"	""
"204"	""	"151"	"10"	"6"	"226"	"154"	"7"	"3"	"6"	"1"	"3"	"4"	"5"	"425"	""	"425"	""
"205"	""	"152"	"43"	"5"	"107"	"96"	"2"	"4"	"2"	"1"	"2"	"1"	"0"	"263"	""	"263"	""
"206"	""	"153"	"19"	"7"	"237"	"32"	"3"	"0"	"1"	"2"	"3"	"1"	"0"	"305"	""	"305"	""
"207"	""	"154"	"1"	"2"	"335"	"94"	"2"	"1"	"0"	"0"	"2"	"0"	"0"	"437"	""	"437"	""
"208"	""	"Total -11"	"396"	"71"	"2628"	"2144"	"67"	"39"	"42"	"19"	"30"	"40"	"87"	"5563"	"0"	"5563"	"0"
"209"	""	""	""	""	""	""	""	"248902
39-Phulparas"	""	""	""	""	""	""	""	""	""
"210"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"211"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, y ks0l 0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"212"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"213"	"Round No 12"	"155"	"110"	"29"	"375"	"92"	"7"	"5"	"7"	"6"	"4"	"4"	"7"	"646"	""	"646"	""
"214"	""	"156"	"23"	"4"	"298"	"60"	"3"	"6"	"4"	"2"	"7"	"4"	"10"	"421"	""	"421"	""
"215"	""	"157"	"11"	"6"	"165"	"195"	"4"	"2"	"2"	"7"	"3"	"6"	"13"	"414"	""	"414"	""
"216"	""	"158"	"4"	"1"	"37"	"156"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"199"	""	"199"	""
"217"	""	"159"	"3"	"3"	"124"	"55"	"3"	"1"	"1"	"0"	"2"	"2"	"2"	"196"	""	"196"	""
"218"	""	"160"	"59"	"3"	"74"	"167"	"0"	"4"	"3"	"2"	"0"	"2"	"2"	"316"	""	"316"	""
"219"	""	"161"	"5"	"4"	"138"	"77"	"3"	"1"	"1"	"0"	"1"	"5"	"7"	"242"	""	"242"	""
"220"	""	"162"	"5"	"3"	"141"	"122"	"5"	"1"	"4"	"3"	"4"	"6"	"4"	"298"	""	"298"	""
"221"	""	"163"	"1"	"1"	"12"	"75"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"93"	""	"93"	""
"222"	""	"164"	"9"	"7"	"256"	"161"	"5"	"3"	"5"	"6"	"6"	"12"	"7"	"477"	""	"477"	""
"223"	""	"165"	"53"	"5"	"124"	"231"	"3"	"8"	"3"	"3"	"7"	"2"	"9"	"448"	""	"448"	""
"224"	""	"166"	"54"	"8"	"67"	"186"	"9"	"5"	"4"	"4"	"3"	"4"	"5"	"349"	""	"349"	""
"225"	""	"167"	"37"	"3"	"11"	"166"	"3"	"5"	"5"	"0"	"2"	"6"	"10"	"248"	""	"248"	""
"226"	""	"168"	"28"	"1"	"59"	"190"	"2"	"6"	"2"	"3"	"4"	"3"	"20"	"318"	""	"318"	""
"227"	""	"Total -12"	"402"	"78"	"1881"	"1933"	"48"	"47"	"42"	"36"	"43"	"56"	"99"	"4665"	"0"	"4665"	"0"
"228"	""	""	""	""	""	""	""	"248902
39-Phulparas"	""	""	""	""	""	""	""	""	""
"229"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"230"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, y ks0l 0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"231"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"232"	"Round No 13"	"169"	"105"	"2"	"42"	"258"	"6"	"3"	"3"	"0"	"0"	"1"	"6"	"426"	""	"426"	""
"233"	""	"170"	"84"	"1"	"87"	"318"	"3"	"3"	"5"	"0"	"1"	"1"	"7"	"510"	""	"510"	""
"234"	""	"171"	"36"	"2"	"40"	"297"	"7"	"3"	"7"	"6"	"4"	"16"	"19"	"437"	""	"437"	""
"235"	""	"172"	"166"	"2"	"72"	"335"	"1"	"2"	"2"	"1"	"0"	"1"	"5"	"587"	""	"587"	""
"236"	""	"173"	"237"	"3"	"129"	"239"	"5"	"5"	"0"	"1"	"3"	"2"	"7"	"631"	""	"631"	""
"237"	""	"174"	"76"	"9"	"206"	"154"	"3"	"0"	"7"	"4"	"3"	"2"	"11"	"475"	""	"475"	""
"238"	""	"175"	"23"	"5"	"20"	"447"	"5"	"7"	"8"	"0"	"3"	"4"	"12"	"534"	""	"534"	""
"239"	""	"176"	"138"	"3"	"65"	"274"	"4"	"5"	"4"	"4"	"3"	"2"	"1"	"503"	""	"503"	""
"240"	""	"177"	"18"	"0"	"8"	"259"	"3"	"4"	"5"	"0"	"1"	"1"	"5"	"304"	""	"304"	""
"241"	""	"178"	"96"	"13"	"101"	"155"	"5"	"2"	"3"	"5"	"8"	"5"	"10"	"403"	""	"403"	""
"242"	""	"179"	"10"	"4"	"269"	"101"	"1"	"5"	"1"	"2"	"2"	"4"	"2"	"401"	""	"401"	""
"243"	""	"180"	"174"	"9"	"61"	"347"	"11"	"5"	"9"	"3"	"13"	"5"	"9"	"646"	""	"646"	""
"244"	""	"181"	"91"	"3"	"54"	"234"	"6"	"11"	"3"	"1"	"2"	"3"	"28"	"436"	""	"436"	""
"245"	""	"182"	"120"	"13"	"149"	"153"	"8"	"10"	"3"	"2"	"2"	"6"	"7"	"473"	""	"473"	""
"246"	""	"Total -13"	"1374"	"69"	"1303"	"3571"	"68"	"65"	"60"	"29"	"45"	"53"	"129"	"6766"	"0"	"6766"	"0"
"247"	""	""	""	""	""	""	""	"248902
39-Phulparas"	""	""	""	""	""	""	""	""	""
"248"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"249"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, y ks0l 0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"250"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"251"	"Round No 14"	"183"	"64"	"0"	"184"	"318"	"2"	"4"	"4"	"2"	"1"	"2"	"5"	"586"	""	"586"	""
"252"	""	"184"	"133"	"2"	"21"	"103"	"4"	"1"	"4"	"2"	"3"	"1"	"2"	"276"	""	"276"	""
"253"	""	"185"	"136"	"9"	"17"	"173"	"6"	"3"	"3"	"8"	"8"	"7"	"25"	"395"	""	"395"	""
"254"	""	"186"	"227"	"5"	"16"	"28"	"1"	"3"	"2"	"1"	"2"	"2"	"8"	"295"	""	"295"	""
"255"	""	"187"	"291"	"7"	"59"	"105"	"3"	"3"	"8"	"3"	"13"	"3"	"7"	"502"	""	"502"	""
"256"	""	"188"	"2"	"2"	"3"	"137"	"5"	"0"	"1"	"5"	"1"	"2"	"9"	"167"	""	"167"	""
"257"	""	"189"	"43"	"2"	"23"	"520"	"5"	"6"	"4"	"1"	"2"	"5"	"24"	"635"	""	"635"	""
"258"	""	"190"	"26"	"7"	"102"	"356"	"4"	"7"	"4"	"2"	"4"	"1"	"16"	"529"	""	"529"	""
"259"	""	"191"	"5"	"1"	"10"	"88"	"0"	"2"	"1"	"0"	"1"	"2"	"5"	"115"	""	"115"	""
"260"	""	"192"	"231"	"5"	"6"	"144"	"5"	"4"	"3"	"5"	"4"	"1"	"7"	"415"	""	"415"	""
"261"	""	"193"	"67"	"13"	"281"	"188"	"15"	"10"	"5"	"10"	"5"	"9"	"32"	"635"	""	"635"	""
"262"	""	"194"	"117"	"6"	"22"	"121"	"3"	"1"	"5"	"7"	"4"	"6"	"18"	"310"	""	"310"	""
"263"	""	"195"	"201"	"1"	"13"	"90"	"1"	"2"	"1"	"4"	"3"	"2"	"5"	"323"	""	"323"	""
"264"	""	"196"	"98"	"4"	"29"	"233"	"5"	"2"	"5"	"1"	"1"	"2"	"15"	"395"	""	"395"	""
"265"	""	"Total -14"	"1641"	"64"	"786"	"2604"	"59"	"48"	"50"	"51"	"52"	"45"	"178"	"5578"	"0"	"5578"	"0"
"266"	""	""	""	""	""	""	""	"248902
39-Phulparas"	""	""	""	""	""	""	""	""	""
"267"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"268"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, y ks0l 0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"269"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"270"	"Round No 15"	"197"	"67"	"2"	"7"	"205"	"1"	"2"	"2"	"0"	"2"	"1"	"3"	"292"	""	"292"	""
"271"	""	"198"	"31"	"3"	"144"	"98"	"8"	"9"	"8"	"4"	"3"	"7"	"11"	"326"	""	"326"	""
"272"	""	"199"	"39"	"6"	"82"	"97"	"1"	"1"	"6"	"2"	"2"	"4"	"7"	"247"	""	"247"	""
"273"	""	"200"	"36"	"2"	"281"	"93"	"5"	"0"	"3"	"3"	"3"	"6"	"12"	"444"	""	"444"	""
"274"	""	"201"	"28"	"2"	"17"	"305"	"2"	"5"	"4"	"2"	"1"	"1"	"10"	"377"	""	"377"	""
"275"	""	"202"	"128"	"2"	"20"	"213"	"5"	"1"	"0"	"1"	"4"	"0"	"2"	"376"	""	"376"	""
"276"	""	"203"	"92"	"5"	"50"	"123"	"5"	"2"	"3"	"2"	"1"	"0"	"0"	"283"	""	"283"	""
"277"	""	"204"	"19"	"2"	"44"	"206"	"4"	"1"	"2"	"2"	"0"	"0"	"0"	"280"	""	"280"	""
"278"	""	"205"	"75"	"8"	"63"	"206"	"5"	"4"	"2"	"2"	"4"	"3"	"14"	"386"	""	"386"	""
"279"	""	"206"	"44"	"8"	"162"	"267"	"8"	"12"	"5"	"2"	"6"	"4"	"10"	"528"	""	"528"	""
"280"	""	"207"	"6"	"0"	"33"	"170"	"3"	"4"	"5"	"2"	"9"	"4"	"11"	"247"	""	"247"	""
"281"	""	"208"	"15"	"1"	"17"	"215"	"5"	"2"	"5"	"1"	"0"	"1"	"5"	"267"	""	"267"	""
"282"	""	"209"	"11"	"0"	"24"	"256"	"4"	"3"	"0"	"1"	"0"	"0"	"3"	"302"	""	"302"	""
"283"	""	"210"	"10"	"4"	"55"	"202"	"6"	"4"	"3"	"4"	"0"	"2"	"4"	"294"	""	"294"	""
"284"	""	"Total -15"	"601"	"45"	"999"	"2656"	"62"	"50"	"48"	"28"	"35"	"33"	"92"	"4649"	"0"	"4649"	"0"
"285"	""	""	""	""	""	""	""	"248902
39-Phulparas"	""	""	""	""	""	""	""	""	""
"286"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"287"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, y ks0l 0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"288"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"289"	"Round No 16"	"211"	"305"	"19"	"19"	"51"	"1"	"1"	"1"	"1"	"2"	"3"	"5"	"408"	""	"408"	""
"290"	""	"212"	"156"	"5"	"15"	"156"	"2"	"5"	"4"	"2"	"4"	"2"	"3"	"354"	""	"354"	""
"291"	""	"213"	"175"	"12"	"8"	"21"	"2"	"2"	"2"	"4"	"2"	"7"	"28"	"263"	""	"263"	""
"292"	""	"214"	"10"	"1"	"75"	"100"	"3"	"2"	"4"	"2"	"0"	"1"	"2"	"200"	""	"200"	""
"293"	""	"215"	"44"	"5"	"55"	"64"	"3"	"5"	"3"	"1"	"1"	"1"	"3"	"185"	""	"185"	""
"294"	""	"216"	"13"	"2"	"91"	"131"	"4"	"0"	"3"	"5"	"2"	"1"	"4"	"256"	""	"256"	""
"295"	""	"217"	"19"	"5"	"22"	"493"	"12"	"9"	"10"	"9"	"6"	"10"	"7"	"602"	""	"602"	""
"296"	""	"218"	"14"	"6"	"44"	"245"	"3"	"7"	"6"	"7"	"4"	"3"	"10"	"349"	""	"349"	""
"297"	""	"219"	"35"	"4"	"40"	"481"	"5"	"3"	"10"	"6"	"4"	"8"	"15"	"611"	""	"611"	""
"298"	""	"220"	"0"	"2"	"348"	"12"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"364"	""	"364"	""
"299"	""	"221"	"4"	"0"	"54"	"99"	"3"	"0"	"0"	"0"	"1"	"1"	"2"	"164"	""	"164"	""
"300"	""	"222"	"11"	"4"	"39"	"146"	"2"	"1"	"0"	"0"	"0"	"3"	"2"	"208"	""	"208"	""
"301"	""	"223"	"6"	"0"	"8"	"287"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"303"	""	"303"	""
"302"	""	"224"	"17"	"0"	"31"	"545"	"5"	"2"	"6"	"2"	"3"	"1"	"4"	"616"	""	"616"	""
"303"	""	"Total -16"	"809"	"65"	"849"	"2831"	"45"	"37"	"49"	"40"	"30"	"42"	"86"	"4883"	"0"	"4883"	"0"
"304"	""	""	""	""	""	""	""	"248902
39-Phulparas"	""	""	""	""	""	""	""	""	""
"305"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"306"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, y ks0l 0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"307"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"308"	"Round No 17"	"225"	"15"	"3"	"92"	"75"	"1"	"3"	"7"	"1"	"2"	"0"	"2"	"201"	""	"201"	""
"309"	""	"226"	"28"	"5"	"75"	"178"	"6"	"3"	"3"	"2"	"0"	"2"	"2"	"304"	""	"304"	""
"310"	""	"227"	"22"	"5"	"97"	"254"	"2"	"5"	"7"	"5"	"2"	"4"	"8"	"411"	""	"411"	""
"311"	""	"228"	"36"	"11"	"163"	"168"	"5"	"5"	"6"	"4"	"3"	"6"	"12"	"419"	""	"419"	""
"312"	""	"229"	"16"	"11"	"137"	"278"	"8"	"6"	"6"	"6"	"6"	"7"	"11"	"492"	""	"492"	""
"313"	""	"230"	"10"	"6"	"173"	"229"	"8"	"5"	"9"	"2"	"5"	"8"	"24"	"479"	""	"479"	""
"314"	""	"231"	"53"	"5"	"277"	"189"	"10"	"3"	"9"	"7"	"9"	"11"	"24"	"597"	""	"597"	""
"315"	""	"232"	"35"	"8"	"115"	"468"	"6"	"7"	"7"	"10"	"6"	"9"	"15"	"686"	""	"686"	""
"316"	""	"233"	"122"	"2"	"85"	"135"	"4"	"2"	"2"	"4"	"2"	"8"	"8"	"374"	""	"374"	""
"317"	""	"234"	"29"	"5"	"48"	"238"	"6"	"7"	"1"	"1"	"3"	"3"	"12"	"353"	""	"353"	""
"318"	""	"235"	"17"	"1"	"230"	"171"	"6"	"5"	"10"	"1"	"4"	"10"	"17"	"472"	""	"472"	""
"319"	""	"236"	"5"	"0"	"116"	"111"	"4"	"2"	"3"	"3"	"1"	"0"	"3"	"248"	""	"248"	""
"320"	""	"237"	"53"	"4"	"67"	"142"	"1"	"1"	"3"	"2"	"2"	"3"	"0"	"278"	""	"278"	""
"321"	""	"238"	"43"	"4"	"114"	"157"	"4"	"3"	"5"	"6"	"13"	"5"	"5"	"359"	""	"359"	""
"322"	""	"Total -17"	"484"	"70"	"1789"	"2793"	"71"	"57"	"78"	"54"	"12"	"76"	"143"	"5673"	"0"	"5673"	"0"
"323"	""	""	""	""	""	""	""	"248902
39-Phulparas"	""	""	""	""	""	""	""	""	""
"324"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"325"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, y ks0l 0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"326"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"327"	"Round No 18"	"239"	"12"	"4"	"269"	"308"	"7"	"3"	"5"	"2"	"4"	"4"	"13"	"631"	""	"631"	""
"328"	""	"240"	"96"	"1"	"28"	"216"	"0"	"7"	"0"	"1"	"2"	"3"	"7"	"361"	""	"361"	""
"329"	""	"241"	"66"	"7"	"210"	"214"	"13"	"9"	"7"	"3"	"6"	"12"	"27"	"574"	""	"574"	""
"330"	""	"242"	"75"	"11"	"40"	"213"	"10"	"8"	"4"	"2"	"1"	"2"	"3"	"369"	""	"369"	""
"331"	""	"243"	"107"	"4"	"29"	"141"	"4"	"7"	"4"	"2"	"3"	"5"	"17"	"323"	""	"323"	""
"332"	""	"244"	"39"	"15"	"140"	"181"	"13"	"3"	"6"	"2"	"10"	"3"	"5"	"417"	""	"417"	""
"333"	""	"245"	"90"	"8"	"122"	"111"	"14"	"9"	"11"	"8"	"62"	"25"	"20"	"480"	""	"480"	""
"334"	""	"246"	"21"	"1"	"30"	"45"	"18"	"2"	"7"	"5"	"42"	"13"	"9"	"193"	""	"193"	""
"335"	""	"247"	"43"	"7"	"27"	"13"	"18"	"11"	"6"	"13"	"250"	"51"	"18"	"457"	""	"457"	""
"336"	""	"248"	"11"	"2"	"310"	"230"	"10"	"4"	"2"	"5"	"63"	"11"	"19"	"667"	""	"667"	""
"337"	""	"249"	"16"	"2"	"92"	"112"	"2"	"4"	"5"	"2"	"3"	"8"	"12"	"258"	""	"258"	""
"338"	""	"250"	"23"	"7"	"294"	"185"	"12"	"3"	"9"	"11"	"10"	"7"	"25"	"586"	""	"586"	""
"339"	""	"251"	"15"	"7"	"92"	"290"	"6"	"6"	"10"	"19"	"13"	"13"	"16"	"487"	""	"487"	""
"340"	""	"252"	"25"	"11"	"309"	"229"	"11"	"1"	"15"	"15"	"16"	"25"	"56"	"713"	""	"713"	""
"341"	""	"Total -18"	"639"	"87"	"1992"	"2488"	"138"	"77"	"91"	"90"	"485"	"182"	"247"	"6516"	"0"	"6516"	"0"
"342"	""	""	""	""	""	""	""	"248902
39-Phulparas"	""	""	""	""	""	""	""	""	""
"343"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"344"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, y ks0l 0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"345"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"346"	"Round No 19"	"253"	"34"	"20"	"294"	"137"	"15"	"7"	"13"	"6"	"8"	"10"	"12"	"556"	""	"556"	""
"347"	""	"254"	"59"	"3"	"191"	"256"	"4"	"5"	"6"	"7"	"9"	"8"	"28"	"576"	""	"576"	""
"348"	""	"255"	"45"	"5"	"93"	"231"	"6"	"1"	"4"	"5"	"0"	"1"	"6"	"397"	""	"397"	""
"349"	""	"Total -19"	"138"	"28"	"578"	"624"	"25"	"13"	"23"	"18"	"17"	"19"	"46"	"1529"	"0"	"1529"	"0"
"350"	""	""	""	""	""	""	""	"248902
39-Phulparas"	""	""	""	""	""	""	""	""	""
"351"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"352"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, y ks0l 0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"353"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"354"	"Final"	"Total No. of votes recorded at Polling stations"	"12916"	"1505"	"30885"	"52642"	"1191"	"935"	"1011"	"745"	"1121"	"1074"	"2265"	"106336"	"0"	"106336"	"0"
"355"	""	"No. of Votes recorded on postal ballot papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"356"	""	"TOTAL VOTES POLLED"	"12916"	"1505"	"30885"	"52642"	"1191"	"935"	"1011"	"745"	"1121"	"1074"	"2265"	"106336"	"0"	"106336"	"0"
