"Sl..No."	"No..of.Polli.ng.Station"	"No..of.Valid..votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.valid.votes"	"No..of.reject.ed.votes"	"Total"	"No..of.Tender.ed.votes"
"151"	"140"	"140"	"202"	"7"	"17"	"63"	"37"	"0"	"9"	"0"	"0"	"1"	"0"	"3"	"2"	"2"	"3"	"346"	"0"	"346"	""
"152"	"141"	"141"	"359"	"9"	"8"	"7"	"35"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"10"	"435"	"0"	"435"	""
"153"	"142"	"142"	"471"	"6"	"30"	"16"	"10"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"537"	"0"	"537"	""
"154"	"143"	"143"	"320"	"11"	"91"	"29"	"17"	"1"	"3"	"0"	"1"	"0"	"1"	"0"	"4"	"1"	"5"	"484"	"0"	"484"	""
"155"	"144"	"144"	"176"	"8"	"62"	"17"	"67"	"0"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"338"	"0"	"338"	""
"156"	"145"	"145"	"113"	"2"	"15"	"19"	"54"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"3"	"2"	"211"	"0"	"211"	""
"157"	"146"	"146"	"146"	"0"	"1"	"15"	"24"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"191"	"0"	"191"	""
"158"	"147"	"147"	"86"	"8"	"216"	"133"	"4"	"2"	"2"	"0"	"0"	"1"	"0"	"1"	"2"	"2"	"14"	"471"	"0"	"471"	""
"159"	"148"	"148"	"135"	"18"	"141"	"95"	"10"	"1"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"4"	"5"	"414"	"0"	"414"	""
"160"	"149"	"149"	"130"	"4"	"108"	"20"	"50"	"2"	"2"	"2"	"1"	"0"	"1"	"0"	"2"	"3"	"7"	"332"	"0"	"332"	""
"161"	"150"	"150"	"224"	"6"	"32"	"7"	"18"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"9"	"303"	"0"	"303"	""
"162"	"151"	"151"	"354"	"5"	"4"	"1"	"9"	"4"	"5"	"2"	"0"	"0"	"2"	"1"	"0"	"0"	"3"	"390"	"0"	"390"	""
"163"	"152"	"152"	"259"	"12"	"171"	"15"	"13"	"0"	"3"	"0"	"2"	"2"	"1"	"1"	"3"	"0"	"5"	"487"	"0"	"487"	""
"164"	"153"	"153"	"254"	"5"	"76"	"6"	"17"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"364"	"0"	"364"	""
"165"	"154"	"154"	"114"	"18"	"182"	"33"	"32"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"383"	"0"	"383"	""
"166"	"155"	"155"	"34"	"4"	"247"	"11"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"335"	"0"	"335"	""
"167"	"156"	"156"	"31"	"9"	"118"	"20"	"180"	"4"	"0"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"4"	"371"	"0"	"371"	""
"168"	"Sl. No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of reject ed
votes"	"Total"	"No. of Tender ed
votes"
"169"	""	""	"MD. ANWARU L HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARU N SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDRI KA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"170"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"171"	"157"	"157"	"19"	"15"	"370"	"22"	"32"	"2"	"1"	"0"	"0"	"1"	"1"	"2"	"4"	"5"	"2"	"476"	"0"	"476"	""
"172"	"158"	"158"	"290"	"9"	"84"	"39"	"18"	"2"	"3"	"2"	"2"	"0"	"3"	"0"	"2"	"2"	"4"	"460"	"0"	"460"	""
"173"	"159"	"159"	"596"	"1"	"6"	"2"	"4"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"4"	"0"	"1"	"616"	"0"	"616"	""
"174"	"160"	"160"	"91"	"21"	"234"	"28"	"63"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"5"	"3"	"4"	"454"	"0"	"454"	""
"175"	"161"	"161"	"38"	"4"	"289"	"49"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"5"	"2"	"3"	"396"	"0"	"396"	""
"176"	"162"	"162"	"237"	"5"	"94"	"25"	"2"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"2"	"0"	"11"	"380"	"0"	"380"	""
"177"	"163"	"163"	"173"	"14"	"135"	"43"	"21"	"0"	"2"	"3"	"0"	"1"	"2"	"2"	"8"	"5"	"10"	"419"	"0"	"419"	""
"178"	"164"	"164"	"376"	"4"	"35"	"65"	"22"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"508"	"0"	"508"	""
"179"	"165"	"165"	"341"	"4"	"14"	"18"	"97"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"4"	"485"	"0"	"485"	""
"180"	"166"	"166"	"71"	"5"	"243"	"58"	"23"	"0"	"1"	"1"	"0"	"2"	"0"	"2"	"1"	"1"	"6"	"414"	"0"	"414"	""
"181"	"167"	"167"	"283"	"6"	"88"	"25"	"33"	"0"	"4"	"1"	"0"	"1"	"0"	"2"	"2"	"4"	"11"	"460"	"0"	"460"	""
"182"	"168"	"168"	"266"	"4"	"335"	"25"	"12"	"1"	"1"	"3"	"0"	"0"	"1"	"2"	"7"	"1"	"8"	"666"	"0"	"666"	""
"183"	"169"	"169"	"232"	"3"	"42"	"34"	"6"	"1"	"0"	"0"	"2"	"2"	"2"	"0"	"2"	"3"	"10"	"339"	"0"	"339"	""
"184"	"170"	"170"	"238"	"10"	"22"	"30"	"24"	"3"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"332"	"0"	"332"	""
"185"	"171"	"171"	"270"	"16"	"310"	"31"	"11"	"1"	"6"	"2"	"2"	"3"	"4"	"6"	"9"	"9"	"21"	"701"	"0"	"701"	""
"186"	"172"	"172"	"15"	"3"	"342"	"19"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"1"	"0"	"397"	"0"	"397"	""
"187"	"173"	"173"	"59"	"10"	"472"	"18"	"18"	"4"	"1"	"0"	"0"	"0"	"2"	"3"	"9"	"7"	"5"	"608"	"0"	"608"	""
"188"	"174"	"174"	"462"	"8"	"4"	"7"	"42"	"1"	"0"	"0"	"2"	"0"	"2"	"2"	"0"	"5"	"14"	"549"	"0"	"549"	""
"189"	"175"	"175"	"323"	"7"	"97"	"15"	"128"	"6"	"3"	"3"	"0"	"1"	"4"	"2"	"5"	"2"	"8"	"604"	"0"	"604"	""
"190"	"176"	"176"	"479"	"5"	"37"	"25"	"41"	"3"	"1"	"2"	"1"	"0"	"1"	"3"	"0"	"0"	"14"	"612"	"0"	"612"	""
"191"	"177"	"177"	"322"	"10"	"54"	"30"	"27"	"3"	"9"	"2"	"0"	"0"	"1"	"1"	"8"	"7"	"9"	"483"	"0"	"483"	""
"192"	"178"	"178"	"333"	"11"	"65"	"90"	"21"	"0"	"4"	"4"	"2"	"1"	"1"	"3"	"4"	"3"	"12"	"554"	"0"	"554"	""
"193"	"179"	"179"	"76"	"5"	"194"	"68"	"44"	"1"	"2"	"1"	"0"	"0"	"1"	"1"	"3"	"2"	"5"	"403"	"0"	"403"	""
"194"	"180"	"180"	"115"	"1"	"226"	"37"	"19"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"4"	"4"	"411"	"0"	"411"	""
"195"	"181"	"181"	"108"	"13"	"85"	"164"	"23"	"1"	"2"	"1"	"2"	"1"	"1"	"2"	"1"	"3"	"6"	"413"	"0"	"413"	""
"196"	"182"	"182"	"400"	"5"	"52"	"6"	"6"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"472"	"0"	"472"	""
"197"	"183"	"183"	"15"	"9"	"153"	"199"	"51"	"2"	"0"	"1"	"0"	"1"	"1"	"7"	"6"	"9"	"9"	"463"	"0"	"463"	""
"198"	"184"	"184"	"23"	"5"	"61"	"206"	"16"	"1"	"0"	"1"	"2"	"1"	"0"	"2"	"3"	"2"	"6"	"329"	"0"	"329"	""
"199"	"185"	"185"	"156"	"7"	"136"	"28"	"12"	"1"	"1"	"0"	"0"	"2"	"0"	"3"	"4"	"3"	"4"	"357"	"0"	"357"	""
"200"	"186"	"186"	"15"	"12"	"163"	"44"	"35"	"2"	"1"	"0"	"1"	"0"	"4"	"5"	"3"	"1"	"4"	"290"	"0"	"290"	""
"201"	"187"	"187"	"5"	"6"	"578"	"23"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"2"	"4"	"2"	"0"	"624"	"0"	"624"	""
"202"	"188"	"188"	"18"	"21"	"162"	"231"	"122"	"1"	"4"	"3"	"2"	"5"	"1"	"2"	"6"	"3"	"4"	"585"	"0"	"585"	""
"203"	"189"	"189"	"109"	"18"	"112"	"34"	"60"	"2"	"1"	"2"	"1"	"1"	"1"	"4"	"4"	"2"	"4"	"355"	"0"	"355"	""
"204"	"190"	"190"	"96"	"10"	"212"	"108"	"93"	"4"	"3"	"1"	"2"	"1"	"1"	"6"	"4"	"6"	"7"	"554"	"0"	"554"	""
"205"	"191"	"191"	"48"	"23"	"187"	"87"	"6"	"2"	"2"	"0"	"0"	"2"	"0"	"3"	"4"	"4"	"6"	"374"	"0"	"374"	""
"206"	"192"	"192"	"43"	"10"	"293"	"168"	"6"	"2"	"1"	"1"	"1"	"0"	"0"	"1"	"4"	"1"	"3"	"534"	"0"	"534"	""
"207"	"193"	"193"	"49"	"20"	"255"	"142"	"86"	"8"	"1"	"2"	"2"	"1"	"1"	"1"	"2"	"4"	"4"	"578"	"0"	"578"	""
"208"	"194"	"194"	"339"	"2"	"1"	"6"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"356"	"0"	"356"	""
"209"	"195"	"195"	"8"	"9"	"241"	"35"	"49"	"3"	"3"	"0"	"1"	"0"	"0"	"0"	"2"	"3"	"8"	"362"	"0"	"362"	""
"210"	"Sl. No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of reject ed
votes"	"Total"	"No. of Tender ed
votes"
"211"	""	""	"MD. ANWARU L HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARU N SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDRI KA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"212"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"213"	"196"	"196"	"225"	"4"	"140"	"13"	"39"	"1"	"3"	"0"	"1"	"0"	"0"	"0"	"3"	"0"	"0"	"429"	"0"	"429"	""
"214"	"197"	"197"	"18"	"31"	"332"	"20"	"21"	"1"	"3"	"3"	"1"	"0"	"1"	"1"	"5"	"3"	"6"	"446"	"0"	"446"	""
"215"	"198"	"198"	"28"	"16"	"362"	"22"	"9"	"4"	"5"	"4"	"4"	"3"	"3"	"4"	"9"	"8"	"7"	"488"	"0"	"488"	""
"216"	"199"	"199"	"7"	"18"	"444"	"8"	"3"	"1"	"1"	"1"	"0"	"0"	"2"	"0"	"3"	"1"	"1"	"490"	"0"	"490"	""
"217"	"200"	"200"	"24"	"11"	"218"	"44"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"4"	"2"	"4"	"5"	"326"	"0"	"326"	""
"218"	"201"	"201"	"28"	"8"	"277"	"49"	"46"	"4"	"1"	"0"	"1"	"0"	"2"	"2"	"4"	"3"	"10"	"435"	"0"	"435"	""
"219"	"202"	"202"	"610"	"2"	"30"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"651"	"0"	"651"	""
"220"	"203"	"203"	"113"	"12"	"244"	"16"	"26"	"0"	"0"	"3"	"0"	"0"	"1"	"0"	"3"	"2"	"7"	"427"	"0"	"427"	""
"221"	"204"	"204"	"133"	"10"	"129"	"7"	"4"	"2"	"1"	"3"	"1"	"1"	"1"	"1"	"2"	"3"	"5"	"303"	"0"	"303"	""
"222"	"205"	"205"	"99"	"2"	"133"	"19"	"9"	"1"	"5"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"2"	"274"	"0"	"274"	""
"223"	"206"	"206"	"393"	"3"	"5"	"30"	"19"	"0"	"0"	"0"	"0"	"0"	"5"	"14"	"0"	"2"	"5"	"476"	"0"	"476"	""
"224"	"207"	"207"	"321"	"5"	"10"	"4"	"10"	"3"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"4"	"6"	"367"	"0"	"367"	""
"225"	"208"	"208"	"309"	"7"	"69"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"2"	"3"	"1"	"2"	"399"	"0"	"399"	""
"226"	"209"	"209"	"69"	"5"	"404"	"14"	"24"	"0"	"0"	"1"	"0"	"1"	"0"	"6"	"5"	"2"	"6"	"537"	"0"	"537"	""
"227"	"210"	"210"	"132"	"4"	"201"	"15"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"391"	"0"	"391"	""
"228"	"211"	"211"	"124"	"9"	"370"	"30"	"78"	"0"	"3"	"1"	"0"	"0"	"1"	"2"	"2"	"1"	"3"	"624"	"0"	"624"	""
"229"	"212"	"212"	"456"	"7"	"28"	"55"	"6"	"1"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"10"	"568"	"0"	"568"	""
"230"	"213"	"213"	"430"	"2"	"2"	"12"	"6"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"6"	"461"	"0"	"461"	""
"231"	"214"	"214"	"505"	"5"	"48"	"12"	"19"	"0"	"1"	"2"	"1"	"1"	"0"	"3"	"0"	"3"	"6"	"606"	"0"	"606"	""
"232"	"215"	"215"	"263"	"2"	"25"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"5"	"301"	"0"	"301"	""
"233"	"216"	"216"	"571"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"580"	"0"	"580"	""
"234"	"217"	"217"	"459"	"15"	"80"	"15"	"8"	"0"	"1"	"3"	"2"	"1"	"2"	"2"	"0"	"1"	"19"	"608"	"0"	"608"	""
"235"	"218"	"218"	"11"	"7"	"333"	"102"	"48"	"2"	"3"	"0"	"2"	"0"	"0"	"1"	"4"	"2"	"0"	"515"	"0"	"515"	""
"236"	"219"	"219"	"45"	"11"	"94"	"93"	"16"	"0"	"4"	"0"	"1"	"1"	"0"	"0"	"1"	"3"	"0"	"269"	"0"	"269"	""
"237"	"220"	"220"	"5"	"2"	"110"	"54"	"52"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"0"	"224"	""
"238"	"221"	"221"	"265"	"8"	"139"	"13"	"17"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"4"	"453"	"0"	"453"	""
"239"	"222"	"222"	"336"	"8"	"156"	"14"	"2"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"2"	"2"	"7"	"531"	"0"	"531"	""
"240"	"223"	"223"	"90"	"26"	"386"	"34"	"13"	"2"	"3"	"6"	"2"	"0"	"0"	"2"	"10"	"11"	"10"	"595"	"0"	"595"	""
"241"	"224"	"224"	"181"	"5"	"20"	"8"	"262"	"6"	"1"	"3"	"1"	"3"	"1"	"4"	"0"	"3"	"13"	"511"	"0"	"511"	""
"242"	"Total No. of votes recording at polling Stations"	""	"30362"	"2549"	"40177"	"10317"	"13447"	"430"	"394"	"400"	"208"	"173"	"271"	"437"	"796"	"661"	"1359"	"1E+05"	"0"	"101981"	""
"243"	"No. of votes recorded on postal ballot papers"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""
"244"	"Total Votes polled"	""	"30362"	"2549"	"40177"	"10317"	"13447"	"430"	"394"	"400"	"208"	"173"	"271"	"437"	"796"	"661"	"1359"	"1E+05"	"0"	"101981"	""
"245"	"Place :     OTIHARI                                                                                                                                                                                                                                                       Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"Sl. No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of reject ed
votes"	"Total"	"No. of Tender ed
votes"
"247"	""	""	"MD. ANWARU L HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARU N SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDRI KA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"248"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"249"	":   16/05/2009                                                                                                                                                                                                                                                                              021-Dhaka"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
