"TOTAL.NO.OF.ELECTORS.IN.93.KUDHANI.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X210265"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"
"101"	"94"	""	""	"145"	""	"213"	"18"	"3"	""	"0"	"3"	"1"	"1"	"4"	"2"	"0"	"0"	"0"	"3"	"11"	"4"	"1"	"6"	"9"	"20"	"0"	"0"	"2"	"5"	"451"	""	""	""
"102"	"95"	""	""	"323"	""	"230"	"37"	"6"	""	"1"	"6"	"8"	"2"	"5"	"10"	"5"	"8"	"5"	"17"	"25"	"23"	"6"	"11"	"0"	"70"	"1"	"2"	"0"	"3"	"804"	""	""	""
"103"	"96"	""	""	"164"	""	"121"	"4"	"2"	""	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"2"	"3"	"3"	"0"	"2"	"0"	"0"	"1"	"2"	"310"	""	""	""
"104"	"97"	""	""	"56"	""	"334"	"21"	"3"	""	"2"	"4"	"3"	"0"	"5"	"4"	"1"	"5"	"3"	"9"	"31"	"43"	"4"	"13"	"2"	"3"	"1"	"1"	"1"	"4"	"553"	""	""	""
"105"	"98"	""	""	"159"	""	"300"	"70"	"4"	""	"3"	"11"	"6"	"2"	"8"	"6"	"2"	"1"	"3"	"9"	"4"	"9"	"21"	"31"	"5"	"28"	"3"	"7"	"9"	"12"	"713"	""	""	""
"106"	"99"	""	""	"195"	""	"63"	"184"	"22"	""	"5"	"2"	"3"	"4"	"5"	"3"	"3"	"1"	"4"	"4"	"2"	"8"	"6"	"12"	"2"	"36"	"1"	"2"	"0"	"2"	"569"	""	""	""
"107"	"100"	""	""	"335"	""	"276"	"27"	"3"	""	"3"	"5"	"1"	"1"	"1"	"6"	"0"	"1"	"0"	"5"	"4"	"11"	"39"	"21"	"5"	"12"	"3"	"1"	"6"	"10"	"776"	""	""	""
"108"	"101"	""	""	"131"	""	"175"	"5"	"36"	""	"2"	"43"	"2"	"4"	"4"	"9"	"0"	"2"	"3"	"6"	"11"	"9"	"12"	"38"	"7"	"132"	"3"	"5"	"7"	"11"	"657"	""	""	""
"109"	"102"	""	""	"29"	""	"94"	"177"	"15"	""	"2"	"4"	"2"	"0"	"0"	"2"	"1"	"0"	"0"	"2"	"3"	"2"	"13"	"10"	"2"	"39"	"1"	"3"	"3"	"4"	"408"	""	""	""
"110"	"103"	""	""	"172"	""	"106"	"43"	"6"	""	"4"	"6"	"3"	"1"	"1"	"6"	"3"	"2"	"0"	"5"	"3"	"7"	"2"	"27"	"4"	"91"	"3"	"1"	"2"	"7"	"505"	""	""	""
"111"	"104"	""	""	"32"	""	"108"	"47"	"2"	""	"2"	"7"	"0"	"2"	"0"	"1"	"0"	"2"	"2"	"6"	"15"	"9"	"2"	"7"	"1"	"47"	"0"	"0"	"0"	"0"	"292"	""	""	""
"112"	"TOTAL NO OF ELECTORS IN 93-KUDHANI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"210265"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	""	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	""	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"114"	"105"	""	""	"64"	""	"106"	"12"	"22"	""	"2"	"0"	"3"	"2"	"4"	"1"	"0"	"4"	"2"	"7"	"19"	"25"	"8"	"6"	"1"	"28"	"0"	"3"	"3"	"6"	"328"	""	""	""
"115"	"106"	""	""	"96"	""	"356"	"25"	"61"	""	"1"	"3"	"2"	"2"	"2"	"2"	"2"	"3"	"2"	"2"	"8"	"8"	"18"	"45"	"4"	"29"	"3"	"4"	"7"	"9"	"694"	""	""	""
"116"	"107"	""	""	"275"	""	"49"	"9"	"3"	""	"0"	"4"	"6"	"2"	"7"	"7"	"1"	"4"	"8"	"10"	"15"	"42"	"22"	"32"	"4"	"20"	"1"	"1"	"1"	"3"	"526"	""	""	""
"117"	"108"	""	""	"218"	""	"232"	"84"	"12"	""	"3"	"1"	"5"	"3"	"0"	"3"	"1"	"1"	"0"	"3"	"5"	"5"	"5"	"6"	"1"	"10"	"0"	"0"	"1"	"0"	"599"	""	""	""
"118"	"109"	""	""	"164"	""	"163"	"112"	"20"	""	"6"	"2"	"2"	"0"	"2"	"3"	"1"	"2"	"4"	"3"	"6"	"7"	"18"	"44"	"8"	"61"	"13"	"6"	"8"	"26"	"681"	""	""	""
"119"	"110"	""	""	"55"	""	"223"	"35"	"9"	""	"3"	"7"	"5"	"7"	"1"	"6"	"1"	"4"	"3"	"1"	"8"	"1"	"2"	"7"	"1"	"123"	"2"	"2"	"0"	"2"	"508"	""	""	""
"120"	"111"	""	""	"104"	""	"213"	"73"	"2"	""	"0"	"1"	"1"	"0"	"0"	"2"	"1"	"3"	"1"	"4"	"26"	"9"	"1"	"6"	"0"	"120"	"1"	"1"	"0"	"0"	"569"	""	""	""
"121"	"112"	""	""	"234"	""	"42"	"15"	"1"	""	"0"	"1"	"0"	"3"	"0"	"0"	"2"	"1"	"0"	"0"	"2"	"2"	"15"	"4"	"1"	"73"	"2"	"0"	"2"	"2"	"402"	""	""	""
"122"	"113"	""	""	"353"	""	"37"	"9"	"2"	""	"0"	"0"	"1"	"1"	"0"	"2"	"0"	"2"	"1"	"1"	"2"	"3"	"7"	"3"	"0"	"6"	"1"	"0"	"2"	"3"	"436"	""	""	""
"123"	"114"	""	""	"197"	""	"159"	"31"	"7"	""	"6"	"5"	"4"	"4"	"4"	"5"	"4"	"2"	"2"	"8"	"19"	"3"	"3"	"8"	"2"	"66"	"5"	"1"	"5"	"3"	"553"	""	""	""
"124"	"115"	""	""	"255"	""	"98"	"40"	"2"	""	"0"	"3"	"0"	"2"	"2"	"2"	"0"	"3"	"1"	"4"	"2"	"8"	"14"	"9"	"4"	"88"	"10"	"7"	"13"	"22"	"589"	""	""	""
"125"	"116"	""	""	"513"	""	"133"	"9"	"16"	""	"1"	"2"	"1"	"1"	"3"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"2"	"2"	"0"	"16"	"3"	"0"	"0"	"0"	"706"	""	""	""
"126"	"117"	""	""	"20"	""	"178"	"38"	"2"	""	"1"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"5"	"4"	"0"	"4"	"0"	"18"	"0"	"0"	"0"	"3"	"278"	""	""	""
"127"	"118"	""	""	"41"	""	"385"	"110"	"18"	""	"2"	"3"	"4"	"3"	"4"	"5"	"0"	"2"	"0"	"3"	"5"	"4"	"1"	"10"	"1"	"8"	"1"	"0"	"1"	"3"	"614"	""	""	""
"128"	"119"	""	""	"216"	""	"207"	"9"	"7"	""	"0"	"2"	"0"	"1"	"0"	"1"	"1"	"1"	"2"	"10"	"15"	"20"	"35"	"44"	"7"	"23"	"6"	"4"	"6"	"8"	"625"	""	""	""
"129"	"120"	""	""	"30"	""	"205"	"162"	"16"	""	"1"	"2"	"1"	"1"	"0"	"3"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"9"	"7"	"8"	"0"	"0"	"0"	"1"	"451"	""	""	""
"130"	"121"	""	""	"34"	""	"152"	"4"	"1"	""	"1"	"3"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"2"	"9"	"1"	"38"	"0"	"0"	"2"	"0"	"254"	""	""	""
"131"	"122"	""	""	"344"	""	"107"	"22"	"12"	""	"2"	"4"	"0"	"0"	"3"	"1"	"2"	"2"	"5"	"2"	"7"	"6"	"14"	"4"	"3"	"63"	"0"	"0"	"4"	"2"	"609"	""	""	""
"132"	"123"	""	""	"484"	""	"25"	"36"	"3"	""	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"4"	"1"	"4"	"6"	"1"	"0"	"21"	"0"	"0"	"0"	"1"	"591"	""	""	""
"133"	"124"	""	""	"307"	""	"20"	"4"	"1"	""	"0"	"0"	"1"	"0"	"2"	"0"	"1"	"0"	"1"	"2"	"3"	"5"	"13"	"0"	"1"	"6"	"0"	"1"	"1"	"1"	"370"	""	""	""
"134"	"125"	""	""	"484"	""	"18"	"8"	"1"	""	"1"	"1"	"0"	"2"	"0"	"1"	"0"	"1"	"1"	"0"	"3"	"1"	"8"	"1"	"1"	"13"	"0"	"0"	"0"	"1"	"546"	""	""	""
"135"	"126"	""	""	"191"	""	"4"	"3"	"1"	""	"2"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"2"	"2"	"9"	"5"	"1"	"0"	"35"	"2"	"1"	"1"	"5"	"269"	""	""	""
"136"	"127"	""	""	"199"	""	"50"	"1"	"1"	""	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"2"	"2"	"1"	"0"	"18"	"0"	"1"	"0"	"0"	"282"	""	""	""
"137"	"128"	""	""	"43"	""	"71"	"4"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"3"	"3"	"4"	"2"	"1"	"9"	"0"	"1"	"3"	"3"	"150"	""	""	""
"138"	"129"	""	""	"243"	""	"120"	"82"	"5"	""	"3"	"3"	"3"	"4"	"1"	"3"	"2"	"2"	"1"	"10"	"10"	"16"	"17"	"6"	"2"	"67"	"1"	"1"	"0"	"2"	"604"	""	""	""
"139"	"130"	""	""	"162"	""	"99"	"138"	"11"	""	"2"	"5"	"1"	"1"	"2"	"4"	"1"	"4"	"2"	"6"	"4"	"3"	"17"	"18"	"4"	"40"	"3"	"1"	"1"	"2"	"531"	""	""	""
"140"	"TOTAL NO OF ELECTORS IN 93-KUDHANI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"210265"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	""	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	""	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"142"	"131"	""	""	"343"	""	"280"	"10"	"2"	""	"1"	"0"	"1"	"3"	"0"	"1"	"1"	"0"	"1"	"3"	"10"	"13"	"2"	"6"	"2"	"4"	"0"	"1"	"1"	"4"	"689"	""	""	""
"143"	"132"	""	""	"101"	""	"216"	"49"	"4"	""	"2"	"6"	"3"	"3"	"6"	"3"	"2"	"2"	"4"	"5"	"22"	"6"	"10"	"20"	"5"	"25"	"3"	"3"	"3"	"6"	"509"	""	""	""
"144"	"133"	""	""	"95"	""	"20"	"64"	"1"	""	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"3"	"4"	"1"	"1"	"4"	"0"	"0"	"1"	"1"	"203"	""	""	""
"145"	"134"	""	""	"156"	""	"169"	"17"	"8"	""	"2"	"1"	"5"	"7"	"9"	"3"	"6"	"4"	"6"	"16"	"39"	"21"	"15"	"23"	"7"	"22"	"4"	"4"	"2"	"7"	"553"	""	""	""
"146"	"135"	""	""	"157"	""	"281"	"21"	"7"	""	"2"	"7"	"6"	"3"	"8"	"8"	"4"	"2"	"3"	"12"	"38"	"25"	"7"	"16"	"3"	"31"	"1"	"2"	"4"	"12"	"660"	""	""	""
"147"	"136"	""	""	"70"	""	"364"	"11"	"3"	""	"2"	"1"	"2"	"0"	"7"	"0"	"4"	"1"	"3"	"3"	"8"	"9"	"6"	"24"	"2"	"25"	"0"	"1"	"3"	"2"	"551"	""	""	""
"148"	"137"	""	""	"140"	""	"105"	"65"	"0"	""	"3"	"5"	"1"	"1"	"2"	"8"	"0"	"0"	"0"	"1"	"2"	"4"	"7"	"124"	"4"	"56"	"0"	"0"	"3"	"0"	"531"	""	""	""
"149"	"138"	""	""	"185"	""	"59"	"95"	"2"	""	"0"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"3"	"7"	"10"	"1"	"7"	"1"	"0"	"1"	"1"	"379"	""	""	""
"150"	"139"	""	""	"93"	""	"226"	"66"	"9"	""	"2"	"4"	"2"	"0"	"0"	"3"	"1"	"3"	"2"	"4"	"15"	"6"	"2"	"23"	"0"	"54"	"2"	"1"	"2"	"2"	"522"	""	""	""
"151"	"140"	""	""	"99"	""	"60"	"33"	"1"	""	"0"	"2"	"0"	"2"	"5"	"3"	"1"	"3"	"1"	"9"	"3"	"7"	"2"	"3"	"0"	"34"	"1"	"0"	"1"	"1"	"271"	""	""	""
"152"	"141"	""	""	"230"	""	"188"	"2"	"0"	""	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"8"	"4"	"1"	"0"	"0"	"1"	"2"	"2"	"443"	""	""	""
"153"	"142"	""	""	"151"	""	"84"	"95"	"20"	""	"3"	"2"	"4"	"6"	"6"	"3"	"1"	"1"	"3"	"1"	"18"	"13"	"5"	"98"	"4"	"69"	"3"	"0"	"2"	"4"	"596"	""	""	""
"154"	"143"	""	""	"52"	""	"49"	"68"	"1"	""	"0"	"1"	"2"	"0"	"1"	"3"	"0"	"1"	"1"	"2"	"3"	"4"	"2"	"105"	"2"	"6"	"0"	"0"	"1"	"0"	"304"	""	""	""
"155"	"144"	""	""	"57"	""	"191"	"35"	"2"	""	"4"	"8"	"3"	"3"	"5"	"5"	"2"	"7"	"3"	"6"	"17"	"8"	"5"	"9"	"1"	"84"	"2"	"4"	"2"	"5"	"468"	""	""	""
"156"	"145"	""	""	"45"	""	"139"	"88"	"50"	""	"11"	"3"	"3"	"4"	"7"	"5"	"3"	"3"	"6"	"11"	"13"	"14"	"4"	"4"	"2"	"31"	"1"	"1"	"1"	"1"	"450"	""	""	""
"157"	"146"	""	""	"133"	""	"108"	"146"	"6"	""	"1"	"2"	"2"	"2"	"3"	"2"	"0"	"1"	"3"	"3"	"7"	"7"	"3"	"1"	"2"	"43"	"0"	"0"	"1"	"0"	"476"	""	""	""
"158"	"147"	""	""	"73"	""	"35"	"9"	"0"	""	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"1"	"9"	"3"	"2"	"1"	"6"	"0"	"1"	"4"	"1"	"150"	""	""	""
"159"	"148"	""	""	"165"	""	"245"	"28"	"4"	""	"1"	"4"	"4"	"4"	"10"	"20"	"5"	"9"	"9"	"11"	"25"	"32"	"14"	"83"	"4"	"30"	"0"	"2"	"4"	"9"	"722"	""	""	""
"160"	"149"	""	""	"192"	""	"233"	"48"	"6"	""	"3"	"6"	"1"	"5"	"3"	"6"	"3"	"6"	"3"	"5"	"11"	"22"	"30"	"39"	"6"	"98"	"4"	"6"	"7"	"11"	"754"	""	""	""
"161"	"150"	""	""	"143"	""	"219"	"5"	"4"	""	"0"	"4"	"1"	"2"	"2"	"2"	"0"	"4"	"3"	"5"	"27"	"24"	"11"	"11"	"1"	"10"	"0"	"2"	"1"	"3"	"484"	""	""	""
"162"	"151"	""	""	"58"	""	"171"	"22"	"8"	""	"3"	"2"	"2"	"3"	"3"	"3"	"1"	"5"	"0"	"3"	"6"	"4"	"6"	"22"	"3"	"128"	"2"	"4"	"2"	"4"	"465"	""	""	""
"163"	"152"	""	""	"108"	""	"142"	"75"	"6"	""	"3"	"6"	"3"	"3"	"5"	"8"	"4"	"4"	"4"	"8"	"28"	"26"	"4"	"12"	"1"	"90"	"3"	"2"	"6"	"4"	"555"	""	""	""
"164"	"153"	""	""	"244"	""	"248"	"172"	"6"	""	"7"	"5"	"2"	"8"	"6"	"5"	"4"	"3"	"2"	"12"	"10"	"12"	"13"	"9"	"3"	"17"	"0"	"4"	"5"	"5"	"802"	""	""	""
"165"	"154"	""	""	"259"	""	"271"	"26"	"1"	""	"2"	"1"	"2"	"0"	"1"	"2"	"1"	"3"	"1"	"10"	"13"	"16"	"7"	"6"	"4"	"13"	"1"	"0"	"1"	"2"	"643"	""	""	""
"166"	"155"	""	""	"67"	""	"390"	"54"	"2"	""	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"5"	"0"	"1"	"0"	"0"	"2"	"0"	"530"	""	""	""
"167"	"156"	""	""	"117"	""	"236"	"29"	"13"	""	"18"	"1"	"1"	"4"	"11"	"4"	"3"	"4"	"4"	"5"	"18"	"13"	"4"	"4"	"1"	"2"	"0"	"0"	"1"	"5"	"498"	""	""	""
"168"	"TOTAL NO OF ELECTORS IN 93-KUDHANI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"210265"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	""	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	""	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"170"	"157"	""	""	"99"	""	"135"	"170"	"14"	""	"0"	"4"	"2"	"4"	"3"	"2"	"0"	"4"	"4"	"4"	"10"	"10"	"10"	"10"	"11"	"61"	"5"	"2"	"5"	"15"	"584"	""	""	""
"171"	"158"	""	""	"52"	""	"56"	"65"	"27"	""	"0"	"2"	"2"	"2"	"0"	"2"	"1"	"0"	"2"	"3"	"4"	"1"	"5"	"101"	"15"	"39"	"4"	"4"	"3"	"4"	"394"	""	""	""
"172"	"159"	""	""	"95"	""	"81"	"15"	"43"	""	"0"	"2"	"0"	"0"	"0"	"3"	"0"	"1"	"2"	"3"	"6"	"1"	"1"	"21"	"0"	"3"	"0"	"1"	"0"	"0"	"278"	""	""	""
"173"	"160"	""	""	"125"	""	"112"	"108"	"28"	""	"2"	"5"	"3"	"5"	"1"	"3"	"0"	"1"	"3"	"4"	"8"	"13"	"4"	"5"	"0"	"30"	"0"	"1"	"3"	"2"	"466"	""	""	""
"174"	"161"	""	""	"76"	""	"89"	"20"	"6"	""	"1"	"3"	"0"	"1"	"2"	"1"	"2"	"2"	"3"	"1"	"13"	"1"	"0"	"14"	"1"	"2"	"1"	"0"	"1"	"0"	"240"	""	""	""
"175"	"162"	""	""	"225"	""	"97"	"43"	"2"	""	"0"	"5"	"5"	"1"	"4"	"9"	"2"	"0"	"3"	"8"	"4"	"4"	"6"	"109"	"0"	"14"	"1"	"1"	"1"	"3"	"547"	""	""	""
"176"	"163"	""	""	"74"	""	"61"	"3"	"1"	""	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"5"	"27"	"4"	"14"	"0"	"1"	"0"	"4"	"198"	""	""	""
"177"	"164"	""	""	"86"	""	"104"	"52"	"42"	""	"2"	"3"	"4"	"1"	"6"	"3"	"0"	"2"	"6"	"7"	"9"	"4"	"13"	"11"	"3"	"95"	"3"	"1"	"4"	"2"	"463"	""	""	""
"178"	"165"	""	""	"74"	""	"237"	"57"	"9"	""	"4"	"35"	"4"	"1"	"0"	"2"	"0"	"1"	"2"	"5"	"5"	"6"	"3"	"6"	"0"	"44"	"2"	"0"	"3"	"3"	"503"	""	""	""
"179"	"166"	""	""	"13"	""	"30"	"97"	"8"	""	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"2"	"0"	"2"	"1"	"7"	"0"	"0"	"0"	"1"	"167"	""	""	""
"180"	"167"	""	""	"69"	""	"129"	"21"	"4"	""	"0"	"7"	"1"	"1"	"0"	"9"	"3"	"5"	"1"	"5"	"9"	"6"	"3"	"22"	"2"	"62"	"1"	"1"	"1"	"3"	"365"	""	""	""
"181"	"168"	""	""	"161"	""	"53"	"11"	"3"	""	"0"	"3"	"3"	"2"	"0"	"10"	"1"	"2"	"3"	"6"	"7"	"13"	"9"	"84"	"2"	"37"	"2"	"1"	"1"	"7"	"421"	""	""	""
"182"	"169"	""	""	"147"	""	"104"	"137"	"28"	""	"7"	"20"	"2"	"7"	"3"	"3"	"2"	"4"	"2"	"4"	"6"	"4"	"11"	"18"	"2"	"120"	"2"	"2"	"1"	"1"	"637"	""	""	""
"183"	"170"	""	""	"87"	""	"130"	"151"	"7"	""	"1"	"5"	"1"	"1"	"0"	"4"	"0"	"1"	"0"	"0"	"3"	"4"	"7"	"6"	"2"	"5"	"0"	"0"	"1"	"1"	"417"	""	""	""
"184"	"171"	""	""	"315"	""	"241"	"61"	"7"	""	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"0"	"1"	"3"	"2"	"0"	"12"	"4"	"3"	"36"	"1"	"1"	"1"	"1"	"693"	""	""	""
"185"	"172"	""	""	"131"	""	"324"	"45"	"3"	""	"2"	"8"	"1"	"5"	"3"	"8"	"2"	"4"	"4"	"2"	"7"	"18"	"5"	"10"	"2"	"15"	"1"	"0"	"1"	"1"	"602"	""	""	""
"186"	"173"	""	""	"82"	""	"181"	"40"	"10"	""	"4"	"2"	"2"	"1"	"4"	"2"	"3"	"2"	"1"	"6"	"5"	"1"	"16"	"10"	"1"	"78"	"5"	"5"	"3"	"10"	"474"	""	""	""
"187"	"174"	""	""	"45"	""	"213"	"28"	"1"	""	"3"	"8"	"2"	"3"	"2"	"5"	"3"	"7"	"6"	"8"	"18"	"34"	"11"	"20"	"3"	"24"	"4"	"5"	"1"	"13"	"467"	""	""	""
"188"	"175"	""	""	"121"	""	"121"	"52"	"33"	""	"9"	"3"	"4"	"4"	"1"	"4"	"2"	"2"	"0"	"6"	"5"	"8"	"11"	"13"	"3"	"23"	"0"	"2"	"2"	"1"	"430"	""	""	""
"189"	"176"	""	""	"93"	""	"106"	"195"	"52"	""	"5"	"7"	"4"	"3"	"6"	"5"	"3"	"6"	"5"	"14"	"4"	"5"	"5"	"6"	"1"	"19"	"2"	"2"	"5"	"9"	"562"	""	""	""
"190"	"177"	""	""	"110"	""	"116"	"88"	"7"	""	"3"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"4"	"4"	"3"	"1"	"3"	"2"	"13"	"0"	"1"	"0"	"4"	"365"	""	""	""
"191"	"178"	""	""	"63"	""	"140"	"29"	"1"	""	"2"	"7"	"2"	"2"	"7"	"5"	"1"	"5"	"4"	"5"	"16"	"20"	"11"	"12"	"6"	"120"	"6"	"5"	"5"	"12"	"486"	""	""	""
"192"	"179"	""	""	"45"	""	"201"	"28"	"1"	""	"2"	"5"	"1"	"4"	"0"	"2"	"1"	"4"	"2"	"8"	"32"	"13"	"6"	"14"	"1"	"28"	"1"	"0"	"1"	"0"	"400"	""	""	""
"193"	"180"	""	""	"195"	""	"46"	"108"	"20"	""	"5"	"5"	"6"	"5"	"2"	"10"	"1"	"3"	"4"	"7"	"7"	"4"	"18"	"31"	"2"	"40"	"1"	"0"	"5"	"1"	"526"	""	""	""
"194"	"181"	""	""	"18"	""	"47"	"57"	"43"	""	"2"	"0"	"1"	"0"	"3"	"0"	"1"	"4"	"4"	"8"	"12"	"3"	"5"	"23"	"2"	"40"	"1"	"2"	"0"	"5"	"281"	""	""	""
"195"	"182"	""	""	"69"	""	"37"	"58"	"7"	""	"1"	"0"	"2"	"0"	"1"	"4"	"0"	"0"	"1"	"3"	"5"	"4"	"3"	"7"	"1"	"53"	"1"	"1"	"0"	"2"	"260"	""	""	""
"196"	"TOTAL NO OF ELECTORS IN 93-KUDHANI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"210265"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	""	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	""	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"198"	"183"	""	""	"49"	""	"282"	"11"	"4"	""	"4"	"0"	"3"	"2"	"1"	"3"	"1"	"2"	"1"	"8"	"10"	"9"	"2"	"13"	"2"	"6"	"2"	"0"	"2"	"2"	"419"	""	""	""
"199"	"184"	""	""	"97"	""	"131"	"51"	"5"	""	"3"	"3"	"3"	"3"	"2"	"6"	"1"	"6"	"5"	"5"	"15"	"13"	"12"	"18"	"2"	"17"	"2"	"2"	"2"	"10"	"414"	""	""	""
"200"	"185"	""	""	"134"	""	"241"	"46"	"9"	""	"1"	"4"	"2"	"3"	"2"	"2"	"1"	"1"	"1"	"3"	"5"	"7"	"8"	"15"	"4"	"11"	"2"	"2"	"1"	"5"	"510"	""	""	""
"201"	"186"	""	""	"484"	""	"81"	"21"	"0"	""	"2"	"0"	"1"	"4"	"2"	"0"	"1"	"1"	"2"	"7"	"8"	"18"	"17"	"5"	"1"	"58"	"0"	"1"	"1"	"0"	"715"	""	""	""
"202"	"187"	""	""	"135"	""	"155"	"38"	"1"	""	"2"	"2"	"4"	"2"	"1"	"3"	"3"	"1"	"3"	"6"	"17"	"16"	"3"	"7"	"0"	"22"	"1"	"0"	"2"	"8"	"432"	""	""	""
