"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"
"165"	"123"	""	""	""	"3"	""	""	""	""	""	"7"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	"3"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	"9"	""	""	"28"	""	""	""	""	""	""	""	""
"166"	"124"	""	""	""	"2"	""	""	""	""	""	"85"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	"14"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	"45"	""	""	"152"	""	""	""	""	""	""	""	""
"167"	"125"	""	""	""	"17"	""	""	""	""	""	"8"	""	""	""	""	"69"	""	""	""	""	"71"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	"11"	""	""	""	"0"	""	""	"1"	""	""	"178"	""	""	""	""	""	""	""	""
"168"	"126"	""	""	""	"43"	""	""	""	""	""	"28"	""	""	""	""	"77"	""	""	""	""	"43"	""	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	"195"	""	""	""	""	""	""	""	""
"169"	"127"	""	""	""	"4"	""	""	""	""	""	"25"	""	""	""	""	"42"	""	""	""	""	"289"	""	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	"61"	""	""	""	"0"	""	""	"1"	""	""	"429"	""	""	""	""	""	""	""	""
"170"	"128"	""	""	""	"14"	""	""	""	""	""	"112"	""	""	""	""	"68"	""	""	""	""	"100"	""	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"3"	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	"30"	""	""	""	"3"	""	""	"4"	""	""	"342"	""	""	""	""	""	""	""	""
"171"	"129"	""	""	""	"19"	""	""	""	""	""	"139"	""	""	""	""	"44"	""	""	""	""	"20"	""	""	""	""	""	"2"	""	""	""	"3"	""	""	""	"2"	""	""	""	"3"	""	""	""	"2"	""	""	""	"1"	""	""	"70"	""	""	""	"0"	""	""	"2"	""	""	"307"	""	""	""	""	""	""	""	""
"172"	"130"	""	""	""	"3"	""	""	""	""	""	"118"	""	""	""	""	"69"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"9"	""	""	"157"	""	""	""	"2"	""	""	"1"	""	""	"365"	""	""	""	""	""	""	""	""
"173"	"131"	""	""	""	"2"	""	""	""	""	""	"256"	""	""	""	""	"48"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	"55"	""	""	""	"0"	""	""	"1"	""	""	"367"	""	""	""	""	""	""	""	""
"174"	"132"	""	""	""	"1"	""	""	""	""	""	"87"	""	""	""	""	"20"	""	""	""	""	"24"	""	""	""	""	""	"0"	""	""	""	"12"	""	""	""	"1"	""	""	""	"6"	""	""	""	"0"	""	""	""	"0"	""	""	"102"	""	""	""	"0"	""	""	"1"	""	""	"254"	""	""	""	""	""	""	""	""
"175"	"Printed Using RO/AR()Counting Tool Ver. 1.0 of National Informatics Centre,Bihar                                                                                                               Page2o/ 4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	".•."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	",onstituency:33-BUXAR                                                                                                                Form-20 (Part-I-A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"mbly Constituency :201-Dumraon                                                                                                              No of Voters:221301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"Cal)dldateJ.                                                                              Noof valid votes caste In favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	":c                                      :c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"Cz>                                                  C>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"0::                                     en"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"?i                                                  gCl)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	":zli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"ii>                                           z                     ii2           0                              w"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"\"Cl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"BOOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	">   <          z>w    !"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"c                 D.."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"<                                  z                       :c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	":c <"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"NO                                                                jz    zD..         m       c           <                        U)  :c
v             <           S5.   :c :::)                    0             i           :c                         ::,             ::,                   5    - \"'
j o::     ·    :c      :::) CQ         ::::E  ;:::                                      oZ>o::          :::)            ::E                            :::E            U)                  w_.e::,        \"iii  t:
I                         C> C>        :E ::,        < :C                                  W  ::,        s: :c          c             w
I                        ::E                            -10        > U>   O u,        :c                        0::                                                  0::              :::!: 0         O Q.
I
j:::,w       U)  ::.:            :E             :E                               C  Z         U)  IX)           U)                    U)                    U)                                               t-  -
l               '1.                :;           4              5              6                7             8             9              10           11           T2           n       14          T'\"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"133"	""	""	""	"10"	""	""	""	""	""	""	""	""	"132"	""	""	""	"49"	""	""	""	"·71"	""	""	""	""	""	""	"2"	""	""	"3"	""	""	"5"	""	""	""	"4"	""	""	""	""	"4"	""	""	"5"	""	""	""	"95"	""	""	"5"	""	""	"2"	""	""	"387"	""	""	""	""	""	""	""	""
"197"	"134"	""	""	""	"23"	""	""	""	""	""	""	""	""	"119"	""	""	""	"86"	""	""	""	"10"	""	""	""	""	""	""	"0"	""	""	"2"	""	""	"1"	""	""	""	"1"	""	""	""	""	"1"	""	""	"0"	""	""	""	"93"	""	""	"0"	""	""	"1"	""	""	"337"	""	""	""	""	""	""	""	""
"198"	"135"	""	""	""	"23"	""	""	""	""	""	""	""	""	"118"	""	""	""	"28"	""	""	""	"31"	""	""	""	""	""	""	"2"	""	""	"9"	""	""	"5"	""	""	""	"6"	""	""	""	""	"4"	""	""	"7"	""	""	""	"206"	""	""	"3"	""	""	"2"	""	""	"444"	""	""	""	""	""	""	""	""
"199"	"136"	""	""	""	"9"	""	""	""	""	""	""	""	""	"107"	""	""	""	"4"	""	""	""	"88"	""	""	""	""	""	""	"1"	""	""	"2"	""	""	"2"	""	""	""	"0"	""	""	""	""	"1"	""	""	"1"	""	""	""	"42"	""	""	"2"	""	""	"1"	""	""	"260"	""	""	""	""	""	""	""	""
"200"	"137"	""	""	""	"5"	""	""	""	""	""	""	""	""	"121"	""	""	""	"9"	""	""	""	"138"	""	""	""	""	""	""	"4"	""	""	"1"	""	""	"0"	""	""	""	"2"	""	""	""	""	"3"	""	""	"5"	""	""	""	"116"	""	""	"3"	""	""	"4"	""	""	"411"	""	""	""	""	""	""	""	""
"201"	"138"	""	""	""	"0"	""	""	""	""	""	""	""	""	"68"	""	""	""	"38"	""	""	""	"42"	""	""	""	""	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	""	""	"0"	""	""	"0"	""	""	""	"9"	""	""	"1"	""	""	"0"	""	""	"160"	""	""	""	""	""	""	""	""
"202"	"139"	""	""	""	"0"	""	""	""	""	""	""	"   "	""	"121"	""	""	""	"30"	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	"2"	""	""	"1"	""	""	""	"1"	""	""	""	""	"0"	""	""	"1"	""	""	""	". 94"	""	""	"1"	""	""	"0"	""	""	"234"	""	""	""	""	""	""	""	""
"203"	"140"	""	""	""	"9"	""	""	""	""	""	""	""	""	"120"	""	""	""	"32"	""	""	""	"-          8"	""	""	""	""	""	""	"0"	""	""	"1"	""	""	"2"	""	""	""	"2"	""	""	""	""	"1"	""	""	"1"	""	""	""	"80"	""	""	"2"	""	""	"1"	""	""	"259"	""	""	""	""	""	""	""	""
"204"	"141"	""	""	""	"18"	""	""	""	""	""	""	""	""	"208"	""	""	""	"52"	""	""	""	"333"	""	""	""	""	""	""	"2"	""	""	"2"	""	""	"1"	""	""	""	"4"	""	""	""	""	"2"	""	""	"2"	""	""	""	"144"	""	""	"1"	""	""	"3"	""	""	"772"	""	""	""	""	""	""	""	""
"205"	"142"	""	""	""	"4"	""	""	""	""	""	""	""	""	"102"	""	""	""	"3"	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	"12"	""	""	"72"	""	""	"197"	""	""	""	""	""	""	""	""
"206"	"143"	""	""	""	"4"	""	""	""	""	""	""	""	""	"41"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	"4"	""	""	"3"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	"2"	""	""	"38"	""	""	"97"	""	""	""	""	""	""	""	""
"207"	"144"	""	""	""	"130"	""	""	""	""	""	""	""	""	"2"	""	""	""	"84"	""	""	""	"46"	""	""	""	""	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"15"	""	""	"0"	""	""	"0"	""	""	"278"	""	""	""	""	""	""	""	""
"208"	"145"	""	""	""	"4"	""	""	""	""	""	""	""	""	"52"	""	""	""	"42"	""	""	""	"49"	""	""	""	""	""	""	"1"	""	""	"4"	""	""	"1"	""	""	""	"6"	""	""	""	""	"52"	""	""	"4"	""	""	""	"3"	""	""	"4"	""	""	"4"	""	""	"226"	""	""	""	""	""	""	""	""
"209"	"146"	""	""	""	"2"	""	""	""	""	""	""	""	""	"21"	""	""	""	"152"	""	""	""	"24"	""	""	""	""	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"200"	""	""	""	""	""	""	""	""
"210"	"147"	""	""	""	"8"	""	""	""	""	""	""	""	""	"6"	""	""	""	"158"	""	""	""	"10"	""	""	""	""	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"182"	""	""	""	""	""	""	""	""
"211"	"148"	""	""	""	"8"	""	""	""	""	""	""	""	""	"156"	""	""	""	"103"	""	""	""	"53"	""	""	""	""	""	""	"5"	""	""	"1"	""	""	"0"	""	""	""	"3"	""	""	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	"4"	""	""	"5"	""	""	"340"	""	""	""	""	""	""	""	""
"212"	"149"	""	""	""	"16"	""	""	""	""	""	""	""	""	"19"	""	""	""	"39"	""	""	""	"121"	""	""	""	""	""	""	"7"	""	""	"2"	""	""	"0"	""	""	""	"2"	""	""	""	""	"1"	""	""	"0"	""	""	""	"6"	""	""	"0"	""	""	"2"	""	""	"215"	""	""	""	""	""	""	""	""
"213"	"150"	""	""	""	"27"	""	""	""	""	""	""	""	""	"49"	""	""	""	"75"	""	""	""	"119"	""	""	""	""	""	""	"4"	""	""	"2"	""	""	"2"	""	""	""	"3"	""	""	""	""	"1"	""	""	"3"	""	""	""	"20"	""	""	"2"	""	""	"2"	""	""	"309"	""	""	""	""	""	""	""	""
"214"	"151"	""	""	""	"9"	""	""	""	""	""	""	""	""	"11"	""	""	""	"31"	""	""	""	"101"	""	""	""	""	""	""	"328"	""	""	"6"	""	""	"5"	""	""	""	"3"	""	""	""	""	"31"	""	""	"5"	""	""	""	"14"	""	""	"3"	""	""	"1"	""	""	"548"	""	""	""	""	""	""	""	""
"215"	"152"	""	""	""	"2"	""	""	""	""	""	""	""	""	"36"	""	""	""	"70"	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	"3"	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"7"	""	""	"0"	""	""	"1"	""	""	"123"	""	""	""	""	""	""	""	""
"216"	"153"	""	""	""	"1"	""	""	""	""	""	""	""	""	"147"	""	""	""	"1"	""	""	""	"57"	""	""	""	""	""	""	"0"	""	""	"2"	""	""	"0"	""	""	""	"2"	""	""	""	""	"0"	""	""	"0"	""	""	""	"103"	""	""	"0"	""	""	"0"	""	""	"313"	""	""	""	""	""	""	""	""
"217"	"154"	""	""	""	"9"	""	""	""	""	""	""	""	""	"10"	""	""	""	"196"	""	""	""	"5"	""	""	""	""	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"2"	""	""	""	"29"	""	""	"1"	""	""	"0"	""	""	"252"	""	""	""	""	""	""	""	""
"218"	"155"	""	""	""	"2"	""	""	""	""	""	""	""	""	"134"	""	""	""	"61"	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"3"	""	""	""	"28"	""	""	"0"	""	""	"1"	""	""	"231"	""	""	""	""	""	""	""	""
"219"	"156"	""	""	""	"1"	""	""	""	""	""	""	""	""	"115"	""	""	""	"52"	""	""	""	"83 ·"	""	""	""	""	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	""	"1"	""	""	"0"	""	""	""	"56"	""	""	"0"	""	""	"0"	""	""	"309"	""	""	""	""	""	""	""	""
"220"	"157"	""	""	""	"5"	""	""	""	""	""	""	""	""	"115"	""	""	""	"40"	""	""	""	"91"	""	""	""	""	""	""	"4"	""	""	"0"	""	""	"0"	""	""	""	"3"	""	""	""	""	"1"	""	""	"1"	""	""	""	"22"	""	""	"0"	""	""	"1"	""	""	"283"	""	""	""	""	""	""	""	""
"221"	"158"	""	""	""	"3"	""	""	""	""	""	""	""	""	"98"	""	""	""	"7"	""	""	""	"77"	""	""	""	""	""	""	"1"	""	""	"0"	""	""	"3"	""	""	""	"2"	""	""	""	""	"0"	""	""	"1"	""	""	""	"5"	""	""	"0"	""	""	"3"	""	""	"200"	""	""	""	""	""	""	""	""
"222"	"159"	""	""	""	"5"	""	""	""	""	""	""	""	""	"224"	""	""	""	"9"	""	""	""	"65"	""	""	""	""	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	"1"	""	""	""	"12"	""	""	"2"	""	""	"2"	""	""	"322"	""	""	""	""	""	""	""	""
"223"	"160"	""	""	""	"10"	""	""	""	""	""	""	""	""	"71"	""	""	""	"47"	""	""	""	"10"	""	""	""	""	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"9"	""	""	"0"	""	""	"0"	""	""	"149"	""	""	""	""	""	""	""	""
"224"	"161"	""	""	""	"2"	""	""	""	""	""	""	""	""	"46"	""	""	""	"4"	""	""	""	"116"	""	""	""	""	""	""	"203"	""	""	"3"	""	""	"0"	""	""	""	"2"	""	""	""	""	"1"	""	""	"1"	""	""	""	"17"	""	""	"1"	""	""	"1"	""	""	"397"	""	""	""	""	""	""	""	""
"225"	"162"	""	""	""	"7"	""	""	""	""	""	""	""	""	"31"	""	""	""	"1"	""	""	""	"11"	""	""	""	""	""	""	"277"	""	""	"9"	""	""	"1"	""	""	""	"4"	""	""	""	""	"2"	""	""	"1"	""	""	""	"9"	""	""	"5"	""	""	"1"	""	""	"359"	""	""	""	""	""	""	""	""
"226"	"163"	""	""	""	"4"	""	""	""	""	""	""	""	""	"25"	""	""	""	"105"	""	""	""	"35"	""	""	""	""	""	""	"0"	""	""	"_1"	""	""	"0"	""	""	""	"2"	""	""	""	""	"0"	""	""	"0"	""	""	""	"56"	""	""	"0"	""	""	"1"	""	""	"229"	""	""	""	""	""	""	""	""
"227"	"164"	""	""	""	"4"	""	""	""	""	""	""	""	""	"112"	""	""	""	"8"	""	""	""	"63"	""	""	""	""	""	""	"1"	""	""	"1"	""	""	"3"	""	""	""	"3"	""	""	""	""	"0"	""	""	"1"	""	""	""	"70"	""	""	"0"	""	""	"2"	""	""	"268"	""	""	""	""	""	""	""	""
"228"	"165"	""	""	""	"9"	""	""	""	""	""	""	""	""	"24"	""	""	""	"28"	""	""	""	"17"	""	""	""	""	""	""	"3"	""	""	"1"	""	""	"1"	""	""	""	"3"	""	""	""	""	"5"	""	""	"2"	""	""	""	"71"	""	""	"1"	""	""	"1"	""	""	"166"	""	""	""	""	""	""	""	""
"229"	"166"	""	""	""	"3"	""	""	""	""	""	""	""	""	"43"	""	""	""	"31"	""	""	""	"80"	""	""	""	""	""	""	"0"	""	""	"0"	""	""	"1"	""	""	""	"9"	""	""	""	""	"1"	""	""	"3"	""	""	""	"129"	""	""	"2"	""	""	"2"	""	""	"304"	""	""	""	""	""	""	""	""
"230"	"167"	""	""	""	"4"	""	""	""	""	""	""	""	""	"152"	""	""	""	"6"	""	""	""	"33"	""	""	""	""	""	""	"0"	""	""	"1"	""	""	"'O"	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"48"	""	""	"1"	""	""	"3"	""	""	"249"	""	""	""	""	""	""	""	""
"231"	"168"	""	""	""	"4 ·"	""	""	""	""	""	""	""	""	"95"	""	""	""	"4"	""	""	""	"44"	""	""	""	""	""	""	"3"	""	""	"3"	""	""	"4"	""	""	""	"4"	""	""	""	""	"4"	""	""	"0"	""	""	""	"109"	""	""	"0"	""	""	"0"	""	""	"274"	""	""	""	""	""	""	""	""
"232"	"169                10            62          84             3            1             0             0             0            0             3             8             0            0           171
170                 8'1\":7      28          41             7            2             1             2             5            1             1           19             1            0           116"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"171         .........    5           164          20           63            0             2             0             6           56             2             8             0            2           328"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"172                 9           161          57          157            6           24             0             1          22             0           18            0            1           456"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"173               31            99         198           60            1             1             3             4            5             1             3            2            4           412"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"    174                30            213         141           29            3            2             0             4            2             2            30             4            1           461"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"175               34            44           35           99           6             0             1             4           60             4            21             3            1           312"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"176                 8            36           98           34            0             2             1             3          56             1           15             4            1           259"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"177                 8            20           20          164            2             3           27             3            3             5           73             0            5           333"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"178                 3           122           13          112            0             2             9             0            0             0             2             1            0           264"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"179                23             17         275           28            1             0             2             0             1             0           13            0            1           361"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"180                40            53         135             5            0             0             3             0            0             0           16             0            1           253"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"181                25            78         212           21            1             2             2             2            1             3           13            4            6           370"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"182                 9           107           71          153            3             2             3             3            5             1             4             2            4           367"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
