"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"ELECTION TO THE HOUSE OF  THE PEOPLE FROM THE 8---SUPAUL CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ParliamentConstituency :8---SUPAUL                                                                                                                     Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :45---Chhatarpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No of valid votes caste in favour of                                                                              Total Valid Votes-125412"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"BOOTH NO"	"ASHOK MAHTO"	"BALRAM SINGH YADAV"	"RANJEET RANJAN"	"VISHWA MOHAN
KUMAR"	"SURYA NARAYAN
YADAV"	"NARAYAN MANDAL"	"MANJU DEVI"	"SHARVAN KUMAR
CHOUDHARY"	"SURESH PRASAD
MEHTA"	"ARBIND KUMAR"	"ASHOK PANKAJ"	"BHIM KUMAR GUPTA"	"RAMCHANDRA PRASAD SINGH"	"RAMDEO SHARMA"	"VIJAY KUMAR CHOUDHARY"	"SURESH KUMAR AZAD"	"Total"
"163"	"150"	"13"	"17"	"282"	"104"	"22"	"38"	"6"	"26"	"1"	"3"	"4"	"4"	"6"	"4"	"5"	"5"	"540"
"164"	"151"	"34"	"19"	"363"	"205"	"43"	"28"	"6"	"10"	"5"	"1"	"1"	"4"	"5"	"4"	"3"	"7"	"738"
"165"	"152"	"13"	"15"	"175"	"206"	"172"	"60"	"10"	"5"	"11"	"5"	"12"	"19"	"13"	"2"	"9"	"26"	"753"
"166"	"153"	"35"	"8"	"242"	"85"	"34"	"23"	"6"	"20"	"8"	"8"	"3"	"3"	"1"	"1"	"0"	"3"	"480"
"167"	"154"	"21"	"20"	"107"	"278"	"15"	"88"	"8"	"6"	"6"	"7"	"11"	"6"	"10"	"9"	"4"	"14"	"610"
"168"	"155"	"14"	"28"	"386"	"54"	"157"	"17"	"8"	"9"	"9"	"4"	"6"	"12"	"2"	"1"	"2"	"1"	"710"
"169"	"BOOTH NO"	"ASHOK MAHTO"	"BALRAM SINGH YADAV"	"RANJEET RANJAN"	"VISHWA MOHAN
KUMAR"	"SURYA NARAYAN
YADAV"	"NARAYAN MANDAL"	"MANJU DEVI"	"SHARVAN KUMAR
CHOUDHARY"	"SURESH PRASAD
MEHTA"	"ARBIND KUMAR"	"ASHOK PANKAJ"	"BHIM KUMAR GUPTA"	"RAMCHANDRA PRASAD SINGH"	"RAMDEO SHARMA"	"VIJAY KUMAR CHOUDHARY"	"SURESH KUMAR AZAD"	"Total"
"170"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"171"	"156"	"6"	"2"	"9"	"536"	"6"	"30"	"3"	"7"	"1"	"0"	"1"	"1"	"4"	"2"	"1"	"4"	"613"
"172"	"157"	"17"	"7"	"150"	"305"	"103"	"42"	"8"	"5"	"2"	"2"	"3"	"10"	"4"	"0"	"5"	"7"	"670"
"173"	"158"	"13"	"6"	"105"	"489"	"14"	"25"	"4"	"2"	"0"	"2"	"3"	"3"	"16"	"4"	"1"	"4"	"691"
"174"	"159"	"11"	"7"	"231"	"11"	"13"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"5"	"6"	"1"	"9"	"299"
"175"	"160"	"5"	"5"	"258"	"386"	"7"	"59"	"1"	"5"	"0"	"1"	"5"	"1"	"0"	"2"	"2"	"1"	"738"
"176"	"161"	"5"	"3"	"49"	"410"	"8"	"50"	"2"	"4"	"0"	"5"	"6"	"6"	"34"	"13"	"4"	"4"	"603"
"177"	"162"	"6"	"11"	"89"	"376"	"23"	"54"	"12"	"3"	"4"	"2"	"3"	"10"	"19"	"8"	"3"	"9"	"632"
"178"	"163"	"17"	"6"	"125"	"257"	"8"	"34"	"3"	"3"	"1"	"0"	"2"	"0"	"4"	"7"	"1"	"8"	"476"
"179"	"164"	"10"	"10"	"169"	"511"	"19"	"33"	"3"	"2"	"1"	"0"	"4"	"2"	"5"	"2"	"0"	"1"	"772"
"180"	"165"	"19"	"10"	"444"	"101"	"56"	"10"	"4"	"3"	"3"	"1"	"2"	"11"	"6"	"9"	"7"	"17"	"703"
"181"	"166"	"4"	"8"	"67"	"541"	"53"	"45"	"5"	"4"	"4"	"1"	"10"	"6"	"18"	"3"	"3"	"6"	"778"
"182"	"167"	"40"	"9"	"163"	"59"	"220"	"15"	"10"	"5"	"7"	"2"	"3"	"12"	"2"	"1"	"4"	"8"	"560"
"183"	"168"	"12"	"7"	"60"	"539"	"109"	"47"	"13"	"3"	"11"	"2"	"5"	"23"	"14"	"6"	"9"	"19"	"879"
"184"	"169"	"3"	"2"	"22"	"64"	"323"	"10"	"6"	"1"	"6"	"0"	"0"	"10"	"2"	"1"	"0"	"2"	"452"
"185"	"170"	"5"	"3"	"92"	"92"	"242"	"18"	"18"	"2"	"8"	"3"	"4"	"29"	"3"	"3"	"3"	"16"	"541"
"186"	"171"	"18"	"18"	"122"	"362"	"51"	"90"	"16"	"8"	"4"	"6"	"5"	"8"	"6"	"4"	"3"	"0"	"721"
"187"	"172"	"7"	"1"	"49"	"380"	"116"	"48"	"2"	"1"	"6"	"3"	"9"	"17"	"13"	"4"	"6"	"11"	"673"
"188"	"173"	"6"	"4"	"57"	"43"	"123"	"27"	"8"	"4"	"7"	"7"	"0"	"11"	"2"	"5"	"4"	"17"	"325"
"189"	"174"	"26"	"8"	"184"	"107"	"100"	"15"	"14"	"4"	"6"	"2"	"1"	"12"	"3"	"1"	"2"	"5"	"490"
"190"	"175"	"5"	"3"	"22"	"104"	"109"	"14"	"4"	"0"	"1"	"0"	"6"	"11"	"2"	"1"	"1"	"10"	"293"
"191"	"176"	"5"	"2"	"248"	"109"	"12"	"15"	"2"	"1"	"2"	"3"	"2"	"1"	"4"	"2"	"2"	"5"	"415"
"192"	"177"	"21"	"14"	"183"	"96"	"260"	"31"	"3"	"4"	"10"	"2"	"6"	"46"	"6"	"9"	"4"	"13"	"708"
"193"	"178"	"10"	"46"	"51"	"252"	"179"	"46"	"6"	"4"	"2"	"0"	"1"	"10"	"3"	"1"	"1"	"0"	"612"
"194"	"179"	"8"	"12"	"26"	"233"	"199"	"25"	"3"	"0"	"6"	"1"	"5"	"20"	"7"	"1"	"1"	"4"	"551"
"195"	"180"	"9"	"3"	"37"	"53"	"171"	"8"	"5"	"0"	"0"	"1"	"0"	"2"	"2"	"0"	"0"	"0"	"291"
"196"	"181"	"6"	"0"	"5"	"908"	"7"	"17"	"3"	"3"	"0"	"0"	"1"	"0"	"4"	"0"	"0"	"2"	"956"
"197"	"182"	"7"	"17"	"240"	"212"	"7"	"64"	"12"	"2"	"3"	"4"	"5"	"3"	"11"	"8"	"3"	"11"	"609"
"198"	"183"	"2"	"22"	"42"	"149"	"0"	"4"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"235"
"199"	"184"	"5"	"9"	"26"	"226"	"32"	"21"	"2"	"1"	"2"	"1"	"2"	"4"	"8"	"5"	"2"	"5"	"351"
"200"	"185"	"7"	"36"	"38"	"477"	"12"	"56"	"4"	"2"	"1"	"0"	"2"	"4"	"8"	"3"	"0"	"6"	"656"
"201"	"186"	"5"	"12"	"132"	"195"	"56"	"30"	"15"	"2"	"3"	"4"	"3"	"10"	"2"	"2"	"3"	"9"	"483"
"202"	"187"	"16"	"17"	"151"	"126"	"80"	"33"	"10"	"8"	"10"	"4"	"2"	"4"	"5"	"2"	"6"	"14"	"488"
"203"	"188"	"12"	"38"	"54"	"238"	"198"	"90"	"22"	"12"	"11"	"7"	"16"	"66"	"32"	"18"	"15"	"38"	"867"
"204"	"189"	"7"	"6"	"73"	"134"	"129"	"53"	"15"	"6"	"13"	"5"	"7"	"40"	"15"	"11"	"6"	"31"	"551"
"205"	"190"	"21"	"17"	"82"	"73"	"238"	"33"	"17"	"2"	"3"	"5"	"2"	"13"	"1"	"0"	"2"	"11"	"520"
"206"	"191"	"14"	"13"	"24"	"530"	"74"	"37"	"11"	"3"	"5"	"3"	"4"	"15"	"7"	"0"	"1"	"8"	"749"
"207"	"192"	"11"	"11"	"91"	"559"	"36"	"95"	"12"	"8"	"6"	"3"	"8"	"5"	"6"	"3"	"5"	"20"	"879"
"208"	"193"	"8"	"1"	"58"	"232"	"65"	"57"	"10"	"3"	"5"	"2"	"5"	"8"	"2"	"1"	"2"	"2"	"461"
"209"	"194"	"7"	"6"	"66"	"220"	"78"	"58"	"8"	"9"	"7"	"4"	"5"	"9"	"6"	"2"	"4"	"3"	"492"
"210"	"195"	"3"	"8"	"28"	"254"	"57"	"71"	"6"	"0"	"8"	"1"	"0"	"10"	"9"	"4"	"2"	"6"	"467"
"211"	"196"	"3"	"45"	"24"	"395"	"16"	"44"	"6"	"0"	"1"	"1"	"1"	"2"	"1"	"1"	"0"	"0"	"540"
"212"	"BOOTH NO"	"ASHOK MAHTO"	"BALRAM SINGH YADAV"	"RANJEET RANJAN"	"VISHWA MOHAN
KUMAR"	"SURYA NARAYAN
YADAV"	"NARAYAN MANDAL"	"MANJU DEVI"	"SHARVAN KUMAR
CHOUDHARY"	"SURESH PRASAD
MEHTA"	"ARBIND KUMAR"	"ASHOK PANKAJ"	"BHIM KUMAR GUPTA"	"RAMCHANDRA PRASAD SINGH"	"RAMDEO SHARMA"	"VIJAY KUMAR CHOUDHARY"	"SURESH KUMAR AZAD"	"Total"
"213"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"214"	"197"	"17"	"7"	"44"	"623"	"16"	"89"	"10"	"6"	"2"	"8"	"5"	"5"	"17"	"2"	"5"	"13"	"869"
"215"	"198"	"13"	"5"	"189"	"275"	"12"	"33"	"3"	"2"	"5"	"3"	"1"	"2"	"13"	"6"	"3"	"3"	"568"
"216"	"199"	"8"	"5"	"218"	"143"	"13"	"23"	"4"	"2"	"1"	"4"	"2"	"4"	"11"	"1"	"3"	"8"	"450"
"217"	"200"	"7"	"3"	"100"	"323"	"42"	"32"	"5"	"6"	"4"	"3"	"1"	"2"	"4"	"0"	"0"	"0"	"532"
"218"	"201"	"8"	"53"	"95"	"288"	"36"	"93"	"7"	"9"	"3"	"2"	"7"	"9"	"10"	"5"	"5"	"14"	"644"
"219"	"202"	"17"	"4"	"24"	"518"	"3"	"54"	"7"	"2"	"0"	"2"	"1"	"2"	"8"	"2"	"2"	"3"	"649"
"220"	"203"	"9"	"9"	"74"	"241"	"19"	"79"	"1"	"3"	"4"	"7"	"6"	"4"	"6"	"2"	"2"	"15"	"481"
"221"	"204"	"12"	"7"	"44"	"197"	"69"	"28"	"9"	"2"	"6"	"0"	"4"	"19"	"9"	"8"	"7"	"37"	"458"
"222"	"205"	"11"	"6"	"26"	"340"	"13"	"65"	"11"	"4"	"3"	"6"	"13"	"7"	"14"	"4"	"13"	"28"	"564"
"223"	"206"	"6"	"11"	"115"	"161"	"84"	"54"	"11"	"7"	"7"	"8"	"8"	"9"	"8"	"7"	"8"	"24"	"528"
"224"	"207"	"9"	"19"	"11"	"236"	"61"	"42"	"3"	"4"	"2"	"0"	"2"	"3"	"2"	"0"	"0"	"5"	"399"
"225"	"208"	"0"	"7"	"166"	"92"	"0"	"12"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"281"
"226"	"209"	"18"	"22"	"173"	"423"	"10"	"94"	"9"	"6"	"7"	"4"	"7"	"0"	"7"	"5"	"2"	"4"	"791"
"227"	"210"	"6"	"1"	"5"	"254"	"5"	"57"	"1"	"2"	"1"	"0"	"3"	"1"	"2"	"1"	"0"	"2"	"341"
"228"	"211"	"13"	"10"	"155"	"248"	"41"	"72"	"3"	"7"	"4"	"5"	"5"	"6"	"3"	"4"	"5"	"7"	"588"
"229"	"212"	"1"	"2"	"50"	"131"	"3"	"58"	"1"	"0"	"1"	"3"	"4"	"1"	"3"	"4"	"1"	"4"	"267"
"230"	"213"	"11"	"10"	"155"	"142"	"122"	"87"	"18"	"2"	"6"	"8"	"5"	"21"	"10"	"11"	"10"	"31"	"649"
"231"	"214"	"9"	"3"	"56"	"282"	"26"	"88"	"5"	"4"	"2"	"5"	"4"	"3"	"7"	"2"	"2"	"2"	"500"
"232"	"215"	"7"	"4"	"89"	"198"	"42"	"47"	"3"	"2"	"0"	"2"	"3"	"3"	"0"	"1"	"1"	"0"	"402"
"233"	"216"	"12"	"11"	"164"	"95"	"122"	"20"	"6"	"2"	"8"	"5"	"4"	"15"	"9"	"4"	"5"	"9"	"491"
"234"	"217"	"5"	"8"	"55"	"143"	"84"	"78"	"12"	"3"	"4"	"3"	"10"	"12"	"9"	"4"	"7"	"18"	"455"
"235"	"218"	"28"	"18"	"212"	"127"	"129"	"101"	"22"	"12"	"13"	"13"	"12"	"24"	"15"	"5"	"12"	"27"	"770"
"236"	"219"	"11"	"6"	"106"	"45"	"315"	"54"	"30"	"10"	"6"	"7"	"11"	"55"	"14"	"4"	"8"	"16"	"698"
"237"	"Total:"	"2324"	"1746"	"26575"	"59548"	"13846"	"9499"	"1446"	"994"	"861"	"575"	"1093"	"1811"	"1866"	"894"	"608"	"1726"	"125412"
"238"	"Place -Supaul                                                                                                                                                                                                                                                           Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"Date : 16.05.2009                                                                                                                                                                                                                                   08-Supaul Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"-cum-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"District Magistrate,Supaul"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
