"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"171"	"160"	"24"	"20"	"258"	"293"	"16"	"47"	"6"	"4"	"1"	"3"	"2"	"1"	"3"	"2"	"2"	"1"	"683"
"172"	"161"	"16"	"13"	"177"	"150"	"130"	"61"	"18"	"8"	"8"	"9"	"9"	"20"	"9"	"3"	"8"	"27"	"666"
"173"	"162"	"3"	"15"	"71"	"210"	"40"	"49"	"6"	"2"	"4"	"1"	"6"	"6"	"8"	"1"	"5"	"11"	"438"
"174"	"163"	"13"	"37"	"64"	"168"	"68"	"57"	"4"	"4"	"0"	"3"	"2"	"4"	"5"	"4"	"4"	"11"	"448"
"175"	"164"	"15"	"11"	"135"	"463"	"72"	"76"	"4"	"5"	"5"	"5"	"3"	"7"	"3"	"0"	"2"	"5"	"811"
"176"	"165"	"21"	"9"	"77"	"344"	"72"	"49"	"9"	"6"	"10"	"6"	"8"	"21"	"29"	"19"	"11"	"30"	"721"
"177"	"166"	"30"	"18"	"32"	"420"	"96"	"43"	"5"	"6"	"6"	"2"	"2"	"8"	"2"	"1"	"2"	"2"	"675"
"178"	"167"	"4"	"11"	"43"	"194"	"213"	"46"	"14"	"1"	"9"	"4"	"5"	"25"	"9"	"4"	"5"	"19"	"606"
"179"	"168"	"8"	"11"	"55"	"218"	"225"	"50"	"10"	"6"	"12"	"3"	"8"	"24"	"13"	"8"	"9"	"16"	"676"
"180"	"169"	"6"	"15"	"133"	"289"	"110"	"68"	"8"	"6"	"4"	"9"	"4"	"20"	"15"	"6"	"3"	"16"	"712"
"181"	"170"	"16"	"23"	"213"	"152"	"140"	"46"	"7"	"5"	"5"	"6"	"4"	"22"	"13"	"6"	"4"	"16"	"678"
"182"	"171"	"6"	"13"	"26"	"241"	"55"	"23"	"2"	"2"	"2"	"0"	"0"	"3"	"5"	"2"	"5"	"12"	"397"
"183"	"172"	"19"	"70"	"66"	"80"	"189"	"21"	"11"	"6"	"7"	"1"	"3"	"19"	"5"	"1"	"10"	"8"	"516"
"184"	"173"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"185"	"174"	"18"	"15"	"90"	"181"	"90"	"48"	"12"	"15"	"7"	"3"	"6"	"9"	"7"	"4"	"3"	"7"	"515"
"186"	"175"	"5"	"2"	"67"	"72"	"110"	"13"	"9"	"4"	"2"	"2"	"3"	"9"	"1"	"1"	"4"	"4"	"308"
"187"	"176"	"7"	"5"	"106"	"241"	"85"	"21"	"10"	"2"	"10"	"5"	"6"	"11"	"10"	"7"	"5"	"27"	"558"
"188"	"177"	"10"	"8"	"44"	"287"	"81"	"33"	"10"	"6"	"14"	"6"	"1"	"11"	"24"	"5"	"7"	"25"	"572"
"189"	"178"	"4"	"12"	"256"	"124"	"153"	"46"	"10"	"7"	"6"	"4"	"3"	"15"	"17"	"9"	"12"	"30"	"708"
"190"	"179"	"13"	"2"	"32"	"235"	"83"	"68"	"10"	"9"	"8"	"2"	"10"	"10"	"13"	"6"	"5"	"17"	"523"
"191"	"180"	"27"	"7"	"83"	"31"	"217"	"16"	"8"	"3"	"8"	"4"	"3"	"17"	"5"	"6"	"0"	"21"	"456"
"192"	"181"	"30"	"5"	"41"	"219"	"169"	"28"	"24"	"7"	"12"	"9"	"2"	"10"	"2"	"4"	"5"	"9"	"576"
"193"	"182"	"25"	"8"	"192"	"354"	"57"	"49"	"7"	"10"	"5"	"8"	"5"	"10"	"9"	"2"	"5"	"14"	"760"
"194"	"183"	"21"	"17"	"85"	"167"	"123"	"42"	"11"	"5"	"8"	"3"	"2"	"13"	"2"	"6"	"4"	"17"	"526"
"195"	"184"	"28"	"10"	"22"	"359"	"122"	"46"	"6"	"5"	"10"	"1"	"5"	"7"	"3"	"3"	"2"	"3"	"632"
"196"	"185"	"16"	"17"	"78"	"334"	"163"	"40"	"6"	"6"	"8"	"2"	"3"	"13"	"5"	"1"	"5"	"3"	"700"
"197"	"186"	"13"	"17"	"111"	"49"	"248"	"23"	"5"	"3"	"9"	"3"	"0"	"18"	"5"	"4"	"1"	"4"	"513"
"198"	"187"	"8"	"5"	"20"	"248"	"76"	"28"	"9"	"3"	"3"	"1"	"6"	"7"	"5"	"1"	"3"	"2"	"425"
"199"	"188"	"8"	"3"	"17"	"99"	"185"	"25"	"13"	"3"	"6"	"5"	"3"	"27"	"6"	"1"	"1"	"13"	"415"
"200"	"189"	"10"	"5"	"221"	"111"	"62"	"28"	"4"	"1"	"5"	"3"	"0"	"4"	"5"	"4"	"3"	"3"	"469"
"201"	"190"	"18"	"8"	"124"	"103"	"124"	"18"	"8"	"2"	"2"	"3"	"5"	"9"	"2"	"4"	"4"	"9"	"443"
"202"	"191"	"6"	"4"	"61"	"46"	"54"	"18"	"3"	"2"	"2"	"0"	"1"	"6"	"3"	"2"	"2"	"9"	"219"
"203"	"192"	"24"	"9"	"38"	"185"	"138"	"69"	"17"	"7"	"6"	"5"	"6"	"34"	"16"	"5"	"2"	"11"	"572"
"204"	"193"	"17"	"5"	"61"	"457"	"63"	"72"	"13"	"6"	"6"	"7"	"5"	"15"	"13"	"4"	"4"	"15"	"763"
"205"	"194"	"19"	"2"	"68"	"161"	"136"	"60"	"15"	"4"	"4"	"2"	"3"	"10"	"5"	"3"	"5"	"10"	"507"
"206"	"195"	"24"	"4"	"121"	"277"	"24"	"39"	"4"	"4"	"5"	"6"	"8"	"6"	"9"	"5"	"2"	"12"	"550"
"207"	"196"	"8"	"2"	"35"	"468"	"16"	"30"	"5"	"5"	"3"	"1"	"4"	"5"	"8"	"2"	"6"	"9"	"607"
"208"	"197"	"18"	"5"	"55"	"368"	"45"	"84"	"7"	"4"	"3"	"9"	"3"	"5"	"14"	"7"	"4"	"9"	"640"
"209"	"198"	"28"	"7"	"144"	"56"	"170"	"18"	"6"	"2"	"4"	"2"	"3"	"14"	"1"	"2"	"0"	"9"	"466"
"210"	"199"	"3"	"3"	"91"	"280"	"7"	"59"	"5"	"1"	"0"	"0"	"1"	"1"	"8"	"2"	"1"	"9"	"471"
"211"	"200"	"28"	"5"	"98"	"130"	"201"	"55"	"19"	"6"	"8"	"2"	"7"	"15"	"1"	"3"	"4"	"1"	"583"
"212"	"201"	"16"	"2"	"45"	"23"	"219"	"13"	"13"	"8"	"10"	"8"	"6"	"36"	"10"	"4"	"3"	"3"	"419"
"213"	"202"	"17"	"7"	"153"	"123"	"95"	"25"	"7"	"2"	"3"	"1"	"6"	"12"	"3"	"1"	"4"	"7"	"466"
"214"	"203"	"28"	"12"	"204"	"209"	"34"	"78"	"8"	"5"	"2"	"3"	"4"	"3"	"2"	"1"	"5"	"14"	"612"
"215"	"204"	"7"	"5"	"91"	"128"	"10"	"36"	"4"	"3"	"4"	"4"	"1"	"1"	"3"	"1"	"3"	"17"	"318"
"216"	"205"	"6"	"10"	"87"	"196"	"12"	"114"	"5"	"4"	"3"	"6"	"6"	"4"	"5"	"6"	"2"	"15"	"481"
"217"	"BOOTH NO"	"ASHOK MAHTO"	"BALRAM SINGH YADAV"	"RANJEET RANJAN"	"VISHWA MOHAN KUMAR"	"SURYA NARAYAN YADAV"	"NARAYAN MANDAL"	"MANJU DEVI"	"SHARVAN KUMAR CHOUDHARY"	"SURESH PRASAD MEHTA"	"ARBIND KUMAR"	"ASHOK PANKAJ"	"BHIM KUMAR GUPTA"	"RAMCHANDRA PRASAD SINGH"	"RAMDEO SHARMA"	"VIJAY KUMAR CHOUDHARY"	"SURESH KUMAR AZAD"	"TOTAL"
"218"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"219"	"206"	"16"	"12"	"247"	"114"	"96"	"33"	"19"	"12"	"10"	"4"	"13"	"19"	"4"	"9"	"3"	"5"	"616"
"220"	"207"	"11"	"6"	"141"	"12"	"52"	"5"	"2"	"1"	"7"	"2"	"2"	"4"	"3"	"5"	"4"	"6"	"263"
"221"	"208"	"8"	"4"	"279"	"96"	"16"	"32"	"5"	"6"	"5"	"3"	"4"	"4"	"12"	"13"	"8"	"16"	"511"
"222"	"209"	"18"	"9"	"90"	"240"	"145"	"43"	"9"	"5"	"4"	"4"	"4"	"24"	"5"	"3"	"8"	"13"	"624"
"223"	"210"	"6"	"2"	"153"	"71"	"185"	"55"	"10"	"6"	"5"	"5"	"1"	"15"	"6"	"4"	"5"	"10"	"539"
"224"	"211"	"20"	"8"	"72"	"215"	"69"	"67"	"9"	"9"	"8"	"5"	"13"	"15"	"14"	"8"	"6"	"14"	"552"
"225"	"212"	"11"	"3"	"106"	"277"	"19"	"56"	"6"	"3"	"3"	"0"	"4"	"2"	"9"	"4"	"2"	"10"	"515"
"226"	"213"	"10"	"9"	"84"	"172"	"38"	"31"	"4"	"3"	"2"	"3"	"2"	"0"	"2"	"0"	"0"	"8"	"368"
"227"	"214"	"31"	"7"	"308"	"112"	"96"	"38"	"14"	"9"	"15"	"8"	"8"	"12"	"11"	"4"	"8"	"17"	"698"
"228"	"215"	"17"	"5"	"330"	"123"	"10"	"42"	"4"	"2"	"1"	"1"	"5"	"1"	"3"	"1"	"0"	"2"	"547"
"229"	"216"	"24"	"35"	"244"	"312"	"17"	"95"	"5"	"1"	"6"	"1"	"4"	"2"	"6"	"2"	"3"	"2"	"759"
"230"	"217"	"4"	"89"	"44"	"139"	"32"	"69"	"5"	"3"	"1"	"1"	"4"	"3"	"3"	"2"	"8"	"3"	"410"
"231"	"218"	"25"	"24"	"189"	"77"	"9"	"39"	"3"	"2"	"3"	"0"	"0"	"3"	"0"	"2"	"2"	"3"	"381"
"232"	"219"	"19"	"6"	"335"	"147"	"10"	"71"	"9"	"3"	"1"	"0"	"2"	"0"	"1"	"4"	"2"	"3"	"613"
"233"	"220"	"6"	"6"	"149"	"166"	"37"	"54"	"7"	"2"	"3"	"1"	"8"	"6"	"12"	"5"	"8"	"18"	"488"
"234"	"221"	"9"	"6"	"160"	"136"	"44"	"25"	"1"	"2"	"0"	"1"	"0"	"4"	"1"	"1"	"0"	"5"	"395"
"235"	"222"	"8"	"1"	"49"	"195"	"6"	"36"	"2"	"3"	"3"	"2"	"4"	"2"	"6"	"0"	"1"	"3"	"321"
"236"	"223"	"14"	"10"	"110"	"54"	"3"	"13"	"1"	"4"	"1"	"4"	"4"	"3"	"4"	"1"	"2"	"4"	"232"
"237"	"224"	"28"	"21"	"54"	"326"	"62"	"57"	"11"	"3"	"3"	"7"	"5"	"11"	"7"	"2"	"6"	"6"	"609"
"238"	"225"	"14"	"7"	"186"	"85"	"25"	"26"	"5"	"3"	"2"	"2"	"0"	"3"	"2"	"1"	"4"	"9"	"374"
"239"	"226"	"14"	"5"	"96"	"141"	"76"	"47"	"13"	"4"	"1"	"6"	"4"	"10"	"7"	"4"	"3"	"11"	"442"
"240"	"227"	"17"	"11"	"85"	"217"	"82"	"37"	"12"	"3"	"9"	"8"	"4"	"6"	"6"	"1"	"0"	"3"	"501"
"241"	"228"	"15"	"15"	"58"	"264"	"41"	"31"	"8"	"7"	"6"	"6"	"1"	"4"	"4"	"0"	"1"	"6"	"467"
"242"	"229"	"2"	"3"	"379"	"154"	"10"	"38"	"1"	"2"	"1"	"2"	"0"	"0"	"4"	"6"	"3"	"4"	"609"
"243"	"230"	"10"	"6"	"442"	"109"	"5"	"32"	"2"	"2"	"1"	"2"	"1"	"2"	"1"	"0"	"4"	"6"	"625"
"244"	"231"	"9"	"12"	"307"	"135"	"6"	"20"	"6"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"0"	"1"	"505"
"245"	"Total:"	"2928"	"1862"	"27657"	"55473"	"16820"	"8570"	"1652"	"859"	"995"	"637"	"855"	"1895"	"1474"	"795"	"770"	"2100"	"125342"
"246"	"Place -Supaul                                                                                                                                                                                                                                                                                                                                       Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"Date : 16.05.2009                                                                                                                                                                                                                                                                                                               08-Supaul Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"-cum-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"District Magistrate,Supaul"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
