"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X238514.38.Jhanjharpur"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"181"	""	"133"	"67"	"11"	"115"	"237"	"7"	"7"	"6"	"2"	"1"	"2"	"9"	"464"	""	"464"	""
"182"	""	"134"	"33"	"10"	"159"	"271"	"7"	"11"	"8"	"5"	"6"	"13"	"32"	"555"	""	"555"	""
"183"	""	"135"	"10"	"10"	"65"	"215"	"26"	"0"	"3"	"5"	"0"	"2"	"7"	"343"	""	"343"	""
"184"	""	"136"	"20"	"5"	"129"	"268"	"39"	"2"	"8"	"2"	"1"	"3"	"7"	"484"	""	"484"	""
"185"	""	"137"	"15"	"4"	"29"	"344"	"16"	"4"	"6"	"3"	"3"	"3"	"9"	"436"	""	"436"	""
"186"	""	"138"	"19"	"6"	"43"	"321"	"26"	"4"	"7"	"4"	"4"	"2"	"8"	"444"	""	"444"	""
"187"	""	"139"	"56"	"42"	"91"	"298"	"28"	"5"	"4"	"4"	"1"	"9"	"7"	"545"	""	"545"	""
"188"	""	"140"	"56"	"8"	"126"	"334"	"15"	"13"	"7"	"6"	"2"	"6"	"15"	"588"	""	"588"	""
"189"	""	"Total -10"	"523"	"117"	"1159"	"3613"	"190"	"71"	"70"	"47"	"33"	"56"	"135"	"6014"	"0"	"6014"	"0"
"190"	""	""	""	""	""	""	""	"238514
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"191"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"192"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"193"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"194"	"Round No 11"	"141"	"60"	"11"	"202"	"188"	"5"	"5"	"7"	"3"	"4"	"5"	"14"	"504"	""	"504"	""
"195"	""	"142"	"103"	"4"	"55"	"162"	"2"	"8"	"11"	"9"	"1"	"4"	"22"	"381"	""	"381"	""
"196"	""	"143"	"59"	"2"	"10"	"191"	"2"	"3"	"2"	"1"	"4"	"2"	"5"	"281"	""	"281"	""
"197"	""	"144"	"37"	"10"	"98"	"287"	"13"	"3"	"5"	"2"	"2"	"4"	"5"	"466"	""	"466"	""
"198"	""	"145"	"158"	"1"	"19"	"57"	"2"	"17"	"3"	"2"	"1"	"0"	"1"	"261"	""	"261"	""
"199"	""	"146"	"43"	"6"	"59"	"417"	"24"	"7"	"9"	"7"	"13"	"7"	"25"	"617"	""	"617"	""
"200"	""	"147"	"41"	"9"	"70"	"418"	"4"	"14"	"3"	"4"	"4"	"3"	"3"	"573"	""	"573"	""
"201"	""	"148"	"23"	"1"	"105"	"345"	"12"	"13"	"5"	"8"	"4"	"11"	"52"	"579"	""	"579"	""
"202"	""	"149"	"71"	"5"	"39"	"165"	"5"	"6"	"6"	"3"	"4"	"4"	"8"	"316"	""	"316"	""
"203"	""	"150"	"51"	"1"	"58"	"384"	"4"	"7"	"2"	"5"	"9"	"2"	"21"	"544"	""	"544"	""
"204"	""	"151"	"93"	"0"	"12"	"289"	"3"	"2"	"2"	"1"	"4"	"3"	"4"	"413"	""	"413"	""
"205"	""	"152"	"66"	"0"	"24"	"258"	"5"	"1"	"0"	"1"	"1"	"1"	"0"	"357"	""	"357"	""
"206"	""	"153"	"29"	"3"	"98"	"255"	"7"	"3"	"1"	"1"	"1"	"3"	"4"	"405"	""	"405"	""
"207"	""	"154"	"18"	"1"	"63"	"153"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"238"	""	"238"	""
"208"	""	"Total -11"	"852"	"54"	"912"	"3569"	"88"	"89"	"57"	"47"	"52"	"51"	"164"	"5935"	"0"	"5935"	"0"
"209"	""	""	""	""	""	""	""	"238514
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"210"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"211"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"212"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"213"	"Round No 12"	"155"	"193"	"1"	"34"	"60"	"1"	"1"	"1"	"0"	"2"	"7"	"6"	"306"	""	"306"	""
"214"	""	"156"	"145"	"5"	"30"	"84"	"0"	"3"	"3"	"1"	"0"	"1"	"6"	"278"	""	"278"	""
"215"	""	"157"	"12"	"7"	"198"	"157"	"3"	"9"	"1"	"1"	"2"	"0"	"5"	"395"	""	"395"	""
"216"	""	"158"	"60"	"6"	"201"	"169"	"9"	"8"	"6"	"3"	"8"	"14"	"35"	"519"	""	"519"	""
"217"	""	"159"	"65"	"6"	"228"	"171"	"8"	"26"	"6"	"5"	"3"	"6"	"8"	"532"	""	"532"	""
"218"	""	"160"	"149"	"9"	"64"	"140"	"6"	"3"	"5"	"6"	"7"	"7"	"21"	"417"	""	"417"	""
"219"	""	"161"	"30"	"2"	"171"	"95"	"3"	"3"	"0"	"3"	"0"	"3"	"10"	"320"	""	"320"	""
"220"	""	"162"	"34"	"6"	"143"	"184"	"4"	"4"	"7"	"0"	"3"	"4"	"7"	"396"	""	"396"	""
"221"	""	"163"	"76"	"12"	"279"	"211"	"9"	"6"	"3"	"2"	"4"	"7"	"8"	"617"	""	"617"	""
"222"	""	"164"	"168"	"5"	"82"	"122"	"3"	"8"	"3"	"1"	"1"	"7"	"9"	"409"	""	"409"	""
"223"	""	"165"	"91"	"4"	"59"	"179"	"3"	"5"	"7"	"1"	"3"	"2"	"8"	"362"	""	"362"	""
"224"	""	"166"	"169"	"4"	"22"	"245"	"3"	"5"	"0"	"3"	"5"	"5"	"8"	"469"	""	"469"	""
"225"	""	"167"	"67"	"7"	"55"	"150"	"4"	"5"	"1"	"1"	"3"	"2"	"0"	"295"	""	"295"	""
"226"	""	"168"	"17"	"3"	"337"	"24"	"1"	"1"	"1"	"3"	"2"	"1"	"0"	"390"	""	"390"	""
"227"	""	"Total -12"	"1276"	"77"	"1903"	"1991"	"57"	"87"	"44"	"30"	"43"	"66"	"131"	"5705"	"0"	"5705"	"0"
"228"	""	""	""	""	""	""	""	"238514
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"229"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"230"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"231"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"232"	"Round No 13"	"169"	"6"	"1"	"20"	"199"	"35"	"5"	"14"	"3"	"4"	"4"	"2"	"293"	""	"293"	""
"233"	""	"170"	"14"	"2"	"36"	"258"	"20"	"1"	"5"	"2"	"0"	"4"	"3"	"345"	""	"345"	""
"234"	""	"171"	"18"	"2"	"44"	"283"	"50"	"5"	"24"	"2"	"5"	"4"	"5"	"442"	""	"442"	""
"235"	""	"172"	"79"	"9"	"192"	"283"	"9"	"8"	"10"	"5"	"7"	"10"	"14"	"626"	""	"626"	""
"236"	""	"173"	"23"	"2"	"124"	"228"	"15"	"3"	"6"	"4"	"8"	"7"	"15"	"435"	""	"435"	""
"237"	""	"174"	"35"	"7"	"183"	"310"	"16"	"9"	"11"	"3"	"5"	"5"	"26"	"610"	""	"610"	""
"238"	""	"175"	"72"	"2"	"43"	"238"	"1"	"1"	"3"	"1"	"0"	"2"	"5"	"368"	""	"368"	""
"239"	""	"176"	"74"	"6"	"57"	"308"	"10"	"6"	"2"	"1"	"2"	"1"	"5"	"472"	""	"472"	""
"240"	""	"177"	"67"	"4"	"112"	"313"	"24"	"5"	"14"	"6"	"10"	"8"	"24"	"587"	""	"587"	""
"241"	""	"178"	"45"	"2"	"65"	"322"	"9"	"2"	"8"	"1"	"1"	"2"	"2"	"459"	""	"459"	""
"242"	""	"179"	"20"	"1"	"29"	"336"	"5"	"2"	"1"	"1"	"1"	"1"	"1"	"398"	""	"398"	""
"243"	""	"180"	"20"	"0"	"29"	"340"	"6"	"17"	"7"	"4"	"6"	"8"	"22"	"459"	""	"459"	""
"244"	""	"181"	"11"	"1"	"49"	"224"	"8"	"8"	"8"	"2"	"7"	"5"	"35"	"358"	""	"358"	""
"245"	""	"182"	"2"	"4"	"262"	"39"	"4"	"10"	"1"	"0"	"3"	"23"	"13"	"361"	""	"361"	""
"246"	""	"Total -13"	"486"	"43"	"1245"	"3681"	"212"	"82"	"114"	"35"	"59"	"84"	"172"	"6213"	"0"	"6213"	"0"
"247"	""	""	""	""	""	""	""	"238514
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"248"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"249"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"250"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"251"	"Round No 14"	"183"	"14"	"6"	"215"	"58"	"9"	"14"	"0"	"5"	"2"	"16"	"25"	"364"	""	"364"	""
"252"	""	"184"	"22"	"8"	"185"	"297"	"18"	"27"	"32"	"6"	"10"	"20"	"19"	"644"	""	"644"	""
"253"	""	"185"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"254"	""	"186"	"6"	"2"	"455"	"27"	"2"	"7"	"1"	"4"	"2"	"3"	"6"	"515"	""	"515"	""
"255"	""	"187"	"26"	"1"	"76"	"170"	"6"	"2"	"5"	"6"	"1"	"7"	"12"	"312"	""	"312"	""
"256"	""	"188"	"104"	"1"	"30"	"86"	"0"	"0"	"1"	"4"	"0"	"0"	"2"	"228"	""	"228"	""
"257"	""	"189"	"28"	"9"	"166"	"89"	"1"	"0"	"0"	"1"	"4"	"2"	"2"	"302"	""	"302"	""
"258"	""	"190"	"111"	"5"	"25"	"269"	"3"	"7"	"3"	"0"	"3"	"3"	"4"	"433"	""	"433"	""
"259"	""	"191"	"177"	"44"	"35"	"82"	"2"	"1"	"1"	"1"	"5"	"3"	"7"	"358"	""	"358"	""
"260"	""	"192"	"186"	"5"	"49"	"40"	"1"	"2"	"8"	"1"	"1"	"4"	"6"	"303"	""	"303"	""
"261"	""	"193"	"48"	"0"	"80"	"152"	"2"	"3"	"2"	"1"	"5"	"2"	"12"	"307"	""	"307"	""
"262"	""	"194"	"118"	"5"	"98"	"60"	"3"	"2"	"0"	"3"	"0"	"2"	"6"	"297"	""	"297"	""
"263"	""	"195"	"135"	"8"	"110"	"128"	"2"	"1"	"1"	"4"	"8"	"5"	"34"	"436"	""	"436"	""
"264"	""	"196"	"80"	"2"	"58"	"121"	"3"	"2"	"0"	"1"	"3"	"2"	"11"	"283"	""	"283"	""
"265"	""	"Total -14"	"1055"	"96"	"1582"	"1579"	"52"	"68"	"54"	"37"	"44"	"69"	"146"	"4782"	"0"	"4782"	"0"
"266"	""	""	""	""	""	""	""	"238514
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"267"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"268"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"269"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"270"	"Round No 15"	"197"	"231"	"13"	"141"	"82"	"7"	"3"	"3"	"1"	"9"	"1"	"5"	"496"	""	"496"	""
"271"	""	"198"	"46"	"7"	"70"	"408"	"12"	"4"	"12"	"5"	"6"	"12"	"15"	"597"	""	"597"	""
"272"	""	"199"	"132"	"9"	"171"	"64"	"0"	"1"	"2"	"0"	"1"	"4"	"4"	"388"	""	"388"	""
"273"	""	"200"	"179"	"5"	"39"	"81"	"4"	"0"	"2"	"1"	"3"	"1"	"5"	"320"	""	"320"	""
"274"	""	"201"	"66"	"5"	"35"	"59"	"1"	"4"	"2"	"4"	"3"	"2"	"5"	"186"	""	"186"	""
"275"	""	"202"	"61"	"5"	"153"	"233"	"4"	"0"	"2"	"2"	"1"	"1"	"14"	"476"	""	"476"	""
"276"	""	"203"	"60"	"4"	"50"	"396"	"10"	"5"	"8"	"7"	"10"	"8"	"43"	"601"	""	"601"	""
"277"	""	"204"	"69"	"3"	"124"	"349"	"7"	"10"	"8"	"6"	"3"	"3"	"24"	"606"	""	"606"	""
"278"	""	"205"	"147"	"2"	"16"	"154"	"3"	"4"	"4"	"1"	"2"	"3"	"18"	"354"	""	"354"	""
"279"	""	"206"	"90"	"3"	"17"	"217"	"2"	"3"	"3"	"3"	"1"	"1"	"3"	"343"	""	"343"	""
"280"	""	"207"	"15"	"0"	"43"	"307"	"10"	"6"	"4"	"4"	"5"	"7"	"22"	"423"	""	"423"	""
"281"	""	"208"	"146"	"10"	"90"	"199"	"6"	"15"	"13"	"4"	"10"	"10"	"71"	"574"	""	"574"	""
"282"	""	"209"	"80"	"4"	"14"	"165"	"4"	"6"	"5"	"6"	"3"	"4"	"16"	"307"	""	"307"	""
"283"	""	"210"	"36"	"4"	"12"	"194"	"4"	"5"	"6"	"4"	"4"	"2"	"21"	"292"	""	"292"	""
"284"	""	"Total -15"	"1358"	"74"	"975"	"2908"	"74"	"66"	"74"	"48"	"61"	"59"	"266"	"5963"	"0"	"5963"	"0"
"285"	""	""	""	""	""	""	""	"238514
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"286"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"287"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"288"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"289"	"Round No 16"	"211"	"24"	"2"	"8"	"37"	"0"	"1"	"2"	"2"	"4"	"10"	"422"	"512"	""	"512"	""
"290"	""	"212"	"41"	"7"	"65"	"171"	"17"	"4"	"2"	"0"	"4"	"8"	"127"	"446"	""	"446"	""
"291"	""	"213"	"14"	"2"	"40"	"261"	"9"	"6"	"11"	"5"	"6"	"7"	"81"	"442"	""	"442"	""
"292"	""	"214"	"55"	"2"	"24"	"118"	"4"	"2"	"2"	"2"	"2"	"3"	"3"	"217"	""	"217"	""
"293"	""	"215"	"35"	"2"	"91"	"203"	"6"	"9"	"18"	"6"	"11"	"8"	"29"	"418"	""	"418"	""
"294"	""	"216"	"58"	"5"	"93"	"233"	"5"	"8"	"1"	"3"	"1"	"5"	"19"	"431"	""	"431"	""
"295"	""	"217"	"71"	"2"	"32"	"250"	"1"	"5"	"4"	"3"	"3"	"2"	"4"	"377"	""	"377"	""
"296"	""	"218"	"81"	"5"	"131"	"247"	"5"	"2"	"8"	"6"	"3"	"5"	"20"	"513"	""	"513"	""
"297"	""	"219"	"36"	"4"	"91"	"257"	"1"	"3"	"3"	"1"	"2"	"1"	"5"	"404"	""	"404"	""
"298"	""	"220"	"26"	"2"	"433"	"137"	"7"	"1"	"8"	"2"	"1"	"3"	"11"	"631"	""	"631"	""
"299"	""	"221"	"13"	"4"	"77"	"116"	"0"	"0"	"0"	"0"	"1"	"1"	"13"	"225"	""	"225"	""
"300"	""	"222"	"102"	"11"	"119"	"186"	"5"	"5"	"2"	"3"	"2"	"0"	"9"	"444"	""	"444"	""
"301"	""	"223"	"46"	"5"	"96"	"250"	"10"	"6"	"3"	"5"	"7"	"7"	"20"	"455"	""	"455"	""
"302"	""	"224"	"35"	"5"	"226"	"219"	"8"	"4"	"3"	"6"	"5"	"4"	"30"	"545"	""	"545"	""
"303"	""	"Total -16"	"637"	"58"	"1526"	"2685"	"78"	"56"	"67"	"44"	"52"	"64"	"793"	"6060"	"0"	"6060"	"0"
"304"	""	""	""	""	""	""	""	"238514
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"305"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"306"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"307"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"308"	"Round No 17"	"225"	"165"	"6"	"79"	"206"	"10"	"8"	"4"	"6"	"2"	"4"	"21"	"511"	""	"511"	""
"309"	""	"226"	"4"	"3"	"63"	"70"	"2"	"0"	"0"	"2"	"4"	"1"	"10"	"159"	""	"159"	""
"310"	""	"227"	"78"	"7"	"19"	"290"	"6"	"4"	"4"	"3"	"1"	"9"	"9"	"430"	""	"430"	""
"311"	""	"228"	"21"	"3"	"47"	"196"	"7"	"2"	"4"	"3"	"21"	"4"	"7"	"315"	""	"315"	""
"312"	""	"229"	"67"	"3"	"66"	"229"	"2"	"6"	"7"	"2"	"3"	"7"	"18"	"410"	""	"410"	""
"313"	""	"230"	"48"	"6"	"65"	"43"	"3"	"2"	"3"	"1"	"6"	"4"	"1"	"182"	""	"182"	""
"314"	""	"231"	"21"	"2"	"172"	"37"	"6"	"2"	"1"	"3"	"119"	"13"	"16"	"392"	""	"392"	""
"315"	""	"232"	"13"	"3"	"51"	"131"	"14"	"1"	"4"	"3"	"59"	"8"	"6"	"293"	""	"293"	""
"316"	""	"233"	"13"	"4"	"146"	"45"	"3"	"0"	"3"	"0"	"9"	"5"	"15"	"243"	""	"243"	""
"317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"322"	""	"Total -17"	"430"	"37"	"708"	"1247"	"53"	"25"	"30"	"23"	"224"	"55"	"103"	"2935"	"0"	"2935"	"0"
"323"	""	""	""	""	""	""	""	"238514
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"324"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"325"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"326"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"327"	"Final"	"Total No. of votes recorded at Polling stations"	"16636"	"1332"	"22675"	"42715"	"1543"	"2206"	"1073"	"791"	"991"	"1091"	"3608"	"94661"	"0"	"94661"	"0"
"328"	""	"No. of Votes recorded on postal ballot papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"329"	""	"TOTAL VOTES POLLED"	"16636"	"1332"	"22675"	"42715"	"1543"	"2206"	"1073"	"791"	"991"	"1091"	"3608"	"94661"	"0"	"94661"	"0"
