"Name.of.Candidate"	"Dr..Arun.Kumar"	"Jagdish.Sharma"	"Ramadhar.Sharma"	"Surendra.Prasad.Yadav"	"Ayasha.Khatun"	"Prof..Jai.Ram.Prasad.Singh"	"Tara.Gupta"	"Mahanand.Prasad"	"Ramasray.Prasad.Singh"	"Md..Shahabubin.Jahan"	"Shravan.kumar"	"Sadhu.Sinha"	"Syed.Akber.Imam"	"Ajay.Kumar.Verma"	"Abhay.Kumar.Anil"	"Dr..Arbind.Kumar"	"Arvind.Prasad.Singh"	"Upendra.Prasad"	"Jagdish.Yadav"	"Prikshit.Singh"	"Prabhat.Kumar.Ranjan"	"Ranjit.Sharma"	"Rakeshwar.Kishor"	"Siya.Ram.Prasad"	"Sumirak.Singh"	"Total.Valid.Votes"	"No..of.Reject.ed.votes"	"Total"	"No..of.tender.ed.votes"
"175"	"125"	11	292	63	56	8	10	5	34	9	5	4	3	3	11	13	26	4	8	6	1	0	1	2	6	10	591	NA	591	NA
"176"	"126"	0	3	3	679	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	692	NA	692	NA
"177"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"178"	"Total"	200	2505	188	2641	35	27	10	64	59	14	10	8	12	27	22	50	41	167	28	141	7	15	8	11	17	6307	NA	6307	NA
"179"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"180"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"181"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"182"	"Round 10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"183"	"127"	8	109	6	33	1	5	0	0	4	1	0	0	0	0	1	3	1	1	0	0	0	0	0	0	0	173	NA	173	NA
"184"	"128"	0	1	0	128	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	130	NA	130	NA
"185"	"129"	4	201	5	81	9	7	3	5	0	3	3	2	2	9	5	13	8	13	10	12	6	3	5	6	8	423	NA	423	NA
"186"	"130"	0	26	0	478	0	0	0	1	12	1	0	0	0	1	1	4	1	0	0	0	0	1	0	0	1	527	NA	527	NA
"187"	"131"	43	469	19	54	0	1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	590	NA	590	NA
"188"	"132"	18	87	8	356	4	3	0	1	0	0	0	0	1	1	2	1	3	2	1	0	1	0	0	1	0	490	NA	490	NA
"189"	"133"	5	14	1	383	3	0	0	0	3	0	1	0	0	0	0	0	4	0	1	3	1	0	1	0	16	436	NA	436	NA
"190"	"134"	25	39	13	125	3	0	1	1	0	1	3	7	4	1	3	6	3	0	0	0	0	0	0	0	0	235	NA	235	NA
"191"	"135"	0	3	7	782	5	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	801	NA	801	NA
"192"	"136"	0	2	2	414	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419	NA	419	NA
"193"	"137"	0	19	3	87	5	0	0	0	2	0	0	0	0	0	0	1	2	1	1	1	0	0	0	0	1	123	NA	123	NA
"194"	"138"	1	62	0	437	0	1	0	0	8	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	7	519	NA	519	NA
"195"	"139"	0	0	0	704	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	705	NA	705	NA
"196"	"140"	9	32	0	488	0	4	1	8	1	1	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	550	NA	550	NA
"197"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"198"	"Total"	113	1064	64	4550	31	21	5	18	31	7	7	9	9	13	13	37	23	17	13	17	8	5	6	7	33	6121	NA	6121	NA
"199"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"200"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"201"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"202"	"Round 11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"203"	"141"	0	1	1	343	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	350	NA	350	NA
"204"	"142"	18	41	6	182	4	3	0	5	1	0	1	2	3	3	1	2	2	0	0	0	1	1	0	0	0	276	NA	276	NA
"205"	"143"	0	4	0	116	1	0	1	2	84	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	209	NA	209	NA
"206"	"144"	0	0	1	509	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	512	NA	512	NA
"207"	"145"	16	3	0	494	1	0	0	6	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	525	NA	525	NA
"208"	"146"	0	22	0	940	1	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	971	NA	971	NA
"209"	"147"	3	18	3	591	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	618	NA	618	NA
"210"	"148"	0	7	0	538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	546	NA	546	NA
"211"	"149"	0	4	0	782	1	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	814	NA	814	NA
"212"	"150"	157	130	0	245	0	0	1	0	7	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	544	NA	544	NA
"213"	"151"	8	212	10	41	7	5	0	1	1	5	0	2	1	1	0	2	0	2	1	0	0	0	0	2	0	301	NA	301	NA
"214"	"152"	33	35	2	573	4	1	0	0	6	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	657	NA	657	NA
"215"	"153"	34	177	3	210	11	1	0	0	1	0	0	0	1	0	0	1	1	2	3	2	0	0	1	1	0	449	NA	449	NA
"216"	"154"	4	82	4	264	5	3	3	3	15	0	1	0	3	3	0	14	1	1	1	1	1	2	1	1	2	415	NA	415	NA
"217"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"218"	"Total"	273	736	30	5828	40	16	11	24	120	5	2	4	10	7	1	20	5	7	6	6	2	3	2	4	25	7187	NA	7187	NA
"219"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"220"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"221"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"222"	"Round 12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"223"	"155"	0	45	2	233	3	2	2	0	0	1	2	0	0	2	0	9	1	1	0	0	0	0	0	0	1	304	NA	304	NA
"224"	"156"	0	2	0	558	4	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	567	NA	567	NA
"225"	"157"	21	109	4	67	3	5	2	3	1	0	1	0	0	1	2	6	4	2	0	0	1	0	0	1	5	238	NA	238	NA
"226"	"158"	10	170	11	34	1	11	1	4	1	1	2	1	0	4	2	5	0	9	0	1	0	0	0	0	2	270	NA	270	NA
"227"	"159"	14	111	15	159	6	5	2	5	4	6	5	4	6	13	25	33	13	4	5	7	2	3	4	5	13	469	NA	469	NA
"228"	"160"	0	3	1	411	2	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	426	NA	426	NA
"229"	"161"	7	33	10	500	3	0	0	1	0	0	0	0	1	0	2	0	7	6	3	21	1	2	1	0	1	599	NA	599	NA
"230"	"162"	0	4	7	306	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	325	NA	325	NA
"231"	"163"	5	15	1	708	4	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	741	NA	741	NA
"232"	"164"	0	5	5	603	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	620	NA	620	NA
"233"	"165"	3	67	31	212	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	317	NA	317	NA
"234"	"166"	6	97	4	16	4	3	0	1	3	0	0	1	2	1	1	5	1	0	2	1	0	1	0	0	0	149	NA	149	NA
"235"	"167"	1	2	2	483	1	0	0	1	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	496	NA	496	NA
"236"	"168"	66	138	4	119	3	2	1	14	3	1	1	2	0	2	5	9	4	0	0	2	0	0	1	4	1	382	NA	382	NA
"237"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"238"	"Total"	133	801	97	4409	42	30	9	35	23	10	11	8	11	23	37	71	33	23	10	33	4	7	8	10	25	5903	NA	5903	NA
"239"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"240"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"241"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"242"	"Round 13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"243"	"169"	68	92	4	83	0	1	1	0	3	0	0	1	1	1	2	2	1	0	0	0	1	0	0	1	0	262	NA	262	NA
"244"	"170"	11	264	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	NA	281	NA
"245"	"171"	4	60	4	245	1	3	3	7	4	2	1	0	3	4	4	8	0	3	4	0	1	0	0	0	0	361	NA	361	NA
"246"	"172"	8	180	6	10	0	0	0	0	1	0	0	0	0	0	1	3	0	5	1	1	0	0	0	0	0	216	NA	216	NA
"247"	"173"	9	81	10	28	8	2	1	24	0	4	1	1	0	3	3	6	9	3	3	2	1	5	0	0	0	204	NA	204	NA
"248"	"174"	11	2	2	204	2	0	0	0	50	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	273	NA	273	NA
"249"	"175"	27	263	5	132	1	9	0	3	3	1	1	0	1	3	6	4	4	2	5	5	0	1	3	0	3	482	NA	482	NA
"250"	"176"	3	1	2	337	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	345	NA	345	NA
"251"	"177"	67	56	67	131	2	4	0	0	2	1	1	5	2	0	1	0	2	2	1	0	0	0	0	0	1	345	NA	345	NA
"252"	"178"	4	64	2	182	2	0	0	0	0	2	1	0	2	1	0	2	0	0	1	0	0	0	1	0	1	265	NA	265	NA
"253"	"179"	27	383	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419	NA	419	NA
"254"	"180"	151	129	9	167	3	4	0	2	2	5	5	6	2	5	4	27	0	0	0	0	0	0	0	0	0	521	NA	521	NA
"255"	"181"	19	72	5	296	1	0	1	5	0	1	1	0	0	0	1	3	0	0	0	3	0	0	1	0	0	409	NA	409	NA
"256"	"182"	14	263	5	229	1	3	0	0	1	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	521	NA	521	NA
"257"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"258"	"Total"	423	1910	124	2055	21	26	6	42	66	16	11	13	11	18	23	59	16	16	15	11	4	7	5	1	5	4904	NA	4904	NA
"259"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"260"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"261"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"262"	"Round 14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"263"	"183"	11	136	6	284	6	2	0	3	2	1	0	0	2	1	0	5	2	0	0	0	0	0	0	1	1	463	NA	463	NA
"264"	"184"	6	109	18	415	2	1	1	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	558	NA	558	NA
"265"	"185"	4	62	0	286	2	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	360	NA	360	NA
"266"	"186"	40	169	38	184	5	3	1	2	0	0	0	3	2	3	1	10	4	1	0	2	0	0	1	0	2	471	NA	471	NA
"267"	"187"	2	42	2	252	3	2	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	1	310	NA	310	NA
"268"	"188"	15	96	5	18	3	4	0	47	2	0	0	0	2	0	1	2	2	0	0	0	0	0	0	0	2	199	NA	199	NA
"269"	"189"	0	5	2	541	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	552	NA	552	NA
"270"	"190"	0	7	15	619	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	646	NA	646	NA
"271"	"191"	0	0	1	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	NA	440	NA
"272"	"192"	3	17	0	589	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	615	NA	615	NA
"273"	"193"	1	2	1	506	3	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	517	NA	517	NA
"274"	"194"	2	2	0	547	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555	NA	555	NA
"275"	"195"	1	0	0	399	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	NA	401	NA
"276"	"196"	1	5	0	226	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	NA	233	NA
"277"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"278"	"Total"	86	652	88	5305	37	14	3	58	10	3	0	3	9	5	5	19	8	1	0	3	0	1	1	2	7	6320	NA	6320	NA
"279"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"280"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"281"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"282"	"Round 15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"283"	"197"	0	2	1	536	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540	NA	540	NA
"284"	"198"	0	4	0	782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	786	NA	786	NA
"285"	"199"	12	93	5	77	0	3	1	0	0	2	0	0	1	1	2	5	4	4	9	3	3	1	0	0	0	226	NA	226	NA
"286"	"200"	36	133	27	89	6	2	2	3	1	3	2	0	2	9	2	12	10	19	8	6	3	2	1	3	5	386	NA	386	NA
"287"	"201"	0	0	0	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411	NA	411	NA
"288"	"202"	1	6	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425	NA	425	NA
"289"	"203"	4	81	0	213	0	1	0	0	1	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	305	NA	305	NA
"290"	"204"	48	267	7	190	5	7	0	2	1	1	0	2	2	2	1	9	4	6	2	1	3	0	1	1	8	570	NA	570	NA
"291"	"205"	5	182	8	330	5	2	1	1	17	1	0	3	2	2	1	3	1	0	0	0	0	0	0	0	1	565	NA	565	NA
"292"	"206"	35	345	37	40	4	13	3	6	33	2	4	4	0	3	2	3	4	6	0	1	0	0	1	1	0	547	NA	547	NA
"293"	"207"	6	90	1	252	1	0	0	0	7	0	0	2	1	0	4	8	0	0	0	1	1	0	1	0	0	375	NA	375	NA
"294"	"208"	0	2	0	307	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	NA	310	NA
"295"	"209"	6	164	76	53	5	3	1	4	8	2	1	2	1	2	0	3	10	9	8	4	3	4	5	3	3	380	NA	380	NA
"296"	"210"	0	1	1	647	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	650	NA	650	NA
"297"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"298"	"Total"	153	1370	163	4345	27	31	8	16	70	11	7	13	9	19	12	43	33	48	28	16	13	7	9	8	17	6476	NA	6476	NA
"299"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"300"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"301"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"302"	"Round 16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"303"	"211"	6	3	3	366	4	1	1	1	138	1	2	1	5	1	0	14	2	0	0	0	1	0	0	0	1	551	NA	551	NA
"304"	"212"	16	570	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	595	NA	595	NA
"305"	"213"	2	36	5	910	4	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	962	NA	962	NA
"306"	"214"	18	173	7	57	5	4	1	2	1	2	1	0	2	0	0	1	2	0	0	0	1	0	0	0	1	278	NA	278	NA
"307"	"215"	8	138	4	159	7	4	1	3	4	0	4	0	5	5	2	12	10	4	6	3	1	2	2	4	5	393	NA	393	NA
"308"	"216"	2	158	4	57	0	0	0	0	2	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	228	NA	228	NA
"309"	"217"	0	29	4	662	4	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	702	NA	702	NA
"310"	"218"	9	226	7	70	3	1	1	1	1	0	2	4	2	6	6	8	4	15	8	0	1	0	1	0	2	378	NA	378	NA
"311"	"219"	6	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	NA	15	NA
"312"	"220"	23	293	2	105	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	429	NA	429	NA
"313"	"221"	0	19	49	323	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	NA	393	NA
"314"	"222"	9	84	3	43	1	2	2	0	0	3	0	1	0	1	3	3	2	0	0	1	0	0	1	0	1	160	NA	160	NA
"315"	"223"	4	315	3	83	2	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	413	NA	413	NA
"316"	"224"	1	351	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	NA	381	NA
"317"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"318"	"Total"	104	2403	91	2873	31	15	7	9	149	7	11	6	15	14	14	41	22	19	15	6	5	2	4	4	11	5878	NA	5878	NA
"319"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"320"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"321"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"322"	"Round 17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"323"	"225"	24	124	7	128	4	6	0	1	0	1	1	1	2	3	0	6	9	3	3	3	1	2	1	1	2	333	NA	333	NA
"324"	"226"	20	382	0	332	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	1	739	NA	739	NA
"325"	"227"	6	302	5	188	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	502	NA	502	NA
"326"	"228"	4	12	7	495	2	2	1	2	0	1	1	2	0	0	0	3	1	1	0	0	0	0	0	0	0	534	NA	534	NA
"327"	"229"	12	134	25	72	3	4	0	5	3	3	1	1	2	3	2	5	0	0	0	0	0	0	0	0	0	275	NA	275	NA
"328"	"230"	23	12	2	155	4	1	2	1	0	1	1	1	0	0	2	2	1	0	0	0	0	0	0	0	0	208	NA	208	NA
"329"	"231"	7	67	7	172	6	2	1	5	1	0	2	1	1	0	0	0	1	0	0	1	0	0	0	0	1	275	NA	275	NA
"330"	"232"	1	2	1	58	2	0	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	69	NA	69	NA
"331"	"233"	5	106	34	5	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	154	NA	154	NA
"332"	"234"	57	128	4	211	6	2	1	4	3	0	1	0	2	2	1	4	16	12	4	5	1	3	2	0	5	474	NA	474	NA
"333"	"235"	13	462	10	19	0	0	0	0	0	2	0	1	0	1	1	1	0	3	0	0	0	0	0	2	0	515	NA	515	NA
"334"	"236"	12	216	5	188	6	0	0	2	0	0	0	0	2	2	2	8	2	0	4	0	0	0	1	0	1	451	NA	451	NA
"335"	"237"	11	133	1	62	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	211	NA	211	NA
"336"	"238"	2	60	7	287	5	2	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	368	NA	368	NA
"337"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"338"	"Total"	197	2140	115	2372	42	19	5	21	8	9	10	7	10	11	9	30	33	24	12	10	2	5	4	3	10	5108	NA	5108	NA
"339"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"340"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"341"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"342"	"Round 18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"343"	"239"	13	16	0	320	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	NA	350	NA
"344"	"240"	0	1	0	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	481	NA	481	NA
"345"	"241"	3	28	2	320	3	0	0	1	0	1	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	363	NA	363	NA
"346"	"242"	38	121	0	90	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	250	NA	250	NA
"347"	"243"	5	82	52	148	2	1	0	0	0	1	0	0	0	4	0	3	5	6	5	4	1	1	1	2	2	325	NA	325	NA
"348"	"244"	2	327	7	113	3	1	0	1	0	0	1	0	1	1	0	7	5	3	2	4	0	2	1	2	2	485	NA	485	NA
"349"	"245"	12	341	1	39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394	NA	394	NA
"350"	"246"	23	102	7	335	4	5	2	3	0	3	1	0	0	1	1	6	6	1	0	0	0	1	0	0	0	501	NA	501	NA
"351"	"247"	2	34	8	471	4	0	0	78	21	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	45	667	NA	667	NA
"352"	"248"	22	29	3	209	1	2	2	2	0	0	0	1	3	0	0	5	1	0	1	2	1	1	1	1	3	290	NA	290	NA
"353"	"249"	77	107	0	83	0	1	0	2	0	0	0	0	1	1	0	2	3	3	4	0	0	1	0	0	2	287	NA	287	NA
