"X."	"X.U.092E..U.0924..U.0926..U.093E..U.0928...U.0915..U.0947......U.0915....U.0938..U.0902.0"	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X.U.0915..U.0941...U.0932....U.0935...U.0927..U.092E..U.093E....U.092F...U.092E..U.0924."	"X...U.0924...U.0947...U.092A..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X17..U.0938..U.0940...U.092E..U.0947...U.0939...U.0924..U.093E...U.0930...U.0915..U.0947....U.092C..U.093E..U.0926...U.092E..U.0924..U.0926..U.093E..U.0928...U.0938..U.0947...U.0907..U.0928..U.0915..U.093E..U.0930...U.0915..U.0930..U.0928..U.0947...U.0935..U.093E..U.0932....U.0915....U.0938..U.0902...U.092F..U.093E."
"81"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>  <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"82"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"83"	""	"69"	"130"	"3"	"164"	"128"	"3"	"0"	"0"	"3"	"61"	"3"	"2"	"0"	"5"	"4"	"7"	"8"	"521"	"0"	"521"	"0"	"0"
"84"	""	"70"	"12"	"11"	"52"	"104"	"17"	"7"	"6"	"20"	"222"	"8"	"10"	"6"	"11"	"6"	"1"	"25"	"518"	"0"	"518"	"0"	"0"
"85"	"<U+092F><U+094B><U+0917>"	""	"395"	"374"	"1761"	"2533"	"109"	"35"	"24"	"46"	"676"	"45"	"81"	"44"	"69"	"43"	"21"	"88"	"6344"	"0"	"6344"	"0"	"0"
"86"	""	"71"	"11"	"21"	"54"	"284"	"8"	"10"	"0"	"2"	"14"	"6"	"10"	"7"	"13"	"10"	"4"	"29"	"483"	"0"	"483"	"0"	"0"
"87"	""	"72"	"48"	"13"	"55"	"225"	"14"	"1"	"3"	"3"	"19"	"4"	"8"	"5"	"13"	"5"	"1"	"13"	"430"	"0"	"430"	"0"	"0"
"88"	""	"73"	"9"	"2"	"200"	"63"	"4"	"1"	"2"	"1"	"37"	"2"	"4"	"2"	"2"	"3"	"2"	"6"	"340"	"0"	"340"	"0"	"0"
"89"	""	"74"	"11"	"8"	"15"	"143"	"5"	"2"	"5"	"1"	"105"	"4"	"4"	"0"	"0"	"0"	"1"	"1"	"305"	"0"	"305"	"0"	"0"
"90"	""	"75"	"16"	"40"	"25"	"129"	"10"	"2"	"0"	"6"	"31"	"0"	"6"	"0"	"0"	"3"	"1"	"7"	"276"	"0"	"276"	"0"	"0"
"91"	""	"76"	"10"	"54"	"116"	"162"	"14"	"6"	"2"	"8"	"99"	"16"	"12"	"6"	"6"	"7"	"5"	"17"	"540"	"0"	"540"	"0"	"0"
"92"	""	"77"	"55"	"5"	"23"	"418"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"9"	"0"	"511"	"0"	"511"	"0"	"0"
"93"	""	"78"	"17"	"21"	"283"	"80"	"14"	"3"	"2"	"6"	"78"	"4"	"6"	"0"	"4"	"6"	"1"	"5"	"530"	"0"	"530"	"0"	"0"
"94"	""	"79"	"12"	"53"	"48"	"138"	"8"	"0"	"3"	"6"	"39"	"4"	"4"	"4"	"24"	"10"	"9"	"27"	"389"	"0"	"389"	"0"	"0"
"95"	""	"80"	"8"	"13"	"12"	"190"	"2"	"0"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"1"	"2"	"4"	"236"	"0"	"236"	"0"	"0"
"96"	""	"81"	"42"	"81"	"62"	"58"	"4"	"0"	"0"	"1"	"5"	"0"	"2"	"0"	"4"	"1"	"2"	"1"	"263"	"0"	"263"	"0"	"0"
"97"	""	"82"	"18"	"24"	"80"	"201"	"10"	"12"	"1"	"3"	"36"	"4"	"7"	"1"	"0"	"2"	"1"	"3"	"403"	"0"	"403"	"0"	"0"
"98"	""	"83"	"9"	"1"	"227"	"56"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"4"	"3"	"3"	"310"	"0"	"310"	"0"	"0"
"99"	""	"84"	"25"	"24"	"62"	"213"	"8"	"5"	"1"	"8"	"8"	"4"	"8"	"10"	"5"	"7"	"13"	"14"	"415"	"0"	"415"	"0"	"0"
"100"	"<U+092F><U+094B><U+0917>"	""	"291"	"360"	"1262"	"2360"	"103"	"43"	"19"	"45"	"475"	"48"	"72"	"37"	"73"	"59"	"54"	"130"	"5431"	"0"	"5431"	"0"	"0"
"101"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>  <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"102"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"103"	""	"85"	"17"	"51"	"47"	"140"	"14"	"0"	"2"	"7"	"58"	"5"	"10"	"5"	"5"	"5"	"3"	"14"	"383"	"0"	"383"	"0"	"0"
"104"	""	"86"	"24"	"1"	"20"	"206"	"11"	"0"	"1"	"3"	"56"	"1"	"6"	"1"	"2"	"4"	"2"	"4"	"342"	"0"	"342"	"0"	"0"
"105"	""	"87"	"42"	"5"	"248"	"103"	"1"	"1"	"0"	"0"	"16"	"0"	"2"	"3"	"2"	"4"	"2"	"3"	"432"	"0"	"432"	"0"	"0"
"106"	""	"88"	"12"	"2"	"434"	"33"	"1"	"0"	"0"	"0"	"3"	"0"	"4"	"0"	"0"	"0"	"0"	"1"	"490"	"0"	"490"	"0"	"0"
"107"	""	"89"	"50"	"3"	"559"	"21"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"2"	"1"	"1"	"650"	"0"	"650"	"0"	"0"
"108"	""	"90"	"0"	"5"	"289"	"18"	"1"	"3"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"1"	"2"	"324"	"0"	"324"	"0"	"0"
"109"	""	"91"	"7"	"2"	"119"	"115"	"13"	"2"	"4"	"1"	"5"	"1"	"7"	"0"	"1"	"2"	"2"	"4"	"285"	"0"	"285"	"0"	"0"
"110"	""	"92"	"10"	"9"	"239"	"86"	"7"	"1"	"1"	"3"	"2"	"4"	"3"	"4"	"2"	"5"	"1"	"3"	"380"	"0"	"380"	"0"	"0"
"111"	""	"93"	"11"	"47"	"10"	"346"	"11"	"2"	"1"	"0"	"10"	"1"	"9"	"2"	"5"	"3"	"1"	"0"	"459"	"0"	"459"	"0"	"0"
"112"	""	"94"	"15"	"43"	"35"	"176"	"7"	"2"	"0"	"3"	"24"	"4"	"14"	"3"	"8"	"4"	"5"	"10"	"353"	"0"	"353"	"0"	"0"
"113"	""	"95"	"30"	"45"	"74"	"98"	"3"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"257"	"0"	"257"	"0"	"0"
"114"	""	"96"	"223"	"21"	"71"	"53"	"2"	"4"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"380"	"0"	"380"	"0"	"0"
"115"	""	"97"	"19"	"7"	"87"	"41"	"2"	"4"	"0"	"1"	"0"	"0"	"2"	"0"	"2"	"3"	"2"	"9"	"179"	"0"	"179"	"0"	"0"
"116"	""	"98"	"17"	"2"	"244"	"33"	"0"	"0"	"0"	"0"	"5"	"0"	"1"	"0"	"0"	"3"	"0"	"0"	"305"	"0"	"305"	"0"	"0"
"117"	"<U+092F><U+094B><U+0917>"	""	"477"	"243"	"2476"	"1469"	"75"	"22"	"11"	"20"	"184"	"18"	"63"	"19"	"29"	"39"	"20"	"54"	"5219"	"0"	"5219"	"0"	"0"
"118"	""	"99"	"3"	"2"	"206"	"41"	"5"	"0"	"0"	"1"	"5"	"1"	"0"	"0"	"1"	"2"	"0"	"0"	"267"	"0"	"267"	"0"	"0"
"119"	""	"100"	"19"	"67"	"43"	"171"	"4"	"5"	"2"	"1"	"24"	"1"	"11"	"4"	"10"	"1"	"1"	"5"	"369"	"0"	"369"	"0"	"0"
"120"	""	"101"	"124"	"103"	"46"	"124"	"2"	"1"	"2"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"405"	"0"	"405"	"0"	"0"
"121"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>  <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"122"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"123"	""	"102"	"61"	"0"	"0"	"57"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"1"	"2"	"126"	"0"	"126"	"0"	"0"
"124"	""	"103"	"90"	"1"	"35"	"174"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"3"	"3"	"1"	"3"	"314"	"0"	"314"	"0"	"0"
"125"	""	"104"	"4"	"31"	"13"	"152"	"3"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"209"	"0"	"209"	"0"	"0"
"126"	""	"105"	"68"	"2"	"42"	"163"	"10"	"1"	"1"	"0"	"1"	"1"	"1"	"2"	"5"	"0"	"2"	"1"	"300"	"0"	"300"	"0"	"0"
"127"	""	"106"	"0"	"0"	"370"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"375"	"0"	"375"	"0"	"0"
"128"	""	"107"	"29"	"6"	"137"	"145"	"4"	"4"	"1"	"1"	"9"	"1"	"2"	"5"	"8"	"6"	"3"	"14"	"375"	"0"	"375"	"0"	"0"
"129"	""	"108"	"94"	"5"	"75"	"61"	"3"	"2"	"1"	"0"	"1"	"1"	"10"	"0"	"1"	"1"	"2"	"3"	"260"	"0"	"260"	"0"	"0"
"130"	""	"109"	"4"	"1"	"614"	"33"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"656"	"0"	"656"	"0"	"0"
"131"	""	"110"	"41"	"24"	"116"	"89"	"3"	"3"	"0"	"3"	"4"	"1"	"8"	"4"	"10"	"8"	"3"	"17"	"334"	"0"	"334"	"0"	"0"
"132"	""	"111"	"63"	"30"	"99"	"128"	"10"	"3"	"2"	"2"	"4"	"2"	"9"	"2"	"10"	"0"	"2"	"11"	"377"	"0"	"377"	"0"	"0"
"133"	""	"112"	"152"	"7"	"91"	"164"	"6"	"11"	"4"	"0"	"8"	"4"	"14"	"7"	"7"	"2"	"2"	"6"	"485"	"0"	"485"	"0"	"0"
"134"	"<U+092F><U+094B><U+0917>"	""	"752"	"279"	"1887"	"1503"	"56"	"31"	"15"	"10"	"58"	"14"	"61"	"25"	"55"	"24"	"17"	"65"	"4852"	"0"	"4852"	"0"	"0"
"135"	""	"113"	"18"	"2"	"166"	"229"	"3"	"11"	"4"	"0"	"1"	"4"	"4"	"1"	"7"	"0"	"0"	"5"	"455"	"0"	"455"	"0"	"0"
"136"	""	"114"	"18"	"174"	"50"	"245"	"6"	"7"	"2"	"1"	"6"	"9"	"4"	"2"	"2"	"4"	"4"	"2"	"536"	"0"	"536"	"0"	"0"
"137"	""	"115"	"17"	"45"	"176"	"150"	"5"	"25"	"2"	"1"	"3"	"3"	"2"	"3"	"5"	"4"	"4"	"7"	"452"	"0"	"452"	"0"	"0"
"138"	""	"116"	"69"	"16"	"123"	"48"	"3"	"0"	"4"	"0"	"1"	"1"	"3"	"4"	"3"	"4"	"0"	"7"	"286"	"0"	"286"	"0"	"0"
"139"	""	"117"	"18"	"44"	"120"	"109"	"3"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"2"	"1"	"5"	"2"	"313"	"0"	"313"	"0"	"0"
"140"	""	"118"	"31"	"1"	"306"	"9"	"1"	"2"	"2"	"0"	"10"	"0"	"13"	"1"	"1"	"1"	"0"	"0"	"378"	"0"	"378"	"0"	"0"
"141"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>  <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"142"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"143"	""	"119"	"12"	"77"	"164"	"72"	"4"	"5"	"3"	"0"	"1"	"2"	"4"	"3"	"6"	"2"	"1"	"11"	"367"	"0"	"367"	"0"	"0"
"144"	""	"120"	"58"	"9"	"160"	"141"	"7"	"7"	"1"	"0"	"4"	"1"	"4"	"1"	"5"	"4"	"3"	"2"	"407"	"0"	"407"	"0"	"0"
"145"	""	"121"	"62"	"29"	"85"	"67"	"3"	"4"	"2"	"1"	"2"	"2"	"12"	"1"	"3"	"3"	"2"	"1"	"279"	"0"	"279"	"0"	"0"
"146"	""	"122"	"61"	"12"	"208"	"22"	"2"	"2"	"1"	"1"	"2"	"4"	"12"	"3"	"5"	"9"	"2"	"16"	"362"	"0"	"362"	"0"	"0"
"147"	""	"123"	"99"	"4"	"50"	"100"	"4"	"3"	"1"	"0"	"5"	"0"	"2"	"2"	"8"	"3"	"1"	"5"	"287"	"0"	"287"	"0"	"0"
"148"	""	"124"	"80"	"3"	"158"	"268"	"7"	"3"	"1"	"0"	"27"	"2"	"1"	"1"	"2"	"1"	"0"	"0"	"554"	"0"	"554"	"0"	"0"
"149"	""	"125"	"42"	"6"	"148"	"159"	"0"	"2"	"0"	"3"	"1"	"1"	"1"	"1"	"5"	"4"	"1"	"4"	"378"	"0"	"378"	"0"	"0"
"150"	""	"126"	"10"	"23"	"316"	"54"	"5"	"12"	"2"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"4"	"433"	"0"	"433"	"0"	"0"
"151"	"<U+092F><U+094B><U+0917>"	""	"595"	"445"	"2230"	"1673"	"53"	"84"	"26"	"9"	"66"	"32"	"63"	"25"	"55"	"41"	"24"	"66"	"5487"	"0"	"5487"	"0"	"0"
"152"	""	"127"	"8"	"13"	"148"	"44"	"4"	"2"	"3"	"2"	"3"	"2"	"1"	"3"	"5"	"4"	"1"	"8"	"251"	"0"	"251"	"0"	"0"
"153"	""	"128"	"7"	"13"	"279"	"2"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"5"	"1"	"4"	"315"	"0"	"315"	"0"	"0"
"154"	""	"129"	"570"	"3"	"0"	"31"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"605"	"0"	"605"	"0"	"0"
"155"	""	"130"	"7"	"1"	"461"	"35"	"0"	"2"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"511"	"0"	"511"	"0"	"0"
"156"	""	"131"	"537"	"76"	"12"	"159"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"2"	"791"	"0"	"791"	"0"	"0"
"157"	""	"132"	"30"	"6"	"34"	"27"	"3"	"1"	"0"	"2"	"0"	"0"	"2"	"0"	"1"	"2"	"0"	"4"	"112"	"0"	"112"	"0"	"0"
"158"	""	"133"	"15"	"31"	"272"	"187"	"8"	"2"	"0"	"2"	"7"	"4"	"4"	"12"	"21"	"13"	"6"	"18"	"602"	"0"	"602"	"0"	"0"
"159"	""	"134"	"16"	"3"	"277"	"104"	"6"	"3"	"0"	"0"	"4"	"0"	"1"	"0"	"3"	"2"	"0"	"2"	"421"	"0"	"421"	"0"	"0"
"160"	""	"135"	"65"	"25"	"25"	"162"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"281"	"0"	"281"	"0"	"0"
