"fo.kku..l.Hkk..ks...l.a....k...oa.uke..01.okYehfduxj"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"fuokZpdks dh dqy  l a[ ; k&241591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~n hu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k
; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"132"	"99"	"8"	"220"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"8"	"6"	"250"	""	"250"	""
"133"	"100"	"45"	"391"	"113"	"61"	"15"	"2"	"3"	"4"	"0"	"8"	"8"	"4"	"6"	"6"	"5"	"7"	"678"	""	"678"	""
"134"	"101"	"29"	"408"	"91"	"32"	"39"	"8"	"5"	"3"	"2"	"2"	"5"	"7"	"3"	"9"	"11"	"20"	"674"	""	"674"	""
"135"	"102"	"14"	"277"	"79"	"39"	"73"	"6"	"3"	"3"	"2"	"4"	"54"	"2"	"7"	"2"	"5"	"15"	"585"	""	"585"	""
"136"	"103"	"24"	"386"	"46"	"39"	"53"	"5"	"4"	"1"	"2"	"2"	"4"	"0"	"2"	"4"	"2"	"5"	"579"	""	"579"	""
"137"	"104"	"32"	"341"	"260"	"49"	"12"	"5"	"5"	"5"	"3"	"3"	"5"	"1"	"2"	"1"	"2"	"5"	"731"	""	"731"	""
"138"	"105"	"17"	"450"	"36"	"46"	"44"	"3"	"2"	"2"	"1"	"2"	"6"	"2"	"2"	"2"	"0"	"4"	"619"	""	"619"	""
"139"	"106"	"15"	"239"	"36"	"45"	"51"	"2"	"4"	"4"	"4"	"8"	"20"	"6"	"4"	"2"	"8"	"16"	"464"	""	"464"	""
"140"	"107"	"26"	"183"	"221"	"100"	"10"	"3"	"2"	"4"	"6"	"1"	"118"	"1"	"6"	"6"	"4"	"9"	"700"	""	"700"	""
"141"	"108"	"35"	"321"	"42"	"67"	"47"	"4"	"1"	"7"	"1"	"1"	"20"	"1"	"2"	"3"	"5"	"5"	"562"	""	"562"	""
"142"	"109"	"15"	"205"	"28"	"14"	"34"	"3"	"2"	"1"	"3"	"4"	"92"	"3"	"2"	"2"	"2"	"3"	"413"	""	"413"	""
"143"	"110"	"88"	"113"	"40"	"38"	"132"	"1"	"1"	"2"	"0"	"0"	"45"	"0"	"3"	"0"	"0"	"2"	"465"	""	"465"	""
"144"	"111"	"14"	"322"	"18"	"14"	"99"	"13"	"1"	"0"	"2"	"3"	"11"	"2"	"1"	"2"	"4"	"4"	"510"	""	"510"	""
"145"	"112"	"6"	"193"	"16"	"21"	"21"	"7"	"8"	"4"	"8"	"10"	"294"	"4"	"18"	"0"	"4"	"12"	"626"	""	"626"	""
"146"	"VksVy"	"368"	"4049"	"1027"	"567"	"631"	"62"	"41"	"40"	"34"	"49"	"683"	"33"	"59"	"40"	"60"	"113"	"7856"	"0"	"7856"	"0"
"147"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &01 okYehfduxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"fuokZpdks dh dqy  l a[ ; k&241591                                                                                  vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~n hu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k
; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"153"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"154"	"113"	"9"	"246"	"46"	"7"	"70"	"2"	"4"	"0"	"2"	"3"	"95"	"1"	"2"	"0"	"2"	"3"	"492"	""	"492"	""
"155"	"114"	"6"	"249"	"22"	"3"	"40"	"1"	"2"	"2"	"2"	"0"	"121"	"7"	"3"	"0"	"5"	"0"	"463"	""	"463"	""
"156"	"115"	"5"	"267"	"32"	"12"	"35"	"4"	"0"	"5"	"1"	"1"	"153"	"2"	"6"	"2"	"1"	"4"	"530"	""	"530"	""
"157"	"116"	"7"	"171"	"199"	"6"	"9"	"3"	"1"	"0"	"0"	"1"	"37"	"0"	"2"	"0"	"1"	"0"	"437"	""	"437"	""
"158"	"117"	"8"	"211"	"85"	"2"	"21"	"1"	"1"	"1"	"4"	"2"	"36"	"0"	"6"	"5"	"3"	"4"	"390"	""	"390"	""
"159"	"118"	"2"	"130"	"31"	"8"	"47"	"0"	"3"	"0"	"2"	"0"	"7"	"0"	"0"	"0"	"1"	"0"	"231"	""	"231"	""
"160"	"119"	"78"	"344"	"37"	"74"	"7"	"6"	"3"	"1"	"8"	"21"	"5"	"5"	"5"	"6"	"8"	"20"	"628"	""	"628"	""
"161"	"120"	"39"	"362"	"10"	"31"	"33"	"3"	"1"	"2"	"3"	"4"	"0"	"2"	"3"	"3"	"4"	"16"	"516"	""	"516"	""
"162"	"121"	"29"	"325"	"43"	"47"	"10"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"460"	""	"460"	""
"163"	"122"	"58"	"328"	"10"	"54"	"10"	"4"	"2"	"3"	"1"	"1"	"1"	"3"	"0"	"2"	"0"	"0"	"477"	""	"477"	""
"164"	"123"	"55"	"154"	"80"	"14"	"2"	"1"	"3"	"0"	"0"	"1"	"2"	"2"	"0"	"3"	"1"	"5"	"323"	""	"323"	""
"165"	"124"	"16"	"211"	"33"	"17"	"25"	"1"	"2"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"5"	"314"	""	"314"	""
"166"	"125"	"9"	"295"	"15"	"19"	"2"	"2"	"2"	"0"	"2"	"6"	"5"	"0"	"2"	"2"	"2"	"4"	"367"	""	"367"	""
"167"	"126"	"1"	"93"	"2"	"9"	"10"	"1"	"0"	"0"	"0"	"4"	"2"	"1"	"1"	"0"	"1"	"0"	"125"	""	"125"	""
"168"	"VksVy"	"322"	"3386"	"645"	"303"	"321"	"30"	"25"	"15"	"26"	"47"	"464"	"23"	"30"	"23"	"29"	"64"	"5753"	"0"	"5753"	"0"
"169"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~n hu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k
; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"170"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"171"	"127"	"11"	"273"	"29"	"59"	"74"	"5"	"5"	"3"	"2"	"3"	"7"	"1"	"4"	"0"	"1"	"7"	"484"	""	"484"	""
"172"	"128"	"4"	"142"	"78"	"13"	"8"	"2"	"3"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"3"	"2"	"260"	""	"260"	""
"173"	"129"	"8"	"146"	"27"	"5"	"56"	"1"	"3"	"1"	"1"	"6"	"3"	"0"	"4"	"3"	"4"	"5"	"273"	""	"273"	""
"174"	"130"	"9"	"328"	"9"	"27"	"3"	"4"	"0"	"0"	"1"	"1"	"4"	"1"	"1"	"1"	"6"	"6"	"401"	""	"401"	""
"175"	"131"	"2"	"53"	"2"	"2"	"3"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"69"	""	"69"	""
"176"	"132"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	""	"2"	""
"177"	"133"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	""	"6"	""
"178"	"134"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"179"	"135"	"38"	"349"	"27"	"17"	"76"	"3"	"2"	"2"	"3"	"3"	"2"	"10"	"4"	"5"	"16"	"22"	"579"	""	"579"	""
"180"	"136"	"11"	"76"	"13"	"18"	"127"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"2"	"5"	"258"	""	"258"	""
"181"	"137"	"9"	"374"	"74"	"7"	"92"	"3"	"1"	"2"	"0"	"15"	"7"	"2"	"1"	"6"	"6"	"3"	"602"	""	"602"	""
"182"	"138"	"14"	"239"	"58"	"84"	"27"	"5"	"3"	"4"	"3"	"8"	"15"	"8"	"7"	"2"	"1"	"5"	"483"	""	"483"	""
"183"	"139"	"11"	"200"	"6"	"15"	"69"	"7"	"0"	"1"	"5"	"7"	"7"	"0"	"3"	"1"	"1"	"5"	"338"	""	"338"	""
"184"	"140"	"45"	"137"	"122"	"77"	"109"	"7"	"8"	"12"	"7"	"10"	"6"	"6"	"9"	"8"	"6"	"16"	"585"	""	"585"	""
"185"	"VksVy"	"162"	"2317"	"445"	"324"	"651"	"38"	"26"	"27"	"25"	"54"	"51"	"30"	"34"	"30"	"47"	"79"	"4340"	"0"	"4340"	"0"
"186"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~n hu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k
; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"187"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"188"	"141"	"26"	"209"	"43"	"14"	"145"	"16"	"9"	"0"	"6"	"4"	"0"	"3"	"2"	"2"	"4"	"3"	"486"	""	"486"	""
"189"	"142"	"43"	"183"	"10"	"10"	"16"	"3"	"5"	"0"	"3"	"2"	"1"	"1"	"0"	"2"	"1"	"4"	"284"	""	"284"	""
"190"	"143"	"77"	"335"	"38"	"132"	"16"	"5"	"1"	"2"	"3"	"3"	"24"	"0"	"3"	"1"	"1"	"4"	"645"	""	"645"	""
"191"	"144"	"15"	"245"	"19"	"36"	"36"	"3"	"3"	"1"	"0"	"4"	"2"	"5"	"0"	"6"	"0"	"3"	"378"	""	"378"	""
"192"	"145"	"32"	"286"	"70"	"21"	"51"	"4"	"3"	"3"	"1"	"10"	"4"	"3"	"1"	"5"	"4"	"4"	"502"	""	"502"	""
"193"	"146"	"4"	"82"	"72"	"116"	"46"	"2"	"0"	"1"	"2"	"8"	"2"	"2"	"4"	"1"	"2"	"6"	"350"	""	"350"	""
"194"	"147"	"13"	"184"	"52"	"18"	"174"	"8"	"3"	"3"	"1"	"5"	"8"	"3"	"6"	"1"	"3"	"20"	"502"	""	"502"	""
"195"	"148"	"7"	"61"	"75"	"105"	"185"	"3"	"1"	"4"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"5"	"452"	""	"452"	""
"196"	"149"	"3"	"74"	"1"	"31"	"45"	"0"	"1"	"1"	"2"	"1"	"1"	"1"	"0"	"0"	"2"	"4"	"167"	""	"167"	""
"197"	"150"	"36"	"275"	"39"	"64"	"62"	"4"	"2"	"6"	"2"	"1"	"4"	"0"	"1"	"1"	"2"	"4"	"503"	""	"503"	""
"198"	"151"	"10"	"253"	"67"	"68"	"14"	"0"	"0"	"1"	"1"	"4"	"1"	"1"	"1"	"1"	"1"	"3"	"426"	""	"426"	""
"199"	"152"	"11"	"183"	"9"	"68"	"69"	"4"	"5"	"1"	"3"	"1"	"1"	"5"	"0"	"4"	"5"	"14"	"383"	""	"383"	""
"200"	"153"	"14"	"142"	"57"	"89"	"71"	"4"	"2"	"3"	"3"	"5"	"5"	"0"	"1"	"1"	"1"	"0"	"398"	""	"398"	""
"201"	"154"	"16"	"189"	"11"	"35"	"28"	"0"	"0"	"0"	"0"	"2"	"3"	"3"	"1"	"2"	"1"	"0"	"291"	""	"291"	""
"202"	"VksVy"	"307"	"2701"	"563"	"807"	"958"	"56"	"35"	"26"	"27"	"51"	"61"	"27"	"20"	"27"	"27"	"74"	"5767"	"0"	"5767"	"0"
"203"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &01 okYehfduxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"fuokZpdks dh dqy  l a[ ; k&241591                                                                                  vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~n hu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k
; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"209"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"210"	"155"	"17"	"233"	"4"	"27"	"37"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"2"	"325"	""	"325"	""
"211"	"156"	"0"	"53"	"11"	"23"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"95"	""	"95"	""
"212"	"157"	"0"	"34"	"1"	"11"	"20"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"70"	""	"70"	""
"213"	"158"	"2"	"32"	"4"	"26"	"1"	"0"	"0"	"0"	"0"	"0"	"6"	"1"	"1"	"0"	"1"	"4"	"78"	""	"78"	""
"214"	"159"	"0"	"17"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"20"	""	"20"	""
"215"	"160"	"0"	"15"	"12"	"6"	"12"	"0"	"1"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"51"	""	"51"	""
"216"	"161"	"9"	"455"	"7"	"2"	"10"	"2"	"1"	"0"	"3"	"2"	"4"	"4"	"0"	"5"	"5"	"5"	"514"	""	"514"	""
"217"	"162"	"18"	"240"	"17"	"10"	"19"	"1"	"0"	"7"	"2"	"5"	"0"	"5"	"3"	"6"	"2"	"3"	"338"	""	"338"	""
"218"	"163"	"3"	"57"	"1"	"3"	"45"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"110"	""	"110"	""
"219"	"164"	"6"	"361"	"59"	"23"	"7"	"2"	"3"	"4"	"0"	"3"	"2"	"5"	"3"	"7"	"7"	"14"	"506"	""	"506"	""
"220"	"165"	"13"	"260"	"13"	"27"	"26"	"2"	"3"	"4"	"3"	"1"	"8"	"3"	"2"	"8"	"6"	"13"	"392"	""	"392"	""
"221"	"166"	"5"	"153"	"23"	"17"	"78"	"4"	"0"	"0"	"3"	"1"	"2"	"1"	"0"	"0"	"4"	"3"	"294"	""	"294"	""
"222"	"167"	"45"	"104"	"87"	"10"	"59"	"3"	"1"	"1"	"3"	"0"	"1"	"1"	"0"	"1"	"4"	"2"	"322"	""	"322"	""
"223"	"168"	"15"	"226"	"92"	"49"	"39"	"11"	"9"	"5"	"0"	"5"	"27"	"6"	"7"	"10"	"9"	"25"	"535"	""	"535"	""
"224"	"VksVy"	"133"	"2240"	"331"	"235"	"359"	"27"	"18"	"22"	"17"	"18"	"57"	"27"	"17"	"37"	"39"	"73"	"3650"	"0"	"3650"	"0"
"225"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~n hu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k
; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"226"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"227"	"169"	"21"	"237"	"22"	"36"	"147"	"5"	"4"	"1"	"1"	"3"	"1"	"5"	"2"	"2"	"1"	"3"	"491"	""	"491"	""
"228"	"170"	"7"	"401"	"16"	"31"	"8"	"7"	"3"	"2"	"2"	"4"	"3"	"0"	"2"	"1"	"2"	"3"	"492"	""	"492"	""
"229"	"171"	"11"	"135"	"37"	"80"	"9"	"1"	"1"	"1"	"2"	"2"	"41"	"0"	"4"	"1"	"2"	"2"	"329"	""	"329"	""
"230"	"172"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"231"	"173"	"50"	"351"	"19"	"32"	"48"	"11"	"5"	"1"	"4"	"4"	"20"	"3"	"0"	"3"	"5"	"8"	"564"	""	"564"	""
"232"	"174"	"15"	"226"	"46"	"52"	"56"	"4"	"0"	"2"	"1"	"5"	"27"	"3"	"2"	"1"	"2"	"10"	"452"	""	"452"	""
"233"	"175"	"38"	"323"	"12"	"84"	"55"	"3"	"3"	"6"	"2"	"2"	"1"	"3"	"3"	"5"	"1"	"14"	"555"	""	"555"	""
"234"	"176"	"18"	"303"	"11"	"186"	"26"	"2"	"0"	"2"	"3"	"1"	"1"	"3"	"0"	"0"	"2"	"2"	"560"	""	"560"	""
"235"	"177"	"1"	"142"	"13"	"53"	"11"	"5"	"1"	"6"	"4"	"3"	"2"	"3"	"3"	"2"	"2"	"7"	"258"	""	"258"	""
"236"	"178"	"19"	"310"	"50"	"16"	"44"	"3"	"0"	"2"	"0"	"3"	"1"	"2"	"0"	"0"	"1"	"2"	"453"	""	"453"	""
"237"	"179"	"15"	"287"	"6"	"29"	"28"	"2"	"1"	"0"	"1"	"1"	"2"	"3"	"2"	"1"	"2"	"7"	"387"	""	"387"	""
"238"	"180"	"4"	"154"	"58"	"42"	"104"	"2"	"4"	"2"	"4"	"1"	"2"	"4"	"4"	"6"	"4"	"9"	"404"	""	"404"	""
"239"	"181"	"18"	"293"	"45"	"27"	"83"	"3"	"4"	"0"	"3"	"6"	"2"	"4"	"7"	"2"	"9"	"23"	"529"	""	"529"	""
"240"	"182"	"9"	"260"	"78"	"58"	"52"	"3"	"3"	"3"	"0"	"2"	"4"	"3"	"1"	"5"	"2"	"13"	"496"	""	"496"	""
"241"	"VksVy"	"226"	"3422"	"413"	"726"	"671"	"51"	"29"	"28"	"27"	"37"	"107"	"36"	"30"	"29"	"35"	"103"	"5970"	"0"	"5970"	"0"
"242"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~n hu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k
; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"243"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"244"	"183"	"14"	"291"	"66"	"55"	"46"	"5"	"2"	"1"	"4"	"2"	"2"	"3"	"1"	"1"	"2"	"7"	"502"	""	"502"	""
"245"	"184"	"7"	"272"	"136"	"29"	"14"	"2"	"2"	"1"	"1"	"1"	"3"	"1"	"2"	"1"	"2"	"3"	"477"	""	"477"	""
"246"	"185"	"4"	"100"	"9"	"113"	"30"	"2"	"0"	"2"	"1"	"1"	"0"	"1"	"3"	"2"	"6"	"22"	"296"	""	"296"	""
"247"	"186"	"8"	"212"	"26"	"27"	"40"	"3"	"2"	"0"	"3"	"5"	"4"	"6"	"1"	"4"	"2"	"3"	"346"	""	"346"	""
"248"	"187"	"29"	"266"	"185"	"23"	"86"	"6"	"3"	"0"	"3"	"3"	"3"	"0"	"1"	"1"	"7"	"10"	"626"	""	"626"	""
"249"	"188"	"21"	"388"	"72"	"39"	"53"	"4"	"9"	"5"	"7"	"7"	"8"	"14"	"7"	"20"	"10"	"41"	"705"	""	"705"	""
"250"	"189"	"8"	"280"	"67"	"120"	"136"	"5"	"1"	"2"	"3"	"1"	"6"	"9"	"5"	"4"	"5"	"22"	"674"	""	"674"	""
"251"	"190"	"0"	"24"	"34"	"110"	"2"	"1"	"4"	"3"	"3"	"3"	"0"	"1"	"2"	"2"	"3"	"2"	"194"	""	"194"	""
"252"	"191"	"26"	"354"	"120"	"67"	"24"	"6"	"4"	"1"	"1"	"3"	"4"	"3"	"1"	"4"	"4"	"11"	"633"	""	"633"	""
"253"	"192"	"11"	"211"	"81"	"62"	"9"	"3"	"0"	"2"	"1"	"2"	"5"	"3"	"4"	"2"	"2"	"9"	"407"	""	"407"	""
"254"	"193"	"11"	"212"	"6"	"24"	"37"	"3"	"4"	"2"	"2"	"4"	"2"	"1"	"1"	"3"	"6"	"6"	"324"	""	"324"	""
"255"	"194"	"4"	"111"	"2"	"55"	"23"	"1"	"1"	"3"	"1"	"3"	"22"	"3"	"6"	"2"	"5"	"10"	"252"	""	"252"	""
"256"	"195"	"8"	"39"	"7"	"172"	"21"	"3"	"6"	"0"	"3"	"1"	"51"	"4"	"9"	"3"	"2"	"15"	"344"	""	"344"	""
"257"	"196"	"1"	"52"	"108"	"77"	"65"	"2"	"1"	"1"	"0"	"0"	"2"	"2"	"2"	"1"	"1"	"2"	"317"	""	"317"	""
"258"	"VksVy"	"152"	"2812"	"919"	"973"	"586"	"46"	"39"	"23"	"33"	"36"	"112"	"51"	"45"	"50"	"57"	"163"	"6097"	"0"	"6097"	"0"
"259"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~n hu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k
; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"260"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"261"	"197"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	""	"1"	""
"262"	"198"	"1"	"164"	"33"	"127"	"8"	"3"	"0"	"0"	"4"	"0"	"44"	"8"	"4"	"1"	"6"	"8"	"411"	""	"411"	""
"263"	"199"	"5"	"339"	"17"	"29"	"8"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"9"	"5"	"5"	"422"	""	"422"	""
"264"	"200"	"9"	"151"	"25"	"121"	"37"	"2"	"1"	"2"	"2"	"4"	"13"	"2"	"4"	"3"	"2"	"12"	"390"	""	"390"	""
"265"	"201"	"7"	"237"	"47"	"6"	"45"	"1"	"7"	"1"	"4"	"3"	"3"	"1"	"1"	"1"	"4"	"7"	"375"	""	"375"	""
"266"	"202"	"5"	"82"	"5"	"11"	"42"	"1"	"3"	"2"	"1"	"0"	"2"	"0"	"0"	"2"	"0"	"1"	"157"	""	"157"	""
