"Sl..No."	"No..of.Polling.Station"	"No..of.Valid.votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendere.d.votes"
"178"	"154"	"153"	"304"	"7"	"17"	"123"	"9"	"4"	"2"	"1"	"0"	"0"	"2"	"1"	"470"	"0"	"470"	""
"179"	"155"	"154"	"248"	"11"	"5"	"175"	"18"	"11"	"30"	"2"	"5"	"2"	"1"	"17"	"525"	"0"	"525"	""
"180"	"156"	"155"	"130"	"65"	"2"	"221"	"41"	"7"	"6"	"1"	"1"	"0"	"1"	"6"	"481"	"0"	"481"	""
"181"	"157"	"156"	"184"	"19"	"64"	"276"	"16"	"18"	"129"	"2"	"5"	"3"	"3"	"23"	"742"	"0"	"742"	""
"182"	"158"	"157"	"16"	"3"	"0"	"30"	"10"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"63"	"0"	"63"	""
"183"	"159"	"158"	"109"	"23"	"26"	"120"	"15"	"10"	"43"	"2"	"4"	"5"	"0"	"15"	"372"	"0"	"372"	""
"184"	"160"	"159"	"149"	"10"	"42"	"79"	"16"	"5"	"85"	"2"	"3"	"3"	"0"	"3"	"397"	"0"	"397"	""
"185"	"161"	"160"	"26"	"37"	"14"	"93"	"7"	"6"	"182"	"14"	"4"	"3"	"2"	"12"	"400"	"0"	"400"	""
"186"	"162"	"161"	"66"	"14"	"54"	"75"	"7"	"7"	"169"	"5"	"3"	"1"	"1"	"2"	"404"	"0"	"404"	""
"187"	"163"	"162"	"87"	"14"	"24"	"211"	"11"	"6"	"56"	"3"	"4"	"0"	"0"	"9"	"425"	"0"	"425"	""
"188"	"164"	"163"	"75"	"36"	"11"	"260"	"18"	"5"	"19"	"2"	"4"	"1"	"3"	"8"	"442"	"0"	"442"	""
"189"	"165"	"164"	"64"	"27"	"7"	"159"	"39"	"12"	"39"	"2"	"2"	"5"	"3"	"22"	"381"	"0"	"381"	""
"190"	"166"	"165"	"72"	"7"	"77"	"135"	"18"	"2"	"3"	"2"	"4"	"3"	"0"	"5"	"328"	"0"	"328"	""
"191"	"167"	"166"	"5"	"6"	"0"	"56"	"3"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"74"	"0"	"74"	""
"192"	"168"	"167"	"17"	"8"	"2"	"47"	"217"	"5"	"117"	"6"	"5"	"10"	"19"	"13"	"466"	"0"	"466"	""
"193"	"169"	"168"	"67"	"61"	"10"	"58"	"61"	"7"	"81"	"6"	"5"	"9"	"7"	"12"	"384"	"0"	"384"	""
"194"	"170"	"169"	"42"	"19"	"3"	"70"	"35"	"7"	"150"	"3"	"3"	"1"	"7"	"11"	"351"	"0"	"351"	""
"195"	"171"	"170"	"67"	"44"	"58"	"164"	"27"	"10"	"318"	"8"	"5"	"5"	"11"	"23"	"740"	"0"	"740"	""
"196"	"172"	"171"	"196"	"165"	"25"	"144"	"32"	"18"	"92"	"9"	"8"	"0"	"6"	"6"	"701"	"0"	"701"	""
"197"	"173"	"172"	"17"	"14"	"18"	"145"	"32"	"16"	"344"	"8"	"10"	"4"	"4"	"14"	"626"	"0"	"626"	""
"198"	"174"	"173"	"213"	"67"	"10"	"335"	"26"	"9"	"15"	"3"	"8"	"2"	"3"	"10"	"701"	"0"	"701"	""
"199"	"175"	"174"	"28"	"51"	"34"	"283"	"9"	"3"	"5"	"1"	"2"	"2"	"1"	"5"	"424"	"0"	"424"	""
"200"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendere d votes"
"201"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"202"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"203"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"204"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"205"	"176"	"175"	"72"	"52"	"7"	"141"	"14"	"4"	"32"	"7"	"2"	"2"	"1"	"8"	"342"	"0"	"342"	""
"206"	"177"	"176"	"22"	"19"	"8"	"160"	"10"	"8"	"112"	"1"	"3"	"6"	"3"	"3"	"355"	"0"	"355"	""
"207"	"178"	"176  A"	"99"	"14"	"69"	"173"	"16"	"6"	"9"	"1"	"4"	"1"	"0"	"2"	"394"	"0"	"394"	""
"208"	"179"	"177"	"34"	"3"	"4"	"31"	"15"	"7"	"304"	"9"	"4"	"4"	"8"	"22"	"445"	"0"	"445"	""
"209"	"180"	"178"	"202"	"4"	"9"	"23"	"5"	"1"	"12"	"3"	"5"	"1"	"1"	"8"	"274"	"0"	"274"	""
"210"	"181"	"179"	"32"	"35"	"5"	"329"	"24"	"13"	"171"	"6"	"6"	"4"	"3"	"10"	"638"	"0"	"638"	""
"211"	"182"	"180"	"99"	"96"	"3"	"40"	"18"	"3"	"2"	"1"	"0"	"0"	"1"	"1"	"264"	"0"	"264"	""
"212"	"183"	"181"	"112"	"210"	"10"	"27"	"3"	"3"	"1"	"1"	"3"	"1"	"1"	"4"	"376"	"0"	"376"	""
"213"	"184"	"182"	"152"	"129"	"10"	"95"	"39"	"4"	"10"	"1"	"1"	"0"	"2"	"7"	"450"	"0"	"450"	""
"214"	"185"	"183"	"72"	"22"	"3"	"52"	"78"	"5"	"15"	"2"	"3"	"1"	"6"	"15"	"274"	"0"	"274"	""
"215"	"186"	"184"	"27"	"160"	"14"	"239"	"66"	"7"	"2"	"5"	"5"	"5"	"5"	"4"	"539"	"0"	"539"	""
"216"	"187"	"185"	"179"	"97"	"24"	"333"	"24"	"11"	"2"	"2"	"3"	"2"	"0"	"11"	"688"	"0"	"688"	""
"217"	"188"	"186"	"327"	"66"	"1"	"133"	"7"	"1"	"0"	"0"	"1"	"0"	"2"	"3"	"541"	"0"	"541"	""
"218"	"189"	"187"	"132"	"82"	"2"	"155"	"8"	"1"	"0"	"1"	"2"	"0"	"2"	"9"	"394"	"0"	"394"	""
"219"	"190"	"188"	"81"	"141"	"8"	"141"	"9"	"4"	"0"	"2"	"3"	"3"	"7"	"20"	"419"	"0"	"419"	""
"220"	"191"	"189"	"48"	"156"	"17"	"78"	"7"	"3"	"0"	"3"	"1"	"0"	"2"	"4"	"319"	"0"	"319"	""
"221"	"192"	"190"	"51"	"86"	"24"	"224"	"33"	"3"	"0"	"2"	"3"	"1"	"5"	"13"	"445"	"0"	"445"	""
"222"	"193"	"191"	"162"	"118"	"1"	"103"	"14"	"4"	"6"	"1"	"5"	"2"	"7"	"3"	"426"	"0"	"426"	""
"223"	"194"	"192"	"151"	"35"	"6"	"213"	"11"	"5"	"1"	"2"	"0"	"3"	"4"	"10"	"441"	"0"	"441"	""
"224"	"195"	"193"	"181"	"132"	"5"	"121"	"17"	"10"	"3"	"0"	"1"	"2"	"2"	"1"	"475"	"0"	"475"	""
"225"	"196"	"194"	"40"	"109"	"3"	"199"	"15"	"2"	"6"	"2"	"1"	"0"	"1"	"7"	"385"	"0"	"385"	""
"226"	"197"	"195"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"227"	"198"	"196"	"49"	"168"	"4"	"258"	"23"	"10"	"8"	"4"	"5"	"4"	"2"	"10"	"545"	"0"	"545"	""
"228"	"199"	"197"	"79"	"117"	"7"	"242"	"36"	"7"	"0"	"3"	"8"	"1"	"2"	"9"	"511"	"0"	"511"	""
"229"	"200"	"198"	"211"	"56"	"3"	"241"	"46"	"2"	"2"	"0"	"7"	"1"	"1"	"8"	"578"	"0"	"578"	""
"230"	"201"	"199"	"233"	"97"	"13"	"175"	"37"	"8"	"3"	"7"	"4"	"2"	"7"	"19"	"605"	"0"	"605"	""
"231"	"202"	"200"	"128"	"254"	"6"	"93"	"17"	"6"	"2"	"1"	"4"	"2"	"4"	"12"	"529"	"0"	"529"	""
"232"	"203"	"201"	"76"	"87"	"4"	"83"	"4"	"6"	"7"	"0"	"1"	"0"	"1"	"2"	"271"	"0"	"271"	""
"233"	"204"	"202"	"139"	"15"	"1"	"167"	"22"	"2"	"16"	"2"	"1"	"3"	"1"	"6"	"375"	"0"	"375"	""
"234"	"205"	"203"	"97"	"26"	"5"	"82"	"28"	"12"	"48"	"4"	"4"	"2"	"3"	"15"	"326"	"0"	"326"	""
"235"	"206"	"204"	"22"	"47"	"10"	"331"	"23"	"5"	"2"	"0"	"2"	"2"	"0"	"0"	"444"	"0"	"444"	""
"236"	"207"	"205"	"220"	"29"	"17"	"242"	"19"	"2"	"2"	"3"	"2"	"0"	"5"	"11"	"552"	"0"	"552"	""
"237"	"208"	"206"	"202"	"28"	"6"	"149"	"19"	"4"	"3"	"0"	"3"	"4"	"5"	"24"	"447"	"0"	"447"	""
"238"	"209"	"207"	"122"	"19"	"11"	"167"	"115"	"14"	"148"	"9"	"5"	"4"	"3"	"2"	"619"	"0"	"619"	""
"239"	"210"	"208"	"269"	"13"	"1"	"91"	"71"	"6"	"26"	"0"	"1"	"0"	"2"	"0"	"480"	"0"	"480"	""
"240"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendere d votes"
"241"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"242"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"243"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"244"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"245"	"211"	"209"	"111"	"31"	"7"	"270"	"15"	"7"	"16"	"2"	"4"	"1"	"0"	"6"	"470"	"0"	"470"	""
"246"	"212"	"210"	"66"	"26"	"11"	"133"	"20"	"6"	"236"	"5"	"4"	"5"	"0"	"3"	"515"	"0"	"515"	""
"247"	"213"	"211"	"133"	"39"	"7"	"182"	"56"	"9"	"118"	"4"	"6"	"7"	"9"	"21"	"591"	"0"	"591"	""
"248"	"214"	"212"	"6"	"100"	"4"	"56"	"37"	"6"	"59"	"1"	"1"	"3"	"4"	"3"	"280"	"0"	"280"	""
"249"	"Total No. of votes recording at polling Stations"	""	"22036"	"14741"	"2016"	"43441"	"3792"	"1012"	"5608"	"428"	"563"	"369"	"494"	"1423"	"95923"	"0"	"95923"	""
"250"	"No. of votes recorded on postal ballot papers"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""
"251"	"Total Votes polled"	""	"22036"	"14741"	"2016"	"43441"	"3792"	"1012"	"5608"	"428"	"563"	"369"	"494"	"1423"	"95923"	"0"	"95923"	""
"252"	"Place :     MOTIHARI                                                                                                                                                                                                                                      Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	":   16/05/2009                                                                                                                                                                                                                                                              019-Motihari"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
