"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations) Election of the HOUSE OF PEOPLE From the 14 - DARBHANGA PARLIAMENTARY Constituency PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used for Parliamentary and Assembly elections) Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…79 - GAURA BAURAM Total No. of electors in Assembly constituency / Segment    : 191746"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"154"	"138"	"135"	"6"	"272"	"30"	"0"	"0"	"4"	"1"	"1"	"22"	"5"	"1"	"1"	"6"	"4"	"353"	"-"	"353"	""
"155"	"139"	"136"	"15"	"79"	"186"	"16"	"4"	"0"	"4"	"4"	"3"	"7"	"11"	"13"	"21"	"20"	"383"	"-"	"383"	""
"156"	"140"	"137"	"21"	"104"	"242"	"17"	"2"	"5"	"3"	"4"	"29"	"3"	"5"	"5"	"11"	"10"	"461"	"-"	"461"	""
"157"	"141"	"138"	"1"	"63"	"157"	"4"	"0"	"0"	"2"	"2"	"9"	"1"	"2"	"2"	"3"	"0"	"246"	"-"	"246"	""
"158"	"142"	"139"	"10"	"61"	"177"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"1"	"255"	"-"	"255"	""
"159"	"143"	"140"	"8"	"117"	"198"	"6"	"2"	"1"	"0"	"3"	"5"	"0"	"0"	"3"	"3"	"4"	"350"	"-"	"350"	""
"160"	"144"	"141"	"22"	"318"	"337"	"18"	"3"	"6"	"3"	"3"	"12"	"15"	"6"	"12"	"17"	"17"	"789"	"-"	"789"	""
"161"	"145"	"142"	"29"	"61"	"232"	"16"	"4"	"7"	"4"	"8"	"5"	"8"	"4"	"8"	"5"	"7"	"398"	"-"	"398"	""
"162"	"146"	"143"	"11"	"220"	"54"	"3"	"2"	"1"	"0"	"1"	"1"	"2"	"0"	"0"	"6"	"4"	"305"	"-"	"305"	""
"163"	"147"	"144"	"17"	"218"	"21"	"2"	"1"	"1"	"2"	"2"	"0"	"1"	"2"	"8"	"30"	"30"	"335"	"-"	"335"	""
"164"	"148"	"145"	"55"	"297"	"93"	"8"	"0"	"2"	"0"	"6"	"5"	"4"	"4"	"7"	"26"	"23"	"530"	"-"	"530"	""
"165"	"149"	"146"	"17"	"194"	"180"	"3"	"3"	"2"	"4"	"1"	"2"	"5"	"2"	"2"	"5"	"5"	"425"	"-"	"425"	""
"166"	"150"	"147"	"18"	"93"	"234"	"8"	"1"	"5"	"1"	"3"	"1"	"10"	"9"	"11"	"12"	"19"	"425"	"-"	"425"	""
"167"	"151"	"148"	"26"	"264"	"202"	"33"	"4"	"1"	"4"	"2"	"4"	"13"	"11"	"13"	"43"	"46"	"666"	"-"	"666"	""
"168"	"152"	"149"	"52"	"146"	"317"	"26"	"5"	"7"	"1"	"5"	"3"	"7"	"3"	"12"	"8"	"14"	"606"	"-"	"606"	""
"169"	"153"	"150"	"20"	"198"	"117"	"9"	"3"	"2"	"3"	"5"	"3"	"2"	"2"	"2"	"10"	"4"	"380"	"-"	"380"	""
"170"	"154"	"151"	"27"	"140"	"112"	"6"	"2"	"5"	"4"	"6"	"3"	"134"	"7"	"2"	"7"	"6"	"461"	"-"	"461"	""
"171"	"155"	"152"	"14"	"235"	"26"	"2"	"3"	"3"	"0"	"1"	"0"	"30"	"2"	"1"	"5"	"5"	"327"	"-"	"327"	""
"172"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"173"	""	""	"Ajay Kumar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahni"	"Kumari Sureshwari"	"Md.
Khursheed Alam"	"Durga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mukhiya"	"Abdur Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadur
Yadav"	"Prof. Hareram Acharya"	""	""	""	""
"174"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"175"	"156"	"153"	"6"	"39"	"0"	"1"	"0"	"1"	"3"	"2"	"8"	"258"	"5"	"2"	"3"	"7"	"335"	"-"	"335"	""
"176"	"157"	"154"	"4"	"27"	"33"	"6"	"0"	"1"	"3"	"2"	"4"	"163"	"14"	"5"	"10"	"14"	"286"	"-"	"286"	""
"177"	"158"	"155"	"4"	"189"	"31"	"4"	"0"	"1"	"2"	"6"	"4"	"90"	"8"	"8"	"30"	"28"	"405"	"-"	"405"	""
"178"	"159"	"156"	"45"	"234"	"186"	"17"	"2"	"9"	"7"	"3"	"6"	"4"	"7"	"7"	"145"	"15"	"687"	"-"	"687"	""
"179"	"160"	"157"	"57"	"85"	"287"	"21"	"4"	"2"	"3"	"0"	"1"	"2"	"0"	"5"	"6"	"12"	"485"	"-"	"485"	""
"180"	"161"	"158"	"29"	"70"	"250"	"9"	"2"	"2"	"1"	"1"	"2"	"9"	"2"	"9"	"11"	"9"	"406"	"-"	"406"	""
"181"	"162"	"159"	"23"	"49"	"293"	"4"	"5"	"1"	"1"	"2"	"1"	"2"	"0"	"4"	"4"	"3"	"392"	"-"	"392"	""
"182"	"163"	"160"	"16"	"127"	"501"	"13"	"5"	"7"	"6"	"11"	"13"	"16"	"5"	"22"	"23"	"14"	"779"	"-"	"779"	""
"183"	"164"	"161"	"11"	"221"	"67"	"2"	"1"	"0"	"1"	"3"	"1"	"3"	"1"	"3"	"34"	"8"	"356"	"-"	"356"	""
"184"	"165"	"162"	"19"	"338"	"50"	"2"	"0"	"1"	"3"	"5"	"0"	"5"	"7"	"1"	"18"	"17"	"466"	"-"	"466"	""
"185"	"166"	"163"	"83"	"196"	"225"	"20"	"11"	"22"	"10"	"10"	"7"	"9"	"4"	"7"	"11"	"10"	"625"	"-"	"625"	""
"186"	"167"	"164"	"41"	"461"	"12"	"1"	"4"	"2"	"0"	"2"	"2"	"2"	"2"	"0"	"10"	"8"	"547"	"-"	"547"	""
"187"	"168"	"165"	"36"	"252"	"240"	"12"	"4"	"4"	"3"	"5"	"13"	"8"	"7"	"7"	"29"	"41"	"661"	"-"	"661"	""
"188"	"169"	"166"	"44"	"299"	"180"	"17"	"4"	"4"	"4"	"5"	"2"	"6"	"5"	"3"	"58"	"12"	"643"	"-"	"643"	""
"189"	"170"	"167"	"19"	"174"	"150"	"8"	"9"	"2"	"3"	"3"	"4"	"4"	"4"	"1"	"8"	"8"	"397"	"-"	"397"	""
"190"	"171"	"168"	"34"	"193"	"220"	"10"	"4"	"7"	"2"	"6"	"9"	"14"	"4"	"11"	"39"	"31"	"584"	"-"	"584"	""
"191"	"172"	"169"	"11"	"339"	"152"	"17"	"4"	"2"	"5"	"5"	"5"	"5"	"2"	"6"	"9"	"6"	"568"	"-"	"568"	""
"192"	"173"	"170"	"21"	"367"	"117"	"6"	"1"	"4"	"1"	"3"	"1"	"10"	"6"	"5"	"23"	"19"	"584"	"-"	"584"	""
"193"	"174"	"171"	"32"	"132"	"152"	"2"	"2"	"6"	"2"	"3"	"2"	"7"	"0"	"7"	"17"	"10"	"374"	"-"	"374"	""
"194"	"175"	"172"	"16"	"61"	"109"	"9"	"3"	"2"	"3"	"2"	"1"	"5"	"1"	"9"	"12"	"10"	"243"	"-"	"243"	""
"195"	"176"	"173"	"7"	"55"	"223"	"4"	"1"	"0"	"1"	"1"	"1"	"2"	"5"	"6"	"10"	"16"	"332"	"-"	"332"	""
"196"	"177"	"174"	"13"	"21"	"190"	"16"	"2"	"1"	"1"	"1"	"1"	"5"	"3"	"4"	"5"	"8"	"271"	"-"	"271"	""
"197"	"178"	"175"	"38"	"98"	"121"	"12"	"5"	"3"	"3"	"6"	"4"	"5"	"6"	"7"	"30"	"20"	"358"	"-"	"358"	""
"198"	"179"	"176"	"22"	"39"	"230"	"7"	"4"	"5"	"2"	"0"	"5"	"9"	"2"	"16"	"4"	"15"	"360"	"-"	"360"	""
"199"	"180"	"177"	"25"	"233"	"66"	"3"	"2"	"2"	"0"	"1"	"2"	"11"	"0"	"0"	"1"	"2"	"348"	"-"	"348"	""
"200"	"181"	"178"	"21"	"205"	"88"	"8"	"2"	"4"	"3"	"1"	"4"	"4"	"0"	"1"	"7"	"3"	"351"	"-"	"351"	""
"201"	"Tot al  No.  of
vot es recording at  polling
St at ions"	""	"5418"	"28784"	"30884"	"1531"	"465"	"515"	"481"	"603"	"879"	"1666"	"594"	"1000"	"2063"	"2187"	"77070"	"-"	"77070"	""
"202"	"No.  of vot es recorded on post al  ballot
papers (To be elect ion  from  an assembly
const it uency)"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"-"	"Nil"	""
"203"	"Total Votes polled"	""	"5418"	"28784"	"30884"	"1531"	"465"	"515"	"481"	"603"	"879"	"1666"	"594"	"1000"	"2063"	"2187"	"77070"	"-"	"77070"	""
"204"	"Place :    DARBHANGA                                                                                                                                 Assistant  Returning Officer                                                                                                 Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"Date  :    16/ 05/ 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
