"TOTAL.NO.OF.ELECTORS.IN.98.SAHEBGANJ.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"200"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"201"	181	"176"	"202"	"4"	"4"	"2"	"0"	"0"	"1"	"1"	"7"	"4"	"4"	"405"	""	""	""
"202"	182	"109"	"184"	"6"	"1"	"9"	"1"	"0"	"0"	"5"	"10"	"5"	"15"	"345"	""	""	""
"203"	183	"86"	"241"	"5"	"7"	"9"	"5"	"5"	"2"	"4"	"6"	"8"	"14"	"392"	""	""	""
"204"	184	"109"	"267"	"8"	"7"	"7"	"3"	"5"	"3"	"0"	"6"	"4"	"5"	"424"	""	""	""
"205"	185	"171"	"94"	"3"	"9"	"1"	"0"	"3"	"0"	"0"	"3"	"1"	"0"	"285"	""	""	""
"206"	186	"158"	"181"	"2"	"2"	"8"	"4"	"7"	"35"	"10"	"10"	"9"	"18"	"444"	""	""	""
"207"	187	"45"	"158"	"19"	"3"	"1"	"2"	"1"	"4"	"0"	"2"	"1"	"2"	"238"	""	""	""
"208"	188	"96"	"23"	"19"	"3"	"3"	"4"	"3"	"5"	"0"	"5"	"0"	"1"	"162"	""	""	""
"209"	189	"153"	"377"	"2"	"6"	"0"	"1"	"1"	"0"	"0"	"1"	"2"	"2"	"545"	""	""	""
"210"	190	"0"	"513"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"515"	""	""	""
"211"	191	"30"	"346"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"381"	""	""	""
"212"	192	"60"	"283"	"4"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"353"	""	""	""
"213"	193	"549"	"16"	"0"	"1"	"0"	"0"	"1"	"7"	"0"	"1"	"0"	"1"	"576"	""	""	""
"214"	194	"309"	"86"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"403"	""	""	""
"215"	195	"218"	"59"	"3"	"1"	"0"	"1"	"1"	"0"	"2"	"0"	"2"	"3"	"290"	""	""	""
"216"	196	"7"	"380"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"390"	""	""	""
"217"	197	"479"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"493"	""	""	""
"218"	198	"72"	"286"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"2"	"3"	"367"	""	""	""
"219"	199	"92"	"253"	"8"	"2"	"3"	"2"	"0"	"3"	"2"	"8"	"4"	"4"	"381"	""	""	""
"220"	200	"110"	"70"	"9"	"2"	"2"	"3"	"2"	"2"	"0"	"0"	"1"	"3"	"204"	""	""	""
"221"	201	"265"	"191"	"32"	"7"	"8"	"2"	"3"	"6"	"2"	"5"	"5"	"5"	"531"	""	""	""
"222"	202	"240"	"104"	"5"	"1"	"5"	"0"	"0"	"2"	"2"	"4"	"1"	"3"	"367"	""	""	""
"223"	203	"254"	"124"	"8"	"7"	"6"	"3"	"1"	"2"	"6"	"12"	"9"	"26"	"458"	""	""	""
"224"	204	"141"	"110"	"4"	"0"	"7"	"0"	"0"	"1"	"1"	"3"	"3"	"9"	"279"	""	""	""
"225"	205	"108"	"41"	"8"	"14"	"3"	"3"	"3"	"1"	"2"	"5"	"6"	"3"	"197"	""	""	""
"226"	206	"87"	"154"	"20"	"5"	"8"	"4"	"3"	"2"	"3"	"19"	"12"	"11"	"328"	""	""	""
"227"	207	"204"	"371"	"5"	"8"	"3"	"0"	"0"	"1"	"1"	"5"	"5"	"4"	"607"	""	""	""
"228"	208	"220"	"191"	"14"	"9"	"10"	"4"	"2"	"1"	"6"	"12"	"5"	"12"	"486"	""	""	""
"229"	209	"10"	"549"	"29"	"1"	"3"	"0"	"1"	"2"	"0"	"6"	"3"	"7"	"611"	""	""	""
"230"	210	"69"	"614"	"2"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"4"	"693"	""	""	""
"231"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	212928	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"234"	211	"21"	"373"	"9"	"2"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"408"	""	""	""
"235"	212	"194"	"119"	"0"	"4"	"0"	"0"	"1"	"0"	"0"	"2"	"5"	"5"	"330"	""	""	""
"236"	213	"25"	"319"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"353"	""	""	""
"237"	214	"121"	"343"	"16"	"2"	"1"	"0"	"0"	"0"	"2"	"3"	"3"	"6"	"497"	""	""	""
"238"	215	"264"	"250"	"9"	"8"	"3"	"1"	"0"	"0"	"1"	"0"	"5"	"7"	"548"	""	""	""
"239"	216	"61"	"556"	"4"	"4"	"1"	"2"	"0"	"0"	"0"	"2"	"3"	"12"	"645"	""	""	""
"240"	217	"49"	"96"	"11"	"1"	"5"	"0"	"1"	"20"	"0"	"5"	"1"	"1"	"190"	""	""	""
"241"	218	"26"	"274"	"3"	"7"	"1"	"0"	"0"	"10"	"0"	"6"	"3"	"2"	"332"	""	""	""
"242"	219	"210"	"92"	"6"	"5"	"3"	"1"	"0"	"1"	"0"	"0"	"3"	"5"	"326"	""	""	""
"243"	220	"52"	"152"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"3"	"2"	"1"	"215"	""	""	""
"244"	221	"125"	"167"	"2"	"1"	"1"	"2"	"2"	"0"	"0"	"8"	"5"	"19"	"332"	""	""	""
"245"	222	"138"	"162"	"16"	"5"	"4"	"0"	"1"	"0"	"1"	"4"	"6"	"7"	"344"	""	""	""
"246"	223	"189"	"131"	"16"	"25"	"3"	"5"	"1"	"5"	"2"	"4"	"7"	"17"	"405"	""	""	""
"247"	224	"267"	"316"	"14"	"30"	"5"	"1"	"2"	"2"	"1"	"3"	"13"	"25"	"679"	""	""	""
"248"	225	"29"	"495"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"530"	""	""	""
"249"	226	"25"	"336"	"3"	"2"	"1"	"2"	"0"	"0"	"1"	"6"	"4"	"5"	"385"	""	""	""
"250"	227	"177"	"466"	"2"	"3"	"4"	"4"	"0"	"0"	"0"	"4"	"10"	"6"	"676"	""	""	""
"251"	228	"168"	"138"	"1"	"4"	"4"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"319"	""	""	""
"252"	229	"130"	"88"	"10"	"3"	"3"	"2"	"1"	"1"	"2"	"4"	"8"	"19"	"271"	""	""	""
"253"	230	"285"	"49"	"11"	"2"	"1"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"352"	""	""	""
"254"	231	"67"	"30"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"103"	""	""	""
"255"	232	"117"	"28"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"154"	""	""	""
"256"	233	"235"	"44"	"5"	"31"	"3"	"2"	"3"	"1"	"1"	"0"	"2"	"7"	"334"	""	""	""
"257"	234	"82"	"69"	"1"	"4"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"162"	""	""	""
"258"	235	"155"	"324"	"15"	"4"	"2"	"2"	"6"	"2"	"2"	"14"	"7"	"10"	"543"	""	""	""
"259"	236	"200"	"152"	"32"	"12"	"9"	"3"	"3"	"7"	"3"	"11"	"7"	"22"	"461"	""	""	""
"260"	237	"299"	"151"	"1"	"3"	"2"	"3"	"0"	"1"	"1"	"3"	"1"	"6"	"471"	""	""	""
"261"	238	"403"	"80"	"14"	"3"	"3"	"0"	"3"	"0"	"0"	"1"	"2"	"4"	"513"	""	""	""
"262"	239	"419"	"110"	"8"	"3"	"4"	"2"	"1"	"2"	"2"	"4"	"6"	"20"	"581"	""	""	""
"263"	240	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""
"264"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	212928	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"267"	241	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""
"268"	242	"418"	"87"	"7"	"7"	"4"	"0"	"2"	"1"	"2"	"3"	"0"	"1"	"532"	""	""	""
"269"	243	"326"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"9"	"347"	""	""	""
"270"	244	"281"	"24"	"6"	"2"	"0"	"2"	"0"	"0"	"1"	"2"	"1"	"5"	"324"	""	""	""
"271"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	NA	""	""	""	""	""	""	""	""	"100170"	""	""	""	""	""	""	""
"275"	NA	""	""	""	""	""	""	""	""	"100170"	""	""	""	""	""	""	""
