"TOTAL.NO.OF.ELECTORS.IN.95.KANTI.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"200"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"201"	181	"165"	"190"	"119"	"17"	"3"	"4"	"4"	"5"	"1"	"7"	"4"	"13"	"532"	""	""	""
"202"	182	"182"	"168"	"23"	"19"	"3"	"2"	"1"	"3"	"3"	"5"	"13"	"44"	"466"	""	""	""
"203"	183	"284"	"55"	"22"	"20"	"3"	"1"	"4"	"1"	"2"	"4"	"3"	"26"	"425"	""	""	""
"204"	184	"242"	"55"	"23"	"38"	"4"	"1"	"0"	"1"	"4"	"3"	"15"	"11"	"397"	""	""	""
"205"	185	"112"	"21"	"51"	"32"	"3"	"1"	"1"	"0"	"2"	"0"	"2"	"6"	"231"	""	""	""
"206"	186	"271"	"31"	"4"	"12"	"0"	"1"	"0"	"0"	"1"	"2"	"6"	"9"	"337"	""	""	""
"207"	187	"450"	"128"	"45"	"22"	"4"	"2"	"7"	"5"	"2"	"7"	"3"	"10"	"685"	""	""	""
"208"	188	"236"	"185"	"9"	"7"	"2"	"1"	"2"	"1"	"2"	"3"	"5"	"8"	"461"	""	""	""
"209"	189	"207"	"174"	"2"	"6"	"3"	"1"	"1"	"2"	"1"	"8"	"16"	"22"	"443"	""	""	""
"210"	190	"319"	"313"	"58"	"10"	"2"	"2"	"3"	"2"	"2"	"7"	"14"	"36"	"768"	""	""	""
"211"	191	"175"	"162"	"1"	"24"	"4"	"4"	"1"	"0"	"1"	"2"	"16"	"19"	"409"	""	""	""
"212"	192	"157"	"330"	"8"	"3"	"3"	"2"	"2"	"2"	"2"	"5"	"8"	"7"	"529"	""	""	""
"213"	193	"184"	"114"	"5"	"6"	"4"	"1"	"1"	"3"	"4"	"3"	"96"	"33"	"454"	""	""	""
"214"	194	"167"	"177"	"6"	"8"	"4"	"4"	"2"	"4"	"1"	"8"	"128"	"6"	"515"	""	""	""
"215"	195	"102"	"317"	"15"	"11"	"6"	"1"	"3"	"0"	"0"	"7"	"22"	"6"	"490"	""	""	""
"216"	196	"343"	"314"	"8"	"14"	"7"	"10"	"8"	"0"	"4"	"3"	"6"	"5"	"722"	""	""	""
"217"	197	"394"	"213"	"4"	"2"	"6"	"6"	"0"	"1"	"0"	"5"	"7"	"16"	"654"	""	""	""
"218"	198	"73"	"135"	"0"	"6"	"2"	"0"	"0"	"0"	"1"	"0"	"3"	"2"	"222"	""	""	""
"219"	199	"324"	"287"	"3"	"23"	"8"	"5"	"2"	"3"	"5"	"6"	"9"	"21"	"696"	""	""	""
"220"	200	"124"	"74"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"6"	"217"	""	""	""
"221"	201	"410"	"260"	"6"	"12"	"5"	"3"	"5"	"3"	"3"	"5"	"10"	"25"	"747"	""	""	""
"222"	202	"99"	"140"	"144"	"10"	"5"	"2"	"0"	"1"	"2"	"3"	"7"	"14"	"427"	""	""	""
"223"	203	"282"	"145"	"210"	"21"	"10"	"2"	"8"	"5"	"4"	"10"	"13"	"23"	"733"	""	""	""
"224"	204	"261"	"103"	"79"	"4"	"0"	"2"	"3"	"3"	"2"	"4"	"6"	"14"	"481"	""	""	""
"225"	205	"317"	"167"	"108"	"15"	"6"	"4"	"4"	"2"	"7"	"7"	"10"	"28"	"675"	""	""	""
"226"	206	"85"	"29"	"3"	"0"	"0"	"0"	"1"	"2"	"0"	"2"	"1"	"3"	"126"	""	""	""
"227"	207	"213"	"211"	"12"	"8"	"5"	"4"	"5"	"2"	"4"	"15"	"15"	"46"	"540"	""	""	""
"228"	208	"312"	"251"	"57"	"8"	"1"	"1"	"4"	"2"	"1"	"4"	"7"	"17"	"665"	""	""	""
"229"	209	"330"	"240"	"7"	"4"	"2"	"2"	"1"	"2"	"5"	"4"	"7"	"14"	"618"	""	""	""
"230"	210	"298"	"278"	"11"	"2"	"4"	"2"	"4"	"2"	"0"	"4"	"7"	"13"	"625"	""	""	""
"231"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	208580	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"234"	211	"346"	"317"	"13"	"6"	"2"	"5"	"2"	"2"	"1"	"2"	"1"	"3"	"700"	""	""	""
"235"	212	"398"	"170"	"3"	"12"	"3"	"7"	"4"	"3"	"2"	"1"	"1"	"11"	"615"	""	""	""
"236"	213	"168"	"42"	"1"	"8"	"2"	"0"	"1"	"0"	"0"	"2"	"4"	"6"	"234"	""	""	""
"237"	214	"327"	"182"	"7"	"4"	"9"	"7"	"2"	"4"	"1"	"3"	"12"	"18"	"576"	""	""	""
"238"	215	"373"	"60"	"3"	"4"	"2"	"1"	"1"	"2"	"1"	"2"	"3"	"8"	"460"	""	""	""
"239"	216	"161"	"108"	"2"	"6"	"3"	"0"	"2"	"1"	"5"	"5"	"2"	"16"	"311"	""	""	""
"240"	217	"322"	"191"	"2"	"1"	"2"	"1"	"0"	"0"	"1"	"4"	"0"	"5"	"529"	""	""	""
"241"	218	"157"	"259"	"16"	"12"	"5"	"4"	"1"	"4"	"1"	"15"	"8"	"11"	"493"	""	""	""
"242"	219	"275"	"167"	"27"	"9"	"3"	"3"	"3"	"4"	"5"	"7"	"13"	"18"	"534"	""	""	""
"243"	220	"210"	"580"	"82"	"6"	"5"	"1"	"5"	"2"	"2"	"7"	"6"	"5"	"911"	""	""	""
"244"	221	"64"	"330"	"5"	"6"	"3"	"1"	"0"	"1"	"2"	"11"	"3"	"5"	"431"	""	""	""
"245"	222	"196"	"240"	"12"	"10"	"2"	"3"	"1"	"0"	"4"	"7"	"5"	"13"	"493"	""	""	""
"246"	223	"120"	"73"	"29"	"6"	"1"	"1"	"2"	"3"	"2"	"3"	"2"	"7"	"249"	""	""	""
"247"	224	"289"	"159"	"8"	"17"	"5"	"2"	"2"	"2"	"4"	"4"	"1"	"7"	"500"	""	""	""
"248"	225	"422"	"161"	"10"	"3"	"5"	"1"	"3"	"6"	"3"	"6"	"2"	"10"	"632"	""	""	""
"249"	226	"197"	"205"	"11"	"4"	"2"	"7"	"2"	"1"	"0"	"4"	"5"	"3"	"441"	""	""	""
"250"	227	"273"	"139"	"11"	"4"	"2"	"0"	"1"	"1"	"4"	"4"	"6"	"18"	"463"	""	""	""
"251"	228	"227"	"97"	"27"	"6"	"4"	"3"	"5"	"1"	"1"	"8"	"3"	"15"	"397"	""	""	""
"252"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	NA	""	""	""	""	""	""	""	""	"108509"	""	""	""	""	""	""	""
"256"	NA	""	""	""	""	""	""	""	""	"108509"	""	""	""	""	""	""	""
