"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations) Election of the HOUSE OF PEOPLE From the 14 - DARBHANGA PARLIAMENTARY Constituency PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used for Parliamentary and Assembly elections) Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…82 DARBHANGA RURAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of electors in Assembly constituency / Segment  : 218797"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"154"	"137"	"136"	"12"	"229"	"165"	"8"	"1"	"1"	"4"	"2"	"10"	"5"	"7"	"11"	"15"	"15"	"485"	"-"	"485"	""
"155"	"138"	"137"	"13"	"249"	"173"	"2"	"3"	"5"	"2"	"2"	"3"	"3"	"5"	"11"	"10"	"9"	"490"	"-"	"490"	""
"156"	"139"	"138"	"28"	"160"	"205"	"9"	"6"	"4"	"4"	"7"	"2"	"3"	"7"	"7"	"147"	"22"	"611"	"-"	"611"	""
"157"	"140"	"139"	"43"	"198"	"227"	"17"	"6"	"7"	"5"	"6"	"6"	"9"	"9"	"19"	"91"	"42"	"685"	"-"	"685"	""
"158"	"141"	"140"	"45"	"200"	"305"	"21"	"2"	"3"	"4"	"6"	"3"	"8"	"9"	"19"	"24"	"17"	"666"	"-"	"666"	""
"159"	"142"	"141"	"56"	"90"	"454"	"1"	"1"	"3"	"0"	"4"	"0"	"1"	"1"	"1"	"35"	"2"	"649"	"-"	"649"	""
"160"	"143"	"142"	"36"	"131"	"227"	"5"	"3"	"0"	"3"	"2"	"1"	"1"	"1"	"2"	"28"	"3"	"443"	"-"	"443"	""
"161"	"144"	"143"	"44"	"105"	"348"	"14"	"7"	"6"	"3"	"2"	"4"	"3"	"4"	"6"	"13"	"9"	"568"	"-"	"568"	""
"162"	"145"	"144"	"45"	"123"	"236"	"11"	"3"	"3"	"0"	"3"	"19"	"3"	"6"	"7"	"7"	"9"	"475"	"-"	"475"	""
"163"	"146"	"145"	"28"	"57"	"160"	"11"	"3"	"3"	"6"	"1"	"1"	"1"	"4"	"6"	"14"	"15"	"310"	"-"	"310"	""
"164"	"147"	"146"	"18"	"86"	"187"	"7"	"4"	"0"	"2"	"4"	"3"	"3"	"9"	"11"	"14"	"47"	"395"	"-"	"395"	""
"165"	"148"	"147"	"17"	"225"	"161"	"3"	"4"	"3"	"2"	"4"	"5"	"5"	"1"	"3"	"5"	"10"	"448"	"-"	"448"	""
"166"	"149"	"148"	"9"	"530"	"35"	"2"	"3"	"1"	"0"	"2"	"11"	"5"	"3"	"1"	"4"	"4"	"610"	"-"	"610"	""
"167"	"150"	"149"	"21"	"194"	"54"	"2"	"5"	"1"	"1"	"1"	"2"	"0"	"0"	"5"	"7"	"4"	"297"	"-"	"297"	""
"168"	"151"	"150"	"25"	"140"	"167"	"4"	"1"	"3"	"5"	"0"	"6"	"6"	"4"	"6"	"18"	"13"	"398"	"-"	"398"	""
"169"	"152"	"151"	"29"	"174"	"163"	"9"	"8"	"3"	"10"	"14"	"45"	"7"	"4"	"6"	"29"	"9"	"510"	"-"	"510"	""
"170"	"153"	"152"	"22"	"74"	"170"	"5"	"1"	"2"	"2"	"2"	"5"	"3"	"5"	"11"	"14"	"15"	"331"	"-"	"331"	""
"171"	"154"	"153"	"14"	"191"	"120"	"12"	"1"	"3"	"4"	"1"	"2"	"0"	"1"	"7"	"19"	"8"	"383"	"-"	"383"	""
"172"	"155"	"154"	"4"	"0"	"32"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"42"	"-"	"42"	""
"173"	"156"	"155"	"2"	"3"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"38"	"-"	"38"	""
"174"	"157"	"156"	"0"	"13"	"5"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"21"	"-"	"21"	""
"175"	"158"	"157"	"14"	"152"	"10"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"-"	"179"	""
"176"	"159"	"158"	"33"	"209"	"94"	"4"	"1"	"4"	"6"	"4"	"6"	"2"	"2"	"4"	"22"	"7"	"398"	"-"	"398"	""
"177"	"160"	"159"	"49"	"181"	"34"	"2"	"2"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"1"	"1"	"274"	"-"	"274"	""
"178"	"161"	"160"	"16"	"99"	"242"	"6"	"3"	"2"	"1"	"3"	"11"	"5"	"0"	"4"	"3"	"9"	"404"	"-"	"404"	""
"179"	"162"	"161"	"9"	"28"	"263"	"7"	"2"	"3"	"3"	"3"	"42"	"10"	"3"	"4"	"7"	"10"	"394"	"-"	"394"	""
"180"	"163"	"162"	"13"	"70"	"138"	"4"	"7"	"4"	"1"	"2"	"22"	"1"	"4"	"0"	"3"	"2"	"271"	"-"	"271"	""
"181"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"182"	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahani"	"Ku mari Su reshwari"	"Md.
Khu rsheed Alam"	"Du rga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	"Prof. Hareram Acharya"	""	""	""	""
"183"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"184"	"164"	"163"	"9"	"259"	"49"	"7"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"8"	"2"	"339"	"-"	"339"	""
"185"	"165"	"164"	"29"	"78"	"194"	"10"	"6"	"6"	"3"	"8"	"4"	"8"	"6"	"5"	"5"	"15"	"377"	"-"	"377"	""
"186"	"166"	"165"	"43"	"27"	"386"	"22"	"1"	"4"	"1"	"2"	"5"	"7"	"5"	"16"	"8"	"35"	"562"	"-"	"562"	""
"187"	"167"	"166"	"32"	"111"	"135"	"9"	"1"	"1"	"1"	"1"	"7"	"3"	"0"	"4"	"12"	"6"	"323"	"-"	"323"	""
"188"	"168"	"167"	"13"	"11"	"640"	"6"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"2"	"0"	"678"	"-"	"678"	""
"189"	"169"	"168"	"24"	"21"	"288"	"1"	"0"	"1"	"2"	"1"	"3"	"1"	"3"	"1"	"0"	"5"	"351"	"-"	"351"	""
"190"	"170"	"169"	"23"	"72"	"346"	"2"	"2"	"2"	"0"	"1"	"2"	"2"	"3"	"7"	"9"	"5"	"476"	"-"	"476"	""
"191"	"171"	"170"	"10"	"302"	"13"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"5"	"4"	"336"	"-"	"336"	""
"192"	"172"	"171"	"17"	"166"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"9"	"9"	"209"	"-"	"209"	""
"193"	"173"	"172"	"11"	"269"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"284"	"-"	"284"	""
"194"	"174"	"173"	"10"	"226"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"7"	"3"	"249"	"-"	"249"	""
"195"	"175"	"174"	"13"	"205"	"2"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"2"	"6"	"2"	"235"	"-"	"235"	""
"196"	"176"	"175"	"35"	"242"	"198"	"13"	"2"	"5"	"2"	"3"	"3"	"1"	"2"	"7"	"6"	"2"	"521"	"-"	"521"	""
"197"	"177"	"176"	"64"	"62"	"70"	"1"	"1"	"1"	"1"	"0"	"5"	"0"	"2"	"3"	"8"	"2"	"220"	"-"	"220"	""
"198"	"178"	"177"	"12"	"79"	"90"	"6"	"2"	"1"	"0"	"1"	"2"	"2"	"2"	"3"	"15"	"5"	"220"	"-"	"220"	""
"199"	"179"	"178"	"6"	"255"	"45"	"1"	"1"	"0"	"5"	"0"	"77"	"4"	"1"	"0"	"23"	"4"	"422"	"-"	"422"	""
"200"	"180"	"179"	"30"	"309"	"15"	"0"	"1"	"2"	"1"	"2"	"21"	"0"	"0"	"4"	"14"	"8"	"407"	"-"	"407"	""
"201"	"181"	"180"	"41"	"280"	"73"	"11"	"5"	"6"	"7"	"8"	"8"	"0"	"4"	"8"	"25"	"15"	"491"	"-"	"491"	""
"202"	"182"	"181"	"18"	"150"	"24"	"1"	"1"	"0"	"0"	"3"	"8"	"3"	"6"	"4"	"28"	"19"	"265"	"-"	"265"	""
"203"	"183"	"182"	"39"	"149"	"71"	"14"	"2"	"1"	"1"	"3"	"9"	"3"	"6"	"1"	"10"	"8"	"317"	"-"	"317"	""
"204"	"184"	"183"	"11"	"506"	"48"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"571"	"-"	"571"	""
"205"	"185"	"184"	"55"	"252"	"231"	"2"	"7"	"5"	"10"	"6"	"37"	"4"	"5"	"6"	"9"	"7"	"636"	"-"	"636"	""
"206"	"186"	"185"	"41"	"57"	"124"	"2"	"2"	"2"	"1"	"1"	"7"	"8"	"0"	"2"	"3"	"7"	"257"	"-"	"257"	""
"207"	"187"	"186"	"33"	"50"	"171"	"6"	"1"	"0"	"1"	"3"	"15"	"3"	"1"	"5"	"0"	"3"	"292"	"-"	"292"	""
"208"	"188"	"187"	"19"	"48"	"142"	"4"	"2"	"5"	"5"	"6"	"48"	"1"	"4"	"13"	"8"	"12"	"317"	"-"	"317"	""
"209"	"189"	"188"	"87"	"64"	"98"	"4"	"7"	"0"	"8"	"7"	"76"	"2"	"2"	"9"	"1"	"5"	"370"	"-"	"370"	""
"210"	"190"	"189"	"18"	"186"	"27"	"3"	"0"	"0"	"0"	"6"	"4"	"0"	"4"	"1"	"5"	"3"	"257"	"-"	"257"	""
"211"	"191"	"190"	"27"	"110"	"99"	"12"	"1"	"4"	"1"	"2"	"21"	"1"	"2"	"5"	"11"	"8"	"304"	"-"	"304"	""
"212"	"192"	"191"	"118"	"25"	"149"	"14"	"1"	"2"	"2"	"1"	"13"	"2"	"0"	"1"	"4"	"3"	"335"	"-"	"335"	""
"213"	"193"	"192"	"64"	"48"	"124"	"0"	"0"	"1"	"1"	"2"	"6"	"3"	"2"	"1"	"4"	"5"	"261"	"-"	"261"	""
"214"	"194"	"193"	"40"	"20"	"165"	"5"	"0"	"0"	"1"	"0"	"3"	"1"	"2"	"4"	"6"	"7"	"254"	"-"	"254"	""
"215"	"195"	"194"	"50"	"227"	"100"	"5"	"4"	"3"	"3"	"0"	"2"	"4"	"4"	"5"	"12"	"18"	"437"	"-"	"437"	""
"216"	"196"	"195"	"108"	"121"	"126"	"6"	"1"	"2"	"6"	"7"	"31"	"2"	"3"	"9"	"9"	"7"	"438"	"-"	"438"	""
"217"	"197"	"196"	"61"	"165"	"77"	"5"	"4"	"6"	"3"	"2"	"20"	"1"	"8"	"10"	"16"	"26"	"404"	"-"	"404"	""
"218"	"198"	"197"	"82"	"119"	"150"	"11"	"6"	"5"	"2"	"4"	"12"	"2"	"1"	"3"	"12"	"6"	"415"	"-"	"415"	""
"219"	"199"	"198"	"37"	"240"	"218"	"8"	"4"	"2"	"0"	"6"	"8"	"2"	"3"	"2"	"8"	"10"	"548"	"-"	"548"	""
"220"	"200"	"199"	"34"	"121"	"188"	"8"	"4"	"3"	"5"	"1"	"53"	"5"	"1"	"4"	"4"	"5"	"436"	"-"	"436"	""
"221"	"201"	"200"	"42"	"201"	"130"	"3"	"2"	"4"	"5"	"4"	"19"	"2"	"2"	"4"	"5"	"8"	"431"	"-"	"431"	""
"222"	"202"	"201"	"53"	"73"	"209"	"2"	"0"	"1"	"1"	"6"	"11"	"1"	"1"	"4"	"6"	"12"	"380"	"-"	"380"	""
"223"	"203"	"202"	"43"	"178"	"71"	"4"	"2"	"3"	"3"	"0"	"35"	"0"	"3"	"0"	"8"	"12"	"362"	"-"	"362"	""
"224"	"204"	"203"	"36"	"3"	"165"	"1"	"2"	"0"	"1"	"2"	"23"	"1"	"1"	"4"	"0"	"2"	"241"	"-"	"241"	""
"225"	"205"	"204"	"34"	"83"	"59"	"2"	"3"	"3"	"2"	"2"	"12"	"2"	"1"	"3"	"3"	"2"	"211"	"-"	"211"	""
"226"	"206"	"205"	"12"	"166"	"106"	"2"	"1"	"0"	"0"	"1"	"0"	"2"	"1"	"2"	"3"	"2"	"298"	"-"	"298"	""
"227"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"228"	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahani"	"Ku mari Su reshwari"	"Md.
Khu rsheed Alam"	"Du rga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	"Prof. Hareram Acharya"	""	""	""	""
"229"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"230"	"207"	"206"	"26"	"153"	"233"	"7"	"4"	"3"	"5"	"2"	"2"	"3"	"3"	"12"	"13"	"10"	"476"	"-"	"476"	""
"231"	"208"	"207"	"22"	"209"	"216"	"9"	"6"	"0"	"6"	"4"	"5"	"2"	"9"	"14"	"13"	"14"	"529"	"-"	"529"	""
"232"	"209"	"208"	"40"	"149"	"273"	"7"	"3"	"4"	"5"	"2"	"7"	"6"	"1"	"4"	"4"	"3"	"508"	"-"	"508"	""
"233"	"210"	"209"	"33"	"77"	"235"	"12"	"6"	"4"	"5"	"1"	"5"	"3"	"0"	"0"	"3"	"5"	"389"	"-"	"389"	""
"234"	"211"	"210"	"33"	"193"	"105"	"8"	"6"	"2"	"6"	"4"	"1"	"5"	"3"	"9"	"18"	"20"	"413"	"-"	"413"	""
"235"	"212"	"211"	"21"	"11"	"217"	"2"	"1"	"1"	"2"	"0"	"0"	"1"	"2"	"3"	"3"	"2"	"266"	"-"	"266"	""
"236"	"213"	"212"	"13"	"24"	"183"	"4"	"2"	"1"	"2"	"3"	"1"	"0"	"2"	"1"	"4"	"3"	"243"	"-"	"243"	""
"237"	"214"	"213"	"26"	"78"	"177"	"15"	"8"	"6"	"2"	"5"	"4"	"4"	"4"	"2"	"8"	"5"	"344"	"-"	"344"	""
"238"	"215"	"214"	"15"	"52"	"164"	"5"	"1"	"1"	"1"	"0"	"2"	"1"	"0"	"1"	"5"	"1"	"249"	"-"	"249"	""
"239"	"216"	"215"	"12"	"13"	"250"	"4"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"1"	"286"	"-"	"286"	""
"240"	"217"	"216"	"25"	"18"	"302"	"13"	"5"	"3"	"7"	"2"	"2"	"5"	"3"	"14"	"7"	"8"	"414"	"-"	"414"	""
"241"	"218"	"217"	"40"	"211"	"204"	"16"	"2"	"1"	"8"	"6"	"1"	"5"	"2"	"6"	"7"	"3"	"512"	"-"	"512"	""
"242"	"219"	"218"	"24"	"70"	"317"	"18"	"3"	"3"	"5"	"2"	"3"	"6"	"8"	"11"	"10"	"12"	"492"	"-"	"492"	""
"243"	"220"	"219"	"27"	"31"	"403"	"16"	"5"	"3"	"7"	"5"	"5"	"4"	"6"	"9"	"1"	"13"	"535"	"-"	"535"	""
"244"	"221"	"220"	"52"	"312"	"148"	"6"	"3"	"5"	"1"	"3"	"2"	"7"	"7"	"8"	"11"	"13"	"578"	"-"	"578"	""
"245"	"222"	"221"	"43"	"382"	"77"	"9"	"1"	"2"	"2"	"3"	"17"	"6"	"9"	"14"	"30"	"34"	"629"	"-"	"629"	""
"246"	"Total No. of votes recording at  polling Stat ions"	""	"7193"	"33045"	"34605"	"1329"	"480"	"514"	"523"	"561"	"2068"	"635"	"627"	"1152"	"1928"	"2120"	"86780"	"-"	"86780"	""
"247"	"No. of votes recorded on  postal ballot  papers (To be elect ion  from  an assembly
const ituency)"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"-"	"Nil"	""
"248"	"Total Votes polled"	""	"7193"	"33045"	"34605"	"1329"	"480"	"514"	"523"	"561"	"2068"	"635"	"627"	"1152"	"1928"	"2120"	"86780"	"-"	"86780"	""
"249"	"Place :    DARBHANGA                                                                                                                                                    Assistant  Ret urning Officer                                                                                                     Ret urning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"Date  :    16/ 05/ 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
