"X1.FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"211"	"129"	"16"	"6"	"139"	"304"	"19"	"9"	"11"	"23"	"15"	"14"	"20"	"576"	""	""
"212"	"130"	"16"	"6"	"90"	"368"	"6"	"4"	"6"	"18"	"7"	"1"	"4"	"526"	""	""
"213"	"131"	"7"	"2"	"34"	"186"	"3"	"1"	"1"	"2"	"0"	"1"	"3"	"240"	""	""
"214"	"132"	"8"	"2"	"61"	"171"	"29"	"2"	"4"	"5"	"1"	"2"	"1"	"286"	""	""
"215"	"133"	"15"	"4"	"131"	"62"	"5"	"3"	"6"	"3"	"5"	"1"	"5"	"240"	""	""
"216"	"134"	"11"	"2"	"158"	"26"	"10"	"4"	"0"	"4"	"11"	"6"	"8"	"240"	""	""
"217"	"135"	"24"	"18"	"284"	"109"	"18"	"7"	"6"	"15"	"26"	"22"	"17"	"546"	""	""
"218"	"136"	"12"	"4"	"44"	"131"	"4"	"4"	"4"	"14"	"2"	"3"	"3"	"225"	""	""
"219"	"137"	"2"	"0"	"76"	"246"	"11"	"1"	"1"	"12"	"2"	"3"	"1"	"355"	""	""
"220"	"138"	"6"	"2"	"101"	"202"	"5"	"2"	"3"	"8"	"0"	"3"	"4"	"336"	""	""
"221"	"139"	"17"	"3"	"20"	"317"	"9"	"0"	"2"	"8"	"0"	"2"	"6"	"384"	""	""
"222"	"140"	"26"	"10"	"297"	"64"	"7"	"3"	"6"	"4"	"22"	"16"	"22"	"477"	""	""
"223"	"Total No. of Votes"	"189"	"65"	"1693"	"2720"	"144"	"47"	"57"	"135"	"108"	"92"	"122"	"5372"	""	""
"224"	"Grand Total"	"2247"	"447"	"19260"	"24749"	"1997"	"437"	"715"	"1399"	"1014"	"748"	"1484"	"54497"	""	""
"225"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"226"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"227"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"228"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendere"
"229"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"230"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d votes"
"231"	"141"	"9"	"1"	"105"	"163"	"14"	"4"	"1"	"9"	"6"	"4"	"12"	"328"	""	""
"232"	"142"	"4"	"1"	"26"	"267"	"4"	"0"	"8"	"6"	"2"	"3"	"5"	"326"	""	""
"233"	"143"	"12"	"1"	"73"	"59"	"1"	"3"	"2"	"7"	"4"	"4"	"1"	"167"	""	""
"234"	"144"	"39"	"4"	"138"	"267"	"21"	"4"	"6"	"24"	"6"	"7"	"8"	"524"	""	""
"235"	"145"	"32"	"2"	"153"	"56"	"23"	"3"	"1"	"1"	"10"	"6"	"13"	"300"	""	""
"236"	"146"	"27"	"6"	"74"	"284"	"35"	"1"	"15"	"30"	"11"	"8"	"16"	"507"	""	""
"237"	"147"	"8"	"2"	"93"	"196"	"12"	"3"	"3"	"9"	"5"	"7"	"6"	"344"	""	""
"238"	"148"	"13"	"3"	"177"	"99"	"6"	"1"	"3"	"11"	"12"	"13"	"8"	"346"	""	""
"239"	"149"	"17"	"10"	"86"	"308"	"89"	"4"	"6"	"20"	"11"	"7"	"21"	"579"	""	""
"240"	"150"	"29"	"8"	"289"	"125"	"41"	"9"	"8"	"10"	"28"	"7"	"25"	"579"	""	""
"241"	"151"	"4"	"1"	"191"	"205"	"8"	"5"	"3"	"19"	"10"	"7"	"13"	"466"	""	""
"242"	"152"	"13"	"6"	"187"	"160"	"15"	"3"	"7"	"7"	"14"	"12"	"32"	"456"	""	""
"243"	"153"	"4"	"1"	"70"	"55"	"0"	"2"	"2"	"3"	"7"	"11"	"15"	"170"	""	""
"244"	"154"	"3"	"1"	"37"	"367"	"3"	"0"	"5"	"6"	"0"	"2"	"1"	"425"	""	""
"245"	"Total No. of Votes"	"214"	"47"	"1699"	"2611"	"272"	"42"	"70"	"162"	"126"	"98"	"176"	"5517"	""	""
"246"	"Grand Total"	"2461"	"494"	"20959"	"27360"	"2269"	"479"	"785"	"1561"	"1140"	"846"	"1660"	"60014"	""	""
"247"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"248"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"249"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"250"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendere"
"251"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"252"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d votes"
"253"	"155"	"17"	"1"	"71"	"132"	"5"	"3"	"3"	"5"	"2"	"3"	"5"	"247"	""	""
"254"	"156"	"18"	"4"	"277"	"99"	"7"	"5"	"3"	"12"	"8"	"9"	"8"	"450"	""	""
"255"	"157"	"34"	"2"	"176"	"84"	"9"	"6"	"5"	"4"	"12"	"8"	"23"	"363"	""	""
"256"	"158"	"11"	"3"	"118"	"180"	"6"	"3"	"2"	"15"	"9"	"0"	"9"	"356"	""	""
"257"	"158A"	"20"	"8"	"99"	"185"	"6"	"1"	"2"	"8"	"2"	"7"	"4"	"342"	""	""
"258"	"159"	"6"	"1"	"173"	"73"	"5"	"3"	"0"	"5"	"13"	"6"	"15"	"300"	""	""
"259"	"160"	"5"	"0"	"216"	"57"	"7"	"0"	"4"	"4"	"5"	"3"	"10"	"311"	""	""
"260"	"161"	"15"	"6"	"326"	"163"	"10"	"3"	"6"	"8"	"21"	"11"	"15"	"584"	""	""
"261"	"162"	"6"	"8"	"278"	"105"	"4"	"1"	"1"	"2"	"1"	"2"	"2"	"410"	""	""
"262"	"163"	"8"	"10"	"128"	"45"	"11"	"4"	"2"	"7"	"12"	"7"	"10"	"244"	""	""
"263"	"164"	"2"	"2"	"202"	"43"	"3"	"1"	"0"	"0"	"2"	"0"	"0"	"255"	""	""
"264"	"165"	"3"	"3"	"139"	"288"	"13"	"3"	"8"	"16"	"5"	"1"	"8"	"487"	""	""
"265"	"166"	"8"	"2"	"285"	"148"	"3"	"2"	"7"	"9"	"10"	"5"	"22"	"501"	""	""
"266"	"167"	"5"	"1"	"96"	"207"	"10"	"1"	"2"	"19"	"9"	"2"	"6"	"358"	""	""
"267"	"Total No. of Votes"	"158"	"51"	"2584"	"1809"	"99"	"36"	"45"	"114"	"111"	"64"	"137"	"5208"	""	""
"268"	"Grand Total"	"2619"	"545"	"23543"	"29169"	"2368"	"515"	"830"	"1675"	"1251"	"910"	"1797"	"65222"	""	""
"269"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"270"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"271"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"272"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendere"
"273"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"274"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d votes"
"275"	"168"	"11"	"4"	"339"	"204"	"10"	"7"	"4"	"6"	"10"	"4"	"11"	"610"	""	""
"276"	"169"	"19"	"3"	"122"	"262"	"7"	"6"	"2"	"11"	"6"	"1"	"0"	"439"	""	""
"277"	"170"	"23"	"2"	"78"	"121"	"17"	"0"	"0"	"12"	"5"	"4"	"6"	"268"	""	""
"278"	"171"	"14"	"2"	"122"	"132"	"10"	"3"	"1"	"15"	"13"	"6"	"14"	"332"	""	""
"279"	"172"	"10"	"0"	"110"	"162"	"8"	"0"	"2"	"3"	"1"	"1"	"1"	"298"	""	""
"280"	"173"	"8"	"7"	"143"	"168"	"5"	"4"	"4"	"14"	"10"	"6"	"24"	"393"	""	""
"281"	"174"	"6"	"0"	"124"	"95"	"8"	"3"	"0"	"7"	"8"	"4"	"11"	"266"	""	""
"282"	"175"	"31"	"4"	"239"	"164"	"40"	"3"	"5"	"21"	"15"	"7"	"9"	"538"	""	""
"283"	"176"	"9"	"3"	"133"	"172"	"69"	"5"	"8"	"10"	"9"	"4"	"25"	"447"	""	""
"284"	"177"	"12"	"2"	"177"	"194"	"4"	"1"	"2"	"4"	"4"	"5"	"3"	"408"	""	""
"285"	"178"	"13"	"3"	"70"	"233"	"2"	"2"	"3"	"9"	"3"	"1"	"5"	"344"	""	""
"286"	"179"	"11"	"1"	"43"	"388"	"3"	"1"	"1"	"16"	"2"	"1"	"6"	"473"	""	""
"287"	"180"	"2"	"2"	"9"	"309"	"2"	"0"	"5"	"9"	"0"	"1"	"8"	"347"	""	""
"288"	"181"	"13"	"3"	"130"	"179"	"8"	"1"	"7"	"16"	"11"	"9"	"16"	"393"	""	""
"289"	"Total No. of Votes"	"182"	"36"	"1839"	"2783"	"193"	"36"	"44"	"153"	"97"	"54"	"139"	"5556"	""	""
"290"	"Grand Total"	"2801"	"581"	"25382"	"31952"	"2561"	"551"	"874"	"1828"	"1348"	"964"	"1936"	"70778"	""	""
"291"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"292"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"293"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"294"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendere"
"295"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"296"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d votes"
"297"	"182"	"10"	"1"	"55"	"346"	"14"	"3"	"4"	"13"	"4"	"3"	"8"	"461"	""	""
"298"	"183"	"18"	"4"	"243"	"69"	"7"	"4"	"0"	"8"	"15"	"7"	"33"	"408"	""	""
"299"	"184"	"10"	"2"	"158"	"57"	"10"	"2"	"2"	"6"	"8"	"5"	"13"	"273"	""	""
"300"	"185"	"1"	"3"	"160"	"231"	"6"	"3"	"3"	"8"	"3"	"3"	"0"	"421"	""	""
"301"	"186"	"17"	"3"	"254"	"241"	"20"	"1"	"7"	"12"	"23"	"10"	"29"	"617"	""	""
"302"	"187"	"10"	"1"	"138"	"276"	"16"	"5"	"8"	"28"	"11"	"9"	"33"	"535"	""	""
"303"	"188"	"22"	"2"	"86"	"209"	"12"	"3"	"5"	"20"	"5"	"5"	"1"	"370"	""	""
"304"	"189"	"7"	"4"	"54"	"185"	"3"	"1"	"1"	"6"	"3"	"3"	"1"	"268"	""	""
"305"	"190"	"23"	"3"	"123"	"219"	"18"	"5"	"10"	"13"	"8"	"3"	"19"	"444"	""	""
"306"	"191"	"12"	"4"	"162"	"289"	"6"	"4"	"2"	"16"	"7"	"8"	"5"	"515"	""	""
"307"	"192"	"6"	"4"	"224"	"214"	"17"	"3"	"6"	"23"	"16"	"14"	"19"	"546"	""	""
"308"	"193"	"22"	"3"	"146"	"50"	"10"	"1"	"1"	"3"	"6"	"1"	"1"	"244"	""	""
"309"	"194"	"17"	"2"	"47"	"183"	"5"	"0"	"3"	"5"	"6"	"6"	"11"	"285"	""	""
"310"	"195"	"14"	"4"	"45"	"146"	"12"	"2"	"3"	"7"	"4"	"2"	"8"	"247"	""	""
"311"	"Total No. of Votes"	"189"	"40"	"1895"	"2715"	"156"	"37"	"55"	"168"	"119"	"79"	"181"	"5634"	""	""
"312"	"Grand Total"	"2990"	"621"	"27277"	"34667"	"2717"	"588"	"929"	"1996"	"1467"	"1043"	"2117"	"76412"	""	""
"313"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"314"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"315"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"316"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendere"
"317"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"318"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d votes"
"319"	"196"	"7"	"2"	"86"	"180"	"54"	"2"	"6"	"9"	"4"	"3"	"5"	"358"	""	""
"320"	"197"	"10"	"2"	"67"	"89"	"38"	"7"	"3"	"11"	"8"	"4"	"5"	"244"	""	""
"321"	"198"	"23"	"6"	"169"	"164"	"10"	"10"	"5"	"10"	"19"	"7"	"10"	"433"	""	""
"322"	"199"	"13"	"2"	"88"	"193"	"23"	"4"	"9"	"18"	"9"	"2"	"20"	"381"	""	""
"323"	"200"	"9"	"4"	"93"	"145"	"73"	"5"	"2"	"10"	"11"	"2"	"5"	"359"	""	""
"324"	"201"	"9"	"2"	"129"	"187"	"8"	"3"	"1"	"6"	"7"	"4"	"5"	"361"	""	""
"325"	"202"	"2"	"1"	"190"	"124"	"8"	"0"	"2"	"8"	"2"	"2"	"5"	"344"	""	""
"326"	"203"	"2"	"0"	"121"	"165"	"7"	"4"	"5"	"9"	"18"	"4"	"14"	"349"	""	""
"327"	"204"	"1"	"1"	"351"	"46"	"11"	"1"	"1"	"3"	"7"	"7"	"11"	"440"	""	""
"328"	"205"	"9"	"0"	"59"	"203"	"7"	"4"	"2"	"4"	"5"	"2"	"5"	"300"	""	""
"329"	"206"	"12"	"4"	"94"	"126"	"17"	"11"	"4"	"9"	"7"	"5"	"3"	"292"	""	""
"330"	"207"	"18"	"9"	"120"	"341"	"15"	"10"	"7"	"22"	"4"	"3"	"11"	"560"	""	""
"331"	"208"	"15"	"14"	"217"	"388"	"11"	"3"	"3"	"17"	"12"	"18"	"22"	"720"	""	""
"332"	"209"	"13"	"22"	"227"	"285"	"9"	"3"	"5"	"14"	"2"	"6"	"12"	"598"	""	""
"333"	"Total No. of Votes"	"143"	"69"	"2011"	"2636"	"291"	"67"	"55"	"150"	"115"	"69"	"133"	"5739"	""	""
"334"	"Grand Total"	"3133"	"690"	"29288"	"37303"	"3008"	"655"	"984"	"2146"	"1582"	"1112"	"2250"	"82151"	""	""
"335"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"336"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"337"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"338"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendere"
"339"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"340"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d votes"
"341"	"210"	"5"	"2"	"75"	"430"	"6"	"3"	"4"	"11"	"5"	"9"	"19"	"569"	""	""
"342"	"Total No. of Votes"	"5"	"2"	"75"	"430"	"6"	"3"	"4"	"11"	"5"	"9"	"19"	"569"	""	""
"343"	"Grand Total"	"3138"	"692"	"29363"	"37733"	"3014"	"658"	"988"	"2157"	"1587"	"1121"	"2269"	"82720"	""	""
