"TOTAL.NO.OF.ELECTORS.IN.92.SAKRA.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X196221"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"107"	"98"	"320"	"23"	"38"	"6"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"4"	"6"	"2"	"1"	"2"	"3"	"0"	"0"	"2"	"1"	"415"	""	""
"108"	"99"	"215"	"143"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"4"	"2"	"1"	"2"	"0"	"5"	"0"	"0"	"2"	"1"	"383"	""	""
"109"	"100"	"134"	"338"	"122"	"9"	"5"	"7"	"2"	"0"	"5"	"6"	"0"	"0"	"1"	"4"	"3"	"5"	"7"	"9"	"5"	"18"	"1"	"2"	"2"	"1"	"686"	""	""
"110"	"TOTAL NO OF ELECTORS IN 92-SAKRA ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	"196221"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"112"	"101"	"67"	"78"	"44"	"2"	"0"	"2"	"1"	"3"	"0"	"4"	"1"	"0"	"0"	"3"	"1"	"1"	"1"	"22"	"1"	"13"	"0"	"1"	"2"	"4"	"251"	""	""
"113"	"102"	"65"	"121"	"22"	"3"	"6"	"6"	"3"	"6"	"30"	"5"	"3"	"2"	"4"	"9"	"31"	"24"	"5"	"3"	"1"	"28"	"1"	"2"	"3"	"11"	"394"	""	""
"114"	"103"	"102"	"159"	"45"	"4"	"7"	"5"	"3"	"5"	"15"	"8"	"2"	"4"	"1"	"14"	"9"	"9"	"4"	"5"	"1"	"17"	"1"	"2"	"1"	"6"	"429"	""	""
"115"	"104"	"183"	"28"	"47"	"3"	"0"	"0"	"3"	"0"	"1"	"0"	"2"	"0"	"2"	"2"	"4"	"6"	"2"	"3"	"1"	"1"	"0"	"1"	"1"	"1"	"291"	""	""
"116"	"105"	"80"	"30"	"5"	"1"	"0"	"34"	"2"	"1"	"2"	"0"	"0"	"1"	"6"	"4"	"9"	"7"	"6"	"35"	"4"	"34"	"3"	"3"	"4"	"14"	"285"	""	""
"117"	"106"	"25"	"42"	"2"	"1"	"1"	"43"	"1"	"1"	"1"	"2"	"2"	"1"	"0"	"3"	"2"	"4"	"18"	"92"	"6"	"37"	"4"	"8"	"8"	"1"	"305"	""	""
"118"	"107"	"205"	"161"	"72"	"13"	"3"	"9"	"7"	"7"	"8"	"18"	"3"	"4"	"2"	"8"	"6"	"5"	"16"	"80"	"7"	"33"	"0"	"4"	"3"	"4"	"678"	""	""
"119"	"108"	"137"	"106"	"25"	"5"	"1"	"27"	"0"	"3"	"7"	"12"	"3"	"2"	"4"	"9"	"12"	"19"	"37"	"78"	"8"	"129"	"9"	"10"	"15"	"20"	"678"	""	""
"120"	"109"	"216"	"68"	"61"	"2"	"0"	"4"	"1"	"1"	"3"	"1"	"0"	"2"	"2"	"4"	"5"	"2"	"17"	"24"	"6"	"55"	"6"	"1"	"4"	"9"	"494"	""	""
"121"	"110"	"16"	"211"	"103"	"16"	"3"	"6"	"8"	"3"	"2"	"4"	"3"	"5"	"4"	"12"	"31"	"28"	"5"	"8"	"8"	"12"	"0"	"1"	"2"	"10"	"501"	""	""
"122"	"111"	"242"	"69"	"22"	"10"	"1"	"3"	"4"	"1"	"2"	"0"	"0"	"3"	"5"	"7"	"18"	"16"	"6"	"6"	"0"	"27"	"1"	"1"	"0"	"0"	"444"	""	""
"123"	"112"	"170"	"67"	"122"	"2"	"1"	"0"	"0"	"1"	"2"	"0"	"2"	"0"	"1"	"4"	"2"	"1"	"4"	"6"	"3"	"28"	"0"	"1"	"1"	"3"	"421"	""	""
"124"	"113"	"92"	"166"	"71"	"17"	"6"	"7"	"5"	"4"	"8"	"4"	"3"	"7"	"6"	"16"	"19"	"19"	"2"	"1"	"5"	"10"	"1"	"2"	"3"	"5"	"479"	""	""
"125"	"114"	"165"	"63"	"91"	"4"	"3"	"3"	"0"	"4"	"7"	"3"	"3"	"2"	"3"	"19"	"10"	"12"	"9"	"1"	"2"	"30"	"0"	"0"	"3"	"4"	"441"	""	""
"126"	"115"	"93"	"135"	"63"	"5"	"2"	"3"	"4"	"0"	"4"	"1"	"1"	"3"	"0"	"4"	"2"	"6"	"2"	"2"	"1"	"10"	"0"	"0"	"0"	"0"	"341"	""	""
"127"	"116"	"154"	"109"	"41"	"0"	"1"	"3"	"0"	"0"	"5"	"3"	"2"	"2"	"5"	"10"	"6"	"19"	"3"	"1"	"0"	"11"	"2"	"2"	"0"	"1"	"380"	""	""
"128"	"117"	"430"	"34"	"19"	"1"	"1"	"1"	"0"	"0"	"3"	"2"	"3"	"2"	"1"	"12"	"2"	"16"	"4"	"2"	"2"	"11"	"1"	"1"	"1"	"3"	"552"	""	""
"129"	"118"	"90"	"85"	"75"	"4"	"2"	"2"	"2"	"5"	"5"	"2"	"4"	"8"	"2"	"9"	"8"	"10"	"3"	"2"	"0"	"43"	"4"	"0"	"2"	"3"	"370"	""	""
"130"	"119"	"164"	"229"	"31"	"4"	"2"	"1"	"1"	"2"	"3"	"2"	"0"	"1"	"0"	"7"	"2"	"11"	"11"	"12"	"0"	"8"	"4"	"1"	"2"	"5"	"503"	""	""
"131"	"120"	"145"	"135"	"88"	"8"	"2"	"8"	"4"	"8"	"7"	"7"	"3"	"7"	"2"	"11"	"13"	"16"	"7"	"8"	"3"	"7"	"2"	"0"	"2"	"11"	"504"	""	""
"132"	"TOTAL NO OF ELECTORS IN 92-SAKRA ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	"196221"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"134"	"121"	"183"	"239"	"42"	"1"	"2"	"5"	"7"	"2"	"4"	"2"	"2"	"3"	"2"	"8"	"7"	"10"	"6"	"5"	"1"	"57"	"0"	"0"	"1"	"1"	"590"	""	""
"135"	"122"	"312"	"123"	"62"	"3"	"3"	"5"	"5"	"7"	"3"	"2"	"1"	"0"	"6"	"14"	"13"	"50"	"18"	"8"	"3"	"11"	"0"	"2"	"0"	"6"	"657"	""	""
"136"	"123"	"339"	"85"	"16"	"13"	"1"	"2"	"0"	"7"	"9"	"3"	"3"	"3"	"2"	"9"	"13"	"24"	"12"	"3"	"5"	"26"	"1"	"3"	"4"	"5"	"588"	""	""
"137"	"124"	"305"	"130"	"24"	"4"	"0"	"2"	"0"	"2"	"4"	"1"	"0"	"4"	"3"	"5"	"15"	"16"	"8"	"5"	"2"	"19"	"1"	"1"	"0"	"1"	"552"	""	""
"138"	"125"	"292"	"138"	"57"	"9"	"4"	"6"	"9"	"13"	"10"	"10"	"3"	"5"	"4"	"15"	"7"	"22"	"2"	"1"	"2"	"7"	"2"	"0"	"1"	"3"	"622"	""	""
"139"	"126"	"107"	"249"	"22"	"5"	"2"	"8"	"2"	"2"	"3"	"7"	"1"	"0"	"0"	"1"	"8"	"3"	"5"	"7"	"0"	"27"	"1"	"1"	"0"	"1"	"462"	""	""
"140"	"127"	"71"	"129"	"34"	"8"	"1"	"6"	"3"	"2"	"3"	"3"	"4"	"2"	"2"	"4"	"12"	"10"	"10"	"6"	"1"	"78"	"3"	"2"	"2"	"4"	"400"	""	""
"141"	"128"	"182"	"106"	"50"	"58"	"5"	"12"	"2"	"2"	"5"	"3"	"2"	"0"	"5"	"9"	"6"	"6"	"4"	"10"	"3"	"12"	"2"	"2"	"5"	"2"	"493"	""	""
"142"	"129"	"139"	"63"	"3"	"1"	"1"	"2"	"4"	"4"	"2"	"3"	"1"	"3"	"2"	"7"	"4"	"4"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"2"	"249"	""	""
"143"	"130"	"319"	"193"	"28"	"6"	"0"	"11"	"6"	"4"	"5"	"5"	"0"	"6"	"2"	"3"	"9"	"20"	"13"	"9"	"2"	"44"	"2"	"2"	"3"	"3"	"695"	""	""
"144"	"131"	"245"	"41"	"18"	"8"	"4"	"0"	"2"	"0"	"3"	"1"	"1"	"2"	"4"	"12"	"8"	"21"	"25"	"3"	"3"	"94"	"2"	"4"	"7"	"5"	"513"	""	""
"145"	"132"	"453"	"43"	"111"	"7"	"1"	"3"	"4"	"4"	"5"	"1"	"1"	"2"	"4"	"11"	"7"	"10"	"10"	"10"	"5"	"6"	"0"	"1"	"2"	"3"	"704"	""	""
"146"	"133"	"233"	"97"	"47"	"7"	"4"	"1"	"1"	"2"	"0"	"3"	"0"	"4"	"5"	"18"	"11"	"15"	"14"	"12"	"3"	"15"	"1"	"4"	"6"	"9"	"512"	""	""
"147"	"134"	"204"	"197"	"16"	"1"	"1"	"1"	"1"	"1"	"3"	"2"	"1"	"1"	"1"	"9"	"8"	"3"	"9"	"4"	"0"	"3"	"1"	"1"	"3"	"0"	"471"	""	""
"148"	"135"	"274"	"72"	"114"	"10"	"1"	"2"	"2"	"3"	"3"	"5"	"1"	"1"	"3"	"7"	"4"	"7"	"17"	"18"	"15"	"34"	"3"	"8"	"6"	"11"	"621"	""	""
"149"	"136"	"99"	"186"	"13"	"3"	"2"	"4"	"4"	"2"	"2"	"3"	"1"	"2"	"3"	"6"	"9"	"10"	"8"	"11"	"2"	"11"	"1"	"3"	"2"	"6"	"393"	""	""
"150"	"137"	"83"	"37"	"28"	"34"	"4"	"1"	"0"	"0"	"8"	"1"	"0"	"0"	"2"	"5"	"0"	"5"	"2"	"5"	"1"	"45"	"0"	"0"	"1"	"1"	"263"	""	""
"151"	"138"	"81"	"320"	"43"	"10"	"1"	"1"	"1"	"0"	"3"	"3"	"0"	"0"	"1"	"4"	"3"	"4"	"6"	"6"	"4"	"10"	"0"	"1"	"3"	"1"	"506"	""	""
"152"	"139"	"39"	"399"	"30"	"6"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"10"	"4"	"5"	"7"	"1"	"5"	"0"	"0"	"1"	"2"	"516"	""	""
"153"	"140"	"218"	"72"	"29"	"32"	"2"	"5"	"4"	"1"	"6"	"5"	"4"	"5"	"8"	"8"	"5"	"36"	"14"	"5"	"1"	"11"	"0"	"2"	"1"	"7"	"481"	""	""
"154"	"TOTAL NO OF ELECTORS IN 92-SAKRA ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	"196221"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"156"	"141"	"168"	"163"	"59"	"3"	"3"	"2"	"0"	"7"	"1"	"1"	"0"	"0"	"0"	"0"	"4"	"3"	"1"	"4"	"1"	"7"	"1"	"2"	"0"	"1"	"431"	""	""
"157"	"142"	"125"	"214"	"32"	"12"	"4"	"11"	"1"	"2"	"8"	"8"	"0"	"3"	"4"	"4"	"13"	"9"	"13"	"7"	"4"	"78"	"1"	"0"	"4"	"5"	"562"	""	""
"158"	"143"	"214"	"47"	"9"	"26"	"0"	"4"	"1"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"3"	"2"	"0"	"13"	"0"	"0"	"1"	"1"	"325"	""	""
"159"	"144"	"305"	"147"	"18"	"18"	"3"	"4"	"2"	"6"	"4"	"5"	"0"	"2"	"0"	"2"	"5"	"10"	"13"	"6"	"1"	"21"	"2"	"0"	"2"	"2"	"578"	""	""
"160"	"145"	"365"	"229"	"61"	"5"	"4"	"3"	"4"	"6"	"8"	"4"	"5"	"3"	"2"	"10"	"10"	"9"	"20"	"18"	"7"	"11"	"3"	"5"	"3"	"3"	"798"	""	""
"161"	"146"	"264"	"83"	"46"	"13"	"2"	"7"	"5"	"4"	"2"	"3"	"1"	"3"	"1"	"10"	"6"	"16"	"18"	"5"	"3"	"21"	"1"	"2"	"3"	"8"	"527"	""	""
"162"	"147"	"95"	"194"	"50"	"29"	"8"	"2"	"4"	"5"	"1"	"4"	"2"	"2"	"8"	"7"	"9"	"8"	"12"	"10"	"1"	"19"	"1"	"0"	"2"	"6"	"479"	""	""
"163"	"148"	"107"	"207"	"78"	"9"	"2"	"12"	"4"	"6"	"3"	"7"	"1"	"5"	"7"	"11"	"9"	"17"	"2"	"15"	"5"	"49"	"1"	"1"	"2"	"2"	"562"	""	""
"164"	"149"	"156"	"247"	"8"	"2"	"3"	"5"	"1"	"4"	"2"	"4"	"2"	"6"	"1"	"9"	"14"	"19"	"27"	"44"	"9"	"63"	"3"	"3"	"4"	"22"	"658"	""	""
"165"	"150"	"242"	"248"	"34"	"10"	"3"	"7"	"5"	"5"	"4"	"10"	"1"	"10"	"3"	"14"	"19"	"32"	"9"	"8"	"3"	"17"	"1"	"2"	"2"	"1"	"690"	""	""
"166"	"151"	"119"	"79"	"48"	"7"	"0"	"4"	"2"	"2"	"3"	"5"	"0"	"2"	"2"	"4"	"5"	"17"	"7"	"16"	"4"	"28"	"1"	"0"	"3"	"4"	"362"	""	""
"167"	"152"	"62"	"187"	"15"	"6"	"1"	"6"	"4"	"3"	"4"	"11"	"3"	"1"	"5"	"3"	"8"	"10"	"6"	"55"	"1"	"25"	"1"	"2"	"1"	"4"	"424"	""	""
"168"	"153"	"218"	"106"	"54"	"4"	"4"	"2"	"3"	"5"	"9"	"3"	"1"	"4"	"4"	"23"	"5"	"6"	"29"	"25"	"13"	"65"	"4"	"3"	"5"	"10"	"605"	""	""
"169"	"154"	"312"	"166"	"58"	"4"	"4"	"1"	"1"	"6"	"3"	"9"	"2"	"2"	"1"	"11"	"12"	"21"	"7"	"33"	"2"	"29"	"3"	"1"	"2"	"4"	"694"	""	""
"170"	"155"	"318"	"114"	"51"	"26"	"6"	"5"	"6"	"11"	"2"	"10"	"2"	"6"	"5"	"12"	"6"	"9"	"23"	"79"	"4"	"43"	"1"	"5"	"3"	"5"	"752"	""	""
"171"	"156"	"131"	"206"	"25"	"38"	"6"	"4"	"1"	"1"	"4"	"13"	"4"	"0"	"8"	"2"	"7"	"14"	"9"	"51"	"2"	"6"	"1"	"1"	"4"	"9"	"547"	""	""
"172"	"157"	"6"	"285"	"55"	"2"	"3"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"0"	"2"	"3"	"1"	"4"	"21"	"1"	"30"	"1"	"5"	"3"	"7"	"434"	""	""
"173"	"158"	"75"	"262"	"34"	"2"	"1"	"10"	"3"	"17"	"4"	"8"	"1"	"2"	"0"	"6"	"17"	"6"	"16"	"41"	"3"	"49"	"5"	"2"	"7"	"15"	"586"	""	""
"174"	"159"	"171"	"97"	"130"	"23"	"3"	"2"	"1"	"1"	"4"	"6"	"2"	"1"	"5"	"5"	"1"	"8"	"5"	"15"	"0"	"10"	"0"	"0"	"1"	"1"	"492"	""	""
"175"	"160"	"137"	"136"	"13"	"2"	"3"	"4"	"5"	"1"	"4"	"3"	"2"	"2"	"2"	"8"	"1"	"7"	"12"	"14"	"2"	"32"	"0"	"3"	"1"	"6"	"400"	""	""
"176"	"TOTAL NO OF ELECTORS IN 92-SAKRA ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	"196221"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"178"	"161"	"466"	"97"	"51"	"7"	"5"	"1"	"4"	"11"	"4"	"17"	"6"	"1"	"4"	"11"	"21"	"18"	"13"	"64"	"0"	"64"	"4"	"0"	"2"	"2"	"873"	""	""
"179"	"162"	"52"	"320"	"128"	"6"	"3"	"6"	"0"	"2"	"2"	"2"	"1"	"2"	"1"	"0"	"4"	"3"	"7"	"6"	"4"	"4"	"0"	"2"	"0"	"1"	"556"	""	""
"180"	"163"	"116"	"99"	"161"	"5"	"3"	"7"	"5"	"5"	"7"	"0"	"3"	"4"	"3"	"7"	"8"	"13"	"3"	"3"	"3"	"23"	"0"	"1"	"2"	"7"	"488"	""	""
"181"	"164"	"223"	"34"	"98"	"6"	"2"	"1"	"3"	"3"	"7"	"0"	"2"	"2"	"5"	"9"	"5"	"15"	"15"	"8"	"1"	"39"	"2"	"1"	"4"	"5"	"490"	""	""
"182"	"165"	"113"	"142"	"61"	"4"	"0"	"6"	"3"	"0"	"7"	"4"	"4"	"2"	"4"	"14"	"7"	"21"	"22"	"27"	"10"	"21"	"5"	"6"	"9"	"20"	"512"	""	""
"183"	"166"	"143"	"206"	"68"	"11"	"5"	"5"	"3"	"3"	"5"	"3"	"3"	"6"	"4"	"9"	"24"	"13"	"11"	"17"	"3"	"18"	"1"	"3"	"3"	"5"	"572"	""	""
"184"	"167"	"67"	"187"	"29"	"3"	"1"	"3"	"4"	"1"	"2"	"3"	"1"	"4"	"2"	"10"	"17"	"16"	"3"	"11"	"1"	"59"	"2"	"2"	"8"	"9"	"445"	""	""
"185"	"168"	"91"	"70"	"68"	"4"	"93"	"5"	"1"	"0"	"8"	"3"	"3"	"0"	"1"	"3"	"4"	"1"	"2"	"14"	"3"	"73"	"3"	"6"	"4"	"7"	"467"	""	""
"186"	"169"	"214"	"28"	"84"	"5"	"33"	"1"	"7"	"4"	"4"	"3"	"1"	"2"	"1"	"6"	"3"	"10"	"12"	"6"	"0"	"27"	"3"	"1"	"1"	"1"	"457"	""	""
"187"	"170"	"71"	"188"	"123"	"4"	"5"	"3"	"4"	"2"	"6"	"3"	"9"	"6"	"5"	"8"	"14"	"31"	"7"	"8"	"4"	"32"	"1"	"3"	"3"	"9"	"549"	""	""
"188"	"171"	"90"	"173"	"22"	"2"	"0"	"3"	"1"	"2"	"1"	"2"	"3"	"5"	"1"	"3"	"11"	"11"	"4"	"6"	"3"	"25"	"0"	"3"	"4"	"7"	"382"	""	""
"189"	"172"	"52"	"18"	"63"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"2"	"0"	"3"	"5"	"1"	"1"	"4"	"2"	"0"	"1"	"1"	"161"	""	""
"190"	"173"	"59"	"55"	"61"	"0"	"5"	"2"	"1"	"2"	"3"	"1"	"0"	"1"	"3"	"1"	"6"	"1"	"5"	"0"	"1"	"4"	"1"	"1"	"1"	"1"	"215"	""	""
"191"	"174"	"76"	"181"	"40"	"5"	"5"	"6"	"0"	"4"	"11"	"6"	"1"	"2"	"3"	"8"	"9"	"10"	"7"	"14"	"7"	"61"	"2"	"0"	"0"	"8"	"466"	""	""
"192"	"175"	"51"	"175"	"120"	"7"	"6"	"7"	"9"	"6"	"3"	"9"	"3"	"3"	"6"	"9"	"22"	"17"	"5"	"13"	"2"	"37"	"2"	"1"	"0"	"5"	"518"	""	""
"193"	"176"	"122"	"175"	"130"	"5"	"1"	"4"	"0"	"1"	"0"	"5"	"1"	"1"	"0"	"1"	"1"	"5"	"5"	"6"	"0"	"8"	"1"	"0"	"2"	"2"	"476"	""	""
"194"	"177"	"8"	"139"	"195"	"8"	"3"	"1"	"1"	"0"	"0"	"1"	"2"	"0"	"3"	"0"	"5"	"4"	"1"	"8"	"2"	"10"	"0"	"2"	"1"	"0"	"394"	""	""
"195"	"178"	"213"	"138"	"24"	"4"	"36"	"16"	"3"	"2"	"4"	"3"	"2"	"4"	"1"	"6"	"7"	"23"	"4"	"10"	"0"	"17"	"1"	"1"	"5"	"7"	"531"	""	""
"196"	"179"	"198"	"213"	"20"	"1"	"6"	"5"	"4"	"0"	"31"	"6"	"1"	"3"	"2"	"7"	"22"	"24"	"10"	"8"	"0"	"25"	"3"	"3"	"4"	"3"	"599"	""	""
"197"	"180"	"315"	"128"	"18"	"7"	"91"	"5"	"5"	"2"	"18"	"1"	"0"	"1"	"2"	"2"	"4"	"5"	"10"	"8"	"1"	"48"	"0"	"1"	"2"	"2"	"676"	""	""
"198"	"TOTAL NO OF ELECTORS IN 92-SAKRA ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	"196221"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"200"	"181"	"71"	"243"	"111"	"3"	"19"	"2"	"0"	"1"	"9"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"5"	"1"	"1"	"0"	"0"	"473"	""	""
"201"	"182"	"24"	"270"	"100"	"7"	"1"	"1"	"2"	"2"	"2"	"1"	"1"	"0"	"0"	"4"	"4"	"5"	"2"	"6"	"0"	"1"	"1"	"0"	"0"	"0"	"434"	""	""
"202"	"183"	"104"	"93"	"12"	"7"	"11"	"7"	"2"	"1"	"3"	"20"	"0"	"4"	"1"	"8"	"7"	"16"	"10"	"55"	"7"	"9"	"3"	"0"	"9"	"7"	"396"	""	""
"203"	"184"	"213"	"16"	"42"	"1"	"1"	"1"	"0"	"1"	"7"	"2"	"0"	"0"	"0"	"8"	"1"	"7"	"12"	"32"	"1"	"9"	"0"	"3"	"1"	"5"	"363"	""	""
"204"	"185"	"112"	"28"	"205"	"3"	"2"	"0"	"1"	"0"	"0"	"13"	"2"	"2"	"4"	"5"	"10"	"13"	"5"	"8"	"0"	"14"	"0"	"0"	"2"	"0"	"429"	""	""
"205"	"186"	"35"	"67"	"289"	"6"	"0"	"4"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"3"	"4"	"2"	"7"	"6"	"1"	"4"	"4"	"1"	"1"	"5"	"443"	""	""
"206"	"187"	"38"	"64"	"119"	"4"	"3"	"4"	"2"	"2"	"3"	"3"	"0"	"0"	"0"	"3"	"2"	"4"	"3"	"2"	"1"	"8"	"1"	"2"	"0"	"3"	"271"	""	""
"207"	"188"	"109"	"62"	"69"	"3"	"30"	"1"	"1"	"5"	"4"	"1"	"3"	"2"	"0"	"3"	"4"	"10"	"5"	"16"	"1"	"26"	"5"	"1"	"1"	"1"	"363"	""	""
"208"	"189"	"114"	"114"	"73"	"3"	"1"	"2"	"0"	"1"	"2"	"1"	"3"	"1"	"2"	"3"	"4"	"12"	"8"	"6"	"1"	"7"	"0"	"2"	"4"	"3"	"367"	""	""
"209"	"190"	"255"	"91"	"11"	"1"	"2"	"4"	"1"	"2"	"8"	"4"	"1"	"4"	"5"	"15"	"7"	"15"	"19"	"12"	"3"	"8"	"1"	"4"	"11"	"23"	"507"	""	""
"210"	"191"	"243"	"59"	"49"	"4"	"0"	"1"	"1"	"2"	"2"	"1"	"0"	"3"	"2"	"5"	"1"	"1"	"3"	"2"	"0"	"2"	"0"	"0"	"0"	"2"	"383"	""	""
"211"	"192"	"59"	"49"	"67"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"2"	"2"	"1"	"3"	"8"	"1"	"0"	"2"	"1"	"200"	""	""
"212"	"193"	"80"	"144"	"66"	"7"	"2"	"3"	"9"	"2"	"4"	"1"	"5"	"3"	"2"	"6"	"9"	"9"	"6"	"5"	"4"	"17"	"0"	"0"	"1"	"4"	"389"	""	""
"213"	"194"	"89"	"161"	"48"	"5"	"5"	"4"	"2"	"3"	"4"	"1"	"2"	"4"	"1"	"8"	"2"	"4"	"0"	"0"	"1"	"6"	"1"	"0"	"1"	"1"	"353"	""	""
"214"	"195"	"143"	"179"	"50"	"5"	"7"	"5"	"3"	"2"	"6"	"2"	"4"	"0"	"2"	"5"	"17"	"9"	"4"	"5"	"1"	"40"	"0"	"4"	"3"	"2"	"498"	""	""
