"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X248211.40.Laukaha"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"181"	""	"133"	"23"	"3"	"69"	"445"	"6"	"10"	"4"	"2"	"5"	"3"	"5"	"575"	""	"575"	""
"182"	""	"134"	"20"	"2"	"114"	"225"	"2"	"1"	"0"	"1"	"0"	"1"	"1"	"367"	""	"367"	""
"183"	""	"135"	"94"	"6"	"222"	"170"	"5"	"4"	"4"	"5"	"4"	"4"	"14"	"532"	""	"532"	""
"184"	""	"136"	"49"	"6"	"75"	"222"	"9"	"0"	"6"	"4"	"4"	"9"	"10"	"394"	""	"394"	""
"185"	""	"137"	"195"	"2"	"73"	"103"	"2"	"0"	"0"	"1"	"1"	"3"	"1"	"381"	""	"381"	""
"186"	""	"138"	"167"	"4"	"51"	"52"	"6"	"1"	"3"	"4"	"2"	"3"	"10"	"303"	""	"303"	""
"187"	""	"139"	"11"	"9"	"182"	"250"	"4"	"4"	"5"	"3"	"5"	"4"	"13"	"490"	""	"490"	""
"188"	""	"140"	"36"	"3"	"109"	"56"	"3"	"6"	"7"	"6"	"4"	"6"	"15"	"251"	""	"251"	""
"189"	""	"Total -10"	"813"	"70"	"1647"	"2711"	"61"	"48"	"53"	"48"	"41"	"67"	"122"	"5681"	"0"	"5681"	"0"
"190"	""	""	""	""	""	""	""	"248211
40-Laukaha"	""	""	""	""	""	""	""	""	""
"191"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"192"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"193"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"194"	"Round No 11"	"141"	"36"	"3"	"113"	"262"	"4"	"3"	"6"	"4"	"1"	"8"	"9"	"449"	""	"449"	""
"195"	""	"142"	"42"	"3"	"49"	"169"	"7"	"8"	"9"	"8"	"4"	"5"	"13"	"317"	""	"317"	""
"196"	""	"143"	"29"	"6"	"187"	"92"	"2"	"25"	"6"	"6"	"6"	"8"	"22"	"389"	""	"389"	""
"197"	""	"144"	"36"	"7"	"42"	"326"	"8"	"28"	"3"	"7"	"2"	"3"	"4"	"466"	""	"466"	""
"198"	""	"145"	"23"	"0"	"110"	"80"	"2"	"11"	"5"	"1"	"2"	"3"	"5"	"242"	""	"242"	""
"199"	""	"146"	"52"	"6"	"208"	"156"	"2"	"10"	"3"	"2"	"0"	"7"	"6"	"452"	""	"452"	""
"200"	""	"147"	"115"	"4"	"54"	"320"	"4"	"3"	"3"	"1"	"1"	"0"	"5"	"510"	""	"510"	""
"201"	""	"148"	"22"	"4"	"46"	"229"	"4"	"0"	"4"	"2"	"2"	"2"	"6"	"321"	""	"321"	""
"202"	""	"149"	"34"	"37"	"306"	"164"	"1"	"10"	"1"	"2"	"5"	"2"	"3"	"565"	""	"565"	""
"203"	""	"150"	"68"	"1"	"351"	"16"	"0"	"18"	"0"	"0"	"0"	"0"	"0"	"454"	""	"454"	""
"204"	""	"151"	"118"	"7"	"372"	"262"	"13"	"10"	"6"	"1"	"6"	"3"	"6"	"804"	""	"804"	""
"205"	""	"152"	"54"	"3"	"113"	"171"	"4"	"8"	"0"	"4"	"1"	"1"	"6"	"365"	""	"365"	""
"206"	""	"153"	"55"	"12"	"76"	"147"	"8"	"27"	"4"	"3"	"4"	"7"	"11"	"354"	""	"354"	""
"207"	""	"154"	"79"	"2"	"63"	"343"	"2"	"17"	"4"	"0"	"0"	"0"	"0"	"510"	""	"510"	""
"208"	""	"Total -11"	"763"	"95"	"2090"	"2737"	"61"	"178"	"54"	"41"	"34"	"49"	"96"	"6198"	"0"	"6198"	"0"
"209"	""	""	""	""	""	""	""	"248211
40-Laukaha"	""	""	""	""	""	""	""	""	""
"210"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"211"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"212"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"213"	"Round No 12"	"155"	"69"	"5"	"133"	"27"	"0"	"1"	"2"	"1"	"1"	"5"	"4"	"248"	""	"248"	""
"214"	""	"156"	"77"	"12"	"129"	"450"	"7"	"14"	"6"	"6"	"6"	"2"	"14"	"723"	""	"723"	""
"215"	""	"157"	"63"	"5"	"218"	"233"	"6"	"4"	"4"	"4"	"3"	"8"	"19"	"567"	""	"567"	""
"216"	""	"158"	"71"	"13"	"93"	"523"	"7"	"8"	"6"	"1"	"4"	"3"	"7"	"736"	""	"736"	""
"217"	""	"159"	"83"	"5"	"23"	"258"	"5"	"2"	"4"	"4"	"5"	"2"	"5"	"396"	""	"396"	""
"218"	""	"160"	"14"	"3"	"26"	"185"	"1"	"20"	"1"	"3"	"6"	"2"	"4"	"265"	""	"265"	""
"219"	""	"161"	"20"	"1"	"198"	"27"	"1"	"18"	"0"	"1"	"0"	"1"	"1"	"268"	""	"268"	""
"220"	""	"162"	"52"	"9"	"214"	"148"	"4"	"36"	"3"	"4"	"6"	"4"	"13"	"493"	""	"493"	""
"221"	""	"163"	"26"	"9"	"261"	"334"	"7"	"8"	"4"	"0"	"0"	"1"	"5"	"655"	""	"655"	""
"222"	""	"164"	"26"	"7"	"120"	"271"	"12"	"9"	"8"	"8"	"3"	"7"	"31"	"502"	""	"502"	""
"223"	""	"165"	"123"	"7"	"29"	"361"	"6"	"4"	"7"	"4"	"3"	"6"	"21"	"571"	""	"571"	""
"224"	""	"166"	"70"	"12"	"101"	"305"	"8"	"6"	"3"	"1"	"2"	"3"	"8"	"519"	""	"519"	""
"225"	""	"167"	"15"	"1"	"103"	"306"	"6"	"4"	"1"	"1"	"1"	"3"	"5"	"446"	""	"446"	""
"226"	""	"168"	"23"	"5"	"44"	"496"	"9"	"4"	"10"	"1"	"5"	"6"	"10"	"613"	""	"613"	""
"227"	""	"Total -12"	"732"	"94"	"1692"	"3924"	"79"	"138"	"59"	"39"	"45"	"53"	"147"	"7002"	"0"	"7002"	"0"
"228"	""	""	""	""	""	""	""	"248211
40-Laukaha"	""	""	""	""	""	""	""	""	""
"229"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"230"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"231"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"232"	"Round No 13"	"169"	"3"	"1"	"22"	"124"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"154"	""	"154"	""
"233"	""	"170"	"20"	"7"	"274"	"165"	"7"	"3"	"6"	"4"	"6"	"8"	"8"	"508"	""	"508"	""
"234"	""	"171"	"138"	"10"	"67"	"259"	"2"	"6"	"8"	"5"	"4"	"3"	"17"	"519"	""	"519"	""
"235"	""	"172"	"61"	"3"	"8"	"207"	"4"	"2"	"2"	"1"	"0"	"2"	"0"	"290"	""	"290"	""
"236"	""	"173"	"7"	"2"	"19"	"179"	"6"	"4"	"1"	"4"	"2"	"2"	"7"	"233"	""	"233"	""
"237"	""	"174"	"114"	"9"	"152"	"145"	"3"	"3"	"7"	"4"	"5"	"6"	"6"	"454"	""	"454"	""
"238"	""	"175"	"110"	"5"	"21"	"98"	"4"	"1"	"2"	"1"	"1"	"2"	"8"	"253"	""	"253"	""
"239"	""	"176"	"162"	"5"	"23"	"43"	"0"	"3"	"0"	"1"	"0"	"1"	"0"	"238"	""	"238"	""
"240"	""	"177"	"89"	"4"	"82"	"60"	"1"	"3"	"2"	"1"	"1"	"6"	"10"	"259"	""	"259"	""
"241"	""	"178"	"84"	"5"	"196"	"125"	"1"	"2"	"5"	"4"	"1"	"1"	"7"	"431"	""	"431"	""
"242"	""	"179"	"53"	"4"	"255"	"114"	"6"	"17"	"5"	"5"	"4"	"9"	"15"	"487"	""	"487"	""
"243"	""	"180"	"400"	"6"	"32"	"153"	"5"	"1"	"2"	"1"	"1"	"0"	"2"	"603"	""	"603"	""
"244"	""	"181"	"108"	"8"	"242"	"89"	"6"	"5"	"3"	"2"	"7"	"9"	"22"	"501"	""	"501"	""
"245"	""	"182"	"58"	"4"	"29"	"191"	"9"	"4"	"6"	"6"	"7"	"7"	"16"	"337"	""	"337"	""
"246"	""	"Total -13"	"1407"	"73"	"1422"	"1952"	"55"	"55"	"51"	"39"	"39"	"56"	"118"	"5267"	"0"	"5267"	"0"
"247"	""	""	""	""	""	""	""	"248211
40-Laukaha"	""	""	""	""	""	""	""	""	""
"248"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"249"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"250"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"251"	"Round No 14"	"183"	"26"	"5"	"16"	"210"	"4"	"2"	"4"	"1"	"2"	"0"	"1"	"271"	""	"271"	""
"252"	""	"184"	"118"	"5"	"131"	"219"	"3"	"0"	"3"	"1"	"1"	"4"	"16"	"501"	""	"501"	""
"253"	""	"185"	"171"	"6"	"111"	"187"	"7"	"4"	"1"	"0"	"1"	"2"	"3"	"493"	""	"493"	""
"254"	""	"186"	"29"	"3"	"47"	"362"	"10"	"2"	"9"	"1"	"0"	"2"	"5"	"470"	""	"470"	""
"255"	""	"187"	"49"	"9"	"289"	"249"	"6"	"6"	"3"	"4"	"2"	"8"	"14"	"639"	""	"639"	""
"256"	""	"188"	"103"	"1"	"36"	"345"	"3"	"1"	"0"	"1"	"1"	"3"	"6"	"500"	""	"500"	""
"257"	""	"189"	"59"	"1"	"46"	"278"	"13"	"10"	"9"	"5"	"3"	"9"	"34"	"467"	""	"467"	""
"258"	""	"190"	"197"	"6"	"51"	"325"	"1"	"7"	"6"	"6"	"4"	"2"	"7"	"612"	""	"612"	""
"259"	""	"191"	"30"	"3"	"76"	"282"	"5"	"7"	"7"	"1"	"1"	"3"	"2"	"417"	""	"417"	""
"260"	""	"192"	"95"	"3"	"126"	"170"	"3"	"2"	"3"	"1"	"1"	"0"	"1"	"405"	""	"405"	""
"261"	""	"193"	"29"	"9"	"175"	"78"	"2"	"4"	"5"	"4"	"1"	"7"	"4"	"318"	""	"318"	""
"262"	""	"194"	"70"	"2"	"19"	"95"	"3"	"1"	"1"	"1"	"0"	"3"	"7"	"202"	""	"202"	""
"263"	""	"195"	"24"	"2"	"13"	"214"	"3"	"2"	"5"	"1"	"2"	"3"	"6"	"275"	""	"275"	""
"264"	""	"196"	"18"	"1"	"6"	"241"	"4"	"6"	"8"	"2"	"0"	"2"	"13"	"301"	""	"301"	""
"265"	""	"Total -14"	"1018"	"56"	"1142"	"3255"	"67"	"54"	"64"	"29"	"19"	"48"	"119"	"5871"	"0"	"5871"	"0"
"266"	""	""	""	""	""	""	""	"248211
40-Laukaha"	""	""	""	""	""	""	""	""	""
"267"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"268"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"269"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"270"	"Round No 15"	"197"	"13"	"3"	"73"	"152"	"6"	"0"	"2"	"4"	"1"	"2"	"8"	"264"	""	"264"	""
"271"	""	"198"	"45"	"1"	"64"	"216"	"8"	"5"	"1"	"2"	"4"	"2"	"17"	"365"	""	"365"	""
"272"	""	"199"	"193"	"8"	"64"	"408"	"6"	"4"	"12"	"3"	"5"	"3"	"6"	"712"	""	"712"	""
"273"	""	"200"	"121"	"3"	"106"	"294"	"5"	"5"	"5"	"5"	"5"	"6"	"6"	"561"	""	"561"	""
"274"	""	"201"	"60"	"6"	"22"	"467"	"8"	"2"	"3"	"4"	"3"	"4"	"8"	"587"	""	"587"	""
"275"	""	"202"	"9"	"1"	"11"	"305"	"5"	"3"	"3"	"0"	"5"	"1"	"1"	"344"	""	"344"	""
"276"	""	"203"	"72"	"3"	"37"	"417"	"8"	"3"	"3"	"3"	"5"	"0"	"5"	"556"	""	"556"	""
"277"	""	"204"	"41"	"1"	"145"	"83"	"5"	"4"	"2"	"1"	"1"	"4"	"8"	"295"	""	"295"	""
"278"	""	"205"	"134"	"4"	"64"	"63"	"3"	"1"	"0"	"3"	"0"	"1"	"1"	"274"	""	"274"	""
"279"	""	"206"	"92"	"2"	"20"	"194"	"8"	"0"	"2"	"1"	"1"	"3"	"25"	"348"	""	"348"	""
"280"	""	"207"	"20"	"0"	"39"	"427"	"5"	"4"	"9"	"8"	"2"	"10"	"26"	"550"	""	"550"	""
"281"	""	"208"	"65"	"3"	"1"	"162"	"5"	"0"	"0"	"0"	"2"	"2"	"4"	"244"	""	"244"	""
"282"	""	"209"	"47"	"5"	"229"	"97"	"3"	"2"	"0"	"2"	"3"	"3"	"2"	"393"	""	"393"	""
"283"	""	"210"	"111"	"9"	"176"	"170"	"2"	"13"	"4"	"3"	"5"	"4"	"8"	"505"	""	"505"	""
"284"	""	"Total -15"	"1023"	"49"	"1051"	"3455"	"77"	"46"	"46"	"39"	"42"	"45"	"125"	"5998"	"0"	"5998"	"0"
"285"	""	""	""	""	""	""	""	"248211
40-Laukaha"	""	""	""	""	""	""	""	""	""
"286"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"287"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"288"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"289"	"Round No 16"	"211"	"41"	"3"	"168"	"53"	"2"	"2"	"0"	"2"	"1"	"3"	"4"	"279"	""	"279"	""
"290"	""	"212"	"49"	"5"	"14"	"114"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"187"	""	"187"	""
"291"	""	"213"	"147"	"9"	"26"	"508"	"10"	"3"	"4"	"6"	"7"	"3"	"18"	"741"	""	"741"	""
"292"	""	"214"	"84"	"8"	"95"	"281"	"4"	"1"	"3"	"1"	"2"	"5"	"17"	"501"	""	"501"	""
"293"	""	"215"	"46"	"0"	"13"	"161"	"1"	"1"	"0"	"2"	"0"	"2"	"4"	"230"	""	"230"	""
"294"	""	"216"	"467"	"11"	"42"	"15"	"1"	"9"	"0"	"1"	"1"	"2"	"7"	"556"	""	"556"	""
"295"	""	"217"	"452"	"6"	"84"	"84"	"10"	"9"	"5"	"1"	"2"	"5"	"3"	"661"	""	"661"	""
"296"	""	"218"	"48"	"17"	"53"	"178"	"2"	"4"	"1"	"0"	"2"	"3"	"13"	"321"	""	"321"	""
"297"	""	"219"	"283"	"9"	"18"	"19"	"4"	"1"	"2"	"1"	"2"	"1"	"4"	"344"	""	"344"	""
"298"	""	"220"	"207"	"35"	"292"	"54"	"12"	"15"	"3"	"6"	"4"	"8"	"18"	"654"	""	"654"	""
"299"	""	"221"	"12"	"0"	"35"	"302"	"8"	"6"	"8"	"2"	"1"	"4"	"13"	"391"	""	"391"	""
"300"	""	"222"	"37"	"10"	"451"	"143"	"6"	"4"	"3"	"4"	"4"	"5"	"8"	"675"	""	"675"	""
"301"	""	"223"	"56"	"7"	"215"	"288"	"8"	"9"	"6"	"2"	"5"	"2"	"7"	"605"	""	"605"	""
"302"	""	"224"	"28"	"2"	"30"	"626"	"8"	"6"	"6"	"4"	"3"	"5"	"12"	"730"	""	"730"	""
"303"	""	"Total -16"	"1957"	"122"	"1536"	"2826"	"76"	"71"	"42"	"33"	"34"	"48"	"130"	"6875"	"0"	"6875"	"0"
"304"	""	""	""	""	""	""	""	"248211
40-Laukaha"	""	""	""	""	""	""	""	""	""
"305"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"306"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"307"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"308"	"Round No 17"	"225"	"127"	"8"	"48"	"209"	"5"	"6"	"6"	"3"	"2"	"2"	"7"	"423"	""	"423"	""
"309"	""	"226"	"34"	"0"	"55"	"249"	"5"	"2"	"2"	"0"	"0"	"2"	"2"	"351"	""	"351"	""
"310"	""	"227"	"88"	"3"	"50"	"347"	"2"	"2"	"3"	"2"	"0"	"3"	"4"	"504"	""	"504"	""
"311"	""	"228"	"18"	"2"	"32"	"287"	"5"	"8"	"5"	"3"	"1"	"4"	"20"	"385"	""	"385"	""
"312"	""	"229"	"8"	"3"	"271"	"120"	"2"	"1"	"0"	"1"	"1"	"2"	"1"	"410"	""	"410"	""
"313"	""	"230"	"17"	"3"	"134"	"305"	"5"	"1"	"4"	"6"	"2"	"4"	"4"	"485"	""	"485"	""
"314"	""	"231"	"30"	"7"	"109"	"262"	"6"	"18"	"12"	"7"	"0"	"16"	"41"	"508"	""	"508"	""
"315"	""	"232"	"18"	"4"	"36"	"447"	"4"	"5"	"3"	"1"	"3"	"4"	"5"	"530"	""	"530"	""
"316"	""	"233"	"15"	"1"	"32"	"368"	"6"	"2"	"6"	"2"	"4"	"4"	"28"	"468"	""	"468"	""
"317"	""	"234"	"11"	"3"	"30"	"412"	"7"	"3"	"10"	"2"	"5"	"5"	"18"	"506"	""	"506"	""
"318"	""	"235"	"110"	"2"	"46"	"263"	"7"	"6"	"5"	"3"	"1"	"7"	"15"	"465"	""	"465"	""
"319"	""	"236"	"16"	"2"	"4"	"476"	"5"	"4"	"3"	"0"	"0"	"0"	"2"	"512"	""	"512"	""
"320"	""	"237"	"170"	"2"	"35"	"163"	"1"	"2"	"2"	"1"	"0"	"0"	"0"	"376"	""	"376"	""
"321"	""	"238"	"147"	"5"	"88"	"122"	"2"	"0"	"2"	"0"	"1"	"1"	"2"	"370"	""	"370"	""
"322"	""	"Total -17"	"809"	"45"	"970"	"4030"	"62"	"60"	"63"	"31"	"20"	"54"	"149"	"6293"	"0"	"6293"	"0"
"323"	""	""	""	""	""	""	""	"248211
40-Laukaha"	""	""	""	""	""	""	""	""	""
"324"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"325"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"326"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"327"	"Round No 18"	"239"	"81"	"7"	"7"	"232"	"4"	"1"	"4"	"3"	"2"	"3"	"8"	"352"	""	"352"	""
"328"	""	"240"	"25"	"13"	"52"	"289"	"8"	"33"	"8"	"6"	"1"	"3"	"17"	"455"	""	"455"	""
"329"	""	"241"	"43"	"6"	"246"	"194"	"5"	"2"	"3"	"1"	"5"	"4"	"9"	"518"	""	"518"	""
"330"	""	"242"	"42"	"7"	"149"	"152"	"4"	"1"	"2"	"1"	"1"	"0"	"1"	"360"	""	"360"	""
"331"	""	"243"	"46"	"3"	"19"	"329"	"4"	"5"	"1"	"3"	"2"	"2"	"7"	"421"	""	"421"	""
"332"	""	"244"	"19"	"2"	"14"	"662"	"15"	"7"	"5"	"2"	"3"	"4"	"19"	"752"	""	"752"	""
"333"	""	"245"	"111"	"1"	"23"	"490"	"6"	"5"	"1"	"3"	"1"	"4"	"4"	"649"	""	"649"	""
"334"	""	"246"	"15"	"5"	"180"	"282"	"8"	"1"	"4"	"2"	"6"	"0"	"4"	"507"	""	"507"	""
"335"	""	"247"	"18"	"2"	"123"	"221"	"8"	"10"	"8"	"4"	"10"	"2"	"7"	"413"	""	"413"	""
"336"	""	"248"	"29"	"3"	"97"	"184"	"3"	"1"	"3"	"2"	"2"	"1"	"6"	"331"	""	"331"	""
"337"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"338"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"339"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"341"	""	"Total -18"	"429"	"49"	"910"	"3035"	"65"	"66"	"39"	"27"	"33"	"23"	"82"	"4758"	"0"	"4758"	"0"
"342"	""	""	""	""	""	""	""	"248211
40-Laukaha"	""	""	""	""	""	""	""	""	""
"343"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"344"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"345"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"346"	"Final"	"Total No. of votes recorded at Polling"	"14567"	"1292"	"33657"	"54293"	"1385"	"1290"	"1052"	"727"	"689"	"1018"	"2361"	"112331"	"0"	"112331"	"0"
"347"	""	"No. of Votes recorded on postal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"348"	""	"TOTAL VOTES POLLED"	"14567"	"1292"	"33657"	"54293"	"1385"	"1290"	"1052"	"727"	"689"	"1018"	"2361"	"112331"	"0"	"112331"	"0"
