"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the House of the people from the 39- Nawada  Parliamentary Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly / Segment   170- BARBIGHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"107"	"11"	"81"	"7"	"119"	"5"	"261"	"42"	"1"	"0"	"4"	"0"	"6"	"2"	"1"	"2"	"2"	"1"	"1"	"0"	"1"	"6"	"3"	"3"	"467"	"0"	"467"	"0"
"108"	"12"	"82"	"4"	"215"	"4"	"54"	"13"	"0"	"0"	"1"	"0"	"8"	"2"	"0"	"3"	"7"	"14"	"10"	"1"	"1"	"0"	"3"	"3"	"343"	"0"	"343"	"0"
"109"	"13"	"83"	"12"	"165"	"9"	"46"	"15"	"5"	"1"	"4"	"2"	"3"	"47"	"1"	"8"	"10"	"5"	"17"	"3"	"5"	"0"	"2"	"9"	"369"	"0"	"369"	"0"
"110"	"14"	"84"	"2"	"92"	"29"	"133"	"6"	"0"	"1"	"1"	"0"	"0"	"21"	"2"	"4"	"1"	"0"	"6"	"2"	"1"	"0"	"1"	"4"	"306"	"0"	"306"	"0"
"111"	"ROUND-6"	""	"96"	"2104"	"231"	"1519"	"496"	"24"	"32"	"44"	"19"	"146"	"165"	"200"	"80"	"85"	"71"	"117"	"49"	"53"	"31"	"44"	"73"	"5679"	"0"	"5679"	"0"
"112"	"Place - Nawada
Date -      25/05/2011                                                                                                                                                                                                                                                            Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"1"	"85"	"0"	"187"	"9"	"6"	"12"	"0"	"0"	"1"	"0"	"0"	"7"	"0"	"1"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"4"	"234"	"0"	"234"	"0"
"114"	"2"	"86"	"9"	"152"	"6"	"65"	"42"	"1"	"2"	"0"	"0"	"0"	"3"	"3"	"2"	"0"	"1"	"2"	"2"	"0"	"0"	"1"	"0"	"291"	"0"	"291"	"0"
"115"	"3"	"87"	"4"	"120"	"20"	"87"	"13"	"0"	"0"	"0"	"1"	"1"	"3"	"12"	"12"	"5"	"4"	"6"	"1"	"2"	"0"	"1"	"3"	"295"	"0"	"295"	"0"
"116"	"4"	"88"	"9"	"75"	"16"	"117"	"11"	"1"	"2"	"1"	"5"	"5"	"24"	"4"	"29"	"5"	"13"	"8"	"1"	"5"	"4"	"14"	"7"	"356"	"0"	"356"	"0"
"117"	"5"	"89"	"7"	"199"	"6"	"21"	"1"	"0"	"0"	"2"	"2"	"4"	"23"	"18"	"1"	"4"	"6"	"5"	"6"	"25"	"5"	"7"	"5"	"347"	"0"	"347"	"0"
"118"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"119"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"120"	"6"	"90"	"7"	"106"	"1"	"61"	"4"	"2"	"0"	"1"	"2"	"5"	"7"	"13"	"4"	"10"	"3"	"5"	"5"	"11"	"5"	"7"	"7"	"266"	"0"	"266"	"0"
"121"	"7"	"91"	"2"	"69"	"2"	"104"	"4"	"0"	"0"	"0"	"0"	"0"	"3"	"3"	"1"	"2"	"1"	"2"	"0"	"4"	"0"	"1"	"1"	"199"	"0"	"199"	"0"
"122"	"8"	"92"	"7"	"151"	"3"	"50"	"5"	"2"	"1"	"3"	"1"	"6"	"12"	"4"	"3"	"8"	"15"	"14"	"2"	"3"	"4"	"3"	"3"	"300"	"0"	"300"	"0"
"123"	"9"	"93"	"2"	"154"	"3"	"155"	"5"	"2"	"2"	"3"	"0"	"0"	"1"	"3"	"10"	"26"	"25"	"11"	"12"	"18"	"2"	"21"	"8"	"463"	"0"	"463"	"0"
"124"	"10"	"94"	"13"	"87"	"13"	"39"	"8"	"4"	"1"	"0"	"4"	"0"	"3"	"4"	"3"	"5"	"7"	"1"	"22"	"4"	"0"	"1"	"4"	"223"	"0"	"223"	"0"
"125"	"11"	"95"	"38"	"191"	"11"	"106"	"23"	"1"	"2"	"3"	"1"	"14"	"1"	"6"	"10"	"9"	"7"	"6"	"28"	"7"	"0"	"2"	"0"	"466"	"0"	"466"	"0"
"126"	"12"	"96"	"8"	"157"	"10"	"59"	"5"	"1"	"1"	"5"	"1"	"26"	"6"	"8"	"7"	"14"	"14"	"7"	"7"	"4"	"4"	"0"	"3"	"347"	"0"	"347"	"0"
"127"	"13"	"97"	"12"	"164"	"9"	"184"	"29"	"4"	"2"	"5"	"2"	"51"	"3"	"8"	"16"	"4"	"15"	"9"	"12"	"4"	"2"	"1"	"7"	"543"	"0"	"543"	"0"
"128"	"14"	"98"	"15"	"194"	"16"	"128"	"9"	"3"	"11"	"3"	"3"	"1"	"1"	"6"	"4"	"6"	"3"	"4"	"13"	"4"	"2"	"2"	"6"	"434"	"0"	"434"	"0"
"129"	"ROUND-7"	""	"133"	"2006"	"125"	"1182"	"171"	"21"	"24"	"27"	"22"	"113"	"97"	"92"	"103"	"102"	"116"	"81"	"111"	"91"	"28"	"61"	"58"	"4764"	"0"	"4764"	"0"
"130"	"Place - Nawada
Date -      25/05/2011                                                                                                                                                                                                                                                            Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"1"	"99"	"1"	"138"	"1"	"22"	"1"	"2"	"0"	"0"	"1"	"6"	"1"	"0"	"1"	"4"	"2"	"6"	"1"	"0"	"0"	"1"	"1"	"189"	"0"	"189"	"0"
"132"	"2"	"100"	"11"	"57"	"14"	"252"	"52"	"3"	"1"	"2"	"0"	"8"	"6"	"6"	"23"	"2"	"2"	"10"	"3"	"0"	"1"	"6"	"6"	"465"	"0"	"465"	"0"
"133"	"3"	"101"	"22"	"106"	"6"	"157"	"57"	"3"	"1"	"0"	"2"	"12"	"2"	"3"	"7"	"0"	"7"	"5"	"14"	"11"	"5"	"5"	"13"	"438"	"0"	"438"	"0"
"134"	"4"	"102"	"5"	"1"	"74"	"39"	"38"	"2"	"1"	"2"	"1"	"2"	"0"	"9"	"1"	"2"	"1"	"3"	"9"	"0"	"1"	"1"	"2"	"194"	"0"	"194"	"0"
"135"	"5"	"103"	"10"	"3"	"31"	"36"	"41"	"2"	"1"	"0"	"0"	"2"	"2"	"7"	"4"	"3"	"0"	"2"	"3"	"1"	"0"	"1"	"0"	"149"	"0"	"149"	"0"
"136"	"6"	"104"	"21"	"21"	"69"	"38"	"110"	"3"	"2"	"2"	"1"	"9"	"0"	"21"	"4"	"5"	"2"	"4"	"4"	"1"	"0"	"0"	"3"	"320"	"0"	"320"	"0"
"137"	"7"	"105"	"12"	"115"	"25"	"99"	"71"	"0"	"1"	"9"	"3"	"7"	"2"	"10"	"19"	"13"	"5"	"22"	"5"	"6"	"4"	"8"	"13"	"449"	"0"	"449"	"0"
"138"	"8"	"106"	"8"	"98"	"5"	"127"	"80"	"2"	"1"	"1"	"0"	"58"	"2"	"2"	"6"	"2"	"2"	"3"	"18"	"2"	"2"	"3"	"11"	"433"	"0"	"433"	"0"
"139"	"9"	"107"	"21"	"133"	"48"	"99"	"19"	"6"	"1"	"2"	"5"	"33"	"5"	"8"	"10"	"6"	"7"	"27"	"71"	"10"	"3"	"5"	"8"	"527"	"0"	"527"	"0"
"140"	"10"	"108"	"18"	"185"	"37"	"49"	"12"	"3"	"1"	"1"	"5"	"5"	"9"	"10"	"4"	"7"	"4"	"7"	"13"	"7"	"3"	"3"	"7"	"390"	"0"	"390"	"0"
"141"	"11"	"109"	"16"	"19"	"4"	"46"	"9"	"10"	"3"	"2"	"6"	"3"	"99"	"13"	"3"	"5"	"3"	"4"	"28"	"5"	"1"	"3"	"4"	"286"	"0"	"286"	"0"
"142"	"12"	"110"	"24"	"123"	"6"	"57"	"7"	"5"	"1"	"28"	"6"	"25"	"0"	"6"	"6"	"3"	"6"	"3"	"59"	"8"	"5"	"5"	"12"	"395"	"0"	"395"	"0"
"143"	"13"	"111"	"21"	"172"	"39"	"82"	"9"	"4"	"3"	"5"	"3"	"5"	"41"	"63"	"6"	"6"	"1"	"2"	"5"	"5"	"0"	"3"	"5"	"480"	"0"	"480"	"0"
"144"	"14"	"112"	"26"	"83"	"18"	"41"	"20"	"2"	"2"	"17"	"3"	"7"	"71"	"9"	"10"	"0"	"4"	"2"	"14"	"1"	"1"	"2"	"1"	"334"	"0"	"334"	"0"
"145"	"ROUND-8"	""	"216"	"1254"	"377"	"1144"	"526"	"47"	"19"	"71"	"36"	"182"	"240"	"167"	"104"	"58"	"46"	"100"	"247"	"57"	"26"	"46"	"86"	"5049"	"0"	"5049"	"0"
"146"	"Place - Nawada
Date -      25/05/2011                                                                                                                                                                                                                                                            Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"1"	"113"	"8"	"88"	"0"	"54"	"6"	"6"	"2"	"5"	"1"	"9"	"13"	"13"	"4"	"11"	"7"	"5"	"38"	"9"	"3"	"8"	"17"	"307"	"0"	"307"	"0"
"148"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"149"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"150"	"2"	"114"	"4"	"32"	"2"	"6"	"6"	"4"	"1"	"6"	"3"	"5"	"142"	"6"	"1"	"7"	"0"	"5"	"28"	"4"	"2"	"4"	"16"	"284"	"0"	"284"	"0"
"151"	"3"	"115"	"9"	"148"	"19"	"43"	"16"	"4"	"0"	"4"	"4"	"96"	"2"	"6"	"1"	"2"	"3"	"4"	"2"	"0"	"2"	"1"	"4"	"370"	"0"	"370"	"0"
"152"	"4"	"116"	"4"	"105"	"4"	"57"	"5"	"0"	"4"	"5"	"1"	"141"	"7"	"1"	"1"	"0"	"2"	"3"	"7"	"3"	"2"	"6"	"22"	"380"	"0"	"380"	"0"
"153"	"5"	"117"	"8"	"106"	"3"	"52"	"4"	"1"	"0"	"1"	"0"	"9"	"2"	"2"	"2"	"2"	"2"	"4"	"30"	"3"	"2"	"3"	"6"	"242"	"0"	"242"	"0"
"154"	"6"	"118"	"1"	"77"	"5"	"69"	"5"	"0"	"5"	"0"	"0"	"6"	"0"	"0"	"1"	"2"	"2"	"3"	"1"	"0"	"1"	"0"	"0"	"178"	"0"	"178"	"0"
"155"	"7"	"119"	"6"	"186"	"5"	"80"	"28"	"0"	"3"	"1"	"0"	"25"	"3"	"0"	"9"	"5"	"5"	"8"	"14"	"3"	"0"	"2"	"5"	"388"	"0"	"388"	"0"
"156"	"8"	"120"	"39"	"303"	"8"	"80"	"48"	"7"	"2"	"3"	"2"	"29"	"1"	"3"	"4"	"3"	"3"	"11"	"25"	"7"	"2"	"8"	"15"	"603"	"0"	"603"	"0"
"157"	"9"	"121"	"24"	"304"	"8"	"137"	"58"	"3"	"1"	"0"	"1"	"7"	"0"	"1"	"3"	"4"	"3"	"4"	"15"	"2"	"1"	"4"	"3"	"583"	"0"	"583"	"0"
"158"	"10"	"122"	"46"	"141"	"10"	"78"	"24"	"2"	"1"	"2"	"0"	"3"	"1"	"5"	"2"	"3"	"9"	"22"	"12"	"3"	"3"	"2"	"5"	"374"	"0"	"374"	"0"
"159"	"11"	"123"	"23"	"185"	"7"	"103"	"23"	"3"	"3"	"0"	"0"	"4"	"1"	"5"	"6"	"11"	"13"	"14"	"7"	"0"	"0"	"3"	"3"	"414"	"0"	"414"	"0"
"160"	"12"	"124"	"1"	"9"	"18"	"16"	"3"	"0"	"0"	"0"	"1"	"15"	"1"	"99"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"3"	"168"	"0"	"168"	"0"
"161"	"13"	"125"	"21"	"22"	"5"	"9"	"1"	"0"	"0"	"0"	"0"	"18"	"0"	"68"	"2"	"3"	"3"	"2"	"2"	"1"	"0"	"0"	"1"	"158"	"0"	"158"	"0"
"162"	"14"	"126"	"5"	"136"	"8"	"73"	"9"	"1"	"2"	"1"	"0"	"4"	"0"	"7"	"11"	"12"	"14"	"12"	"11"	"4"	"1"	"1"	"9"	"321"	"0"	"321"	"0"
"163"	"ROUND-9"	""	"199"	"1842"	"102"	"857"	"236"	"31"	"24"	"28"	"13"	"371"	"173"	"216"	"47"	"65"	"66"	"98"	"193"	"39"	"19"	"42"	"109"	"4770"	"0"	"4770"	"0"
"164"	"Place - Nawada
Date -      25/05/2011                                                                                                                                                                                                                                                            Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"1"	"127"	"12"	"56"	"5"	"22"	"4"	"0"	"1"	"5"	"1"	"3"	"0"	"7"	"6"	"3"	"10"	"7"	"57"	"3"	"1"	"2"	"5"	"210"	"0"	"210"	"0"
"166"	"2"	"128"	"32"	"128"	"21"	"50"	"145"	"6"	"5"	"5"	"0"	"3"	"7"	"3"	"7"	"8"	"2"	"8"	"6"	"1"	"1"	"2"	"7"	"447"	"0"	"447"	"0"
"167"	"3"	"129"	"9"	"108"	"6"	"104"	"237"	"3"	"2"	"1"	"0"	"3"	"0"	"0"	"3"	"1"	"0"	"2"	"4"	"1"	"1"	"0"	"3"	"488"	"0"	"488"	"0"
"168"	"4"	"130"	"4"	"262"	"4"	"41"	"43"	"3"	"3"	"2"	"2"	"4"	"10"	"6"	"4"	"10"	"8"	"5"	"6"	"1"	"0"	"1"	"7"	"426"	"0"	"426"	"0"
"169"	"5"	"131"	"30"	"261"	"5"	"11"	"44"	"2"	"4"	"0"	"1"	"1"	"5"	"16"	"2"	"3"	"0"	"2"	"48"	"5"	"2"	"4"	"5"	"451"	"0"	"451"	"0"
"170"	"6"	"132"	"12"	"351"	"32"	"37"	"76"	"4"	"0"	"0"	"1"	"7"	"14"	"9"	"2"	"1"	"0"	"7"	"3"	"5"	"3"	"2"	"4"	"570"	"0"	"570"	"0"
"171"	"7"	"133"	"16"	"108"	"10"	"48"	"28"	"18"	"3"	"4"	"3"	"11"	"40"	"9"	"12"	"10"	"10"	"22"	"84"	"6"	"4"	"6"	"8"	"460"	"0"	"460"	"0"
"172"	"8"	"134"	"8"	"313"	"2"	"101"	"142"	"2"	"2"	"0"	"0"	"26"	"1"	"1"	"3"	"5"	"7"	"5"	"1"	"2"	"1"	"0"	"1"	"623"	"0"	"623"	"0"
"173"	"9"	"135"	"8"	"286"	"4"	"44"	"71"	"1"	"1"	"1"	"3"	"38"	"0"	"3"	"3"	"26"	"14"	"14"	"2"	"1"	"2"	"0"	"5"	"527"	"0"	"527"	"0"
"174"	"10"	"136"	"5"	"157"	"8"	"17"	"9"	"0"	"0"	"0"	"2"	"10"	"0"	"0"	"2"	"0"	"1"	"2"	"3"	"1"	"0"	"0"	"0"	"217"	"0"	"217"	"0"
"175"	"11"	"137"	"2"	"224"	"6"	"79"	"108"	"2"	"0"	"4"	"1"	"3"	"4"	"3"	"6"	"10"	"24"	"9"	"13"	"24"	"7"	"10"	"19"	"558"	"0"	"558"	"0"
"176"	"12"	"138"	"14"	"215"	"9"	"49"	"35"	"1"	"3"	"3"	"3"	"19"	"3"	"4"	"6"	"8"	"11"	"5"	"1"	"1"	"1"	"0"	"0"	"391"	"0"	"391"	"0"
"177"	"13"	"139"	"4"	"50"	"2"	"81"	"60"	"5"	"1"	"0"	"2"	"18"	"10"	"5"	"6"	"2"	"4"	"5"	"1"	"0"	"0"	"1"	"0"	"257"	"0"	"257"	"0"
"178"	"14"	"140"	"8"	"150"	"5"	"6"	"34"	"5"	"1"	"0"	"1"	"0"	"16"	"8"	"4"	"5"	"2"	"1"	"2"	"2"	"0"	"2"	"0"	"252"	"0"	"252"	"0"
"179"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"180"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"181"	"ROUND-10"	""	"164"	"2669"	"119"	"690"	"1036"	"52"	"26"	"25"	"20"	"146"	"110"	"74"	"66"	"92"	"93"	"94"	"231"	"53"	"23"	"30"	"64"	"5877"	"0"	"5877"	"0"
"182"	"Place - Nawada
Date -      25/05/2011                                                                                                                                                                                                                                                            Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"1"	"141"	"3"	"116"	"2"	"3"	"29"	"2"	"0"	"2"	"0"	"1"	"16"	"1"	"3"	"4"	"2"	"4"	"1"	"17"	"0"	"1"	"7"	"214"	"0"	"214"	"0"
"184"	"2"	"142"	"3"	"107"	"1"	"60"	"158"	"1"	"1"	"1"	"3"	"12"	"0"	"2"	"1"	"4"	"5"	"1"	"0"	"1"	"0"	"1"	"1"	"363"	"0"	"363"	"0"
"185"	"3"	"143"	"12"	"348"	"3"	"32"	"57"	"3"	"2"	"4"	"0"	"1"	"2"	"8"	"4"	"5"	"2"	"9"	"3"	"1"	"0"	"5"	"4"	"505"	"0"	"505"	"0"
"186"	"4"	"144"	"28"	"205"	"8"	"170"	"76"	"5"	"1"	"4"	"2"	"31"	"6"	"7"	"5"	"3"	"6"	"5"	"6"	"5"	"6"	"3"	"7"	"589"	"0"	"589"	"0"
"187"	"5"	"145"	"3"	"281"	"1"	"42"	"10"	"1"	"0"	"0"	"1"	"3"	"4"	"5"	"8"	"8"	"10"	"9"	"1"	"5"	"2"	"2"	"1"	"397"	"0"	"397"	"0"
"188"	"6"	"146"	"2"	"137"	"2"	"42"	"51"	"2"	"0"	"2"	"2"	"58"	"1"	"1"	"5"	"6"	"1"	"7"	"3"	"26"	"1"	"9"	"23"	"381"	"0"	"381"	"0"
"189"	"7"	"147"	"33"	"190"	"16"	"78"	"58"	"3"	"4"	"27"	"1"	"5"	"22"	"5"	"6"	"3"	"4"	"4"	"2"	"4"	"1"	"4"	"6"	"476"	"0"	"476"	"0"
"190"	"8"	"148"	"12"	"59"	"3"	"50"	"195"	"7"	"3"	"5"	"4"	"9"	"32"	"8"	"16"	"13"	"10"	"41"	"4"	"0"	"1"	"1"	"13"	"486"	"0"	"486"	"0"
"191"	"9"	"149"	"2"	"34"	"0"	"24"	"12"	"1"	"0"	"0"	"1"	"1"	"6"	"70"	"1"	"2"	"0"	"1"	"9"	"0"	"0"	"1"	"2"	"167"	"0"	"167"	"0"
"192"	"10"	"150"	"14"	"23"	"1"	"207"	"47"	"4"	"0"	"2"	"1"	"3"	"0"	"5"	"3"	"2"	"2"	"4"	"11"	"0"	"1"	"9"	"11"	"350"	"0"	"350"	"0"
"193"	"11"	"151"	"11"	"19"	"27"	"151"	"27"	"1"	"0"	"2"	"2"	"2"	"4"	"0"	"6"	"0"	"0"	"3"	"67"	"0"	"0"	"3"	"3"	"328"	"0"	"328"	"0"
"194"	"12"	"152"	"9"	"58"	"2"	"4"	"235"	"2"	"1"	"0"	"2"	"1"	"2"	"1"	"6"	"0"	"1"	"3"	"3"	"0"	"0"	"1"	"0"	"331"	"0"	"331"	"0"
"195"	"13"	"153"	"15"	"35"	"10"	"18"	"79"	"7"	"2"	"3"	"2"	"9"	"1"	"9"	"4"	"5"	"6"	"10"	"165"	"12"	"3"	"4"	"12"	"411"	"0"	"411"	"0"
"196"	"14"	"154"	"4"	"32"	"1"	"44"	"359"	"1"	"0"	"0"	"0"	"17"	"0"	"1"	"3"	"0"	"0"	"1"	"4"	"1"	"0"	"0"	"4"	"472"	"0"	"472"	"0"
"197"	"ROUND-11"	""	"151"	"1644"	"77"	"925"	"1393"	"40"	"14"	"52"	"21"	"153"	"96"	"123"	"71"	"55"	"49"	"102"	"279"	"72"	"15"	"44"	"94"	"5470"	"0"	"5470"	"0"
"198"	"Place - Nawada
Date -      25/05/2011                                                                                                                                                                                                                                                            Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"1"	"155"	"6"	"37"	"0"	"12"	"290"	"1"	"0"	"0"	"0"	"14"	"0"	"2"	"0"	"2"	"2"	"1"	"0"	"1"	"0"	"0"	"3"	"371"	"0"	"371"	"0"
"200"	"2"	"156"	"0"	"26"	"2"	"11"	"569"	"7"	"2"	"1"	"0"	"5"	"0"	"1"	"0"	"0"	"0"	"3"	"5"	"1"	"0"	"0"	"1"	"634"	"0"	"634"	"0"
"201"	"3"	"157"	"3"	"37"	"0"	"13"	"580"	"6"	"5"	"1"	"1"	"0"	"0"	"3"	"4"	"1"	"1"	"4"	"1"	"0"	"0"	"2"	"2"	"664"	"0"	"664"	"0"
"202"	"4"	"158"	"16"	"232"	"7"	"37"	"165"	"6"	"5"	"5"	"1"	"4"	"9"	"8"	"4"	"8"	"4"	"15"	"14"	"6"	"3"	"5"	"13"	"567"	"0"	"567"	"0"
"203"	"5"	"159"	"3"	"129"	"7"	"23"	"127"	"2"	"2"	"6"	"0"	"0"	"2"	"1"	"2"	"2"	"0"	"2"	"8"	"1"	"1"	"2"	"4"	"324"	"0"	"324"	"0"
"204"	"6"	"160"	"15"	"70"	"15"	"23"	"134"	"4"	"1"	"3"	"1"	"3"	"0"	"16"	"2"	"4"	"0"	"3"	"2"	"1"	"1"	"0"	"0"	"298"	"0"	"298"	"0"
"205"	"7"	"161"	"17"	"40"	"6"	"23"	"26"	"5"	"1"	"2"	"8"	"236"	"2"	"0"	"1"	"5"	"5"	"2"	"8"	"1"	"1"	"4"	"10"	"403"	"0"	"403"	"0"
"206"	"8"	"162"	"7"	"75"	"3"	"43"	"101"	"3"	"2"	"3"	"0"	"57"	"9"	"5"	"4"	"3"	"1"	"5"	"5"	"0"	"1"	"0"	"3"	"330"	"0"	"330"	"0"
"207"	"9"	"163"	"1"	"23"	"1"	"13"	"20"	"0"	"0"	"1"	"1"	"55"	"15"	"123"	"8"	"13"	"8"	"5"	"0"	"0"	"4"	"0"	"8"	"299"	"0"	"299"	"0"
"208"	"10"	"164"	"8"	"47"	"1"	"6"	"20"	"1"	"2"	"2"	"3"	"25"	"13"	"114"	"5"	"3"	"4"	"9"	"1"	"1"	"2"	"0"	"1"	"268"	"0"	"268"	"0"
"209"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"210"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"211"	"11"	"165"	"4"	"7"	"8"	"243"	"32"	"3"	"0"	"5"	"2"	"6"	"5"	"27"	"3"	"2"	"5"	"3"	"51"	"3"	"4"	"5"	"7"	"425"	"0"	"425"	"0"
