"i.zi...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &02&j keuxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"fuokZpdksa dh dqy  l a[ ; k&221699"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz
i zl kn   xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"139"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz
i zl kn   xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"140"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"141"	"85"	"12"	"350"	"86"	"3"	"38"	"18"	"1"	"3"	"5"	"2"	"22"	"0"	"3"	"4"	"3"	"3"	"553"	""	"553"	""
"142"	"86"	"10"	"166"	"121"	"37"	"24"	"3"	"3"	"0"	"3"	"0"	"172"	"0"	"1"	"0"	"0"	"1"	"541"	""	"541"	""
"143"	"87"	"18"	"253"	"63"	"7"	"45"	"5"	"3"	"2"	"0"	"2"	"111"	"3"	"6"	"3"	"5"	"5"	"531"	""	"531"	""
"144"	"88"	"9"	"242"	"109"	"4"	"6"	"2"	"0"	"0"	"1"	"5"	"52"	"2"	"4"	"2"	"7"	"3"	"448"	""	"448"	""
"145"	"89"	"4"	"113"	"25"	"15"	"29"	"1"	"3"	"2"	"3"	"2"	"375"	"3"	"6"	"1"	"1"	"4"	"587"	""	"587"	""
"146"	"90"	"7"	"107"	"60"	"6"	"2"	"10"	"3"	"2"	"6"	"3"	"265"	"4"	"6"	"3"	"2"	"9"	"495"	""	"495"	""
"147"	"91"	"0"	"9"	"0"	"2"	"20"	"3"	"1"	"1"	"1"	"2"	"296"	"3"	"6"	"0"	"0"	"6"	"350"	""	"350"	""
"148"	"92"	"24"	"76"	"134"	"5"	"24"	"1"	"1"	"0"	"2"	"2"	"130"	"2"	"4"	"1"	"2"	"5"	"413"	""	"413"	""
"149"	"93"	"4"	"145"	"164"	"2"	"16"	"6"	"5"	"4"	"2"	"3"	"9"	"5"	"4"	"0"	"5"	"8"	"382"	""	"382"	""
"150"	"94"	"18"	"208"	"5"	"8"	"32"	"7"	"2"	"1"	"3"	"7"	"312"	"5"	"7"	"2"	"1"	"5"	"623"	""	"623"	""
"151"	"95"	"7"	"38"	"7"	"2"	"8"	"3"	"2"	"1"	"1"	"3"	"346"	"3"	"7"	"0"	"0"	"7"	"435"	""	"435"	""
"152"	"96"	"4"	"128"	"112"	"4"	"16"	"8"	"2"	"2"	"4"	"5"	"183"	"5"	"11"	"8"	"9"	"19"	"520"	""	"520"	""
"153"	"97"	"12"	"173"	"88"	"11"	"16"	"6"	"1"	"4"	"1"	"5"	"334"	"4"	"6"	"2"	"2"	"7"	"672"	""	"672"	""
"154"	"98"	"7"	"319"	"23"	"2"	"8"	"3"	"3"	"0"	"1"	"3"	"37"	"0"	"1"	"2"	"3"	"1"	"413"	""	"413"	""
"155"	"VksVy"	"136"	"2327"	"997"	"108"	"284"	"76"	"30"	"22"	"33"	"44"	"2644"	"39"	"72"	"28"	"40"	"83"	"6963"	"0"	"6963"	"0"
"156"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &02&j keuxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"fuokZpdksa dh dqy  l a[ ; k&221699"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz
i zl kn   xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"161"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"162"	"99"	"3"	"200"	"8"	"24"	"8"	"1"	"1"	"2"	"1"	"0"	"145"	"0"	"5"	"0"	"1"	"2"	"401"	""	"401"	""
"163"	"100"	"3"	"29"	"8"	"36"	"15"	"6"	"1"	"5"	"2"	"3"	"557"	"3"	"12"	"0"	"0"	"4"	"684"	""	"684"	""
"164"	"101"	"7"	"28"	"3"	"12"	"4"	"4"	"1"	"3"	"1"	"4"	"473"	"9"	"5"	"4"	"5"	"8"	"571"	""	"571"	""
"165"	"102"	"9"	"130"	"165"	"36"	"61"	"5"	"8"	"4"	"3"	"4"	"112"	"5"	"7"	"7"	"2"	"5"	"563"	""	"563"	""
"166"	"103"	"4"	"251"	"203"	"7"	"58"	"4"	"2"	"1"	"4"	"0"	"43"	"4"	"3"	"1"	"2"	"3"	"590"	""	"590"	""
"167"	"104"	"10"	"171"	"308"	"20"	"13"	"5"	"4"	"1"	"4"	"6"	"114"	"5"	"4"	"4"	"6"	"11"	"686"	""	"686"	""
"168"	"105"	"11"	"191"	"42"	"10"	"12"	"20"	"4"	"6"	"3"	"6"	"316"	"4"	"10"	"0"	"1"	"4"	"640"	""	"640"	""
"169"	"106"	"19"	"209"	"46"	"7"	"50"	"3"	"2"	"1"	"1"	"3"	"166"	"4"	"4"	"3"	"5"	"0"	"523"	""	"523"	""
"170"	"107"	"2"	"287"	"20"	"22"	"4"	"2"	"0"	"0"	"0"	"0"	"48"	"1"	"2"	"1"	"2"	"4"	"395"	""	"395"	""
"171"	"108"	"2"	"203"	"11"	"6"	"4"	"1"	"0"	"1"	"1"	"1"	"107"	"1"	"6"	"2"	"1"	"11"	"358"	""	"358"	""
"172"	"109"	"8"	"119"	"4"	"2"	"9"	"5"	"1"	"0"	"1"	"2"	"81"	"4"	"5"	"2"	"1"	"4"	"248"	""	"248"	""
"173"	"110"	"8"	"193"	"49"	"7"	"23"	"8"	"7"	"1"	"1"	"0"	"155"	"5"	"4"	"0"	"1"	"2"	"464"	""	"464"	""
"174"	"111"	"6"	"138"	"131"	"7"	"21"	"10"	"2"	"1"	"2"	"5"	"111"	"3"	"4"	"1"	"1"	"6"	"449"	""	"449"	""
"175"	"112"	"7"	"228"	"8"	"3"	"21"	"5"	"3"	"3"	"1"	"5"	"367"	"2"	"8"	"6"	"2"	"9"	"678"	""	"678"	""
"176"	"VksVy"	"99"	"2377"	"1006"	"199"	"303"	"79"	"36"	"29"	"25"	"39"	"2795"	"50"	"79"	"31"	"30"	"73"	"7250"	"0"	"7250"	"0"
"177"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &02&j keuxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"fuokZpdksa dh dqy  l a[ ; k&221699"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz
i zl kn   xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"182"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"183"	"113"	"6"	"37"	"4"	"1"	"28"	"112"	"3"	"1"	"7"	"5"	"52"	"2"	"1"	"4"	"2"	"10"	"275"	""	"275"	""
"184"	"114"	"4"	"151"	"64"	"4"	"13"	"3"	"2"	"2"	"1"	"2"	"61"	"1"	"1"	"2"	"6"	"7"	"324"	""	"324"	""
"185"	"115"	"6"	"259"	"65"	"44"	"146"	"16"	"5"	"1"	"1"	"2"	"19"	"2"	"4"	"0"	"5"	"11"	"586"	""	"586"	""
"186"	"116"	"13"	"289"	"111"	"57"	"67"	"17"	"3"	"2"	"3"	"7"	"20"	"0"	"6"	"5"	"12"	"12"	"624"	""	"624"	""
"187"	"117"	"4"	"214"	"58"	"9"	"17"	"1"	"2"	"3"	"2"	"1"	"85"	"1"	"9"	"4"	"20"	"15"	"445"	""	"445"	""
"188"	"118"	"17"	"467"	"15"	"7"	"32"	"10"	"2"	"3"	"5"	"6"	"11"	"5"	"1"	"1"	"2"	"6"	"590"	""	"590"	""
"189"	"119"	"8"	"374"	"62"	"9"	"66"	"6"	"2"	"2"	"11"	"7"	"61"	"5"	"4"	"4"	"8"	"12"	"641"	""	"641"	""
"190"	"120"	"5"	"165"	"11"	"8"	"35"	"4"	"0"	"1"	"2"	"3"	"73"	"2"	"3"	"0"	"5"	"2"	"319"	""	"319"	""
"191"	"121"	"1"	"20"	"3"	"9"	"10"	"4"	"1"	"1"	"0"	"4"	"267"	"3"	"9"	"2"	"0"	"1"	"335"	""	"335"	""
"192"	"122"	"3"	"41"	"93"	"3"	"71"	"2"	"0"	"0"	"0"	"2"	"58"	"2"	"3"	"0"	"0"	"1"	"279"	""	"279"	""
"193"	"123"	"2"	"24"	"63"	"4"	"15"	"5"	"5"	"0"	"2"	"4"	"324"	"4"	"12"	"2"	"3"	"3"	"472"	""	"472"	""
"194"	"124"	"7"	"150"	"27"	"47"	"13"	"6"	"7"	"3"	"3"	"6"	"247"	"4"	"16"	"2"	"0"	"3"	"541"	""	"541"	""
"195"	"125"	"1"	"44"	"3"	"3"	"19"	"8"	"1"	"2"	"1"	"5"	"555"	"2"	"6"	"1"	"0"	"2"	"653"	""	"653"	""
"196"	"126"	"4"	"52"	"16"	"3"	"8"	"43"	"1"	"6"	"5"	"8"	"507"	"7"	"16"	"4"	"3"	"11"	"694"	""	"694"	""
"197"	"VksVy"	"81"	"2287"	"595"	"208"	"540"	"237"	"34"	"27"	"43"	"62"	"2340"	"40"	"91"	"31"	"66"	"96"	"6778"	"0"	"6778"	"0"
"198"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &02&j keuxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"fuokZpdksa dh dqy  l a[ ; k&221699                                                                                                 vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz
i zl kn   xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"204"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"205"	"127"	"14"	"185"	"6"	"6"	"0"	"5"	"30"	"5"	"1"	"7"	"23"	"4"	"4"	"9"	"8"	"7"	"314"	""	"314"	""
"206"	"128"	"7"	"96"	"4"	"2"	"4"	"12"	"19"	"2"	"2"	"4"	"1"	"2"	"2"	"4"	"4"	"5"	"170"	""	"170"	""
"207"	"129"	"31"	"215"	"10"	"3"	"8"	"7"	"58"	"2"	"2"	"3"	"4"	"1"	"0"	"5"	"8"	"6"	"363"	""	"363"	""
"208"	"130"	"24"	"230"	"16"	"2"	"2"	"3"	"28"	"0"	"0"	"1"	"6"	"1"	"1"	"1"	"6"	"2"	"323"	""	"323"	""
"209"	"131"	"15"	"222"	"4"	"2"	"7"	"32"	"10"	"0"	"5"	"4"	"32"	"2"	"3"	"4"	"10"	"6"	"358"	""	"358"	""
"210"	"132"	"6"	"103"	"0"	"2"	"2"	"4"	"205"	"3"	"2"	"1"	"16"	"3"	"0"	"3"	"3"	"4"	"357"	""	"357"	""
"211"	"133"	"15"	"291"	"6"	"6"	"1"	"3"	"81"	"5"	"2"	"2"	"11"	"1"	"3"	"9"	"3"	"11"	"450"	""	"450"	""
"212"	"134"	"6"	"175"	"34"	"3"	"0"	"41"	"180"	"4"	"1"	"4"	"75"	"3"	"10"	"6"	"6"	"10"	"558"	""	"558"	""
"213"	"135"	"26"	"335"	"14"	"8"	"6"	"52"	"171"	"6"	"9"	"10"	"17"	"10"	"1"	"7"	"13"	"16"	"701"	""	"701"	""
"214"	"136"	"14"	"242"	"54"	"13"	"7"	"21"	"151"	"8"	"8"	"4"	"59"	"3"	"8"	"4"	"7"	"8"	"611"	""	"611"	""
"215"	"137"	"5"	"64"	"16"	"2"	"2"	"7"	"14"	"2"	"1"	"0"	"5"	"1"	"0"	"1"	"1"	"3"	"124"	""	"124"	""
"216"	"138"	"15"	"250"	"9"	"2"	"10"	"28"	"73"	"1"	"5"	"7"	"25"	"5"	"8"	"8"	"14"	"9"	"469"	""	"469"	""
"217"	"139"	"30"	"105"	"2"	"5"	"44"	"86"	"31"	"5"	"6"	"9"	"23"	"9"	"7"	"5"	"8"	"18"	"393"	""	"393"	""
"218"	"140"	"13"	"130"	"2"	"1"	"4"	"5"	"245"	"3"	"2"	"2"	"5"	"1"	"0"	"2"	"1"	"6"	"422"	""	"422"	""
"219"	"VksVy"	"221"	"2643"	"177"	"57"	"97"	"306"	"1296"	"46"	"46"	"58"	"302"	"46"	"47"	"68"	"92"	"111"	"5613"	"0"	"5613"	"0"
"220"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &02&j keuxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"fuokZpdksa dh dqy  l a[ ; k&221699"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz
i zl kn   xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"226"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"227"	"141"	"10"	"93"	"39"	"5"	"2"	"28"	"83"	"0"	"3"	"3"	"42"	"0"	"5"	"4"	"2"	"4"	"323"	""	"323"	""
"228"	"142"	"6"	"48"	"4"	"1"	"3"	"151"	"205"	"6"	"7"	"2"	"7"	"5"	"3"	"2"	"3"	"8"	"461"	""	"461"	""
"229"	"143"	"18"	"73"	"33"	"3"	"5"	"9"	"194"	"6"	"6"	"9"	"13"	"2"	"4"	"3"	"3"	"9"	"390"	""	"390"	""
"230"	"144"	"10"	"52"	"7"	"0"	"24"	"14"	"164"	"2"	"2"	"3"	"11"	"1"	"1"	"3"	"5"	"5"	"304"	""	"304"	""
"231"	"145"	"6"	"21"	"1"	"2"	"2"	"57"	"46"	"3"	"1"	"0"	"24"	"1"	"1"	"2"	"2"	"5"	"174"	""	"174"	""
"232"	"146"	"19"	"134"	"24"	"6"	"40"	"51"	"447"	"11"	"4"	"12"	"65"	"11"	"10"	"6"	"10"	"25"	"875"	""	"875"	""
"233"	"147"	"11"	"154"	"15"	"2"	"5"	"4"	"92"	"2"	"0"	"2"	"17"	"0"	"4"	"3"	"5"	"13"	"329"	""	"329"	""
"234"	"148"	"12"	"35"	"2"	"3"	"4"	"7"	"123"	"2"	"1"	"1"	"12"	"2"	"3"	"1"	"1"	"5"	"214"	""	"214"	""
"235"	"149"	"20"	"99"	"4"	"4"	"9"	"17"	"267"	"2"	"3"	"9"	"8"	"4"	"3"	"10"	"1"	"4"	"464"	""	"464"	""
"236"	"150"	"32"	"160"	"82"	"23"	"53"	"68"	"130"	"10"	"5"	"7"	"78"	"8"	"9"	"5"	"3"	"11"	"684"	""	"684"	""
"237"	"151"	"13"	"205"	"0"	"3"	"6"	"87"	"173"	"5"	"5"	"3"	"22"	"1"	"3"	"3"	"2"	"5"	"536"	""	"536"	""
"238"	"152"	"6"	"158"	"3"	"8"	"4"	"44"	"14"	"2"	"3"	"3"	"1"	"1"	"1"	"1"	"2"	"1"	"252"	""	"252"	""
"239"	"153"	"16"	"267"	"8"	"7"	"54"	"58"	"28"	"5"	"2"	"5"	"35"	"4"	"10"	"5"	"4"	"10"	"518"	""	"518"	""
"240"	"154"	"12"	"182"	"8"	"7"	"35"	"10"	"199"	"6"	"5"	"0"	"1"	"2"	"1"	"1"	"4"	"4"	"477"	""	"477"	""
"241"	"VksVy"	"191"	"1681"	"230"	"74"	"246"	"605"	"2165"	"62"	"47"	"59"	"336"	"42"	"58"	"49"	"47"	"109"	"6001"	"0"	"6001"	"0"
"242"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &02&j keuxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"fuokZpdksa dh dqy  l a[ ; k&221699"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz
i zl kn   xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"247"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"248"	"155"	"52"	"416"	"7"	"10"	"15"	"8"	"111"	"6"	"4"	"3"	"6"	"7"	"5"	"2"	"10"	"20"	"682"	""	"682"	""
"249"	"156"	"70"	"348"	"16"	"27"	"103"	"10"	"46"	"11"	"7"	"5"	"76"	"6"	"5"	"2"	"8"	"15"	"755"	""	"755"	""
"250"	"157"	"100"	"247"	"11"	"10"	"15"	"1"	"5"	"3"	"3"	"2"	"62"	"3"	"3"	"2"	"1"	"4"	"472"	""	"472"	""
"251"	"158"	"17"	"65"	"3"	"1"	"34"	"13"	"59"	"2"	"1"	"0"	"20"	"0"	"2"	"4"	"4"	"8"	"233"	""	"233"	""
"252"	"159"	"74"	"198"	"80"	"9"	"44"	"27"	"3"	"2"	"2"	"1"	"142"	"1"	"6"	"2"	"3"	"2"	"596"	""	"596"	""
"253"	"160"	"192"	"34"	"6"	"17"	"166"	"9"	"16"	"3"	"5"	"6"	"268"	"2"	"5"	"0"	"5"	"4"	"738"	""	"738"	""
"254"	"161"	"119"	"166"	"0"	"6"	"5"	"4"	"80"	"4"	"5"	"3"	"37"	"1"	"4"	"2"	"5"	"6"	"447"	""	"447"	""
"255"	"162"	"19"	"238"	"1"	"6"	"31"	"12"	"2"	"3"	"0"	"2"	"55"	"1"	"3"	"0"	"0"	"1"	"374"	""	"374"	""
"256"	"163"	"68"	"43"	"7"	"3"	"6"	"4"	"464"	"9"	"7"	"9"	"4"	"3"	"1"	"5"	"6"	"13"	"652"	""	"652"	""
"257"	"164"	"31"	"165"	"8"	"16"	"11"	"4"	"341"	"3"	"4"	"13"	"9"	"0"	"3"	"5"	"7"	"14"	"634"	""	"634"	""
"258"	"165"	"36"	"356"	"15"	"4"	"14"	"3"	"205"	"4"	"0"	"8"	"10"	"3"	"1"	"3"	"4"	"4"	"670"	""	"670"	""
"259"	"166"	"18"	"84"	"4"	"8"	"19"	"4"	"223"	"2"	"1"	"2"	"4"	"5"	"2"	"2"	"3"	"1"	"382"	""	"382"	""
"260"	"167"	"16"	"59"	"4"	"18"	"15"	"2"	"187"	"3"	"2"	"7"	"5"	"3"	"1"	"1"	"8"	"8"	"339"	""	"339"	""
"261"	"168"	"11"	"42"	"1"	"2"	"23"	"4"	"214"	"0"	"5"	"0"	"2"	"6"	"1"	"0"	"5"	"6"	"322"	""	"322"	""
"262"	"VksVy"	"823"	"2461"	"163"	"137"	"501"	"105"	"1956"	"55"	"46"	"61"	"700"	"41"	"42"	"30"	"69"	"106"	"7296"	"0"	"7296"	"0"
"263"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &02&j keuxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"fuokZpdksa dh dqy  l a[ ; k&221699                                                                                                 vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz
i zl kn   xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"269"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"270"	"169"	"54"	"168"	"4"	"16"	"17"	"2"	"143"	"4"	"5"	"3"	"4"	"1"	"4"	"1"	"4"	"7"	"437"	""	"437"	""
"271"	"170"	"79"	"30"	"0"	"4"	"30"	"3"	"1"	"0"	"1"	"0"	"4"	"0"	"2"	"1"	"1"	"4"	"160"	""	"160"	""
"272"	"171"	"19"	"8"	"3"	"3"	"28"	"3"	"324"	"3"	"4"	"3"	"1"	"0"	"0"	"0"	"2"	"8"	"409"	""	"409"	""
"273"	"172"	"7"	"7"	"3"	"3"	"0"	"2"	"249"	"3"	"2"	"6"	"10"	"1"	"0"	"3"	"4"	"4"	"304"	""	"304"	""
"274"	"173"	"85"	"22"	"16"	"5"	"2"	"3"	"263"	"5"	"0"	"3"	"72"	"3"	"4"	"2"	"5"	"7"	"497"	""	"497"	""
