"Candidates"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"151"	"97"	"23"	"2"	"21"	"25"	"507"	"11"	"4"	"0"	"3"	"4"	"5"	"1"	"1"	"1"	"7"	"16"	"0"	"1"	"0"	"632"	""	"632"	""
"152"	"98"	"20"	"6"	"11"	"39"	"523"	"9"	"2"	"1"	"4"	"0"	"8"	"1"	"2"	"2"	"6"	"8"	"18"	"1"	"2"	"663"	""	"663"	""
"153"	"99"	"19"	"5"	"37"	"112"	"140"	"11"	"2"	"5"	"5"	"2"	"71"	"7"	"15"	"7"	"8"	"17"	"8"	"8"	"9"	"488"	""	"488"	""
"154"	"100"	"14"	"3"	"0"	"100"	"143"	"3"	"1"	"4"	"4"	"0"	"29"	"2"	"2"	"1"	"0"	"4"	"1"	"0"	"0"	"311"	""	"311"	""
"155"	"101"	"14"	"1"	"3"	"76"	"101"	"5"	"1"	"2"	"2"	"3"	"49"	"0"	"2"	"8"	"1"	"8"	"6"	"4"	"8"	"294"	""	"294"	""
"156"	"102"	"23"	"4"	"5"	"58"	"166"	"7"	"2"	"1"	"0"	"1"	"21"	"2"	"3"	"9"	"1"	"1"	"2"	"0"	"1"	"307"	""	"307"	""
"157"	"103"	"2"	"0"	"0"	"17"	"286"	"8"	"2"	"5"	"3"	"5"	"13"	"2"	"5"	"3"	"1"	"14"	"3"	"0"	"2"	"371"	""	"371"	""
"158"	"104"	"17"	"1"	"13"	"229"	"172"	"13"	"1"	"0"	"2"	"4"	"107"	"9"	"5"	"5"	"2"	"8"	"0"	"0"	"1"	"589"	""	"589"	""
"159"	"105"	"20"	"4"	"6"	"250"	"68"	"3"	"0"	"4"	"1"	"0"	"70"	"2"	"6"	"2"	"1"	"8"	"2"	"2"	"5"	"454"	""	"454"	""
"160"	"106"	"22"	"2"	"1"	"15"	"4"	"0"	"0"	"0"	"1"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"53"	""	"53"	""
"161"	"107"	"0"	"0"	"4"	"294"	"10"	"1"	"0"	"0"	"1"	"0"	"12"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"326"	""	"326"	""
"162"	"108"	"5"	"1"	"3"	"18"	"264"	"4"	"4"	"3"	"0"	"1"	"29"	"5"	"0"	"4"	"0"	"6"	"1"	"2"	"5"	"355"	""	"355"	""
"163"	"109"	"2"	"2"	"7"	"94"	"171"	"5"	"0"	"2"	"1"	"2"	"35"	"6"	"5"	"0"	"4"	"4"	"0"	"1"	"1"	"342"	""	"342"	""
"164"	"110"	"5"	"1"	"5"	"38"	"164"	"4"	"0"	"3"	"0"	"1"	"21"	"1"	"0"	"3"	"2"	"5"	"0"	"2"	"2"	"257"	""	"257"	""
"165"	"111"	"4"	"4"	"7"	"247"	"153"	"6"	"3"	"4"	"2"	"0"	"53"	"7"	"6"	"4"	"0"	"9"	"1"	"1"	"2"	"513"	""	"513"	""
"166"	"112"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	""	"1"	""
"167"	"113"	"7"	"3"	"6"	"133"	"251"	"6"	"3"	"1"	"2"	"3"	"40"	"3"	"9"	"4"	"1"	"10"	"0"	"1"	"0"	"483"	""	"483"	""
"168"	"114"	"3"	"15"	"3"	"180"	"190"	"8"	"1"	"2"	"3"	"2"	"42"	"5"	"13"	"6"	"0"	"10"	"0"	"1"	"2"	"486"	""	"486"	""
"169"	"115"	"1"	"0"	"3"	"181"	"74"	"1"	"1"	"2"	"2"	"1"	"34"	"1"	"7"	"0"	"2"	"5"	"0"	"0"	"0"	"315"	""	"315"	""
"170"	"116"	"2"	"1"	"0"	"29"	"224"	"7"	"1"	"0"	"1"	"0"	"7"	"1"	"9"	"1"	"1"	"2"	"0"	"0"	"0"	"286"	""	"286"	""
"171"	"117"	"16"	"3"	"3"	"335"	"153"	"5"	"3"	"0"	"4"	"3"	"81"	"2"	"10"	"4"	"4"	"7"	"3"	"3"	"2"	"641"	""	"641"	""
"172"	"118"	"8"	"2"	"28"	"20"	"478"	"3"	"4"	"2"	"0"	"0"	"2"	"1"	"3"	"0"	"1"	"3"	"0"	"0"	"1"	"556"	""	"556"	""
"173"	"119"	"3"	"21"	"4"	"87"	"86"	"1"	"1"	"0"	"1"	"0"	"15"	"2"	"1"	"3"	"0"	"1"	"1"	"3"	"3"	"233"	""	"233"	""
"174"	"120"	"0"	"0"	"11"	"229"	"79"	"2"	"0"	"0"	"1"	"3"	"26"	"0"	"7"	"0"	"0"	"3"	"0"	"0"	"1"	"362"	""	"362"	""
"175"	"Candidates"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"176"	"Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"178"	"-------->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"BOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"v"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"185"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"121"	"3"	"6"	"0"	"130"	"224"	"4"	"0"	"1"	"0"	"0"	"7"	"0"	"3"	"1"	"1"	"0"	"0"	"1"	"0"	"381"	""	"381"	""
"187"	"122"	"10"	"5"	"7"	"157"	"49"	"3"	"1"	"0"	"2"	"1"	"50"	"0"	"4"	"1"	"0"	"4"	"0"	"1"	"0"	"295"	""	"295"	""
"188"	"123"	"3"	"30"	"4"	"88"	"151"	"6"	"0"	"1"	"1"	"2"	"28"	"3"	"2"	"5"	"0"	"8"	"2"	"7"	"0"	"341"	""	"341"	""
"189"	"124"	"6"	"12"	"3"	"128"	"107"	"3"	"5"	"1"	"1"	"1"	"37"	"3"	"5"	"2"	"4"	"6"	"1"	"2"	"4"	"331"	""	"331"	""
"190"	"125"	"6"	"9"	"4"	"124"	"60"	"3"	"7"	"3"	"2"	"4"	"17"	"1"	"0"	"0"	"0"	"2"	"0"	"31"	"2"	"275"	""	"275"	""
"191"	"126"	"81"	"0"	"1"	"31"	"221"	"6"	"1"	"2"	"0"	"0"	"19"	"0"	"1"	"1"	"1"	"6"	"3"	"1"	"0"	"375"	""	"375"	""
"192"	"127"	"1"	"2"	"4"	"126"	"79"	"3"	"1"	"3"	"2"	"3"	"53"	"1"	"5"	"2"	"2"	"2"	"2"	"1"	"3"	"295"	""	"295"	""
"193"	"128"	"82"	"1"	"2"	"132"	"26"	"1"	"0"	"0"	"0"	"1"	"20"	"1"	"13"	"1"	"0"	"2"	"0"	"0"	"2"	"284"	""	"284"	""
"194"	"129"	"50"	"2"	"1"	"63"	"14"	"7"	"1"	"1"	"2"	"1"	"45"	"1"	"0"	"0"	"1"	"2"	"3"	"1"	"2"	"197"	""	"197"	""
"195"	"130"	"79"	"1"	"1"	"48"	"9"	"2"	"1"	"0"	"0"	"0"	"11"	"1"	"2"	"0"	"1"	"3"	"2"	"0"	"0"	"161"	""	"161"	""
"196"	"131"	"316"	"22"	"2"	"48"	"42"	"0"	"0"	"0"	"0"	"1"	"10"	"0"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"445"	""	"445"	""
"197"	"132"	"8"	"17"	"2"	"83"	"75"	"3"	"3"	"1"	"0"	"1"	"53"	"4"	"8"	"1"	"3"	"5"	"1"	"3"	"3"	"274"	""	"274"	""
"198"	"133"	"13"	"10"	"5"	"79"	"233"	"7"	"1"	"0"	"2"	"0"	"28"	"3"	"2"	"1"	"1"	"6"	"4"	"1"	"2"	"398"	""	"398"	""
"199"	"134"	"9"	"10"	"4"	"32"	"120"	"0"	"1"	"0"	"0"	"1"	"15"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"194"	""	"194"	""
"200"	"135"	"22"	"0"	"3"	"142"	"123"	"5"	"5"	"1"	"5"	"0"	"50"	"6"	"2"	"0"	"1"	"3"	"2"	"1"	"2"	"373"	""	"373"	""
"201"	"136"	"9"	"2"	"48"	"86"	"102"	"4"	"0"	"1"	"1"	"1"	"27"	"3"	"7"	"4"	"3"	"12"	"0"	"0"	"3"	"313"	""	"313"	""
"202"	"137"	"6"	"2"	"4"	"41"	"178"	"7"	"1"	"0"	"0"	"1"	"13"	"5"	"8"	"1"	"0"	"6"	"0"	"1"	"0"	"274"	""	"274"	""
"203"	"138"	"75"	"0"	"0"	"56"	"30"	"1"	"0"	"1"	"1"	"3"	"29"	"3"	"5"	"2"	"1"	"2"	"1"	"0"	"0"	"210"	""	"210"	""
"204"	"139"	"5"	"0"	"0"	"20"	"261"	"3"	"1"	"1"	"1"	"0"	"15"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"310"	""	"310"	""
"205"	"140"	"248"	"3"	"8"	"61"	"27"	"2"	"2"	"0"	"1"	"1"	"34"	"0"	"1"	"1"	"1"	"11"	"2"	"1"	"1"	"405"	""	"405"	""
"206"	"141"	"262"	"3"	"49"	"35"	"11"	"2"	"0"	"1"	"0"	"0"	"12"	"0"	"2"	"0"	"2"	"0"	"2"	"1"	"1"	"383"	""	"383"	""
"207"	"142"	"85"	"6"	"14"	"142"	"10"	"6"	"1"	"0"	"3"	"4"	"33"	"2"	"7"	"2"	"2"	"10"	"5"	"2"	"14"	"348"	""	"348"	""
"208"	"143"	"62"	"1"	"0"	"32"	"10"	"0"	"2"	"0"	"0"	"2"	"13"	"1"	"0"	"0"	"0"	"1"	"3"	"0"	"1"	"128"	""	"128"	""
"209"	"144"	"70"	"1"	"20"	"55"	"115"	"6"	"1"	"3"	"1"	"3"	"37"	"5"	"5"	"3"	"2"	"4"	"4"	"3"	"2"	"340"	""	"340"	""
"210"	"Candidates"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"211"	"Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"213"	"-------->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"BOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"v"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"220"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"145"	"86"	"2"	"0"	"27"	"1"	"2"	"0"	"0"	"0"	"0"	"18"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"0"	"141"	""	"141"	""
"222"	"146"	"90"	"0"	"0"	"107"	"18"	"1"	"1"	"0"	"1"	"0"	"21"	"1"	"4"	"0"	"0"	"5"	"2"	"1"	"0"	"252"	""	"252"	""
"223"	"147"	"51"	"10"	"8"	"166"	"239"	"10"	"5"	"2"	"5"	"1"	"45"	"2"	"4"	"1"	"1"	"3"	"2"	"1"	"6"	"562"	""	"562"	""
"224"	"148"	"62"	"5"	"2"	"81"	"59"	"2"	"0"	"1"	"0"	"1"	"30"	"2"	"2"	"0"	"1"	"5"	"0"	"1"	"0"	"254"	""	"254"	""
"225"	"149"	"49"	"0"	"0"	"16"	"200"	"5"	"5"	"5"	"2"	"4"	"9"	"9"	"2"	"0"	"2"	"15"	"7"	"1"	"5"	"336"	""	"336"	""
"226"	"150"	"28"	"6"	"0"	"62"	"25"	"2"	"1"	"0"	"2"	"4"	"30"	"1"	"6"	"1"	"3"	"4"	"4"	"0"	"0"	"179"	""	"179"	""
"227"	"151"	"16"	"0"	"1"	"152"	"174"	"10"	"1"	"1"	"1"	"2"	"60"	"3"	"3"	"3"	"0"	"3"	"3"	"6"	"5"	"444"	""	"444"	""
"228"	"152"	"10"	"1"	"2"	"67"	"260"	"7"	"4"	"1"	"3"	"1"	"38"	"9"	"4"	"3"	"2"	"15"	"5"	"1"	"6"	"439"	""	"439"	""
"229"	"153"	"2"	"0"	"0"	"9"	"1"	"0"	"0"	"0"	"1"	"2"	"28"	"2"	"1"	"1"	"1"	"3"	"0"	"0"	"0"	"51"	""	"51"	""
"230"	"154"	"2"	"0"	"3"	"15"	"48"	"4"	"0"	"0"	"0"	"0"	"7"	"1"	"1"	"41"	"1"	"3"	"0"	"1"	"1"	"128"	""	"128"	""
"231"	"155"	"5"	"1"	"1"	"85"	"149"	"5"	"2"	"2"	"1"	"2"	"42"	"9"	"6"	"60"	"5"	"28"	"2"	"1"	"0"	"406"	""	"406"	""
"232"	"156"	"43"	"2"	"1"	"258"	"35"	"1"	"0"	"0"	"0"	"1"	"58"	"4"	"7"	"0"	"1"	"1"	"0"	"1"	"0"	"413"	""	"413"	""
"233"	"157"	"32"	"2"	"5"	"357"	"78"	"11"	"0"	"0"	"2"	"5"	"60"	"2"	"3"	"1"	"0"	"5"	"2"	"2"	"0"	"567"	""	"567"	""
"234"	"158"	"17"	"1"	"8"	"270"	"72"	"4"	"2"	"1"	"1"	"0"	"52"	"0"	"3"	"0"	"0"	"2"	"0"	"1"	"0"	"434"	""	"434"	""
"235"	"159"	"31"	"0"	"11"	"194"	"87"	"9"	"1"	"1"	"3"	"1"	"105"	"2"	"4"	"3"	"4"	"10"	"1"	"0"	"3"	"470"	""	"470"	""
"236"	"160"	"6"	"5"	"3"	"221"	"43"	"10"	"1"	"6"	"2"	"1"	"82"	"8"	"19"	"89"	"7"	"7"	"0"	"2"	"1"	"513"	""	"513"	""
"237"	"161"	"36"	"3"	"3"	"86"	"215"	"2"	"4"	"2"	"1"	"0"	"39"	"6"	"2"	"0"	"6"	"6"	"2"	"2"	"2"	"417"	""	"417"	""
"238"	"162"	"4"	"2"	"3"	"277"	"36"	"3"	"0"	"0"	"2"	"2"	"81"	"4"	"4"	"0"	"0"	"1"	"1"	"0"	"0"	"420"	""	"420"	""
"239"	"163"	"7"	"1"	"3"	"99"	"37"	"3"	"2"	"0"	"1"	"2"	"51"	"5"	"9"	"1"	"2"	"5"	"0"	"1"	"2"	"231"	""	"231"	""
"240"	"164"	"30"	"3"	"5"	"279"	"64"	"11"	"3"	"1"	"0"	"0"	"89"	"4"	"2"	"0"	"0"	"2"	"2"	"3"	"3"	"501"	""	"501"	""
"241"	"165"	"11"	"1"	"0"	"159"	"34"	"3"	"0"	"0"	"1"	"1"	"63"	"1"	"2"	"0"	"0"	"2"	"1"	"1"	"3"	"283"	""	"283"	""
"242"	"166"	"45"	"2"	"3"	"137"	"101"	"4"	"1"	"1"	"0"	"0"	"35"	"3"	"2"	"0"	"1"	"8"	"4"	"1"	"7"	"355"	""	"355"	""
"243"	"167"	"16"	"1"	"2"	"62"	"205"	"5"	"0"	"0"	"0"	"1"	"25"	"3"	"3"	"1"	"1"	"3"	"1"	"3"	"0"	"332"	""	"332"	""
"244"	"168"	"139"	"2"	"32"	"103"	"149"	"4"	"1"	"3"	"1"	"2"	"48"	"4"	"3"	"6"	"2"	"16"	"3"	"3"	"2"	"523"	""	"523"	""
"245"	"Candidates"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"246"	"Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"248"	"-------->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"BOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"v"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"255"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"169"	"24"	"3"	"36"	"190"	"59"	"6"	"4"	"1"	"3"	"4"	"42"	"5"	"2"	"4"	"1"	"5"	"2"	"1"	"2"	"394"	""	"394"	""
"257"	"170"	"4"	"0"	"5"	"422"	"20"	"5"	"1"	"1"	"0"	"2"	"66"	"5"	"13"	"1"	"1"	"5"	"0"	"1"	"1"	"553"	""	"553"	""
"258"	"171"	"27"	"7"	"14"	"271"	"149"	"5"	"1"	"2"	"3"	"2"	"104"	"7"	"21"	"6"	"2"	"14"	"1"	"0"	"1"	"637"	""	"637"	""
"259"	"172"	"3"	"3"	"14"	"110"	"101"	"5"	"0"	"1"	"1"	"1"	"50"	"4"	"3"	"1"	"0"	"5"	"0"	"2"	"3"	"307"	""	"307"	""
"260"	"173"	"12"	"0"	"1"	"38"	"85"	"1"	"0"	"1"	"1"	"1"	"22"	"2"	"1"	"1"	"1"	"6"	"3"	"3"	"1"	"180"	""	"180"	""
"261"	"174"	"8"	"3"	"0"	"89"	"11"	"2"	"0"	"0"	"0"	"1"	"39"	"2"	"3"	"0"	"3"	"3"	"1"	"1"	"1"	"167"	""	"167"	""
"262"	"175"	"1"	"0"	"3"	"112"	"26"	"1"	"0"	"1"	"0"	"3"	"34"	"2"	"13"	"0"	"0"	"3"	"0"	"0"	"1"	"200"	""	"200"	""
"263"	"176"	"15"	"1"	"1"	"127"	"42"	"4"	"0"	"0"	"0"	"0"	"69"	"1"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"270"	""	"270"	""
"264"	"177"	"9"	"2"	"111"	"78"	"75"	"5"	"0"	"0"	"1"	"5"	"101"	"8"	"4"	"2"	"5"	"18"	"4"	"10"	"12"	"450"	""	"450"	""
"265"	"178"	"5"	"1"	"1"	"182"	"106"	"4"	"4"	"3"	"1"	"3"	"119"	"1"	"6"	"1"	"5"	"17"	"1"	"0"	"1"	"461"	""	"461"	""
"266"	"179"	"14"	"2"	"16"	"174"	"66"	"8"	"1"	"1"	"1"	"0"	"47"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"334"	""	"334"	""
"267"	"180"	"7"	"0"	"1"	"80"	"18"	"1"	"1"	"1"	"0"	"0"	"43"	"0"	"0"	"1"	"1"	"2"	"0"	"0"	"0"	"156"	""	"156"	""
"268"	"181"	"6"	"3"	"2"	"252"	"15"	"3"	"1"	"1"	"1"	"1"	"43"	"4"	"1"	"0"	"1"	"0"	"8"	"2"	"12"	"356"	""	"356"	""
"269"	"182"	"10"	"5"	"2"	"136"	"104"	"10"	"1"	"0"	"0"	"2"	"28"	"2"	"1"	"0"	"2"	"3"	"1"	"2"	"6"	"315"	""	"315"	""
"270"	"183"	"10"	"0"	"6"	"113"	"61"	"9"	"1"	"0"	"0"	"0"	"43"	"0"	"4"	"3"	"0"	"2"	"0"	"0"	"3"	"255"	""	"255"	""
"271"	"184"	"16"	"6"	"5"	"189"	"243"	"7"	"2"	"2"	"0"	"1"	"36"	"2"	"1"	"2"	"0"	"4"	"2"	"1"	"0"	"519"	""	"519"	""
"272"	"185"	"5"	"0"	"1"	"111"	"46"	"5"	"1"	"0"	"0"	"1"	"39"	"1"	"1"	"0"	"0"	"4"	"0"	"2"	"1"	"218"	""	"218"	""
"273"	"186"	"23"	"2"	"0"	"228"	"14"	"1"	"3"	"1"	"0"	"0"	"36"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"1"	"321"	""	"321"	""
"274"	"187"	"8"	"2"	"3"	"84"	"24"	"5"	"1"	"2"	"0"	"2"	"50"	"1"	"2"	"2"	"1"	"0"	"0"	"1"	"5"	"193"	""	"193"	""
"275"	"188"	"4"	"1"	"0"	"49"	"8"	"5"	"1"	"0"	"0"	"0"	"22"	"1"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"95"	""	"95"	""
"276"	"189"	"9"	"2"	"33"	"66"	"137"	"6"	"1"	"4"	"0"	"2"	"31"	"4"	"4"	"1"	"0"	"8"	"1"	"1"	"1"	"311"	""	"311"	""
"277"	"190"	"9"	"4"	"4"	"204"	"85"	"5"	"0"	"0"	"0"	"0"	"48"	"1"	"0"	"0"	"1"	"3"	"0"	"0"	"1"	"365"	""	"365"	""
"278"	"191"	"16"	"1"	"1"	"76"	"499"	"23"	"3"	"3"	"3"	"2"	"43"	"7"	"7"	"9"	"4"	"17"	"2"	"6"	"3"	"725"	""	"725"	""
"279"	"192"	"10"	"19"	"7"	"92"	"101"	"6"	"0"	"1"	"2"	"1"	"47"	"2"	"2"	"0"	"2"	"8"	"1"	"1"	"2"	"304"	""	"304"	""
"280"	"Candidates"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"281"	"Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"283"	"-------->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"BOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"v"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"290"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"193"	"14"	"1"	"3"	"135"	"124"	"7"	"1"	"1"	"2"	"0"	"39"	"5"	"9"	"4"	"3"	"35"	"8"	"0"	"10"	"401"	""	"401"	""
"292"	"194"	"4"	"0"	"8"	"36"	"265"	"29"	"2"	"0"	"0"	"2"	"10"	"4"	"2"	"1"	"2"	"35"	"1"	"1"	"0"	"402"	""	"402"	""
"293"	"195"	"7"	"0"	"5"	"61"	"21"	"3"	"0"	"0"	"1"	"0"	"30"	"2"	"3"	"0"	"3"	"7"	"0"	"1"	"2"	"146"	""	"146"	""
"294"	"196"	"13"	"3"	"15"	"215"	"144"	"12"	"4"	"0"	"2"	"1"	"57"	"2"	"4"	"2"	"1"	"2"	"3"	"6"	"2"	"488"	""	"488"	""
"295"	"197"	"5"	"3"	"1"	"32"	"244"	"10"	"6"	"4"	"6"	"2"	"32"	"5"	"1"	"2"	"1"	"21"	"1"	"2"	"3"	"381"	""	"381"	""
"296"	"198"	"3"	"1"	"2"	"19"	"116"	"8"	"3"	"1"	"2"	"1"	"21"	"2"	"1"	"2"	"1"	"16"	"2"	"0"	"0"	"201"	""	"201"	""
"297"	"199"	"6"	"2"	"2"	"57"	"121"	"9"	"0"	"1"	"1"	"0"	"22"	"1"	"1"	"1"	"2"	"4"	"4"	"4"	"4"	"242"	""	"242"	""
"298"	"200"	"20"	"1"	"2"	"58"	"361"	"11"	"0"	"1"	"1"	"4"	"22"	"4"	"5"	"6"	"1"	"13"	"2"	"1"	"3"	"516"	""	"516"	""
"299"	"201"	"4"	"1"	"2"	"115"	"265"	"6"	"3"	"2"	"2"	"1"	"29"	"4"	"3"	"9"	"4"	"20"	"1"	"0"	"2"	"473"	""	"473"	""
"300"	"202"	"10"	"0"	"0"	"1"	"142"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"1"	"160"	""	"160"	""
