"fo.kku.l.Hkk..ks..l.a....k...oa.uke..09.fl.dVk"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"fuokZpdksa dh dqy  l a[ ; k&195901"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vH; FkhZ ds i {k esa Mky s x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"133"	"107"	"20"	"248"	"15"	"3"	"140"	"6"	"2"	"1"	"4"	"3"	"68"	"4"	"10"	"4"	"5"	"20"	"553"	""	"553"	""
"134"	"108"	"23"	"320"	"16"	"9"	"12"	"2"	"0"	"4"	"3"	"7"	"53"	"5"	"8"	"2"	"1"	"13"	"478"	""	"478"	""
"135"	"109"	"108"	"213"	"5"	"9"	"1"	"3"	"0"	"2"	"1"	"2"	"43"	"0"	"3"	"6"	"7"	"14"	"417"	""	"417"	""
"136"	"110"	"26"	"95"	"4"	"86"	"44"	"5"	"4"	"1"	"0"	"2"	"271"	"4"	"9"	"1"	"2"	"6"	"560"	""	"560"	""
"137"	"111"	"16"	"95"	"3"	"13"	"30"	"4"	"0"	"4"	"0"	"3"	"259"	"2"	"7"	"2"	"4"	"8"	"450"	""	"450"	""
"138"	"112"	"2"	"12"	"0"	"7"	"201"	"3"	"2"	"1"	"0"	"1"	"171"	"1"	"3"	"1"	"1"	"4"	"410"	""	"410"	""
"139"	"VksVy"	"524"	"2170"	"134"	"180"	"690"	"54"	"31"	"42"	"43"	"106"	"2854"	"48"	"149"	"33"	"44"	"127"	"7229"	"0"	"7229"	"0"
"140"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"141"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"142"	"113"	"19"	"94"	"42"	"11"	"138"	"2"	"0"	"1"	"1"	"2"	"172"	"0"	"9"	"1"	"1"	"3"	"496"	""	"496"	""
"143"	"114"	"95"	"212"	"8"	"7"	"5"	"1"	"3"	"0"	"1"	"1"	"177"	"0"	"4"	"0"	"2"	"0"	"516"	""	"516"	""
"144"	"115"	"29"	"159"	"9"	"3"	"30"	"8"	"7"	"1"	"1"	"0"	"110"	"4"	"6"	"2"	"6"	"5"	"380"	""	"380"	""
"145"	"116"	"131"	"266"	"28"	"4"	"6"	"4"	"8"	"1"	"3"	"5"	"25"	"4"	"8"	"3"	"19"	"42"	"557"	""	"557"	""
"146"	"117"	"60"	"111"	"6"	"2"	"3"	"6"	"1"	"1"	"4"	"0"	"205"	"3"	"11"	"1"	"2"	"5"	"421"	""	"421"	""
"147"	"118"	"16"	"8"	"7"	"7"	"16"	"7"	"3"	"6"	"5"	"4"	"379"	"2"	"21"	"3"	"1"	"8"	"493"	""	"493"	""
"148"	"119"	"97"	"92"	"18"	"2"	"86"	"1"	"1"	"1"	"0"	"4"	"64"	"2"	"9"	"2"	"3"	"6"	"388"	""	"388"	""
"149"	"120"	"104"	"109"	"128"	"1"	"42"	"38"	"3"	"3"	"0"	"4"	"7"	"4"	"1"	"3"	"2"	"5"	"454"	""	"454"	""
"150"	"121"	"41"	"212"	"82"	"6"	"15"	"13"	"1"	"5"	"2"	"3"	"14"	"4"	"3"	"2"	"3"	"1"	"407"	""	"407"	""
"151"	"122"	"94"	"264"	"97"	"4"	"66"	"5"	"4"	"2"	"3"	"5"	"9"	"8"	"0"	"1"	"2"	"8"	"572"	""	"572"	""
"152"	"123"	"39"	"7"	"4"	"2"	"6"	"2"	"0"	"4"	"1"	"1"	"200"	"3"	"7"	"0"	"2"	"2"	"280"	""	"280"	""
"153"	"124"	"151"	"93"	"20"	"5"	"19"	"3"	"0"	"2"	"4"	"2"	"77"	"2"	"6"	"2"	"2"	"7"	"395"	""	"395"	""
"154"	"125"	"87"	"145"	"17"	"1"	"17"	"18"	"4"	"5"	"2"	"4"	"44"	"3"	"3"	"2"	"1"	"2"	"355"	""	"355"	""
"155"	"126"	"83"	"73"	"3"	"2"	"43"	"32"	"2"	"1"	"2"	"2"	"8"	"3"	"1"	"1"	"2"	"4"	"262"	""	"262"	""
"156"	"VksVy"	"1046"	"1845"	"469"	"57"	"492"	"140"	"37"	"33"	"29"	"37"	"1491"	"42"	"89"	"23"	"48"	"98"	"5976"	"0"	"5976"	"0"
"157"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"158"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"159"	"127"	"52"	"51"	"1"	"1"	"8"	"3"	"2"	"1"	"1"	"3"	"212"	"1"	"4"	"0"	"1"	"1"	"342"	""	"342"	""
"160"	"128"	"93"	"175"	"21"	"3"	"36"	"4"	"2"	"2"	"1"	"2"	"74"	"4"	"1"	"2"	"3"	"4"	"427"	""	"427"	""
"161"	"129"	"174"	"279"	"11"	"9"	"44"	"10"	"4"	"6"	"4"	"5"	"100"	"5"	"9"	"4"	"5"	"13"	"682"	""	"682"	""
"162"	"130"	"49"	"387"	"4"	"6"	"8"	"27"	"2"	"0"	"1"	"2"	"12"	"3"	"4"	"7"	"4"	"5"	"521"	""	"521"	""
"163"	"131"	"116"	"36"	"22"	"7"	"34"	"4"	"1"	"1"	"0"	"2"	"119"	"4"	"2"	"2"	"3"	"2"	"355"	""	"355"	""
"164"	"132"	"103"	"157"	"2"	"26"	"29"	"2"	"1"	"2"	"0"	"3"	"6"	"0"	"2"	"4"	"1"	"6"	"344"	""	"344"	""
"165"	"133"	"37"	"303"	"2"	"31"	"7"	"15"	"7"	"1"	"4"	"2"	"19"	"2"	"1"	"4"	"3"	"7"	"445"	""	"445"	""
"166"	"134"	"46"	"166"	"7"	"29"	"19"	"5"	"3"	"3"	"2"	"7"	"131"	"6"	"21"	"2"	"4"	"6"	"457"	""	"457"	""
"167"	"135"	"23"	"157"	"6"	"37"	"12"	"2"	"3"	"3"	"1"	"0"	"127"	"6"	"8"	"2"	"4"	"9"	"400"	""	"400"	""
"168"	"136"	"139"	"127"	"86"	"18"	"12"	"2"	"5"	"6"	"3"	"5"	"396"	"2"	"16"	"4"	"7"	"10"	"838"	""	"838"	""
"169"	"137"	"89"	"199"	"63"	"30"	"91"	"5"	"3"	"3"	"7"	"4"	"37"	"8"	"5"	"4"	"9"	"16"	"573"	""	"573"	""
"170"	"138"	"81"	"157"	"6"	"2"	"10"	"1"	"0"	"2"	"0"	"4"	"144"	"0"	"2"	"0"	"0"	"1"	"410"	""	"410"	""
"171"	"139"	"100"	"167"	"16"	"47"	"23"	"7"	"0"	"15"	"4"	"3"	"47"	"2"	"2"	"5"	"4"	"16"	"458"	""	"458"	""
"172"	"140"	"64"	"134"	"7"	"68"	"6"	"2"	"0"	"4"	"1"	"0"	"3"	"1"	"0"	"0"	"0"	"1"	"291"	""	"291"	""
"173"	"VksVy"	"1166"	"2495"	"254"	"314"	"339"	"89"	"33"	"49"	"29"	"42"	"1427"	"44"	"77"	"40"	"48"	"97"	"6543"	"0"	"6543"	"0"
"174"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"175"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"176"	"141"	"91"	"300"	"3"	"5"	"5"	"1"	"0"	"1"	"1"	"3"	"21"	"2"	"0"	"0"	"1"	"0"	"434"	""	"434"	""
"177"	"142"	"70"	"404"	"5"	"12"	"20"	"5"	"4"	"2"	"5"	"2"	"117"	"2"	"6"	"1"	"8"	"3"	"666"	""	"666"	""
"178"	"143"	"76"	"373"	"30"	"7"	"80"	"7"	"2"	"2"	"0"	"3"	"47"	"1"	"5"	"2"	"2"	"6"	"643"	""	"643"	""
"179"	"144"	"118"	"350"	"8"	"30"	"109"	"8"	"10"	"3"	"5"	"6"	"67"	"4"	"1"	"2"	"3"	"1"	"725"	""	"725"	""
"180"	"145"	"103"	"139"	"3"	"2"	"101"	"1"	"4"	"1"	"0"	"3"	"33"	"3"	"4"	"0"	"3"	"2"	"402"	""	"402"	""
"181"	"146"	"49"	"203"	"3"	"29"	"136"	"7"	"6"	"6"	"5"	"4"	"171"	"4"	"10"	"6"	"5"	"11"	"655"	""	"655"	""
"182"	"147"	"133"	"131"	"3"	"62"	"10"	"10"	"4"	"1"	"3"	"2"	"139"	"1"	"0"	"2"	"4"	"3"	"508"	""	"508"	""
"183"	"148"	"52"	"205"	"6"	"17"	"4"	"104"	"6"	"3"	"2"	"1"	"32"	"1"	"1"	"1"	"0"	"3"	"438"	""	"438"	""
"184"	"149"	"44"	"52"	"3"	"30"	"15"	"0"	"3"	"3"	"0"	"0"	"89"	"3"	"6"	"3"	"5"	"7"	"263"	""	"263"	""
"185"	"150"	"53"	"65"	"5"	"55"	"18"	"63"	"3"	"2"	"3"	"2"	"177"	"5"	"9"	"2"	"1"	"10"	"473"	""	"473"	""
"186"	"151"	"62"	"122"	"5"	"16"	"6"	"2"	"7"	"3"	"1"	"7"	"81"	"7"	"3"	"2"	"4"	"11"	"339"	""	"339"	""
"187"	"152"	"65"	"281"	"11"	"6"	"5"	"4"	"5"	"3"	"5"	"5"	"4"	"3"	"1"	"3"	"1"	"2"	"404"	""	"404"	""
"188"	"153"	"157"	"330"	"54"	"43"	"6"	"6"	"2"	"3"	"5"	"0"	"45"	"3"	"0"	"4"	"3"	"7"	"668"	""	"668"	""
"189"	"154"	"131"	"229"	"4"	"120"	"8"	"2"	"1"	"0"	"4"	"3"	"49"	"5"	"8"	"4"	"9"	"11"	"588"	""	"588"	""
"190"	"VksVy"	"1204"	"3184"	"143"	"434"	"523"	"220"	"57"	"33"	"39"	"41"	"1072"	"44"	"54"	"32"	"49"	"77"	"7206"	"0"	"7206"	"0"
"191"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"192"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"193"	"155"	"89"	"113"	"39"	"97"	"6"	"9"	"4"	"0"	"7"	"5"	"190"	"3"	"8"	"0"	"3"	"4"	"577"	""	"577"	""
"194"	"156"	"115"	"204"	"4"	"15"	"20"	"6"	"2"	"0"	"1"	"1"	"0"	"1"	"0"	"2"	"2"	"4"	"377"	""	"377"	""
"195"	"157"	"17"	"316"	"5"	"24"	"19"	"10"	"2"	"1"	"2"	"6"	"3"	"4"	"1"	"1"	"4"	"7"	"422"	""	"422"	""
"196"	"158"	"48"	"235"	"10"	"154"	"82"	"10"	"5"	"3"	"2"	"2"	"6"	"3"	"2"	"2"	"1"	"6"	"571"	""	"571"	""
"197"	"159"	"61"	"238"	"4"	"11"	"78"	"3"	"2"	"5"	"4"	"5"	"7"	"3"	"1"	"1"	"2"	"9"	"434"	""	"434"	""
"198"	"160"	"57"	"340"	"8"	"6"	"98"	"17"	"14"	"5"	"9"	"5"	"8"	"3"	"7"	"10"	"9"	"23"	"619"	""	"619"	""
"199"	"161"	"172"	"223"	"2"	"5"	"19"	"14"	"3"	"4"	"4"	"2"	"4"	"2"	"1"	"3"	"5"	"6"	"469"	""	"469"	""
"200"	"162"	"14"	"180"	"10"	"21"	"22"	"41"	"1"	"3"	"7"	"1"	"37"	"1"	"2"	"4"	"8"	"13"	"365"	""	"365"	""
"201"	"163"	"43"	"37"	"4"	"17"	"21"	"52"	"3"	"1"	"1"	"0"	"72"	"1"	"3"	"0"	"0"	"1"	"256"	""	"256"	""
"202"	"164"	"18"	"28"	"64"	"77"	"39"	"4"	"1"	"3"	"2"	"7"	"270"	"5"	"15"	"0"	"4"	"16"	"553"	""	"553"	""
"203"	"165"	"27"	"44"	"33"	"19"	"27"	"8"	"6"	"10"	"4"	"5"	"399"	"3"	"9"	"1"	"0"	"6"	"601"	""	"601"	""
"204"	"166"	"134"	"100"	"3"	"10"	"80"	"8"	"4"	"5"	"7"	"4"	"210"	"4"	"10"	"6"	"6"	"10"	"601"	""	"601"	""
"205"	"167"	"19"	"145"	"4"	"7"	"108"	"65"	"2"	"3"	"1"	"3"	"77"	"3"	"14"	"1"	"3"	"2"	"457"	""	"457"	""
"206"	"168"	"28"	"107"	"5"	"4"	"8"	"107"	"8"	"7"	"4"	"6"	"3"	"0"	"1"	"2"	"1"	"8"	"299"	""	"299"	""
"207"	"VksVy"	"842"	"2310"	"195"	"467"	"627"	"354"	"57"	"50"	"55"	"52"	"1286"	"36"	"74"	"33"	"48"	"115"	"6601"	"0"	"6601"	"0"
"208"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"209"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"210"	"169"	"51"	"169"	"1"	"6"	"46"	"20"	"2"	"0"	"3"	"2"	"70"	"8"	"5"	"2"	"5"	"9"	"399"	""	"399"	""
"211"	"170"	"28"	"56"	"62"	"2"	"9"	"164"	"1"	"4"	"5"	"5"	"6"	"5"	"5"	"1"	"10"	"13"	"376"	""	"376"	""
"212"	"171"	"14"	"24"	"0"	"2"	"1"	"15"	"1"	"1"	"3"	"2"	"363"	"3"	"5"	"1"	"0"	"0"	"435"	""	"435"	""
"213"	"172"	"22"	"23"	"4"	"5"	"1"	"98"	"2"	"2"	"2"	"5"	"346"	"2"	"7"	"0"	"1"	"3"	"523"	""	"523"	""
"214"	"173"	"15"	"116"	"4"	"7"	"47"	"91"	"9"	"10"	"3"	"6"	"189"	"4"	"10"	"2"	"7"	"8"	"528"	""	"528"	""
"215"	"174"	"8"	"191"	"13"	"5"	"21"	"193"	"8"	"4"	"6"	"5"	"21"	"2"	"2"	"0"	"3"	"8"	"490"	""	"490"	""
"216"	"175"	"33"	"82"	"2"	"7"	"10"	"32"	"1"	"3"	"4"	"2"	"26"	"0"	"3"	"3"	"3"	"1"	"212"	""	"212"	""
"217"	"176"	"31"	"32"	"10"	"1"	"2"	"40"	"1"	"1"	"3"	"2"	"191"	"0"	"5"	"0"	"0"	"4"	"323"	""	"323"	""
"218"	"177"	"20"	"12"	"1"	"5"	"1"	"1"	"0"	"0"	"0"	"1"	"480"	"5"	"4"	"1"	"1"	"2"	"534"	""	"534"	""
"219"	"178"	"29"	"11"	"18"	"8"	"6"	"5"	"2"	"1"	"0"	"0"	"446"	"5"	"7"	"4"	"1"	"8"	"551"	""	"551"	""
"220"	"179"	"58"	"10"	"48"	"9"	"7"	"2"	"5"	"1"	"3"	"7"	"418"	"5"	"10"	"0"	"3"	"6"	"592"	""	"592"	""
"221"	"180"	"23"	"55"	"7"	"21"	"16"	"6"	"5"	"3"	"2"	"7"	"260"	"5"	"19"	"6"	"2"	"6"	"443"	""	"443"	""
"222"	"181"	"13"	"105"	"11"	"6"	"11"	"244"	"7"	"2"	"5"	"2"	"88"	"1"	"2"	"0"	"1"	"2"	"500"	""	"500"	""
"223"	"182"	"3"	"45"	"6"	"2"	"4"	"186"	"4"	"4"	"3"	"2"	"83"	"1"	"1"	"0"	"1"	"0"	"345"	""	"345"	""
"224"	"VksVy"	"348"	"931"	"187"	"86"	"182"	"1097"	"48"	"36"	"42"	"48"	"2987"	"46"	"85"	"20"	"38"	"70"	"6251"	"0"	"6251"	"0"
"225"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"226"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"227"	"183"	"182"	"206"	"12"	"10"	"33"	"7"	"3"	"2"	"3"	"3"	"11"	"1"	"5"	"0"	"1"	"18"	"497"	""	"497"	""
"228"	"184"	"114"	"226"	"8"	"11"	"78"	"4"	"4"	"1"	"0"	"0"	"17"	"3"	"1"	"1"	"3"	"2"	"473"	""	"473"	""
"229"	"185"	"113"	"210"	"17"	"5"	"37"	"10"	"5"	"3"	"1"	"1"	"16"	"0"	"4"	"2"	"1"	"3"	"428"	""	"428"	""
"230"	"186"	"43"	"268"	"75"	"13"	"30"	"19"	"2"	"0"	"2"	"3"	"18"	"4"	"3"	"4"	"5"	"8"	"497"	""	"497"	""
"231"	"187"	"19"	"160"	"92"	"5"	"53"	"21"	"2"	"3"	"0"	"2"	"130"	"0"	"4"	"2"	"4"	"6"	"503"	""	"503"	""
"232"	"188"	"35"	"247"	"115"	"9"	"12"	"7"	"5"	"4"	"4"	"3"	"55"	"6"	"4"	"4"	"4"	"6"	"520"	""	"520"	""
"233"	"189"	"26"	"203"	"12"	"10"	"2"	"10"	"3"	"1"	"6"	"0"	"96"	"4"	"6"	"1"	"6"	"4"	"390"	""	"390"	""
"234"	"190"	"83"	"86"	"3"	"1"	"92"	"14"	"2"	"4"	"2"	"4"	"138"	"4"	"11"	"3"	"2"	"16"	"465"	""	"465"	""
"235"	"191"	"35"	"61"	"1"	"5"	"29"	"5"	"2"	"5"	"2"	"5"	"207"	"7"	"12"	"4"	"6"	"14"	"400"	""	"400"	""
"236"	"192"	"68"	"146"	"3"	"6"	"65"	"5"	"4"	"5"	"1"	"2"	"117"	"1"	"7"	"0"	"1"	"2"	"433"	""	"433"	""
"237"	"193"	"29"	"197"	"2"	"1"	"18"	"1"	"1"	"0"	"1"	"4"	"56"	"0"	"5"	"1"	"0"	"2"	"318"	""	"318"	""
"238"	"194"	"105"	"160"	"7"	"15"	"80"	"31"	"3"	"4"	"3"	"4"	"82"	"1"	"12"	"2"	"3"	"5"	"517"	""	"517"	""
"239"	"195"	"87"	"209"	"6"	"9"	"19"	"61"	"5"	"2"	"0"	"0"	"3"	"1"	"4"	"2"	"7"	"10"	"425"	""	"425"	""
"240"	"196"	"58"	"165"	"4"	"2"	"5"	"12"	"7"	"0"	"1"	"0"	"7"	"0"	"2"	"4"	"10"	"9"	"286"	""	"286"	""
"241"	"VksVy"	"997"	"2544"	"357"	"102"	"553"	"207"	"48"	"34"	"26"	"31"	"953"	"32"	"80"	"30"	"53"	"105"	"6152"	"0"	"6152"	"0"
"242"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"243"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"244"	"197"	"44"	"177"	"11"	"22"	"14"	"100"	"11"	"8"	"2"	"9"	"118"	"10"	"15"	"3"	"5"	"19"	"568"	""	"568"	""
"245"	"198"	"45"	"103"	"4"	"0"	"4"	"0"	"0"	"6"	"2"	"0"	"2"	"1"	"0"	"0"	"1"	"0"	"168"	""	"168"	""
"246"	"199"	"110"	"356"	"13"	"18"	"13"	"56"	"3"	"2"	"4"	"6"	"32"	"1"	"2"	"3"	"8"	"13"	"640"	""	"640"	""
"247"	"200"	"176"	"221"	"30"	"22"	"25"	"112"	"10"	"2"	"4"	"8"	"49"	"4"	"4"	"1"	"3"	"5"	"676"	""	"676"	""
"248"	"201"	"11"	"32"	"3"	"7"	"33"	"189"	"7"	"7"	"5"	"4"	"4"	"4"	"0"	"1"	"0"	"9"	"316"	""	"316"	""
"249"	"202"	"83"	"146"	"6"	"9"	"12"	"141"	"5"	"5"	"3"	"5"	"42"	"6"	"8"	"2"	"10"	"3"	"486"	""	"486"	""
"250"	"203"	"105"	"209"	"18"	"23"	"37"	"64"	"2"	"2"	"10"	"9"	"19"	"7"	"5"	"6"	"3"	"14"	"533"	""	"533"	""
"251"	"204"	"25"	"407"	"8"	"13"	"11"	"86"	"7"	"2"	"11"	"7"	"3"	"8"	"2"	"3"	"8"	"12"	"613"	""	"613"	""
"252"	"205"	"18"	"210"	"15"	"11"	"11"	"159"	"7"	"4"	"6"	"10"	"39"	"8"	"3"	"8"	"6"	"8"	"523"	""	"523"	""
"253"	"206"	"46"	"94"	"68"	"84"	"16"	"20"	"8"	"2"	"10"	"3"	"114"	"6"	"10"	"1"	"4"	"7"	"493"	""	"493"	""
"254"	"207"	"12"	"89"	"7"	"46"	"137"	"144"	"6"	"7"	"10"	"9"	"74"	"3"	"6"	"3"	"3"	"9"	"565"	""	"565"	""
"255"	"208"	"90"	"282"	"23"	"3"	"11"	"7"	"1"	"0"	"0"	"0"	"17"	"1"	"4"	"0"	"2"	"4"	"445"	""	"445"	""
"256"	"209"	"43"	"202"	"7"	"13"	"11"	"45"	"4"	"3"	"3"	"3"	"68"	"0"	"8"	"3"	"9"	"6"	"428"	""	"428"	""
"257"	"210"	"89"	"219"	"11"	"36"	"10"	"25"	"8"	"4"	"8"	"12"	"148"	"8"	"9"	"1"	"8"	"9"	"605"	""	"605"	""
"258"	"VksVy"	"897"	"2747"	"224"	"307"	"345"	"1148"	"79"	"54"	"78"	"85"	"729"	"67"	"76"	"35"	"70"	"118"	"7059"	"0"	"7059"	"0"
