"X."	"X.U.092E..U.0924..U.0926..U.093E..U.0928...U.0915..U.0947......U.0915....U.0938..U.0902.0"	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X.U.0915..U.0941...U.0932....U.0935...U.0927..U.092E..U.093E....U.092F...U.092E..U.0924."	"X...U.0924...U.0947...U.092A..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."
"85"	"<U+092F><U+094B><U+0917>"	""	"768"	"202"	"1390"	"1468"	"43"	"407"	"18"	"17"	"120"	"25"	"60"	"16"	"39"	"15"	"26"	"43"	"4657"	""	"4657"	""
"86"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"
"87"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""
"88"	""	"71"	"40"	"17"	"160"	"214"	"6"	"18"	"0"	"0"	"12"	"1"	"3"	"0"	"3"	"6"	"1"	"3"	"484"	""	"484"	""
"89"	""	"72"	"41"	"30"	"233"	"240"	"6"	"35"	"6"	"4"	"4"	"3"	"7"	"4"	"6"	"4"	"1"	"6"	"630"	""	"630"	""
"90"	""	"73"	"23"	"17"	"229"	"158"	"7"	"18"	"2"	"0"	"35"	"3"	"10"	"3"	"9"	"10"	"7"	"22"	"553"	""	"553"	""
"91"	""	"74"	"23"	"8"	"50"	"58"	"1"	"24"	"3"	"0"	"21"	"0"	"2"	"1"	"4"	"1"	"2"	"2"	"200"	""	"200"	""
"92"	""	"75"	"39"	"2"	"122"	"100"	"11"	"90"	"6"	"2"	"103"	"4"	"3"	"1"	"4"	"2"	"0"	"8"	"497"	""	"497"	""
"93"	""	"76"	"28"	"7"	"149"	"50"	"10"	"67"	"2"	"2"	"71"	"2"	"6"	"1"	"1"	"3"	"3"	"0"	"402"	""	"402"	""
"94"	""	"77"	"19"	"0"	"78"	"28"	"3"	"37"	"0"	"0"	"33"	"2"	"3"	"1"	"3"	"2"	"0"	"3"	"212"	""	"212"	""
"95"	""	"78"	"27"	"11"	"29"	"64"	"8"	"4"	"1"	"5"	"140"	"4"	"11"	"1"	"2"	"3"	"5"	"8"	"323"	""	"323"	""
"96"	""	"79"	"66"	"1"	"91"	"155"	"10"	"43"	"3"	"2"	"19"	"1"	"7"	"1"	"11"	"2"	"1"	"14"	"427"	""	"427"	""
"97"	""	"80"	"22"	"2"	"60"	"31"	"5"	"64"	"1"	"5"	"19"	"1"	"2"	"2"	"1"	"2"	"0"	"6"	"223"	""	"223"	""
"98"	""	"81"	"44"	"3"	"58"	"60"	"4"	"29"	"2"	"0"	"31"	"0"	"2"	"0"	"0"	"2"	"0"	"1"	"236"	""	"236"	""
"99"	""	"82"	"76"	"10"	"185"	"224"	"9"	"8"	"0"	"6"	"42"	"4"	"7"	"3"	"11"	"5"	"4"	"15"	"609"	""	"609"	""
"100"	""	"83"	"14"	"2"	"109"	"133"	"8"	"57"	"1"	"2"	"8"	"1"	"3"	"3"	"5"	"2"	"0"	"4"	"352"	""	"352"	""
"101"	""	"84"	"103"	"9"	"56"	"155"	"8"	"16"	"0"	"4"	"11"	"8"	"8"	"4"	"4"	"8"	"4"	"8"	"406"	""	"406"	""
"102"	"<U+092F><U+094B><U+0917>"	""	"565"	"119"	"1609"	"1670"	"96"	"510"	"27"	"32"	"549"	"34"	"74"	"25"	"64"	"52"	"28"	"100"	"5554"	""	"5554"	""
"103"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"
"104"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""
"105"	""	"85"	"99"	"12"	"176"	"47"	"7"	"32"	"2"	"4"	"44"	"5"	"35"	"0"	"3"	"1"	"1"	"0"	"468"	""	"468"	""
"106"	""	"86"	"42"	"26"	"68"	"365"	"5"	"15"	"3"	"3"	"27"	"1"	"5"	"1"	"5"	"2"	"3"	"2"	"573"	""	"573"	""
"107"	""	"87"	"40"	"3"	"71"	"293"	"7"	"112"	"6"	"2"	"14"	"4"	"4"	"0"	"1"	"1"	"0"	"2"	"560"	""	"560"	""
"108"	""	"88"	"72"	"4"	"94"	"210"	"4"	"73"	"2"	"1"	"7"	"4"	"3"	"0"	"5"	"5"	"0"	"6"	"490"	""	"490"	""
"109"	""	"89"	"48"	"9"	"124"	"237"	"16"	"97"	"5"	"3"	"32"	"9"	"10"	"14"	"18"	"8"	"14"	"14"	"658"	""	"658"	""
"110"	""	"90"	"98"	"7"	"242"	"131"	"6"	"99"	"3"	"3"	"9"	"4"	"9"	"2"	"16"	"13"	"5"	"18"	"665"	""	"665"	""
"111"	""	"91"	"149"	"4"	"163"	"55"	"0"	"12"	"4"	"0"	"1"	"2"	"8"	"0"	"4"	"2"	"2"	"7"	"413"	""	"413"	""
"112"	""	"92"	"82"	"2"	"79"	"149"	"10"	"17"	"1"	"0"	"9"	"4"	"6"	"2"	"5"	"5"	"1"	"5"	"377"	""	"377"	""
"113"	""	"93"	"127"	"33"	"95"	"63"	"8"	"14"	"3"	"2"	"76"	"1"	"4"	"0"	"4"	"4"	"3"	"7"	"444"	""	"444"	""
"114"	""	"94"	"6"	"1"	"40"	"139"	"4"	"4"	"1"	"1"	"29"	"1"	"2"	"3"	"2"	"2"	"1"	"1"	"237"	""	"237"	""
"115"	""	"95"	"41"	"130"	"208"	"157"	"9"	"35"	"2"	"2"	"5"	"3"	"9"	"3"	"8"	"8"	"9"	"16"	"645"	""	"645"	""
"116"	""	"96"	"31"	"3"	"100"	"374"	"7"	"34"	"1"	"4"	"7"	"3"	"3"	"4"	"6"	"7"	"0"	"6"	"590"	""	"590"	""
"117"	""	"97"	"15"	"1"	"113"	"218"	"4"	"77"	"4"	"1"	"1"	"6"	"7"	"12"	"5"	"11"	"4"	"14"	"493"	""	"493"	""
"118"	""	"98"	"154"	"8"	"112"	"112"	"9"	"60"	"5"	"2"	"4"	"2"	"6"	"3"	"5"	"6"	"5"	"24"	"517"	""	"517"	""
"119"	"<U+092F><U+094B><U+0917>"	""	"1004"	"243"	"1685"	"2550"	"96"	"681"	"42"	"28"	"265"	"49"	"111"	"44"	"87"	"75"	"48"	"122"	"7130"	""	"7130"	""
"120"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"
"121"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""
"122"	""	"99"	"53"	"4"	"111"	"307"	"10"	"9"	"0"	"2"	"7"	"4"	"6"	"7"	"11"	"6"	"2"	"3"	"542"	""	"542"	""
"123"	""	"100"	"16"	"0"	"309"	"10"	"2"	"4"	"9"	"0"	"0"	"2"	"0"	"1"	"5"	"6"	"0"	"2"	"366"	""	"366"	""
"124"	""	"101"	"19"	"93"	"189"	"82"	"2"	"10"	"2"	"0"	"2"	"3"	"1"	"0"	"1"	"2"	"1"	"2"	"409"	""	"409"	""
"125"	""	"102"	"101"	"39"	"33"	"147"	"6"	"107"	"3"	"2"	"13"	"2"	"3"	"1"	"6"	"2"	"3"	"5"	"473"	""	"473"	""
"126"	""	"103"	"9"	"3"	"192"	"262"	"10"	"181"	"6"	"1"	"8"	"1"	"2"	"0"	"18"	"7"	"2"	"4"	"706"	""	"706"	""
"127"	""	"104"	"59"	"6"	"25"	"92"	"11"	"63"	"5"	"3"	"69"	"2"	"6"	"2"	"1"	"0"	"0"	"1"	"345"	""	"345"	""
"128"	""	"105"	"88"	"1"	"61"	"23"	"4"	"25"	"0"	"1"	"22"	"1"	"1"	"0"	"0"	"5"	"0"	"4"	"236"	""	"236"	""
"129"	""	"106"	"53"	"25"	"160"	"55"	"12"	"5"	"4"	"14"	"173"	"4"	"12"	"2"	"5"	"11"	"4"	"11"	"550"	""	"550"	""
"130"	""	"107"	"2"	"0"	"119"	"295"	"3"	"2"	"0"	"1"	"32"	"4"	"3"	"0"	"3"	"0"	"0"	"0"	"464"	""	"464"	""
"131"	""	"108"	"23"	"28"	"206"	"282"	"9"	"2"	"1"	"4"	"45"	"2"	"6"	"0"	"6"	"9"	"1"	"3"	"627"	""	"627"	""
"132"	""	"109"	"66"	"75"	"46"	"269"	"5"	"3"	"2"	"1"	"0"	"6"	"5"	"2"	"4"	"3"	"2"	"4"	"493"	""	"493"	""
"133"	""	"110"	"86"	"4"	"57"	"139"	"4"	"5"	"1"	"9"	"3"	"2"	"2"	"1"	"3"	"0"	"0"	"5"	"321"	""	"321"	""
"134"	""	"111"	"130"	"0"	"51"	"137"	"2"	"3"	"0"	"2"	"1"	"0"	"4"	"3"	"2"	"1"	"0"	"4"	"340"	""	"340"	""
"135"	""	"112"	"6"	"0"	"52"	"281"	"2"	"4"	"1"	"3"	"1"	"2"	"2"	"0"	"4"	"2"	"0"	"0"	"360"	""	"360"	""
"136"	"<U+092F><U+094B><U+0917>"	""	"711"	"278"	"1611"	"2381"	"82"	"423"	"34"	"43"	"376"	"35"	"53"	"19"	"69"	"54"	"15"	"48"	"6232"	""	"6232"	""
"137"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"
"138"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""
"139"	""	"113"	"1"	"1"	"616"	"5"	"1"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"635"	""	"635"	""
"140"	""	"114"	"18"	"23"	"439"	"69"	"2"	"29"	"3"	"0"	"2"	"1"	"1"	"0"	"0"	"7"	"4"	"2"	"600"	""	"600"	""
"141"	""	"115"	"102"	"12"	"216"	"318"	"9"	"30"	"6"	"5"	"11"	"6"	"10"	"3"	"15"	"7"	"3"	"8"	"761"	""	"761"	""
"142"	""	"116"	"12"	"1"	"211"	"167"	"3"	"14"	"0"	"0"	"7"	"3"	"8"	"11"	"5"	"7"	"3"	"4"	"456"	""	"456"	""
"143"	""	"117"	"102"	"2"	"125"	"101"	"4"	"28"	"1"	"3"	"1"	"0"	"2"	"2"	"0"	"5"	"1"	"8"	"385"	""	"385"	""
"144"	""	"118"	"26"	"23"	"201"	"195"	"9"	"64"	"2"	"3"	"6"	"7"	"9"	"3"	"17"	"16"	"1"	"13"	"595"	""	"595"	""
"145"	""	"119"	"143"	"3"	"38"	"66"	"5"	"191"	"2"	"0"	"4"	"4"	"6"	"4"	"16"	"1"	"0"	"2"	"485"	""	"485"	""
"146"	""	"120"	"29"	"6"	"22"	"157"	"6"	"156"	"5"	"3"	"4"	"0"	"10"	"3"	"4"	"1"	"0"	"4"	"410"	""	"410"	""
"147"	""	"121"	"6"	"3"	"435"	"15"	"1"	"5"	"0"	"2"	"36"	"0"	"7"	"0"	"3"	"4"	"0"	"3"	"520"	""	"520"	""
"148"	""	"122"	"27"	"11"	"2"	"30"	"2"	"148"	"7"	"0"	"5"	"2"	"2"	"2"	"7"	"0"	"1"	"11"	"257"	""	"257"	""
"149"	""	"123"	"24"	"7"	"7"	"227"	"20"	"6"	"2"	"9"	"114"	"8"	"11"	"6"	"6"	"6"	"1"	"13"	"467"	""	"467"	""
"150"	""	"124"	"81"	"1"	"142"	"87"	"11"	"35"	"3"	"2"	"52"	"1"	"3"	"5"	"9"	"4"	"3"	"7"	"446"	""	"446"	""
"151"	""	"125"	"54"	"2"	"81"	"158"	"5"	"141"	"9"	"4"	"16"	"5"	"9"	"4"	"2"	"4"	"3"	"11"	"508"	""	"508"	""
"152"	""	"126"	"19"	"4"	"30"	"343"	"5"	"3"	"0"	"2"	"21"	"1"	"3"	"2"	"4"	"2"	"3"	"2"	"444"	""	"444"	""
"153"	"<U+092F><U+094B><U+0917>"	""	"644"	"99"	"2565"	"1938"	"83"	"858"	"41"	"33"	"279"	"38"	"81"	"45"	"88"	"65"	"23"	"89"	"6969"	""	"6969"	""
"154"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"
"155"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""
"156"	""	"127"	"17"	"6"	"230"	"314"	"6"	"13"	"3"	"1"	"2"	"2"	"11"	"6"	"9"	"6"	"1"	"7"	"634"	""	"634"	""
"157"	""	"128"	"67"	"8"	"202"	"211"	"8"	"118"	"9"	"3"	"24"	"2"	"16"	"7"	"13"	"8"	"6"	"13"	"715"	""	"715"	""
"158"	""	"129"	"72"	"16"	"162"	"122"	"4"	"25"	"0"	"2"	"6"	"3"	"2"	"2"	"2"	"1"	"2"	"1"	"422"	""	"422"	""
"159"	""	"130"	"24"	"72"	"26"	"284"	"5"	"30"	"2"	"5"	"14"	"10"	"6"	"6"	"7"	"0"	"1"	"1"	"493"	""	"493"	""
"160"	""	"131"	"28"	"3"	"148"	"150"	"6"	"40"	"4"	"1"	"2"	"4"	"2"	"2"	"8"	"3"	"3"	"4"	"408"	""	"408"	""
"161"	""	"132"	"75"	"57"	"259"	"83"	"4"	"2"	"2"	"0"	"4"	"1"	"3"	"2"	"7"	"8"	"7"	"12"	"526"	""	"526"	""
"162"	""	"133"	"25"	"1"	"289"	"168"	"4"	"35"	"0"	"2"	"5"	"2"	"7"	"4"	"4"	"1"	"0"	"2"	"549"	""	"549"	""
"163"	""	"134"	"21"	"9"	"197"	"127"	"3"	"46"	"1"	"6"	"9"	"2"	"3"	"1"	"4"	"10"	"1"	"10"	"450"	""	"450"	""
"164"	""	"135"	"80"	"8"	"73"	"111"	"5"	"55"	"7"	"1"	"11"	"4"	"9"	"1"	"8"	"4"	"4"	"9"	"390"	""	"390"	""
"165"	""	"136"	"141"	"28"	"143"	"85"	"1"	"105"	"3"	"3"	"8"	"5"	"5"	"4"	"8"	"7"	"7"	"11"	"564"	""	"564"	""
"166"	""	"137"	"16"	"8"	"12"	"30"	"1"	"31"	"1"	"2"	"4"	"0"	"2"	"1"	"2"	"2"	"2"	"1"	"115"	""	"115"	""
"167"	""	"138"	"79"	"142"	"23"	"155"	"2"	"19"	"4"	"0"	"9"	"0"	"5"	"1"	"0"	"4"	"3"	"3"	"449"	""	"449"	""
"168"	""	"139"	"216"	"2"	"39"	"104"	"2"	"82"	"2"	"1"	"6"	"1"	"4"	"0"	"3"	"1"	"0"	"1"	"464"	""	"464"	""
"169"	""	"140"	"96"	"1"	"57"	"162"	"11"	"154"	"10"	"7"	"3"	"5"	"6"	"4"	"2"	"6"	"2"	"6"	"532"	""	"532"	""
