"fo.kku.l.Hkk...k.M.l.a....k...oa.uke..12.uj.dfV..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"fuokZpdksa dh dqy  l a[ ; k&205485"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"02&i f' pe  pEi kj . k  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"vH; FkhZ ds i {k esa Mky s x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"er nku dsUnz
l a[ ; k"	"vfu: )
i zl kn mQZ l k/kq ; kno"	"i zdk' k >k"	"j kekJ; fl ag"	"' kEHkw i zl kn xqIr k"	"Mk0 l at ; t k; l oky"	"QS; kt qy vkt e"	"eukst   dqekj"	"l S; n ' kehe v[ r j"	"uQhl vgen"	"Jheku feJk"	"l S; n bj l kn v[ r j"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"174"	"130"	"15"	"146"	"126"	"5"	"77"	"5"	"4"	"4"	"9"	"11"	"12"	"414"	""	"414"	""
"175"	"131"	"47"	"81"	"165"	"5"	"10"	"4"	"3"	"11"	"8"	"8"	"10"	"352"	""	"352"	""
"176"	"132"	"8"	"34"	"27"	"1"	"72"	"1"	"4"	"1"	"1"	"2"	"1"	"152"	""	"152"	""
"177"	"133"	"100"	"68"	"63"	"21"	"186"	"14"	"5"	"2"	"4"	"8"	"3"	"474"	""	"474"	""
"178"	"134"	"96"	"220"	"5"	"3"	"84"	"2"	"2"	"2"	"2"	"7"	"3"	"426"	""	"426"	""
"179"	"135"	"6"	"28"	"19"	"1"	"159"	"3"	"1"	"1"	"0"	"4"	"1"	"223"	""	"223"	""
"180"	"136"	"32"	"85"	"22"	"6"	"161"	"8"	"4"	"2"	"6"	"6"	"4"	"336"	""	"336"	""
"181"	"137"	"19"	"64"	"7"	"34"	"177"	"4"	"1"	"0"	"5"	"2"	"3"	"316"	""	"316"	""
"182"	"138"	"79"	"36"	"14"	"2"	"44"	"0"	"2"	"0"	"3"	"2"	"3"	"185"	""	"185"	""
"183"	"139"	"58"	"24"	"44"	"2"	"97"	"4"	"0"	"1"	"4"	"3"	"3"	"240"	""	"240"	""
"184"	"140"	"84"	"44"	"30"	"0"	"14"	"0"	"1"	"0"	"3"	"2"	"3"	"181"	""	"181"	""
"185"	"VksVy"	"785"	"1160"	"539"	"125"	"1489"	"53"	"39"	"33"	"53"	"74"	"65"	"4415"	"0"	"4415"	"0"
"186"	"er nku dsUnz
l a[ ; k"	"vfu: )
i zl kn mQZ l k/kq ; kno"	"i zdk' k >k"	"j kekJ; fl ag"	"' kEHkw i zl kn xqIr k"	"Mk0 l at ; t k; l oky"	"QS; kt qy vkt e"	"eukst   dqekj"	"l S; n ' kehe v[ r j"	"uQhl vgen"	"Jheku feJk"	"l S; n bj l kn v[ r j"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"187"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"188"	"141"	"67"	"28"	"5"	"25"	"13"	"3"	"3"	"1"	"0"	"0"	"2"	"147"	""	"147"	""
"189"	"142"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"190"	"143"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"191"	"144"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"192"	"145"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	""	"1"	""
"193"	"146"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"194"	"147"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"195"	"148"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"196"	"149"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"197"	"150"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"198"	"151"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"199"	"152"	"21"	"56"	"139"	"3"	"59"	"3"	"2"	"6"	"5"	"6"	"17"	"317"	""	"317"	""
"200"	"153"	"51"	"122"	"168"	"13"	"138"	"6"	"1"	"2"	"2"	"7"	"6"	"516"	""	"516"	""
"201"	"154"	"16"	"162"	"202"	"10"	"214"	"8"	"5"	"13"	"9"	"18"	"9"	"666"	""	"666"	""
"202"	"VksVy"	"156"	"368"	"514"	"51"	"424"	"20"	"11"	"22"	"16"	"31"	"34"	"1647"	"0"	"1647"	"0"
"203"	"er nku dsUnz
l a[ ; k"	"vfu: )
i zl kn mQZ l k/kq ; kno"	"i zdk' k >k"	"j kekJ; fl ag"	"' kEHkw i zl kn xqIr k"	"Mk0 l at ; t k; l oky"	"QS; kt qy vkt e"	"eukst   dqekj"	"l S; n ' kehe v[ r j"	"uQhl vgen"	"Jheku feJk"	"l S; n bj l kn v[ r j"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"204"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"205"	"155"	"7"	"42"	"231"	"5"	"87"	"1"	"0"	"2"	"9"	"6"	"1"	"391"	""	"391"	""
"206"	"156"	"11"	"16"	"417"	"10"	"67"	"4"	"2"	"13"	"0"	"2"	"2"	"544"	""	"544"	""
"207"	"157"	"37"	"79"	"77"	"0"	"16"	"5"	"1"	"0"	"2"	"8"	"5"	"230"	""	"230"	""
"208"	"158"	"8"	"26"	"112"	"6"	"71"	"4"	"0"	"3"	"3"	"0"	"2"	"235"	""	"235"	""
"209"	"159"	"8"	"23"	"232"	"6"	"14"	"0"	"0"	"3"	"2"	"1"	"1"	"290"	""	"290"	""
"210"	"160"	"53"	"85"	"142"	"12"	"42"	"7"	"7"	"8"	"4"	"3"	"7"	"370"	""	"370"	""
"211"	"161"	"21"	"11"	"151"	"7"	"84"	"9"	"7"	"8"	"3"	"12"	"13"	"326"	""	"326"	""
"212"	"162"	"14"	"54"	"213"	"5"	"24"	"2"	"5"	"7"	"6"	"3"	"12"	"345"	""	"345"	""
"213"	"163"	"74"	"49"	"174"	"8"	"56"	"7"	"5"	"8"	"4"	"9"	"6"	"400"	""	"400"	""
"214"	"164"	"3"	"5"	"925"	"5"	"5"	"1"	"0"	"2"	"5"	"0"	"3"	"954"	""	"954"	""
"215"	"165"	"8"	"2"	"142"	"8"	"41"	"3"	"2"	"3"	"7"	"5"	"1"	"222"	""	"222"	""
"216"	"166"	"84"	"125"	"24"	"10"	"122"	"7"	"11"	"10"	"7"	"11"	"13"	"424"	""	"424"	""
"217"	"167"	"29"	"93"	"15"	"5"	"208"	"13"	"11"	"7"	"8"	"19"	"23"	"431"	""	"431"	""
"218"	"168"	"59"	"19"	"1"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"84"	""	"84"	""
"219"	"VksVy"	"416"	"629"	"2856"	"87"	"837"	"68"	"51"	"74"	"60"	"79"	"89"	"5246"	"0"	"5246"	"0"
"220"	"er nku dsUnz
l a[ ; k"	"vfu: )
i zl kn mQZ l k/kq ; kno"	"i zdk' k >k"	"j kekJ; fl ag"	"' kEHkw i zl kn xqIr k"	"Mk0 l at ; t k; l oky"	"QS; kt qy vkt e"	"eukst   dqekj"	"l S; n ' kehe v[ r j"	"uQhl vgen"	"Jheku feJk"	"l S; n bj l kn v[ r j"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"221"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"222"	"169"	"60"	"10"	"5"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"79"	""	"79"	""
"223"	"170"	"62"	"42"	"17"	"0"	"3"	"2"	"2"	"0"	"0"	"0"	"5"	"133"	""	"133"	""
"224"	"171"	"48"	"146"	"30"	"10"	"5"	"0"	"4"	"2"	"3"	"2"	"0"	"250"	""	"250"	""
"225"	"172"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"226"	"173"	"132"	"31"	"19"	"5"	"47"	"2"	"3"	"3"	"6"	"3"	"0"	"251"	""	"251"	""
"227"	"174"	"85"	"48"	"54"	"6"	"59"	"1"	"3"	"3"	"1"	"4"	"1"	"265"	""	"265"	""
"228"	"175"	"28"	"53"	"18"	"11"	"409"	"17"	"3"	"3"	"2"	"13"	"3"	"560"	""	"560"	""
"229"	"176"	"64"	"147"	"22"	"12"	"321"	"20"	"11"	"5"	"4"	"8"	"4"	"618"	""	"618"	""
"230"	"177"	"107"	"32"	"2"	"4"	"395"	"12"	"5"	"3"	"4"	"5"	"9"	"578"	""	"578"	""
"231"	"178"	"134"	"52"	"11"	"4"	"166"	"14"	"4"	"2"	"3"	"8"	"13"	"411"	""	"411"	""
"232"	"179"	"103"	"188"	"5"	"6"	"194"	"13"	"6"	"0"	"8"	"7"	"6"	"536"	""	"536"	""
"233"	"180"	"131"	"130"	"9"	"2"	"64"	"4"	"1"	"0"	"9"	"9"	"3"	"362"	""	"362"	""
"234"	"181"	"9"	"112"	"2"	"6"	"11"	"4"	"0"	"0"	"3"	"5"	"0"	"152"	""	"152"	""
"235"	"182"	"101"	"263"	"13"	"4"	"49"	"3"	"5"	"8"	"3"	"10"	"5"	"464"	""	"464"	""
"236"	"VksVy"	"1064"	"1254"	"207"	"70"	"1724"	"92"	"47"	"30"	"46"	"74"	"51"	"4659"	"0"	"4659"	"0"
"237"	"er nku dsUnz
l a[ ; k"	"vfu: )
i zl kn mQZ l k/kq ; kno"	"i zdk' k >k"	"j kekJ; fl ag"	"' kEHkw i zl kn xqIr k"	"Mk0 l at ; t k; l oky"	"QS; kt qy vkt e"	"eukst   dqekj"	"l S; n ' kehe v[ r j"	"uQhl vgen"	"Jheku feJk"	"l S; n bj l kn v[ r j"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"238"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"239"	"183"	"32"	"89"	"18"	"8"	"334"	"21"	"5"	"8"	"8"	"8"	"4"	"535"	""	"535"	""
"240"	"184"	"153"	"43"	"54"	"5"	"205"	"8"	"1"	"3"	"2"	"1"	"0"	"475"	""	"475"	""
"241"	"185"	"109"	"14"	"18"	"5"	"181"	"7"	"2"	"2"	"3"	"5"	"6"	"352"	""	"352"	""
"242"	"186"	"22"	"70"	"6"	"3"	"202"	"8"	"8"	"2"	"3"	"8"	"8"	"340"	""	"340"	""
"243"	"187"	"33"	"48"	"5"	"4"	"346"	"6"	"3"	"2"	"2"	"2"	"5"	"456"	""	"456"	""
"244"	"188"	"114"	"138"	"12"	"1"	"397"	"8"	"3"	"3"	"8"	"4"	"1"	"689"	""	"689"	""
"245"	"189"	"14"	"7"	"31"	"2"	"182"	"7"	"1"	"1"	"1"	"0"	"1"	"247"	""	"247"	""
"246"	"190"	"58"	"30"	"64"	"8"	"485"	"15"	"2"	"2"	"1"	"4"	"5"	"674"	""	"674"	""
"247"	"191"	"42"	"104"	"76"	"5"	"285"	"23"	"8"	"12"	"10"	"8"	"9"	"582"	""	"582"	""
"248"	"192"	"30"	"43"	"60"	"4"	"219"	"19"	"3"	"4"	"3"	"7"	"4"	"396"	""	"396"	""
"249"	"193"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"250"	"194"	"118"	"47"	"19"	"3"	"146"	"13"	"3"	"50"	"4"	"3"	"1"	"407"	""	"407"	""
"251"	"195"	"76"	"96"	"21"	"5"	"69"	"3"	"6"	"36"	"3"	"12"	"11"	"338"	""	"338"	""
"252"	"196"	"110"	"215"	"32"	"4"	"134"	"13"	"9"	"6"	"9"	"5"	"17"	"554"	""	"554"	""
"253"	"VksVy"	"911"	"944"	"416"	"57"	"3185"	"151"	"54"	"131"	"57"	"67"	"72"	"6045"	"0"	"6045"	"0"
"254"	"er nku dsUnz
l a[ ; k"	"vfu: )
i zl kn mQZ l k/kq ; kno"	"i zdk' k >k"	"j kekJ; fl ag"	"' kEHkw i zl kn xqIr k"	"Mk0 l at ; t k; l oky"	"QS; kt qy vkt e"	"eukst   dqekj"	"l S; n ' kehe v[ r j"	"uQhl vgen"	"Jheku feJk"	"l S; n bj l kn v[ r j"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"255"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"256"	"197"	"20"	"42"	"46"	"7"	"46"	"0"	"5"	"1"	"3"	"2"	"0"	"172"	""	"172"	""
"257"	"198"	"51"	"144"	"40"	"8"	"306"	"15"	"10"	"10"	"17"	"14"	"11"	"626"	""	"626"	""
"258"	"199"	"4"	"12"	"2"	"0"	"36"	"2"	"0"	"21"	"2"	"1"	"1"	"81"	""	"81"	""
"259"	"200"	"81"	"157"	"22"	"6"	"280"	"15"	"9"	"5"	"6"	"14"	"13"	"608"	""	"608"	""
"260"	"201"	"57"	"79"	"79"	"7"	"323"	"14"	"2"	"4"	"4"	"5"	"7"	"581"	""	"581"	""
"261"	"202"	"45"	"87"	"7"	"3"	"216"	"11"	"4"	"8"	"2"	"4"	"8"	"395"	""	"395"	""
"262"	"203"	"12"	"24"	"6"	"0"	"123"	"1"	"2"	"0"	"0"	"0"	"1"	"169"	""	"169"	""
"263"	"204"	"33"	"67"	"21"	"3"	"119"	"6"	"4"	"0"	"2"	"3"	"1"	"259"	""	"259"	""
"264"	"205"	"53"	"56"	"19"	"5"	"434"	"11"	"4"	"3"	"4"	"5"	"11"	"605"	""	"605"	""
"265"	"VksVy"	"356"	"668"	"242"	"39"	"1883"	"75"	"40"	"52"	"40"	"48"	"53"	"3496"	"0"	"3496"	"0"
