"X."	"X.U.092E..U.0924..U.0926..U.093E..U.0928...U.0915..U.0947......U.0915....U.0938..U.0902.0"	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X.U.0915..U.0941...U.0932....U.0935...U.0927..U.092E..U.093E....U.092F...U.092E..U.0924."	"X...U.0924...U.0947...U.092A..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X17..U.0938..U.0940...U.092E..U.0947...U.0939...U.0924..U.093E...U.0930...U.0915..U.0947...U.092C..U.093E..U.0926...U.092E..U.0924..U.0926..U.093E..U.0928...U.0938..U.0947...U.0907..U.0928..U.0915..U.093E..U.0930...U.0915..U.0930..U.0928..U.0947...U.0935..U.093E..U.0932....U.0915...U.0938..U.0902...U.092F..U.093E."
"80"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947> <U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930>
<U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915> <U+0938><U+0902> <U+092F><U+093E>"
"81"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"82"	""	"68"	"5"	"48"	"248"	"87"	"6"	"4"	"1"	"0"	"9"	"0"	"4"	"0"	"2"	"2"	"1"	"1"	"418"	""	"418"	""	""
"83"	""	"69"	"121"	"56"	"30"	"95"	"2"	"2"	"2"	"0"	"2"	"2"	"0"	"1"	"2"	"0"	"3"	"0"	"318"	""	"318"	""	""
"84"	""	"70"	"6"	"1"	"123"	"9"	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"0"	"0"	"2"	"148"	""	"148"	""	""
"85"	"<U+092F><U+094B><U+0917>"	""	"287"	"204"	"1934"	"1095"	"36"	"328"	"20"	"13"	"31"	"16"	"19"	"13"	"28"	"18"	"12"	"31"	"4085"	"0"	"4085"	"0"	"0"
"86"	""	"71"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	""
"87"	""	"72"	"22"	"3"	"124"	"88"	"2"	"2"	"0"	"0"	"0"	"0"	"4"	"1"	"1"	"2"	"0"	"1"	"250"	""	"250"	""	""
"88"	""	"73"	"23"	"9"	"78"	"275"	"5"	"4"	"0"	"5"	"0"	"1"	"2"	"0"	"3"	"1"	"0"	"0"	"406"	""	"406"	""	""
"89"	""	"74"	"4"	"46"	"362"	"29"	"2"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"448"	""	"448"	""	""
"90"	""	"75"	"27"	"2"	"41"	"97"	"3"	"0"	"0"	"2"	"1"	"1"	"4"	"1"	"5"	"2"	"1"	"3"	"190"	""	"190"	""	""
"91"	""	"76"	"11"	"8"	"130"	"368"	"7"	"22"	"1"	"1"	"20"	"1"	"2"	"2"	"2"	"0"	"0"	"0"	"575"	""	"575"	""	""
"92"	""	"77"	"12"	"2"	"7"	"174"	"3"	"1"	"2"	"0"	"1"	"0"	"1"	"1"	"4"	"0"	"0"	"3"	"211"	""	"211"	""	""
"93"	""	"78"	"94"	"16"	"274"	"32"	"1"	"12"	"0"	"1"	"0"	"0"	"2"	"0"	"2"	"2"	"0"	"1"	"437"	""	"437"	""	""
"94"	""	"79"	"49"	"1"	"88"	"101"	"1"	"6"	"2"	"1"	"2"	"0"	"15"	"0"	"2"	"1"	"0"	"7"	"276"	""	"276"	""	""
"95"	""	"80"	"103"	"12"	"49"	"52"	"2"	"2"	"0"	"0"	"1"	"0"	"3"	"1"	"1"	"1"	"0"	"2"	"229"	""	"229"	""	""
"96"	""	"81"	"75"	"39"	"26"	"177"	"3"	"2"	"2"	"2"	"2"	"1"	"7"	"0"	"0"	"2"	"0"	"0"	"338"	""	"338"	""	""
"97"	""	"82"	"23"	"2"	"152"	"114"	"4"	"18"	"1"	"1"	"0"	"1"	"2"	"1"	"3"	"3"	"2"	"2"	"329"	""	"329"	""	""
"98"	""	"83"	"77"	"2"	"17"	"160"	"3"	"1"	"1"	"4"	"15"	"3"	"4"	"2"	"4"	"0"	"3"	"4"	"300"	""	"300"	""	""
"99"	""	"84"	"16"	"98"	"35"	"151"	"9"	"3"	"0"	"0"	"8"	"1"	"25"	"0"	"9"	"9"	"13"	"10"	"387"	""	"387"	""	""
"100"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947> <U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930>
<U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915> <U+0938><U+0902> <U+092F><U+093E>"
"101"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"102"	"<U+092F><U+094B><U+0917>"	""	"536"	"240"	"1383"	"1818"	"45"	"73"	"9"	"17"	"52"	"9"	"72"	"9"	"36"	"24"	"20"	"33"	"4376"	"0"	"4376"	"0"	"0"
"103"	""	"85"	"33"	"142"	"70"	"59"	"2"	"2"	"1"	"0"	"10"	"0"	"0"	"1"	"1"	"2"	"2"	"4"	"329"	""	"329"	""	""
"104"	""	"86"	"55"	"1"	"11"	"105"	"3"	"2"	"0"	"1"	"7"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"189"	""	"189"	""	""
"105"	""	"87"	"1"	"1"	"40"	"266"	"0"	"1"	"1"	"0"	"9"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"321"	""	"321"	""	""
"106"	""	"88"	"32"	"7"	"115"	"88"	"7"	"7"	"2"	"2"	"13"	"2"	"14"	"4"	"8"	"10"	"3"	"15"	"329"	""	"329"	""	""
"107"	""	"89"	"26"	"33"	"431"	"79"	"5"	"7"	"0"	"3"	"27"	"1"	"2"	"0"	"1"	"1"	"0"	"3"	"619"	""	"619"	""	""
"108"	""	"90"	"47"	"73"	"116"	"248"	"7"	"26"	"1"	"1"	"12"	"3"	"7"	"5"	"5"	"4"	"2"	"13"	"570"	""	"570"	""	""
"109"	""	"91"	"20"	"36"	"125"	"147"	"5"	"1"	"3"	"0"	"21"	"1"	"4"	"1"	"2"	"0"	"1"	"3"	"370"	""	"370"	""	""
"110"	""	"92"	"23"	"12"	"173"	"159"	"6"	"11"	"2"	"4"	"6"	"2"	"4"	"6"	"6"	"2"	"1"	"1"	"418"	""	"418"	""	""
"111"	""	"93"	"29"	"54"	"103"	"129"	"4"	"14"	"4"	"6"	"17"	"3"	"6"	"0"	"2"	"3"	"0"	"4"	"378"	""	"378"	""	""
"112"	""	"94"	"117"	"32"	"7"	"203"	"8"	"1"	"1"	"5"	"72"	"2"	"2"	"0"	"0"	"3"	"1"	"1"	"455"	""	"455"	""	""
"113"	""	"95"	"30"	"50"	"159"	"389"	"4"	"1"	"3"	"3"	"7"	"4"	"7"	"1"	"9"	"5"	"6"	"3"	"681"	""	"681"	""	""
"114"	""	"96"	"164"	"71"	"110"	"184"	"15"	"2"	"1"	"3"	"49"	"4"	"7"	"2"	"5"	"11"	"5"	"2"	"635"	""	"635"	""	""
"115"	""	"97"	"30"	"20"	"55"	"235"	"5"	"2"	"0"	"0"	"42"	"0"	"1"	"0"	"1"	"0"	"0"	"2"	"393"	""	"393"	""	""
"116"	""	"98"	"95"	"3"	"157"	"135"	"4"	"2"	"0"	"0"	"4"	"1"	"94"	"1"	"6"	"4"	"2"	"3"	"511"	""	"511"	""	""
"117"	"<U+092F><U+094B><U+0917>"	""	"702"	"535"	"1672"	"2426"	"75"	"79"	"19"	"28"	"296"	"24"	"151"	"21"	"46"	"45"	"24"	"55"	"6198"	"0"	"6198"	"0"	"0"
"118"	""	"99"	"5"	"3"	"71"	"222"	"7"	"0"	"0"	"1"	"1"	"1"	"17"	"0"	"0"	"0"	"2"	"0"	"330"	""	"330"	""	""
"119"	""	"100"	"305"	"56"	"14"	"17"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"396"	""	"396"	""	""
"120"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947> <U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930>
<U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915> <U+0938><U+0902> <U+092F><U+093E>"
"121"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"122"	""	"101"	"4"	"100"	"15"	"22"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"3"	"4"	"1"	"131"	"1"	"284"	""	"284"	""	""
"123"	""	"102"	"211"	"7"	"91"	"107"	"11"	"3"	"5"	"1"	"4"	"1"	"4"	"3"	"12"	"2"	"1"	"8"	"471"	""	"471"	""	""
"124"	""	"103"	"44"	"77"	"85"	"54"	"1"	"0"	"0"	"0"	"1"	"1"	"4"	"1"	"3"	"5"	"4"	"3"	"283"	""	"283"	""	""
"125"	""	"104"	"23"	"2"	"194"	"58"	"6"	"2"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"2"	"0"	"0"	"290"	""	"290"	""	""
"126"	""	"105"	"145"	"99"	"54"	"75"	"4"	"2"	"0"	"1"	"3"	"1"	"4"	"2"	"6"	"2"	"3"	"8"	"409"	""	"409"	""	""
"127"	""	"106"	"73"	"114"	"76"	"189"	"8"	"8"	"0"	"4"	"17"	"4"	"9"	"2"	"5"	"2"	"5"	"2"	"518"	""	"518"	""	""
"128"	""	"107"	"119"	"32"	"116"	"16"	"1"	"3"	"0"	"1"	"3"	"0"	"1"	"1"	"5"	"1"	"3"	"2"	"304"	""	"304"	""	""
"129"	""	"108"	"116"	"77"	"67"	"51"	"2"	"2"	"1"	"1"	"3"	"2"	"2"	"1"	"1"	"2"	"2"	"7"	"337"	""	"337"	""	""
"130"	""	"109"	"15"	"6"	"35"	"177"	"2"	"1"	"0"	"0"	"9"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"249"	""	"249"	""	""
"131"	""	"110"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	""
"132"	""	"111"	"71"	"1"	"4"	"166"	"0"	"1"	"0"	"1"	"5"	"2"	"6"	"0"	"0"	"0"	"0"	"1"	"258"	""	"258"	""	""
"133"	""	"112"	"30"	"41"	"80"	"168"	"13"	"13"	"4"	"4"	"71"	"1"	"5"	"1"	"2"	"0"	"0"	"0"	"433"	""	"433"	""	""
"134"	"<U+092F><U+094B><U+0917>"	""	"1161"	"615"	"902"	"1322"	"56"	"35"	"11"	"15"	"119"	"15"	"56"	"14"	"39"	"17"	"151"	"34"	"4562"	"0"	"4562"	"0"	"0"
"135"	""	"113"	"11"	"3"	"182"	"67"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"270"	""	"270"	""	""
"136"	""	"114"	"26"	"3"	"47"	"161"	"3"	"0"	"3"	"1"	"1"	"0"	"2"	"1"	"1"	"2"	"1"	"3"	"255"	""	"255"	""	""
"137"	""	"115"	"31"	"100"	"164"	"238"	"2"	"3"	"0"	"0"	"3"	"4"	"1"	"1"	"4"	"2"	"4"	"4"	"561"	""	"561"	""	""
"138"	""	"116"	"21"	"108"	"68"	"151"	"5"	"2"	"0"	"2"	"1"	"1"	"3"	"4"	"2"	"1"	"0"	"1"	"370"	""	"370"	""	""
"139"	""	"117"	"24"	"20"	"490"	"42"	"2"	"0"	"0"	"2"	"0"	"2"	"3"	"0"	"2"	"2"	"2"	"6"	"597"	""	"597"	""	""
"140"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947> <U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930>
<U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915> <U+0938><U+0902> <U+092F><U+093E>"
"141"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"142"	""	"118"	"80"	"33"	"233"	"37"	"7"	"4"	"3"	"0"	"1"	"5"	"4"	"2"	"12"	"24"	"9"	"22"	"476"	""	"476"	""	""
"143"	""	"119"	"99"	"115"	"29"	"71"	"3"	"1"	"3"	"0"	"1"	"1"	"1"	"1"	"1"	"3"	"2"	"11"	"342"	""	"342"	""	""
"144"	""	"120"	"237"	"53"	"61"	"44"	"4"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"1"	"1"	"1"	"407"	""	"407"	""	""
"145"	""	"121"	"280"	"2"	"78"	"20"	"1"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"2"	"0"	"1"	"390"	""	"390"	""	""
"146"	""	"122"	"27"	"7"	"171"	"13"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"0"	"225"	""	"225"	""	""
"147"	""	"123"	"98"	"41"	"6"	"79"	"1"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"230"	""	"230"	""	""
"148"	""	"124"	"37"	"77"	"118"	"208"	"6"	"5"	"2"	"2"	"2"	"3"	"9"	"4"	"8"	"10"	"3"	"10"	"504"	""	"504"	""	""
"149"	""	"125"	"482"	"3"	"1"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"492"	""	"492"	""	""
"150"	""	"126"	"64"	"158"	"50"	"200"	"8"	"4"	"2"	"1"	"11"	"7"	"7"	"5"	"8"	"3"	"7"	"7"	"542"	""	"542"	""	""
"151"	"<U+092F><U+094B><U+0917>"	""	"1517"	"723"	"1698"	"1336"	"45"	"23"	"16"	"11"	"23"	"24"	"30"	"18"	"46"	"51"	"32"	"68"	"5661"	"0"	"5661"	"0"	"0"
"152"	""	"127"	"294"	"40"	"19"	"29"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"388"	""	"388"	""	""
"153"	""	"128"	"73"	"7"	"103"	"119"	"9"	"2"	"2"	"3"	"3"	"1"	"9"	"2"	"6"	"7"	"3"	"5"	"354"	""	"354"	""	""
"154"	""	"129"	"24"	"13"	"80"	"97"	"3"	"1"	"0"	"0"	"1"	"0"	"11"	"0"	"1"	"1"	"2"	"1"	"235"	""	"235"	""	""
"155"	""	"130"	"6"	"9"	"86"	"26"	"3"	"2"	"1"	"1"	"0"	"1"	"0"	"3"	"8"	"9"	"5"	"13"	"173"	""	"173"	""	""
"156"	""	"131"	"26"	"2"	"140"	"33"	"0"	"2"	"2"	"1"	"0"	"1"	"2"	"2"	"8"	"3"	"1"	"5"	"228"	""	"228"	""	""
"157"	""	"132"	"43"	"27"	"159"	"63"	"4"	"4"	"3"	"1"	"3"	"2"	"3"	"6"	"13"	"9"	"6"	"21"	"367"	""	"367"	""	""
"158"	""	"133"	"21"	"29"	"133"	"258"	"7"	"2"	"0"	"2"	"6"	"3"	"5"	"4"	"8"	"3"	"0"	"2"	"483"	""	"483"	""	""
"159"	""	"134"	"19"	"16"	"479"	"18"	"0"	"2"	"0"	"0"	"3"	"0"	"0"	"0"	"2"	"2"	"0"	"2"	"543"	""	"543"	""	""
