"fo.kku.l.Hkk..ks..l.a....k...oa.uke..05.ykSfj...k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"fuokZpdksa dh dqy  l a[ ; k&189010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"01&okYehfduxj  l al nh;   fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kadj i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"133"	"107"	"6"	"209"	"42"	"36"	"46"	"6"	"4"	"0"	"6"	"5"	"18"	"2"	"9"	"3"	"6"	"8"	"406"	""	"406"	""
"134"	"108"	"5"	"94"	"142"	"26"	"39"	"10"	"3"	"2"	"1"	"3"	"126"	"1"	"2"	"3"	"10"	"12"	"479"	""	"479"	""
"135"	"109"	"3"	"41"	"81"	"11"	"286"	"1"	"2"	"0"	"1"	"0"	"50"	"0"	"3"	"1"	"0"	"2"	"482"	""	"482"	""
"136"	"110"	"32"	"270"	"177"	"24"	"67"	"4"	"2"	"1"	"1"	"3"	"6"	"2"	"1"	"3"	"3"	"6"	"602"	""	"602"	""
"137"	"111"	"13"	"172"	"41"	"11"	"72"	"11"	"2"	"3"	"2"	"1"	"104"	"3"	"8"	"0"	"3"	"2"	"448"	""	"448"	""
"138"	"112"	"9"	"302"	"36"	"17"	"95"	"3"	"8"	"5"	"5"	"5"	"118"	"6"	"11"	"6"	"6"	"14"	"646"	""	"646"	""
"139"	"VksVy"	"144"	"2910"	"791"	"470"	"1048"	"67"	"45"	"27"	"30"	"44"	"918"	"36"	"76"	"29"	"47"	"100"	"6782"	"0"	"6782"	"0"
"140"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kadj i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"141"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"142"	"113"	"24"	"201"	"112"	"36"	"26"	"3"	"3"	"2"	"5"	"3"	"35"	"1"	"2"	"3"	"5"	"3"	"464"	""	"464"	""
"143"	"114"	"6"	"130"	"14"	"4"	"57"	"0"	"3"	"1"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"2"	"221"	""	"221"	""
"144"	"115"	"10"	"109"	"21"	"4"	"50"	"0"	"0"	"0"	"0"	"4"	"54"	"3"	"2"	"3"	"1"	"2"	"263"	""	"263"	""
"145"	"116"	"7"	"189"	"17"	"5"	"39"	"0"	"3"	"2"	"1"	"2"	"35"	"3"	"5"	"2"	"3"	"5"	"318"	""	"318"	""
"146"	"117"	"9"	"535"	"6"	"13"	"3"	"0"	"0"	"1"	"1"	"2"	"53"	"0"	"5"	"3"	"3"	"2"	"636"	""	"636"	""
"147"	"118"	"12"	"220"	"19"	"43"	"67"	"2"	"4"	"1"	"3"	"8"	"18"	"4"	"4"	"2"	"7"	"8"	"422"	""	"422"	""
"148"	"119"	"7"	"152"	"6"	"5"	"104"	"4"	"3"	"2"	"1"	"1"	"4"	"1"	"1"	"1"	"0"	"4"	"296"	""	"296"	""
"149"	"120"	"31"	"234"	"4"	"7"	"28"	"5"	"1"	"3"	"2"	"2"	"263"	"2"	"10"	"1"	"4"	"4"	"601"	""	"601"	""
"150"	"121"	"15"	"157"	"2"	"2"	"29"	"4"	"3"	"0"	"1"	"2"	"28"	"1"	"6"	"3"	"7"	"4"	"264"	""	"264"	""
"151"	"122"	"9"	"337"	"34"	"29"	"52"	"1"	"1"	"2"	"1"	"1"	"3"	"7"	"2"	"5"	"7"	"18"	"509"	""	"509"	""
"152"	"123"	"10"	"217"	"20"	"7"	"90"	"3"	"1"	"2"	"1"	"0"	"25"	"1"	"3"	"1"	"0"	"1"	"382"	""	"382"	""
"153"	"124"	"7"	"198"	"3"	"10"	"34"	"15"	"3"	"1"	"2"	"4"	"31"	"2"	"0"	"3"	"2"	"11"	"326"	""	"326"	""
"154"	"125"	"11"	"53"	"1"	"4"	"19"	"0"	"0"	"0"	"1"	"2"	"33"	"0"	"6"	"2"	"2"	"2"	"136"	""	"136"	""
"155"	"126"	"10"	"284"	"60"	"15"	"74"	"4"	"7"	"0"	"1"	"2"	"3"	"2"	"0"	"2"	"9"	"6"	"479"	""	"479"	""
"156"	"VksVy"	"168"	"3016"	"319"	"184"	"672"	"41"	"32"	"17"	"20"	"34"	"585"	"29"	"46"	"31"	"51"	"72"	"5317"	"0"	"5317"	"0"
"157"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kadj i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"158"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"159"	"127"	"7"	"168"	"8"	"7"	"51"	"3"	"1"	"1"	"1"	"0"	"20"	"0"	"0"	"0"	"1"	"1"	"269"	""	"269"	""
"160"	"128"	"3"	"148"	"73"	"11"	"62"	"2"	"3"	"0"	"0"	"2"	"1"	"2"	"1"	"3"	"5"	"14"	"330"	""	"330"	""
"161"	"129"	"13"	"229"	"14"	"3"	"51"	"2"	"1"	"2"	"3"	"4"	"178"	"2"	"10"	"4"	"3"	"8"	"527"	""	"527"	""
"162"	"130"	"12"	"172"	"55"	"7"	"203"	"5"	"3"	"4"	"0"	"3"	"6"	"1"	"2"	"2"	"1"	"9"	"485"	""	"485"	""
"163"	"131"	"10"	"231"	"29"	"6"	"73"	"5"	"3"	"2"	"1"	"1"	"2"	"1"	"0"	"4"	"4"	"10"	"382"	""	"382"	""
"164"	"132"	"8"	"189"	"91"	"11"	"4"	"2"	"2"	"0"	"0"	"0"	"6"	"1"	"1"	"0"	"1"	"5"	"321"	""	"321"	""
"165"	"133"	"8"	"34"	"69"	"4"	"144"	"5"	"1"	"2"	"0"	"3"	"0"	"2"	"0"	"4"	"4"	"7"	"287"	""	"287"	""
"166"	"134"	"1"	"15"	"110"	"2"	"90"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"224"	""	"224"	""
"167"	"135"	"13"	"143"	"87"	"5"	"156"	"4"	"6"	"2"	"3"	"4"	"12"	"10"	"2"	"2"	"3"	"5"	"457"	""	"457"	""
"168"	"136"	"13"	"90"	"62"	"3"	"280"	"4"	"9"	"0"	"3"	"0"	"6"	"2"	"3"	"1"	"1"	"3"	"480"	""	"480"	""
"169"	"137"	"15"	"392"	"52"	"3"	"26"	"9"	"6"	"4"	"4"	"10"	"42"	"4"	"3"	"5"	"7"	"8"	"590"	""	"590"	""
"170"	"138"	"55"	"389"	"27"	"11"	"49"	"5"	"8"	"3"	"0"	"1"	"50"	"2"	"2"	"1"	"0"	"5"	"608"	""	"608"	""
"171"	"139"	"29"	"315"	"91"	"11"	"79"	"2"	"2"	"5"	"3"	"5"	"45"	"6"	"8"	"1"	"7"	"21"	"630"	""	"630"	""
"172"	"140"	"37"	"405"	"2"	"3"	"18"	"3"	"1"	"1"	"3"	"2"	"2"	"2"	"3"	"1"	"2"	"5"	"490"	""	"490"	""
"173"	"VksVy"	"224"	"2920"	"770"	"87"	"1286"	"51"	"47"	"26"	"22"	"35"	"370"	"35"	"36"	"29"	"40"	"102"	"6080"	"0"	"6080"	"0"
"174"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kadj i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"175"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"176"	"141"	"25"	"251"	"12"	"5"	"31"	"6"	"3"	"9"	"2"	"8"	"114"	"8"	"11"	"3"	"10"	"16"	"514"	""	"514"	""
"177"	"142"	"12"	"332"	"9"	"3"	"5"	"0"	"3"	"0"	"2"	"2"	"22"	"2"	"1"	"3"	"2"	"8"	"406"	""	"406"	""
"178"	"143"	"13"	"251"	"183"	"6"	"41"	"3"	"4"	"2"	"1"	"4"	"2"	"2"	"0"	"3"	"1"	"4"	"520"	""	"520"	""
"179"	"144"	"7"	"176"	"30"	"7"	"80"	"3"	"1"	"0"	"0"	"2"	"1"	"2"	"1"	"0"	"1"	"3"	"314"	""	"314"	""
"180"	"145"	"2"	"106"	"3"	"20"	"33"	"1"	"0"	"0"	"2"	"1"	"2"	"0"	"1"	"1"	"4"	"5"	"181"	""	"181"	""
"181"	"146"	"12"	"259"	"5"	"2"	"26"	"1"	"3"	"1"	"1"	"0"	"0"	"4"	"2"	"5"	"12"	"11"	"344"	""	"344"	""
"182"	"147"	"3"	"166"	"30"	"4"	"118"	"2"	"2"	"0"	"0"	"1"	"25"	"0"	"1"	"1"	"0"	"0"	"353"	""	"353"	""
"183"	"148"	"12"	"163"	"157"	"9"	"34"	"7"	"0"	"6"	"4"	"6"	"314"	"3"	"5"	"0"	"2"	"3"	"725"	""	"725"	""
"184"	"149"	"13"	"112"	"8"	"5"	"25"	"5"	"9"	"5"	"4"	"5"	"309"	"11"	"24"	"5"	"7"	"19"	"566"	""	"566"	""
"185"	"150"	"26"	"268"	"185"	"4"	"19"	"2"	"2"	"2"	"5"	"6"	"8"	"1"	"4"	"5"	"3"	"13"	"553"	""	"553"	""
"186"	"151"	"22"	"297"	"20"	"0"	"24"	"2"	"8"	"2"	"2"	"2"	"28"	"4"	"3"	"3"	"7"	"8"	"432"	""	"432"	""
"187"	"152"	"18"	"206"	"33"	"15"	"71"	"4"	"2"	"1"	"6"	"6"	"24"	"4"	"2"	"8"	"7"	"9"	"416"	""	"416"	""
"188"	"153"	"9"	"98"	"10"	"14"	"133"	"8"	"3"	"4"	"7"	"3"	"121"	"3"	"16"	"3"	"7"	"27"	"466"	""	"466"	""
"189"	"154"	"22"	"245"	"55"	"12"	"37"	"3"	"1"	"4"	"0"	"1"	"12"	"2"	"0"	"0"	"1"	"0"	"395"	""	"395"	""
"190"	"VksVy"	"196"	"2930"	"740"	"106"	"677"	"47"	"41"	"36"	"36"	"47"	"982"	"46"	"71"	"40"	"64"	"126"	"6185"	"0"	"6185"	"0"
"191"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"fo/kku l Hkk {ks= l a[ ; k , oa uke &05&ykSfj ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"fuokZpdksa dh dqy  l a[ ; k&189010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"01&okYehfduxj  l al nh;   fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kadj i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"197"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"198"	"155"	"2"	"60"	"14"	"2"	"54"	"0"	"0"	"0"	"0"	"2"	"5"	"0"	"1"	"5"	"0"	"2"	"147"	""	"147"	""
"199"	"156"	"48"	"251"	"177"	"1"	"83"	"2"	"3"	"3"	"3"	"10"	"9"	"3"	"3"	"5"	"3"	"16"	"620"	""	"620"	""
"200"	"157"	"3"	"147"	"16"	"4"	"6"	"3"	"1"	"0"	"2"	"3"	"17"	"0"	"2"	"3"	"3"	"6"	"216"	""	"216"	""
"201"	"158"	"12"	"242"	"7"	"25"	"42"	"3"	"9"	"1"	"3"	"3"	"11"	"1"	"8"	"3"	"8"	"9"	"387"	""	"387"	""
"202"	"159"	"40"	"184"	"51"	"15"	"176"	"0"	"4"	"2"	"0"	"1"	"22"	"0"	"1"	"0"	"0"	"4"	"500"	""	"500"	""
"203"	"160"	"24"	"311"	"38"	"15"	"176"	"3"	"3"	"2"	"4"	"4"	"30"	"1"	"9"	"4"	"7"	"12"	"643"	""	"643"	""
"204"	"161"	"27"	"261"	"47"	"2"	"4"	"0"	"10"	"2"	"2"	"25"	"21"	"1"	"5"	"6"	"4"	"9"	"426"	""	"426"	""
"205"	"162"	"2"	"52"	"25"	"8"	"24"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"3"	"6"	"127"	""	"127"	""
"206"	"163"	"18"	"236"	"250"	"18"	"45"	"4"	"6"	"5"	"6"	"3"	"44"	"1"	"8"	"9"	"5"	"6"	"664"	""	"664"	""
"207"	"164"	"2"	"6"	"0"	"4"	"59"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"76"	""	"76"	""
"208"	"165"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"4"	""	"4"	""
"209"	"166"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"210"	"167"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"211"	"168"	"51"	"147"	"11"	"9"	"109"	"5"	"3"	"2"	"1"	"3"	"134"	"2"	"3"	"0"	"3"	"1"	"484"	""	"484"	""
"212"	"VksVy"	"229"	"1897"	"636"	"103"	"781"	"21"	"41"	"19"	"22"	"56"	"295"	"9"	"42"	"36"	"36"	"71"	"4294"	"0"	"4294"	"0"
"213"	"fo/kku l Hkk {ks= l a[ ; k , oa uke &05&ykSfj ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"fuokZpdksa dh dqy  l a[ ; k&189010                                                                                    vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"01&okYehfduxj  l al nh;   fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kadj i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"219"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"220"	"169"	"9"	"39"	"5"	"10"	"138"	"1"	"2"	"4"	"0"	"6"	"245"	"1"	"7"	"0"	"4"	"5"	"476"	""	"476"	""
"221"	"170"	"6"	"144"	"89"	"3"	"39"	"2"	"0"	"3"	"2"	"1"	"79"	"1"	"7"	"3"	"1"	"2"	"382"	""	"382"	""
"222"	"171"	"5"	"263"	"82"	"1"	"20"	"3"	"2"	"3"	"1"	"3"	"54"	"7"	"13"	"7"	"14"	"11"	"489"	""	"489"	""
"223"	"172"	"8"	"81"	"3"	"13"	"46"	"3"	"3"	"4"	"4"	"8"	"248"	"6"	"7"	"2"	"5"	"9"	"450"	""	"450"	""
"224"	"173"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"225"	"174"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"226"	"175"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"227"	"176"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"228"	"177"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"229"	"178"	"2"	"250"	"16"	"10"	"9"	"4"	"88"	"0"	"2"	"0"	"19"	"1"	"1"	"2"	"1"	"0"	"405"	""	"405"	""
"230"	"179"	"10"	"500"	"6"	"4"	"35"	"2"	"0"	"0"	"0"	"4"	"22"	"1"	"5"	"0"	"5"	"4"	"598"	""	"598"	""
"231"	"180"	"7"	"194"	"1"	"8"	"5"	"0"	"1"	"3"	"1"	"3"	"174"	"1"	"4"	"0"	"0"	"0"	"402"	""	"402"	""
"232"	"181"	"43"	"181"	"70"	"3"	"95"	"1"	"4"	"2"	"4"	"3"	"2"	"1"	"3"	"1"	"2"	"4"	"419"	""	"419"	""
"233"	"182"	"1"	"5"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"8"	""	"8"	""
"234"	"VksVy"	"91"	"1657"	"272"	"52"	"388"	"16"	"100"	"19"	"14"	"28"	"843"	"19"	"47"	"15"	"32"	"36"	"3629"	"0"	"3629"	"0"
"235"	"fo/kku l Hkk {ks= l a[ ; k , oa uke &05&ykSfj ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"fuokZpdksa dh dqy  l a[ ; k&189010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"01&okYehfduxj  l al nh;   fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kadj i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"242"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"243"	"183"	"44"	"222"	"13"	"13"	"109"	"5"	"7"	"8"	"3"	"6"	"24"	"1"	"7"	"3"	"3"	"12"	"480"	""	"480"	""
"244"	"184"	"8"	"191"	"59"	"7"	"44"	"5"	"2"	"1"	"3"	"6"	"32"	"1"	"12"	"5"	"6"	"10"	"392"	""	"392"	""
"245"	"185"	"12"	"110"	"11"	"8"	"116"	"6"	"9"	"2"	"5"	"2"	"13"	"5"	"6"	"10"	"7"	"22"	"344"	""	"344"	""
"246"	"186"	"19"	"249"	"19"	"7"	"66"	"11"	"8"	"3"	"4"	"3"	"5"	"1"	"2"	"2"	"3"	"2"	"404"	""	"404"	""
"247"	"187"	"21"	"290"	"29"	"8"	"17"	"5"	"5"	"3"	"1"	"1"	"4"	"2"	"5"	"14"	"8"	"31"	"444"	""	"444"	""
"248"	"188"	"56"	"442"	"51"	"15"	"38"	"6"	"50"	"14"	"3"	"9"	"15"	"14"	"9"	"12"	"19"	"38"	"791"	""	"791"	""
"249"	"189"	"6"	"193"	"5"	"6"	"16"	"2"	"1"	"0"	"2"	"0"	"76"	"0"	"1"	"2"	"2"	"4"	"316"	""	"316"	""
"250"	"190"	"21"	"218"	"2"	"31"	"57"	"0"	"7"	"1"	"2"	"0"	"34"	"4"	"2"	"1"	"5"	"4"	"389"	""	"389"	""
"251"	"191"	"14"	"209"	"15"	"48"	"45"	"2"	"6"	"1"	"2"	"2"	"25"	"1"	"0"	"1"	"3"	"2"	"376"	""	"376"	""
"252"	"192"	"10"	"242"	"181"	"14"	"34"	"8"	"15"	"9"	"5"	"4"	"107"	"4"	"8"	"0"	"6"	"7"	"654"	""	"654"	""
"253"	"193"	"6"	"189"	"7"	"12"	"22"	"3"	"14"	"2"	"1"	"4"	"75"	"2"	"6"	"5"	"8"	"8"	"364"	""	"364"	""
"254"	"194"	"8"	"91"	"3"	"5"	"60"	"1"	"3"	"9"	"3"	"2"	"199"	"2"	"9"	"0"	"3"	"10"	"408"	""	"408"	""
"255"	"VksVy"	"225"	"2646"	"395"	"174"	"624"	"54"	"127"	"53"	"34"	"39"	"609"	"37"	"67"	"55"	"73"	"150"	"5362"	"0"	"5362"	"0"
