"Name.of.Candidate"	"Dr..Arun.Kumar"	"Jagdish.Sharma"	"Ramadhar.Sharma"	"Surendra.Prasad.Yadav"	"Ayasha.Khatun"	"Prof..Jai.Ram.Prasad.Singh"	"Tara.Gupta"	"Mahanand.Prasad"	"Ramasray.Prasad.Singh"	"Md..Shahabubin.Jahan"	"Shravan.kumar"	"Sadhu.Sinha"	"Syed.Akber.Imam"	"Ajay.Kumar.Verma"	"Abhay.Kumar.Anil"	"Dr..Arbind.Kumar"	"Arvind.Prasad.Singh"	"Upendra.Prasad"	"Jagdish.Yadav"	"Prikshit.Singh"	"Prabhat.Kumar.Ranjan"	"Ranjit.Sharma"	"Rakeshwar.Kishor"	"Siya.Ram.Prasad"	"Sumirak.Singh"	"Total.Valid.Votes"	"No..of.Reject.ed.votes"	"Total"	"No..of.tendered.votes"
"175"	"125"	142	240	40	4	2	4	0	5	0	1	0	1	2	3	0	4	2	0	3	0	0	0	0	0	0	453	NA	453	NA
"176"	"126"	12	47	6	61	1	1	2	195	5	3	0	0	2	1	2	19	9	1	2	0	0	0	0	0	1	370	NA	370	NA
"177"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"178"	"Total"	891	2076	107	673	26	20	15	543	99	16	8	12	20	19	28	109	53	29	18	13	7	4	5	16	6	4813	NA	4813	NA
"179"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"180"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"181"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"182"	"Round 10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"183"	"127"	1	25	9	216	3	0	0	13	0	0	0	0	0	0	0	11	6	1	0	5	1	0	0	0	0	291	NA	291	NA
"184"	"128"	5	127	7	113	3	1	1	13	2	0	0	0	0	1	0	4	1	1	2	3	0	2	1	2	0	289	NA	289	NA
"185"	"129"	17	96	12	351	3	1	4	94	6	0	0	0	1	0	0	13	2	1	0	0	0	0	0	0	0	601	NA	601	NA
"186"	"130"	62	82	74	122	5	6	1	24	2	3	0	2	4	4	7	29	16	9	8	8	5	4	2	4	4	487	NA	487	NA
"187"	"131"	81	342	2	0	0	0	0	6	2	1	0	0	0	2	3	2	1	1	1	0	0	0	0	0	0	444	NA	444	NA
"188"	"132"	19	138	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	162	NA	162	NA
"189"	"133"	1	78	3	294	7	2	1	40	3	0	1	1	0	1	2	5	1	1	0	0	0	0	0	1	0	442	NA	442	NA
"190"	"134"	60	69	3	61	1	1	0	12	0	3	0	2	0	0	0	13	0	0	1	0	0	0	1	0	0	227	NA	227	NA
"191"	"135"	18	32	10	141	1	0	4	5	3	0	0	2	2	1	2	6	2	1	2	1	0	0	0	1	1	235	NA	235	NA
"192"	"136"	25	167	3	33	2	4	1	9	3	0	0	1	0	2	0	3	2	13	4	5	2	1	0	1	3	284	NA	284	NA
"193"	"137"	38	74	120	114	8	7	2	4	4	1	0	0	1	1	1	14	4	2	2	6	1	2	0	0	0	406	NA	406	NA
"194"	"138"	20	64	2	209	3	2	0	3	7	1	1	0	0	0	0	4	2	2	1	1	0	0	1	0	0	323	NA	323	NA
"195"	"139"	63	73	0	43	1	2	2	104	3	4	0	1	1	2	2	3	1	1	1	0	0	0	0	0	1	308	NA	308	NA
"196"	"140"	52	147	4	66	3	0	3	104	2	2	0	0	0	1	1	8	7	2	0	0	1	1	0	0	1	405	NA	405	NA
"197"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"198"	"Total"	462	1514	250	1764	41	26	19	431	37	15	2	9	10	16	18	115	45	35	22	29	10	10	5	9	10	4904	NA	4904	NA
"199"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"200"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"201"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"202"	"Round 11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"203"	"141"	45	137	3	191	4	3	0	3	6	0	0	1	1	1	1	12	3	0	2	1	0	0	1	0	0	415	NA	415	NA
"204"	"142"	118	379	6	20	3	3	1	3	4	2	0	2	1	2	4	6	1	1	1	1	0	1	1	1	0	561	NA	561	NA
"205"	"143"	14	99	32	8	0	0	0	40	4	0	0	1	0	0	3	5	2	5	0	0	0	0	1	2	0	216	NA	216	NA
"206"	"144"	61	219	30	123	3	1	5	18	26	0	0	4	2	1	2	20	15	5	8	7	3	3	8	5	12	581	NA	581	NA
"207"	"145"	5	93	3	213	2	1	0	4	1	1	0	3	0	1	3	5	0	1	1	0	1	0	0	1	0	339	NA	339	NA
"208"	"146"	1	31	19	215	2	4	0	15	4	0	1	1	0	0	0	13	0	4	2	0	0	0	1	1	0	314	NA	314	NA
"209"	"147"	5	45	7	454	6	1	1	67	2	1	0	0	0	0	0	1	1	0	3	0	0	0	0	1	0	595	NA	595	NA
"210"	"148"	12	53	5	72	3	3	7	93	12	5	1	1	3	6	8	8	3	1	4	2	1	1	3	6	2	315	NA	315	NA
"211"	"149"	6	3	21	165	2	0	1	13	20	1	0	0	0	0	0	3	4	0	0	0	0	0	0	0	2	241	NA	241	NA
"212"	"150"	4	24	5	100	7	1	2	51	7	3	1	4	5	3	0	15	2	0	1	7	2	1	2	0	0	247	NA	247	NA
"213"	"151"	5	309	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	NA	318	NA
"214"	"152"	24	251	1	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	295	NA	295	NA
"215"	"153"	34	148	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	NA	185	NA
"216"	"154"	3	19	1	225	2	0	0	3	0	0	0	1	1	0	0	4	1	0	0	0	0	0	0	0	0	260	NA	260	NA
"217"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"218"	"Total"	337	1810	134	1787	34	17	18	332	86	13	3	18	13	14	21	93	32	17	22	18	7	6	17	17	16	4882	NA	4882	NA
"219"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"220"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"221"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"222"	"Round 12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"223"	"155"	8	16	1	282	1	1	0	76	3	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	393	NA	393	NA
"224"	"156"	22	117	1	61	0	0	1	72	5	0	0	0	0	0	0	4	3	1	0	0	0	0	0	0	0	287	NA	287	NA
"225"	"157"	0	5	1	118	2	0	1	132	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	260	NA	260	NA
"226"	"158"	0	23	1	262	2	1	1	51	2	1	0	1	3	0	1	2	4	2	2	0	0	0	0	0	0	359	NA	359	NA
"227"	"159"	16	133	5	161	2	1	2	191	10	1	1	1	1	1	0	7	11	4	2	3	1	5	0	6	4	569	NA	569	NA
"228"	"160"	8	70	13	90	3	4	2	46	2	3	1	1	0	2	4	6	1	5	1	1	1	1	0	2	2	269	NA	269	NA
"229"	"161"	21	423	0	10	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	NA	456	NA
"230"	"162"	3	67	3	111	5	3	2	53	8	0	0	3	1	0	0	7	7	5	7	10	2	3	1	1	3	305	NA	305	NA
"231"	"163"	94	175	1	3	0	2	1	127	2	1	1	0	0	2	6	6	1	0	0	0	0	1	0	0	1	424	NA	424	NA
"232"	"164"	1	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	NA	249	NA
"233"	"165"	11	189	0	15	1	0	0	43	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	261	NA	261	NA
"234"	"166"	9	706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	715	NA	715	NA
"235"	"167"	16	167	5	110	4	2	4	28	1	3	1	0	2	6	2	10	6	6	12	4	3	2	3	6	6	409	NA	409	NA
"236"	"168"	19	870	4	1	0	0	0	43	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	940	NA	940	NA
"237"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"238"	"Total"	228	3209	35	1224	20	14	14	864	35	9	4	6	7	13	13	46	33	23	25	18	8	12	4	15	17	5896	NA	5896	NA
"239"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"240"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"241"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"242"	"Round 13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"243"	"169"	41	202	40	94	5	1	0	5	3	2	3	1	6	6	6	6	6	2	1	1	1	0	0	0	0	432	NA	432	NA
"244"	"170"	73	249	54	71	4	5	0	4	1	3	1	3	2	4	7	14	6	8	4	4	3	0	2	0	3	525	NA	525	NA
"245"	"171"	20	189	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	NA	211	NA
"246"	"172"	15	126	2	57	2	0	0	20	1	1	0	1	0	0	0	2	1	0	1	0	0	0	0	0	0	229	NA	229	NA
"247"	"173"	58	81	5	76	2	0	0	40	1	1	0	1	4	1	0	9	4	2	1	2	2	0	1	3	1	295	NA	295	NA
"248"	"174"	50	45	6	182	7	2	2	63	3	2	0	0	1	2	0	9	10	2	1	4	1	1	2	4	3	402	NA	402	NA
"249"	"175"	37	212	14	21	0	3	0	35	0	2	0	0	0	0	7	9	1	2	3	0	1	0	0	1	3	351	NA	351	NA
"250"	"176"	103	199	4	15	1	7	3	66	5	2	3	0	1	5	2	13	7	5	1	1	1	3	0	1	4	452	NA	452	NA
"251"	"177"	42	144	16	7	2	0	2	45	3	2	3	0	3	3	0	16	4	3	2	0	1	2	0	1	2	303	NA	303	NA
"252"	"178"	51	49	3	164	13	8	3	68	10	4	3	2	4	3	1	18	6	6	1	9	5	1	5	8	7	452	NA	452	NA
"253"	"179"	38	78	5	29	1	1	2	84	1	0	3	0	0	0	2	10	1	5	1	0	2	0	0	0	3	266	NA	266	NA
"254"	"180"	143	25	28	35	0	2	0	2	0	0	0	0	0	1	0	7	0	0	0	1	0	0	0	0	0	244	NA	244	NA
"255"	"181"	70	123	8	208	5	0	1	33	5	1	1	0	2	2	0	9	4	3	1	1	0	0	3	2	1	483	NA	483	NA
"256"	"182"	246	331	3	17	1	0	0	22	0	0	0	0	1	0	0	2	2	2	0	1	0	2	0	1	1	632	NA	632	NA
"257"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"258"	"Total"	987	2053	189	976	43	29	13	488	33	20	17	8	24	27	25	124	52	40	17	24	17	9	13	21	28	5277	NA	5277	NA
"259"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"260"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"261"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"262"	"Round 14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"263"	"183"	38	35	7	109	3	2	1	62	11	1	1	1	0	2	2	19	3	3	1	0	2	1	0	2	4	310	NA	310	NA
"264"	"184"	133	351	8	3	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	502	NA	502	NA
"265"	"185"	80	197	1	2	0	0	0	0	0	0	0	0	0	1	1	2	7	3	0	1	0	0	0	0	1	296	NA	296	NA
"266"	"186"	53	489	6	44	2	4	1	2	0	2	0	0	0	0	4	12	7	2	3	1	0	0	0	2	1	635	NA	635	NA
"267"	"187"	1	399	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	405	NA	405	NA
"268"	"188"	42	276	1	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	326	NA	326	NA
"269"	"189"	32	336	6	48	0	0	0	1	0	2	0	0	3	0	1	1	6	0	4	1	0	0	0	0	1	442	NA	442	NA
"270"	"190"	24	529	35	84	2	5	2	7	3	1	1	2	1	1	1	3	7	5	3	2	0	2	0	0	1	721	NA	721	NA
"271"	"191"	7	157	6	122	0	4	2	1	4	0	0	0	1	1	0	3	18	9	4	1	0	2	2	0	5	349	NA	349	NA
"272"	"192"	3	161	2	6	0	2	0	1	21	0	0	1	0	4	1	2	0	1	0	0	0	0	1	0	2	208	NA	208	NA
"273"	"193"	10	167	2	6	1	1	0	1	1	0	0	0	0	2	0	2	7	2	1	0	0	1	0	0	0	204	NA	204	NA
"274"	"194"	11	224	49	64	4	3	0	1	9	1	0	1	2	2	5	14	5	7	3	3	0	2	0	1	4	415	NA	415	NA
"275"	"195"	10	121	6	104	1	2	2	2	1	0	0	1	1	2	6	9	1	1	1	1	0	0	0	0	2	274	NA	274	NA
"276"	"196"	7	258	24	213	2	2	2	37	2	1	0	0	0	2	0	3	0	0	7	2	0	1	0	0	0	563	NA	563	NA
"277"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"278"	"Total"	451	3700	154	807	15	25	10	116	52	9	2	6	8	17	21	82	61	33	27	13	2	9	3	5	22	5650	NA	5650	NA
"279"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"280"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"281"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"282"	"Round 15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"283"	"197"	109	147	5	20	0	0	0	0	1	0	0	0	4	1	3	11	3	0	2	0	0	0	0	1	1	308	NA	308	NA
"284"	"198"	4	11	3	307	4	3	0	147	8	1	0	1	0	1	1	2	1	4	0	0	0	1	0	0	3	502	NA	502	NA
"285"	"199"	76	69	0	22	0	1	0	4	79	1	0	1	0	1	2	1	1	1	0	0	0	0	0	1	1	261	NA	261	NA
"286"	"200"	52	150	3	67	2	3	13	94	16	1	3	2	2	5	2	12	6	5	3	0	0	0	4	7	5	457	NA	457	NA
"287"	"201"	79	350	6	52	4	2	1	2	0	0	0	0	0	0	3	5	1	0	0	0	0	0	0	0	1	506	NA	506	NA
"288"	"202"	8	619	27	33	1	0	2	26	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	719	NA	719	NA
"289"	"203"	63	103	3	26	0	4	1	40	3	1	3	1	1	0	1	4	0	1	1	1	1	0	0	3	2	263	NA	263	NA
"290"	"204"	26	94	9	51	2	3	2	109	13	1	3	1	3	0	2	5	6	3	4	4	4	1	3	7	5	361	NA	361	NA
"291"	"205"	17	45	5	189	6	4	2	20	5	2	1	2	4	3	2	17	4	3	1	4	1	1	1	0	2	341	NA	341	NA
"292"	"206"	63	323	2	0	0	0	0	2	6	0	0	0	2	1	0	2	4	0	0	0	0	0	0	0	0	405	NA	405	NA
"293"	"207"	43	75	14	96	5	3	1	12	6	1	0	1	7	8	6	12	4	2	7	10	4	3	1	2	5	328	NA	328	NA
"294"	"208"	125	120	1	1	0	1	0	17	4	0	0	0	0	0	0	3	3	1	1	0	0	0	0	0	1	278	NA	278	NA
"295"	"209"	60	503	2	6	0	2	0	9	4	0	0	0	0	0	0	1	1	2	1	0	0	1	0	0	0	592	NA	592	NA
"296"	"210"	39	377	0	0	0	1	1	84	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	510	NA	510	NA
"297"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"298"	"Total"	764	2986	80	870	24	27	23	566	149	10	12	9	23	20	22	77	34	22	20	19	11	7	9	21	26	5831	NA	5831	NA
"299"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"300"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"301"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"302"	"Round 16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"303"	"211"	146	337	1	39	3	1	0	7	0	0	0	0	1	0	3	0	2	1	2	2	0	0	0	2	0	547	NA	547	NA
"304"	"212"	47	157	25	164	6	2	9	237	14	4	4	4	5	1	2	15	8	16	10	11	4	12	6	4	7	774	NA	774	NA
"305"	"213"	7	28	3	151	7	0	0	6	3	0	1	1	1	3	1	11	4	0	2	7	3	3	2	0	2	246	NA	246	NA
"306"	"214"	42	190	1	5	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	242	NA	242	NA
"307"	"215"	71	124	2	2	1	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	205	NA	205	NA
"308"	"216"	118	128	6	90	8	4	2	9	33	0	2	1	2	3	2	18	11	6	0	1	2	1	1	0	4	452	NA	452	NA
"309"	"217"	60	208	8	49	5	5	4	95	10	2	0	4	3	3	5	16	5	1	3	1	0	0	0	1	7	495	NA	495	NA
"310"	"218"	101	433	4	0	1	1	1	61	4	1	0	1	1	1	3	8	19	3	1	2	3	2	1	4	7	663	NA	663	NA
"311"	"219"	52	102	1	8	1	3	1	20	2	1	0	1	0	4	1	9	0	1	0	2	2	0	0	0	0	211	NA	211	NA
"312"	"220"	8	149	45	221	12	5	1	4	6	1	0	2	2	3	3	6	12	4	2	5	2	1	1	1	5	501	NA	501	NA
"313"	"221"	156	145	1	29	4	2	4	217	5	5	3	0	2	4	4	4	4	2	5	2	3	3	3	7	7	621	NA	621	NA
"314"	"222"	39	334	2	12	1	3	1	101	1	0	1	1	0	2	3	3	5	7	8	3	4	0	0	1	4	536	NA	536	NA
"315"	"223"	155	216	1	1	0	1	0	8	3	2	0	0	0	0	1	1	1	2	0	0	0	1	0	2	0	395	NA	395	NA
"316"	"224"	24	98	12	23	2	3	1	154	7	4	1	1	2	2	2	2	7	0	1	0	0	1	0	2	2	351	NA	351	NA
"317"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"318"	"Total"	1026	2649	112	794	51	30	24	920	88	21	12	17	20	27	30	93	78	47	34	36	23	24	14	24	45	6239	NA	6239	NA
"319"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"320"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"321"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"322"	"Round 17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"323"	"225"	17	85	12	155	6	1	1	13	1	1	3	2	2	2	1	7	4	3	2	4	0	1	0	0	4	327	NA	327	NA
"324"	"226"	181	196	10	41	2	4	1	2	5	2	2	1	0	3	1	2	3	0	2	1	1	0	0	0	1	461	NA	461	NA
"325"	"227"	15	196	3	3	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	221	NA	221	NA
"326"	"228"	60	79	5	111	9	3	1	1	40	1	1	0	3	1	2	4	2	0	2	0	0	1	0	0	2	328	NA	328	NA
"327"	"229"	50	320	93	35	2	1	1	5	6	2	0	1	1	0	1	3	1	2	0	1	0	0	1	0	1	527	NA	527	NA
"328"	"230"	18	164	5	34	0	0	1	8	1	1	0	0	2	1	2	0	2	0	1	0	2	1	0	1	1	245	NA	245	NA
"329"	"231"	124	424	42	79	2	0	1	5	22	3	0	1	3	4	4	14	5	5	1	0	1	2	3	0	4	749	NA	749	NA
"330"	"232"	241	97	3	18	1	0	0	1	0	0	0	0	1	1	1	3	4	2	2	1	0	0	0	0	2	378	NA	378	NA
"331"	"233"	37	215	6	166	9	1	0	5	2	1	1	1	4	0	2	14	5	2	4	4	0	0	0	0	2	481	NA	481	NA
"332"	"234"	15	236	2	35	2	1	1	132	7	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	435	NA	435	NA
"333"	"235"	38	196	4	109	3	2	0	8	1	0	1	0	0	1	1	1	1	1	0	2	0	0	0	0	0	369	NA	369	NA
"334"	"236"	3	184	4	164	2	1	0	9	1	0	1	0	0	2	5	4	3	0	0	1	0	0	1	1	1	387	NA	387	NA
"335"	"237"	17	491	18	25	1	2	1	44	6	2	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	615	NA	615	NA
"336"	"238"	54	167	5	94	2	9	3	69	32	4	3	5	3	6	5	13	10	12	5	6	0	0	4	5	6	522	NA	522	NA
"337"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"338"	"Total"	870	3050	212	1069	41	25	11	302	126	17	12	13	21	21	28	66	43	28	20	20	4	5	9	8	24	6045	NA	6045	NA
"339"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"340"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"341"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"342"	"Round 18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"343"	"239"	44	228	35	76	4	2	1	86	17	0	0	1	4	6	2	18	2	1	4	0	4	1	2	0	1	539	NA	539	NA
"344"	"240"	5	111	2	23	0	0	2	58	49	0	1	2	1	3	2	4	1	7	2	1	0	0	1	3	2	280	NA	280	NA
"345"	"241"	15	88	57	53	1	1	3	23	11	4	0	1	5	0	4	19	3	3	1	0	0	0	1	5	13	311	NA	311	NA
"346"	"242"	65	224	2	30	0	2	1	8	5	1	1	1	0	0	3	1	3	0	0	0	1	1	0	0	0	349	NA	349	NA
"347"	"243"	35	167	19	26	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	251	NA	251	NA
"348"	"244"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"349"	"245"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"350"	"246"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"351"	"247"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
