"X36...Parliamentary..Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"
"107"	"77"	"1"	"105"	"4"	"127"	"3"	"1"	"0"	"64"	"2"	"3"	"1"	"1"	"3"	"1"	"2"	"9"	"3"	"5"	"1"	"3"	"1"	"0"	"0"	"0"	"1"	"341"	""	"341"	""
"108"	"78"	"30"	"553"	"2"	"6"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"592"	""	"592"	""
"109"	"79"	"11"	"29"	"1"	"437"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"490"	""	"490"	""
"110"	"80"	"5"	"180"	"19"	"313"	"2"	"3"	"0"	"1"	"0"	"0"	"2"	"1"	"1"	"1"	"3"	"6"	"6"	"1"	"3"	"0"	"1"	"1"	"2"	"0"	"0"	"551"	""	"551"	""
"111"	"81"	"1"	"14"	"1"	"432"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"455"	""	"455"	""
"112"	"82"	"23"	"125"	"3"	"130"	"3"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"4"	"0"	"1"	"0"	"0"	"0"	"301"	""	"301"	""
"113"	"83"	"58"	"77"	"16"	"82"	"3"	"6"	"1"	"1"	"0"	"1"	"0"	"1"	"2"	"1"	"1"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"272"	""	"272"	""
"114"	"84"	"6"	"73"	"2"	"309"	"14"	"3"	"2"	"2"	"1"	"1"	"3"	"3"	"4"	"1"	"6"	"6"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"441"	""	"441"	""
"115"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"Total"	"241"	"1699"	"72"	"3144"	"53"	"29"	"14"	"189"	"12"	"11"	"12"	"13"	"20"	"12"	"22"	"91"	"43"	"17"	"16"	"22"	"15"	"5"	"6"	"3"	"12"	"5773"	""	"5773"	""
"117"	"Signature of ARO                                                                                          Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"Round 7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"Name of Candidate"	"Dr. Arun Kumar"	"Jagdish Sharma"	"Ramadhar Sharma"	"Surendra Prasad Yadav"	"Ayasha Khatun"	"Prof. Jai Ram Prasad Singh"	"Tara Gupta"	"Mahanand Prasad"	"Ramasray Prasad Singh"	"Md. Shahabubin Jahan"	"Shravan kumar"	"Sadhu Sinha"	"Syed Akber Imam"	"Ajay Kumar Verma"	"Abhay Kumar Anil"	"Dr. Arbind Kumar"	"Arvind Prasad Singh"	"Upendra Prasad"	"Jagdish Yadav"	"Prikshit Singh"	"Prabhat Kumar Ranjan"	"Ranjit Sharma"	"Rakeshwar Kishor"	"Siya Ram Prasad"	"Sumirak Singh"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"
"120"	"85"	"2"	"6"	"0"	"280"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"8"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	""	"301"	""
"121"	"86"	"92"	"99"	"35"	"129"	"10"	"7"	"4"	"3"	"1"	"2"	"0"	"4"	"2"	"1"	"2"	"33"	"3"	"2"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"433"	""	"433"	""
"122"	"87"	"89"	"224"	"27"	"48"	"2"	"5"	"1"	"2"	"0"	"1"	"1"	"0"	"2"	"3"	"1"	"5"	"6"	"5"	"6"	"6"	"3"	"1"	"3"	"1"	"5"	"447"	""	"447"	""
"123"	"88"	"39"	"83"	"22"	"158"	"4"	"5"	"6"	"4"	"2"	"1"	"3"	"1"	"1"	"2"	"1"	"9"	"9"	"1"	"1"	"2"	"0"	"1"	"0"	"0"	"1"	"356"	""	"356"	""
"124"	"89"	"8"	"18"	"4"	"468"	"3"	"6"	"1"	"13"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"7"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"536"	""	"536"	""
"125"	"90"	"1"	"31"	"1"	"469"	"0"	"0"	"0"	"8"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"524"	""	"524"	""
"126"	"91"	"39"	"349"	"2"	"94"	"6"	"33"	"1"	"2"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"30"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"563"	""	"563"	""
"127"	"92"	"17"	"347"	"50"	"49"	"0"	"7"	"14"	"7"	"1"	"0"	"0"	"1"	"3"	"1"	"2"	"16"	"5"	"2"	"9"	"0"	"1"	"1"	"1"	"0"	"0"	"534"	""	"534"	""
"128"	"93"	"8"	"56"	"0"	"107"	"1"	"6"	"0"	"8"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"3"	"1"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"201"	""	"201"	""
"129"	"94"	"49"	"44"	"1"	"9"	"1"	"0"	"2"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"115"	""	"115"	""
"130"	"95"	"254"	"61"	"0"	"10"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"8"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"342"	""	"342"	""
"131"	"96"	"46"	"164"	"32"	"93"	"5"	"2"	"1"	"2"	"1"	"2"	"0"	"3"	"3"	"4"	"1"	"13"	"13"	"5"	"4"	"3"	"0"	"5"	"3"	"1"	"3"	"409"	""	"409"	""
"132"	"97"	"28"	"218"	"115"	"55"	"5"	"5"	"0"	"4"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"10"	"4"	"7"	"2"	"1"	"1"	"0"	"1"	"0"	"1"	"461"	""	"461"	""
"133"	"98"	"45"	"229"	"1"	"30"	"1"	"2"	"0"	"2"	"1"	"2"	"2"	"2"	"0"	"2"	"1"	"4"	"0"	"3"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"330"	""	"330"	""
"134"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"Total"	"717"	"1929"	"290"	"1999"	"42"	"78"	"30"	"56"	"10"	"10"	"10"	"14"	"14"	"17"	"13"	"159"	"48"	"32"	"26"	"17"	"7"	"9"	"9"	"3"	"13"	"5552"	""	"5552"	""
"136"	"Signature of ARO                                                                                          Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"Round 8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"Name of Candidate"	"Dr. Arun Kumar"	"Jagdish Sharma"	"Ramadhar Sharma"	"Surendra Prasad Yadav"	"Ayasha Khatun"	"Prof. Jai Ram Prasad Singh"	"Tara Gupta"	"Mahanand Prasad"	"Ramasray Prasad Singh"	"Md. Shahabubin Jahan"	"Shravan kumar"	"Sadhu Sinha"	"Syed Akber Imam"	"Ajay Kumar Verma"	"Abhay Kumar Anil"	"Dr. Arbind Kumar"	"Arvind Prasad Singh"	"Upendra Prasad"	"Jagdish Yadav"	"Prikshit Singh"	"Prabhat Kumar Ranjan"	"Ranjit Sharma"	"Rakeshwar Kishor"	"Siya Ram Prasad"	"Sumirak Singh"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"
"139"	"99"	"7"	"46"	"5"	"60"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"5"	"2"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"136"	""	"136"	""
"140"	"100"	"49"	"70"	"3"	"55"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"3"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"190"	""	"190"	""
"141"	"101"	"14"	"100"	"42"	"192"	"7"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"4"	"6"	"3"	"3"	"1"	"1"	"1"	"2"	"1"	"3"	"385"	""	"385"	""
"142"	"102"	"60"	"56"	"48"	"39"	"0"	"3"	"0"	"2"	"0"	"0"	"1"	"2"	"0"	"2"	"3"	"2"	"21"	"13"	"9"	"10"	"2"	"2"	"1"	"4"	"5"	"285"	""	"285"	""
"143"	"103"	"14"	"212"	"2"	"129"	"4"	"3"	"1"	"87"	"4"	"1"	"0"	"2"	"0"	"1"	"1"	"15"	"5"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"2"	"487"	""	"487"	""
"144"	"104"	"17"	"133"	"66"	"45"	"5"	"2"	"1"	"10"	"3"	"0"	"2"	"3"	"2"	"2"	"0"	"5"	"7"	"2"	"1"	"0"	"0"	"0"	"1"	"2"	"1"	"310"	""	"310"	""
"145"	"105"	"18"	"88"	"6"	"159"	"2"	"1"	"1"	"231"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"12"	"0"	"2"	"2"	"4"	"1"	"0"	"0"	"4"	"5"	"539"	""	"539"	""
"146"	"106"	"15"	"135"	"61"	"77"	"4"	"7"	"3"	"65"	"6"	"11"	"2"	"3"	"2"	"1"	"2"	"30"	"13"	"3"	"3"	"5"	"0"	"1"	"1"	"3"	"3"	"456"	""	"456"	""
"147"	"107"	"8"	"176"	"0"	"32"	"1"	"1"	"1"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	""	"250"	""
"148"	"108"	"13"	"309"	"7"	"5"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"14"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"353"	""	"353"	""
"149"	"109"	"24"	"158"	"3"	"180"	"4"	"4"	"7"	"5"	"1"	"3"	"4"	"3"	"1"	"4"	"4"	"19"	"2"	"2"	"2"	"4"	"2"	"0"	"0"	"1"	"3"	"440"	""	"440"	""
"150"	"110"	"20"	"60"	"1"	"13"	"2"	"2"	"0"	"24"	"1"	"1"	"0"	"0"	"3"	"1"	"0"	"2"	"1"	"0"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"135"	""	"135"	""
"151"	"111"	"19"	"342"	"2"	"18"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"386"	""	"386"	""
"152"	"112"	"4"	"213"	"6"	"59"	"2"	"5"	"1"	"3"	"0"	"0"	"1"	"1"	"1"	"3"	"3"	"10"	"3"	"5"	"2"	"2"	"1"	"0"	"1"	"1"	"0"	"327"	""	"327"	""
"153"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"Total"	"282"	"2098"	"252"	"1063"	"40"	"32"	"16"	"447"	"17"	"16"	"11"	"15"	"11"	"16"	"17"	"126"	"68"	"35"	"27"	"29"	"7"	"7"	"8"	"17"	"22"	"4679"	""	"4679"	""
"155"	"Signature of ARO                                                                                          Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"Round 9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"Name of Candidate"	"Dr. Arun Kumar"	"Jagdish Sharma"	"Ramadhar Sharma"	"Surendra Prasad Yadav"	"Ayasha Khatun"	"Prof. Jai Ram Prasad Singh"	"Tara Gupta"	"Mahanand Prasad"	"Ramasray Prasad Singh"	"Md. Shahabubin Jahan"	"Shravan kumar"	"Sadhu Sinha"	"Syed Akber Imam"	"Ajay Kumar Verma"	"Abhay Kumar Anil"	"Dr. Arbind Kumar"	"Arvind Prasad Singh"	"Upendra Prasad"	"Jagdish Yadav"	"Prikshit Singh"	"Prabhat Kumar Ranjan"	"Ranjit Sharma"	"Rakeshwar Kishor"	"Siya Ram Prasad"	"Sumirak Singh"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"
"158"	"113"	"31"	"230"	"14"	"232"	"5"	"2"	"1"	"26"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"18"	"3"	"5"	"1"	"1"	"0"	"3"	"2"	"4"	"583"	""	"583"	""
"159"	"114"	"0"	"32"	"1"	"245"	"2"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	""	"285"	""
"160"	"115"	"43"	"64"	"55"	"137"	"5"	"2"	"2"	"2"	"2"	"0"	"1"	"1"	"3"	"0"	"2"	"14"	"8"	"2"	"3"	"2"	"2"	"0"	"2"	"2"	"4"	"358"	""	"358"	""
"161"	"116"	"11"	"190"	"6"	"28"	"1"	"2"	"0"	"6"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	""	"250"	""
"162"	"117"	"11"	"7"	"1"	"280"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	""	"306"	""
"163"	"118"	"8"	"184"	"3"	"9"	"1"	"2"	"1"	"68"	"4"	"4"	"0"	"1"	"1"	"1"	"1"	"8"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"304"	""	"304"	""
"164"	"119"	"8"	"297"	"4"	"7"	"2"	"2"	"1"	"37"	"1"	"1"	"1"	"0"	"0"	"1"	"2"	"3"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"1"	"0"	"373"	""	"373"	""
"165"	"120"	"27"	"321"	"3"	"35"	"2"	"5"	"0"	"13"	"0"	"0"	"0"	"0"	"1"	"1"	"9"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"423"	""	"423"	""
"166"	"121"	"24"	"73"	"14"	"7"	"1"	"3"	"2"	"178"	"2"	"1"	"1"	"0"	"1"	"1"	"0"	"12"	"3"	"1"	"1"	"3"	"1"	"0"	"0"	"1"	"0"	"330"	""	"330"	""
"167"	"122"	"4"	"76"	"4"	"22"	"2"	"4"	"1"	"261"	"5"	"1"	"0"	"1"	"0"	"0"	"2"	"5"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"394"	""	"394"	""
"168"	"123"	"19"	"167"	"30"	"71"	"2"	"4"	"2"	"14"	"2"	"2"	"1"	"2"	"5"	"5"	"3"	"20"	"0"	"4"	"2"	"0"	"2"	"0"	"0"	"0"	"4"	"361"	""	"361"	""
"169"	"124"	"3"	"214"	"3"	"60"	"3"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"9"	"3"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"305"	""	"305"	""
"170"	"125"	"6"	"188"	"8"	"83"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"1"	"7"	"2"	"6"	"1"	"1"	"1"	"0"	"1"	"0"	"3"	"315"	""	"315"	""
"171"	"126"	"69"	"162"	"8"	"82"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"3"	"5"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"343"	""	"343"	""
"172"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"Total"	"264"	"2205"	"154"	"1298"	"30"	"31"	"12"	"614"	"18"	"9"	"4"	"6"	"15"	"14"	"20"	"90"	"43"	"29"	"21"	"10"	"7"	"1"	"6"	"8"	"21"	"4930"	""	"4930"	""
"174"	"Signature of ARO                                                                                          Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"Round 10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Name of Candidate"	"Dr. Arun Kumar"	"Jagdish Sharma"	"Ramadhar Sharma"	"Surendra Prasad Yadav"	"Ayasha Khatun"	"Prof. Jai Ram Prasad Singh"	"Tara Gupta"	"Mahanand Prasad"	"Ramasray Prasad Singh"	"Md. Shahabubin Jahan"	"Shravan kumar"	"Sadhu Sinha"	"Syed Akber Imam"	"Ajay Kumar Verma"	"Abhay Kumar Anil"	"Dr. Arbind Kumar"	"Arvind Prasad Singh"	"Upendra Prasad"	"Jagdish Yadav"	"Prikshit Singh"	"Prabhat Kumar Ranjan"	"Ranjit Sharma"	"Rakeshwar Kishor"	"Siya Ram Prasad"	"Sumirak Singh"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"
"177"	"127"	"12"	"111"	"7"	"188"	"8"	"4"	"4"	"2"	"0"	"1"	"0"	"1"	"1"	"2"	"2"	"8"	"3"	"0"	"2"	"2"	"0"	"1"	"0"	"0"	"0"	"359"	""	"359"	""
"178"	"128"	"6"	"352"	"179"	"59"	"1"	"2"	"2"	"5"	"0"	"1"	"2"	"1"	"1"	"1"	"0"	"10"	"12"	"1"	"3"	"1"	"0"	"0"	"1"	"1"	"3"	"644"	""	"644"	""
"179"	"129"	"36"	"264"	"7"	"160"	"4"	"7"	"1"	"5"	"1"	"1"	"3"	"6"	"6"	"6"	"6"	"12"	"4"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"538"	""	"538"	""
"180"	"130"	"43"	"210"	"106"	"171"	"4"	"2"	"2"	"22"	"1"	"6"	"4"	"4"	"6"	"3"	"2"	"23"	"2"	"3"	"4"	"5"	"0"	"3"	"0"	"1"	"3"	"630"	""	"630"	""
"181"	"131"	"22"	"118"	"2"	"59"	"4"	"0"	"0"	"3"	"1"	"1"	"0"	"0"	"2"	"1"	"1"	"3"	"7"	"1"	"2"	"1"	"1"	"2"	"0"	"0"	"1"	"232"	""	"232"	""
"182"	"132"	"109"	"114"	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"232"	""	"232"	""
"183"	"133"	"67"	"120"	"16"	"19"	"2"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	""	"233"	""
"184"	"134"	"35"	"210"	"63"	"84"	"6"	"2"	"0"	"3"	"0"	"1"	"0"	"4"	"2"	"1"	"5"	"15"	"3"	"8"	"3"	"0"	"1"	"1"	"0"	"1"	"3"	"451"	""	"451"	""
"185"	"135"	"34"	"68"	"1"	"195"	"3"	"1"	"4"	"2"	"1"	"0"	"1"	"0"	"2"	"2"	"3"	"9"	"3"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"333"	""	"333"	""
"186"	"136"	"4"	"83"	"2"	"43"	"4"	"1"	"0"	"4"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	""	"158"	""
"187"	"137"	"47"	"240"	"1"	"10"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"6"	"1"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"312"	""	"312"	""
"188"	"138"	"24"	"151"	"13"	"20"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"9"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"225"	""	"225"	""
"189"	"139"	"8"	"9"	"1"	"123"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"1"	"0"	"4"	"2"	"3"	"2"	"0"	"1"	"0"	"1"	"2"	"3"	"171"	""	"171"	""
"190"	"140"	"9"	"185"	"25"	"64"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"5"	"2"	"0"	"1"	"0"	"2"	"0"	"1"	"2"	"1"	"303"	""	"303"	""
"191"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"Total"	"456"	"2235"	"423"	"1198"	"43"	"21"	"13"	"55"	"8"	"11"	"11"	"19"	"23"	"21"	"19"	"122"	"41"	"24"	"25"	"12"	"5"	"9"	"3"	"7"	"17"	"4821"	""	"4821"	""
"193"	"Signature of ARO                                                                                          Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"Round 11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"Name of Candidate"	"Dr. Arun Kumar"	"Jagdish Sharma"	"Ramadhar Sharma"	"Surendra Prasad Yadav"	"Ayasha Khatun"	"Prof. Jai Ram Prasad Singh"	"Tara Gupta"	"Mahanand Prasad"	"Ramasray Prasad Singh"	"Md. Shahabubin Jahan"	"Shravan kumar"	"Sadhu Sinha"	"Syed Akber Imam"	"Ajay Kumar Verma"	"Abhay Kumar Anil"	"Dr. Arbind Kumar"	"Arvind Prasad Singh"	"Upendra Prasad"	"Jagdish Yadav"	"Prikshit Singh"	"Prabhat Kumar Ranjan"	"Ranjit Sharma"	"Rakeshwar Kishor"	"Siya Ram Prasad"	"Sumirak Singh"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"
"196"	"141"	"27"	"204"	"58"	"182"	"6"	"4"	"1"	"7"	"9"	"38"	"2"	"2"	"2"	"1"	"2"	"5"	"7"	"5"	"10"	"5"	"1"	"4"	"4"	"2"	"5"	"593"	""	"593"	""
"197"	"142"	"10"	"74"	"19"	"180"	"5"	"6"	"0"	"14"	"0"	"0"	"2"	"2"	"0"	"4"	"1"	"6"	"9"	"3"	"1"	"3"	"1"	"0"	"0"	"1"	"0"	"341"	""	"341"	""
"198"	"143"	"32"	"133"	"3"	"191"	"5"	"1"	"2"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"4"	"9"	"3"	"3"	"0"	"6"	"1"	"0"	"1"	"1"	"401"	""	"401"	""
"199"	"144"	"2"	"6"	"1"	"396"	"0"	"0"	"0"	"0"	"4"	"7"	"0"	"0"	"0"	"0"	"1"	"5"	"2"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"427"	""	"427"	""
"200"	"145"	"3"	"18"	"1"	"501"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"1"	"2"	"0"	"0"	"2"	"2"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"537"	""	"537"	""
"201"	"146"	"23"	"182"	"56"	"22"	"3"	"4"	"1"	"16"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"7"	"5"	"12"	"6"	"1"	"1"	"0"	"0"	"4"	"6"	"351"	""	"351"	""
"202"	"147"	"66"	"80"	"3"	"145"	"4"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"5"	"11"	"4"	"2"	"1"	"1"	"0"	"0"	"1"	"2"	"329"	""	"329"	""
"203"	"148"	"53"	"125"	"5"	"69"	"1"	"0"	"2"	"25"	"0"	"1"	"1"	"0"	"1"	"2"	"1"	"4"	"10"	"1"	"1"	"6"	"3"	"1"	"1"	"0"	"1"	"314"	""	"314"	""
"204"	"149"	"13"	"54"	"87"	"244"	"3"	"1"	"0"	"13"	"0"	"2"	"2"	"2"	"1"	"1"	"0"	"8"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"437"	""	"437"	""
"205"	"150"	"102"	"200"	"6"	"12"	"0"	"0"	"0"	"12"	"1"	"0"	"3"	"0"	"0"	"1"	"0"	"6"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"2"	"350"	""	"350"	""
"206"	"151"	"96"	"250"	"6"	"93"	"5"	"5"	"8"	"31"	"4"	"1"	"5"	"3"	"7"	"6"	"8"	"49"	"12"	"18"	"12"	"5"	"4"	"3"	"2"	"6"	"7"	"646"	""	"646"	""
"207"	"152"	"12"	"214"	"0"	"7"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	""	"235"	""
"208"	"153"	"22"	"124"	"54"	"32"	"2"	"2"	"5"	"28"	"0"	"0"	"0"	"3"	"0"	"0"	"1"	"5"	"3"	"2"	"4"	"0"	"0"	"0"	"0"	"1"	"3"	"291"	""	"291"	""
"209"	"154"	"1"	"3"	"1"	"228"	"1"	"0"	"1"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	""	"254"	""
"210"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"Total"	"462"	"1667"	"300"	"2302"	"35"	"23"	"20"	"168"	"22"	"50"	"16"	"14"	"14"	"17"	"17"	"107"	"73"	"51"	"41"	"24"	"19"	"10"	"8"	"17"	"29"	"5506"	""	"5506"	""
"212"	"Signature of ARO                                                                                          Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"213"	"Round 12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"Name of Candidate"	"Dr. Arun Kumar"	"Jagdish Sharma"	"Ramadhar Sharma"	"Surendra Prasad Yadav"	"Ayasha Khatun"	"Prof. Jai Ram Prasad Singh"	"Tara Gupta"	"Mahanand Prasad"	"Ramasray Prasad Singh"	"Md. Shahabubin Jahan"	"Shravan kumar"	"Sadhu Sinha"	"Syed Akber Imam"	"Ajay Kumar Verma"	"Abhay Kumar Anil"	"Dr. Arbind Kumar"	"Arvind Prasad Singh"	"Upendra Prasad"	"Jagdish Yadav"	"Prikshit Singh"	"Prabhat Kumar Ranjan"	"Ranjit Sharma"	"Rakeshwar Kishor"	"Siya Ram Prasad"	"Sumirak Singh"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"
