"Sl..No."	"No..of.Polling.Station"	"No..of.Valid.votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendere.d.votes"
"152"	"141"	"141"	"65"	"20"	"291"	"16"	"33"	"0"	"0"	"2"	"2"	"2"	"0"	"2"	"6"	"5"	"13"	"457"	"0"	"457"	""
"153"	"142"	"142"	"66"	"19"	"383"	"28"	"66"	"8"	"4"	"9"	"5"	"1"	"2"	"4"	"22"	"12"	"14"	"643"	"0"	"643"	""
"154"	"143"	"143"	"83"	"12"	"354"	"30"	"17"	"0"	"2"	"1"	"2"	"1"	"1"	"3"	"5"	"8"	"14"	"533"	"0"	"533"	""
"155"	"144"	"144"	"102"	"6"	"261"	"24"	"27"	"4"	"0"	"1"	"2"	"1"	"0"	"4"	"3"	"4"	"4"	"443"	"0"	"443"	""
"156"	"145"	"145"	"34"	"3"	"224"	"18"	"59"	"3"	"1"	"0"	"1"	"1"	"0"	"2"	"1"	"2"	"7"	"356"	"0"	"356"	""
"157"	"146"	"146"	"40"	"17"	"332"	"18"	"48"	"0"	"0"	"4"	"2"	"3"	"1"	"8"	"3"	"11"	"10"	"497"	"0"	"497"	""
"158"	"147"	"147"	"45"	"5"	"126"	"10"	"7"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"195"	"0"	"195"	""
"159"	"148"	"148"	"23"	"12"	"230"	"19"	"52"	"1"	"2"	"5"	"1"	"0"	"2"	"2"	"13"	"7"	"8"	"377"	"0"	"377"	""
"160"	"149"	"149"	"11"	"4"	"198"	"15"	"44"	"0"	"0"	"2"	"1"	"1"	"1"	"1"	"3"	"3"	"6"	"290"	"0"	"290"	""
"161"	"150"	"150"	"74"	"13"	"236"	"10"	"182"	"6"	"4"	"12"	"0"	"0"	"2"	"3"	"3"	"3"	"9"	"557"	"0"	"557"	""
"162"	"151"	"151"	"89"	"9"	"407"	"24"	"63"	"2"	"0"	"1"	"0"	"3"	"2"	"4"	"6"	"2"	"6"	"618"	"0"	"618"	""
"163"	"152"	"152"	"94"	"10"	"184"	"12"	"13"	"0"	"1"	"1"	"2"	"0"	"1"	"1"	"0"	"2"	"2"	"323"	"0"	"323"	""
"164"	"153"	"153"	"14"	"12"	"229"	"27"	"119"	"3"	"1"	"0"	"1"	"1"	"1"	"4"	"7"	"7"	"6"	"432"	"0"	"432"	""
"165"	"154"	"154"	"135"	"4"	"132"	"12"	"20"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"5"	"312"	"0"	"312"	""
"166"	"155"	"155"	"37"	"19"	"196"	"14"	"80"	"1"	"1"	"3"	"3"	"2"	"2"	"1"	"9"	"4"	"8"	"380"	"0"	"380"	""
"167"	"156"	"156"	"48"	"7"	"120"	"7"	"80"	"7"	"2"	"3"	"1"	"0"	"1"	"4"	"6"	"4"	"17"	"307"	"0"	"307"	""
"168"	"157"	"157"	"15"	"14"	"227"	"11"	"45"	"4"	"6"	"2"	"1"	"1"	"0"	"2"	"4"	"4"	"4"	"340"	"0"	"340"	""
"169"	"158"	"158"	"37"	"14"	"234"	"7"	"35"	"0"	"4"	"5"	"1"	"4"	"6"	"9"	"8"	"9"	"32"	"405"	"0"	"405"	""
"170"	"159"	"159"	"13"	"19"	"239"	"27"	"141"	"9"	"2"	"5"	"6"	"3"	"2"	"4"	"8"	"7"	"22"	"507"	"0"	"507"	""
"171"	"160"	"160"	"117"	"19"	"111"	"11"	"164"	"4"	"5"	"7"	"3"	"1"	"2"	"2"	"2"	"3"	"18"	"469"	"0"	"469"	""
"172"	"161"	"161"	"88"	"10"	"158"	"42"	"109"	"3"	"1"	"2"	"2"	"1"	"0"	"4"	"7"	"7"	"9"	"443"	"0"	"443"	""
"173"	"162"	"162"	"110"	"25"	"247"	"23"	"105"	"10"	"7"	"2"	"8"	"5"	"4"	"9"	"6"	"16"	"18"	"595"	"0"	"595"	""
"174"	"163"	"163"	"66"	"16"	"251"	"27"	"91"	"3"	"2"	"3"	"3"	"1"	"3"	"13"	"14"	"16"	"19"	"528"	"0"	"528"	""
"175"	"164"	"164"	"194"	"19"	"212"	"22"	"87"	"8"	"5"	"13"	"8"	"4"	"0"	"7"	"12"	"11"	"39"	"641"	"0"	"641"	""
"176"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendere d votes"
"177"	""	""	"MD. ANWARU L HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDRI KA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"178"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"179"	"165"	"165"	"319"	"15"	"59"	"6"	"80"	"2"	"2"	"2"	"0"	"2"	"0"	"5"	"6"	"10"	"14"	"522"	"0"	"522"	""
"180"	"166"	"166"	"314"	"8"	"107"	"6"	"54"	"2"	"2"	"2"	"3"	"0"	"0"	"0"	"6"	"2"	"8"	"514"	"0"	"514"	""
"181"	"167"	"167"	"11"	"18"	"347"	"10"	"62"	"1"	"2"	"3"	"0"	"0"	"2"	"6"	"9"	"8"	"7"	"486"	"0"	"486"	""
"182"	"168"	"168"	"60"	"12"	"354"	"17"	"107"	"1"	"2"	"1"	"1"	"0"	"0"	"1"	"4"	"4"	"4"	"568"	"0"	"568"	""
"183"	"169"	"169"	"58"	"13"	"248"	"14"	"91"	"8"	"3"	"1"	"1"	"1"	"1"	"3"	"5"	"3"	"2"	"452"	"0"	"452"	""
"184"	"170"	"170"	"11"	"15"	"233"	"6"	"16"	"3"	"2"	"2"	"1"	"1"	"1"	"3"	"14"	"3"	"12"	"323"	"0"	"323"	""
"185"	"171"	"171"	"9"	"15"	"335"	"20"	"55"	"4"	"3"	"0"	"0"	"0"	"2"	"4"	"9"	"5"	"7"	"468"	"0"	"468"	""
"186"	"172"	"172"	"8"	"15"	"259"	"42"	"81"	"2"	"3"	"2"	"3"	"1"	"2"	"4"	"9"	"8"	"3"	"442"	"0"	"442"	""
"187"	"173"	"173"	"14"	"12"	"308"	"24"	"57"	"2"	"1"	"3"	"1"	"0"	"1"	"4"	"18"	"9"	"6"	"460"	"0"	"460"	""
"188"	"174"	"174"	"13"	"8"	"261"	"7"	"13"	"1"	"2"	"1"	"1"	"0"	"0"	"3"	"7"	"2"	"3"	"322"	"0"	"322"	""
"189"	"175"	"175"	"26"	"12"	"340"	"67"	"53"	"0"	"1"	"3"	"1"	"0"	"2"	"6"	"10"	"16"	"5"	"542"	"0"	"542"	""
"190"	"176"	"176"	"29"	"9"	"317"	"21"	"70"	"1"	"4"	"3"	"2"	"1"	"2"	"6"	"8"	"3"	"19"	"495"	"0"	"495"	""
"191"	"177"	"177"	"5"	"6"	"33"	"100"	"112"	"2"	"2"	"1"	"1"	"0"	"2"	"2"	"3"	"1"	"4"	"274"	"0"	"274"	""
"192"	"178"	"178"	"11"	"7"	"126"	"18"	"41"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"4"	"4"	"4"	"220"	"0"	"220"	""
"193"	"179"	"179"	"2"	"3"	"65"	"19"	"47"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"3"	"146"	"0"	"146"	""
"194"	"180"	"180"	"160"	"20"	"160"	"60"	"79"	"1"	"7"	"5"	"2"	"3"	"2"	"5"	"12"	"11"	"20"	"547"	"0"	"547"	""
"195"	"181"	"181"	"7"	"5"	"117"	"150"	"34"	"3"	"1"	"1"	"0"	"0"	"1"	"1"	"4"	"5"	"4"	"333"	"0"	"333"	""
"196"	"182"	"182"	"22"	"3"	"64"	"57"	"368"	"5"	"1"	"2"	"1"	"2"	"1"	"0"	"9"	"2"	"12"	"549"	"0"	"549"	""
"197"	"183"	"183"	"29"	"10"	"140"	"27"	"251"	"11"	"2"	"7"	"2"	"2"	"3"	"2"	"8"	"1"	"7"	"502"	"0"	"502"	""
"198"	"184"	"184"	"89"	"16"	"153"	"53"	"120"	"6"	"3"	"6"	"6"	"4"	"5"	"9"	"10"	"5"	"21"	"506"	"0"	"506"	""
"199"	"185"	"185"	"25"	"11"	"139"	"70"	"122"	"2"	"0"	"3"	"2"	"0"	"2"	"2"	"6"	"6"	"9"	"399"	"0"	"399"	""
"200"	"186"	"186"	"6"	"6"	"275"	"17"	"47"	"2"	"2"	"2"	"0"	"1"	"1"	"3"	"4"	"6"	"0"	"372"	"0"	"372"	""
"201"	"187"	"187"	"5"	"9"	"117"	"29"	"33"	"7"	"5"	"185"	"4"	"9"	"2"	"4"	"5"	"13"	"2"	"429"	"0"	"429"	""
"202"	"188"	"188"	"15"	"6"	"122"	"117"	"51"	"2"	"6"	"94"	"1"	"2"	"1"	"5"	"5"	"3"	"7"	"437"	"0"	"437"	""
"203"	"189"	"189"	"16"	"5"	"189"	"139"	"62"	"2"	"1"	"1"	"1"	"0"	"0"	"2"	"2"	"0"	"3"	"423"	"0"	"423"	""
"204"	"Total No. of votes recording at polling Stations"	""	"10558"	"2251"	"40174"	"8076"	"14331"	"563"	"412"	"737"	"283"	"243"	"329"	"619"	"1392"	"1052"	"1581"	"82601"	"0"	"82601"	""
"205"	"No. of votes recorded on postal ballot"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""
"206"	"Total Votes polled"	""	"10558"	"2251"	"40174"	"8076"	"14331"	"563"	"412"	"737"	"283"	"243"	"329"	"619"	"1392"	"1052"	"1581"	"82601"	"0"	"82601"	""
"207"	"Place : MOTIHARI                                                                                                                                                                                                                                                                  Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	":   16/05/2009                                                                                                                                                                                                                                                                                     018-Madhuban"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
