"fo.kku.l.Hkk.fuokZpu..ks..esa.fuokZpdksa.dh.dqy.l.a...k.245214"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"140"	""	"xkU/kh vkt kn"	"ehjk dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[kh jke"	"cCcu pkS/kjh"	"cfyjke jke"	"Hkksyk i zl kn"	"jk/kk nsch"	"jke uxhuk jke"	"jke ; knh jke"	"i zeksn dqekj"	"Hkjr jke"	"eqfu; k nsch"	"jke i zos'k jke"	"l qjsUnz jke"	""	""	""	""
"141"	"BF"	"6033"	"8576"	"11526"	"8061"	"290"	"672"	"126"	"107"	"98"	"104"	"95"	"98"	"254"	"386"	"176"	"401"	"37003"	"0"	"37003"	"0"
"142"	"99"	"89"	"18"	"267"	"21"	"1"	"1"	"0"	"0"	"3"	"2"	"0"	"0"	"0"	"4"	"0"	"2"	"408"	""	"408"	""
"143"	"100"	"8"	"11"	"194"	"19"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"3"	"0"	"1"	"240"	""	"240"	""
"144"	"101"	"32"	"29"	"51"	"216"	"2"	"0"	"1"	"1"	"1"	"0"	"2"	"0"	"5"	"5"	"6"	"2"	"353"	""	"353"	""
"145"	"102"	"12"	"72"	"23"	"57"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"171"	""	"171"	""
"146"	"103"	"14"	"77"	"89"	"61"	"1"	"3"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"5"	"0"	"1"	"256"	""	"256"	""
"147"	"104"	"116"	"13"	"161"	"89"	"3"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"4"	"8"	"1"	"5"	"403"	""	"403"	""
"148"	"105"	"19"	"40"	"207"	"95"	"2"	"3"	"1"	"0"	"0"	"2"	"1"	"2"	"3"	"9"	"2"	"8"	"394"	""	"394"	""
"149"	"106"	"4"	"68"	"152"	"262"	"7"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"2"	"1"	"2"	"510"	""	"510"	""
"150"	"107"	"120"	"5"	"151"	"22"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"301"	""	"301"	""
"151"	"108"	"2"	"9"	"303"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"317"	""	"317"	""
"152"	"109"	"1"	"17"	"160"	"15"	"1"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"6"	"209"	""	"209"	""
"153"	"110"	"13"	"237"	"158"	"26"	"3"	"16"	"1"	"0"	"1"	"2"	"0"	"2"	"3"	"11"	"0"	"4"	"477"	""	"477"	""
"154"	"111"	"92"	"107"	"110"	"83"	"6"	"1"	"2"	"1"	"1"	"2"	"6"	"3"	"4"	"8"	"3"	"4"	"433"	""	"433"	""
"155"	"112"	"5"	"3"	"374"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"0"	"0"	"390"	""	"390"	""
"156"	"TOTAL"	"6560"	"9282"	"13926"	"9032"	"320"	"704"	"132"	"114"	"108"	"113"	"104"	"108"	"284"	"451"	"190"	"437"	"41865"	"0"	"41865"	"0"
"157"	"fo/kku l Hkk fuokZpu {ks= dk l a[; k , oa uke 209&djxgj  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"ernku dsUnz                                                                               l a[; k"	"fuEufyf[kr ds Ik{k esa fn,  x,  fof/kekU;  erksa dh l a[; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr{ksfi r erksa dh l a[; k"	"; ksx"	"fufonÙk erksa dh l a[; k"
"159"	""	"xkU/kh vkt kn"	"ehjk dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[kh jke"	"cCcu pkS/kjh"	"cfyjke jke"	"Hkksyk i zl kn"	"jk/kk nsch"	"jke uxhuk jke"	"jke ; knh jke"	"i zeksn dqekj"	"Hkjr jke"	"eqfu; k nsch"	"jke i zos'k jke"	"l qjsUnz jke"	""	""	""	""
"160"	"BF"	"6560"	"9282"	"13926"	"9032"	"320"	"704"	"132"	"114"	"108"	"113"	"104"	"108"	"284"	"451"	"190"	"437"	"41865"	"0"	"41865"	"0"
"161"	"113"	"18"	"55"	"205"	"41"	"3"	"0"	"2"	"0"	"2"	"1"	"1"	"1"	"1"	"3"	"0"	"2"	"335"	""	"335"	""
"162"	"114"	"0"	"48"	"397"	"7"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"454"	""	"454"	""
"163"	"115"	"221"	"14"	"275"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"0"	"0"	"1"	"1"	"0"	"7"	"523"	""	"523"	""
"164"	"116"	"14"	"41"	"91"	"27"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"12"	"0"	"5"	"195"	""	"195"	""
"165"	"117"	"111"	"135"	"68"	"9"	"3"	"7"	"2"	"0"	"0"	"2"	"0"	"0"	"2"	"1"	"0"	"1"	"341"	""	"341"	""
"166"	"118"	"84"	"36"	"50"	"89"	"1"	"2"	"0"	"1"	"1"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"268"	""	"268"	""
"167"	"119"	"50"	"102"	"147"	"49"	"3"	"7"	"1"	"2"	"0"	"3"	"2"	"0"	"7"	"5"	"6"	"4"	"388"	""	"388"	""
"168"	"120"	"71"	"70"	"102"	"246"	"6"	"65"	"2"	"0"	"2"	"1"	"3"	"1"	"3"	"3"	"1"	"5"	"581"	""	"581"	""
"169"	"121"	"2"	"6"	"24"	"150"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"186"	""	"186"	""
"170"	"122"	"144"	"24"	"92"	"56"	"5"	"3"	"3"	"1"	"0"	"1"	"0"	"2"	"3"	"4"	"3"	"0"	"341"	""	"341"	""
"171"	"123"	"10"	"48"	"103"	"107"	"12"	"2"	"1"	"4"	"1"	"1"	"1"	"2"	"5"	"7"	"5"	"10"	"319"	""	"319"	""
"172"	"124"	"3"	"5"	"82"	"76"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	""	"167"	""
"173"	"125"	"32"	"28"	"83"	"173"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"0"	"1"	"324"	""	"324"	""
"174"	"126"	"1"	"2"	"6"	"369"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"378"	""	"378"	""
"175"	"TOTAL"	"7321"	"9896"	"15651"	"10431"	"354"	"791"	"144"	"123"	"119"	"126"	"112"	"115"	"314"	"490"	"205"	"473"	"46665"	"0"	"46665"	"0"
"176"	"fo/kku l Hkk fuokZpu {ks= dk l a[; k , oa uke 209&djxgj  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"ernku dsUnz                                                                               l a[; k"	"fuEufyf[kr ds Ik{k esa fn,  x,  fof/kekU;  erksa dh l a[; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr{ksfi r erksa dh l a[; k"	"; ksx"	"fufonÙk erksa dh l a[; k"
"178"	""	"xkU/kh vkt kn"	"ehjk dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[kh jke"	"cCcu pkS/kjh"	"cfyjke jke"	"Hkksyk i zl kn"	"jk/kk nsch"	"jke uxhuk jke"	"jke ; knh jke"	"i zeksn dqekj"	"Hkjr jke"	"eqfu; k nsch"	"jke i zos'k jke"	"l qjsUnz jke"	""	""	""	""
"179"	"BF"	"7321"	"9896"	"15651"	"10431"	"354"	"791"	"144"	"123"	"119"	"126"	"112"	"115"	"314"	"490"	"205"	"473"	"46665"	"0"	"46665"	"0"
"180"	"127"	"75"	"31"	"418"	"89"	"2"	"21"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"644"	""	"644"	""
"181"	"128"	"18"	"23"	"99"	"116"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"2"	"265"	""	"265"	""
"182"	"129"	"14"	"23"	"213"	"54"	"1"	"0"	"0"	"0"	"3"	"1"	"1"	"0"	"3"	"1"	"0"	"2"	"316"	""	"316"	""
"183"	"130"	"123"	"26"	"124"	"40"	"0"	"4"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"2"	"323"	""	"323"	""
"184"	"131"	"10"	"46"	"145"	"95"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"3"	"4"	"2"	"4"	"314"	""	"314"	""
"185"	"132"	"178"	"11"	"39"	"59"	"3"	"0"	"4"	"0"	"1"	"0"	"1"	"0"	"2"	"3"	"0"	"3"	"304"	""	"304"	""
"186"	"133"	"107"	"69"	"62"	"71"	"2"	"14"	"1"	"0"	"2"	"0"	"2"	"2"	"0"	"1"	"1"	"2"	"336"	""	"336"	""
"187"	"134"	"20"	"206"	"224"	"84"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"540"	""	"540"	""
"188"	"135"	"51"	"35"	"31"	"31"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"1"	"1"	"2"	"1"	"157"	""	"157"	""
"189"	"136"	"2"	"53"	"294"	"118"	"2"	"13"	"0"	"1"	"2"	"0"	"1"	"1"	"2"	"3"	"0"	"0"	"492"	""	"492"	""
"190"	"137"	"6"	"80"	"104"	"56"	"1"	"3"	"0"	"1"	"1"	"2"	"0"	"1"	"2"	"0"	"2"	"1"	"260"	""	"260"	""
"191"	"138"	"43"	"40"	"30"	"44"	"23"	"2"	"0"	"2"	"0"	"1"	"2"	"0"	"1"	"2"	"2"	"1"	"193"	""	"193"	""
"192"	"139"	"127"	"93"	"62"	"87"	"6"	"2"	"3"	"1"	"2"	"2"	"0"	"1"	"1"	"5"	"1"	"8"	"401"	""	"401"	""
"193"	"140"	"94"	"180"	"173"	"227"	"6"	"4"	"1"	"4"	"1"	"2"	"0"	"1"	"4"	"11"	"0"	"3"	"711"	""	"711"	""
"194"	"TOTAL"	"8189"	"10812"	"17669"	"11602"	"404"	"857"	"153"	"133"	"139"	"137"	"120"	"122"	"335"	"529"	"218"	"502"	"51921"	"0"	"51921"	"0"
"195"	"fo/kku l Hkk fuokZpu {ks= dk l a[; k , oa uke 209&djxgj  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"ernku dsUnz                                                                               l a[; k"	"fuEufyf[kr ds Ik{k esa fn,  x,  fof/kekU;  erksa dh l a[; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr{ksfi r erksa dh l a[; k"	"; ksx"	"fufonÙk erksa dh l a[; k"
"197"	""	"xkU/kh vkt kn"	"ehjk dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[kh jke"	"cCcu pkS/kjh"	"cfyjke jke"	"Hkksyk i zl kn"	"jk/kk nsch"	"jke uxhuk jke"	"jke ; knh jke"	"i zeksn dqekj"	"Hkjr jke"	"eqfu; k nsch"	"jke i zos'k jke"	"l qjsUnz jke"	""	""	""	""
"198"	"BF"	"8189"	"10812"	"17669"	"11602"	"404"	"857"	"153"	"133"	"139"	"137"	"120"	"122"	"335"	"529"	"218"	"502"	"51921"	"0"	"51921"	"0"
"199"	"141"	"65"	"6"	"128"	"49"	"1"	"2"	"0"	"0"	"2"	"0"	"1"	"2"	"4"	"7"	"6"	"8"	"281"	""	"281"	""
"200"	"142"	"26"	"66"	"69"	"174"	"4"	"1"	"1"	"0"	"0"	"0"	"3"	"0"	"4"	"4"	"2"	"1"	"355"	""	"355"	""
"201"	"143"	"0"	"17"	"182"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	""	"208"	""
"202"	"144"	"59"	"182"	"105"	"126"	"21"	"5"	"1"	"1"	"16"	"2"	"1"	"0"	"4"	"2"	"2"	"3"	"530"	""	"530"	""
"203"	"145"	"47"	"129"	"27"	"88"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"298"	""	"298"	""
"204"	"146"	"153"	"66"	"77"	"147"	"3"	"3"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"3"	"457"	""	"457"	""
"205"	"147"	"44"	"59"	"29"	"66"	"3"	"19"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"4"	"1"	"4"	"234"	""	"234"	""
"206"	"148"	"188"	"41"	"61"	"23"	"1"	"0"	"2"	"1"	"43"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"362"	""	"362"	""
"207"	"149"	"206"	"13"	"357"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"582"	""	"582"	""
"208"	"150"	"174"	"28"	"305"	"38"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"1"	"551"	""	"551"	""
"209"	"151"	"192"	"70"	"122"	"71"	"4"	"5"	"0"	"1"	"1"	"4"	"3"	"4"	"7"	"2"	"0"	"5"	"491"	""	"491"	""
"210"	"152"	"6"	"110"	"186"	"8"	"27"	"1"	"0"	"1"	"1"	"2"	"1"	"0"	"2"	"2"	"0"	"3"	"350"	""	"350"	""
"211"	"153"	"43"	"219"	"19"	"7"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"295"	""	"295"	""
"212"	"154"	"8"	"129"	"261"	"199"	"9"	"3"	"0"	"2"	"1"	"1"	"0"	"3"	"15"	"6"	"2"	"3"	"642"	""	"642"	""
"213"	"TOTAL"	"9400"	"11947"	"19597"	"12610"	"482"	"900"	"158"	"140"	"204"	"147"	"130"	"135"	"375"	"561"	"235"	"536"	"57557"	"0"	"57557"	"0"
"214"	"fo/kku l Hkk fuokZpu {ks= dk l a[; k , oa uke 209&djxgj  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"ernku dsUnz                                                                               l a[; k"	"fuEufyf[kr ds Ik{k esa fn,  x,  fof/kekU;  erksa dh l a[; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr{ksfi r erksa dh l a[; k"	"; ksx"	"fufonÙk erksa dh l a[; k"
"216"	""	"xkU/kh vkt kn"	"ehjk dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[kh jke"	"cCcu pkS/kjh"	"cfyjke jke"	"Hkksyk i zl kn"	"jk/kk nsch"	"jke uxhuk jke"	"jke ; knh jke"	"i zeksn dqekj"	"Hkjr jke"	"eqfu; k nsch"	"jke i zos'k jke"	"l qjsUnz jke"	""	""	""	""
"217"	"BF"	"9400"	"11947"	"19597"	"12610"	"482"	"900"	"158"	"140"	"204"	"147"	"130"	"135"	"375"	"561"	"235"	"536"	"57557"	"0"	"57557"	"0"
"218"	"155"	"61"	"310"	"65"	"143"	"28"	"16"	"1"	"3"	"0"	"1"	"1"	"5"	"4"	"7"	"0"	"0"	"645"	""	"645"	""
"219"	"156"	"21"	"428"	"16"	"73"	"8"	"26"	"1"	"1"	"2"	"2"	"1"	"0"	"2"	"0"	"5"	"4"	"590"	""	"590"	""
"220"	"157"	"58"	"309"	"25"	"103"	"8"	"89"	"4"	"2"	"3"	"3"	"3"	"5"	"2"	"11"	"4"	"17"	"646"	""	"646"	""
"221"	"158"	"57"	"273"	"8"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"353"	""	"353"	""
"222"	"159"	"2"	"26"	"191"	"94"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"316"	""	"316"	""
"223"	"160"	"31"	"138"	"14"	"48"	"3"	"3"	"3"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"4"	"5"	"253"	""	"253"	""
"224"	"161"	"48"	"115"	"96"	"36"	"1"	"17"	"1"	"0"	"0"	"23"	"3"	"2"	"1"	"3"	"4"	"12"	"362"	""	"362"	""
"225"	"162"	"31"	"57"	"57"	"44"	"1"	"11"	"2"	"0"	"0"	"4"	"0"	"2"	"2"	"0"	"0"	"12"	"223"	""	"223"	""
"226"	"163"	"4"	"137"	"42"	"12"	"0"	"1"	"0"	"0"	"1"	"3"	"0"	"0"	"1"	"1"	"0"	"0"	"202"	""	"202"	""
"227"	"164"	"1"	"110"	"5"	"92"	"1"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"5"	"0"	"1"	"252"	""	"252"	""
"228"	"165"	"27"	"231"	"54"	"14"	"14"	"1"	"0"	"1"	"2"	"0"	"1"	"0"	"1"	"4"	"4"	"11"	"365"	""	"365"	""
"229"	"166"	"92"	"308"	"137"	"106"	"18"	"15"	"4"	"2"	"2"	"29"	"1"	"1"	"4"	"5"	"3"	"6"	"733"	""	"733"	""
"230"	"167"	"1"	"49"	"3"	"365"	"4"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"425"	""	"425"	""
"231"	"168"	"3"	"18"	"84"	"117"	"14"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"13"	"7"	"1"	"3"	"265"	""	"265"	""
"232"	"TOTAL"	"9837"	"14456"	"20394"	"13867"	"583"	"1115"	"174"	"150"	"217"	"214"	"142"	"153"	"407"	"606"	"261"	"611"	"63187"	"0"	"63187"	"0"
"233"	"fo/kku l Hkk fuokZpu {ks= dk l a[; k , oa uke 209&djxgj  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"ernku dsUnz                                                                               l a[; k"	"fuEufyf[kr ds Ik{k esa fn,  x,  fof/kekU;  erksa dh l a[; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr{ksfi r erksa dh l a[; k"	"; ksx"	"fufonÙk erksa dh l a[; k"
"235"	""	"xkU/kh vkt kn"	"ehjk dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[kh jke"	"cCcu pkS/kjh"	"cfyjke jke"	"Hkksyk i zl kn"	"jk/kk nsch"	"jke uxhuk jke"	"jke ; knh jke"	"i zeksn dqekj"	"Hkjr jke"	"eqfu; k nsch"	"jke i zos'k jke"	"l qjsUnz jke"	""	""	""	""
"236"	"BF"	"9837"	"14456"	"20394"	"13867"	"583"	"1115"	"174"	"150"	"217"	"214"	"142"	"153"	"407"	"606"	"261"	"611"	"63187"	"0"	"63187"	"0"
"237"	"169"	"20"	"175"	"102"	"91"	"1"	"1"	"2"	"0"	"0"	"1"	"1"	"0"	"2"	"2"	"2"	"3"	"403"	""	"403"	""
"238"	"170"	"125"	"85"	"24"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"240"	""	"240"	""
"239"	"171"	"61"	"32"	"50"	"194"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"2"	"0"	"342"	""	"342"	""
"240"	"172"	"5"	"12"	"221"	"245"	"4"	"3"	"1"	"0"	"1"	"1"	"0"	"2"	"7"	"5"	"0"	"4"	"511"	""	"511"	""
"241"	"173"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"242"	"174"	"107"	"160"	"84"	"3"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"359"	""	"359"	""
"243"	"175"	"24"	"102"	"37"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"165"	""	"165"	""
"244"	"176"	"129"	"78"	"6"	"343"	"9"	"1"	"0"	"0"	"3"	"2"	"1"	"2"	"8"	"10"	"9"	"10"	"611"	""	"611"	""
"245"	"177"	"143"	"32"	"98"	"192"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"0"	"2"	"475"	""	"475"	""
"246"	"178"	"29"	"174"	"195"	"21"	"1"	"0"	"1"	"0"	"2"	"2"	"0"	"0"	"1"	"2"	"2"	"0"	"430"	""	"430"	""
"247"	"179"	"31"	"69"	"1"	"317"	"1"	"153"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"573"	""	"573"	""
"248"	"180"	"191"	"137"	"22"	"183"	"18"	"1"	"0"	"1"	"1"	"0"	"0"	"2"	"5"	"6"	"2"	"14"	"583"	""	"583"	""
"249"	"181"	"4"	"45"	"41"	"28"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"3"	"125"	""	"125"	""
"250"	"182"	"2"	"51"	"8"	"239"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"304"	""	"304"	""
"251"	"TOTAL"	"10708"	"15608"	"21283"	"15726"	"620"	"1276"	"181"	"152"	"226"	"222"	"145"	"161"	"433"	"637"	"280"	"650"	"68308"	"0"	"68308"	"0"
"252"	"fo/kku l Hkk fuokZpu {ks= dk l a[; k , oa uke 209&djxgj  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"ernku dsUnz                                                                               l a[; k"	"fuEufyf[kr ds Ik{k esa fn,  x,  fof/kekU;  erksa dh l a[; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr{ksfi r erksa dh l a[; k"	"; ksx"	"fufonÙk erksa dh l a[; k"
"254"	""	"xkU/kh vkt kn"	"ehjk dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[kh jke"	"cCcu pkS/kjh"	"cfyjke jke"	"Hkksyk i zl kn"	"jk/kk nsch"	"jke uxhuk jke"	"jke ; knh jke"	"i zeksn dqekj"	"Hkjr jke"	"eqfu; k nsch"	"jke i zos'k jke"	"l qjsUnz jke"	""	""	""	""
"255"	"BF"	"10708"	"15608"	"21283"	"15726"	"620"	"1276"	"181"	"152"	"226"	"222"	"145"	"161"	"433"	"637"	"280"	"650"	"68308"	"0"	"68308"	"0"
"256"	"183"	"7"	"160"	"120"	"52"	"3"	"0"	"1"	"1"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"351"	""	"351"	""
"257"	"184"	"14"	"285"	"19"	"110"	"33"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"466"	""	"466"	""
"258"	"185"	"2"	"6"	"3"	"365"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"3"	"385"	""	"385"	""
"259"	"186"	"24"	"54"	"295"	"113"	"0"	"3"	"0"	"1"	"1"	"8"	"2"	"1"	"2"	"7"	"0"	"3"	"514"	""	"514"	""
"260"	"187"	"154"	"237"	"28"	"67"	"5"	"6"	"1"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"4"	"4"	"510"	""	"510"	""
"261"	"188"	"80"	"193"	"114"	"41"	"1"	"1"	"0"	"0"	"1"	"3"	"0"	"0"	"3"	"4"	"1"	"1"	"443"	""	"443"	""
"262"	"189"	"214"	"91"	"140"	"59"	"1"	"15"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"2"	"4"	"532"	""	"532"	""
"263"	"190"	"14"	"52"	"303"	"84"	"3"	"0"	"1"	"2"	"0"	"0"	"0"	"1"	"3"	"6"	"3"	"5"	"477"	""	"477"	""
"264"	"191"	"2"	"20"	"23"	"244"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"2"	"294"	""	"294"	""
"265"	"192"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"266"	"193"	"50"	"131"	"339"	"26"	"2"	"2"	"3"	"2"	"2"	"1"	"1"	"5"	"7"	"7"	"14"	"0"	"592"	""	"592"	""
"267"	"194"	"56"	"178"	"97"	"97"	"4"	"1"	"2"	"2"	"0"	"2"	"0"	"1"	"3"	"4"	"1"	"4"	"452"	""	"452"	""
"268"	"195"	"3"	"77"	"194"	"50"	"7"	"3"	"5"	"3"	"2"	"3"	"3"	"2"	"4"	"10"	"2"	"9"	"377"	""	"377"	""
"269"	"196"	"16"	"70"	"173"	"38"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"304"	""	"304"	""
"270"	"TOTAL"	"11344"	"17162"	"23131"	"17072"	"685"	"1307"	"196"	"167"	"236"	"242"	"151"	"172"	"461"	"682"	"308"	"689"	"74005"	"0"	"74005"	"0"
"271"	"fo/kku l Hkk fuokZpu {ks= dk l a[; k , oa uke 209&djxgj  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"ernku dsUnz                                                                               l a[; k"	"fuEufyf[kr ds Ik{k esa fn,  x,  fof/kekU;  erksa dh l a[; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr{ksfi r erksa dh l a[; k"	"; ksx"	"fufonÙk erksa dh l a[; k"
"273"	""	"xkU/kh vkt kn"	"ehjk dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[kh jke"	"cCcu pkS/kjh"	"cfyjke jke"	"Hkksyk i zl kn"	"jk/kk nsch"	"jke uxhuk jke"	"jke ; knh jke"	"i zeksn dqekj"	"Hkjr jke"	"eqfu; k nsch"	"jke i zos'k jke"	"l qjsUnz jke"	""	""	""	""
"274"	"BF"	"11344"	"17162"	"23131"	"17072"	"685"	"1307"	"196"	"167"	"236"	"242"	"151"	"172"	"461"	"682"	"308"	"689"	"74005"	"0"	"74005"	"0"
"275"	"197"	"56"	"95"	"251"	"84"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"2"	"6"	"0"	"0"	"501"	""	"501"	""
"276"	"198"	"81"	"102"	"133"	"81"	"5"	"4"	"3"	"4"	"0"	"0"	"4"	"2"	"5"	"9"	"6"	"21"	"460"	""	"460"	""
"277"	"199"	"27"	"34"	"350"	"42"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"3"	"2"	"2"	"7"	"471"	""	"471"	""
"278"	"200"	"12"	"110"	"148"	"52"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"4"	"3"	"1"	"1"	"334"	""	"334"	""
"279"	"201"	"6"	"42"	"79"	"49"	"0"	"1"	"0"	"2"	"2"	"1"	"1"	"0"	"2"	"5"	"2"	"1"	"193"	""	"193"	""
