"Sl..No."	"No..of.Polling.Station"	"No..of.Valid.votes.cast..in..favou.r.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.valid.votes"	"No..of.rejecte.d.votes"	"Total"	"No..of.Tendered.votes"
"178"	"154"	"154"	"29"	"25"	"6"	"229"	"7"	"1"	"0"	"1"	"1"	"1"	"0"	"2"	"302"	"0"	"302"	""
"179"	"155"	"155"	"208"	"16"	"5"	"157"	"10"	"3"	"11"	"1"	"0"	"2"	"2"	"15"	"430"	"0"	"430"	""
"180"	"156"	"156"	"60"	"26"	"5"	"266"	"13"	"5"	"3"	"0"	"6"	"3"	"0"	"10"	"397"	"0"	"397"	""
"181"	"157"	"157"	"84"	"8"	"2"	"278"	"10"	"3"	"13"	"0"	"1"	"0"	"0"	"2"	"401"	"0"	"401"	""
"182"	"158"	"158"	"13"	"21"	"7"	"180"	"8"	"3"	"0"	"1"	"1"	"1"	"1"	"5"	"241"	"0"	"241"	""
"183"	"159"	"159"	"63"	"66"	"6"	"239"	"15"	"5"	"1"	"1"	"7"	"0"	"2"	"12"	"417"	"0"	"417"	""
"184"	"160"	"160"	"132"	"44"	"5"	"230"	"17"	"3"	"7"	"1"	"2"	"1"	"3"	"15"	"460"	"0"	"460"	""
"185"	"161"	"161"	"22"	"18"	"5"	"251"	"19"	"5"	"3"	"2"	"2"	"1"	"0"	"3"	"331"	"0"	"331"	""
"186"	"162"	"162"	"127"	"16"	"2"	"21"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"170"	"0"	"170"	""
"187"	"163"	"163"	"13"	"40"	"12"	"283"	"18"	"6"	"0"	"0"	"3"	"2"	"2"	"11"	"390"	"0"	"390"	""
"188"	"164"	"164"	"12"	"48"	"1"	"126"	"5"	"1"	"4"	"0"	"0"	"1"	"1"	"12"	"211"	"0"	"211"	""
"189"	"165"	"165"	"14"	"89"	"1"	"212"	"13"	"3"	"21"	"0"	"4"	"0"	"0"	"2"	"359"	"0"	"359"	""
"190"	"166"	"166"	"57"	"50"	"4"	"285"	"17"	"12"	"2"	"0"	"6"	"0"	"7"	"24"	"464"	"0"	"464"	""
"191"	"167"	"167"	"77"	"11"	"3"	"351"	"10"	"3"	"1"	"1"	"3"	"2"	"3"	"6"	"471"	"0"	"471"	""
"192"	"168"	"168"	"93"	"52"	"6"	"218"	"24"	"9"	"2"	"3"	"2"	"4"	"5"	"13"	"431"	"0"	"431"	""
"193"	"169"	"169"	"45"	"43"	"118"	"98"	"12"	"3"	"7"	"1"	"2"	"1"	"4"	"11"	"345"	"0"	"345"	""
"194"	"170"	"170"	"61"	"31"	"24"	"311"	"10"	"8"	"13"	"2"	"13"	"2"	"5"	"19"	"499"	"0"	"499"	""
"195"	"171"	"171"	"176"	"12"	"3"	"161"	"3"	"3"	"1"	"0"	"0"	"0"	"3"	"2"	"364"	"0"	"364"	""
"196"	"172"	"172"	"80"	"101"	"5"	"112"	"13"	"6"	"6"	"0"	"1"	"2"	"2"	"3"	"331"	"0"	"331"	""
"197"	"173"	"173"	"36"	"27"	"27"	"89"	"6"	"1"	"8"	"1"	"1"	"0"	"0"	"1"	"197"	"0"	"197"	""
"198"	"174"	"174"	"103"	"30"	"4"	"176"	"13"	"5"	"1"	"0"	"3"	"1"	"2"	"5"	"343"	"0"	"343"	""
"199"	"175"	"175"	"66"	"13"	"3"	"162"	"11"	"5"	"1"	"1"	"1"	"2"	"3"	"8"	"276"	"0"	"276"	""
"200"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejecte d votes"	"Total"	"No. of Tendered votes"
"201"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"202"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"203"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"204"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"205"	"176"	"176"	"62"	"21"	"54"	"289"	"7"	"7"	"2"	"2"	"0"	"1"	"2"	"12"	"459"	"0"	"459"	""
"206"	"177"	"177"	"150"	"69"	"10"	"247"	"40"	"16"	"2"	"5"	"8"	"8"	"8"	"21"	"584"	"0"	"584"	""
"207"	"178"	"178"	"41"	"96"	"10"	"247"	"22"	"13"	"0"	"2"	"2"	"6"	"10"	"24"	"473"	"0"	"473"	""
"208"	"179"	"179"	"86"	"27"	"33"	"214"	"20"	"4"	"1"	"3"	"1"	"3"	"0"	"6"	"398"	"0"	"398"	""
"209"	"180"	"180"	"49"	"45"	"14"	"324"	"15"	"8"	"1"	"2"	"1"	"0"	"3"	"3"	"465"	"0"	"465"	""
"210"	"181"	"181"	"98"	"91"	"11"	"115"	"39"	"5"	"4"	"1"	"2"	"2"	"3"	"2"	"373"	"0"	"373"	""
"211"	"182"	"182"	"87"	"24"	"6"	"215"	"23"	"15"	"5"	"4"	"7"	"1"	"5"	"7"	"399"	"0"	"399"	""
"212"	"183"	"183"	"20"	"15"	"6"	"254"	"16"	"8"	"4"	"1"	"2"	"0"	"1"	"4"	"331"	"0"	"331"	""
"213"	"Total No. of votes
recording at polling Stations"	""	"17504"	"8391"	"1822"	"31360"	"2331"	"916"	"4480"	"287"	"560"	"299"	"389"	"1443"	"69782"	"0"	"69782"	""
"214"	"No. of votes recorded on postal"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""
"215"	"Total Votes polled"	""	"17504"	"8391"	"1822"	"31360"	"2331"	"916"	"4480"	"287"	"560"	"299"	"389"	"1443"	"69782"	"0"	"69782"	""
"216"	"Place:          MOTIHARI                                                                                                                                                                                                                               Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"Date  :   16/05/2009                                                                                                                                                                                                                                              014-Govindganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
