"TOTAL.NO.OF.ELECTORS.IN.94.MUZAFFARPUR.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X271354"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"
"101"	"92"	""	"274"	"77"	"66"	""	"3"	"0"	"1"	"0"	"5"	"2"	"4"	"1"	"3"	"1"	"7"	"4"	"3"	"5"	"9"	"1"	"37"	"0"	"0"	"1"	"0"	"504"	""	""	""
"102"	"93"	""	"224"	"37"	"104"	""	"0"	"4"	"2"	"0"	"3"	"2"	"2"	"1"	"3"	"1"	"6"	"10"	"12"	"4"	"2"	"0"	"44"	"0"	"1"	"1"	"3"	"466"	""	""	""
"103"	"94"	""	"26"	"8"	"192"	""	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"1"	"7"	"0"	"10"	"0"	"0"	"0"	"0"	"248"	""	""	""
"104"	"95"	""	"68"	"16"	"100"	""	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"2"	"4"	"1"	"0"	"5"	"0"	"13"	"1"	"0"	"0"	"0"	"213"	""	""	""
"105"	"96"	""	"163"	"16"	"165"	""	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"3"	"1"	"3"	"8"	"0"	"27"	"0"	"0"	"0"	"1"	"396"	""	""	""
"106"	"97"	""	"153"	"10"	"35"	""	"1"	"0"	"2"	"0"	"0"	"3"	"0"	"0"	"2"	"0"	"2"	"3"	"1"	"4"	"14"	"0"	"84"	"1"	"0"	"1"	"0"	"316"	""	""	""
"107"	"98"	""	"160"	"14"	"35"	""	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"2"	"19"	"0"	"47"	"0"	"0"	"1"	"1"	"286"	""	""	""
"108"	"99"	""	"81"	"12"	"69"	""	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"6"	"1"	"2"	"1"	"3"	"0"	"43"	"0"	"1"	"0"	"0"	"224"	""	""	""
"109"	"100"	""	"177"	"10"	"40"	""	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"7"	"1"	"1"	"11"	"0"	"37"	"0"	"0"	"1"	"0"	"288"	""	""	""
"110"	"101"	""	"167"	"6"	"217"	""	"8"	"1"	"0"	"0"	"0"	"2"	"3"	"0"	"0"	"0"	"7"	"3"	"9"	"2"	"6"	"0"	"30"	"0"	"0"	"0"	"0"	"461"	""	""	""
"111"	"102"	""	"222"	"21"	"111"	""	"1"	"1"	"0"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"5"	"0"	"13"	"0"	"1"	"0"	"1"	"382"	""	""	""
"112"	"103"	""	"127"	"21"	"146"	""	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"5"	"2"	"0"	"10"	"0"	"1"	"0"	"1"	"318"	""	""	""
"113"	"104"	""	"185"	"14"	"278"	""	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"2"	"0"	"9"	"12"	"5"	"18"	"2"	"2"	"1"	"3"	"538"	""	""	""
"114"	"105"	""	"202"	"13"	"227"	""	"4"	"3"	"1"	"0"	"0"	"1"	"2"	"1"	"4"	"2"	"4"	"1"	"5"	"8"	"16"	"7"	"19"	"0"	"2"	"2"	"4"	"528"	""	""	""
"115"	"106"	""	"186"	"20"	"76"	""	"5"	"0"	"1"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"1"	"3"	"2"	"1"	"7"	"1"	"10"	"1"	"0"	"1"	"0"	"319"	""	""	""
"116"	"107"	""	"253"	"21"	"79"	""	"14"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"2"	"7"	"35"	"0"	"12"	"0"	"0"	"0"	"1"	"429"	""	""	""
"117"	"108"	""	"381"	"46"	"79"	""	"1"	"1"	"2"	"1"	"3"	"4"	"3"	"0"	"1"	"2"	"0"	"0"	"8"	"4"	"17"	"0"	"15"	"1"	"0"	"0"	"0"	"569"	""	""	""
"118"	"109"	""	"271"	"44"	"79"	""	"2"	"1"	"2"	"1"	"4"	"1"	"3"	"1"	"0"	"1"	"4"	"4"	"5"	"3"	"28"	"2"	"29"	"5"	"1"	"0"	"0"	"491"	""	""	""
"119"	"110"	""	"276"	"28"	"83"	""	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"3"	"0"	"19"	"0"	"33"	"0"	"0"	"0"	"0"	"449"	""	""	""
"120"	"TOTAL NO OF ELECTORS IN 94-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"271354"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"PS NO"	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	""	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"122"	"111"	""	"135"	"32"	"166"	""	"1"	"1"	"0"	"0"	"1"	"3"	"1"	"0"	"2"	"0"	"1"	"3"	"1"	"1"	"11"	"0"	"30"	"0"	"0"	"1"	"0"	"390"	""	""	""
"123"	"112"	""	"155"	"57"	"89"	""	"5"	"3"	"0"	"2"	"0"	"0"	"3"	"0"	"1"	"0"	"2"	"0"	"0"	"7"	"22"	"1"	"44"	"1"	"1"	"1"	"4"	"398"	""	""	""
"124"	"113"	""	"151"	"19"	"62"	""	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"1"	"0"	"13"	"1"	"19"	"0"	"1"	"0"	"1"	"275"	""	""	""
"125"	"114"	""	"61"	"276"	"64"	""	"3"	"2"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"3"	"5"	"4"	"2"	"10"	"0"	"0"	"0"	"5"	"439"	""	""	""
"126"	"115"	""	"120"	"68"	"93"	""	"6"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"13"	"0"	"10"	"0"	"0"	"0"	"0"	"318"	""	""	""
"127"	"116"	""	"175"	"17"	"62"	""	"1"	"3"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"3"	"2"	"0"	"0"	"14"	"1"	"18"	"1"	"1"	"1"	"0"	"303"	""	""	""
"128"	"117"	""	"117"	"37"	"67"	""	"12"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"3"	"0"	"6"	"0"	"2"	"1"	"1"	"252"	""	""	""
"129"	"118"	""	"113"	"20"	"110"	""	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"6"	"0"	"8"	"0"	"0"	"0"	"0"	"266"	""	""	""
"130"	"119"	""	"130"	"37"	"44"	""	"1"	"1"	"0"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"3"	"0"	"2"	"1"	"8"	"0"	"5"	"0"	"0"	"1"	"0"	"237"	""	""	""
"131"	"120"	""	"138"	"34"	"164"	""	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"22"	"0"	"11"	"0"	"2"	"1"	"0"	"379"	""	""	""
"132"	"121"	""	"172"	"15"	"200"	""	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"1"	"14"	"0"	"22"	"1"	"0"	"0"	"0"	"432"	""	""	""
"133"	"122"	""	"104"	"36"	"121"	""	"6"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"20"	"0"	"6"	"0"	"1"	"0"	"2"	"301"	""	""	""
"134"	"123"	""	"105"	"19"	"284"	""	"18"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"8"	"0"	"16"	"0"	"0"	"1"	"0"	"458"	""	""	""
"135"	"124"	""	"156"	"5"	"401"	""	"14"	"2"	"0"	"6"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"1"	"12"	"1"	"8"	"0"	"0"	"0"	"0"	"611"	""	""	""
"136"	"125"	""	"142"	"13"	"107"	""	"2"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"21"	"0"	"10"	"0"	"0"	"0"	"0"	"301"	""	""	""
"137"	"126"	""	"71"	"24"	"71"	""	"2"	"1"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"7"	"0"	"9"	"0"	"0"	"0"	"0"	"192"	""	""	""
"138"	"127"	""	"163"	"38"	"80"	""	"1"	"3"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"3"	"2"	"2"	"5"	"4"	"6"	"3"	"41"	"0"	"0"	"3"	"3"	"360"	""	""	""
"139"	"128"	""	"243"	"23"	"35"	""	"8"	"1"	"0"	"2"	"3"	"1"	"2"	"0"	"0"	"0"	"1"	"4"	"0"	"5"	"36"	"0"	"26"	"0"	"0"	"1"	"0"	"391"	""	""	""
"140"	"129"	""	"108"	"8"	"68"	""	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"14"	"1"	"7"	"0"	"0"	"0"	"0"	"210"	""	""	""
"141"	"130"	""	"324"	"10"	"36"	""	"0"	"1"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"3"	"0"	"8"	"8"	"4"	"0"	"19"	"0"	"0"	"1"	"4"	"423"	""	""	""
"142"	"131"	""	"133"	"72"	"60"	""	"3"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"5"	"1"	"0"	"12"	"0"	"20"	"0"	"0"	"0"	"0"	"309"	""	""	""
"143"	"132"	""	"234"	"37"	"56"	""	"1"	"1"	"0"	"1"	"2"	"3"	"2"	"0"	"1"	"3"	"1"	"1"	"1"	"3"	"20"	"2"	"13"	"2"	"0"	"2"	"0"	"386"	""	""	""
"144"	"TOTAL NO OF ELECTORS IN 94-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"271354"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"PS NO"	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	""	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"146"	"133"	""	"109"	"22"	"59"	""	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"9"	"0"	"2"	"0"	"0"	"0"	"0"	"206"	""	""	""
"147"	"134"	""	"271"	"41"	"58"	""	"4"	"6"	"0"	"0"	"2"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"6"	"29"	"3"	"37"	"0"	"4"	"2"	"0"	"478"	""	""	""
"148"	"135"	""	"192"	"47"	"124"	""	"11"	"1"	"1"	"2"	"1"	"7"	"4"	"0"	"1"	"1"	"0"	"3"	"0"	"2"	"14"	"0"	"38"	"0"	"1"	"1"	"0"	"451"	""	""	""
"149"	"136"	""	"170"	"12"	"35"	""	"5"	"0"	"1"	"3"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"5"	"23"	"0"	"18"	"0"	"1"	"1"	"1"	"280"	""	""	""
"150"	"137"	""	"285"	"27"	"73"	""	"1"	"2"	"0"	"0"	"2"	"2"	"2"	"1"	"0"	"0"	"5"	"1"	"3"	"5"	"19"	"4"	"15"	"1"	"0"	"1"	"2"	"451"	""	""	""
"151"	"138"	""	"1"	"20"	"138"	""	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"166"	""	""	""
"152"	"139"	""	"194"	"24"	"257"	""	"13"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"2"	"10"	"0"	"30"	"1"	"1"	"0"	"0"	"540"	""	""	""
"153"	"140"	""	"278"	"15"	"81"	""	"6"	"6"	"0"	"0"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"15"	"0"	"35"	"0"	"0"	"0"	"1"	"445"	""	""	""
"154"	"141"	""	"181"	"10"	"45"	""	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"3"	"2"	"6"	"7"	"7"	"1"	"6"	"0"	"46"	"1"	"0"	"1"	"1"	"321"	""	""	""
"155"	"142"	""	"206"	"5"	"44"	""	"2"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"2"	"3"	"1"	"1"	"3"	"6"	"0"	"25"	"0"	"0"	"0"	"0"	"302"	""	""	""
"156"	"143"	""	"279"	"27"	"60"	""	"4"	"5"	"1"	"0"	"0"	"5"	"5"	"0"	"0"	"0"	"2"	"3"	"1"	"15"	"22"	"1"	"73"	"1"	"0"	"2"	"2"	"508"	""	""	""
"157"	"144"	""	"240"	"11"	"211"	""	"3"	"0"	"0"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"7"	"0"	"21"	"0"	"0"	"0"	"0"	"501"	""	""	""
"158"	"145"	""	"92"	"12"	"198"	""	"11"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"1"	"4"	"4"	"2"	"2"	"24"	"0"	"0"	"1"	"4"	"362"	""	""	""
"159"	"146"	""	"166"	"8"	"42"	""	"1"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"7"	"6"	"1"	"22"	"0"	"0"	"1"	"1"	"260"	""	""	""
"160"	"147"	""	"255"	"17"	"103"	""	"21"	"1"	"1"	"1"	"1"	"2"	"2"	"0"	"2"	"2"	"4"	"5"	"5"	"6"	"9"	"0"	"45"	"2"	"1"	"2"	"3"	"490"	""	""	""
"161"	"148"	""	"243"	"8"	"81"	""	"0"	"3"	"0"	"1"	"1"	"7"	"0"	"1"	"0"	"0"	"3"	"2"	"1"	"3"	"8"	"0"	"29"	"0"	"0"	"0"	"0"	"391"	""	""	""
"162"	"149"	""	"206"	"15"	"42"	""	"4"	"1"	"2"	"1"	"3"	"0"	"1"	"0"	"0"	"0"	"5"	"2"	"3"	"11"	"26"	"0"	"65"	"0"	"0"	"0"	"0"	"387"	""	""	""
"163"	"150"	""	"204"	"7"	"92"	""	"3"	"0"	"1"	"0"	"2"	"1"	"2"	"0"	"0"	"0"	"2"	"1"	"2"	"1"	"7"	"0"	"45"	"0"	"1"	"0"	"0"	"371"	""	""	""
"164"	"151"	""	"20"	"18"	"179"	""	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"4"	"2"	"2"	"3"	"6"	"12"	"4"	"4"	"1"	"2"	"264"	""	""	""
"165"	"152"	""	"293"	"8"	"119"	""	"4"	"3"	"0"	"2"	"1"	"2"	"1"	"0"	"0"	"1"	"6"	"4"	"4"	"1"	"2"	"0"	"58"	"0"	"0"	"0"	"0"	"509"	""	""	""
"166"	"153"	""	"66"	"12"	"162"	""	"3"	"1"	"1"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"44"	"3"	"1"	"0"	"0"	"301"	""	""	""
"167"	"154"	""	"98"	"5"	"167"	""	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"5"	"3"	"0"	"22"	"0"	"0"	"0"	"1"	"308"	""	""	""
"168"	"TOTAL NO OF ELECTORS IN 94-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"271354"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"PS NO"	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	""	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"170"	"155"	""	"29"	"6"	"133"	""	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"10"	"0"	"11"	"0"	"0"	"1"	"0"	"194"	""	""	""
"171"	"156"	""	"70"	"13"	"142"	""	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"4"	"1"	"3"	"19"	"8"	"44"	"1"	"1"	"1"	"0"	"310"	""	""	""
"172"	"157"	""	"40"	"13"	"131"	""	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"19"	"0"	"11"	"0"	"0"	"0"	"0"	"222"	""	""	""
"173"	"158"	""	"115"	"20"	"115"	""	"4"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"4"	"1"	"2"	"4"	"0"	"44"	"1"	"1"	"2"	"1"	"320"	""	""	""
"174"	"159"	""	"211"	"17"	"88"	""	"0"	"2"	"1"	"0"	"0"	"3"	"1"	"0"	"0"	"1"	"1"	"3"	"0"	"6"	"9"	"1"	"31"	"0"	"0"	"0"	"1"	"376"	""	""	""
"175"	"160"	""	"65"	"16"	"239"	""	"3"	"3"	"0"	"1"	"3"	"1"	"1"	"1"	"1"	"0"	"1"	"3"	"4"	"0"	"4"	"0"	"73"	"1"	"0"	"1"	"1"	"422"	""	""	""
"176"	"161"	""	"110"	"43"	"280"	""	"1"	"0"	"0"	"0"	"1"	"3"	"2"	"0"	"0"	"1"	"3"	"6"	"4"	"1"	"4"	"0"	"77"	"0"	"0"	"0"	"1"	"537"	""	""	""
"177"	"162"	""	"18"	"33"	"243"	""	"4"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"3"	"1"	"3"	"2"	"2"	"2"	"1"	"36"	"0"	"0"	"0"	"0"	"352"	""	""	""
"178"	"163"	""	"86"	"48"	"192"	""	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"5"	"1"	"4"	"1"	"1"	"106"	"0"	"2"	"0"	"0"	"450"	""	""	""
"179"	"164"	""	"152"	"11"	"59"	""	"5"	"1"	"0"	"2"	"2"	"0"	"0"	"1"	"0"	"2"	"1"	"4"	"7"	"6"	"2"	"1"	"28"	"1"	"3"	"2"	"4"	"294"	""	""	""
"180"	"165"	""	"96"	"20"	"59"	""	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"4"	"1"	"3"	"0"	"12"	"0"	"1"	"1"	"1"	"204"	""	""	""
"181"	"166"	""	"141"	"21"	"112"	""	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"3"	"3"	"3"	"0"	"21"	"0"	"1"	"1"	"2"	"315"	""	""	""
"182"	"167"	""	"126"	"9"	"81"	""	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"5"	"1"	"18"	"0"	"0"	"0"	"3"	"251"	""	""	""
"183"	"168"	""	"232"	"35"	"162"	""	"6"	"10"	"1"	"1"	"0"	"2"	"1"	"0"	"1"	"2"	"5"	"6"	"4"	"0"	"23"	"0"	"28"	"1"	"1"	"2"	"0"	"523"	""	""	""
"184"	"169"	""	"310"	"39"	"106"	""	"4"	"7"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"4"	"4"	"4"	"2"	"8"	"1"	"42"	"0"	"0"	"2"	"1"	"537"	""	""	""
"185"	"170"	""	"79"	"32"	"148"	""	"5"	"2"	"1"	"1"	"4"	"7"	"1"	"1"	"0"	"1"	"4"	"12"	"7"	"1"	"3"	"0"	"43"	"0"	"0"	"1"	"2"	"355"	""	""	""
"186"	"171"	""	"93"	"28"	"178"	""	"4"	"0"	"0"	"0"	"3"	"0"	"1"	"0"	"1"	"0"	"3"	"5"	"1"	"2"	"6"	"0"	"28"	"0"	"0"	"0"	"1"	"354"	""	""	""
"187"	"172"	""	"204"	"45"	"159"	""	"5"	"9"	"1"	"3"	"0"	"2"	"0"	"0"	"1"	"0"	"4"	"2"	"6"	"2"	"5"	"1"	"23"	"0"	"0"	"1"	"1"	"474"	""	""	""
"188"	"173"	""	"252"	"25"	"73"	""	"3"	"4"	"0"	"0"	"1"	"3"	"1"	"0"	"1"	"0"	"1"	"4"	"2"	"8"	"2"	"1"	"48"	"0"	"1"	"1"	"3"	"434"	""	""	""
"189"	"174"	""	"284"	"15"	"76"	""	"4"	"5"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"3"	"8"	"4"	"4"	"1"	"25"	"0"	"0"	"0"	"0"	"436"	""	""	""
"190"	"175"	""	"299"	"10"	"86"	""	"3"	"1"	"2"	"3"	"2"	"2"	"0"	"0"	"0"	"1"	"1"	"2"	"4"	"4"	"15"	"2"	"56"	"0"	"2"	"4"	"2"	"501"	""	""	""
"191"	"176"	""	"35"	"8"	"267"	""	"1"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"3"	"6"	"2"	"4"	"1"	"3"	"60"	"1"	"3"	"0"	"2"	"400"	""	""	""
"192"	"TOTAL NO OF ELECTORS IN 94-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"271354"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"PS NO"	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	""	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"194"	"177"	""	"47"	"15"	"328"	""	"4"	"3"	"1"	"0"	"0"	"1"	"0"	"1"	"3"	"1"	"0"	"7"	"5"	"3"	"1"	"6"	"116"	"1"	"1"	"1"	"2"	"547"	""	""	""
"195"	"178"	""	"191"	"14"	"69"	""	"2"	"0"	"0"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"14"	"0"	"19"	"0"	"0"	"0"	"0"	"315"	""	""	""
"196"	"179"	""	"272"	"12"	"133"	""	"3"	"0"	"1"	"0"	"1"	"2"	"1"	"0"	"1"	"0"	"2"	"3"	"7"	"1"	"12"	"1"	"40"	"1"	"0"	"1"	"1"	"495"	""	""	""
"197"	"180"	""	"117"	"14"	"272"	""	"4"	"1"	"0"	"1"	"1"	"1"	"2"	"1"	"0"	"0"	"1"	"3"	"2"	"1"	"8"	"0"	"34"	"0"	"0"	"0"	"0"	"463"	""	""	""
"198"	"181"	""	"189"	"8"	"56"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"9"	"0"	"23"	"0"	"0"	"0"	"1"	"291"	""	""	""
"199"	"182"	""	"185"	"1"	"80"	""	"5"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"17"	"1"	"14"	"0"	"0"	"0"	"0"	"312"	""	""	""
"200"	"183"	""	"151"	"100"	"40"	""	"15"	"0"	"1"	"0"	"0"	"1"	"2"	"1"	"0"	"3"	"0"	"2"	"3"	"8"	"27"	"2"	"39"	"2"	"2"	"0"	"2"	"401"	""	""	""
"201"	"184"	""	"146"	"5"	"24"	""	"3"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"4"	"0"	"1"	"0"	"0"	"15"	"0"	"8"	"0"	"0"	"0"	"0"	"210"	""	""	""
"202"	"185"	""	"251"	"37"	"139"	""	"37"	"2"	"3"	"1"	"7"	"0"	"0"	"4"	"0"	"1"	"2"	"2"	"10"	"8"	"12"	"0"	"20"	"0"	"0"	"1"	"1"	"538"	""	""	""
"203"	"186"	""	"141"	"33"	"104"	""	"82"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"2"	"8"	"0"	"20"	"0"	"1"	"1"	"0"	"398"	""	""	""
"204"	"187"	""	"204"	"22"	"162"	""	"2"	"4"	"1"	"1"	"0"	"2"	"0"	"2"	"1"	"0"	"0"	"1"	"2"	"3"	"16"	"3"	"22"	"1"	"0"	"1"	"0"	"450"	""	""	""
"205"	"188"	""	"179"	"49"	"118"	""	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"2"	"1"	"5"	"16"	"2"	"47"	"1"	"3"	"0"	"0"	"431"	""	""	""
