"Sl..No."	"No..of.Polli.n.g.Statio.n"	"No..of.Valid..votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendered.votes"
"151"	"140"	"140"	"265"	"15"	"28"	"125"	"38"	"4"	"1"	"0"	"0"	"0"	"2"	"0"	"2"	"1"	"1"	"482"	"0"	"482"	""
"152"	"141"	"141"	"42"	"4"	"113"	"299"	"15"	"1"	"1"	"2"	"1"	"0"	"1"	"3"	"0"	"4"	"4"	"490"	"0"	"490"	""
"153"	"142"	"142"	"3"	"10"	"37"	"227"	"44"	"1"	"0"	"0"	"1"	"1"	"2"	"0"	"4"	"1"	"1"	"332"	"0"	"332"	""
"154"	"143"	"143"	"299"	"7"	"24"	"11"	"25"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"3"	"374"	"0"	"374"	""
"155"	"144"	"144"	"162"	"8"	"20"	"51"	"12"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"5"	"4"	"12"	"278"	"0"	"278"	""
"156"	"145"	"145"	"15"	"5"	"50"	"151"	"116"	"4"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"2"	"347"	"0"	"347"	""
"157"	"146"	"146"	"58"	"13"	"67"	"212"	"14"	"1"	"3"	"2"	"1"	"1"	"2"	"2"	"0"	"1"	"0"	"377"	"0"	"377"	""
"158"	"147"	"147"	"56"	"6"	"170"	"12"	"17"	"1"	"0"	"1"	"0"	"1"	"1"	"3"	"4"	"5"	"10"	"287"	"0"	"287"	""
"159"	"148"	"148"	"48"	"21"	"322"	"27"	"37"	"6"	"5"	"7"	"3"	"3"	"2"	"2"	"5"	"5"	"5"	"498"	"0"	"498"	""
"160"	"149"	"149"	"71"	"14"	"217"	"21"	"13"	"6"	"1"	"2"	"0"	"1"	"1"	"2"	"2"	"8"	"1"	"360"	"0"	"360"	""
"161"	"150"	"150"	"58"	"15"	"293"	"22"	"58"	"3"	"2"	"2"	"1"	"1"	"1"	"1"	"19"	"7"	"7"	"490"	"0"	"490"	""
"162"	"151"	"151"	"72"	"19"	"257"	"46"	"46"	"0"	"2"	"0"	"2"	"5"	"1"	"3"	"5"	"4"	"4"	"466"	"0"	"466"	""
"163"	"152"	"152"	"41"	"6"	"105"	"30"	"114"	"2"	"3"	"2"	"3"	"2"	"0"	"3"	"5"	"1"	"7"	"324"	"0"	"324"	""
"164"	"Sl.
No."	"No. of Polli n g
Statio n"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"165"	""	""	"MD. ANWAR UL
HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"166"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"167"	"153"	"153"	"63"	"23"	"133"	"189"	"83"	"7"	"5"	"4"	"2"	"0"	"0"	"3"	"2"	"5"	"2"	"521"	"0"	"521"	""
"168"	"154"	"154"	"29"	"8"	"200"	"17"	"163"	"8"	"1"	"0"	"4"	"1"	"2"	"11"	"19"	"11"	"10"	"484"	"0"	"484"	""
"169"	"155"	"155"	"36"	"11"	"175"	"11"	"92"	"6"	"2"	"2"	"2"	"1"	"1"	"4"	"14"	"10"	"9"	"376"	"0"	"376"	""
"170"	"156"	"156"	"296"	"17"	"103"	"9"	"144"	"3"	"1"	"4"	"2"	"0"	"0"	"2"	"2"	"0"	"1"	"584"	"0"	"584"	""
"171"	"157"	"157"	"300"	"13"	"25"	"2"	"70"	"2"	"4"	"2"	"0"	"1"	"1"	"0"	"1"	"3"	"8"	"432"	"0"	"432"	""
"172"	"158"	"158"	"25"	"7"	"24"	"2"	"208"	"7"	"3"	"2"	"1"	"0"	"1"	"3"	"2"	"0"	"7"	"292"	"0"	"292"	""
"173"	"159"	"159"	"29"	"24"	"271"	"14"	"36"	"1"	"5"	"7"	"2"	"2"	"1"	"5"	"2"	"3"	"3"	"405"	"0"	"405"	""
"174"	"160"	"160"	"22"	"12"	"116"	"71"	"36"	"3"	"1"	"0"	"8"	"3"	"3"	"5"	"13"	"7"	"18"	"318"	"0"	"318"	""
"175"	"161"	"161"	"44"	"8"	"53"	"331"	"54"	"1"	"1"	"2"	"2"	"2"	"1"	"1"	"10"	"1"	"11"	"522"	"0"	"522"	""
"176"	"162"	"162"	"57"	"22"	"151"	"333"	"65"	"4"	"3"	"3"	"2"	"2"	"1"	"4"	"11"	"3"	"9"	"670"	"0"	"670"	""
"177"	"163"	"163"	"9"	"10"	"147"	"58"	"186"	"6"	"4"	"2"	"0"	"2"	"1"	"2"	"4"	"3"	"7"	"441"	"0"	"441"	""
"178"	"164"	"164"	"54"	"39"	"113"	"181"	"28"	"0"	"3"	"6"	"4"	"1"	"10"	"4"	"10"	"10"	"8"	"471"	"0"	"471"	""
"179"	"165"	"165"	"104"	"70"	"109"	"17"	"42"	"2"	"5"	"2"	"2"	"0"	"2"	"2"	"2"	"0"	"6"	"365"	"0"	"365"	""
"180"	"166"	"166"	"35"	"33"	"66"	"84"	"14"	"1"	"2"	"4"	"0"	"3"	"6"	"2"	"4"	"1"	"3"	"258"	"0"	"258"	""
"181"	"167"	"167"	"43"	"119"	"174"	"30"	"102"	"3"	"6"	"5"	"2"	"9"	"20"	"10"	"7"	"6"	"12"	"548"	"0"	"548"	""
"182"	"168"	"168"	"73"	"20"	"329"	"36"	"27"	"5"	"4"	"7"	"6"	"0"	"0"	"6"	"11"	"9"	"35"	"568"	"0"	"568"	""
"183"	"169"	"169"	"44"	"41"	"328"	"105"	"49"	"9"	"8"	"6"	"3"	"2"	"2"	"10"	"17"	"6"	"6"	"636"	"0"	"636"	""
"184"	"170"	"170"	"24"	"25"	"202"	"109"	"9"	"4"	"2"	"2"	"1"	"2"	"2"	"3"	"7"	"8"	"9"	"409"	"0"	"409"	""
"185"	"171"	"171"	"48"	"22"	"256"	"191"	"53"	"2"	"1"	"4"	"1"	"0"	"1"	"1"	"2"	"0"	"5"	"587"	"0"	"587"	""
"186"	"172"	"172"	"49"	"17"	"54"	"440"	"5"	"2"	"3"	"2"	"0"	"1"	"2"	"2"	"0"	"5"	"2"	"584"	"0"	"584"	""
"187"	"173"	"173"	"13"	"14"	"106"	"376"	"2"	"1"	"1"	"3"	"1"	"1"	"0"	"0"	"3"	"3"	"#REF!"	"524"	"0"	"524"	""
"188"	"174"	"174"	"316"	"30"	"26"	"29"	"15"	"0"	"5"	"3"	"0"	"0"	"0"	"4"	"2"	"1"	"10"	"441"	"0"	"441"	""
"189"	"175"	"175"	"19"	"6"	"131"	"333"	"21"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"4"	"3"	"2"	"523"	"0"	"523"	""
"190"	"176"	"176"	"15"	"11"	"113"	"290"	"32"	"2"	"1"	"2"	"2"	"2"	"2"	"5"	"4"	"9"	"4"	"494"	"0"	"494"	""
"191"	"177"	"177"	"57"	"25"	"102"	"73"	"53"	"4"	"7"	"2"	"2"	"5"	"11"	"13"	"8"	"15"	"26"	"403"	"0"	"403"	""
"192"	"178"	"178"	"72"	"13"	"133"	"191"	"41"	"2"	"2"	"10"	"0"	"4"	"5"	"7"	"12"	"10"	"16"	"518"	"0"	"518"	""
"193"	"179"	"179"	"52"	"7"	"41"	"171"	"40"	"1"	"3"	"7"	"1"	"1"	"1"	"1"	"6"	"4"	"19"	"355"	"0"	"355"	""
"194"	"180"	"180"	"13"	"12"	"86"	"195"	"17"	"1"	"2"	"0"	"1"	"1"	"4"	"5"	"4"	"2"	"5"	"348"	"0"	"348"	""
"195"	"181"	"181"	"10"	"13"	"196"	"71"	"178"	"4"	"6"	"4"	"3"	"2"	"0"	"2"	"10"	"7"	"4"	"510"	"0"	"510"	""
"196"	"182"	"182"	"13"	"31"	"236"	"104"	"8"	"1"	"4"	"0"	"0"	"2"	"5"	"6"	"10"	"7"	"5"	"432"	"0"	"432"	""
"197"	"183"	"183"	"9"	"14"	"130"	"167"	"11"	"1"	"4"	"3"	"2"	"0"	"2"	"9"	"7"	"7"	"11"	"377"	"0"	"377"	""
"198"	"184"	"184"	"4"	"20"	"250"	"262"	"30"	"3"	"3"	"3"	"2"	"4"	"4"	"1"	"11"	"3"	"5"	"605"	"0"	"605"	""
"199"	"185"	"185"	"39"	"23"	"344"	"158"	"88"	"5"	"4"	"7"	"5"	"3"	"4"	"8"	"23"	"14"	"25"	"750"	"0"	"750"	""
"200"	"186"	"186"	"13"	"16"	"144"	"102"	"327"	"9"	"6"	"7"	"6"	"2"	"12"	"9"	"11"	"6"	"17"	"687"	"0"	"687"	""
"201"	"187"	"187"	"60"	"14"	"162"	"21"	"171"	"6"	"4"	"6"	"2"	"2"	"2"	"2"	"7"	"8"	"5"	"472"	"0"	"472"	""
"202"	"188"	"188"	"53"	"30"	"433"	"22"	"38"	"7"	"10"	"9"	"4"	"4"	"5"	"8"	"18"	"16"	"7"	"664"	"0"	"664"	""
"203"	"189"	"189"	"70"	"44"	"166"	"208"	"64"	"4"	"9"	"6"	"3"	"2"	"5"	"1"	"5"	"2"	"3"	"592"	"0"	"592"	""
"204"	"190"	"190"	"230"	"11"	"50"	"17"	"45"	"2"	"5"	"5"	"2"	"1"	"4"	"7"	"12"	"2"	"10"	"403"	"0"	"403"	""
"205"	"Sl.
No."	"No. of Polli n g
Statio n"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"206"	""	""	"MD. ANWAR UL
HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"207"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"208"	"191"	"191"	"25"	"19"	"153"	"15"	"237"	"7"	"5"	"2"	"0"	"1"	"4"	"2"	"9"	"6"	"9"	"494"	"0"	"494"	""
"209"	"192"	"192"	"10"	"2"	"1"	"6"	"141"	"3"	"3"	"0"	"0"	"1"	"2"	"2"	"0"	"1"	"#REF!"	"175"	"0"	"175"	""
"210"	"193"	"193"	"79"	"13"	"112"	"19"	"212"	"6"	"4"	"6"	"2"	"2"	"1"	"1"	"2"	"6"	"4"	"469"	"0"	"469"	""
"211"	"194"	"194"	"80"	"0"	"3"	"2"	"19"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"7"	"117"	"0"	"117"	""
"212"	"195"	"195"	"120"	"9"	"22"	"20"	"207"	"4"	"1"	"2"	"1"	"1"	"5"	"5"	"8"	"6"	"11"	"422"	"0"	"422"	""
"213"	"196"	"196"	"23"	"10"	"62"	"41"	"126"	"1"	"1"	"0"	"3"	"2"	"5"	"7"	"17"	"6"	"15"	"319"	"0"	"319"	""
"214"	"197"	"197"	"134"	"18"	"45"	"74"	"189"	"6"	"6"	"5"	"6"	"1"	"3"	"2"	"2"	"4"	"11"	"506"	"0"	"506"	""
"215"	"198"	"198"	"111"	"10"	"39"	"26"	"54"	"5"	"7"	"3"	"5"	"1"	"2"	"1"	"2"	"1"	"5"	"272"	"0"	"272"	""
"216"	"199"	"199"	"174"	"13"	"90"	"15"	"91"	"6"	"1"	"3"	"1"	"2"	"3"	"5"	"13"	"6"	"25"	"448"	"0"	"448"	""
"217"	"No. of votes recorded on postal ballot papers"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""
"218"	"Total Votes polled"	""	"16817"	"3283"	"33045"	"14155"	"13887"	"645"	"577"	"554"	"360"	"313"	"417"	"664"	"1225"	"#REF!"	"#REF!"	"88789"	"0"	"88789"	""
"219"	"Place  OTIHARI                                                                                                                                                                                                                                                               Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"Date  :   16/05/2009                                                                                                                                                                                                                                                                     030-Belsand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
